#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed
NR3341--MA0523.1.TCF7L2	chr19	32455179	32455192	+	0.000	0.000	Merged-chr19-32455050-22
NR1723--MA0769.1.Tcf7	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR900--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR3255--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR5646--MA1421.1.TCF7L1	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR6257--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2940--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR4959--MA1421.1.TCF7L1	chr5	8839300	8839311	-	0.000	0.000	Merged-chr5-8839426-88
NR4273--MA0769.1.Tcf7	chr3	106967025	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR3431--MA0523.1.TCF7L2	chr2	5003239	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR3794--MA1421.1.TCF7L1	chr2	117374269	117374280	-	0.000	0.000	Merged-chr2-117374468-47
NR2792--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR1722--MA0523.1.TCF7L2	chr13	33071990	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR4272--MA0523.1.TCF7L2	chr3	106967023	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR3748--MA0769.1.Tcf7	chr2	103632623	103632634	+	0.000	0.000	Merged-chr2-103632734-49
NR5557--MA0523.1.TCF7L2	chr6	82744572	82744585	-	0.000	0.000	Merged-chr6-82744737-54
NR4135--MA0523.1.TCF7L2	chr3	60422472	60422485	+	0.000	0.000	Merged-chr3-60422418-15
NR3945--MA1421.1.TCF7L1	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR5740--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR4939--MA0523.1.TCF7L2	chr4	150995032	150995045	+	0.000	0.000	Merged-chr4-150995020-21
NR4711--MA0523.1.TCF7L2	chr4	89393653	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR2941--MA0769.1.Tcf7	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR3603--MA0523.1.TCF7L2	chr2	59513724	59513737	+	0.000	0.000	Merged-chr2-59513816-12
NR4707--MA0523.1.TCF7L2	chr4	89302226	89302239	+	0.000	0.000	Merged-chr4-89302202-17
NR3391--MA0769.1.Tcf7	chr19	53395846	53395857	-	0.000	0.000	Merged-chr19-53395914-16
NR5647--MA0769.1.Tcf7	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR3528--MA1421.1.TCF7L1	chr2	34198752	34198763	+	0.000	0.000	Merged-chr2-34198771-20
NR176--MA0523.1.TCF7L2	chr1	87378187	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR3433--MA1421.1.TCF7L1	chr2	5003345	5003356	+	0.000	0.000	Merged-chr2-5003396-19
NR5437--MA0769.1.Tcf7	chr6	35462670	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR1122--MA1421.1.TCF7L1	chr11	68498959	68498970	-	0.000	0.000	Merged-chr11-68499042-49
NR5549--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5716--MA0523.1.TCF7L2	chr6	128474316	128474329	+	0.000	0.000	Merged-chr6-128474299-11
NR2535--MA0769.1.Tcf7	chr15	94259920	94259931	-	0.000	0.000	Merged-chr15-94259724-7
NR2397--MA1421.1.TCF7L1	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR2553--MA0769.1.Tcf7	chr15	98623469	98623480	+	0.000	0.000	Merged-chr15-98623504-45
NR2428--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR1253--MA0769.1.Tcf7	chr11	106958390	106958401	-	0.000	0.000	Merged-chr11-106958567-20
NR1128--MA0523.1.TCF7L2	chr11	70113939	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR6805--MA1421.1.TCF7L1	chr9	95834855	95834866	+	0.000	0.000	Merged-chr9-95834941-16
NR5711--MA0523.1.TCF7L2	chr6	127617488	127617501	+	0.000	0.000	Merged-chr6-127617353-34
NR3628--MA0523.1.TCF7L2	chr2	68882157	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6036--MA0769.1.Tcf7	chr7	84166258	84166269	+	0.000	0.000	Merged-chr7-84166236-11
NR866--MA1421.1.TCF7L1	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4709--MA1421.1.TCF7L1	chr4	89359670	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR5276--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR6972--MA0769.1.Tcf7	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR3516--MA0523.1.TCF7L2	chr2	30112724	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR5575--MA1421.1.TCF7L1	chr6	86754831	86754842	+	0.000	0.000	Merged-chr6-86754818-10
NR2747--MA0523.1.TCF7L2	chr16	75920967	75920980	-	0.000	0.000	Merged-chr16-75921068-56
NR1090--MA1421.1.TCF7L1	chr11	58829945	58829956	+	0.000	0.000	Merged-chr11-58829916-12
NR6971--MA1421.1.TCF7L1	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR1546--MA0769.1.Tcf7	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR878--MA0769.1.Tcf7	chr10	98776738	98776749	+	0.000	0.000	Merged-chr10-98776574-38
NR6584--MA1421.1.TCF7L1	chr9	14908165	14908176	+	0.000	0.000	Merged-chr9-14908176-52
NR6400--MA1421.1.TCF7L1	chr8	72331241	72331252	+	0.000	0.000	Merged-chr8-72331186-66
NR2654--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5886--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR2290--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2334--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR6049--MA0523.1.TCF7L2	chr7	90004036	90004049	+	0.000	0.000	Merged-chr7-90004026-23
NR6258--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2791--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR4883--MA1421.1.TCF7L1	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR5309--MA1421.1.TCF7L1	chr5	134269609	134269620	+	0.000	0.000	Merged-chr5-134269909-65
NR1190--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR1898--MA1421.1.TCF7L1	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR3747--MA0523.1.TCF7L2	chr2	103632623	103632636	+	0.000	0.000	Merged-chr2-103632734-49
NR5005--MA0523.1.TCF7L2	chr5	24776939	24776952	+	0.000	0.000	Merged-chr5-24777004-40
NR5645--MA0523.1.TCF7L2	chr6	108526365	108526378	+	0.000	0.000	Merged-chr6-108526296-8
NR867--MA0769.1.Tcf7	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4478--MA0769.1.Tcf7	chr3	148419657	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR2938--MA1421.1.TCF7L1	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR5568--MA0769.1.Tcf7	chr6	85147835	85147846	+	0.000	0.000	Merged-chr6-85147771-14
NR5426--MA0523.1.TCF7L2	chr6	31085587	31085600	-	0.000	0.000	Merged-chr6-31085577-29
NR5488--MA1421.1.TCF7L1	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR1594--MA0769.1.Tcf7	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR1272--MA0769.1.Tcf7	chr11	110897150	110897161	+	0.000	0.000	Merged-chr11-110897111-25
NR407--MA0523.1.TCF7L2	chr1	161775361	161775374	-	0.000	0.000	Merged-chr1-161775163-66
NR5717--MA0769.1.Tcf7	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR4928--MA0523.1.TCF7L2	chr4	149469681	149469694	-	0.000	0.000	Merged-chr4-149469788-41
NR3340--MA1421.1.TCF7L1	chr19	32455179	32455190	+	0.000	0.000	Merged-chr19-32455050-22
NR2291--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR2013--MA1421.1.TCF7L1	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR1121--MA0523.1.TCF7L2	chr11	68465259	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR4728--MA1421.1.TCF7L1	chr4	95068195	95068206	-	0.000	0.000	Merged-chr4-95068269-28
NR6256--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR775--MA0523.1.TCF7L2	chr10	77273401	77273414	+	0.000	0.000	Merged-chr10-77273499-67
NR3651--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR6352--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR3517--MA0769.1.Tcf7	chr2	30112726	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR5569--MA1421.1.TCF7L1	chr6	85147882	85147893	+	0.000	0.000	Merged-chr6-85147771-14
NR1104--MA0523.1.TCF7L2	chr11	62507992	62508005	-	0.000	0.000	Merged-chr11-62507903-32
NR3629--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6735--MA0523.1.TCF7L2	chr9	79756211	79756224	+	0.000	0.000	Merged-chr9-79756214-5
NR3432--MA0769.1.Tcf7	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1033--MA0769.1.Tcf7	chr11	21314423	21314434	+	0.000	0.000	Merged-chr11-21314524-33
NR5397--MA0769.1.Tcf7	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR1191--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR4885--MA0769.1.Tcf7	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR5471--MA0523.1.TCF7L2	chr6	50146433	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR4710--MA1421.1.TCF7L1	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR2979--MA1421.1.TCF7L1	chr17	69422860	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR5396--MA1421.1.TCF7L1	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR657--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR2939--MA0769.1.Tcf7	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR113--MA0523.1.TCF7L2	chr1	69496188	69496201	+	0.000	0.000	Merged-chr1-69496310-11
NR6654--MA0769.1.Tcf7	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR6617--MA1421.1.TCF7L1	chr9	43784938	43784949	+	0.000	0.000	Merged-chr9-43784994-20
NR5715--MA1421.1.TCF7L1	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR4712--MA0769.1.Tcf7	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR6364--MA0523.1.TCF7L2	chr8	57387856	57387869	+	0.000	0.000	Merged-chr8-57387843-7
NR5681--MA0523.1.TCF7L2	chr6	120181444	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR4708--MA0769.1.Tcf7	chr4	89302313	89302324	-	0.000	0.000	Merged-chr4-89302202-17
NR5028--MA0769.1.Tcf7	chr5	32148874	32148885	+	0.000	0.000	Merged-chr5-32148738-21
NR1127--MA1421.1.TCF7L1	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR6902--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR2014--MA0769.1.Tcf7	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR4000--MA1421.1.TCF7L1	chr2	166665689	166665700	+	0.000	0.000	Merged-chr2-166665700-84
NR53--MA0523.1.TCF7L2	chr1	43538894	43538907	-	0.000	0.000	Merged-chr1-43538951-30
NR3627--MA1421.1.TCF7L1	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR5925--MA1421.1.TCF7L1	chr7	45120578	45120589	+	0.000	0.000	Merged-chr7-45120364-12
NR3099--MA0523.1.TCF7L2	chr18	39049206	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR2816--MA0769.1.Tcf7	chr16	96273448	96273459	-	0.000	0.000	Merged-chr16-96273446-72
NR5311--MA0769.1.Tcf7	chr5	134269609	134269620	+	0.000	0.000	Merged-chr5-134269909-65
NR658--MA0523.1.TCF7L2	chr10	30570577	30570590	+	0.000	0.000	Merged-chr10-30570499-22
NR2653--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR4468--MA0769.1.Tcf7	chr3	145663384	145663395	-	0.000	0.000	Merged-chr3-145663343-1
NR4236--MA1421.1.TCF7L1	chr3	98027568	98027579	-	0.000	0.000	Merged-chr3-98027437-43
NR2784--MA1421.1.TCF7L1	chr16	91555427	91555438	+	0.000	0.000	Merged-chr16-91555577-12
NR2790--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR1123--MA0769.1.Tcf7	chr11	68498959	68498970	-	0.000	0.000	Merged-chr11-68499042-49
NR5436--MA0523.1.TCF7L2	chr6	35462668	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR1482--MA1421.1.TCF7L1	chr12	82304084	82304095	-	0.000	0.000	Merged-chr12-82304111-12
NR6586--MA0769.1.Tcf7	chr9	14908165	14908176	+	0.000	0.000	Merged-chr9-14908176-52
