#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed
Merged-chr14-7929252-11	chr14	7928998	7929494	+	0.000	0.000	Merged-chr14-7929252-11
Merged-chr14-31569304-6	chr14	31569114	31569476	+	0.000	0.000	Merged-chr14-31569304-6
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr12-26460097-25	chr12	26459828	26460331	+	0.000	0.000	Merged-chr12-26460097-25
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr4-154405943-1	chr4	154405845	154406043	+	0.000	0.000	Merged-chr4-154405943-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr14-55635615-42	chr14	55635359	55635831	+	0.000	0.000	Merged-chr14-55635615-42
Merged-chr11-23763626-2	chr11	23763499	23763756	+	0.000	0.000	Merged-chr11-23763626-2
Merged-chrX-42366064-18	chrX	42365796	42366270	+	0.000	0.000	Merged-chrX-42366064-18
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr14-14703754-4	chr14	14703637	14703875	+	0.000	0.000	Merged-chr14-14703754-4
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr9-57935995-21	chr9	57935766	57936170	+	0.000	0.000	Merged-chr9-57935995-21
Merged-chr8-27177254-18	chr8	27177024	27177524	+	0.000	0.000	Merged-chr8-27177254-18
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr5-128981776-29	chr5	128981574	128981979	+	0.000	0.000	Merged-chr5-128981776-29
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr2-61497944-5	chr2	61497767	61498092	+	0.000	0.000	Merged-chr2-61497944-5
Merged-chr11-46404706-1	chr11	46404608	46404806	+	0.000	0.000	Merged-chr11-46404706-1
Merged-chr18-55066238-1	chr18	55066140	55066338	+	0.000	0.000	Merged-chr18-55066238-1
Merged-chr1-69753005-34	chr1	69752755	69753212	+	0.000	0.000	Merged-chr1-69753005-34
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr2-135847569-1	chr2	135847471	135847669	+	0.000	0.000	Merged-chr2-135847569-1
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr4-106805024-2	chr4	106804872	106805179	+	0.000	0.000	Merged-chr4-106805024-2
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr12-55497950-1	chr12	55497852	55498050	+	0.000	0.000	Merged-chr12-55497950-1
Merged-chr6-134861605-2	chr6	134861466	134861747	+	0.000	0.000	Merged-chr6-134861605-2
Merged-chr7-19837080-20	chr7	19836822	19837312	+	0.000	0.000	Merged-chr7-19837080-20
Merged-chr3-95681559-19	chr3	95681302	95681812	+	0.000	0.000	Merged-chr3-95681559-19
Merged-chr2-174603363-2	chr2	174603237	174603492	+	0.000	0.000	Merged-chr2-174603363-2
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr7-28373341-2	chr7	28373209	28373476	+	0.000	0.000	Merged-chr7-28373341-2
Merged-chr2-28513435-39	chr2	28513117	28513868	+	0.000	0.000	Merged-chr2-28513435-39
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr14-55629542-18	chr14	55629358	55629721	+	0.000	0.000	Merged-chr14-55629542-18
Merged-chr7-99798520-10	chr7	99798351	99798645	+	0.000	0.000	Merged-chr7-99798520-10
Merged-chr7-25000756-34	chr7	25000289	25001308	+	0.000	0.000	Merged-chr7-25000756-34
Merged-chr7-29039900-33	chr7	29039673	29040170	+	0.000	0.000	Merged-chr7-29039900-33
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr11-99255472-31	chr11	99255177	99255701	+	0.000	0.000	Merged-chr11-99255472-31
Merged-chr13-63548573-9	chr13	63548419	63548750	+	0.000	0.000	Merged-chr13-63548573-9
Merged-chr1-181230993-50	chr1	181230656	181231299	+	0.000	0.000	Merged-chr1-181230993-50
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr17-84272667-1	chr17	84272569	84272767	+	0.000	0.000	Merged-chr17-84272667-1
Merged-chr12-85691977-2	chr12	85691872	85692084	+	0.000	0.000	Merged-chr12-85691977-2
Merged-chr8-84986029-81	chr8	84985719	84986365	+	0.000	0.000	Merged-chr8-84986029-81
Merged-chr13-112472565-14	chr13	112472363	112472843	+	0.000	0.000	Merged-chr13-112472565-14
Merged-chr8-81857763-3	chr8	81857657	81857874	+	0.000	0.000	Merged-chr8-81857763-3
Merged-chr9-61791076-24	chr9	61790856	61791350	+	0.000	0.000	Merged-chr9-61791076-24
Merged-chr2-103627335-19	chr2	103627139	103627520	+	0.000	0.000	Merged-chr2-103627335-19
Merged-chr11-75279801-60	chr11	75279427	75280139	+	0.000	0.000	Merged-chr11-75279801-60
Merged-chr17-35301957-54	chr17	35301753	35302159	+	0.000	0.000	Merged-chr17-35301957-54
Merged-chr3-101059436-11	chr3	101059260	101059627	+	0.000	0.000	Merged-chr3-101059436-11
Merged-chr1-191317976-55	chr1	191317794	191318163	+	0.000	0.000	Merged-chr1-191317976-55
Merged-chr5-122291331-19	chr5	122291148	122291633	+	0.000	0.000	Merged-chr5-122291331-19
Merged-chr10-67487722-31	chr10	67487593	67487869	+	0.000	0.000	Merged-chr10-67487722-31
Merged-chr11-20661877-12	chr11	20661626	20662175	+	0.000	0.000	Merged-chr11-20661877-12
Merged-chr2-28514635-36	chr2	28514332	28514833	+	0.000	0.000	Merged-chr2-28514635-36
Merged-chr1-37030914-29	chr1	37030568	37031159	+	0.000	0.000	Merged-chr1-37030914-29
Merged-chr10-68240828-58	chr10	68240501	68241182	+	0.000	0.000	Merged-chr10-68240828-58
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr4-101496663-37	chr4	101496275	101496980	+	0.000	0.000	Merged-chr4-101496663-37
Merged-chr4-156008555-53	chr4	156008365	156008911	+	0.000	0.000	Merged-chr4-156008555-53
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr12-102369498-1	chr12	102369400	102369598	+	0.000	0.000	Merged-chr12-102369498-1
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chr9-61827170-3	chr9	61827054	61827287	+	0.000	0.000	Merged-chr9-61827170-3
Merged-chr11-103809111-3	chr11	103809013	103809211	+	0.000	0.000	Merged-chr11-103809111-3
Merged-chr1-155158917-88	chr1	155158459	155159169	+	0.000	0.000	Merged-chr1-155158917-88
Merged-chr17-26009700-29	chr17	26009525	26009898	+	0.000	0.000	Merged-chr17-26009700-29
Merged-chr14-61805692-18	chr14	61805432	61806006	+	0.000	0.000	Merged-chr14-61805692-18
Merged-chr3-138876270-3	chr3	138876141	138876399	+	0.000	0.000	Merged-chr3-138876270-3
Merged-chr1-175693836-3	chr1	175693667	175694001	+	0.000	0.000	Merged-chr1-175693836-3
Merged-chr13-43777700-1	chr13	43777602	43777800	+	0.000	0.000	Merged-chr13-43777700-1
Merged-chr15-64211294-3	chr15	64211196	64211394	+	0.000	0.000	Merged-chr15-64211294-3
Merged-chr16-45382071-4	chr16	45381864	45382237	+	0.000	0.000	Merged-chr16-45382071-4
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr4-145361226-45	chr4	145360957	145361538	+	0.000	0.000	Merged-chr4-145361226-45
Merged-chr11-75348479-53	chr11	75348209	75348682	+	0.000	0.000	Merged-chr11-75348479-53
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chrX-12005261-5	chrX	12005100	12005435	+	0.000	0.000	Merged-chrX-12005261-5
Merged-chr9-118700946-3	chr9	118700796	118701122	+	0.000	0.000	Merged-chr9-118700946-3
Merged-chr11-77372347-7	chr11	77372194	77372510	+	0.000	0.000	Merged-chr11-77372347-7
Merged-chr1-36921922-6	chr1	36921659	36922131	+	0.000	0.000	Merged-chr1-36921922-6
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chrX-42500778-7	chrX	42500632	42500958	+	0.000	0.000	Merged-chrX-42500778-7
Merged-chr16-30768105-2	chr16	30767961	30768252	+	0.000	0.000	Merged-chr16-30768105-2
Merged-chr2-33206193-4	chr2	33206046	33206348	+	0.000	0.000	Merged-chr2-33206193-4
Merged-chr10-96634736-7	chr10	96634415	96635004	+	0.000	0.000	Merged-chr10-96634736-7
Merged-chr10-95940999-164	chr10	95940496	95941604	+	0.000	0.000	Merged-chr10-95940999-164
Merged-chr5-65764429-153	chr5	65763767	65765209	+	0.000	0.000	Merged-chr5-65764429-153
Merged-chr3-89727230-25	chr3	89727058	89727449	+	0.000	0.000	Merged-chr3-89727230-25
Merged-chr12-85280315-60	chr12	85279980	85280591	+	0.000	0.000	Merged-chr12-85280315-60
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr3-130932446-30	chr3	130932216	130932642	+	0.000	0.000	Merged-chr3-130932446-30
Merged-chr6-99270140-8	chr6	99269961	99270336	+	0.000	0.000	Merged-chr6-99270140-8
Merged-chr7-142966626-1	chr7	142966528	142966726	+	0.000	0.000	Merged-chr7-142966626-1
Merged-chr10-81257726-38	chr10	81257264	81258062	+	0.000	0.000	Merged-chr10-81257726-38
Merged-chr15-80694547-1	chr15	80694449	80694647	+	0.000	0.000	Merged-chr15-80694547-1
Merged-chr16-59599519-3	chr16	59599317	59599687	+	0.000	0.000	Merged-chr16-59599519-3
Merged-chr9-108263764-60	chr9	108263531	108264032	+	0.000	0.000	Merged-chr9-108263764-60
Merged-chr6-125244741-5	chr6	125244596	125244864	+	0.000	0.000	Merged-chr6-125244741-5
Merged-chr2-18996923-12	chr2	18996698	18997163	+	0.000	0.000	Merged-chr2-18996923-12
Merged-chr11-116012659-52	chr11	116012306	116012978	+	0.000	0.000	Merged-chr11-116012659-52
Merged-chr11-19963036-13	chr11	19962788	19963262	+	0.000	0.000	Merged-chr11-19963036-13
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr4-101509184-37	chr4	101508924	101509662	+	0.000	0.000	Merged-chr4-101509184-37
Merged-chr9-44562997-28	chr9	44562622	44563304	+	0.000	0.000	Merged-chr9-44562997-28
Merged-chr4-107260166-15	chr4	107259997	107260339	+	0.000	0.000	Merged-chr4-107260166-15
Merged-chr11-69417885-4	chr11	69417675	69418165	+	0.000	0.000	Merged-chr11-69417885-4
Merged-chr15-99333202-49	chr15	99332951	99333481	+	0.000	0.000	Merged-chr15-99333202-49
Merged-chr10-68277544-1	chr10	68277446	68277644	+	0.000	0.000	Merged-chr10-68277544-1
Merged-chr9-21852740-52	chr9	21852500	21852951	+	0.000	0.000	Merged-chr9-21852740-52
Merged-chr14-61770099-34	chr14	61769836	61770492	+	0.000	0.000	Merged-chr14-61770099-34
Merged-chr19-10949150-60	chr19	10948851	10949486	+	0.000	0.000	Merged-chr19-10949150-60
Merged-chr6-37460818-6	chr6	37460603	37460995	+	0.000	0.000	Merged-chr6-37460818-6
Merged-chr5-65869699-1	chr5	65869601	65869799	+	0.000	0.000	Merged-chr5-65869699-1
Merged-chr11-83605629-6	chr11	83605471	83605760	+	0.000	0.000	Merged-chr11-83605629-6
Merged-chr3-52048299-17	chr3	52048066	52048459	+	0.000	0.000	Merged-chr3-52048299-17
Merged-chr15-36517945-17	chr15	36517774	36518147	+	0.000	0.000	Merged-chr15-36517945-17
Merged-chr19-29253972-33	chr19	29253697	29254158	+	0.000	0.000	Merged-chr19-29253972-33
Merged-chr11-68973679-52	chr11	68973483	68973990	+	0.000	0.000	Merged-chr11-68973679-52
Merged-chr11-113785541-1	chr11	113785443	113785641	+	0.000	0.000	Merged-chr11-113785541-1
Merged-chr15-27827084-13	chr15	27826868	27827284	+	0.000	0.000	Merged-chr15-27827084-13
Merged-chr12-8359734-34	chr12	8359429	8359921	+	0.000	0.000	Merged-chr12-8359734-34
Merged-chr1-40033526-12	chr1	40033319	40033726	+	0.000	0.000	Merged-chr1-40033526-12
Merged-chr15-53344767-1	chr15	53344669	53344867	+	0.000	0.000	Merged-chr15-53344767-1
Merged-chr8-111562609-2	chr8	111562493	111562727	+	0.000	0.000	Merged-chr8-111562609-2
Merged-chr2-91976155-25	chr2	91975746	91976527	+	0.000	0.000	Merged-chr2-91976155-25
Merged-chr11-6546769-84	chr11	6546433	6547101	+	0.000	0.000	Merged-chr11-6546769-84
Merged-chr1-72284360-53	chr1	72284138	72284575	+	0.000	0.000	Merged-chr1-72284360-53
Merged-chr15-53312552-7	chr15	53312353	53312695	+	0.000	0.000	Merged-chr15-53312552-7
Merged-chr14-21101763-12	chr14	21101498	21101942	+	0.000	0.000	Merged-chr14-21101763-12
Merged-chr11-19823630-23	chr11	19823446	19823829	+	0.000	0.000	Merged-chr11-19823630-23
Merged-chr3-87764209-5	chr3	87763976	87764441	+	0.000	0.000	Merged-chr3-87764209-5
Merged-chr11-61670101-49	chr11	61669845	61670429	+	0.000	0.000	Merged-chr11-61670101-49
Merged-chr1-134560564-90	chr1	134560010	134561017	+	0.000	0.000	Merged-chr1-134560564-90
Merged-chr10-96080864-47	chr10	96080614	96081114	+	0.000	0.000	Merged-chr10-96080864-47
Merged-chr13-43778178-5	chr13	43777891	43778403	+	0.000	0.000	Merged-chr13-43778178-5
Merged-chr7-24134230-46	chr7	24133997	24134421	+	0.000	0.000	Merged-chr7-24134230-46
Merged-chr11-119339874-18	chr11	119339613	119340113	+	0.000	0.000	Merged-chr11-119339874-18
Merged-chr17-21477219-11	chr17	21477068	21477374	+	0.000	0.000	Merged-chr17-21477219-11
Merged-chr7-128690319-14	chr7	128690152	128690494	+	0.000	0.000	Merged-chr7-128690319-14
Merged-chr2-91070387-59	chr2	91070079	91070700	+	0.000	0.000	Merged-chr2-91070387-59
Merged-chr16-76330706-5	chr16	76330573	76330851	+	0.000	0.000	Merged-chr16-76330706-5
Merged-chr14-57719476-1	chr14	57719378	57719576	+	0.000	0.000	Merged-chr14-57719476-1
Merged-chr2-71002742-5	chr2	71002608	71002877	+	0.000	0.000	Merged-chr2-71002742-5
Merged-chr9-20868781-38	chr9	20868411	20869154	+	0.000	0.000	Merged-chr9-20868781-38
Merged-chr10-19934283-96	chr10	19933853	19934575	+	0.000	0.000	Merged-chr10-19934283-96
Merged-chr2-117338190-1	chr2	117338092	117338290	+	0.000	0.000	Merged-chr2-117338190-1
Merged-chr2-163299110-16	chr2	163298772	163299308	+	0.000	0.000	Merged-chr2-163299110-16
Merged-chr2-61453921-1	chr2	61453823	61454021	+	0.000	0.000	Merged-chr2-61453921-1
Merged-chr12-80115734-50	chr12	80115536	80115970	+	0.000	0.000	Merged-chr12-80115734-50
Merged-chr14-10368196-11	chr14	10368048	10368339	+	0.000	0.000	Merged-chr14-10368196-11
Merged-chr18-79003729-2	chr18	79003569	79003891	+	0.000	0.000	Merged-chr18-79003729-2
Merged-chr9-56135710-8	chr9	56135510	56135944	+	0.000	0.000	Merged-chr9-56135710-8
Merged-chr10-14058867-1	chr10	14058769	14058967	+	0.000	0.000	Merged-chr10-14058867-1
Merged-chr4-138325997-97	chr4	138325525	138326575	+	0.000	0.000	Merged-chr4-138325997-97
Merged-chr12-82203383-15	chr12	82203126	82203566	+	0.000	0.000	Merged-chr12-82203383-15
Merged-chr8-84908616-54	chr8	84908382	84908840	+	0.000	0.000	Merged-chr8-84908616-54
