#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Naive.up.bed
Merged-chr11-113565159-1	chr11	113565061	113565259	+	0.000	0.000	Merged-chr11-113565159-1
Merged-chr15-79038073-11	chr15	79037941	79038206	+	0.000	0.000	Merged-chr15-79038073-11
Merged-chr17-65740416-17	chr17	65740171	65740618	+	0.000	0.000	Merged-chr17-65740416-17
Merged-chr15-36374262-7	chr15	36374013	36374510	+	0.000	0.000	Merged-chr15-36374262-7
Merged-chr10-71365210-11	chr10	71365035	71365389	+	0.000	0.000	Merged-chr10-71365210-11
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr3-37183520-10	chr3	37183319	37183717	+	0.000	0.000	Merged-chr3-37183520-10
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr2-32237373-9	chr2	32237151	32237645	+	0.000	0.000	Merged-chr2-32237373-9
Merged-chr15-93694661-9	chr15	93694389	93694949	+	0.000	0.000	Merged-chr15-93694661-9
Merged-chr7-139398663-1	chr7	139398565	139398763	+	0.000	0.000	Merged-chr7-139398663-1
Merged-chr4-150626501-41	chr4	150626254	150626801	+	0.000	0.000	Merged-chr4-150626501-41
Merged-chr3-87383448-9	chr3	87383313	87383621	+	0.000	0.000	Merged-chr3-87383448-9
Merged-chr17-47171280-54	chr17	47171064	47171512	+	0.000	0.000	Merged-chr17-47171280-54
Merged-chr15-93581886-25	chr15	93581654	93582088	+	0.000	0.000	Merged-chr15-93581886-25
Merged-chr5-90603641-23	chr5	90603422	90603834	+	0.000	0.000	Merged-chr5-90603641-23
Merged-chr7-39544508-62	chr7	39544160	39544804	+	0.000	0.000	Merged-chr7-39544508-62
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr3-51652658-59	chr3	51652378	51653086	+	0.000	0.000	Merged-chr3-51652658-59
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr11-98003511-2	chr11	98003409	98003615	+	0.000	0.000	Merged-chr11-98003511-2
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr4-145315219-45	chr4	145314959	145315393	+	0.000	0.000	Merged-chr4-145315219-45
Merged-chr2-70922738-17	chr2	70922562	70923023	+	0.000	0.000	Merged-chr2-70922738-17
Merged-chr10-99263989-11	chr10	99263658	99264199	+	0.000	0.000	Merged-chr10-99263989-11
Merged-chr7-132385485-1	chr7	132385387	132385585	+	0.000	0.000	Merged-chr7-132385485-1
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr11-101582263-20	chr11	101581999	101582436	+	0.000	0.000	Merged-chr11-101582263-20
Merged-chr15-93665771-1	chr15	93665673	93665871	+	0.000	0.000	Merged-chr15-93665771-1
Merged-chr17-73096591-8	chr17	73096464	73096712	+	0.000	0.000	Merged-chr17-73096591-8
Merged-chr10-68249681-39	chr10	68249501	68249921	+	0.000	0.000	Merged-chr10-68249681-39
Merged-chr11-80488662-1	chr11	80488564	80488762	+	0.000	0.000	Merged-chr11-80488662-1
Merged-chr2-6353338-6	chr2	6353151	6353580	+	0.000	0.000	Merged-chr2-6353338-6
Merged-chr19-34306924-50	chr19	34306733	34307105	+	0.000	0.000	Merged-chr19-34306924-50
Merged-chr9-96577882-15	chr9	96577712	96578131	+	0.000	0.000	Merged-chr9-96577882-15
Merged-chr7-39449631-50	chr7	39449267	39450099	+	0.000	0.000	Merged-chr7-39449631-50
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr6-143170494-31	chr6	143170280	143170662	+	0.000	0.000	Merged-chr6-143170494-31
Merged-chr1-163779662-61	chr1	163779351	163779924	+	0.000	0.000	Merged-chr1-163779662-61
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr9-83146298-69	chr9	83145756	83146886	+	0.000	0.000	Merged-chr9-83146298-69
Merged-chr14-7929252-11	chr14	7928998	7929494	+	0.000	0.000	Merged-chr14-7929252-11
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr12-26460097-25	chr12	26459828	26460331	+	0.000	0.000	Merged-chr12-26460097-25
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr18-61208374-2	chr18	61208256	61208495	+	0.000	0.000	Merged-chr18-61208374-2
Merged-chr18-55293214-19	chr18	55292843	55293518	+	0.000	0.000	Merged-chr18-55293214-19
Merged-chr4-154405943-1	chr4	154405845	154406043	+	0.000	0.000	Merged-chr4-154405943-1
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr10-25185355-12	chr10	25185152	25185615	+	0.000	0.000	Merged-chr10-25185355-12
Merged-chr14-55635615-42	chr14	55635359	55635831	+	0.000	0.000	Merged-chr14-55635615-42
Merged-chr11-23763626-2	chr11	23763499	23763756	+	0.000	0.000	Merged-chr11-23763626-2
Merged-chrX-42366064-18	chrX	42365796	42366270	+	0.000	0.000	Merged-chrX-42366064-18
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr9-57935995-21	chr9	57935766	57936170	+	0.000	0.000	Merged-chr9-57935995-21
Merged-chr8-27177254-18	chr8	27177024	27177524	+	0.000	0.000	Merged-chr8-27177254-18
Merged-chr6-99164991-16	chr6	99164748	99165231	+	0.000	0.000	Merged-chr6-99164991-16
Merged-chr1-128772538-19	chr1	128772261	128772830	+	0.000	0.000	Merged-chr1-128772538-19
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr5-125106359-47	chr5	125106084	125106677	+	0.000	0.000	Merged-chr5-125106359-47
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr18-55066238-1	chr18	55066140	55066338	+	0.000	0.000	Merged-chr18-55066238-1
Merged-chr15-53125024-11	chr15	53124787	53125191	+	0.000	0.000	Merged-chr15-53125024-11
Merged-chr1-69753005-34	chr1	69752755	69753212	+	0.000	0.000	Merged-chr1-69753005-34
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr2-59647152-67	chr2	59646877	59647434	+	0.000	0.000	Merged-chr2-59647152-67
Merged-chr6-90715739-1	chr6	90715641	90715839	+	0.000	0.000	Merged-chr6-90715739-1
Merged-chr4-106805024-2	chr4	106804872	106805179	+	0.000	0.000	Merged-chr4-106805024-2
Merged-chr7-138886601-6	chr7	138886472	138886743	+	0.000	0.000	Merged-chr7-138886601-6
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr6-134861605-2	chr6	134861466	134861747	+	0.000	0.000	Merged-chr6-134861605-2
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr5-114213414-22	chr5	114213243	114213626	+	0.000	0.000	Merged-chr5-114213414-22
Merged-chr7-19837080-20	chr7	19836822	19837312	+	0.000	0.000	Merged-chr7-19837080-20
Merged-chr3-95681559-19	chr3	95681302	95681812	+	0.000	0.000	Merged-chr3-95681559-19
Merged-chr2-174603363-2	chr2	174603237	174603492	+	0.000	0.000	Merged-chr2-174603363-2
Merged-chr2-61402469-66	chr2	61401961	61403019	+	0.000	0.000	Merged-chr2-61402469-66
Merged-chr2-28513435-39	chr2	28513117	28513868	+	0.000	0.000	Merged-chr2-28513435-39
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr1-138248934-12	chr1	138248767	138249130	+	0.000	0.000	Merged-chr1-138248934-12
Merged-chr11-99255472-31	chr11	99255177	99255701	+	0.000	0.000	Merged-chr11-99255472-31
Merged-chr1-181230993-50	chr1	181230656	181231299	+	0.000	0.000	Merged-chr1-181230993-50
Merged-chr12-85691977-2	chr12	85691872	85692084	+	0.000	0.000	Merged-chr12-85691977-2
Merged-chr1-164973033-32	chr1	164972821	164973311	+	0.000	0.000	Merged-chr1-164973033-32
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr3-89911440-10	chr3	89911238	89911696	+	0.000	0.000	Merged-chr3-89911440-10
Merged-chr8-81857763-3	chr8	81857657	81857874	+	0.000	0.000	Merged-chr8-81857763-3
Merged-chr9-61791076-24	chr9	61790856	61791350	+	0.000	0.000	Merged-chr9-61791076-24
Merged-chr11-75279801-60	chr11	75279427	75280139	+	0.000	0.000	Merged-chr11-75279801-60
Merged-chr5-147060203-2	chr5	147060086	147060322	+	0.000	0.000	Merged-chr5-147060203-2
Merged-chr17-35301957-54	chr17	35301753	35302159	+	0.000	0.000	Merged-chr17-35301957-54
Merged-chr5-122291331-19	chr5	122291148	122291633	+	0.000	0.000	Merged-chr5-122291331-19
Merged-chr10-67487722-31	chr10	67487593	67487869	+	0.000	0.000	Merged-chr10-67487722-31
Merged-chr15-25740417-24	chr15	25740007	25740659	+	0.000	0.000	Merged-chr15-25740417-24
Merged-chr2-28514635-36	chr2	28514332	28514833	+	0.000	0.000	Merged-chr2-28514635-36
Merged-chr4-155354250-14	chr4	155354088	155354433	+	0.000	0.000	Merged-chr4-155354250-14
Merged-chr2-165878118-38	chr2	165877883	165878318	+	0.000	0.000	Merged-chr2-165878118-38
Merged-chr6-134425334-10	chr6	134425139	134425495	+	0.000	0.000	Merged-chr6-134425334-10
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr4-156008555-53	chr4	156008365	156008911	+	0.000	0.000	Merged-chr4-156008555-53
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr14-61805692-18	chr14	61805432	61806006	+	0.000	0.000	Merged-chr14-61805692-18
Merged-chr3-138876270-3	chr3	138876141	138876399	+	0.000	0.000	Merged-chr3-138876270-3
Merged-chr13-43777700-1	chr13	43777602	43777800	+	0.000	0.000	Merged-chr13-43777700-1
Merged-chr16-76249767-78	chr16	76249396	76250170	+	0.000	0.000	Merged-chr16-76249767-78
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr6-59424670-9	chr6	59424469	59424866	+	0.000	0.000	Merged-chr6-59424670-9
Merged-chr2-163166400-55	chr2	163166058	163166720	+	0.000	0.000	Merged-chr2-163166400-55
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr16-89973258-46	chr16	89973033	89973545	+	0.000	0.000	Merged-chr16-89973258-46
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr15-73595462-42	chr15	73595143	73595707	+	0.000	0.000	Merged-chr15-73595462-42
Merged-chr7-99381387-71	chr7	99381090	99381780	+	0.000	0.000	Merged-chr7-99381387-71
Merged-chrX-12005261-5	chrX	12005100	12005435	+	0.000	0.000	Merged-chrX-12005261-5
Merged-chr6-90583387-2	chr6	90583286	90583491	+	0.000	0.000	Merged-chr6-90583387-2
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chr3-101948658-63	chr3	101948355	101948974	+	0.000	0.000	Merged-chr3-101948658-63
Merged-chr9-62510656-38	chr9	62510469	62510861	+	0.000	0.000	Merged-chr9-62510656-38
Merged-chr10-121189304-59	chr10	121189029	121189854	+	0.000	0.000	Merged-chr10-121189304-59
Merged-chr10-76844808-11	chr10	76844504	76845140	+	0.000	0.000	Merged-chr10-76844808-11
Merged-chr6-37207905-12	chr6	37207701	37208166	+	0.000	0.000	Merged-chr6-37207905-12
Merged-chr8-95673039-19	chr8	95672713	95673276	+	0.000	0.000	Merged-chr8-95673039-19
Merged-chr2-151980039-70	chr2	151979702	151980361	+	0.000	0.000	Merged-chr2-151980039-70
Merged-chr2-33206193-4	chr2	33206046	33206348	+	0.000	0.000	Merged-chr2-33206193-4
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chr10-95940999-164	chr10	95940496	95941604	+	0.000	0.000	Merged-chr10-95940999-164
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr12-85280315-60	chr12	85279980	85280591	+	0.000	0.000	Merged-chr12-85280315-60
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr3-69044353-2	chr3	69044212	69044496	+	0.000	0.000	Merged-chr3-69044353-2
Merged-chr2-135892016-4	chr2	135891875	135892199	+	0.000	0.000	Merged-chr2-135892016-4
Merged-chr7-142966626-1	chr7	142966528	142966726	+	0.000	0.000	Merged-chr7-142966626-1
Merged-chr14-65343819-62	chr14	65343606	65344042	+	0.000	0.000	Merged-chr14-65343819-62
Merged-chr6-94676965-1	chr6	94676867	94677065	+	0.000	0.000	Merged-chr6-94676965-1
Merged-chr10-79097325-71	chr10	79097069	79097604	+	0.000	0.000	Merged-chr10-79097325-71
Merged-chr16-59599519-3	chr16	59599317	59599687	+	0.000	0.000	Merged-chr16-59599519-3
Merged-chr6-144919933-48	chr6	144919714	144920278	+	0.000	0.000	Merged-chr6-144919933-48
Merged-chr9-108263764-60	chr9	108263531	108264032	+	0.000	0.000	Merged-chr9-108263764-60
Merged-chr17-73174368-48	chr17	73174196	73174606	+	0.000	0.000	Merged-chr17-73174368-48
Merged-chr2-18996923-12	chr2	18996698	18997163	+	0.000	0.000	Merged-chr2-18996923-12
Merged-chr11-116012659-52	chr11	116012306	116012978	+	0.000	0.000	Merged-chr11-116012659-52
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr4-101509184-37	chr4	101508924	101509662	+	0.000	0.000	Merged-chr4-101509184-37
Merged-chr6-118067855-10	chr6	118067681	118068012	+	0.000	0.000	Merged-chr6-118067855-10
Merged-chr9-44562997-28	chr9	44562622	44563304	+	0.000	0.000	Merged-chr9-44562997-28
Merged-chr16-89833107-38	chr16	89832823	89833542	+	0.000	0.000	Merged-chr16-89833107-38
Merged-chr4-120393199-1	chr4	120393101	120393299	+	0.000	0.000	Merged-chr4-120393199-1
Merged-chr6-48025442-7	chr6	48025300	48025649	+	0.000	0.000	Merged-chr6-48025442-7
Merged-chr15-99333202-49	chr15	99332951	99333481	+	0.000	0.000	Merged-chr15-99333202-49
Merged-chr11-19987339-30	chr11	19987120	19987585	+	0.000	0.000	Merged-chr11-19987339-30
Merged-chr9-21852740-52	chr9	21852500	21852951	+	0.000	0.000	Merged-chr9-21852740-52
Merged-chr14-61770099-34	chr14	61769836	61770492	+	0.000	0.000	Merged-chr14-61770099-34
Merged-chr6-37460818-6	chr6	37460603	37460995	+	0.000	0.000	Merged-chr6-37460818-6
Merged-chr5-65869699-1	chr5	65869601	65869799	+	0.000	0.000	Merged-chr5-65869699-1
Merged-chr11-83605629-6	chr11	83605471	83605760	+	0.000	0.000	Merged-chr11-83605629-6
Merged-chr8-61234542-15	chr8	61234368	61234711	+	0.000	0.000	Merged-chr8-61234542-15
Merged-chr3-52048299-17	chr3	52048066	52048459	+	0.000	0.000	Merged-chr3-52048299-17
Merged-chr18-54940174-2	chr18	54940068	54940283	+	0.000	0.000	Merged-chr18-54940174-2
Merged-chr11-68973679-52	chr11	68973483	68973990	+	0.000	0.000	Merged-chr11-68973679-52
Merged-chr11-113785541-1	chr11	113785443	113785641	+	0.000	0.000	Merged-chr11-113785541-1
Merged-chr7-16207547-67	chr7	16207128	16207902	+	0.000	0.000	Merged-chr7-16207547-67
Merged-chr19-18787817-15	chr19	18787624	18788037	+	0.000	0.000	Merged-chr19-18787817-15
Merged-chr1-72284360-53	chr1	72284138	72284575	+	0.000	0.000	Merged-chr1-72284360-53
Merged-chr3-87764209-5	chr3	87763976	87764441	+	0.000	0.000	Merged-chr3-87764209-5
Merged-chr11-61670101-49	chr11	61669845	61670429	+	0.000	0.000	Merged-chr11-61670101-49
Merged-chr1-111864716-124	chr1	111864509	111865032	+	0.000	0.000	Merged-chr1-111864716-124
Merged-chr10-96080864-47	chr10	96080614	96081114	+	0.000	0.000	Merged-chr10-96080864-47
Merged-chr13-43778178-5	chr13	43777891	43778403	+	0.000	0.000	Merged-chr13-43778178-5
Merged-chr11-119339874-18	chr11	119339613	119340113	+	0.000	0.000	Merged-chr11-119339874-18
Merged-chr1-69461360-14	chr1	69461167	69461555	+	0.000	0.000	Merged-chr1-69461360-14
Merged-chr1-192598517-22	chr1	192598169	192598742	+	0.000	0.000	Merged-chr1-192598517-22
Merged-chr17-21477219-11	chr17	21477068	21477374	+	0.000	0.000	Merged-chr17-21477219-11
Merged-chr6-128793190-10	chr6	128793038	128793323	+	0.000	0.000	Merged-chr6-128793190-10
Merged-chr10-121197370-12	chr10	121197162	121197529	+	0.000	0.000	Merged-chr10-121197370-12
Merged-chr14-57719476-1	chr14	57719378	57719576	+	0.000	0.000	Merged-chr14-57719476-1
Merged-chr2-77148086-49	chr2	77147190	77148560	+	0.000	0.000	Merged-chr2-77148086-49
Merged-chrX-12135840-5	chrX	12135684	12136048	+	0.000	0.000	Merged-chrX-12135840-5
Merged-chr13-112287336-21	chr13	112287147	112287611	+	0.000	0.000	Merged-chr13-112287336-21
Merged-chr2-71002742-5	chr2	71002608	71002877	+	0.000	0.000	Merged-chr2-71002742-5
Merged-chr7-139412509-29	chr7	139412206	139412782	+	0.000	0.000	Merged-chr7-139412509-29
Merged-chr5-92337102-26	chr5	92336842	92337347	+	0.000	0.000	Merged-chr5-92337102-26
Merged-chr2-169586069-2	chr2	169585970	169586170	+	0.000	0.000	Merged-chr2-169586069-2
Merged-chr13-99385105-49	chr13	99384770	99385501	+	0.000	0.000	Merged-chr13-99385105-49
Merged-chr2-163299110-16	chr2	163298772	163299308	+	0.000	0.000	Merged-chr2-163299110-16
Merged-chr2-61453921-1	chr2	61453823	61454021	+	0.000	0.000	Merged-chr2-61453921-1
Merged-chr12-80115734-50	chr12	80115536	80115970	+	0.000	0.000	Merged-chr12-80115734-50
Merged-chr14-55092310-50	chr14	55092010	55092532	+	0.000	0.000	Merged-chr14-55092310-50
Merged-chr12-85945472-7	chr12	85945295	85945690	+	0.000	0.000	Merged-chr12-85945472-7
Merged-chr10-75859232-1	chr10	75859134	75859332	+	0.000	0.000	Merged-chr10-75859232-1
Merged-chr16-89872318-26	chr16	89872126	89872567	+	0.000	0.000	Merged-chr16-89872318-26
Merged-chr2-69710550-1	chr2	69710452	69710650	+	0.000	0.000	Merged-chr2-69710550-1
Merged-chr5-125183698-27	chr5	125183509	125183898	+	0.000	0.000	Merged-chr5-125183698-27
Merged-chr9-56135710-8	chr9	56135510	56135944	+	0.000	0.000	Merged-chr9-56135710-8
Merged-chr2-18920394-54	chr2	18920130	18920642	+	0.000	0.000	Merged-chr2-18920394-54
Merged-chr2-18917175-84	chr2	18916546	18917685	+	0.000	0.000	Merged-chr2-18917175-84
Merged-chr10-67503707-61	chr10	67503338	67503969	+	0.000	0.000	Merged-chr10-67503707-61
Merged-chr13-63566288-41	chr13	63565974	63566539	+	0.000	0.000	Merged-chr13-63566288-41
Merged-chr4-138325997-97	chr4	138325525	138326575	+	0.000	0.000	Merged-chr4-138325997-97
Merged-chr6-89678862-1	chr6	89678764	89678962	+	0.000	0.000	Merged-chr6-89678862-1
Merged-chr4-95800562-1	chr4	95800464	95800662	+	0.000	0.000	Merged-chr4-95800562-1
Merged-chr8-84908616-54	chr8	84908382	84908840	+	0.000	0.000	Merged-chr8-84908616-54
Merged-chr11-101067267-8	chr11	101067081	101067427	+	0.000	0.000	Merged-chr11-101067267-8
Merged-chr12-103368122-22	chr12	103367858	103368393	+	0.000	0.000	Merged-chr12-103368122-22
Merged-chr1-180215191-30	chr1	180214964	180215399	+	0.000	0.000	Merged-chr1-180215191-30
Merged-chr13-55513377-73	chr13	55513081	55513708	+	0.000	0.000	Merged-chr13-55513377-73
Merged-chr1-128832499-81	chr1	128832182	128832831	+	0.000	0.000	Merged-chr1-128832499-81
Merged-chr13-43769048-23	chr13	43768788	43769324	+	0.000	0.000	Merged-chr13-43769048-23
Merged-chr16-89974505-28	chr16	89974239	89974710	+	0.000	0.000	Merged-chr16-89974505-28
Merged-chr11-88693086-1	chr11	88692988	88693186	+	0.000	0.000	Merged-chr11-88693086-1
Merged-chr19-5024003-73	chr19	5023776	5024275	+	0.000	0.000	Merged-chr19-5024003-73
Merged-chr9-118750873-69	chr9	118750578	118751212	+	0.000	0.000	Merged-chr9-118750873-69
Merged-chr2-144646502-21	chr2	144646288	144646681	+	0.000	0.000	Merged-chr2-144646502-21
Merged-chr15-64249418-10	chr15	64249286	64249567	+	0.000	0.000	Merged-chr15-64249418-10
Merged-chr9-61827917-16	chr9	61827740	61828120	+	0.000	0.000	Merged-chr9-61827917-16
Merged-chr2-25095278-14	chr2	25095050	25095501	+	0.000	0.000	Merged-chr2-25095278-14
Merged-chr10-78458040-65	chr10	78457749	78458245	+	0.000	0.000	Merged-chr10-78458040-65
Merged-chr4-149308329-1	chr4	149308231	149308429	+	0.000	0.000	Merged-chr4-149308329-1
Merged-chr1-172000780-26	chr1	172000616	172000928	+	0.000	0.000	Merged-chr1-172000780-26
Merged-chr15-64382690-41	chr15	64382215	64383010	+	0.000	0.000	Merged-chr15-64382690-41
Merged-chr11-113165385-7	chr11	113165247	113165551	+	0.000	0.000	Merged-chr11-113165385-7
