#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Th1.up.bed
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr3-109026815-7	chr3	109026619	109026996	+	0.000	0.000	Merged-chr3-109026815-7
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr10-18845106-45	chr10	18844845	18845292	+	0.000	0.000	Merged-chr10-18845106-45
Merged-chr5-137655034-3	chr5	137654870	137655171	+	0.000	0.000	Merged-chr5-137655034-3
Merged-chr19-5273188-67	chr19	5272758	5273482	+	0.000	0.000	Merged-chr19-5273188-67
Merged-chr19-10881047-16	chr19	10880769	10881184	+	0.000	0.000	Merged-chr19-10881047-16
Merged-chr10-117839249-9	chr10	117838972	117839463	+	0.000	0.000	Merged-chr10-117839249-9
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr7-90341759-29	chr7	90341544	90342019	+	0.000	0.000	Merged-chr7-90341759-29
Merged-chr11-102456095-36	chr11	102455813	102456399	+	0.000	0.000	Merged-chr11-102456095-36
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr6-97311537-77	chr6	97311342	97311904	+	0.000	0.000	Merged-chr6-97311537-77
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr19-9938358-1	chr19	9938260	9938458	+	0.000	0.000	Merged-chr19-9938358-1
Merged-chr2-112213940-2	chr2	112213839	112214043	+	0.000	0.000	Merged-chr2-112213940-2
Merged-chr6-66962662-45	chr6	66962299	66962919	+	0.000	0.000	Merged-chr6-66962662-45
Merged-chr11-75200180-3	chr11	75200005	75200322	+	0.000	0.000	Merged-chr11-75200180-3
Merged-chr17-77514015-1	chr17	77513917	77514115	+	0.000	0.000	Merged-chr17-77514015-1
Merged-chr5-140151320-8	chr5	140151133	140151529	+	0.000	0.000	Merged-chr5-140151320-8
Merged-chr9-94563368-3	chr9	94563230	94563489	+	0.000	0.000	Merged-chr9-94563368-3
Merged-chr13-52982941-24	chr13	52982799	52983193	+	0.000	0.000	Merged-chr13-52982941-24
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr17-79296221-1	chr17	79296123	79296321	+	0.000	0.000	Merged-chr17-79296221-1
Merged-chr7-89235505-11	chr7	89235260	89235887	+	0.000	0.000	Merged-chr7-89235505-11
Merged-chr18-70574715-49	chr18	70573817	70575598	+	0.000	0.000	Merged-chr18-70574715-49
Merged-chr2-164785983-68	chr2	164785707	164786239	+	0.000	0.000	Merged-chr2-164785983-68
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr13-35808207-14	chr13	35808006	35808405	+	0.000	0.000	Merged-chr13-35808207-14
Merged-chr4-3678359-35	chr4	3678104	3678838	+	0.000	0.000	Merged-chr4-3678359-35
Merged-chr4-145248174-14	chr4	145248009	145248375	+	0.000	0.000	Merged-chr4-145248174-14
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr5-149525038-89	chr5	149524590	149525523	+	0.000	0.000	Merged-chr5-149525038-89
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr12-69373952-1	chr12	69373854	69374052	+	0.000	0.000	Merged-chr12-69373952-1
Merged-chr1-21079276-92	chr1	21079017	21079569	+	0.000	0.000	Merged-chr1-21079276-92
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr9-21686623-15	chr9	21686385	21686846	+	0.000	0.000	Merged-chr9-21686623-15
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr1-40515347-62	chr1	40514887	40515832	+	0.000	0.000	Merged-chr1-40515347-62
Merged-chr4-106561101-62	chr4	106560852	106561576	+	0.000	0.000	Merged-chr4-106561101-62
Merged-chr11-21192059-23	chr11	21191875	21192308	+	0.000	0.000	Merged-chr11-21192059-23
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr15-80034536-17	chr15	80034383	80034693	+	0.000	0.000	Merged-chr15-80034536-17
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr2-3294968-14	chr2	3294671	3295283	+	0.000	0.000	Merged-chr2-3294968-14
Merged-chr19-5850230-41	chr19	5850036	5850452	+	0.000	0.000	Merged-chr19-5850230-41
Merged-chr17-47743455-1	chr17	47743357	47743555	+	0.000	0.000	Merged-chr17-47743455-1
Merged-chr11-97988386-150	chr11	97987691	97989083	+	0.000	0.000	Merged-chr11-97988386-150
Merged-chrX-93594477-7	chrX	93594317	93594651	+	0.000	0.000	Merged-chrX-93594477-7
Merged-chr13-23556170-26	chr13	23555934	23556434	+	0.000	0.000	Merged-chr13-23556170-26
Merged-chr4-134102653-39	chr4	134102443	134102848	+	0.000	0.000	Merged-chr4-134102653-39
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr1-9798282-57	chr1	9797816	9798986	+	0.000	0.000	Merged-chr1-9798282-57
Merged-chr11-63873500-16	chr11	63873312	63873749	+	0.000	0.000	Merged-chr11-63873500-16
Merged-chr4-57904497-43	chr4	57904209	57904714	+	0.000	0.000	Merged-chr4-57904497-43
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr19-8929599-92	chr19	8929292	8929967	+	0.000	0.000	Merged-chr19-8929599-92
Merged-chr5-23713772-1	chr5	23713674	23713872	+	0.000	0.000	Merged-chr5-23713772-1
Merged-chr15-80012469-1	chr15	80012371	80012569	+	0.000	0.000	Merged-chr15-80012469-1
Merged-chr5-8669855-46	chr5	8669528	8670151	+	0.000	0.000	Merged-chr5-8669855-46
Merged-chr13-95765232-46	chr13	95764983	95765500	+	0.000	0.000	Merged-chr13-95765232-46
Merged-chr19-41384820-59	chr19	41384470	41385209	+	0.000	0.000	Merged-chr19-41384820-59
Merged-chr10-118172658-46	chr10	118172452	118172891	+	0.000	0.000	Merged-chr10-118172658-46
Merged-chr10-69351242-1	chr10	69351144	69351342	+	0.000	0.000	Merged-chr10-69351242-1
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr10-18070790-14	chr10	18070552	18071033	+	0.000	0.000	Merged-chr10-18070790-14
Merged-chr6-115995901-1	chr6	115995803	115996001	+	0.000	0.000	Merged-chr6-115995901-1
Merged-chr8-122567923-90	chr8	122567448	122568261	+	0.000	0.000	Merged-chr8-122567923-90
Merged-chr10-117948025-58	chr10	117947774	117948237	+	0.000	0.000	Merged-chr10-117948025-58
Merged-chr11-11775903-10	chr11	11775714	11776244	+	0.000	0.000	Merged-chr11-11775903-10
Merged-chr11-94989887-29	chr11	94989672	94990140	+	0.000	0.000	Merged-chr11-94989887-29
Merged-chr8-83998558-47	chr8	83998254	83998881	+	0.000	0.000	Merged-chr8-83998558-47
Merged-chr17-29268930-47	chr17	29268694	29269150	+	0.000	0.000	Merged-chr17-29268930-47
Merged-chr10-43578959-39	chr10	43578340	43579544	+	0.000	0.000	Merged-chr10-43578959-39
Merged-chr5-45675268-16	chr5	45675045	45675473	+	0.000	0.000	Merged-chr5-45675268-16
Merged-chr13-107831387-49	chr13	107831132	107831735	+	0.000	0.000	Merged-chr13-107831387-49
Merged-chr12-99407209-65	chr12	99406786	99407529	+	0.000	0.000	Merged-chr12-99407209-65
Merged-chr10-80618406-31	chr10	80618197	80618557	+	0.000	0.000	Merged-chr10-80618406-31
Merged-chr17-35836476-5	chr17	35836204	35836655	+	0.000	0.000	Merged-chr17-35836476-5
Merged-chr14-78725077-79	chr14	78724702	78725358	+	0.000	0.000	Merged-chr14-78725077-79
Merged-chr1-43464156-11	chr1	43463980	43464416	+	0.000	0.000	Merged-chr1-43464156-11
Merged-chr1-43539531-10	chr1	43539424	43539654	+	0.000	0.000	Merged-chr1-43539531-10
Merged-chr1-75218958-120	chr1	75218677	75219499	+	0.000	0.000	Merged-chr1-75218958-120
Merged-chr2-92008494-55	chr2	92008208	92008740	+	0.000	0.000	Merged-chr2-92008494-55
Merged-chr10-53959939-11	chr10	53959773	53960089	+	0.000	0.000	Merged-chr10-53959939-11
Merged-chr7-127281292-1	chr7	127281194	127281392	+	0.000	0.000	Merged-chr7-127281292-1
Merged-chr11-107443890-34	chr11	107443679	107444101	+	0.000	0.000	Merged-chr11-107443890-34
Merged-chr9-124079982-9	chr9	124079773	124080265	+	0.000	0.000	Merged-chr9-124079982-9
Merged-chr1-170993660-17	chr1	170993466	170993838	+	0.000	0.000	Merged-chr1-170993660-17
Merged-chr1-193285975-30	chr1	193285567	193286229	+	0.000	0.000	Merged-chr1-193285975-30
Merged-chr7-80402122-1	chr7	80402024	80402222	+	0.000	0.000	Merged-chr7-80402122-1
Merged-chr13-63365525-19	chr13	63365292	63365799	+	0.000	0.000	Merged-chr13-63365525-19
Merged-chr13-52976718-35	chr13	52976439	52976958	+	0.000	0.000	Merged-chr13-52976718-35
Merged-chr2-151994902-45	chr2	151994603	151995128	+	0.000	0.000	Merged-chr2-151994902-45
Merged-chr13-38145291-8	chr13	38145066	38145476	+	0.000	0.000	Merged-chr13-38145291-8
Merged-chr4-106562030-2	chr4	106561927	106562136	+	0.000	0.000	Merged-chr4-106562030-2
Merged-chr19-37435573-9	chr19	37435351	37435810	+	0.000	0.000	Merged-chr19-37435573-9
Merged-chr4-116123762-43	chr4	116123465	116124091	+	0.000	0.000	Merged-chr4-116123762-43
Merged-chr2-167661676-54	chr2	167661262	167661941	+	0.000	0.000	Merged-chr2-167661676-54
Merged-chr12-16474710-17	chr12	16474418	16474912	+	0.000	0.000	Merged-chr12-16474710-17
Merged-chr13-13584460-6	chr13	13584300	13584631	+	0.000	0.000	Merged-chr13-13584460-6
Merged-chr9-124146419-55	chr9	124146124	124146614	+	0.000	0.000	Merged-chr9-124146419-55
Merged-chr13-55330050-91	chr13	55329780	55330319	+	0.000	0.000	Merged-chr13-55330050-91
Merged-chr13-107869033-28	chr13	107868776	107869361	+	0.000	0.000	Merged-chr13-107869033-28
Merged-chr7-88321052-6	chr7	88320823	88321221	+	0.000	0.000	Merged-chr7-88321052-6
Merged-chr14-122951933-82	chr14	122951637	122952556	+	0.000	0.000	Merged-chr14-122951933-82
Merged-chr2-80579794-1	chr2	80579696	80579894	+	0.000	0.000	Merged-chr2-80579794-1
Merged-chr18-24652935-1	chr18	24652837	24653035	+	0.000	0.000	Merged-chr18-24652935-1
Merged-chr1-60652675-22	chr1	60652447	60652846	+	0.000	0.000	Merged-chr1-60652675-22
Merged-chr11-49984021-27	chr11	49983771	49984302	+	0.000	0.000	Merged-chr11-49984021-27
Merged-chr2-10151704-4	chr2	10151578	10151833	+	0.000	0.000	Merged-chr2-10151704-4
Merged-chr4-99715714-70	chr4	99715472	99715930	+	0.000	0.000	Merged-chr4-99715714-70
Merged-chr15-76639801-70	chr15	76639594	76639984	+	0.000	0.000	Merged-chr15-76639801-70
Merged-chr1-60907642-6	chr1	60907480	60907795	+	0.000	0.000	Merged-chr1-60907642-6
Merged-chr7-89146936-24	chr7	89146705	89147274	+	0.000	0.000	Merged-chr7-89146936-24
Merged-chr11-55077805-107	chr11	55077345	55078321	+	0.000	0.000	Merged-chr11-55077805-107
Merged-chr10-99097560-20	chr10	99097349	99097768	+	0.000	0.000	Merged-chr10-99097560-20
Merged-chr11-95379150-8	chr11	95378969	95379348	+	0.000	0.000	Merged-chr11-95379150-8
Merged-chr9-65598978-11	chr9	65598851	65599158	+	0.000	0.000	Merged-chr9-65598978-11
Merged-chr1-71069065-19	chr1	71068883	71069318	+	0.000	0.000	Merged-chr1-71069065-19
Merged-chr1-92697011-25	chr1	92696802	92697230	+	0.000	0.000	Merged-chr1-92697011-25
Merged-chr11-97936039-14	chr11	97935765	97936223	+	0.000	0.000	Merged-chr11-97936039-14
Merged-chr11-107465250-2	chr11	107465132	107465371	+	0.000	0.000	Merged-chr11-107465250-2
Merged-chr2-73313328-11	chr2	73313181	73313484	+	0.000	0.000	Merged-chr2-73313328-11
Merged-chr12-16509548-40	chr12	16509317	16509782	+	0.000	0.000	Merged-chr12-16509548-40
Merged-chr9-107294520-3	chr9	107294390	107294662	+	0.000	0.000	Merged-chr9-107294520-3
Merged-chr17-47536089-8	chr17	47535960	47536283	+	0.000	0.000	Merged-chr17-47536089-8
Merged-chr11-63920753-42	chr11	63920490	63920968	+	0.000	0.000	Merged-chr11-63920753-42
Merged-chrX-167182631-37	chrX	167182396	167182822	+	0.000	0.000	Merged-chrX-167182631-37
Merged-chr2-152030194-1	chr2	152030096	152030294	+	0.000	0.000	Merged-chr2-152030194-1
Merged-chr3-108730497-6	chr3	108730336	108730647	+	0.000	0.000	Merged-chr3-108730497-6
Merged-chr11-107454779-3	chr11	107454632	107454933	+	0.000	0.000	Merged-chr11-107454779-3
Merged-chr13-35795265-8	chr13	35795035	35795468	+	0.000	0.000	Merged-chr13-35795265-8
Merged-chr2-29890513-1	chr2	29890415	29890613	+	0.000	0.000	Merged-chr2-29890513-1
Merged-chr17-35700619-40	chr17	35700287	35700911	+	0.000	0.000	Merged-chr17-35700619-40
Merged-chr9-27071000-11	chr9	27070772	27071316	+	0.000	0.000	Merged-chr9-27071000-11
Merged-chr6-54040016-79	chr6	54039603	54040467	+	0.000	0.000	Merged-chr6-54040016-79
Merged-chr10-40141848-100	chr10	40140949	40142466	+	0.000	0.000	Merged-chr10-40141848-100
Merged-chr11-102930777-13	chr11	102930534	102931029	+	0.000	0.000	Merged-chr11-102930777-13
Merged-chr1-133688539-7	chr1	133688400	133688685	+	0.000	0.000	Merged-chr1-133688539-7
Merged-chr1-60868540-23	chr1	60868393	60868749	+	0.000	0.000	Merged-chr1-60868540-23
Merged-chr13-21779684-65	chr13	21779252	21780117	+	0.000	0.000	Merged-chr13-21779684-65
Merged-chr12-25096104-64	chr12	25095793	25096391	+	0.000	0.000	Merged-chr12-25096104-64
Merged-chr2-151569776-39	chr2	151569616	151570017	+	0.000	0.000	Merged-chr2-151569776-39
Merged-chr8-95612064-3	chr8	95611952	95612190	+	0.000	0.000	Merged-chr8-95612064-3
Merged-chr1-161713119-39	chr1	161712856	161713431	+	0.000	0.000	Merged-chr1-161713119-39
Merged-chr10-80917926-53	chr10	80917369	80918337	+	0.000	0.000	Merged-chr10-80917926-53
Merged-chr13-5871752-1	chr13	5871654	5871852	+	0.000	0.000	Merged-chr13-5871752-1
Merged-chr13-21780515-12	chr13	21780294	21780684	+	0.000	0.000	Merged-chr13-21780515-12
Merged-chr7-89173289-11	chr7	89173116	89173502	+	0.000	0.000	Merged-chr7-89173289-11
Merged-chr7-63987101-39	chr7	63986816	63987311	+	0.000	0.000	Merged-chr7-63987101-39
Merged-chr12-100907082-32	chr12	100906664	100907329	+	0.000	0.000	Merged-chr12-100907082-32
Merged-chr16-95731226-1	chr16	95731128	95731326	+	0.000	0.000	Merged-chr16-95731226-1
Merged-chr14-120407035-22	chr14	120406675	120407236	+	0.000	0.000	Merged-chr14-120407035-22
Merged-chr12-16304947-30	chr12	16304632	16305175	+	0.000	0.000	Merged-chr12-16304947-30
Merged-chr2-155385269-27	chr2	155385138	155385467	+	0.000	0.000	Merged-chr2-155385269-27
Merged-chr9-21167831-1	chr9	21167733	21167931	+	0.000	0.000	Merged-chr9-21167831-1
Merged-chr5-140149143-22	chr5	140148826	140149383	+	0.000	0.000	Merged-chr5-140149143-22
Merged-chr7-63957418-17	chr7	63957106	63957707	+	0.000	0.000	Merged-chr7-63957418-17
Merged-chr12-16339165-4	chr12	16338967	16339351	+	0.000	0.000	Merged-chr12-16339165-4
Merged-chr12-32208689-79	chr12	32208406	32208971	+	0.000	0.000	Merged-chr12-32208689-79
Merged-chr2-158743835-27	chr2	158743461	158744193	+	0.000	0.000	Merged-chr2-158743835-27
Merged-chr6-113645003-16	chr6	113644784	113645241	+	0.000	0.000	Merged-chr6-113645003-16
Merged-chr1-60627833-25	chr1	60627421	60628365	+	0.000	0.000	Merged-chr1-60627833-25
Merged-chr17-78273745-1	chr17	78273647	78273845	+	0.000	0.000	Merged-chr17-78273745-1
Merged-chr15-73492461-2	chr15	73492360	73492565	+	0.000	0.000	Merged-chr15-73492461-2
Merged-chr11-98960328-34	chr11	98959928	98960669	+	0.000	0.000	Merged-chr11-98960328-34
Merged-chr2-10142867-39	chr2	10142662	10143138	+	0.000	0.000	Merged-chr2-10142867-39
Merged-chr13-64129455-75	chr13	64129254	64129898	+	0.000	0.000	Merged-chr13-64129455-75
Merged-chr13-107869529-3	chr13	107869411	107869639	+	0.000	0.000	Merged-chr13-107869529-3
Merged-chr7-127149689-1	chr7	127149591	127149789	+	0.000	0.000	Merged-chr7-127149689-1
Merged-chr11-107422045-3	chr11	107421923	107422189	+	0.000	0.000	Merged-chr11-107422045-3
Merged-chr10-117859986-12	chr10	117859770	117860165	+	0.000	0.000	Merged-chr10-117859986-12
Merged-chr7-48881820-4	chr7	48881712	48881929	+	0.000	0.000	Merged-chr7-48881820-4
Merged-chr4-57886357-8	chr4	57886159	57886573	+	0.000	0.000	Merged-chr4-57886357-8
Merged-chr13-93756777-9	chr13	93756558	93756975	+	0.000	0.000	Merged-chr13-93756777-9
Merged-chr7-19935542-39	chr7	19935352	19935782	+	0.000	0.000	Merged-chr7-19935542-39
Merged-chr10-5800627-2	chr10	5800516	5800741	+	0.000	0.000	Merged-chr10-5800627-2
Merged-chr16-93906476-30	chr16	93906159	93906791	+	0.000	0.000	Merged-chr16-93906476-30
Merged-chr7-45154586-68	chr7	45154211	45154893	+	0.000	0.000	Merged-chr7-45154586-68
Merged-chr15-80619195-4	chr15	80618968	80619344	+	0.000	0.000	Merged-chr15-80619195-4
Merged-chr13-107825758-24	chr13	107825219	107826113	+	0.000	0.000	Merged-chr13-107825758-24
Merged-chrX-167210381-3	chrX	167210248	167210528	+	0.000	0.000	Merged-chrX-167210381-3
Merged-chr13-23751250-51	chr13	23751028	23751594	+	0.000	0.000	Merged-chr13-23751250-51
Merged-chr1-171782037-1	chr1	171781939	171782137	+	0.000	0.000	Merged-chr1-171782037-1
Merged-chr10-40179769-4	chr10	40179607	40180014	+	0.000	0.000	Merged-chr10-40179769-4
Merged-chr6-125355418-28	chr6	125355188	125355638	+	0.000	0.000	Merged-chr6-125355418-28
Merged-chr1-21078501-1	chr1	21078403	21078601	+	0.000	0.000	Merged-chr1-21078501-1
Merged-chr1-60883000-15	chr1	60882823	60883262	+	0.000	0.000	Merged-chr1-60883000-15
Merged-chr7-89168111-1	chr7	89168013	89168211	+	0.000	0.000	Merged-chr7-89168111-1
Merged-chr13-53109766-29	chr13	53109612	53110133	+	0.000	0.000	Merged-chr13-53109766-29
Merged-chr12-73645410-6	chr12	73645246	73645573	+	0.000	0.000	Merged-chr12-73645410-6
Merged-chr14-105232653-27	chr14	105232401	105232882	+	0.000	0.000	Merged-chr14-105232653-27
Merged-chr11-120492108-91	chr11	120491546	120492622	+	0.000	0.000	Merged-chr11-120492108-91
Merged-chr4-140906055-77	chr4	140905749	140906420	+	0.000	0.000	Merged-chr4-140906055-77
Merged-chr7-67445637-8	chr7	67445386	67445849	+	0.000	0.000	Merged-chr7-67445637-8
Merged-chr16-75894553-32	chr16	75894247	75894910	+	0.000	0.000	Merged-chr16-75894553-32
Merged-chr7-81855095-36	chr7	81854868	81855337	+	0.000	0.000	Merged-chr7-81855095-36
Merged-chr7-66108179-1	chr7	66108081	66108279	+	0.000	0.000	Merged-chr7-66108179-1
Merged-chr10-118002133-33	chr10	118001860	118002620	+	0.000	0.000	Merged-chr10-118002133-33
Merged-chr17-34628097-3	chr17	34627978	34628230	+	0.000	0.000	Merged-chr17-34628097-3
Merged-chr5-74277818-39	chr5	74277455	74278148	+	0.000	0.000	Merged-chr5-74277818-39
Merged-chr7-67372898-115	chr7	67372439	67373470	+	0.000	0.000	Merged-chr7-67372898-115
Merged-chr8-33968508-27	chr8	33968362	33968699	+	0.000	0.000	Merged-chr8-33968508-27
Merged-chr6-122764645-81	chr6	122763958	122764977	+	0.000	0.000	Merged-chr6-122764645-81
Merged-chr11-21238010-12	chr11	21237782	21238324	+	0.000	0.000	Merged-chr11-21238010-12
Merged-chr6-51544589-23	chr6	51544400	51544750	+	0.000	0.000	Merged-chr6-51544589-23
Merged-chr2-30794786-46	chr2	30794550	30795021	+	0.000	0.000	Merged-chr2-30794786-46
Merged-chr10-118495376-34	chr10	118494881	118495775	+	0.000	0.000	Merged-chr10-118495376-34
Merged-chr11-55067120-19	chr11	55066914	55067313	+	0.000	0.000	Merged-chr11-55067120-19
Merged-chr19-10695928-2	chr19	10695786	10696073	+	0.000	0.000	Merged-chr19-10695928-2
Merged-chr10-40084673-6	chr10	40084535	40084837	+	0.000	0.000	Merged-chr10-40084673-6
Merged-chr10-118100825-27	chr10	118100629	118101062	+	0.000	0.000	Merged-chr10-118100825-27
Merged-chr7-127042378-31	chr7	127042173	127042682	+	0.000	0.000	Merged-chr7-127042378-31
Merged-chr16-75877310-18	chr16	75877125	75877552	+	0.000	0.000	Merged-chr16-75877310-18
Merged-chr17-34627444-59	chr17	34626815	34627892	+	0.000	0.000	Merged-chr17-34627444-59
Merged-chr10-118481218-38	chr10	118480824	118481774	+	0.000	0.000	Merged-chr10-118481218-38
Merged-chr10-80569916-4	chr10	80569717	80570085	+	0.000	0.000	Merged-chr10-80569916-4
Merged-chr9-114781541-135	chr9	114781247	114781852	+	0.000	0.000	Merged-chr9-114781541-135
Merged-chr8-120811025-1	chr8	120810927	120811125	+	0.000	0.000	Merged-chr8-120811025-1
Merged-chr7-75914112-33	chr7	75913931	75914335	+	0.000	0.000	Merged-chr7-75914112-33
Merged-chr13-108316339-65	chr13	108316031	108316593	+	0.000	0.000	Merged-chr13-108316339-65
Merged-chrX-164034499-8	chrX	164034332	164034684	+	0.000	0.000	Merged-chrX-164034499-8
