#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr6-41535046-6	chr6	41534750	41535384	+	0.000	0.000	Merged-chr6-41535046-6
Merged-chr14-31569304-6	chr14	31569114	31569476	+	0.000	0.000	Merged-chr14-31569304-6
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr2-156970494-23	chr2	156970226	156970871	+	0.000	0.000	Merged-chr2-156970494-23
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr10-25185355-12	chr10	25185152	25185615	+	0.000	0.000	Merged-chr10-25185355-12
Merged-chr1-119504128-1	chr1	119504030	119504228	+	0.000	0.000	Merged-chr1-119504128-1
Merged-chr11-23763626-2	chr11	23763499	23763756	+	0.000	0.000	Merged-chr11-23763626-2
Merged-chr14-14703754-4	chr14	14703637	14703875	+	0.000	0.000	Merged-chr14-14703754-4
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr18-78912645-1	chr18	78912547	78912745	+	0.000	0.000	Merged-chr18-78912645-1
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr5-128981776-29	chr5	128981574	128981979	+	0.000	0.000	Merged-chr5-128981776-29
Merged-chr2-61497944-5	chr2	61497767	61498092	+	0.000	0.000	Merged-chr2-61497944-5
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr15-28021766-8	chr15	28021631	28021919	+	0.000	0.000	Merged-chr15-28021766-8
Merged-chr3-101066330-34	chr3	101066110	101066644	+	0.000	0.000	Merged-chr3-101066330-34
Merged-chr15-58215186-88	chr15	58214712	58215525	+	0.000	0.000	Merged-chr15-58215186-88
Merged-chr2-135847569-1	chr2	135847471	135847669	+	0.000	0.000	Merged-chr2-135847569-1
Merged-chrX-13516607-3	chrX	13516503	13516713	+	0.000	0.000	Merged-chrX-13516607-3
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr5-114213414-22	chr5	114213243	114213626	+	0.000	0.000	Merged-chr5-114213414-22
Merged-chr6-41605096-109	chr6	41604857	41605523	+	0.000	0.000	Merged-chr6-41605096-109
Merged-chr6-6132340-1	chr6	6132242	6132440	+	0.000	0.000	Merged-chr6-6132340-1
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr7-28373341-2	chr7	28373209	28373476	+	0.000	0.000	Merged-chr7-28373341-2
Merged-chr14-55629542-18	chr14	55629358	55629721	+	0.000	0.000	Merged-chr14-55629542-18
Merged-chr7-99798520-10	chr7	99798351	99798645	+	0.000	0.000	Merged-chr7-99798520-10
Merged-chr7-25000756-34	chr7	25000289	25001308	+	0.000	0.000	Merged-chr7-25000756-34
Merged-chr7-29039900-33	chr7	29039673	29040170	+	0.000	0.000	Merged-chr7-29039900-33
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr7-28372841-69	chr7	28372574	28373043	+	0.000	0.000	Merged-chr7-28372841-69
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr11-99255472-31	chr11	99255177	99255701	+	0.000	0.000	Merged-chr11-99255472-31
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr15-93756205-23	chr15	93755994	93756476	+	0.000	0.000	Merged-chr15-93756205-23
Merged-chr17-84272667-1	chr17	84272569	84272767	+	0.000	0.000	Merged-chr17-84272667-1
Merged-chr8-84986029-81	chr8	84985719	84986365	+	0.000	0.000	Merged-chr8-84986029-81
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr13-112472565-14	chr13	112472363	112472843	+	0.000	0.000	Merged-chr13-112472565-14
Merged-chr3-101059436-11	chr3	101059260	101059627	+	0.000	0.000	Merged-chr3-101059436-11
Merged-chr1-191317976-55	chr1	191317794	191318163	+	0.000	0.000	Merged-chr1-191317976-55
Merged-chr11-20661877-12	chr11	20661626	20662175	+	0.000	0.000	Merged-chr11-20661877-12
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr1-37030914-29	chr1	37030568	37031159	+	0.000	0.000	Merged-chr1-37030914-29
Merged-chr6-115519250-24	chr6	115518886	115519652	+	0.000	0.000	Merged-chr6-115519250-24
Merged-chr10-68240828-58	chr10	68240501	68241182	+	0.000	0.000	Merged-chr10-68240828-58
Merged-chr10-10558018-80	chr10	10557697	10558476	+	0.000	0.000	Merged-chr10-10558018-80
Merged-chr4-101496663-37	chr4	101496275	101496980	+	0.000	0.000	Merged-chr4-101496663-37
Merged-chr2-169329453-1	chr2	169329355	169329553	+	0.000	0.000	Merged-chr2-169329453-1
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr11-103809111-3	chr11	103809013	103809211	+	0.000	0.000	Merged-chr11-103809111-3
Merged-chr1-155158917-88	chr1	155158459	155159169	+	0.000	0.000	Merged-chr1-155158917-88
Merged-chr15-64211294-3	chr15	64211196	64211394	+	0.000	0.000	Merged-chr15-64211294-3
Merged-chr16-76249767-78	chr16	76249396	76250170	+	0.000	0.000	Merged-chr16-76249767-78
Merged-chr16-45382071-4	chr16	45381864	45382237	+	0.000	0.000	Merged-chr16-45382071-4
Merged-chr4-145361226-45	chr4	145360957	145361538	+	0.000	0.000	Merged-chr4-145361226-45
Merged-chr16-89973258-46	chr16	89973033	89973545	+	0.000	0.000	Merged-chr16-89973258-46
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr11-52273808-1	chr11	52273710	52273908	+	0.000	0.000	Merged-chr11-52273808-1
Merged-chr11-75348479-53	chr11	75348209	75348682	+	0.000	0.000	Merged-chr11-75348479-53
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr2-174602370-60	chr2	174602094	174602828	+	0.000	0.000	Merged-chr2-174602370-60
Merged-chr15-27923818-49	chr15	27923601	27924034	+	0.000	0.000	Merged-chr15-27923818-49
Merged-chr4-149282639-35	chr4	149282374	149282844	+	0.000	0.000	Merged-chr4-149282639-35
Merged-chr15-57600810-7	chr15	57600662	57600940	+	0.000	0.000	Merged-chr15-57600810-7
Merged-chr10-96617072-57	chr10	96616709	96617309	+	0.000	0.000	Merged-chr10-96617072-57
Merged-chr11-77372347-7	chr11	77372194	77372510	+	0.000	0.000	Merged-chr11-77372347-7
Merged-chr6-90583387-2	chr6	90583286	90583491	+	0.000	0.000	Merged-chr6-90583387-2
Merged-chrX-42500778-7	chrX	42500632	42500958	+	0.000	0.000	Merged-chrX-42500778-7
Merged-chr16-89986994-3	chr16	89986792	89987241	+	0.000	0.000	Merged-chr16-89986994-3
Merged-chr4-134752256-8	chr4	134752095	134752451	+	0.000	0.000	Merged-chr4-134752256-8
Merged-chr10-96634736-7	chr10	96634415	96635004	+	0.000	0.000	Merged-chr10-96634736-7
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chr6-147487920-1	chr6	147487822	147488020	+	0.000	0.000	Merged-chr6-147487920-1
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr2-3332756-84	chr2	3332570	3332989	+	0.000	0.000	Merged-chr2-3332756-84
Merged-chr5-65764429-153	chr5	65763767	65765209	+	0.000	0.000	Merged-chr5-65764429-153
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr3-130932446-30	chr3	130932216	130932642	+	0.000	0.000	Merged-chr3-130932446-30
Merged-chr3-121370150-110	chr3	121369598	121370352	+	0.000	0.000	Merged-chr3-121370150-110
Merged-chr6-99270140-8	chr6	99269961	99270336	+	0.000	0.000	Merged-chr6-99270140-8
Merged-chr10-81257726-38	chr10	81257264	81258062	+	0.000	0.000	Merged-chr10-81257726-38
Merged-chr6-125244741-5	chr6	125244596	125244864	+	0.000	0.000	Merged-chr6-125244741-5
Merged-chr11-116012659-52	chr11	116012306	116012978	+	0.000	0.000	Merged-chr11-116012659-52
Merged-chr11-19963036-13	chr11	19962788	19963262	+	0.000	0.000	Merged-chr11-19963036-13
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr4-107260166-15	chr4	107259997	107260339	+	0.000	0.000	Merged-chr4-107260166-15
Merged-chr4-120393199-1	chr4	120393101	120393299	+	0.000	0.000	Merged-chr4-120393199-1
Merged-chr10-68277544-1	chr10	68277446	68277644	+	0.000	0.000	Merged-chr10-68277544-1
Merged-chr3-55418940-2	chr3	55418805	55419077	+	0.000	0.000	Merged-chr3-55418940-2
Merged-chr19-10949150-60	chr19	10948851	10949486	+	0.000	0.000	Merged-chr19-10949150-60
Merged-chr11-83605629-6	chr11	83605471	83605760	+	0.000	0.000	Merged-chr11-83605629-6
Merged-chr15-36517945-17	chr15	36517774	36518147	+	0.000	0.000	Merged-chr15-36517945-17
Merged-chr19-29253972-33	chr19	29253697	29254158	+	0.000	0.000	Merged-chr19-29253972-33
Merged-chr15-27827084-13	chr15	27826868	27827284	+	0.000	0.000	Merged-chr15-27827084-13
Merged-chr15-53344767-1	chr15	53344669	53344867	+	0.000	0.000	Merged-chr15-53344767-1
Merged-chr14-75456053-31	chr14	75455814	75456307	+	0.000	0.000	Merged-chr14-75456053-31
Merged-chr8-111562609-2	chr8	111562493	111562727	+	0.000	0.000	Merged-chr8-111562609-2
Merged-chr7-82834673-11	chr7	82834347	82834902	+	0.000	0.000	Merged-chr7-82834673-11
Merged-chr2-91976155-25	chr2	91975746	91976527	+	0.000	0.000	Merged-chr2-91976155-25
Merged-chr11-6546769-84	chr11	6546433	6547101	+	0.000	0.000	Merged-chr11-6546769-84
Merged-chr3-37205453-40	chr3	37205187	37205657	+	0.000	0.000	Merged-chr3-37205453-40
Merged-chr15-53312552-7	chr15	53312353	53312695	+	0.000	0.000	Merged-chr15-53312552-7
Merged-chr13-49187713-119	chr13	49187449	49187931	+	0.000	0.000	Merged-chr13-49187713-119
Merged-chr14-21101763-12	chr14	21101498	21101942	+	0.000	0.000	Merged-chr14-21101763-12
Merged-chr11-19823630-23	chr11	19823446	19823829	+	0.000	0.000	Merged-chr11-19823630-23
Merged-chr6-59413143-3	chr6	59413000	59413276	+	0.000	0.000	Merged-chr6-59413143-3
Merged-chr7-24134230-46	chr7	24133997	24134421	+	0.000	0.000	Merged-chr7-24134230-46
Merged-chr7-128690319-14	chr7	128690152	128690494	+	0.000	0.000	Merged-chr7-128690319-14
Merged-chr2-91070387-59	chr2	91070079	91070700	+	0.000	0.000	Merged-chr2-91070387-59
Merged-chr16-76330706-5	chr16	76330573	76330851	+	0.000	0.000	Merged-chr16-76330706-5
Merged-chr14-57719476-1	chr14	57719378	57719576	+	0.000	0.000	Merged-chr14-57719476-1
Merged-chr7-139412509-29	chr7	139412206	139412782	+	0.000	0.000	Merged-chr7-139412509-29
Merged-chr10-19934283-96	chr10	19933853	19934575	+	0.000	0.000	Merged-chr10-19934283-96
Merged-chr13-28953393-108	chr13	28953056	28953784	+	0.000	0.000	Merged-chr13-28953393-108
Merged-chr1-190562762-1	chr1	190562664	190562862	+	0.000	0.000	Merged-chr1-190562762-1
Merged-chr14-10368196-11	chr14	10368048	10368339	+	0.000	0.000	Merged-chr14-10368196-11
Merged-chr18-79003729-2	chr18	79003569	79003891	+	0.000	0.000	Merged-chr18-79003729-2
Merged-chr15-36282505-1	chr15	36282407	36282605	+	0.000	0.000	Merged-chr15-36282505-1
Merged-chr12-36019766-41	chr12	36019509	36020048	+	0.000	0.000	Merged-chr12-36019766-41
Merged-chr10-121429289-15	chr10	121429127	121429454	+	0.000	0.000	Merged-chr10-121429289-15
Merged-chr5-92375346-95	chr5	92375092	92375717	+	0.000	0.000	Merged-chr5-92375346-95
Merged-chr10-14058867-1	chr10	14058769	14058967	+	0.000	0.000	Merged-chr10-14058867-1
Merged-chr13-28958355-72	chr13	28957831	28959127	+	0.000	0.000	Merged-chr13-28958355-72
Merged-chr1-164405623-22	chr1	164405357	164405935	+	0.000	0.000	Merged-chr1-164405623-22
Merged-chr17-84632041-8	chr17	84631908	84632223	+	0.000	0.000	Merged-chr17-84632041-8
Merged-chr19-5406821-115	chr19	5406405	5407085	+	0.000	0.000	Merged-chr19-5406821-115
Merged-chr7-128376440-37	chr7	128376165	128376622	+	0.000	0.000	Merged-chr7-128376440-37
Merged-chr6-48593905-66	chr6	48593622	48594351	+	0.000	0.000	Merged-chr6-48593905-66
Merged-chr2-59338660-28	chr2	59338465	59339009	+	0.000	0.000	Merged-chr2-59338660-28
Merged-chr17-28702869-12	chr17	28702653	28703146	+	0.000	0.000	Merged-chr17-28702869-12
Merged-chr7-39552657-55	chr7	39552406	39552938	+	0.000	0.000	Merged-chr7-39552657-55
Merged-chr11-78678960-17	chr11	78678758	78679208	+	0.000	0.000	Merged-chr11-78678960-17
Merged-chr7-83649000-10	chr7	83648668	83649196	+	0.000	0.000	Merged-chr7-83649000-10
Merged-chr3-55440567-5	chr3	55440390	55440813	+	0.000	0.000	Merged-chr3-55440567-5
Merged-chr10-78458040-65	chr10	78457749	78458245	+	0.000	0.000	Merged-chr10-78458040-65
Merged-chr17-84330474-94	chr17	84329876	84330945	+	0.000	0.000	Merged-chr17-84330474-94
Merged-chr6-37419600-19	chr6	37419377	37419824	+	0.000	0.000	Merged-chr6-37419600-19
Merged-chr10-25296937-67	chr10	25296580	25297164	+	0.000	0.000	Merged-chr10-25296937-67
Merged-chr14-31017990-5	chr14	31017803	31018184	+	0.000	0.000	Merged-chr14-31017990-5
Merged-chr10-84577519-1	chr10	84577421	84577619	+	0.000	0.000	Merged-chr10-84577519-1
Merged-chr7-99449077-51	chr7	99448863	99449399	+	0.000	0.000	Merged-chr7-99449077-51
Merged-chr11-23770897-156	chr11	23770600	23771388	+	0.000	0.000	Merged-chr11-23770897-156
Merged-chrX-134158448-18	chrX	134158133	134158846	+	0.000	0.000	Merged-chrX-134158448-18
Merged-chr6-6225651-1	chr6	6225553	6225751	+	0.000	0.000	Merged-chr6-6225651-1
Merged-chr12-85478019-1	chr12	85477921	85478119	+	0.000	0.000	Merged-chr12-85478019-1
Merged-chr7-79447631-31	chr7	79447206	79447978	+	0.000	0.000	Merged-chr7-79447631-31
Merged-chr7-132317352-2	chr7	132317167	132317539	+	0.000	0.000	Merged-chr7-132317352-2
Merged-chr14-18238842-138	chr14	18238520	18239011	+	0.000	0.000	Merged-chr14-18238842-138
Merged-chr6-65817899-1	chr6	65817801	65817999	+	0.000	0.000	Merged-chr6-65817899-1
Merged-chr9-86090160-1	chr9	86090062	86090260	+	0.000	0.000	Merged-chr9-86090160-1
Merged-chr12-24597265-3	chr12	24597124	24597391	+	0.000	0.000	Merged-chr12-24597265-3
Merged-chr15-99341315-43	chr15	99341073	99341631	+	0.000	0.000	Merged-chr15-99341315-43
Merged-chr6-147570106-1	chr6	147570008	147570206	+	0.000	0.000	Merged-chr6-147570106-1
Merged-chr2-131492046-74	chr2	131491669	131492541	+	0.000	0.000	Merged-chr2-131492046-74
Merged-chr12-16133558-59	chr12	16133177	16133934	+	0.000	0.000	Merged-chr12-16133558-59
Merged-chr3-96181202-20	chr3	96180958	96181397	+	0.000	0.000	Merged-chr3-96181202-20
Merged-chr12-8974083-47	chr12	8973859	8974314	+	0.000	0.000	Merged-chr12-8974083-47
Merged-chr18-35817696-3	chr18	35817552	35817875	+	0.000	0.000	Merged-chr18-35817696-3
Merged-chr15-85042702-72	chr15	85042451	85042957	+	0.000	0.000	Merged-chr15-85042702-72
Merged-chr1-52501998-15	chr1	52501771	52502281	+	0.000	0.000	Merged-chr1-52501998-15
Merged-chr1-94376031-2	chr1	94375922	94376142	+	0.000	0.000	Merged-chr1-94376031-2
Merged-chr7-4445528-58	chr7	4445223	4445791	+	0.000	0.000	Merged-chr7-4445528-58
Merged-chr6-34364838-25	chr6	34364576	34365158	+	0.000	0.000	Merged-chr6-34364838-25
Merged-chr2-135665480-1	chr2	135665382	135665580	+	0.000	0.000	Merged-chr2-135665480-1
Merged-chr12-36025776-21	chr12	36025568	36026049	+	0.000	0.000	Merged-chr12-36025776-21
Merged-chr17-28697968-89	chr17	28697375	28698504	+	0.000	0.000	Merged-chr17-28697968-89
Merged-chr10-99203814-2	chr10	99203678	99203953	+	0.000	0.000	Merged-chr10-99203814-2
Merged-chr19-29252593-51	chr19	29251917	29253174	+	0.000	0.000	Merged-chr19-29252593-51
Merged-chr1-155195240-7	chr1	155195038	155195497	+	0.000	0.000	Merged-chr1-155195240-7
Merged-chr7-64196267-19	chr7	64196111	64196400	+	0.000	0.000	Merged-chr7-64196267-19
Merged-chr1-181227991-11	chr1	181227849	181228166	+	0.000	0.000	Merged-chr1-181227991-11
Merged-chr16-90143761-94	chr16	90143394	90144135	+	0.000	0.000	Merged-chr16-90143761-94
Merged-chr2-180051185-31	chr2	180050951	180051465	+	0.000	0.000	Merged-chr2-180051185-31
Merged-chr15-93519280-70	chr15	93519021	93519512	+	0.000	0.000	Merged-chr15-93519280-70
Merged-chr16-97541482-2	chr16	97541343	97541623	+	0.000	0.000	Merged-chr16-97541482-2
Merged-chr1-35890528-67	chr1	35890288	35890825	+	0.000	0.000	Merged-chr1-35890528-67
Merged-chr8-70572293-1	chr8	70572195	70572393	+	0.000	0.000	Merged-chr8-70572293-1
Merged-chrX-114474330-36	chrX	114473999	114474596	+	0.000	0.000	Merged-chrX-114474330-36
Merged-chr3-121982250-28	chr3	121982001	121982453	+	0.000	0.000	Merged-chr3-121982250-28
Merged-chr14-31830494-112	chr14	31830270	31830963	+	0.000	0.000	Merged-chr14-31830494-112
Merged-chr12-15971947-32	chr12	15971645	15972125	+	0.000	0.000	Merged-chr12-15971947-32
Merged-chr4-95392409-2	chr4	95392218	95392602	+	0.000	0.000	Merged-chr4-95392409-2
Merged-chr12-8760828-1	chr12	8760730	8760928	+	0.000	0.000	Merged-chr12-8760828-1
Merged-chr1-60409634-93	chr1	60409314	60409994	+	0.000	0.000	Merged-chr1-60409634-93
Merged-chr7-110768982-63	chr7	110768504	110769589	+	0.000	0.000	Merged-chr7-110768982-63
Merged-chr7-83654975-2	chr7	83654877	83655075	+	0.000	0.000	Merged-chr7-83654975-2
Merged-chr18-61400402-28	chr18	61400217	61400610	+	0.000	0.000	Merged-chr18-61400402-28
Merged-chr3-37656382-12	chr3	37656032	37656582	+	0.000	0.000	Merged-chr3-37656382-12
Merged-chr15-53324911-2	chr15	53324766	53325059	+	0.000	0.000	Merged-chr15-53324911-2
Merged-chr16-57422714-21	chr16	57422458	57422943	+	0.000	0.000	Merged-chr16-57422714-21
Merged-chr11-96944830-2	chr11	96944707	96944955	+	0.000	0.000	Merged-chr11-96944830-2
