#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh.up.bed
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr18-9450048-96	chr18	9449849	9450447	+	0.000	0.000	Merged-chr18-9450048-96
Merged-chr7-132402823-64	chr7	132402535	132403061	+	0.000	0.000	Merged-chr7-132402823-64
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr12-17689227-2	chr12	17689095	17689361	+	0.000	0.000	Merged-chr12-17689227-2
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr10-95910701-11	chr10	95910525	95910844	+	0.000	0.000	Merged-chr10-95910701-11
Merged-chr11-113565159-1	chr11	113565061	113565259	+	0.000	0.000	Merged-chr11-113565159-1
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr3-37183520-10	chr3	37183319	37183717	+	0.000	0.000	Merged-chr3-37183520-10
Merged-chr10-19934742-4	chr10	19934630	19934857	+	0.000	0.000	Merged-chr10-19934742-4
Merged-chr7-49468133-37	chr7	49467878	49468390	+	0.000	0.000	Merged-chr7-49468133-37
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr2-32237373-9	chr2	32237151	32237645	+	0.000	0.000	Merged-chr2-32237373-9
Merged-chr7-139398663-1	chr7	139398565	139398763	+	0.000	0.000	Merged-chr7-139398663-1
Merged-chr4-150626501-41	chr4	150626254	150626801	+	0.000	0.000	Merged-chr4-150626501-41
Merged-chr17-34235127-37	chr17	34234871	34235318	+	0.000	0.000	Merged-chr17-34235127-37
Merged-chr5-114194325-12	chr5	114194157	114194526	+	0.000	0.000	Merged-chr5-114194325-12
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr10-99263989-11	chr10	99263658	99264199	+	0.000	0.000	Merged-chr10-99263989-11
Merged-chr7-132385485-1	chr7	132385387	132385585	+	0.000	0.000	Merged-chr7-132385485-1
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr15-93665771-1	chr15	93665673	93665871	+	0.000	0.000	Merged-chr15-93665771-1
Merged-chr10-68249681-39	chr10	68249501	68249921	+	0.000	0.000	Merged-chr10-68249681-39
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr19-34306924-50	chr19	34306733	34307105	+	0.000	0.000	Merged-chr19-34306924-50
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr2-135981518-2	chr2	135981395	135981643	+	0.000	0.000	Merged-chr2-135981518-2
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr6-143170494-31	chr6	143170280	143170662	+	0.000	0.000	Merged-chr6-143170494-31
Merged-chr6-41534400-3	chr6	41534144	41534677	+	0.000	0.000	Merged-chr6-41534400-3
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr6-41535046-6	chr6	41534750	41535384	+	0.000	0.000	Merged-chr6-41535046-6
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr12-26460097-25	chr12	26459828	26460331	+	0.000	0.000	Merged-chr12-26460097-25
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr4-154405943-1	chr4	154405845	154406043	+	0.000	0.000	Merged-chr4-154405943-1
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr10-25185355-12	chr10	25185152	25185615	+	0.000	0.000	Merged-chr10-25185355-12
Merged-chr14-55635615-42	chr14	55635359	55635831	+	0.000	0.000	Merged-chr14-55635615-42
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr9-57935995-21	chr9	57935766	57936170	+	0.000	0.000	Merged-chr9-57935995-21
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr5-125106359-47	chr5	125106084	125106677	+	0.000	0.000	Merged-chr5-125106359-47
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr2-59647152-67	chr2	59646877	59647434	+	0.000	0.000	Merged-chr2-59647152-67
Merged-chr6-90715739-1	chr6	90715641	90715839	+	0.000	0.000	Merged-chr6-90715739-1
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr4-106805024-2	chr4	106804872	106805179	+	0.000	0.000	Merged-chr4-106805024-2
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr5-114213414-22	chr5	114213243	114213626	+	0.000	0.000	Merged-chr5-114213414-22
Merged-chr7-19837080-20	chr7	19836822	19837312	+	0.000	0.000	Merged-chr7-19837080-20
Merged-chr6-6132340-1	chr6	6132242	6132440	+	0.000	0.000	Merged-chr6-6132340-1
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr2-61402469-66	chr2	61401961	61403019	+	0.000	0.000	Merged-chr2-61402469-66
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr7-25000756-34	chr7	25000289	25001308	+	0.000	0.000	Merged-chr7-25000756-34
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr1-138248934-12	chr1	138248767	138249130	+	0.000	0.000	Merged-chr1-138248934-12
Merged-chr11-99255472-31	chr11	99255177	99255701	+	0.000	0.000	Merged-chr11-99255472-31
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr10-67487722-31	chr10	67487593	67487869	+	0.000	0.000	Merged-chr10-67487722-31
Merged-chr1-37030914-29	chr1	37030568	37031159	+	0.000	0.000	Merged-chr1-37030914-29
Merged-chr4-155354250-14	chr4	155354088	155354433	+	0.000	0.000	Merged-chr4-155354250-14
Merged-chr6-115519250-24	chr6	115518886	115519652	+	0.000	0.000	Merged-chr6-115519250-24
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr16-76249767-78	chr16	76249396	76250170	+	0.000	0.000	Merged-chr16-76249767-78
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr16-89973258-46	chr16	89973033	89973545	+	0.000	0.000	Merged-chr16-89973258-46
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr11-52273808-1	chr11	52273710	52273908	+	0.000	0.000	Merged-chr11-52273808-1
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr2-174602370-60	chr2	174602094	174602828	+	0.000	0.000	Merged-chr2-174602370-60
Merged-chr15-27923818-49	chr15	27923601	27924034	+	0.000	0.000	Merged-chr15-27923818-49
Merged-chr15-57600810-7	chr15	57600662	57600940	+	0.000	0.000	Merged-chr15-57600810-7
Merged-chr15-73595462-42	chr15	73595143	73595707	+	0.000	0.000	Merged-chr15-73595462-42
Merged-chr10-96617072-57	chr10	96616709	96617309	+	0.000	0.000	Merged-chr10-96617072-57
Merged-chr6-90583387-2	chr6	90583286	90583491	+	0.000	0.000	Merged-chr6-90583387-2
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chr5-53809637-58	chr5	53809381	53809889	+	0.000	0.000	Merged-chr5-53809637-58
Merged-chrX-42500778-7	chrX	42500632	42500958	+	0.000	0.000	Merged-chrX-42500778-7
Merged-chr10-121189304-59	chr10	121189029	121189854	+	0.000	0.000	Merged-chr10-121189304-59
Merged-chr2-151980039-70	chr2	151979702	151980361	+	0.000	0.000	Merged-chr2-151980039-70
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chr10-95940999-164	chr10	95940496	95941604	+	0.000	0.000	Merged-chr10-95940999-164
Merged-chr6-147487920-1	chr6	147487822	147488020	+	0.000	0.000	Merged-chr6-147487920-1
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr12-85280315-60	chr12	85279980	85280591	+	0.000	0.000	Merged-chr12-85280315-60
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr14-65343819-62	chr14	65343606	65344042	+	0.000	0.000	Merged-chr14-65343819-62
Merged-chr10-79097325-71	chr10	79097069	79097604	+	0.000	0.000	Merged-chr10-79097325-71
Merged-chr9-108263764-60	chr9	108263531	108264032	+	0.000	0.000	Merged-chr9-108263764-60
Merged-chr2-18996923-12	chr2	18996698	18997163	+	0.000	0.000	Merged-chr2-18996923-12
Merged-chr11-116012659-52	chr11	116012306	116012978	+	0.000	0.000	Merged-chr11-116012659-52
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr4-120393199-1	chr4	120393101	120393299	+	0.000	0.000	Merged-chr4-120393199-1
Merged-chr6-48025442-7	chr6	48025300	48025649	+	0.000	0.000	Merged-chr6-48025442-7
Merged-chr11-19987339-30	chr11	19987120	19987585	+	0.000	0.000	Merged-chr11-19987339-30
Merged-chr14-61770099-34	chr14	61769836	61770492	+	0.000	0.000	Merged-chr14-61770099-34
Merged-chr5-65869699-1	chr5	65869601	65869799	+	0.000	0.000	Merged-chr5-65869699-1
Merged-chr11-83605629-6	chr11	83605471	83605760	+	0.000	0.000	Merged-chr11-83605629-6
Merged-chr8-61234542-15	chr8	61234368	61234711	+	0.000	0.000	Merged-chr8-61234542-15
Merged-chr15-36517945-17	chr15	36517774	36518147	+	0.000	0.000	Merged-chr15-36517945-17
Merged-chr8-34810085-3	chr8	34809983	34810193	+	0.000	0.000	Merged-chr8-34810085-3
Merged-chr12-8359734-34	chr12	8359429	8359921	+	0.000	0.000	Merged-chr12-8359734-34
Merged-chr7-16207547-67	chr7	16207128	16207902	+	0.000	0.000	Merged-chr7-16207547-67
Merged-chr11-6546769-84	chr11	6546433	6547101	+	0.000	0.000	Merged-chr11-6546769-84
Merged-chr1-72284360-53	chr1	72284138	72284575	+	0.000	0.000	Merged-chr1-72284360-53
Merged-chr15-53312552-7	chr15	53312353	53312695	+	0.000	0.000	Merged-chr15-53312552-7
Merged-chr11-61670101-49	chr11	61669845	61670429	+	0.000	0.000	Merged-chr11-61670101-49
Merged-chr1-192598517-22	chr1	192598169	192598742	+	0.000	0.000	Merged-chr1-192598517-22
Merged-chr6-128793190-10	chr6	128793038	128793323	+	0.000	0.000	Merged-chr6-128793190-10
Merged-chr7-128690319-14	chr7	128690152	128690494	+	0.000	0.000	Merged-chr7-128690319-14
Merged-chr14-57719476-1	chr14	57719378	57719576	+	0.000	0.000	Merged-chr14-57719476-1
Merged-chr2-71002742-5	chr2	71002608	71002877	+	0.000	0.000	Merged-chr2-71002742-5
Merged-chr9-20868781-38	chr9	20868411	20869154	+	0.000	0.000	Merged-chr9-20868781-38
Merged-chr7-139412509-29	chr7	139412206	139412782	+	0.000	0.000	Merged-chr7-139412509-29
Merged-chr5-92337102-26	chr5	92336842	92337347	+	0.000	0.000	Merged-chr5-92337102-26
Merged-chr10-19934283-96	chr10	19933853	19934575	+	0.000	0.000	Merged-chr10-19934283-96
Merged-chr13-99385105-49	chr13	99384770	99385501	+	0.000	0.000	Merged-chr13-99385105-49
Merged-chr12-80115734-50	chr12	80115536	80115970	+	0.000	0.000	Merged-chr12-80115734-50
Merged-chr1-190562762-1	chr1	190562664	190562862	+	0.000	0.000	Merged-chr1-190562762-1
Merged-chr14-55092310-50	chr14	55092010	55092532	+	0.000	0.000	Merged-chr14-55092310-50
Merged-chr12-85945472-7	chr12	85945295	85945690	+	0.000	0.000	Merged-chr12-85945472-7
Merged-chr16-89872318-26	chr16	89872126	89872567	+	0.000	0.000	Merged-chr16-89872318-26
Merged-chr18-79003729-2	chr18	79003569	79003891	+	0.000	0.000	Merged-chr18-79003729-2
Merged-chr5-125183698-27	chr5	125183509	125183898	+	0.000	0.000	Merged-chr5-125183698-27
Merged-chr15-36282505-1	chr15	36282407	36282605	+	0.000	0.000	Merged-chr15-36282505-1
Merged-chr2-18920394-54	chr2	18920130	18920642	+	0.000	0.000	Merged-chr2-18920394-54
Merged-chr12-36019766-41	chr12	36019509	36020048	+	0.000	0.000	Merged-chr12-36019766-41
Merged-chr2-18917175-84	chr2	18916546	18917685	+	0.000	0.000	Merged-chr2-18917175-84
Merged-chr10-121429289-15	chr10	121429127	121429454	+	0.000	0.000	Merged-chr10-121429289-15
Merged-chr5-92375346-95	chr5	92375092	92375717	+	0.000	0.000	Merged-chr5-92375346-95
Merged-chr6-89678862-1	chr6	89678764	89678962	+	0.000	0.000	Merged-chr6-89678862-1
Merged-chr1-164405623-22	chr1	164405357	164405935	+	0.000	0.000	Merged-chr1-164405623-22
Merged-chr4-95800562-1	chr4	95800464	95800662	+	0.000	0.000	Merged-chr4-95800562-1
Merged-chr11-101067267-8	chr11	101067081	101067427	+	0.000	0.000	Merged-chr11-101067267-8
Merged-chr17-84632041-8	chr17	84631908	84632223	+	0.000	0.000	Merged-chr17-84632041-8
Merged-chr13-55513377-73	chr13	55513081	55513708	+	0.000	0.000	Merged-chr13-55513377-73
Merged-chr19-5406821-115	chr19	5406405	5407085	+	0.000	0.000	Merged-chr19-5406821-115
Merged-chr16-89974505-28	chr16	89974239	89974710	+	0.000	0.000	Merged-chr16-89974505-28
Merged-chr6-48593905-66	chr6	48593622	48594351	+	0.000	0.000	Merged-chr6-48593905-66
Merged-chr11-88693086-1	chr11	88692988	88693186	+	0.000	0.000	Merged-chr11-88693086-1
Merged-chr19-5024003-73	chr19	5023776	5024275	+	0.000	0.000	Merged-chr19-5024003-73
Merged-chr9-118750873-69	chr9	118750578	118751212	+	0.000	0.000	Merged-chr9-118750873-69
Merged-chr2-144646502-21	chr2	144646288	144646681	+	0.000	0.000	Merged-chr2-144646502-21
Merged-chr10-78458040-65	chr10	78457749	78458245	+	0.000	0.000	Merged-chr10-78458040-65
Merged-chr4-149308329-1	chr4	149308231	149308429	+	0.000	0.000	Merged-chr4-149308329-1
Merged-chr14-54259345-44	chr14	54259062	54259589	+	0.000	0.000	Merged-chr14-54259345-44
Merged-chr17-84330474-94	chr17	84329876	84330945	+	0.000	0.000	Merged-chr17-84330474-94
Merged-chr4-150545055-50	chr4	150544831	150545246	+	0.000	0.000	Merged-chr4-150545055-50
Merged-chr1-40210867-7	chr1	40210620	40211023	+	0.000	0.000	Merged-chr1-40210867-7
Merged-chr7-78909216-11	chr7	78909051	78909406	+	0.000	0.000	Merged-chr7-78909216-11
Merged-chr13-41584057-38	chr13	41583750	41584347	+	0.000	0.000	Merged-chr13-41584057-38
Merged-chr14-31017990-5	chr14	31017803	31018184	+	0.000	0.000	Merged-chr14-31017990-5
Merged-chr9-86150259-1	chr9	86150161	86150359	+	0.000	0.000	Merged-chr9-86150259-1
Merged-chr3-87389051-8	chr3	87388722	87389316	+	0.000	0.000	Merged-chr3-87389051-8
Merged-chr6-6225651-1	chr6	6225553	6225751	+	0.000	0.000	Merged-chr6-6225651-1
Merged-chr18-54900599-82	chr18	54900310	54900956	+	0.000	0.000	Merged-chr18-54900599-82
Merged-chr15-83629458-9	chr15	83629303	83629624	+	0.000	0.000	Merged-chr15-83629458-9
Merged-chr3-121478757-1	chr3	121478659	121478857	+	0.000	0.000	Merged-chr3-121478757-1
Merged-chr2-60037299-59	chr2	60037061	60037497	+	0.000	0.000	Merged-chr2-60037299-59
Merged-chr1-192536022-1	chr1	192535924	192536122	+	0.000	0.000	Merged-chr1-192536022-1
Merged-chr10-7816759-33	chr10	7816513	7817016	+	0.000	0.000	Merged-chr10-7816759-33
Merged-chr10-14018063-54	chr10	14017726	14018615	+	0.000	0.000	Merged-chr10-14018063-54
Merged-chr10-12823956-45	chr10	12823694	12824209	+	0.000	0.000	Merged-chr10-12823956-45
Merged-chr15-99341315-43	chr15	99341073	99341631	+	0.000	0.000	Merged-chr15-99341315-43
Merged-chr6-147570106-1	chr6	147570008	147570206	+	0.000	0.000	Merged-chr6-147570106-1
Merged-chr2-131492046-74	chr2	131491669	131492541	+	0.000	0.000	Merged-chr2-131492046-74
Merged-chr12-16133558-59	chr12	16133177	16133934	+	0.000	0.000	Merged-chr12-16133558-59
Merged-chr12-8974083-47	chr12	8973859	8974314	+	0.000	0.000	Merged-chr12-8974083-47
Merged-chr18-79257508-110	chr18	79257201	79257744	+	0.000	0.000	Merged-chr18-79257508-110
Merged-chr7-132367272-1	chr7	132367174	132367372	+	0.000	0.000	Merged-chr7-132367272-1
Merged-chr9-102835165-61	chr9	102834947	102835517	+	0.000	0.000	Merged-chr9-102835165-61
Merged-chr2-135891354-60	chr2	135890945	135891686	+	0.000	0.000	Merged-chr2-135891354-60
Merged-chr1-94376031-2	chr1	94375922	94376142	+	0.000	0.000	Merged-chr1-94376031-2
Merged-chr2-28536150-1	chr2	28536052	28536250	+	0.000	0.000	Merged-chr2-28536150-1
Merged-chr10-99203814-2	chr10	99203678	99203953	+	0.000	0.000	Merged-chr10-99203814-2
Merged-chr9-118487006-1	chr9	118486908	118487106	+	0.000	0.000	Merged-chr9-118487006-1
Merged-chr19-29252593-51	chr19	29251917	29253174	+	0.000	0.000	Merged-chr19-29252593-51
Merged-chr1-155195240-7	chr1	155195038	155195497	+	0.000	0.000	Merged-chr1-155195240-7
Merged-chr11-100712318-21	chr11	100712069	100712651	+	0.000	0.000	Merged-chr11-100712318-21
Merged-chr7-64196267-19	chr7	64196111	64196400	+	0.000	0.000	Merged-chr7-64196267-19
Merged-chr2-180051185-31	chr2	180050951	180051465	+	0.000	0.000	Merged-chr2-180051185-31
Merged-chr17-21476424-1	chr17	21476326	21476524	+	0.000	0.000	Merged-chr17-21476424-1
Merged-chr13-35870796-1	chr13	35870698	35870896	+	0.000	0.000	Merged-chr13-35870796-1
Merged-chr15-93519280-70	chr15	93519021	93519512	+	0.000	0.000	Merged-chr15-93519280-70
Merged-chr8-84759322-6	chr8	84759133	84759497	+	0.000	0.000	Merged-chr8-84759322-6
Merged-chr15-27948126-6	chr15	27947965	27948331	+	0.000	0.000	Merged-chr15-27948126-6
Merged-chr10-20865092-37	chr10	20864878	20865406	+	0.000	0.000	Merged-chr10-20865092-37
Merged-chr8-70572293-1	chr8	70572195	70572393	+	0.000	0.000	Merged-chr8-70572293-1
Merged-chr3-121982250-28	chr3	121982001	121982453	+	0.000	0.000	Merged-chr3-121982250-28
Merged-chr14-31830494-112	chr14	31830270	31830963	+	0.000	0.000	Merged-chr14-31830494-112
Merged-chr11-4825222-5	chr11	4825102	4825359	+	0.000	0.000	Merged-chr11-4825222-5
Merged-chr1-94040599-7	chr1	94040485	94040715	+	0.000	0.000	Merged-chr1-94040599-7
Merged-chr16-76337291-62	chr16	76337040	76337718	+	0.000	0.000	Merged-chr16-76337291-62
Merged-chr4-95392409-2	chr4	95392218	95392602	+	0.000	0.000	Merged-chr4-95392409-2
Merged-chr1-155140247-32	chr1	155140043	155140459	+	0.000	0.000	Merged-chr1-155140247-32
Merged-chr7-16205032-23	chr7	16204861	16205326	+	0.000	0.000	Merged-chr7-16205032-23
Merged-chr1-60409634-93	chr1	60409314	60409994	+	0.000	0.000	Merged-chr1-60409634-93
Merged-chrX-42502698-84	chrX	42502460	42503133	+	0.000	0.000	Merged-chrX-42502698-84
Merged-chr7-83654975-2	chr7	83654877	83655075	+	0.000	0.000	Merged-chr7-83654975-2
Merged-chr11-52284254-21	chr11	52283826	52284506	+	0.000	0.000	Merged-chr11-52284254-21
Merged-chr18-61400402-28	chr18	61400217	61400610	+	0.000	0.000	Merged-chr18-61400402-28
Merged-chr19-17256835-48	chr19	17256402	17257263	+	0.000	0.000	Merged-chr19-17256835-48
Merged-chr11-96944830-2	chr11	96944707	96944955	+	0.000	0.000	Merged-chr11-96944830-2
Merged-chr2-93459421-90	chr2	93458860	93459897	+	0.000	0.000	Merged-chr2-93459421-90
Merged-chr1-192736716-7	chr1	192736497	192736870	+	0.000	0.000	Merged-chr1-192736716-7
Merged-chr8-81856442-3	chr8	81856223	81856609	+	0.000	0.000	Merged-chr8-81856442-3
Merged-chr5-125465794-48	chr5	125465523	125466011	+	0.000	0.000	Merged-chr5-125465794-48
Merged-chr2-144645645-1	chr2	144645547	144645745	+	0.000	0.000	Merged-chr2-144645645-1
Merged-chr10-95898728-13	chr10	95898442	95898901	+	0.000	0.000	Merged-chr10-95898728-13
Merged-chr2-103651832-1	chr2	103651734	103651932	+	0.000	0.000	Merged-chr2-103651832-1
Merged-chr2-103634168-14	chr2	103633924	103634386	+	0.000	0.000	Merged-chr2-103634168-14
Merged-chr11-52281162-6	chr11	52281038	52281300	+	0.000	0.000	Merged-chr11-52281162-6
Merged-chr11-4160376-54	chr11	4160154	4160774	+	0.000	0.000	Merged-chr11-4160376-54
Merged-chr1-119477051-49	chr1	119476778	119477429	+	0.000	0.000	Merged-chr1-119477051-49
Merged-chr2-132022406-1	chr2	132022308	132022506	+	0.000	0.000	Merged-chr2-132022406-1
Merged-chr6-134256563-23	chr6	134256152	134256797	+	0.000	0.000	Merged-chr6-134256563-23
Merged-chr9-65215225-58	chr9	65215027	65215506	+	0.000	0.000	Merged-chr9-65215225-58
Merged-chr18-50009042-56	chr18	50008466	50009440	+	0.000	0.000	Merged-chr18-50009042-56
Merged-chr19-24181781-1	chr19	24181683	24181881	+	0.000	0.000	Merged-chr19-24181781-1
Merged-chr2-93443945-1	chr2	93443847	93444045	+	0.000	0.000	Merged-chr2-93443945-1
