#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
Merged-chr15-55847334-38	chr15	55847018	55847711	+	0.000	0.000	Merged-chr15-55847334-38
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr1-161748373-32	chr1	161748179	161748645	+	0.000	0.000	Merged-chr1-161748373-32
Merged-chr13-113635077-5	chr13	113634960	113635206	+	0.000	0.000	Merged-chr13-113635077-5
Merged-chr17-5828409-23	chr17	5828148	5828656	+	0.000	0.000	Merged-chr17-5828409-23
Merged-chr10-80577794-170	chr10	80577083	80578303	+	0.000	0.000	Merged-chr10-80577794-170
Merged-chr10-77626899-11	chr10	77626732	77627106	+	0.000	0.000	Merged-chr10-77626899-11
Merged-chr3-19307844-1	chr3	19307746	19307944	+	0.000	0.000	Merged-chr3-19307844-1
Merged-chr3-107061699-25	chr3	107061522	107061901	+	0.000	0.000	Merged-chr3-107061699-25
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr7-28693715-55	chr7	28693438	28694100	+	0.000	0.000	Merged-chr7-28693715-55
Merged-chr7-110204373-3	chr7	110204199	110204534	+	0.000	0.000	Merged-chr7-110204373-3
Merged-chr19-40708425-49	chr19	40708190	40708857	+	0.000	0.000	Merged-chr19-40708425-49
Merged-chr1-153061689-5	chr1	153061472	153061872	+	0.000	0.000	Merged-chr1-153061689-5
Merged-chr13-64153044-113	chr13	64152614	64153721	+	0.000	0.000	Merged-chr13-64153044-113
Merged-chr7-75794140-5	chr7	75793896	75794330	+	0.000	0.000	Merged-chr7-75794140-5
Merged-chr6-54155596-1	chr6	54155498	54155696	+	0.000	0.000	Merged-chr6-54155596-1
Merged-chr4-59190847-19	chr4	59190596	59191099	+	0.000	0.000	Merged-chr4-59190847-19
Merged-chr13-32833384-31	chr13	32833154	32833585	+	0.000	0.000	Merged-chr13-32833384-31
Merged-chr4-15317490-9	chr4	15317278	15317723	+	0.000	0.000	Merged-chr4-15317490-9
Merged-chr11-16952284-5	chr11	16952118	16952418	+	0.000	0.000	Merged-chr11-16952284-5
Merged-chr5-107698987-6	chr5	107698713	107699204	+	0.000	0.000	Merged-chr5-107698987-6
Merged-chr2-60880763-2	chr2	60880665	60880863	+	0.000	0.000	Merged-chr2-60880763-2
Merged-chr7-66247230-15	chr7	66246845	66247629	+	0.000	0.000	Merged-chr7-66247230-15
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr6-128836446-70	chr6	128836123	128836748	+	0.000	0.000	Merged-chr6-128836446-70
Merged-chr7-128105500-13	chr7	128105323	128105762	+	0.000	0.000	Merged-chr7-128105500-13
Merged-chr15-97822128-1	chr15	97822030	97822228	+	0.000	0.000	Merged-chr15-97822128-1
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr11-46458055-5	chr11	46457941	46458193	+	0.000	0.000	Merged-chr11-46458055-5
Merged-chr19-5273188-67	chr19	5272758	5273482	+	0.000	0.000	Merged-chr19-5273188-67
Merged-chr1-161801505-4	chr1	161801385	161801647	+	0.000	0.000	Merged-chr1-161801505-4
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr7-90341759-29	chr7	90341544	90342019	+	0.000	0.000	Merged-chr7-90341759-29
Merged-chr11-106961822-47	chr11	106961526	106962150	+	0.000	0.000	Merged-chr11-106961822-47
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr6-87672210-53	chr6	87671996	87672404	+	0.000	0.000	Merged-chr6-87672210-53
Merged-chr7-126285441-83	chr7	126285080	126285884	+	0.000	0.000	Merged-chr7-126285441-83
Merged-chr6-97311537-77	chr6	97311342	97311904	+	0.000	0.000	Merged-chr6-97311537-77
Merged-chr7-89247571-1	chr7	89247473	89247671	+	0.000	0.000	Merged-chr7-89247571-1
Merged-chr19-9938358-1	chr19	9938260	9938458	+	0.000	0.000	Merged-chr19-9938358-1
Merged-chr9-123807942-4	chr9	123807759	123808153	+	0.000	0.000	Merged-chr9-123807942-4
Merged-chr6-66962662-45	chr6	66962299	66962919	+	0.000	0.000	Merged-chr6-66962662-45
Merged-chr1-153321591-2	chr1	153321476	153321708	+	0.000	0.000	Merged-chr1-153321591-2
Merged-chr5-112239781-12	chr5	112239663	112239907	+	0.000	0.000	Merged-chr5-112239781-12
Merged-chr9-119067852-20	chr9	119067616	119068111	+	0.000	0.000	Merged-chr9-119067852-20
Merged-chr9-94563368-3	chr9	94563230	94563489	+	0.000	0.000	Merged-chr9-94563368-3
Merged-chr2-132843527-2	chr2	132843423	132843633	+	0.000	0.000	Merged-chr2-132843527-2
Merged-chr5-9015309-72	chr5	9014878	9015739	+	0.000	0.000	Merged-chr5-9015309-72
Merged-chr2-154569753-87	chr2	154569524	154569949	+	0.000	0.000	Merged-chr2-154569753-87
Merged-chr7-112210103-38	chr7	112209700	112210389	+	0.000	0.000	Merged-chr7-112210103-38
Merged-chr17-79296221-1	chr17	79296123	79296321	+	0.000	0.000	Merged-chr17-79296221-1
Merged-chr4-3678359-35	chr4	3678104	3678838	+	0.000	0.000	Merged-chr4-3678359-35
Merged-chr4-107094759-30	chr4	107094451	107095025	+	0.000	0.000	Merged-chr4-107094759-30
Merged-chr10-118448163-4	chr10	118447913	118448398	+	0.000	0.000	Merged-chr10-118448163-4
Merged-chr9-114780809-3	chr9	114780613	114781048	+	0.000	0.000	Merged-chr9-114780809-3
Merged-chr4-145248174-14	chr4	145248009	145248375	+	0.000	0.000	Merged-chr4-145248174-14
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr7-67444614-20	chr7	67444418	67444828	+	0.000	0.000	Merged-chr7-67444614-20
Merged-chr16-46027426-16	chr16	46027214	46027628	+	0.000	0.000	Merged-chr16-46027426-16
Merged-chr2-60923694-43	chr2	60923074	60924117	+	0.000	0.000	Merged-chr2-60923694-43
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr12-69373952-1	chr12	69373854	69374052	+	0.000	0.000	Merged-chr12-69373952-1
Merged-chr6-42343728-43	chr6	42343441	42344074	+	0.000	0.000	Merged-chr6-42343728-43
Merged-chr17-8389397-65	chr17	8389072	8389850	+	0.000	0.000	Merged-chr17-8389397-65
Merged-chr9-21686623-15	chr9	21686385	21686846	+	0.000	0.000	Merged-chr9-21686623-15
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr13-5861346-118	chr13	5860983	5861929	+	0.000	0.000	Merged-chr13-5861346-118
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chrX-164027993-42	chrX	164027618	164028237	+	0.000	0.000	Merged-chrX-164027993-42
Merged-chr13-107903395-95	chr13	107903088	107903702	+	0.000	0.000	Merged-chr13-107903395-95
Merged-chr6-8617453-7	chr6	8617300	8617584	+	0.000	0.000	Merged-chr6-8617453-7
Merged-chr7-66175950-28	chr7	66175737	66176156	+	0.000	0.000	Merged-chr7-66175950-28
Merged-chr15-80034536-17	chr15	80034383	80034693	+	0.000	0.000	Merged-chr15-80034536-17
Merged-chr10-117984742-1	chr10	117984644	117984842	+	0.000	0.000	Merged-chr10-117984742-1
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr19-5850230-41	chr19	5850036	5850452	+	0.000	0.000	Merged-chr19-5850230-41
Merged-chr10-92717721-2	chr10	92717613	92717832	+	0.000	0.000	Merged-chr10-92717721-2
Merged-chr17-47743455-1	chr17	47743357	47743555	+	0.000	0.000	Merged-chr17-47743455-1
Merged-chrX-163994129-6	chrX	163993994	163994294	+	0.000	0.000	Merged-chrX-163994129-6
Merged-chr7-19933041-99	chr7	19932517	19933533	+	0.000	0.000	Merged-chr7-19933041-99
Merged-chr13-95618355-78	chr13	95617765	95618660	+	0.000	0.000	Merged-chr13-95618355-78
Merged-chr6-129581582-35	chr6	129581215	129582197	+	0.000	0.000	Merged-chr6-129581582-35
Merged-chr13-23556170-26	chr13	23555934	23556434	+	0.000	0.000	Merged-chr13-23556170-26
Merged-chr4-145263821-10	chr4	145263671	145263956	+	0.000	0.000	Merged-chr4-145263821-10
Merged-chr10-81538773-24	chr10	81538585	81538965	+	0.000	0.000	Merged-chr10-81538773-24
Merged-chr16-64783982-5	chr16	64783853	64784130	+	0.000	0.000	Merged-chr16-64783982-5
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr1-9798282-57	chr1	9797816	9798986	+	0.000	0.000	Merged-chr1-9798282-57
Merged-chr4-57904497-43	chr4	57904209	57904714	+	0.000	0.000	Merged-chr4-57904497-43
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr1-120234014-4	chr1	120233854	120234175	+	0.000	0.000	Merged-chr1-120234014-4
Merged-chr5-23713772-1	chr5	23713674	23713872	+	0.000	0.000	Merged-chr5-23713772-1
Merged-chr14-78677912-1	chr14	78677814	78678012	+	0.000	0.000	Merged-chr14-78677912-1
Merged-chr5-107758566-1	chr5	107758468	107758666	+	0.000	0.000	Merged-chr5-107758566-1
Merged-chr2-112224432-2	chr2	112224331	112224536	+	0.000	0.000	Merged-chr2-112224432-2
Merged-chr15-80012469-1	chr15	80012371	80012569	+	0.000	0.000	Merged-chr15-80012469-1
Merged-chr5-8669855-46	chr5	8669528	8670151	+	0.000	0.000	Merged-chr5-8669855-46
Merged-chr6-54902774-18	chr6	54902638	54902926	+	0.000	0.000	Merged-chr6-54902774-18
Merged-chr1-65186701-72	chr1	65186339	65187000	+	0.000	0.000	Merged-chr1-65186701-72
Merged-chr17-35700134-1	chr17	35700036	35700234	+	0.000	0.000	Merged-chr17-35700134-1
Merged-chr19-41384820-59	chr19	41384470	41385209	+	0.000	0.000	Merged-chr19-41384820-59
Merged-chr10-69351242-1	chr10	69351144	69351342	+	0.000	0.000	Merged-chr10-69351242-1
Merged-chr7-112238810-51	chr7	112238434	112239251	+	0.000	0.000	Merged-chr7-112238810-51
Merged-chr9-83830058-10	chr9	83829808	83830273	+	0.000	0.000	Merged-chr9-83830058-10
Merged-chr10-18070790-14	chr10	18070552	18071033	+	0.000	0.000	Merged-chr10-18070790-14
Merged-chr18-70578693-1	chr18	70578595	70578793	+	0.000	0.000	Merged-chr18-70578693-1
Merged-chr6-115995901-1	chr6	115995803	115996001	+	0.000	0.000	Merged-chr6-115995901-1
Merged-chr10-118470709-40	chr10	118470561	118470917	+	0.000	0.000	Merged-chr10-118470709-40
Merged-chr1-43563372-10	chr1	43563175	43563644	+	0.000	0.000	Merged-chr1-43563372-10
Merged-chr3-87274512-10	chr3	87274326	87274757	+	0.000	0.000	Merged-chr3-87274512-10
Merged-chr8-122567923-90	chr8	122567448	122568261	+	0.000	0.000	Merged-chr8-122567923-90
Merged-chr10-117948025-58	chr10	117947774	117948237	+	0.000	0.000	Merged-chr10-117948025-58
Merged-chr11-11775903-10	chr11	11775714	11776244	+	0.000	0.000	Merged-chr11-11775903-10
Merged-chr11-94989887-29	chr11	94989672	94990140	+	0.000	0.000	Merged-chr11-94989887-29
Merged-chr5-45675268-16	chr5	45675045	45675473	+	0.000	0.000	Merged-chr5-45675268-16
Merged-chr1-85953523-25	chr1	85953160	85953861	+	0.000	0.000	Merged-chr1-85953523-25
Merged-chr9-94441414-62	chr9	94441020	94441874	+	0.000	0.000	Merged-chr9-94441414-62
Merged-chr10-80618406-31	chr10	80618197	80618557	+	0.000	0.000	Merged-chr10-80618406-31
Merged-chr10-18917466-61	chr10	18917227	18917720	+	0.000	0.000	Merged-chr10-18917466-61
Merged-chr17-35836476-5	chr17	35836204	35836655	+	0.000	0.000	Merged-chr17-35836476-5
Merged-chr7-75863636-9	chr7	75863414	75863836	+	0.000	0.000	Merged-chr7-75863636-9
Merged-chr7-63984461-22	chr7	63984282	63984699	+	0.000	0.000	Merged-chr7-63984461-22
Merged-chr1-43539531-10	chr1	43539424	43539654	+	0.000	0.000	Merged-chr1-43539531-10
Merged-chr2-92008494-55	chr2	92008208	92008740	+	0.000	0.000	Merged-chr2-92008494-55
Merged-chr8-35430856-53	chr8	35430643	35431106	+	0.000	0.000	Merged-chr8-35430856-53
Merged-chr10-53959939-11	chr10	53959773	53960089	+	0.000	0.000	Merged-chr10-53959939-11
Merged-chr7-75887103-1	chr7	75887005	75887203	+	0.000	0.000	Merged-chr7-75887103-1
Merged-chr10-92712081-1	chr10	92711983	92712181	+	0.000	0.000	Merged-chr10-92712081-1
Merged-chr7-127281292-1	chr7	127281194	127281392	+	0.000	0.000	Merged-chr7-127281292-1
Merged-chr11-107443890-34	chr11	107443679	107444101	+	0.000	0.000	Merged-chr11-107443890-34
Merged-chr7-75796614-49	chr7	75796309	75796858	+	0.000	0.000	Merged-chr7-75796614-49
Merged-chr9-124079982-9	chr9	124079773	124080265	+	0.000	0.000	Merged-chr9-124079982-9
Merged-chr1-170993660-17	chr1	170993466	170993838	+	0.000	0.000	Merged-chr1-170993660-17
Merged-chr1-193285975-30	chr1	193285567	193286229	+	0.000	0.000	Merged-chr1-193285975-30
Merged-chr7-80402122-1	chr7	80402024	80402222	+	0.000	0.000	Merged-chr7-80402122-1
Merged-chr13-63365525-19	chr13	63365292	63365799	+	0.000	0.000	Merged-chr13-63365525-19
Merged-chr13-52976718-35	chr13	52976439	52976958	+	0.000	0.000	Merged-chr13-52976718-35
Merged-chr13-38145291-8	chr13	38145066	38145476	+	0.000	0.000	Merged-chr13-38145291-8
Merged-chr4-106562030-2	chr4	106561927	106562136	+	0.000	0.000	Merged-chr4-106562030-2
Merged-chr17-79381615-4	chr17	79381494	79381768	+	0.000	0.000	Merged-chr17-79381615-4
Merged-chr7-128180557-37	chr7	128180249	128180800	+	0.000	0.000	Merged-chr7-128180557-37
Merged-chr1-135719840-41	chr1	135719565	135720300	+	0.000	0.000	Merged-chr1-135719840-41
Merged-chr2-167661676-54	chr2	167661262	167661941	+	0.000	0.000	Merged-chr2-167661676-54
Merged-chr13-13584460-6	chr13	13584300	13584631	+	0.000	0.000	Merged-chr13-13584460-6
Merged-chr1-153058312-17	chr1	153057986	153058592	+	0.000	0.000	Merged-chr1-153058312-17
Merged-chr9-124146419-55	chr9	124146124	124146614	+	0.000	0.000	Merged-chr9-124146419-55
Merged-chr1-43431088-1	chr1	43430990	43431188	+	0.000	0.000	Merged-chr1-43431088-1
Merged-chr13-55330050-91	chr13	55329780	55330319	+	0.000	0.000	Merged-chr13-55330050-91
Merged-chr6-97352887-53	chr6	97352525	97353163	+	0.000	0.000	Merged-chr6-97352887-53
Merged-chr13-107869033-28	chr13	107868776	107869361	+	0.000	0.000	Merged-chr13-107869033-28
Merged-chr4-153964142-1	chr4	153964044	153964242	+	0.000	0.000	Merged-chr4-153964142-1
Merged-chr7-88321052-6	chr7	88320823	88321221	+	0.000	0.000	Merged-chr7-88321052-6
Merged-chr2-80579794-1	chr2	80579696	80579894	+	0.000	0.000	Merged-chr2-80579794-1
Merged-chr8-72492530-115	chr8	72492159	72493049	+	0.000	0.000	Merged-chr8-72492530-115
Merged-chr15-96714966-7	chr15	96714801	96715143	+	0.000	0.000	Merged-chr15-96714966-7
Merged-chr18-24652935-1	chr18	24652837	24653035	+	0.000	0.000	Merged-chr18-24652935-1
Merged-chr6-128826735-1	chr6	128826637	128826835	+	0.000	0.000	Merged-chr6-128826735-1
Merged-chr1-60652675-22	chr1	60652447	60652846	+	0.000	0.000	Merged-chr1-60652675-22
Merged-chr14-56284559-51	chr14	56284222	56284855	+	0.000	0.000	Merged-chr14-56284559-51
Merged-chr15-76639801-70	chr15	76639594	76639984	+	0.000	0.000	Merged-chr15-76639801-70
Merged-chr14-56296322-5	chr14	56296176	56296481	+	0.000	0.000	Merged-chr14-56296322-5
Merged-chr3-104780834-109	chr3	104779975	104781563	+	0.000	0.000	Merged-chr3-104780834-109
Merged-chr4-134642170-32	chr4	134641924	134642370	+	0.000	0.000	Merged-chr4-134642170-32
Merged-chr17-35813824-22	chr17	35813646	35814077	+	0.000	0.000	Merged-chr17-35813824-22
Merged-chr11-83536986-33	chr11	83536608	83537331	+	0.000	0.000	Merged-chr11-83536986-33
Merged-chr19-5084641-1	chr19	5084543	5084741	+	0.000	0.000	Merged-chr19-5084641-1
Merged-chr11-95379150-8	chr11	95378969	95379348	+	0.000	0.000	Merged-chr11-95379150-8
Merged-chr17-86753860-145	chr17	86753178	86754284	+	0.000	0.000	Merged-chr17-86753860-145
Merged-chr3-59120352-78	chr3	59120037	59120591	+	0.000	0.000	Merged-chr3-59120352-78
Merged-chr9-106367223-2	chr9	106367115	106367334	+	0.000	0.000	Merged-chr9-106367223-2
Merged-chr1-71069065-19	chr1	71068883	71069318	+	0.000	0.000	Merged-chr1-71069065-19
Merged-chr1-92697011-25	chr1	92696802	92697230	+	0.000	0.000	Merged-chr1-92697011-25
Merged-chr19-40685337-3	chr19	40685207	40685458	+	0.000	0.000	Merged-chr19-40685337-3
Merged-chr2-73313328-11	chr2	73313181	73313484	+	0.000	0.000	Merged-chr2-73313328-11
Merged-chr12-16509548-40	chr12	16509317	16509782	+	0.000	0.000	Merged-chr12-16509548-40
Merged-chr1-144333068-3	chr1	144332947	144333190	+	0.000	0.000	Merged-chr1-144333068-3
Merged-chr9-107294520-3	chr9	107294390	107294662	+	0.000	0.000	Merged-chr9-107294520-3
Merged-chr17-47536089-8	chr17	47535960	47536283	+	0.000	0.000	Merged-chr17-47536089-8
Merged-chr11-63920753-42	chr11	63920490	63920968	+	0.000	0.000	Merged-chr11-63920753-42
Merged-chr17-5885218-3	chr17	5885029	5885437	+	0.000	0.000	Merged-chr17-5885218-3
Merged-chrX-167182631-37	chrX	167182396	167182822	+	0.000	0.000	Merged-chrX-167182631-37
Merged-chr18-89197638-86	chr18	89196815	89198301	+	0.000	0.000	Merged-chr18-89197638-86
Merged-chr16-9009637-14	chr16	9009459	9009900	+	0.000	0.000	Merged-chr16-9009637-14
Merged-chr8-124255729-8	chr8	124255590	124255864	+	0.000	0.000	Merged-chr8-124255729-8
Merged-chr2-152030194-1	chr2	152030096	152030294	+	0.000	0.000	Merged-chr2-152030194-1
Merged-chr3-108730497-6	chr3	108730336	108730647	+	0.000	0.000	Merged-chr3-108730497-6
Merged-chr5-107759301-16	chr5	107759144	107759537	+	0.000	0.000	Merged-chr5-107759301-16
Merged-chr17-73869364-53	chr17	73869136	73869606	+	0.000	0.000	Merged-chr17-73869364-53
Merged-chr6-97458148-8	chr6	97457970	97458318	+	0.000	0.000	Merged-chr6-97458148-8
Merged-chr2-29890513-1	chr2	29890415	29890613	+	0.000	0.000	Merged-chr2-29890513-1
Merged-chr17-35700619-40	chr17	35700287	35700911	+	0.000	0.000	Merged-chr17-35700619-40
Merged-chr15-78522107-6	chr15	78521974	78522282	+	0.000	0.000	Merged-chr15-78522107-6
Merged-chr9-27071000-11	chr9	27070772	27071316	+	0.000	0.000	Merged-chr9-27071000-11
Merged-chr5-112220290-48	chr5	112219884	112220716	+	0.000	0.000	Merged-chr5-112220290-48
Merged-chr7-112220361-1	chr7	112220263	112220461	+	0.000	0.000	Merged-chr7-112220361-1
Merged-chr5-120688663-27	chr5	120688467	120688862	+	0.000	0.000	Merged-chr5-120688663-27
Merged-chr6-54040016-79	chr6	54039603	54040467	+	0.000	0.000	Merged-chr6-54040016-79
Merged-chr10-40141848-100	chr10	40140949	40142466	+	0.000	0.000	Merged-chr10-40141848-100
Merged-chr4-107092821-12	chr4	107092652	107093088	+	0.000	0.000	Merged-chr4-107092821-12
Merged-chr1-133688539-7	chr1	133688400	133688685	+	0.000	0.000	Merged-chr1-133688539-7
Merged-chr7-66160187-16	chr7	66160014	66160412	+	0.000	0.000	Merged-chr7-66160187-16
Merged-chr3-90514906-78	chr3	90514405	90515252	+	0.000	0.000	Merged-chr3-90514906-78
Merged-chr10-95415735-33	chr10	95415256	95416120	+	0.000	0.000	Merged-chr10-95415735-33
Merged-chr4-46572844-6	chr4	46572695	46572980	+	0.000	0.000	Merged-chr4-46572844-6
Merged-chr1-60868540-23	chr1	60868393	60868749	+	0.000	0.000	Merged-chr1-60868540-23
Merged-chr6-130340402-11	chr6	130340156	130340589	+	0.000	0.000	Merged-chr6-130340402-11
Merged-chr1-171793480-13	chr1	171793311	171793638	+	0.000	0.000	Merged-chr1-171793480-13
Merged-chr13-21779684-65	chr13	21779252	21780117	+	0.000	0.000	Merged-chr13-21779684-65
Merged-chr12-25096104-64	chr12	25095793	25096391	+	0.000	0.000	Merged-chr12-25096104-64
Merged-chr1-161713119-39	chr1	161712856	161713431	+	0.000	0.000	Merged-chr1-161713119-39
Merged-chr12-32207058-29	chr12	32206870	32207257	+	0.000	0.000	Merged-chr12-32207058-29
Merged-chr10-80917926-53	chr10	80917369	80918337	+	0.000	0.000	Merged-chr10-80917926-53
Merged-chr12-16580677-15	chr12	16580325	16580877	+	0.000	0.000	Merged-chr12-16580677-15
Merged-chr13-21780515-12	chr13	21780294	21780684	+	0.000	0.000	Merged-chr13-21780515-12
Merged-chr15-93252175-91	chr15	93251626	93252823	+	0.000	0.000	Merged-chr15-93252175-91
Merged-chr16-95731226-1	chr16	95731128	95731326	+	0.000	0.000	Merged-chr16-95731226-1
Merged-chr14-120407035-22	chr14	120406675	120407236	+	0.000	0.000	Merged-chr14-120407035-22
Merged-chr12-16304947-30	chr12	16304632	16305175	+	0.000	0.000	Merged-chr12-16304947-30
Merged-chr9-21167831-1	chr9	21167733	21167931	+	0.000	0.000	Merged-chr9-21167831-1
Merged-chr5-140149143-22	chr5	140148826	140149383	+	0.000	0.000	Merged-chr5-140149143-22
Merged-chr12-16339165-4	chr12	16338967	16339351	+	0.000	0.000	Merged-chr12-16339165-4
Merged-chr12-32208689-79	chr12	32208406	32208971	+	0.000	0.000	Merged-chr12-32208689-79
Merged-chr2-158743835-27	chr2	158743461	158744193	+	0.000	0.000	Merged-chr2-158743835-27
Merged-chr7-122132985-53	chr7	122132737	122133249	+	0.000	0.000	Merged-chr7-122132985-53
Merged-chr11-75269578-15	chr11	75269407	75269719	+	0.000	0.000	Merged-chr11-75269578-15
Merged-chr13-107868532-1	chr13	107868434	107868632	+	0.000	0.000	Merged-chr13-107868532-1
Merged-chr17-78273745-1	chr17	78273647	78273845	+	0.000	0.000	Merged-chr17-78273745-1
Merged-chr1-171763336-1	chr1	171763238	171763436	+	0.000	0.000	Merged-chr1-171763336-1
Merged-chr15-73492461-2	chr15	73492360	73492565	+	0.000	0.000	Merged-chr15-73492461-2
Merged-chr11-98960328-34	chr11	98959928	98960669	+	0.000	0.000	Merged-chr11-98960328-34
Merged-chr2-10142867-39	chr2	10142662	10143138	+	0.000	0.000	Merged-chr2-10142867-39
Merged-chr13-107869529-3	chr13	107869411	107869639	+	0.000	0.000	Merged-chr13-107869529-3
Merged-chr7-127149689-1	chr7	127149591	127149789	+	0.000	0.000	Merged-chr7-127149689-1
Merged-chr6-112856769-8	chr6	112856533	112856932	+	0.000	0.000	Merged-chr6-112856769-8
Merged-chr11-107422045-3	chr11	107421923	107422189	+	0.000	0.000	Merged-chr11-107422045-3
Merged-chr13-12574600-1	chr13	12574502	12574700	+	0.000	0.000	Merged-chr13-12574600-1
Merged-chr10-117859986-12	chr10	117859770	117860165	+	0.000	0.000	Merged-chr10-117859986-12
Merged-chr10-76542538-5	chr10	76542416	76542655	+	0.000	0.000	Merged-chr10-76542538-5
Merged-chr6-51533616-16	chr6	51533314	51533829	+	0.000	0.000	Merged-chr6-51533616-16
Merged-chr7-19935542-39	chr7	19935352	19935782	+	0.000	0.000	Merged-chr7-19935542-39
