#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
Merged-chr19-34314624-1	chr19	34314526	34314724	+	0.000	0.000	Merged-chr19-34314624-1
Merged-chr7-128653548-3	chr7	128653393	128653696	+	0.000	0.000	Merged-chr7-128653548-3
Merged-chr2-122469407-42	chr2	122469153	122469591	+	0.000	0.000	Merged-chr2-122469407-42
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr9-83146298-69	chr9	83145756	83146886	+	0.000	0.000	Merged-chr9-83146298-69
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr6-116311503-1	chr6	116311405	116311603	+	0.000	0.000	Merged-chr6-116311503-1
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr17-8240496-17	chr17	8240150	8240762	+	0.000	0.000	Merged-chr17-8240496-17
Merged-chr18-61208374-2	chr18	61208256	61208495	+	0.000	0.000	Merged-chr18-61208374-2
Merged-chr10-30719099-39	chr10	30718779	30719317	+	0.000	0.000	Merged-chr10-30719099-39
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr17-5093524-26	chr17	5093336	5093722	+	0.000	0.000	Merged-chr17-5093524-26
Merged-chr14-55635615-42	chr14	55635359	55635831	+	0.000	0.000	Merged-chr14-55635615-42
Merged-chr16-97459755-2	chr16	97459648	97459865	+	0.000	0.000	Merged-chr16-97459755-2
Merged-chr1-119504128-1	chr1	119504030	119504228	+	0.000	0.000	Merged-chr1-119504128-1
Merged-chr10-59974606-81	chr10	59974256	59974865	+	0.000	0.000	Merged-chr10-59974606-81
Merged-chr12-68840505-1	chr12	68840407	68840605	+	0.000	0.000	Merged-chr12-68840505-1
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr18-78912645-1	chr18	78912547	78912745	+	0.000	0.000	Merged-chr18-78912645-1
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr1-128772538-19	chr1	128772261	128772830	+	0.000	0.000	Merged-chr1-128772538-19
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr5-125106359-47	chr5	125106084	125106677	+	0.000	0.000	Merged-chr5-125106359-47
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr13-108853912-1	chr13	108853814	108854012	+	0.000	0.000	Merged-chr13-108853912-1
Merged-chr15-100871033-1	chr15	100870935	100871133	+	0.000	0.000	Merged-chr15-100871033-1
Merged-chr16-77020436-25	chr16	77020227	77020667	+	0.000	0.000	Merged-chr16-77020436-25
Merged-chr3-101066330-34	chr3	101066110	101066644	+	0.000	0.000	Merged-chr3-101066330-34
Merged-chr11-46404706-1	chr11	46404608	46404806	+	0.000	0.000	Merged-chr11-46404706-1
Merged-chr1-64089059-8	chr1	64088707	64089274	+	0.000	0.000	Merged-chr1-64089059-8
Merged-chr1-192063830-1	chr1	192063732	192063930	+	0.000	0.000	Merged-chr1-192063830-1
Merged-chr1-179517638-119	chr1	179516905	179518186	+	0.000	0.000	Merged-chr1-179517638-119
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-58215186-88	chr15	58214712	58215525	+	0.000	0.000	Merged-chr15-58215186-88
Merged-chr2-135847569-1	chr2	135847471	135847669	+	0.000	0.000	Merged-chr2-135847569-1
Merged-chr4-32166349-13	chr4	32166141	32166495	+	0.000	0.000	Merged-chr4-32166349-13
Merged-chr7-127393642-77	chr7	127393257	127394045	+	0.000	0.000	Merged-chr7-127393642-77
Merged-chr5-144100460-55	chr5	144100189	144100715	+	0.000	0.000	Merged-chr5-144100460-55
Merged-chr12-69863671-25	chr12	69863470	69863930	+	0.000	0.000	Merged-chr12-69863671-25
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr4-106805024-2	chr4	106804872	106805179	+	0.000	0.000	Merged-chr4-106805024-2
Merged-chr7-138886601-6	chr7	138886472	138886743	+	0.000	0.000	Merged-chr7-138886601-6
Merged-chr10-130371145-16	chr10	130370890	130371431	+	0.000	0.000	Merged-chr10-130371145-16
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr6-121247947-4	chr6	121247743	121248212	+	0.000	0.000	Merged-chr6-121247947-4
Merged-chr12-55497950-1	chr12	55497852	55498050	+	0.000	0.000	Merged-chr12-55497950-1
Merged-chr7-73546834-52	chr7	73546629	73547090	+	0.000	0.000	Merged-chr7-73546834-52
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr4-10968085-44	chr4	10967892	10968319	+	0.000	0.000	Merged-chr4-10968085-44
Merged-chr7-12422521-72	chr7	12422035	12422887	+	0.000	0.000	Merged-chr7-12422521-72
Merged-chr9-48985134-97	chr9	48984786	48985413	+	0.000	0.000	Merged-chr9-48985134-97
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr13-58206802-1	chr13	58206704	58206902	+	0.000	0.000	Merged-chr13-58206802-1
Merged-chr17-35666880-3	chr17	35666718	35667103	+	0.000	0.000	Merged-chr17-35666880-3
Merged-chr7-19837080-20	chr7	19836822	19837312	+	0.000	0.000	Merged-chr7-19837080-20
Merged-chr1-172148814-1	chr1	172148716	172148914	+	0.000	0.000	Merged-chr1-172148814-1
Merged-chr3-95681559-19	chr3	95681302	95681812	+	0.000	0.000	Merged-chr3-95681559-19
Merged-chr6-6132340-1	chr6	6132242	6132440	+	0.000	0.000	Merged-chr6-6132340-1
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr1-156043171-17	chr1	156042816	156043372	+	0.000	0.000	Merged-chr1-156043171-17
Merged-chr4-137880751-1	chr4	137880653	137880851	+	0.000	0.000	Merged-chr4-137880751-1
Merged-chr15-96377378-14	chr15	96377186	96377642	+	0.000	0.000	Merged-chr15-96377378-14
Merged-chr2-61402469-66	chr2	61401961	61403019	+	0.000	0.000	Merged-chr2-61402469-66
Merged-chr2-28513435-39	chr2	28513117	28513868	+	0.000	0.000	Merged-chr2-28513435-39
Merged-chr2-75705231-1	chr2	75705133	75705331	+	0.000	0.000	Merged-chr2-75705231-1
Merged-chr16-35747565-9	chr16	35747374	35747750	+	0.000	0.000	Merged-chr16-35747565-9
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr14-55629542-18	chr14	55629358	55629721	+	0.000	0.000	Merged-chr14-55629542-18
Merged-chr1-106738280-22	chr1	106738078	106738513	+	0.000	0.000	Merged-chr1-106738280-22
Merged-chr4-106912245-1	chr4	106912147	106912345	+	0.000	0.000	Merged-chr4-106912245-1
Merged-chr11-100819577-1	chr11	100819479	100819677	+	0.000	0.000	Merged-chr11-100819577-1
Merged-chr5-144263627-18	chr5	144263367	144263823	+	0.000	0.000	Merged-chr5-144263627-18
Merged-chr14-31194622-6	chr14	31194462	31194796	+	0.000	0.000	Merged-chr14-31194622-6
Merged-chr7-29039900-33	chr7	29039673	29040170	+	0.000	0.000	Merged-chr7-29039900-33
Merged-chr15-100424546-20	chr15	100424210	100424888	+	0.000	0.000	Merged-chr15-100424546-20
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr12-52524948-24	chr12	52524665	52525171	+	0.000	0.000	Merged-chr12-52524948-24
Merged-chr1-179502778-16	chr1	179502518	179503018	+	0.000	0.000	Merged-chr1-179502778-16
Merged-chr7-127946978-1	chr7	127946880	127947078	+	0.000	0.000	Merged-chr7-127946978-1
Merged-chr7-28372841-69	chr7	28372574	28373043	+	0.000	0.000	Merged-chr7-28372841-69
Merged-chr1-138248934-12	chr1	138248767	138249130	+	0.000	0.000	Merged-chr1-138248934-12
Merged-chr4-32342446-3	chr4	32342307	32342578	+	0.000	0.000	Merged-chr4-32342446-3
Merged-chr10-67112116-37	chr10	67111904	67112502	+	0.000	0.000	Merged-chr10-67112116-37
Merged-chr13-109837849-65	chr13	109837657	109838034	+	0.000	0.000	Merged-chr13-109837849-65
Merged-chr16-24165807-44	chr16	24165324	24166176	+	0.000	0.000	Merged-chr16-24165807-44
Merged-chr9-61372365-47	chr9	61371943	61372645	+	0.000	0.000	Merged-chr9-61372365-47
Merged-chr12-87442765-7	chr12	87442552	87442926	+	0.000	0.000	Merged-chr12-87442765-7
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr14-121936476-1	chr14	121936378	121936576	+	0.000	0.000	Merged-chr14-121936476-1
Merged-chr15-93756205-23	chr15	93755994	93756476	+	0.000	0.000	Merged-chr15-93756205-23
Merged-chr6-121245760-60	chr6	121245472	121246000	+	0.000	0.000	Merged-chr6-121245760-60
Merged-chrX-20307421-11	chrX	20307214	20307599	+	0.000	0.000	Merged-chrX-20307421-11
Merged-chr5-147475490-3	chr5	147475381	147475607	+	0.000	0.000	Merged-chr5-147475490-3
Merged-chr5-53999784-28	chr5	53999514	54000176	+	0.000	0.000	Merged-chr5-53999784-28
Merged-chr3-89911440-10	chr3	89911238	89911696	+	0.000	0.000	Merged-chr3-89911440-10
Merged-chr4-86739424-15	chr4	86739247	86739596	+	0.000	0.000	Merged-chr4-86739424-15
Merged-chr17-35200638-36	chr17	35200391	35200802	+	0.000	0.000	Merged-chr17-35200638-36
Merged-chr13-112472565-14	chr13	112472363	112472843	+	0.000	0.000	Merged-chr13-112472565-14
Merged-chr11-3131292-2	chr11	3131194	3131392	+	0.000	0.000	Merged-chr11-3131292-2
Merged-chr9-61791076-24	chr9	61790856	61791350	+	0.000	0.000	Merged-chr9-61791076-24
Merged-chr5-75534401-1	chr5	75534303	75534501	+	0.000	0.000	Merged-chr5-75534401-1
Merged-chr2-4918465-9	chr2	4918301	4918718	+	0.000	0.000	Merged-chr2-4918465-9
Merged-chr11-115974957-30	chr11	115974732	115975304	+	0.000	0.000	Merged-chr11-115974957-30
Merged-chr5-147060203-2	chr5	147060086	147060322	+	0.000	0.000	Merged-chr5-147060203-2
Merged-chr17-35301957-54	chr17	35301753	35302159	+	0.000	0.000	Merged-chr17-35301957-54
Merged-chr5-122291331-19	chr5	122291148	122291633	+	0.000	0.000	Merged-chr5-122291331-19
Merged-chr2-168083277-3	chr2	168083108	168083481	+	0.000	0.000	Merged-chr2-168083277-3
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr10-80152261-5	chr10	80152121	80152443	+	0.000	0.000	Merged-chr10-80152261-5
Merged-chr5-75530270-1	chr5	75530172	75530370	+	0.000	0.000	Merged-chr5-75530270-1
Merged-chr2-165878118-38	chr2	165877883	165878318	+	0.000	0.000	Merged-chr2-165878118-38
Merged-chr10-10558018-80	chr10	10557697	10558476	+	0.000	0.000	Merged-chr10-10558018-80
Merged-chr6-134425334-10	chr6	134425139	134425495	+	0.000	0.000	Merged-chr6-134425334-10
Merged-chr6-67510918-34	chr6	67510660	67511144	+	0.000	0.000	Merged-chr6-67510918-34
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chrY-1244513-1	chrY	1244415	1244613	+	0.000	0.000	Merged-chrY-1244513-1
Merged-chr19-57095609-11	chr19	57095457	57095788	+	0.000	0.000	Merged-chr19-57095609-11
Merged-chr17-26009700-29	chr17	26009525	26009898	+	0.000	0.000	Merged-chr17-26009700-29
Merged-chr19-57077212-7	chr19	57077083	57077368	+	0.000	0.000	Merged-chr19-57077212-7
Merged-chr13-43777700-1	chr13	43777602	43777800	+	0.000	0.000	Merged-chr13-43777700-1
Merged-chr1-138560961-36	chr1	138560752	138561197	+	0.000	0.000	Merged-chr1-138560961-36
Merged-chr16-76249767-78	chr16	76249396	76250170	+	0.000	0.000	Merged-chr16-76249767-78
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr16-45382071-4	chr16	45381864	45382237	+	0.000	0.000	Merged-chr16-45382071-4
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr11-79142530-5	chr11	79142358	79142718	+	0.000	0.000	Merged-chr11-79142530-5
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
