#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh.dn.bed
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr12-81971712-84	chr12	81971382	81971984	+	0.000	0.000	Merged-chr12-81971712-84
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr9-35199813-60	chr9	35199531	35200198	+	0.000	0.000	Merged-chr9-35199813-60
Merged-chr10-19122454-26	chr10	19122224	19122660	+	0.000	0.000	Merged-chr10-19122454-26
Merged-chr8-124020004-4	chr8	124019861	124020139	+	0.000	0.000	Merged-chr8-124020004-4
Merged-chr2-68338493-1	chr2	68338395	68338593	+	0.000	0.000	Merged-chr2-68338493-1
Merged-chr8-128352989-24	chr8	128352771	128353184	+	0.000	0.000	Merged-chr8-128352989-24
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr12-73880274-74	chr12	73879737	73880932	+	0.000	0.000	Merged-chr12-73880274-74
Merged-chr19-41895161-4	chr19	41895018	41895305	+	0.000	0.000	Merged-chr19-41895161-4
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr17-22081170-26	chr17	22080797	22081494	+	0.000	0.000	Merged-chr17-22081170-26
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
Merged-chr7-24884343-81	chr7	24884071	24884562	+	0.000	0.000	Merged-chr7-24884343-81
Merged-chr8-126595306-20	chr8	126595097	126595596	+	0.000	0.000	Merged-chr8-126595306-20
Merged-chr12-112959295-1	chr12	112959197	112959395	+	0.000	0.000	Merged-chr12-112959295-1
Merged-chr9-94698356-7	chr9	94698121	94698633	+	0.000	0.000	Merged-chr9-94698356-7
Merged-chr2-68291418-12	chr2	68291218	68291690	+	0.000	0.000	Merged-chr2-68291418-12
Merged-chr16-16912027-29	chr16	16911822	16912205	+	0.000	0.000	Merged-chr16-16912027-29
Merged-chr15-5116701-74	chr15	5116300	5116991	+	0.000	0.000	Merged-chr15-5116701-74
Merged-chr3-123515174-4	chr3	123515010	123515319	+	0.000	0.000	Merged-chr3-123515174-4
Merged-chr5-75649003-1	chr5	75648905	75649103	+	0.000	0.000	Merged-chr5-75649003-1
Merged-chr8-79371540-1	chr8	79371442	79371640	+	0.000	0.000	Merged-chr8-79371540-1
Merged-chr6-125467519-12	chr6	125467300	125467730	+	0.000	0.000	Merged-chr6-125467519-12
Merged-chr13-116712410-33	chr13	116712108	116712626	+	0.000	0.000	Merged-chr13-116712410-33
Merged-chr13-42103449-92	chr13	42102987	42103696	+	0.000	0.000	Merged-chr13-42103449-92
Merged-chrX-7867527-15	chrX	7867226	7867757	+	0.000	0.000	Merged-chrX-7867527-15
Merged-chr12-113220068-2	chr12	113219928	113220211	+	0.000	0.000	Merged-chr12-113220068-2
Merged-chr17-15704757-20	chr17	15704540	15705055	+	0.000	0.000	Merged-chr17-15704757-20
Merged-chr9-55808003-9	chr9	55807814	55808158	+	0.000	0.000	Merged-chr9-55808003-9
Merged-chr17-8240496-17	chr17	8240150	8240762	+	0.000	0.000	Merged-chr17-8240496-17
Merged-chr4-3835460-93	chr4	3834929	3835840	+	0.000	0.000	Merged-chr4-3835460-93
Merged-chr6-105532794-1	chr6	105532696	105532894	+	0.000	0.000	Merged-chr6-105532794-1
Merged-chr11-79129591-7	chr11	79129442	79129760	+	0.000	0.000	Merged-chr11-79129591-7
Merged-chr11-116394565-53	chr11	116394121	116395088	+	0.000	0.000	Merged-chr11-116394565-53
Merged-chr19-46309133-9	chr19	46308944	46309284	+	0.000	0.000	Merged-chr19-46309133-9
Merged-chr3-116513134-67	chr3	116512853	116513340	+	0.000	0.000	Merged-chr3-116513134-67
Merged-chr4-32166349-13	chr4	32166141	32166495	+	0.000	0.000	Merged-chr4-32166349-13
Merged-chr10-42958255-21	chr10	42958054	42958513	+	0.000	0.000	Merged-chr10-42958255-21
Merged-chr10-19094450-40	chr10	19094210	19094668	+	0.000	0.000	Merged-chr10-19094450-40
Merged-chr4-152325932-66	chr4	152325683	152326147	+	0.000	0.000	Merged-chr4-152325932-66
Merged-chr10-130371145-16	chr10	130370890	130371431	+	0.000	0.000	Merged-chr10-130371145-16
Merged-chr7-73546834-52	chr7	73546629	73547090	+	0.000	0.000	Merged-chr7-73546834-52
Merged-chr18-64991575-63	chr18	64991223	64991940	+	0.000	0.000	Merged-chr18-64991575-63
Merged-chr13-58206802-1	chr13	58206704	58206902	+	0.000	0.000	Merged-chr13-58206802-1
Merged-chr12-52524948-24	chr12	52524665	52525171	+	0.000	0.000	Merged-chr12-52524948-24
Merged-chr13-73604203-68	chr13	73603740	73604526	+	0.000	0.000	Merged-chr13-73604203-68
Merged-chr16-24188070-2	chr16	24187965	24188177	+	0.000	0.000	Merged-chr16-24188070-2
Merged-chr6-121110104-77	chr6	121109696	121110482	+	0.000	0.000	Merged-chr6-121110104-77
Merged-chr17-35200638-36	chr17	35200391	35200802	+	0.000	0.000	Merged-chr17-35200638-36
Merged-chr11-3131292-2	chr11	3131194	3131392	+	0.000	0.000	Merged-chr11-3131292-2
Merged-chr15-31453482-63	chr15	31453181	31453833	+	0.000	0.000	Merged-chr15-31453482-63
Merged-chr5-100664078-31	chr5	100663857	100664349	+	0.000	0.000	Merged-chr5-100664078-31
Merged-chr10-80152261-5	chr10	80152121	80152443	+	0.000	0.000	Merged-chr10-80152261-5
Merged-chr6-67510918-34	chr6	67510660	67511144	+	0.000	0.000	Merged-chr6-67510918-34
Merged-chr8-93933058-30	chr8	93932809	93933293	+	0.000	0.000	Merged-chr8-93933058-30
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
Merged-chr8-14994534-59	chr8	14993948	14994900	+	0.000	0.000	Merged-chr8-14994534-59
Merged-chr8-106412256-7	chr8	106412031	106412429	+	0.000	0.000	Merged-chr8-106412256-7
Merged-chr3-135825991-159	chr3	135825682	135826205	+	0.000	0.000	Merged-chr3-135825991-159
Merged-chr5-41844685-118	chr5	41844122	41844978	+	0.000	0.000	Merged-chr5-41844685-118
Merged-chr1-189080988-15	chr1	189080751	189081196	+	0.000	0.000	Merged-chr1-189080988-15
Merged-chr9-106448654-27	chr9	106448332	106448836	+	0.000	0.000	Merged-chr9-106448654-27
Merged-chr1-138585695-6	chr1	138585495	138585845	+	0.000	0.000	Merged-chr1-138585695-6
Merged-chr15-12268204-21	chr15	12267923	12268474	+	0.000	0.000	Merged-chr15-12268204-21
Merged-chr12-113222478-76	chr12	113222046	113222713	+	0.000	0.000	Merged-chr12-113222478-76
Merged-chr10-82053844-6	chr10	82053705	82053971	+	0.000	0.000	Merged-chr10-82053844-6
Merged-chr11-109375148-3	chr11	109375010	109375295	+	0.000	0.000	Merged-chr11-109375148-3
Merged-chr16-36071679-92	chr16	36071371	36071899	+	0.000	0.000	Merged-chr16-36071679-92
Merged-chr13-42101708-35	chr13	42101503	42101886	+	0.000	0.000	Merged-chr13-42101708-35
Merged-chr11-54936551-30	chr11	54936067	54936944	+	0.000	0.000	Merged-chr11-54936551-30
Merged-chr12-117480283-1	chr12	117480185	117480383	+	0.000	0.000	Merged-chr12-117480283-1
Merged-chr15-59019141-20	chr15	59018813	59019380	+	0.000	0.000	Merged-chr15-59019141-20
Merged-chr7-35774249-18	chr7	35773880	35774547	+	0.000	0.000	Merged-chr7-35774249-18
Merged-chr14-118673054-3	chr14	118672950	118673157	+	0.000	0.000	Merged-chr14-118673054-3
Merged-chr6-17871871-7	chr6	17871761	17871984	+	0.000	0.000	Merged-chr6-17871871-7
Merged-chr9-38718732-127	chr9	38717888	38719441	+	0.000	0.000	Merged-chr9-38718732-127
Merged-chr6-121245278-1	chr6	121245180	121245378	+	0.000	0.000	Merged-chr6-121245278-1
Merged-chr19-55062253-32	chr19	55062075	55062419	+	0.000	0.000	Merged-chr19-55062253-32
Merged-chr9-55807553-3	chr9	55807389	55807687	+	0.000	0.000	Merged-chr9-55807553-3
Merged-chr7-7130705-50	chr7	7130503	7130949	+	0.000	0.000	Merged-chr7-7130705-50
Merged-chr14-121914815-1	chr14	121914717	121914915	+	0.000	0.000	Merged-chr14-121914815-1
Merged-chr5-92312461-16	chr5	92312277	92312668	+	0.000	0.000	Merged-chr5-92312461-16
Merged-chr13-30186492-12	chr13	30186306	30186786	+	0.000	0.000	Merged-chr13-30186492-12
Merged-chr10-53597724-2	chr10	53597544	53597907	+	0.000	0.000	Merged-chr10-53597724-2
Merged-chr12-113187707-36	chr12	113187449	113187889	+	0.000	0.000	Merged-chr12-113187707-36
Merged-chr7-19304064-18	chr7	19303781	19304300	+	0.000	0.000	Merged-chr7-19304064-18
Merged-chr15-59520042-4	chr15	59519872	59520172	+	0.000	0.000	Merged-chr15-59520042-4
Merged-chr17-84148977-32	chr17	84148808	84149291	+	0.000	0.000	Merged-chr17-84148977-32
Merged-chr3-95659542-11	chr3	95659327	95659713	+	0.000	0.000	Merged-chr3-95659542-11
Merged-chr19-40232056-31	chr19	40231823	40232327	+	0.000	0.000	Merged-chr19-40232056-31
Merged-chr4-63861232-54	chr4	63861052	63861607	+	0.000	0.000	Merged-chr4-63861232-54
Merged-chr13-4609107-53	chr13	4608846	4609327	+	0.000	0.000	Merged-chr13-4609107-53
Merged-chr10-94917729-28	chr10	94917355	94918318	+	0.000	0.000	Merged-chr10-94917729-28
Merged-chr13-117289795-31	chr13	117289547	117290063	+	0.000	0.000	Merged-chr13-117289795-31
Merged-chr12-117566493-34	chr12	117566267	117566861	+	0.000	0.000	Merged-chr12-117566493-34
Merged-chr18-53417585-1	chr18	53417487	53417685	+	0.000	0.000	Merged-chr18-53417585-1
Merged-chr11-3179643-4	chr11	3179532	3179784	+	0.000	0.000	Merged-chr11-3179643-4
Merged-chr14-52008925-52	chr14	52008617	52009198	+	0.000	0.000	Merged-chr14-52008925-52
Merged-chr6-143859539-1	chr6	143859441	143859639	+	0.000	0.000	Merged-chr6-143859539-1
Merged-chr14-62798973-44	chr14	62798775	62799174	+	0.000	0.000	Merged-chr14-62798973-44
Merged-chr10-120556279-62	chr10	120555891	120556703	+	0.000	0.000	Merged-chr10-120556279-62
Merged-chr9-5309058-104	chr9	5308710	5309505	+	0.000	0.000	Merged-chr9-5309058-104
Merged-chr7-80207439-1	chr7	80207341	80207539	+	0.000	0.000	Merged-chr7-80207439-1
Merged-chr16-96126914-2	chr16	96126776	96127054	+	0.000	0.000	Merged-chr16-96126914-2
Merged-chr11-4319663-56	chr11	4319385	4319960	+	0.000	0.000	Merged-chr11-4319663-56
Merged-chr12-55302892-86	chr12	55302441	55303109	+	0.000	0.000	Merged-chr12-55302892-86
Merged-chr1-164072258-30	chr1	164071946	164072562	+	0.000	0.000	Merged-chr1-164072258-30
Merged-chr8-61517791-23	chr8	61517541	61518001	+	0.000	0.000	Merged-chr8-61517791-23
Merged-chr16-90283533-5	chr16	90283350	90283700	+	0.000	0.000	Merged-chr16-90283533-5
Merged-chr2-16359590-3	chr2	16359475	16359702	+	0.000	0.000	Merged-chr2-16359590-3
Merged-chr12-69513488-22	chr12	69513230	69513684	+	0.000	0.000	Merged-chr12-69513488-22
Merged-chr5-65113500-21	chr5	65113319	65113702	+	0.000	0.000	Merged-chr5-65113500-21
Merged-chr4-33248202-146	chr4	33247639	33248385	+	0.000	0.000	Merged-chr4-33248202-146
Merged-chr5-75805857-1	chr5	75805759	75805957	+	0.000	0.000	Merged-chr5-75805857-1
Merged-chr11-52224357-50	chr11	52224032	52224648	+	0.000	0.000	Merged-chr11-52224357-50
Merged-chr1-182363988-37	chr1	182363656	182364310	+	0.000	0.000	Merged-chr1-182363988-37
Merged-chr16-90312588-7	chr16	90312403	90312810	+	0.000	0.000	Merged-chr16-90312588-7
Merged-chr11-4340171-6	chr11	4340005	4340448	+	0.000	0.000	Merged-chr11-4340171-6
Merged-chr7-143624807-1	chr7	143624709	143624907	+	0.000	0.000	Merged-chr7-143624807-1
Merged-chr16-36057150-3	chr16	36057052	36057250	+	0.000	0.000	Merged-chr16-36057150-3
Merged-chr17-83364959-1	chr17	83364861	83365059	+	0.000	0.000	Merged-chr17-83364959-1
Merged-chr2-120561719-10	chr2	120561544	120561953	+	0.000	0.000	Merged-chr2-120561719-10
Merged-chr7-25781953-85	chr7	25781389	25782599	+	0.000	0.000	Merged-chr7-25781953-85
Merged-chr4-136117195-10	chr4	136117011	136117482	+	0.000	0.000	Merged-chr4-136117195-10
Merged-chr7-100706569-64	chr7	100706348	100706783	+	0.000	0.000	Merged-chr7-100706569-64
Merged-chr18-65016159-16	chr18	65015930	65016398	+	0.000	0.000	Merged-chr18-65016159-16
Merged-chr7-80027845-1	chr7	80027747	80027945	+	0.000	0.000	Merged-chr7-80027845-1
Merged-chr11-70605299-15	chr11	70605110	70605507	+	0.000	0.000	Merged-chr11-70605299-15
Merged-chr9-94622098-10	chr9	94621813	94622337	+	0.000	0.000	Merged-chr9-94622098-10
Merged-chr19-7064773-15	chr19	7064514	7064955	+	0.000	0.000	Merged-chr19-7064773-15
Merged-chr13-95325062-90	chr13	95324264	95325528	+	0.000	0.000	Merged-chr13-95325062-90
Merged-chr12-116011021-26	chr12	116010776	116011281	+	0.000	0.000	Merged-chr12-116011021-26
Merged-chr9-77806830-39	chr9	77806620	77807126	+	0.000	0.000	Merged-chr9-77806830-39
Merged-chr15-85991356-2	chr15	85991195	85991520	+	0.000	0.000	Merged-chr15-85991356-2
Merged-chr3-94953335-6	chr3	94953237	94953435	+	0.000	0.000	Merged-chr3-94953335-6
Merged-chr13-42103828-8	chr13	42103703	42103978	+	0.000	0.000	Merged-chr13-42103828-8
Merged-chr9-114481135-6	chr9	114480943	114481283	+	0.000	0.000	Merged-chr9-114481135-6
Merged-chr14-78435284-73	chr14	78434834	78435695	+	0.000	0.000	Merged-chr14-78435284-73
Merged-chr5-75588127-1	chr5	75588029	75588227	+	0.000	0.000	Merged-chr5-75588127-1
Merged-chr18-80417131-11	chr18	80416843	80417311	+	0.000	0.000	Merged-chr18-80417131-11
Merged-chr10-115385565-2	chr10	115385467	115385665	+	0.000	0.000	Merged-chr10-115385565-2
Merged-chr14-118675575-4	chr14	118675424	118675715	+	0.000	0.000	Merged-chr14-118675575-4
Merged-chr1-138542700-22	chr1	138542351	138542976	+	0.000	0.000	Merged-chr1-138542700-22
Merged-chr18-7756969-23	chr18	7756696	7757207	+	0.000	0.000	Merged-chr18-7756969-23
Merged-chr18-65050721-23	chr18	65050140	65051168	+	0.000	0.000	Merged-chr18-65050721-23
Merged-chr8-79155697-33	chr8	79155411	79155907	+	0.000	0.000	Merged-chr8-79155697-33
Merged-chr7-19619181-20	chr7	19618989	19619398	+	0.000	0.000	Merged-chr7-19619181-20
Merged-chr10-100543140-30	chr10	100542721	100543447	+	0.000	0.000	Merged-chr10-100543140-30
Merged-chr2-17855738-13	chr2	17855391	17855964	+	0.000	0.000	Merged-chr2-17855738-13
Merged-chr13-30149089-13	chr13	30148855	30149295	+	0.000	0.000	Merged-chr13-30149089-13
Merged-chr11-48858981-2	chr11	48858868	48859096	+	0.000	0.000	Merged-chr11-48858981-2
Merged-chr15-12397193-17	chr15	12396942	12397393	+	0.000	0.000	Merged-chr15-12397193-17
Merged-chr9-62363718-31	chr9	62363380	62363944	+	0.000	0.000	Merged-chr9-62363718-31
Merged-chr15-91682816-1	chr15	91682718	91682916	+	0.000	0.000	Merged-chr15-91682816-1
Merged-chr7-4996162-39	chr7	4995918	4996611	+	0.000	0.000	Merged-chr7-4996162-39
Merged-chr10-19188580-55	chr10	19188196	19188872	+	0.000	0.000	Merged-chr10-19188580-55
Merged-chr10-60029641-13	chr10	60029491	60029795	+	0.000	0.000	Merged-chr10-60029641-13
Merged-chr19-36533224-11	chr19	36533012	36533451	+	0.000	0.000	Merged-chr19-36533224-11
Merged-chr15-3988220-10	chr15	3988068	3988377	+	0.000	0.000	Merged-chr15-3988220-10
Merged-chr10-117625957-44	chr10	117625708	117626168	+	0.000	0.000	Merged-chr10-117625957-44
Merged-chr6-48085920-2	chr6	48085798	48086044	+	0.000	0.000	Merged-chr6-48085920-2
Merged-chr6-121130984-16	chr6	121130834	121131110	+	0.000	0.000	Merged-chr6-121130984-16
Merged-chr8-84595844-11	chr8	84595599	84596051	+	0.000	0.000	Merged-chr8-84595844-11
Merged-chr8-66862372-8	chr8	66862032	66862650	+	0.000	0.000	Merged-chr8-66862372-8
Merged-chr7-73594834-1	chr7	73594736	73594934	+	0.000	0.000	Merged-chr7-73594834-1
Merged-chr13-58189550-13	chr13	58189129	58189820	+	0.000	0.000	Merged-chr13-58189550-13
Merged-chr7-24468111-23	chr7	24467910	24468307	+	0.000	0.000	Merged-chr7-24468111-23
Merged-chr5-75734762-1	chr5	75734664	75734862	+	0.000	0.000	Merged-chr5-75734762-1
Merged-chr16-94374445-4	chr16	94374306	94374595	+	0.000	0.000	Merged-chr16-94374445-4
Merged-chr11-4390804-16	chr11	4390635	4391004	+	0.000	0.000	Merged-chr11-4390804-16
Merged-chr3-52262718-28	chr3	52262420	52262954	+	0.000	0.000	Merged-chr3-52262718-28
Merged-chr4-24897991-83	chr4	24897608	24898482	+	0.000	0.000	Merged-chr4-24897991-83
Merged-chr2-172972051-17	chr2	172971890	172972222	+	0.000	0.000	Merged-chr2-172972051-17
Merged-chr1-55429096-8	chr1	55428946	55429279	+	0.000	0.000	Merged-chr1-55429096-8
Merged-chr10-42887187-18	chr10	42887021	42887354	+	0.000	0.000	Merged-chr10-42887187-18
Merged-chr8-61426321-97	chr8	61425842	61426683	+	0.000	0.000	Merged-chr8-61426321-97
Merged-chr11-4341178-4	chr11	4341004	4341331	+	0.000	0.000	Merged-chr11-4341178-4
Merged-chr4-63941372-31	chr4	63940948	63941724	+	0.000	0.000	Merged-chr4-63941372-31
Merged-chr6-134558916-6	chr6	134558751	134559060	+	0.000	0.000	Merged-chr6-134558916-6
Merged-chr1-127381080-26	chr1	127380702	127381331	+	0.000	0.000	Merged-chr1-127381080-26
Merged-chr1-189936861-20	chr1	189936615	189937129	+	0.000	0.000	Merged-chr1-189936861-20
Merged-chr1-189921503-12	chr1	189920969	189921888	+	0.000	0.000	Merged-chr1-189921503-12
Merged-chr13-67194635-55	chr13	67194397	67194862	+	0.000	0.000	Merged-chr13-67194635-55
Merged-chr15-12285432-27	chr15	12285184	12285652	+	0.000	0.000	Merged-chr15-12285432-27
Merged-chr9-77750767-56	chr9	77750485	77750937	+	0.000	0.000	Merged-chr9-77750767-56
Merged-chr13-30198146-3	chr13	30197918	30198385	+	0.000	0.000	Merged-chr13-30198146-3
Merged-chr18-53951279-47	chr18	53950975	53951524	+	0.000	0.000	Merged-chr18-53951279-47
Merged-chr6-144772237-32	chr6	144772012	144772601	+	0.000	0.000	Merged-chr6-144772237-32
Merged-chr3-122955066-27	chr3	122954773	122955301	+	0.000	0.000	Merged-chr3-122955066-27
Merged-chr3-62505935-1	chr3	62505837	62506035	+	0.000	0.000	Merged-chr3-62505935-1
Merged-chr9-35498014-17	chr9	35497829	35498210	+	0.000	0.000	Merged-chr9-35498014-17
Merged-chrX-75674232-65	chrX	75674025	75674376	+	0.000	0.000	Merged-chrX-75674232-65
Merged-chr5-105686468-30	chr5	105686315	105686614	+	0.000	0.000	Merged-chr5-105686468-30
Merged-chr5-41843889-1	chr5	41843791	41843989	+	0.000	0.000	Merged-chr5-41843889-1
Merged-chr10-118893796-10	chr10	118893586	118893991	+	0.000	0.000	Merged-chr10-118893796-10
Merged-chr6-17749211-49	chr6	17748995	17749453	+	0.000	0.000	Merged-chr6-17749211-49
Merged-chr2-61967881-8	chr2	61967736	61968045	+	0.000	0.000	Merged-chr2-61967881-8
Merged-chr6-71494706-3	chr6	71494510	71494856	+	0.000	0.000	Merged-chr6-71494706-3
Merged-chr10-61648794-93	chr10	61648423	61649136	+	0.000	0.000	Merged-chr10-61648794-93
Merged-chr2-10372789-48	chr2	10372270	10373310	+	0.000	0.000	Merged-chr2-10372789-48
Merged-chr7-68749226-75	chr7	68748514	68749531	+	0.000	0.000	Merged-chr7-68749226-75
Merged-chr12-13512538-15	chr12	13512138	13512914	+	0.000	0.000	Merged-chr12-13512538-15
Merged-chr4-63862999-40	chr4	63862557	63863335	+	0.000	0.000	Merged-chr4-63862999-40
Merged-chr7-132638923-17	chr7	132638745	132639122	+	0.000	0.000	Merged-chr7-132638923-17
Merged-chr1-127321764-4	chr1	127321633	127321901	+	0.000	0.000	Merged-chr1-127321764-4
Merged-chrX-134808077-16	chrX	134807874	134808293	+	0.000	0.000	Merged-chrX-134808077-16
Merged-chr12-78226553-137	chr12	78225983	78226829	+	0.000	0.000	Merged-chr12-78226553-137
Merged-chr6-89362332-93	chr6	89361204	89363142	+	0.000	0.000	Merged-chr6-89362332-93
Merged-chr8-126699390-72	chr8	126698941	126699824	+	0.000	0.000	Merged-chr8-126699390-72
Merged-chr11-61564144-31	chr11	61563911	61564378	+	0.000	0.000	Merged-chr11-61564144-31
Merged-chr9-44733785-2	chr9	44733591	44733982	+	0.000	0.000	Merged-chr9-44733785-2
Merged-chr11-4373215-8	chr11	4372960	4373460	+	0.000	0.000	Merged-chr11-4373215-8
Merged-chr2-77250040-39	chr2	77249754	77250320	+	0.000	0.000	Merged-chr2-77250040-39
Merged-chr11-3148447-2	chr11	3148349	3148547	+	0.000	0.000	Merged-chr11-3148447-2
Merged-chr7-69071291-1	chr7	69071193	69071391	+	0.000	0.000	Merged-chr7-69071291-1
Merged-chr2-3925386-29	chr2	3925075	3925839	+	0.000	0.000	Merged-chr2-3925386-29
Merged-chr7-123189982-13	chr7	123189762	123190132	+	0.000	0.000	Merged-chr7-123189982-13
Merged-chr11-3162952-22	chr11	3162740	3163180	+	0.000	0.000	Merged-chr11-3162952-22
Merged-chr7-24611027-94	chr7	24610513	24611440	+	0.000	0.000	Merged-chr7-24611027-94
Merged-chr6-134205882-4	chr6	134205752	134205997	+	0.000	0.000	Merged-chr6-134205882-4
Merged-chr8-71528841-21	chr8	71528660	71529150	+	0.000	0.000	Merged-chr8-71528841-21
Merged-chr2-172977593-131	chr2	172977303	172978026	+	0.000	0.000	Merged-chr2-172977593-131
Merged-chr15-5108448-64	chr15	5108211	5108718	+	0.000	0.000	Merged-chr15-5108448-64
Merged-chr9-5309745-1	chr9	5309647	5309845	+	0.000	0.000	Merged-chr9-5309745-1
Merged-chr9-114451867-49	chr9	114451650	114452248	+	0.000	0.000	Merged-chr9-114451867-49
Merged-chr6-144181602-1	chr6	144181504	144181702	+	0.000	0.000	Merged-chr6-144181602-1
Merged-chr6-121130438-70	chr6	121130017	121130751	+	0.000	0.000	Merged-chr6-121130438-70
Merged-chr12-73895828-22	chr12	73895345	73896152	+	0.000	0.000	Merged-chr12-73895828-22
Merged-chr13-117196008-56	chr13	117195821	117196248	+	0.000	0.000	Merged-chr13-117196008-56
Merged-chr1-106714260-74	chr1	106713864	106714484	+	0.000	0.000	Merged-chr1-106714260-74
Merged-chr14-118706162-79	chr14	118705957	118706417	+	0.000	0.000	Merged-chr14-118706162-79
Merged-chr7-35757232-9	chr7	35757014	35757404	+	0.000	0.000	Merged-chr7-35757232-9
Merged-chr8-79046826-18	chr8	79046617	79047052	+	0.000	0.000	Merged-chr8-79046826-18
Merged-chr1-171963786-30	chr1	171963537	171964011	+	0.000	0.000	Merged-chr1-171963786-30
Merged-chr11-52241119-15	chr11	52240884	52241350	+	0.000	0.000	Merged-chr11-52241119-15
Merged-chr8-79161059-1	chr8	79160961	79161159	+	0.000	0.000	Merged-chr8-79161059-1
Merged-chr1-132007424-3	chr1	132007289	132007600	+	0.000	0.000	Merged-chr1-132007424-3
Merged-chr2-77277826-6	chr2	77277641	77278003	+	0.000	0.000	Merged-chr2-77277826-6
Merged-chr9-42101214-6	chr9	42100981	42101387	+	0.000	0.000	Merged-chr9-42101214-6
Merged-chr4-136123235-13	chr4	136122996	136123440	+	0.000	0.000	Merged-chr4-136123235-13
Merged-chr11-3158996-1	chr11	3158898	3159096	+	0.000	0.000	Merged-chr11-3158996-1
Merged-chr10-30655945-56	chr10	30655582	30656209	+	0.000	0.000	Merged-chr10-30655945-56
Merged-chr12-108637636-4	chr12	108637472	108637769	+	0.000	0.000	Merged-chr12-108637636-4
Merged-chr9-40455012-1	chr9	40454914	40455112	+	0.000	0.000	Merged-chr9-40455012-1
Merged-chr2-156841447-76	chr2	156840741	156842139	+	0.000	0.000	Merged-chr2-156841447-76
