#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_Naive.up.bed
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr5-134187547-1	chr5	134187449	134187647	+	0.000	0.000	Merged-chr5-134187547-1
Merged-chr10-128613030-64	chr10	128612827	128613306	+	0.000	0.000	Merged-chr10-128613030-64
Merged-chr18-54901247-4	chr18	54901022	54901541	+	0.000	0.000	Merged-chr18-54901247-4
Merged-chr9-109000906-26	chr9	109000690	109001114	+	0.000	0.000	Merged-chr9-109000906-26
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr1-155646076-1	chr1	155645978	155646176	+	0.000	0.000	Merged-chr1-155646076-1
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr12-75531793-15	chr12	75531517	75532054	+	0.000	0.000	Merged-chr12-75531793-15
Merged-chr10-67065679-35	chr10	67065318	67065959	+	0.000	0.000	Merged-chr10-67065679-35
Merged-chr6-73248594-64	chr6	73248166	73248920	+	0.000	0.000	Merged-chr6-73248594-64
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr1-179047841-1	chr1	179047743	179047941	+	0.000	0.000	Merged-chr1-179047841-1
Merged-chr7-132402823-64	chr7	132402535	132403061	+	0.000	0.000	Merged-chr7-132402823-64
Merged-chr5-92348228-1	chr5	92348130	92348328	+	0.000	0.000	Merged-chr5-92348228-1
Merged-chr4-44173421-4	chr4	44173277	44173578	+	0.000	0.000	Merged-chr4-44173421-4
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr2-167689291-96	chr2	167688631	167689555	+	0.000	0.000	Merged-chr2-167689291-96
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr3-129533518-164	chr3	129532922	129534390	+	0.000	0.000	Merged-chr3-129533518-164
Merged-chr16-17928411-109	chr16	17928138	17928864	+	0.000	0.000	Merged-chr16-17928411-109
Merged-chr5-148551508-2	chr5	148551331	148551687	+	0.000	0.000	Merged-chr5-148551508-2
Merged-chr11-113565159-1	chr11	113565061	113565259	+	0.000	0.000	Merged-chr11-113565159-1
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr15-100419911-3	chr15	100419697	100420069	+	0.000	0.000	Merged-chr15-100419911-3
Merged-chr15-79038073-11	chr15	79037941	79038206	+	0.000	0.000	Merged-chr15-79038073-11
Merged-chr17-65740416-17	chr17	65740171	65740618	+	0.000	0.000	Merged-chr17-65740416-17
Merged-chr17-25785502-40	chr17	25785262	25785706	+	0.000	0.000	Merged-chr17-25785502-40
Merged-chr15-36374262-7	chr15	36374013	36374510	+	0.000	0.000	Merged-chr15-36374262-7
Merged-chr4-86713710-23	chr4	86713523	86713886	+	0.000	0.000	Merged-chr4-86713710-23
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr10-71365210-11	chr10	71365035	71365389	+	0.000	0.000	Merged-chr10-71365210-11
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr3-94952944-28	chr3	94952359	94953193	+	0.000	0.000	Merged-chr3-94952944-28
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr19-57123944-45	chr19	57123749	57124144	+	0.000	0.000	Merged-chr19-57123944-45
Merged-chr19-45015575-58	chr19	45015021	45016017	+	0.000	0.000	Merged-chr19-45015575-58
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr9-35199813-60	chr9	35199531	35200198	+	0.000	0.000	Merged-chr9-35199813-60
Merged-chr15-93694661-9	chr15	93694389	93694949	+	0.000	0.000	Merged-chr15-93694661-9
Merged-chr4-150626501-41	chr4	150626254	150626801	+	0.000	0.000	Merged-chr4-150626501-41
Merged-chr3-87383448-9	chr3	87383313	87383621	+	0.000	0.000	Merged-chr3-87383448-9
Merged-chr8-124020004-4	chr8	124019861	124020139	+	0.000	0.000	Merged-chr8-124020004-4
Merged-chr8-128352989-24	chr8	128352771	128353184	+	0.000	0.000	Merged-chr8-128352989-24
Merged-chr10-39415749-15	chr10	39415557	39415900	+	0.000	0.000	Merged-chr10-39415749-15
Merged-chr17-47171280-54	chr17	47171064	47171512	+	0.000	0.000	Merged-chr17-47171280-54
Merged-chr15-93581886-25	chr15	93581654	93582088	+	0.000	0.000	Merged-chr15-93581886-25
Merged-chr14-54464203-140	chr14	54463600	54464495	+	0.000	0.000	Merged-chr14-54464203-140
Merged-chr12-73880274-74	chr12	73879737	73880932	+	0.000	0.000	Merged-chr12-73880274-74
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr16-45024089-23	chr16	45023904	45024332	+	0.000	0.000	Merged-chr16-45024089-23
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr3-51652658-59	chr3	51652378	51653086	+	0.000	0.000	Merged-chr3-51652658-59
Merged-chr11-98003511-2	chr11	98003409	98003615	+	0.000	0.000	Merged-chr11-98003511-2
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr9-61501561-3	chr9	61501418	61501716	+	0.000	0.000	Merged-chr9-61501561-3
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr12-112959295-1	chr12	112959197	112959395	+	0.000	0.000	Merged-chr12-112959295-1
Merged-chr7-132385485-1	chr7	132385387	132385585	+	0.000	0.000	Merged-chr7-132385485-1
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr11-109367099-1	chr11	109367001	109367199	+	0.000	0.000	Merged-chr11-109367099-1
Merged-chr15-93665771-1	chr15	93665673	93665871	+	0.000	0.000	Merged-chr15-93665771-1
Merged-chr15-12588856-30	chr15	12588635	12589091	+	0.000	0.000	Merged-chr15-12588856-30
Merged-chr10-68249681-39	chr10	68249501	68249921	+	0.000	0.000	Merged-chr10-68249681-39
Merged-chr11-80488662-1	chr11	80488564	80488762	+	0.000	0.000	Merged-chr11-80488662-1
Merged-chr16-10783266-6	chr16	10783161	10783379	+	0.000	0.000	Merged-chr16-10783266-6
Merged-chr11-4258968-42	chr11	4258768	4259269	+	0.000	0.000	Merged-chr11-4258968-42
Merged-chr2-6353338-6	chr2	6353151	6353580	+	0.000	0.000	Merged-chr2-6353338-6
Merged-chr19-34306924-50	chr19	34306733	34307105	+	0.000	0.000	Merged-chr19-34306924-50
Merged-chr8-79371540-1	chr8	79371442	79371640	+	0.000	0.000	Merged-chr8-79371540-1
Merged-chr11-21105658-1	chr11	21105560	21105758	+	0.000	0.000	Merged-chr11-21105658-1
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr9-96577882-15	chr9	96577712	96578131	+	0.000	0.000	Merged-chr9-96577882-15
Merged-chr6-125467519-12	chr6	125467300	125467730	+	0.000	0.000	Merged-chr6-125467519-12
Merged-chr7-39449631-50	chr7	39449267	39450099	+	0.000	0.000	Merged-chr7-39449631-50
Merged-chr10-77417427-7	chr10	77417120	77417666	+	0.000	0.000	Merged-chr10-77417427-7
Merged-chr2-112556082-2	chr2	112555967	112556200	+	0.000	0.000	Merged-chr2-112556082-2
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr6-143170494-31	chr6	143170280	143170662	+	0.000	0.000	Merged-chr6-143170494-31
Merged-chr1-179074234-2	chr1	179074112	179074359	+	0.000	0.000	Merged-chr1-179074234-2
Merged-chr11-4874085-42	chr11	4873853	4874419	+	0.000	0.000	Merged-chr11-4874085-42
Merged-chr13-116712410-33	chr13	116712108	116712626	+	0.000	0.000	Merged-chr13-116712410-33
Merged-chr7-128653548-3	chr7	128653393	128653696	+	0.000	0.000	Merged-chr7-128653548-3
Merged-chrX-7867527-15	chrX	7867226	7867757	+	0.000	0.000	Merged-chrX-7867527-15
Merged-chr12-113220068-2	chr12	113219928	113220211	+	0.000	0.000	Merged-chr12-113220068-2
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr12-26460097-25	chr12	26459828	26460331	+	0.000	0.000	Merged-chr12-26460097-25
Merged-chr6-116311503-1	chr6	116311405	116311603	+	0.000	0.000	Merged-chr6-116311503-1
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr17-8240496-17	chr17	8240150	8240762	+	0.000	0.000	Merged-chr17-8240496-17
Merged-chr18-61208374-2	chr18	61208256	61208495	+	0.000	0.000	Merged-chr18-61208374-2
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr14-55635615-42	chr14	55635359	55635831	+	0.000	0.000	Merged-chr14-55635615-42
Merged-chr7-80011699-4	chr7	80011597	80011809	+	0.000	0.000	Merged-chr7-80011699-4
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr6-99164991-16	chr6	99164748	99165231	+	0.000	0.000	Merged-chr6-99164991-16
Merged-chr11-79129591-7	chr11	79129442	79129760	+	0.000	0.000	Merged-chr11-79129591-7
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr5-125106359-47	chr5	125106084	125106677	+	0.000	0.000	Merged-chr5-125106359-47
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr13-108853912-1	chr13	108853814	108854012	+	0.000	0.000	Merged-chr13-108853912-1
Merged-chr18-55066238-1	chr18	55066140	55066338	+	0.000	0.000	Merged-chr18-55066238-1
Merged-chr15-53125024-11	chr15	53124787	53125191	+	0.000	0.000	Merged-chr15-53125024-11
Merged-chr1-64089059-8	chr1	64088707	64089274	+	0.000	0.000	Merged-chr1-64089059-8
Merged-chr10-94860976-37	chr10	94860727	94861160	+	0.000	0.000	Merged-chr10-94860976-37
Merged-chr1-192063830-1	chr1	192063732	192063930	+	0.000	0.000	Merged-chr1-192063830-1
Merged-chr1-69753005-34	chr1	69752755	69753212	+	0.000	0.000	Merged-chr1-69753005-34
Merged-chr1-179517638-119	chr1	179516905	179518186	+	0.000	0.000	Merged-chr1-179517638-119
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr10-42958255-21	chr10	42958054	42958513	+	0.000	0.000	Merged-chr10-42958255-21
Merged-chr4-152325932-66	chr4	152325683	152326147	+	0.000	0.000	Merged-chr4-152325932-66
Merged-chr7-127393642-77	chr7	127393257	127394045	+	0.000	0.000	Merged-chr7-127393642-77
Merged-chr5-144100460-55	chr5	144100189	144100715	+	0.000	0.000	Merged-chr5-144100460-55
Merged-chr10-130371145-16	chr10	130370890	130371431	+	0.000	0.000	Merged-chr10-130371145-16
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr6-121247947-4	chr6	121247743	121248212	+	0.000	0.000	Merged-chr6-121247947-4
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr9-48985134-97	chr9	48984786	48985413	+	0.000	0.000	Merged-chr9-48985134-97
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr13-58206802-1	chr13	58206704	58206902	+	0.000	0.000	Merged-chr13-58206802-1
Merged-chr10-93126298-4	chr10	93126128	93126455	+	0.000	0.000	Merged-chr10-93126298-4
Merged-chr3-95681559-19	chr3	95681302	95681812	+	0.000	0.000	Merged-chr3-95681559-19
Merged-chr13-109686286-1	chr13	109686188	109686386	+	0.000	0.000	Merged-chr13-109686286-1
Merged-chr4-137880751-1	chr4	137880653	137880851	+	0.000	0.000	Merged-chr4-137880751-1
Merged-chr15-96377378-14	chr15	96377186	96377642	+	0.000	0.000	Merged-chr15-96377378-14
Merged-chr2-61402469-66	chr2	61401961	61403019	+	0.000	0.000	Merged-chr2-61402469-66
Merged-chr3-105957337-1	chr3	105957239	105957437	+	0.000	0.000	Merged-chr3-105957337-1
Merged-chr2-28513435-39	chr2	28513117	28513868	+	0.000	0.000	Merged-chr2-28513435-39
Merged-chr2-75705231-1	chr2	75705133	75705331	+	0.000	0.000	Merged-chr2-75705231-1
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr1-106738280-22	chr1	106738078	106738513	+	0.000	0.000	Merged-chr1-106738280-22
Merged-chr6-145256997-16	chr6	145256790	145257195	+	0.000	0.000	Merged-chr6-145256997-16
Merged-chr4-106912245-1	chr4	106912147	106912345	+	0.000	0.000	Merged-chr4-106912245-1
Merged-chr5-144263627-18	chr5	144263367	144263823	+	0.000	0.000	Merged-chr5-144263627-18
Merged-chr14-31194622-6	chr14	31194462	31194796	+	0.000	0.000	Merged-chr14-31194622-6
Merged-chr15-100424546-20	chr15	100424210	100424888	+	0.000	0.000	Merged-chr15-100424546-20
Merged-chr1-179502778-16	chr1	179502518	179503018	+	0.000	0.000	Merged-chr1-179502778-16
Merged-chr7-127946978-1	chr7	127946880	127947078	+	0.000	0.000	Merged-chr7-127946978-1
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr1-138248934-12	chr1	138248767	138249130	+	0.000	0.000	Merged-chr1-138248934-12
Merged-chr13-73604203-68	chr13	73603740	73604526	+	0.000	0.000	Merged-chr13-73604203-68
Merged-chr4-32342446-3	chr4	32342307	32342578	+	0.000	0.000	Merged-chr4-32342446-3
Merged-chr10-67112116-37	chr10	67111904	67112502	+	0.000	0.000	Merged-chr10-67112116-37
Merged-chr2-170153034-3	chr2	170152883	170153165	+	0.000	0.000	Merged-chr2-170153034-3
Merged-chr16-24165807-44	chr16	24165324	24166176	+	0.000	0.000	Merged-chr16-24165807-44
Merged-chr9-61372365-47	chr9	61371943	61372645	+	0.000	0.000	Merged-chr9-61372365-47
Merged-chr1-181230993-50	chr1	181230656	181231299	+	0.000	0.000	Merged-chr1-181230993-50
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr14-121936476-1	chr14	121936378	121936576	+	0.000	0.000	Merged-chr14-121936476-1
Merged-chr6-121245760-60	chr6	121245472	121246000	+	0.000	0.000	Merged-chr6-121245760-60
Merged-chr12-85691977-2	chr12	85691872	85692084	+	0.000	0.000	Merged-chr12-85691977-2
Merged-chr11-22824173-55	chr11	22823685	22824544	+	0.000	0.000	Merged-chr11-22824173-55
Merged-chr17-35200638-36	chr17	35200391	35200802	+	0.000	0.000	Merged-chr17-35200638-36
Merged-chr1-192062779-52	chr1	192062143	192063194	+	0.000	0.000	Merged-chr1-192062779-52
Merged-chr6-134070171-6	chr6	134069960	134070425	+	0.000	0.000	Merged-chr6-134070171-6
Merged-chr8-81857763-3	chr8	81857657	81857874	+	0.000	0.000	Merged-chr8-81857763-3
Merged-chr5-105313637-29	chr5	105313399	105313998	+	0.000	0.000	Merged-chr5-105313637-29
Merged-chr11-115974957-30	chr11	115974732	115975304	+	0.000	0.000	Merged-chr11-115974957-30
Merged-chr15-31453482-63	chr15	31453181	31453833	+	0.000	0.000	Merged-chr15-31453482-63
Merged-chr5-147060203-2	chr5	147060086	147060322	+	0.000	0.000	Merged-chr5-147060203-2
Merged-chr17-35301957-54	chr17	35301753	35302159	+	0.000	0.000	Merged-chr17-35301957-54
Merged-chr1-191317976-55	chr1	191317794	191318163	+	0.000	0.000	Merged-chr1-191317976-55
Merged-chr10-67487722-31	chr10	67487593	67487869	+	0.000	0.000	Merged-chr10-67487722-31
Merged-chr5-100664078-31	chr5	100663857	100664349	+	0.000	0.000	Merged-chr5-100664078-31
Merged-chr2-168083277-3	chr2	168083108	168083481	+	0.000	0.000	Merged-chr2-168083277-3
Merged-chr2-28514635-36	chr2	28514332	28514833	+	0.000	0.000	Merged-chr2-28514635-36
Merged-chr10-68240828-58	chr10	68240501	68241182	+	0.000	0.000	Merged-chr10-68240828-58
Merged-chr19-45017173-2	chr19	45017065	45017283	+	0.000	0.000	Merged-chr19-45017173-2
Merged-chr2-165878118-38	chr2	165877883	165878318	+	0.000	0.000	Merged-chr2-165878118-38
Merged-chr6-134425334-10	chr6	134425139	134425495	+	0.000	0.000	Merged-chr6-134425334-10
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr2-25365450-71	chr2	25365239	25365679	+	0.000	0.000	Merged-chr2-25365450-71
Merged-chr4-156008555-53	chr4	156008365	156008911	+	0.000	0.000	Merged-chr4-156008555-53
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr12-102369498-1	chr12	102369400	102369598	+	0.000	0.000	Merged-chr12-102369498-1
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chrY-1244513-1	chrY	1244415	1244613	+	0.000	0.000	Merged-chrY-1244513-1
Merged-chr19-57095609-11	chr19	57095457	57095788	+	0.000	0.000	Merged-chr19-57095609-11
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr11-103809111-3	chr11	103809013	103809211	+	0.000	0.000	Merged-chr11-103809111-3
Merged-chr8-93933058-30	chr8	93932809	93933293	+	0.000	0.000	Merged-chr8-93933058-30
Merged-chr3-138876270-3	chr3	138876141	138876399	+	0.000	0.000	Merged-chr3-138876270-3
Merged-chr5-105675662-27	chr5	105675454	105675851	+	0.000	0.000	Merged-chr5-105675662-27
Merged-chr13-43777700-1	chr13	43777602	43777800	+	0.000	0.000	Merged-chr13-43777700-1
Merged-chr1-138560961-36	chr1	138560752	138561197	+	0.000	0.000	Merged-chr1-138560961-36
Merged-chr15-64211294-3	chr15	64211196	64211394	+	0.000	0.000	Merged-chr15-64211294-3
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr2-163166400-55	chr2	163166058	163166720	+	0.000	0.000	Merged-chr2-163166400-55
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr1-131097779-22	chr1	131097583	131098023	+	0.000	0.000	Merged-chr1-131097779-22
Merged-chr11-79142530-5	chr11	79142358	79142718	+	0.000	0.000	Merged-chr11-79142530-5
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr16-91366873-55	chr16	91366564	91367120	+	0.000	0.000	Merged-chr16-91366873-55
Merged-chr15-73595462-42	chr15	73595143	73595707	+	0.000	0.000	Merged-chr15-73595462-42
Merged-chr5-150595556-1	chr5	150595458	150595656	+	0.000	0.000	Merged-chr5-150595556-1
Merged-chr1-189080988-15	chr1	189080751	189081196	+	0.000	0.000	Merged-chr1-189080988-15
Merged-chrX-12005261-5	chrX	12005100	12005435	+	0.000	0.000	Merged-chrX-12005261-5
Merged-chr13-9354010-25	chr13	9353813	9354214	+	0.000	0.000	Merged-chr13-9354010-25
Merged-chr9-118700946-3	chr9	118700796	118701122	+	0.000	0.000	Merged-chr9-118700946-3
Merged-chr16-33726807-11	chr16	33726582	33727170	+	0.000	0.000	Merged-chr16-33726807-11
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chr3-101948658-63	chr3	101948355	101948974	+	0.000	0.000	Merged-chr3-101948658-63
Merged-chr11-22739134-3	chr11	22738943	22739281	+	0.000	0.000	Merged-chr11-22739134-3
Merged-chr9-62510656-38	chr9	62510469	62510861	+	0.000	0.000	Merged-chr9-62510656-38
Merged-chr16-33732473-13	chr16	33732310	33732649	+	0.000	0.000	Merged-chr16-33732473-13
Merged-chr10-121189304-59	chr10	121189029	121189854	+	0.000	0.000	Merged-chr10-121189304-59
Merged-chr10-76844808-11	chr10	76844504	76845140	+	0.000	0.000	Merged-chr10-76844808-11
Merged-chr6-37207905-12	chr6	37207701	37208166	+	0.000	0.000	Merged-chr6-37207905-12
Merged-chr8-95673039-19	chr8	95672713	95673276	+	0.000	0.000	Merged-chr8-95673039-19
Merged-chr2-33206193-4	chr2	33206046	33206348	+	0.000	0.000	Merged-chr2-33206193-4
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chr12-113222478-76	chr12	113222046	113222713	+	0.000	0.000	Merged-chr12-113222478-76
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr2-170183975-1	chr2	170183877	170184075	+	0.000	0.000	Merged-chr2-170183975-1
Merged-chr19-57064408-9	chr19	57064175	57064570	+	0.000	0.000	Merged-chr19-57064408-9
Merged-chr3-89727230-25	chr3	89727058	89727449	+	0.000	0.000	Merged-chr3-89727230-25
Merged-chr12-85280315-60	chr12	85279980	85280591	+	0.000	0.000	Merged-chr12-85280315-60
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr4-63943077-12	chr4	63942870	63943414	+	0.000	0.000	Merged-chr4-63943077-12
Merged-chr4-11015435-4	chr4	11015300	11015581	+	0.000	0.000	Merged-chr4-11015435-4
Merged-chr4-155066874-90	chr4	155066563	155067296	+	0.000	0.000	Merged-chr4-155066874-90
Merged-chr7-142966626-1	chr7	142966528	142966726	+	0.000	0.000	Merged-chr7-142966626-1
Merged-chr6-94676965-1	chr6	94676867	94677065	+	0.000	0.000	Merged-chr6-94676965-1
Merged-chr15-41789101-130	chr15	41788492	41789363	+	0.000	0.000	Merged-chr15-41789101-130
Merged-chr9-55754843-13	chr9	55754637	55755010	+	0.000	0.000	Merged-chr9-55754843-13
Merged-chr11-109375148-3	chr11	109375010	109375295	+	0.000	0.000	Merged-chr11-109375148-3
Merged-chr17-66074199-45	chr17	66073892	66074383	+	0.000	0.000	Merged-chr17-66074199-45
