#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
Merged-chr3-137867826-61	chr3	137867256	137868076	+	0.000	0.000	Merged-chr3-137867826-61
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr5-134187547-1	chr5	134187449	134187647	+	0.000	0.000	Merged-chr5-134187547-1
Merged-chr10-128613030-64	chr10	128612827	128613306	+	0.000	0.000	Merged-chr10-128613030-64
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr9-109000906-26	chr9	109000690	109001114	+	0.000	0.000	Merged-chr9-109000906-26
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr2-174312342-26	chr2	174312067	174312529	+	0.000	0.000	Merged-chr2-174312342-26
Merged-chr10-96624524-1	chr10	96624426	96624624	+	0.000	0.000	Merged-chr10-96624524-1
Merged-chr14-14013648-4	chr14	14013489	14013785	+	0.000	0.000	Merged-chr14-14013648-4
Merged-chr1-155646076-1	chr1	155645978	155646176	+	0.000	0.000	Merged-chr1-155646076-1
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr6-73248594-64	chr6	73248166	73248920	+	0.000	0.000	Merged-chr6-73248594-64
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr7-132402823-64	chr7	132402535	132403061	+	0.000	0.000	Merged-chr7-132402823-64
Merged-chr5-92348228-1	chr5	92348130	92348328	+	0.000	0.000	Merged-chr5-92348228-1
Merged-chr4-44173421-4	chr4	44173277	44173578	+	0.000	0.000	Merged-chr4-44173421-4
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr19-44284219-69	chr19	44283760	44284579	+	0.000	0.000	Merged-chr19-44284219-69
Merged-chr2-167689291-96	chr2	167688631	167689555	+	0.000	0.000	Merged-chr2-167689291-96
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr3-129533518-164	chr3	129532922	129534390	+	0.000	0.000	Merged-chr3-129533518-164
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr5-148551508-2	chr5	148551331	148551687	+	0.000	0.000	Merged-chr5-148551508-2
Merged-chr15-100419911-3	chr15	100419697	100420069	+	0.000	0.000	Merged-chr15-100419911-3
Merged-chr17-25785502-40	chr17	25785262	25785706	+	0.000	0.000	Merged-chr17-25785502-40
Merged-chr4-86713710-23	chr4	86713523	86713886	+	0.000	0.000	Merged-chr4-86713710-23
Merged-chr10-39385441-1	chr10	39385343	39385541	+	0.000	0.000	Merged-chr10-39385441-1
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr3-94952944-28	chr3	94952359	94953193	+	0.000	0.000	Merged-chr3-94952944-28
Merged-chr19-57123944-45	chr19	57123749	57124144	+	0.000	0.000	Merged-chr19-57123944-45
Merged-chr13-55444770-148	chr13	55444289	55445182	+	0.000	0.000	Merged-chr13-55444770-148
Merged-chr19-45015575-58	chr19	45015021	45016017	+	0.000	0.000	Merged-chr19-45015575-58
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr15-93694661-9	chr15	93694389	93694949	+	0.000	0.000	Merged-chr15-93694661-9
Merged-chr7-139398663-1	chr7	139398565	139398763	+	0.000	0.000	Merged-chr7-139398663-1
Merged-chr4-150626501-41	chr4	150626254	150626801	+	0.000	0.000	Merged-chr4-150626501-41
Merged-chr8-124020004-4	chr8	124019861	124020139	+	0.000	0.000	Merged-chr8-124020004-4
Merged-chr8-128352989-24	chr8	128352771	128353184	+	0.000	0.000	Merged-chr8-128352989-24
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr16-45024089-23	chr16	45023904	45024332	+	0.000	0.000	Merged-chr16-45024089-23
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr7-19590071-26	chr7	19589734	19590366	+	0.000	0.000	Merged-chr7-19590071-26
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr7-24884343-81	chr7	24884071	24884562	+	0.000	0.000	Merged-chr7-24884343-81
Merged-chr9-61501561-3	chr9	61501418	61501716	+	0.000	0.000	Merged-chr9-61501561-3
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr7-132385485-1	chr7	132385387	132385585	+	0.000	0.000	Merged-chr7-132385485-1
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr7-125575832-4	chr7	125575630	125576009	+	0.000	0.000	Merged-chr7-125575832-4
Merged-chr16-10783266-6	chr16	10783161	10783379	+	0.000	0.000	Merged-chr16-10783266-6
Merged-chr15-5116701-74	chr15	5116300	5116991	+	0.000	0.000	Merged-chr15-5116701-74
Merged-chr11-4258968-42	chr11	4258768	4259269	+	0.000	0.000	Merged-chr11-4258968-42
Merged-chr19-34306924-50	chr19	34306733	34307105	+	0.000	0.000	Merged-chr19-34306924-50
Merged-chr5-75649003-1	chr5	75648905	75649103	+	0.000	0.000	Merged-chr5-75649003-1
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr1-179074234-2	chr1	179074112	179074359	+	0.000	0.000	Merged-chr1-179074234-2
Merged-chr11-4874085-42	chr11	4873853	4874419	+	0.000	0.000	Merged-chr11-4874085-42
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr17-15704757-20	chr17	15704540	15705055	+	0.000	0.000	Merged-chr17-15704757-20
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr12-26460097-25	chr12	26459828	26460331	+	0.000	0.000	Merged-chr12-26460097-25
Merged-chr6-116311503-1	chr6	116311405	116311603	+	0.000	0.000	Merged-chr6-116311503-1
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr4-3835460-93	chr4	3834929	3835840	+	0.000	0.000	Merged-chr4-3835460-93
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr7-80011699-4	chr7	80011597	80011809	+	0.000	0.000	Merged-chr7-80011699-4
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr5-125106359-47	chr5	125106084	125106677	+	0.000	0.000	Merged-chr5-125106359-47
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr13-108853912-1	chr13	108853814	108854012	+	0.000	0.000	Merged-chr13-108853912-1
Merged-chr15-100871033-1	chr15	100870935	100871133	+	0.000	0.000	Merged-chr15-100871033-1
Merged-chr10-94860976-37	chr10	94860727	94861160	+	0.000	0.000	Merged-chr10-94860976-37
Merged-chr1-192063830-1	chr1	192063732	192063930	+	0.000	0.000	Merged-chr1-192063830-1
Merged-chr1-69753005-34	chr1	69752755	69753212	+	0.000	0.000	Merged-chr1-69753005-34
Merged-chr1-179517638-119	chr1	179516905	179518186	+	0.000	0.000	Merged-chr1-179517638-119
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr10-42958255-21	chr10	42958054	42958513	+	0.000	0.000	Merged-chr10-42958255-21
Merged-chr4-152325932-66	chr4	152325683	152326147	+	0.000	0.000	Merged-chr4-152325932-66
Merged-chr5-144100460-55	chr5	144100189	144100715	+	0.000	0.000	Merged-chr5-144100460-55
Merged-chr1-193181317-39	chr1	193180982	193181632	+	0.000	0.000	Merged-chr1-193181317-39
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr6-121247947-4	chr6	121247743	121248212	+	0.000	0.000	Merged-chr6-121247947-4
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr4-10968085-44	chr4	10967892	10968319	+	0.000	0.000	Merged-chr4-10968085-44
Merged-chr9-48985134-97	chr9	48984786	48985413	+	0.000	0.000	Merged-chr9-48985134-97
Merged-chr15-41832458-66	chr15	41832167	41832675	+	0.000	0.000	Merged-chr15-41832458-66
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr10-93126298-4	chr10	93126128	93126455	+	0.000	0.000	Merged-chr10-93126298-4
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr13-109686286-1	chr13	109686188	109686386	+	0.000	0.000	Merged-chr13-109686286-1
Merged-chr7-28373341-2	chr7	28373209	28373476	+	0.000	0.000	Merged-chr7-28373341-2
Merged-chr15-96377378-14	chr15	96377186	96377642	+	0.000	0.000	Merged-chr15-96377378-14
Merged-chr2-28513435-39	chr2	28513117	28513868	+	0.000	0.000	Merged-chr2-28513435-39
Merged-chr16-35747565-9	chr16	35747374	35747750	+	0.000	0.000	Merged-chr16-35747565-9
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr7-99798520-10	chr7	99798351	99798645	+	0.000	0.000	Merged-chr7-99798520-10
Merged-chr7-25000756-34	chr7	25000289	25001308	+	0.000	0.000	Merged-chr7-25000756-34
Merged-chr5-28315754-44	chr5	28315554	28316037	+	0.000	0.000	Merged-chr5-28315754-44
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr13-73604203-68	chr13	73603740	73604526	+	0.000	0.000	Merged-chr13-73604203-68
Merged-chr15-97605953-1	chr15	97605855	97606053	+	0.000	0.000	Merged-chr15-97605953-1
Merged-chr9-61372365-47	chr9	61371943	61372645	+	0.000	0.000	Merged-chr9-61372365-47
Merged-chr1-181230993-50	chr1	181230656	181231299	+	0.000	0.000	Merged-chr1-181230993-50
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr14-121936476-1	chr14	121936378	121936576	+	0.000	0.000	Merged-chr14-121936476-1
Merged-chr6-121245760-60	chr6	121245472	121246000	+	0.000	0.000	Merged-chr6-121245760-60
Merged-chr12-85691977-2	chr12	85691872	85692084	+	0.000	0.000	Merged-chr12-85691977-2
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr4-86739424-15	chr4	86739247	86739596	+	0.000	0.000	Merged-chr4-86739424-15
Merged-chr1-192062779-52	chr1	192062143	192063194	+	0.000	0.000	Merged-chr1-192062779-52
Merged-chr6-134070171-6	chr6	134069960	134070425	+	0.000	0.000	Merged-chr6-134070171-6
Merged-chr8-81857763-3	chr8	81857657	81857874	+	0.000	0.000	Merged-chr8-81857763-3
Merged-chr15-31453482-63	chr15	31453181	31453833	+	0.000	0.000	Merged-chr15-31453482-63
Merged-chr8-71367350-68	chr8	71367110	71367584	+	0.000	0.000	Merged-chr8-71367350-68
Merged-chr1-191317976-55	chr1	191317794	191318163	+	0.000	0.000	Merged-chr1-191317976-55
Merged-chr10-67487722-31	chr10	67487593	67487869	+	0.000	0.000	Merged-chr10-67487722-31
Merged-chr5-100664078-31	chr5	100663857	100664349	+	0.000	0.000	Merged-chr5-100664078-31
Merged-chr17-22417676-33	chr17	22417454	22417892	+	0.000	0.000	Merged-chr17-22417676-33
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr2-28514635-36	chr2	28514332	28514833	+	0.000	0.000	Merged-chr2-28514635-36
Merged-chr1-37030914-29	chr1	37030568	37031159	+	0.000	0.000	Merged-chr1-37030914-29
Merged-chr5-75811026-2	chr5	75810900	75811155	+	0.000	0.000	Merged-chr5-75811026-2
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr2-25365450-71	chr2	25365239	25365679	+	0.000	0.000	Merged-chr2-25365450-71
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chrY-1244513-1	chrY	1244415	1244613	+	0.000	0.000	Merged-chrY-1244513-1
Merged-chr19-57095609-11	chr19	57095457	57095788	+	0.000	0.000	Merged-chr19-57095609-11
Merged-chr10-67096873-126	chr10	67096581	67097355	+	0.000	0.000	Merged-chr10-67096873-126
Merged-chr5-34369838-94	chr5	34369400	34370191	+	0.000	0.000	Merged-chr5-34369838-94
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr11-103809111-3	chr11	103809013	103809211	+	0.000	0.000	Merged-chr11-103809111-3
Merged-chr1-155158917-88	chr1	155158459	155159169	+	0.000	0.000	Merged-chr1-155158917-88
Merged-chr17-26009700-29	chr17	26009525	26009898	+	0.000	0.000	Merged-chr17-26009700-29
Merged-chr1-138560961-36	chr1	138560752	138561197	+	0.000	0.000	Merged-chr1-138560961-36
Merged-chr15-64211294-3	chr15	64211196	64211394	+	0.000	0.000	Merged-chr15-64211294-3
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr2-163166400-55	chr2	163166058	163166720	+	0.000	0.000	Merged-chr2-163166400-55
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr1-131097779-22	chr1	131097583	131098023	+	0.000	0.000	Merged-chr1-131097779-22
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
Merged-chr11-52273808-1	chr11	52273710	52273908	+	0.000	0.000	Merged-chr11-52273808-1
Merged-chr8-122273382-29	chr8	122273173	122273604	+	0.000	0.000	Merged-chr8-122273382-29
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr2-174602370-60	chr2	174602094	174602828	+	0.000	0.000	Merged-chr2-174602370-60
Merged-chr16-91366873-55	chr16	91366564	91367120	+	0.000	0.000	Merged-chr16-91366873-55
Merged-chr5-150595556-1	chr5	150595458	150595656	+	0.000	0.000	Merged-chr5-150595556-1
Merged-chr7-4658968-69	chr7	4658614	4659213	+	0.000	0.000	Merged-chr7-4658968-69
Merged-chr16-33726807-11	chr16	33726582	33727170	+	0.000	0.000	Merged-chr16-33726807-11
Merged-chr10-96617072-57	chr10	96616709	96617309	+	0.000	0.000	Merged-chr10-96617072-57
Merged-chr11-77372347-7	chr11	77372194	77372510	+	0.000	0.000	Merged-chr11-77372347-7
Merged-chr11-59425956-47	chr11	59425788	59426302	+	0.000	0.000	Merged-chr11-59425956-47
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chrX-42500778-7	chrX	42500632	42500958	+	0.000	0.000	Merged-chrX-42500778-7
Merged-chr16-33732473-13	chr16	33732310	33732649	+	0.000	0.000	Merged-chr16-33732473-13
Merged-chr10-121189304-59	chr10	121189029	121189854	+	0.000	0.000	Merged-chr10-121189304-59
Merged-chr11-21174541-55	chr11	21174256	21174928	+	0.000	0.000	Merged-chr11-21174541-55
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr7-80860752-81	chr7	80860561	80861122	+	0.000	0.000	Merged-chr7-80860752-81
Merged-chr12-85280315-60	chr12	85279980	85280591	+	0.000	0.000	Merged-chr12-85280315-60
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr3-37421110-3	chr3	37420838	37421361	+	0.000	0.000	Merged-chr3-37421110-3
Merged-chr1-105498636-1	chr1	105498538	105498736	+	0.000	0.000	Merged-chr1-105498636-1
Merged-chr4-155066874-90	chr4	155066563	155067296	+	0.000	0.000	Merged-chr4-155066874-90
Merged-chr11-20741434-157	chr11	20741091	20741807	+	0.000	0.000	Merged-chr11-20741434-157
Merged-chr6-125244741-5	chr6	125244596	125244864	+	0.000	0.000	Merged-chr6-125244741-5
Merged-chr2-18996923-12	chr2	18996698	18997163	+	0.000	0.000	Merged-chr2-18996923-12
Merged-chr11-116012659-52	chr11	116012306	116012978	+	0.000	0.000	Merged-chr11-116012659-52
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr6-144090267-2	chr6	144090151	144090386	+	0.000	0.000	Merged-chr6-144090267-2
Merged-chr16-36071679-92	chr16	36071371	36071899	+	0.000	0.000	Merged-chr16-36071679-92
Merged-chrX-20272195-17	chrX	20271987	20272371	+	0.000	0.000	Merged-chrX-20272195-17
Merged-chr8-79161716-60	chr8	79161373	79162151	+	0.000	0.000	Merged-chr8-79161716-60
Merged-chr11-115603871-66	chr11	115603565	115604143	+	0.000	0.000	Merged-chr11-115603871-66
Merged-chr16-94290109-67	chr16	94289564	94290541	+	0.000	0.000	Merged-chr16-94290109-67
Merged-chr4-120393199-1	chr4	120393101	120393299	+	0.000	0.000	Merged-chr4-120393199-1
Merged-chr7-101071323-36	chr7	101070997	101071865	+	0.000	0.000	Merged-chr7-101071323-36
Merged-chr5-122235047-97	chr5	122234322	122235639	+	0.000	0.000	Merged-chr5-122235047-97
Merged-chr15-99333202-49	chr15	99332951	99333481	+	0.000	0.000	Merged-chr15-99333202-49
Merged-chr12-117480283-1	chr12	117480185	117480383	+	0.000	0.000	Merged-chr12-117480283-1
Merged-chr9-106882262-1	chr9	106882164	106882362	+	0.000	0.000	Merged-chr9-106882262-1
Merged-chr16-33371009-21	chr16	33370735	33371215	+	0.000	0.000	Merged-chr16-33371009-21
Merged-chr1-64104949-20	chr1	64104677	64105359	+	0.000	0.000	Merged-chr1-64104949-20
Merged-chr5-31012841-37	chr5	31012278	31013153	+	0.000	0.000	Merged-chr5-31012841-37
Merged-chr19-29253972-33	chr19	29253697	29254158	+	0.000	0.000	Merged-chr19-29253972-33
Merged-chr11-68973679-52	chr11	68973483	68973990	+	0.000	0.000	Merged-chr11-68973679-52
Merged-chr2-170132015-1	chr2	170131917	170132115	+	0.000	0.000	Merged-chr2-170132015-1
Merged-chr6-121245278-1	chr6	121245180	121245378	+	0.000	0.000	Merged-chr6-121245278-1
Merged-chr7-16207547-67	chr7	16207128	16207902	+	0.000	0.000	Merged-chr7-16207547-67
Merged-chr2-91976155-25	chr2	91975746	91976527	+	0.000	0.000	Merged-chr2-91976155-25
Merged-chr3-126693084-1	chr3	126692986	126693184	+	0.000	0.000	Merged-chr3-126693084-1
Merged-chr11-6546769-84	chr11	6546433	6547101	+	0.000	0.000	Merged-chr11-6546769-84
Merged-chr12-76962263-62	chr12	76961880	76962510	+	0.000	0.000	Merged-chr12-76962263-62
Merged-chr1-72284360-53	chr1	72284138	72284575	+	0.000	0.000	Merged-chr1-72284360-53
Merged-chr1-179154552-2	chr1	179154384	179154722	+	0.000	0.000	Merged-chr1-179154552-2
Merged-chr15-53312552-7	chr15	53312353	53312695	+	0.000	0.000	Merged-chr15-53312552-7
Merged-chr10-75643156-15	chr10	75642966	75643363	+	0.000	0.000	Merged-chr10-75643156-15
Merged-chr16-5013441-63	chr16	5013165	5013664	+	0.000	0.000	Merged-chr16-5013441-63
Merged-chr11-60108451-2	chr11	60108353	60108551	+	0.000	0.000	Merged-chr11-60108451-2
Merged-chr3-95652031-1	chr3	95651933	95652131	+	0.000	0.000	Merged-chr3-95652031-1
Merged-chr12-113187707-36	chr12	113187449	113187889	+	0.000	0.000	Merged-chr12-113187707-36
Merged-chr14-121731976-67	chr14	121731714	121732192	+	0.000	0.000	Merged-chr14-121731976-67
Merged-chr11-119339874-18	chr11	119339613	119340113	+	0.000	0.000	Merged-chr11-119339874-18
Merged-chr6-128793190-10	chr6	128793038	128793323	+	0.000	0.000	Merged-chr6-128793190-10
Merged-chr2-91070387-59	chr2	91070079	91070700	+	0.000	0.000	Merged-chr2-91070387-59
Merged-chr16-76330706-5	chr16	76330573	76330851	+	0.000	0.000	Merged-chr16-76330706-5
Merged-chrX-12135840-5	chrX	12135684	12136048	+	0.000	0.000	Merged-chrX-12135840-5
Merged-chrY-90738694-13	chrY	90738592	90738831	+	0.000	0.000	Merged-chrY-90738694-13
Merged-chr5-146824723-50	chr5	146824383	146824944	+	0.000	0.000	Merged-chr5-146824723-50
Merged-chr2-71002742-5	chr2	71002608	71002877	+	0.000	0.000	Merged-chr2-71002742-5
