#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed
Merged-chr6-42343728-43	chr6	42343441	42344074	+	0.000	0.000	Merged-chr6-42343728-43
Merged-chr1-21079276-92	chr1	21079017	21079569	+	0.000	0.000	Merged-chr1-21079276-92
Merged-chr13-41487140-66	chr13	41486849	41487410	+	0.000	0.000	Merged-chr13-41487140-66
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr13-5861346-118	chr13	5860983	5861929	+	0.000	0.000	Merged-chr13-5861346-118
Merged-chr6-97321339-36	chr6	97321165	97321547	+	0.000	0.000	Merged-chr6-97321339-36
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr3-104714697-56	chr3	104714095	104715317	+	0.000	0.000	Merged-chr3-104714697-56
Merged-chr7-67305058-11	chr7	67304887	67305322	+	0.000	0.000	Merged-chr7-67305058-11
Merged-chr4-106561101-62	chr4	106560852	106561576	+	0.000	0.000	Merged-chr4-106561101-62
Merged-chr11-21192059-23	chr11	21191875	21192308	+	0.000	0.000	Merged-chr11-21192059-23
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr19-5850230-41	chr19	5850036	5850452	+	0.000	0.000	Merged-chr19-5850230-41
Merged-chr17-47743455-1	chr17	47743357	47743555	+	0.000	0.000	Merged-chr17-47743455-1
Merged-chr7-19933041-99	chr7	19932517	19933533	+	0.000	0.000	Merged-chr7-19933041-99
Merged-chr11-97988386-150	chr11	97987691	97989083	+	0.000	0.000	Merged-chr11-97988386-150
Merged-chr13-23556170-26	chr13	23555934	23556434	+	0.000	0.000	Merged-chr13-23556170-26
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr1-9798282-57	chr1	9797816	9798986	+	0.000	0.000	Merged-chr1-9798282-57
Merged-chr1-153320307-48	chr1	153319921	153320575	+	0.000	0.000	Merged-chr1-153320307-48
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr4-129377471-70	chr4	129376991	129378033	+	0.000	0.000	Merged-chr4-129377471-70
Merged-chr14-78677912-1	chr14	78677814	78678012	+	0.000	0.000	Merged-chr14-78677912-1
Merged-chr5-107758566-1	chr5	107758468	107758666	+	0.000	0.000	Merged-chr5-107758566-1
Merged-chr6-54902774-18	chr6	54902638	54902926	+	0.000	0.000	Merged-chr6-54902774-18
Merged-chr13-95765232-46	chr13	95764983	95765500	+	0.000	0.000	Merged-chr13-95765232-46
Merged-chr10-54032709-48	chr10	54032302	54032990	+	0.000	0.000	Merged-chr10-54032709-48
Merged-chr5-124036617-4	chr5	124036481	124036814	+	0.000	0.000	Merged-chr5-124036617-4
Merged-chr1-65186701-72	chr1	65186339	65187000	+	0.000	0.000	Merged-chr1-65186701-72
Merged-chr17-5840889-4	chr17	5840729	5841029	+	0.000	0.000	Merged-chr17-5840889-4
Merged-chr1-144301647-17	chr1	144301456	144301892	+	0.000	0.000	Merged-chr1-144301647-17
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr15-55829027-67	chr15	55828619	55829240	+	0.000	0.000	Merged-chr15-55829027-67
Merged-chr9-83830058-10	chr9	83829808	83830273	+	0.000	0.000	Merged-chr9-83830058-10
Merged-chr7-90286299-8	chr7	90286133	90286455	+	0.000	0.000	Merged-chr7-90286299-8
Merged-chr10-18070790-14	chr10	18070552	18071033	+	0.000	0.000	Merged-chr10-18070790-14
Merged-chr7-88206806-101	chr7	88206446	88207218	+	0.000	0.000	Merged-chr7-88206806-101
Merged-chr8-122567923-90	chr8	122567448	122568261	+	0.000	0.000	Merged-chr8-122567923-90
Merged-chr10-117948025-58	chr10	117947774	117948237	+	0.000	0.000	Merged-chr10-117948025-58
Merged-chr2-32492896-1	chr2	32492798	32492996	+	0.000	0.000	Merged-chr2-32492896-1
Merged-chr17-29268930-47	chr17	29268694	29269150	+	0.000	0.000	Merged-chr17-29268930-47
Merged-chr10-43578959-39	chr10	43578340	43579544	+	0.000	0.000	Merged-chr10-43578959-39
Merged-chr13-107831387-49	chr13	107831132	107831735	+	0.000	0.000	Merged-chr13-107831387-49
Merged-chr9-94441414-62	chr9	94441020	94441874	+	0.000	0.000	Merged-chr9-94441414-62
Merged-chr10-80618406-31	chr10	80618197	80618557	+	0.000	0.000	Merged-chr10-80618406-31
Merged-chr7-75863636-9	chr7	75863414	75863836	+	0.000	0.000	Merged-chr7-75863636-9
Merged-chr7-63984461-22	chr7	63984282	63984699	+	0.000	0.000	Merged-chr7-63984461-22
Merged-chr8-124275920-41	chr8	124275716	124276094	+	0.000	0.000	Merged-chr8-124275920-41
Merged-chr4-138456705-1	chr4	138456607	138456805	+	0.000	0.000	Merged-chr4-138456705-1
Merged-chr1-43464156-11	chr1	43463980	43464416	+	0.000	0.000	Merged-chr1-43464156-11
Merged-chr12-73656860-57	chr12	73656475	73657374	+	0.000	0.000	Merged-chr12-73656860-57
Merged-chr7-88277269-1	chr7	88277171	88277369	+	0.000	0.000	Merged-chr7-88277269-1
Merged-chr1-75218958-120	chr1	75218677	75219499	+	0.000	0.000	Merged-chr1-75218958-120
Merged-chr2-92008494-55	chr2	92008208	92008740	+	0.000	0.000	Merged-chr2-92008494-55
Merged-chr8-35430856-53	chr8	35430643	35431106	+	0.000	0.000	Merged-chr8-35430856-53
Merged-chr10-53959939-11	chr10	53959773	53960089	+	0.000	0.000	Merged-chr10-53959939-11
Merged-chr10-92712081-1	chr10	92711983	92712181	+	0.000	0.000	Merged-chr10-92712081-1
Merged-chr11-107443890-34	chr11	107443679	107444101	+	0.000	0.000	Merged-chr11-107443890-34
Merged-chr9-124079982-9	chr9	124079773	124080265	+	0.000	0.000	Merged-chr9-124079982-9
Merged-chr1-193285975-30	chr1	193285567	193286229	+	0.000	0.000	Merged-chr1-193285975-30
Merged-chr13-63365525-19	chr13	63365292	63365799	+	0.000	0.000	Merged-chr13-63365525-19
Merged-chr2-151994902-45	chr2	151994603	151995128	+	0.000	0.000	Merged-chr2-151994902-45
Merged-chr4-106562030-2	chr4	106561927	106562136	+	0.000	0.000	Merged-chr4-106562030-2
Merged-chr10-118419236-59	chr10	118419026	118419589	+	0.000	0.000	Merged-chr10-118419236-59
Merged-chr7-142394930-4	chr7	142394789	142395129	+	0.000	0.000	Merged-chr7-142394930-4
Merged-chr13-23698157-86	chr13	23697959	23698431	+	0.000	0.000	Merged-chr13-23698157-86
Merged-chr2-167661676-54	chr2	167661262	167661941	+	0.000	0.000	Merged-chr2-167661676-54
Merged-chr16-46001866-55	chr16	46001457	46002184	+	0.000	0.000	Merged-chr16-46001866-55
Merged-chr9-79970896-33	chr9	79970697	79971186	+	0.000	0.000	Merged-chr9-79970896-33
Merged-chr13-107869033-28	chr13	107868776	107869361	+	0.000	0.000	Merged-chr13-107869033-28
Merged-chr7-88321052-6	chr7	88320823	88321221	+	0.000	0.000	Merged-chr7-88321052-6
Merged-chr8-72492530-115	chr8	72492159	72493049	+	0.000	0.000	Merged-chr8-72492530-115
Merged-chr10-61297508-64	chr10	61297211	61297801	+	0.000	0.000	Merged-chr10-61297508-64
Merged-chr1-60652675-22	chr1	60652447	60652846	+	0.000	0.000	Merged-chr1-60652675-22
Merged-chr2-10151704-4	chr2	10151578	10151833	+	0.000	0.000	Merged-chr2-10151704-4
Merged-chr15-76639801-70	chr15	76639594	76639984	+	0.000	0.000	Merged-chr15-76639801-70
Merged-chr14-56296322-5	chr14	56296176	56296481	+	0.000	0.000	Merged-chr14-56296322-5
Merged-chr11-46453304-7	chr11	46453083	46453530	+	0.000	0.000	Merged-chr11-46453304-7
Merged-chr4-134642170-32	chr4	134641924	134642370	+	0.000	0.000	Merged-chr4-134642170-32
Merged-chr1-60907642-6	chr1	60907480	60907795	+	0.000	0.000	Merged-chr1-60907642-6
Merged-chr10-99097560-20	chr10	99097349	99097768	+	0.000	0.000	Merged-chr10-99097560-20
Merged-chr3-59120352-78	chr3	59120037	59120591	+	0.000	0.000	Merged-chr3-59120352-78
Merged-chr9-65598978-11	chr9	65598851	65599158	+	0.000	0.000	Merged-chr9-65598978-11
Merged-chr11-107465250-2	chr11	107465132	107465371	+	0.000	0.000	Merged-chr11-107465250-2
Merged-chr19-40685337-3	chr19	40685207	40685458	+	0.000	0.000	Merged-chr19-40685337-3
Merged-chr2-73313328-11	chr2	73313181	73313484	+	0.000	0.000	Merged-chr2-73313328-11
Merged-chr12-16509548-40	chr12	16509317	16509782	+	0.000	0.000	Merged-chr12-16509548-40
Merged-chr1-170978852-11	chr1	170978681	170978995	+	0.000	0.000	Merged-chr1-170978852-11
Merged-chr17-47536089-8	chr17	47535960	47536283	+	0.000	0.000	Merged-chr17-47536089-8
Merged-chr4-116123033-2	chr4	116122912	116123156	+	0.000	0.000	Merged-chr4-116123033-2
Merged-chr11-63920753-42	chr11	63920490	63920968	+	0.000	0.000	Merged-chr11-63920753-42
Merged-chr17-5885218-3	chr17	5885029	5885437	+	0.000	0.000	Merged-chr17-5885218-3
Merged-chrX-167182631-37	chrX	167182396	167182822	+	0.000	0.000	Merged-chrX-167182631-37
Merged-chr11-107454779-3	chr11	107454632	107454933	+	0.000	0.000	Merged-chr11-107454779-3
Merged-chr13-35795265-8	chr13	35795035	35795468	+	0.000	0.000	Merged-chr13-35795265-8
Merged-chr17-73869364-53	chr17	73869136	73869606	+	0.000	0.000	Merged-chr17-73869364-53
Merged-chr6-97458148-8	chr6	97457970	97458318	+	0.000	0.000	Merged-chr6-97458148-8
Merged-chr7-66300872-27	chr7	66300634	66301148	+	0.000	0.000	Merged-chr7-66300872-27
Merged-chr17-35700619-40	chr17	35700287	35700911	+	0.000	0.000	Merged-chr17-35700619-40
Merged-chr15-78522107-6	chr15	78521974	78522282	+	0.000	0.000	Merged-chr15-78522107-6
Merged-chr7-112220361-1	chr7	112220263	112220461	+	0.000	0.000	Merged-chr7-112220361-1
Merged-chr5-120688663-27	chr5	120688467	120688862	+	0.000	0.000	Merged-chr5-120688663-27
Merged-chr6-54040016-79	chr6	54039603	54040467	+	0.000	0.000	Merged-chr6-54040016-79
Merged-chr10-40141848-100	chr10	40140949	40142466	+	0.000	0.000	Merged-chr10-40141848-100
Merged-chr10-95415735-33	chr10	95415256	95416120	+	0.000	0.000	Merged-chr10-95415735-33
Merged-chr6-130340402-11	chr6	130340156	130340589	+	0.000	0.000	Merged-chr6-130340402-11
Merged-chr13-21779684-65	chr13	21779252	21780117	+	0.000	0.000	Merged-chr13-21779684-65
Merged-chr12-25096104-64	chr12	25095793	25096391	+	0.000	0.000	Merged-chr12-25096104-64
Merged-chr10-117831011-28	chr10	117830772	117831201	+	0.000	0.000	Merged-chr10-117831011-28
Merged-chr1-161713119-39	chr1	161712856	161713431	+	0.000	0.000	Merged-chr1-161713119-39
Merged-chr12-32207058-29	chr12	32206870	32207257	+	0.000	0.000	Merged-chr12-32207058-29
Merged-chr12-16580677-15	chr12	16580325	16580877	+	0.000	0.000	Merged-chr12-16580677-15
Merged-chr16-45998001-1	chr16	45997903	45998101	+	0.000	0.000	Merged-chr16-45998001-1
Merged-chr13-5871752-1	chr13	5871654	5871852	+	0.000	0.000	Merged-chr13-5871752-1
Merged-chr7-63987101-39	chr7	63986816	63987311	+	0.000	0.000	Merged-chr7-63987101-39
Merged-chr12-100907082-32	chr12	100906664	100907329	+	0.000	0.000	Merged-chr12-100907082-32
Merged-chr14-120407035-22	chr14	120406675	120407236	+	0.000	0.000	Merged-chr14-120407035-22
Merged-chr2-155385269-27	chr2	155385138	155385467	+	0.000	0.000	Merged-chr2-155385269-27
Merged-chr7-63957418-17	chr7	63957106	63957707	+	0.000	0.000	Merged-chr7-63957418-17
Merged-chr2-60843166-7	chr2	60843024	60843328	+	0.000	0.000	Merged-chr2-60843166-7
Merged-chr13-107868532-1	chr13	107868434	107868632	+	0.000	0.000	Merged-chr13-107868532-1
Merged-chr1-60627833-25	chr1	60627421	60628365	+	0.000	0.000	Merged-chr1-60627833-25
Merged-chr1-171763336-1	chr1	171763238	171763436	+	0.000	0.000	Merged-chr1-171763336-1
Merged-chr7-63922050-46	chr7	63921668	63922331	+	0.000	0.000	Merged-chr7-63922050-46
Merged-chr15-73492461-2	chr15	73492360	73492565	+	0.000	0.000	Merged-chr15-73492461-2
Merged-chr7-75859994-17	chr7	75859809	75860173	+	0.000	0.000	Merged-chr7-75859994-17
Merged-chr6-129608600-43	chr6	129608310	129608921	+	0.000	0.000	Merged-chr6-129608600-43
Merged-chr13-64129455-75	chr13	64129254	64129898	+	0.000	0.000	Merged-chr13-64129455-75
Merged-chr13-107869529-3	chr13	107869411	107869639	+	0.000	0.000	Merged-chr13-107869529-3
Merged-chr7-127149689-1	chr7	127149591	127149789	+	0.000	0.000	Merged-chr7-127149689-1
Merged-chr4-57886357-8	chr4	57886159	57886573	+	0.000	0.000	Merged-chr4-57886357-8
Merged-chr13-93756777-9	chr13	93756558	93756975	+	0.000	0.000	Merged-chr13-93756777-9
Merged-chr7-19935542-39	chr7	19935352	19935782	+	0.000	0.000	Merged-chr7-19935542-39
Merged-chr10-5800627-2	chr10	5800516	5800741	+	0.000	0.000	Merged-chr10-5800627-2
Merged-chr17-78200603-182	chr17	78199580	78201276	+	0.000	0.000	Merged-chr17-78200603-182
Merged-chr5-136919080-62	chr5	136918852	136919403	+	0.000	0.000	Merged-chr5-136919080-62
Merged-chr9-123749851-10	chr9	123749651	123750014	+	0.000	0.000	Merged-chr9-123749851-10
Merged-chr16-93906476-30	chr16	93906159	93906791	+	0.000	0.000	Merged-chr16-93906476-30
Merged-chr7-45154586-68	chr7	45154211	45154893	+	0.000	0.000	Merged-chr7-45154586-68
Merged-chr4-116627464-164	chr4	116627148	116628003	+	0.000	0.000	Merged-chr4-116627464-164
Merged-chrX-167210381-3	chrX	167210248	167210528	+	0.000	0.000	Merged-chrX-167210381-3
Merged-chr3-79504313-1	chr3	79504215	79504413	+	0.000	0.000	Merged-chr3-79504313-1
Merged-chr10-40179769-4	chr10	40179607	40180014	+	0.000	0.000	Merged-chr10-40179769-4
Merged-chr13-113580257-62	chr13	113579979	113580505	+	0.000	0.000	Merged-chr13-113580257-62
Merged-chr7-45921337-25	chr7	45920955	45921562	+	0.000	0.000	Merged-chr7-45921337-25
Merged-chr6-125355418-28	chr6	125355188	125355638	+	0.000	0.000	Merged-chr6-125355418-28
Merged-chr1-21078501-1	chr1	21078403	21078601	+	0.000	0.000	Merged-chr1-21078501-1
Merged-chr1-60883000-15	chr1	60882823	60883262	+	0.000	0.000	Merged-chr1-60883000-15
Merged-chr12-73645410-6	chr12	73645246	73645573	+	0.000	0.000	Merged-chr12-73645410-6
Merged-chr19-3655163-10	chr19	3655006	3655376	+	0.000	0.000	Merged-chr19-3655163-10
Merged-chr7-67445637-8	chr7	67445386	67445849	+	0.000	0.000	Merged-chr7-67445637-8
Merged-chr7-81855095-36	chr7	81854868	81855337	+	0.000	0.000	Merged-chr7-81855095-36
Merged-chr8-120589278-59	chr8	120589056	120589613	+	0.000	0.000	Merged-chr8-120589278-59
Merged-chr17-34628097-3	chr17	34627978	34628230	+	0.000	0.000	Merged-chr17-34628097-3
Merged-chr7-66196712-1	chr7	66196614	66196812	+	0.000	0.000	Merged-chr7-66196712-1
Merged-chr5-74277818-39	chr5	74277455	74278148	+	0.000	0.000	Merged-chr5-74277818-39
Merged-chr10-17896300-1	chr10	17896202	17896400	+	0.000	0.000	Merged-chr10-17896300-1
Merged-chr11-21238010-12	chr11	21237782	21238324	+	0.000	0.000	Merged-chr11-21238010-12
Merged-chr10-54040975-1	chr10	54040877	54041075	+	0.000	0.000	Merged-chr10-54040975-1
Merged-chr7-89247089-1	chr7	89246991	89247189	+	0.000	0.000	Merged-chr7-89247089-1
Merged-chr11-11763344-40	chr11	11762874	11763681	+	0.000	0.000	Merged-chr11-11763344-40
Merged-chr19-10695928-2	chr19	10695786	10696073	+	0.000	0.000	Merged-chr19-10695928-2
Merged-chr1-16106304-1	chr1	16106206	16106404	+	0.000	0.000	Merged-chr1-16106304-1
Merged-chr11-63922281-53	chr11	63922069	63922525	+	0.000	0.000	Merged-chr11-63922281-53
Merged-chr10-40084673-6	chr10	40084535	40084837	+	0.000	0.000	Merged-chr10-40084673-6
Merged-chr16-46010604-102	chr16	46010366	46010821	+	0.000	0.000	Merged-chr16-46010604-102
Merged-chr7-127042378-31	chr7	127042173	127042682	+	0.000	0.000	Merged-chr7-127042378-31
Merged-chr7-90304532-2	chr7	90304433	90304633	+	0.000	0.000	Merged-chr7-90304532-2
Merged-chr16-75877310-18	chr16	75877125	75877552	+	0.000	0.000	Merged-chr16-75877310-18
Merged-chr8-120811025-1	chr8	120810927	120811125	+	0.000	0.000	Merged-chr8-120811025-1
Merged-chr4-116464160-92	chr4	116463892	116464639	+	0.000	0.000	Merged-chr4-116464160-92
Merged-chr10-117829855-64	chr10	117829532	117830098	+	0.000	0.000	Merged-chr10-117829855-64
Merged-chr9-124100646-41	chr9	124100246	124100938	+	0.000	0.000	Merged-chr9-124100646-41
Merged-chr5-107101281-23	chr5	107101053	107101442	+	0.000	0.000	Merged-chr5-107101281-23
Merged-chr2-167656324-1	chr2	167656226	167656424	+	0.000	0.000	Merged-chr2-167656324-1
Merged-chrX-7657381-29	chrX	7657135	7657734	+	0.000	0.000	Merged-chrX-7657381-29
Merged-chr7-88277726-133	chr7	88277553	88278107	+	0.000	0.000	Merged-chr7-88277726-133
Merged-chr10-40177793-4	chr10	40177555	40177999	+	0.000	0.000	Merged-chr10-40177793-4
Merged-chr8-105795532-5	chr8	105795354	105795674	+	0.000	0.000	Merged-chr8-105795532-5
Merged-chr4-106529868-63	chr4	106529629	106530101	+	0.000	0.000	Merged-chr4-106529868-63
Merged-chr14-120525808-27	chr14	120525573	120526011	+	0.000	0.000	Merged-chr14-120525808-27
Merged-chr2-25170502-21	chr2	25170307	25170804	+	0.000	0.000	Merged-chr2-25170502-21
Merged-chr4-59167570-29	chr4	59167215	59167822	+	0.000	0.000	Merged-chr4-59167570-29
Merged-chr17-86674662-35	chr17	86674134	86675189	+	0.000	0.000	Merged-chr17-86674662-35
Merged-chr18-70580825-3	chr18	70580701	70580978	+	0.000	0.000	Merged-chr18-70580825-3
Merged-chr7-88279271-3	chr7	88279167	88279383	+	0.000	0.000	Merged-chr7-88279271-3
Merged-chr1-43353837-2	chr1	43353724	43353953	+	0.000	0.000	Merged-chr1-43353837-2
Merged-chr4-99699443-1	chr4	99699345	99699543	+	0.000	0.000	Merged-chr4-99699443-1
Merged-chr13-23745475-25	chr13	23745312	23745654	+	0.000	0.000	Merged-chr13-23745475-25
Merged-chr17-25861504-52	chr17	25861262	25861780	+	0.000	0.000	Merged-chr17-25861504-52
Merged-chr5-43853544-13	chr5	43853368	43853780	+	0.000	0.000	Merged-chr5-43853544-13
Merged-chr1-43457148-27	chr1	43456746	43457508	+	0.000	0.000	Merged-chr1-43457148-27
Merged-chr6-8641126-10	chr6	8640957	8641274	+	0.000	0.000	Merged-chr6-8641126-10
Merged-chr7-128050955-25	chr7	128050762	128051148	+	0.000	0.000	Merged-chr7-128050955-25
Merged-chr3-40799733-6	chr3	40799606	40799849	+	0.000	0.000	Merged-chr3-40799733-6
Merged-chr19-10695580-1	chr19	10695482	10695680	+	0.000	0.000	Merged-chr19-10695580-1
Merged-chr5-63967869-11	chr5	63967738	63968038	+	0.000	0.000	Merged-chr5-63967869-11
Merged-chr4-59214886-25	chr4	59214682	59215142	+	0.000	0.000	Merged-chr4-59214886-25
Merged-chr7-38094543-44	chr7	38094325	38094726	+	0.000	0.000	Merged-chr7-38094543-44
Merged-chr5-8674986-4	chr5	8674774	8675177	+	0.000	0.000	Merged-chr5-8674986-4
Merged-chr7-63925651-49	chr7	63925380	63925867	+	0.000	0.000	Merged-chr7-63925651-49
Merged-chr18-80265634-1	chr18	80265536	80265734	+	0.000	0.000	Merged-chr18-80265634-1
Merged-chr6-112947245-12	chr6	112947042	112947466	+	0.000	0.000	Merged-chr6-112947245-12
Merged-chr14-67932655-1	chr14	67932557	67932755	+	0.000	0.000	Merged-chr14-67932655-1
Merged-chr5-21054874-6	chr5	21054596	21055160	+	0.000	0.000	Merged-chr5-21054874-6
