#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Tfh.up.bed
Merged-chr4-134123927-1	chr4	134123829	134124027	+	0.000	0.000	Merged-chr4-134123927-1
Merged-chr4-135312758-1	chr4	135312660	135312858	+	0.000	0.000	Merged-chr4-135312758-1
Merged-chr5-124022476-27	chr5	124022253	124022756	+	0.000	0.000	Merged-chr5-124022476-27
Merged-chr13-23521936-3	chr13	23521835	23522038	+	0.000	0.000	Merged-chr13-23521936-3
Merged-chr2-60880763-2	chr2	60880665	60880863	+	0.000	0.000	Merged-chr2-60880763-2
Merged-chr7-47013375-34	chr7	47013088	47013765	+	0.000	0.000	Merged-chr7-47013375-34
Merged-chr12-102719761-17	chr12	102719607	102719970	+	0.000	0.000	Merged-chr12-102719761-17
Merged-chr7-66247230-15	chr7	66246845	66247629	+	0.000	0.000	Merged-chr7-66247230-15
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr2-129186012-43	chr2	129185598	129186272	+	0.000	0.000	Merged-chr2-129186012-43
Merged-chr2-180438318-9	chr2	180438011	180438500	+	0.000	0.000	Merged-chr2-180438318-9
Merged-chr7-110223070-7	chr7	110222840	110223214	+	0.000	0.000	Merged-chr7-110223070-7
Merged-chr11-105592148-13	chr11	105591929	105592352	+	0.000	0.000	Merged-chr11-105592148-13
Merged-chr9-32499941-68	chr9	32499531	32500483	+	0.000	0.000	Merged-chr9-32499941-68
Merged-chr14-73105519-8	chr14	73105375	73105688	+	0.000	0.000	Merged-chr14-73105519-8
Merged-chr17-12120379-1	chr17	12120281	12120479	+	0.000	0.000	Merged-chr17-12120379-1
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr2-129199928-7	chr2	129199578	129200284	+	0.000	0.000	Merged-chr2-129199928-7
Merged-chr9-65909052-64	chr9	65908691	65909342	+	0.000	0.000	Merged-chr9-65909052-64
Merged-chr11-107407910-19	chr11	107407651	107408097	+	0.000	0.000	Merged-chr11-107407910-19
Merged-chrX-167105630-1	chrX	167105532	167105730	+	0.000	0.000	Merged-chrX-167105630-1
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr2-90579647-1	chr2	90579549	90579747	+	0.000	0.000	Merged-chr2-90579647-1
Merged-chr5-137655034-3	chr5	137654870	137655171	+	0.000	0.000	Merged-chr5-137655034-3
Merged-chr1-161801505-4	chr1	161801385	161801647	+	0.000	0.000	Merged-chr1-161801505-4
Merged-chr19-10881047-16	chr19	10880769	10881184	+	0.000	0.000	Merged-chr19-10881047-16
Merged-chr13-5862430-12	chr13	5862151	5862750	+	0.000	0.000	Merged-chr13-5862430-12
Merged-chr10-19598256-42	chr10	19598065	19598531	+	0.000	0.000	Merged-chr10-19598256-42
Merged-chr9-21265250-55	chr9	21265037	21265465	+	0.000	0.000	Merged-chr9-21265250-55
Merged-chr10-117839249-9	chr10	117838972	117839463	+	0.000	0.000	Merged-chr10-117839249-9
Merged-chr5-149525797-5	chr5	149525699	149525897	+	0.000	0.000	Merged-chr5-149525797-5
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr3-86758843-24	chr3	86758610	86759043	+	0.000	0.000	Merged-chr3-86758843-24
Merged-chr19-12571951-5	chr19	12571787	12572100	+	0.000	0.000	Merged-chr19-12571951-5
Merged-chr11-102456095-36	chr11	102455813	102456399	+	0.000	0.000	Merged-chr11-102456095-36
Merged-chr2-180741561-6	chr2	180741432	180741711	+	0.000	0.000	Merged-chr2-180741561-6
Merged-chr19-12576850-12	chr19	12576622	12577039	+	0.000	0.000	Merged-chr19-12576850-12
Merged-chr9-61925004-1	chr9	61924906	61925104	+	0.000	0.000	Merged-chr9-61925004-1
Merged-chr17-73970626-10	chr17	73970451	73970824	+	0.000	0.000	Merged-chr17-73970626-10
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr17-83862747-3	chr17	83862525	83862916	+	0.000	0.000	Merged-chr17-83862747-3
Merged-chr1-80181298-9	chr1	80181148	80181431	+	0.000	0.000	Merged-chr1-80181298-9
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chrX-106013363-5	chrX	106013154	106013545	+	0.000	0.000	Merged-chrX-106013363-5
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr9-64797561-46	chr9	64797234	64797792	+	0.000	0.000	Merged-chr9-64797561-46
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr5-146860764-19	chr5	146860563	146861000	+	0.000	0.000	Merged-chr5-146860764-19
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr1-171699154-28	chr1	171698863	171699467	+	0.000	0.000	Merged-chr1-171699154-28
Merged-chr18-84073759-5	chr18	84073578	84073956	+	0.000	0.000	Merged-chr18-84073759-5
Merged-chr6-129350099-25	chr6	129349824	129350500	+	0.000	0.000	Merged-chr6-129350099-25
Merged-chr11-117772579-30	chr11	117772315	117772844	+	0.000	0.000	Merged-chr11-117772579-30
Merged-chrX-164402268-12	chrX	164402100	164402459	+	0.000	0.000	Merged-chrX-164402268-12
Merged-chr11-121041378-4	chr11	121041220	121041568	+	0.000	0.000	Merged-chr11-121041378-4
Merged-chr12-16584018-49	chr12	16583366	16584438	+	0.000	0.000	Merged-chr12-16584018-49
Merged-chr11-57934561-28	chr11	57934318	57934749	+	0.000	0.000	Merged-chr11-57934561-28
Merged-chr1-125487640-13	chr1	125487347	125487934	+	0.000	0.000	Merged-chr1-125487640-13
Merged-chr15-78898744-12	chr15	78898596	78898915	+	0.000	0.000	Merged-chr15-78898744-12
Merged-chr19-43517953-1	chr19	43517855	43518053	+	0.000	0.000	Merged-chr19-43517953-1
Merged-chr4-133024379-9	chr4	133024085	133024543	+	0.000	0.000	Merged-chr4-133024379-9
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr19-8980902-23	chr19	8980763	8981040	+	0.000	0.000	Merged-chr19-8980902-23
Merged-chr5-30072901-1	chr5	30072803	30073001	+	0.000	0.000	Merged-chr5-30072901-1
Merged-chr13-113090850-10	chr13	113090688	113091159	+	0.000	0.000	Merged-chr13-113090850-10
Merged-chr6-97311537-77	chr6	97311342	97311904	+	0.000	0.000	Merged-chr6-97311537-77
Merged-chr3-9865758-64	chr3	9865430	9866037	+	0.000	0.000	Merged-chr3-9865758-64
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr19-9938358-1	chr19	9938260	9938458	+	0.000	0.000	Merged-chr19-9938358-1
Merged-chr13-108337522-5	chr13	108337348	108337677	+	0.000	0.000	Merged-chr13-108337522-5
Merged-chr9-123807942-4	chr9	123807759	123808153	+	0.000	0.000	Merged-chr9-123807942-4
Merged-chr18-73792678-3	chr18	73792554	73792792	+	0.000	0.000	Merged-chr18-73792678-3
Merged-chrX-8252507-67	chrX	8252197	8252775	+	0.000	0.000	Merged-chrX-8252507-67
Merged-chr11-55072689-24	chr11	55072482	55072894	+	0.000	0.000	Merged-chr11-55072689-24
Merged-chr13-63247258-3	chr13	63247113	63247439	+	0.000	0.000	Merged-chr13-63247258-3
Merged-chr7-141482187-5	chr7	141481920	141482413	+	0.000	0.000	Merged-chr7-141482187-5
Merged-chr10-89463808-10	chr10	89463628	89464065	+	0.000	0.000	Merged-chr10-89463808-10
Merged-chr11-46467033-45	chr11	46466826	46467266	+	0.000	0.000	Merged-chr11-46467033-45
Merged-chr6-57706887-3	chr6	57706688	57707054	+	0.000	0.000	Merged-chr6-57706887-3
Merged-chr15-66814174-37	chr15	66813923	66814437	+	0.000	0.000	Merged-chr15-66814174-37
Merged-chr13-55600391-79	chr13	55599808	55600990	+	0.000	0.000	Merged-chr13-55600391-79
Merged-chr4-122884956-14	chr4	122884717	122885260	+	0.000	0.000	Merged-chr4-122884956-14
Merged-chr2-81179483-1	chr2	81179385	81179583	+	0.000	0.000	Merged-chr2-81179483-1
Merged-chr1-54912583-4	chr1	54912428	54912792	+	0.000	0.000	Merged-chr1-54912583-4
Merged-chr12-55051446-14	chr12	55051237	55051710	+	0.000	0.000	Merged-chr12-55051446-14
Merged-chr2-79270307-14	chr2	79270058	79270543	+	0.000	0.000	Merged-chr2-79270307-14
Merged-chr10-120201398-12	chr10	120201160	120201586	+	0.000	0.000	Merged-chr10-120201398-12
Merged-chr9-32570830-16	chr9	32570600	32570985	+	0.000	0.000	Merged-chr9-32570830-16
Merged-chr6-70714490-34	chr6	70714259	70714686	+	0.000	0.000	Merged-chr6-70714490-34
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr17-87299066-53	chr17	87298673	87299391	+	0.000	0.000	Merged-chr17-87299066-53
Merged-chr17-35868234-36	chr17	35867521	35868626	+	0.000	0.000	Merged-chr17-35868234-36
Merged-chr18-70574715-49	chr18	70573817	70575598	+	0.000	0.000	Merged-chr18-70574715-49
Merged-chr13-51645849-3	chr13	51645660	51645997	+	0.000	0.000	Merged-chr13-51645849-3
Merged-chr1-40516465-22	chr1	40516261	40516674	+	0.000	0.000	Merged-chr1-40516465-22
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr2-52176630-15	chr2	52176409	52176850	+	0.000	0.000	Merged-chr2-52176630-15
Merged-chr11-5955638-79	chr11	5955402	5955907	+	0.000	0.000	Merged-chr11-5955638-79
Merged-chr9-44019706-2	chr9	44019585	44019830	+	0.000	0.000	Merged-chr9-44019706-2
Merged-chr5-93094073-7	chr5	93093846	93094266	+	0.000	0.000	Merged-chr5-93094073-7
Merged-chr19-45749414-69	chr19	45748915	45749790	+	0.000	0.000	Merged-chr19-45749414-69
Merged-chr18-4353243-81	chr18	4352755	4353701	+	0.000	0.000	Merged-chr18-4353243-81
Merged-chr2-11355827-17	chr2	11355656	11356006	+	0.000	0.000	Merged-chr2-11355827-17
Merged-chr10-118448163-4	chr10	118447913	118448398	+	0.000	0.000	Merged-chr10-118448163-4
Merged-chr9-114780809-3	chr9	114780613	114781048	+	0.000	0.000	Merged-chr9-114780809-3
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr12-111809959-15	chr12	111809708	111810153	+	0.000	0.000	Merged-chr12-111809959-15
Merged-chr12-24652044-2	chr12	24651911	24652180	+	0.000	0.000	Merged-chr12-24652044-2
Merged-chr2-128422805-32	chr2	128422601	128422972	+	0.000	0.000	Merged-chr2-128422805-32
Merged-chr7-67444614-20	chr7	67444418	67444828	+	0.000	0.000	Merged-chr7-67444614-20
Merged-chr8-22186970-1	chr8	22186872	22187070	+	0.000	0.000	Merged-chr8-22186970-1
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr10-44537964-16	chr10	44537796	44538255	+	0.000	0.000	Merged-chr10-44537964-16
Merged-chr15-89354915-1	chr15	89354817	89355015	+	0.000	0.000	Merged-chr15-89354915-1
Merged-chr6-70792828-1	chr6	70792730	70792928	+	0.000	0.000	Merged-chr6-70792828-1
Merged-chr1-21079276-92	chr1	21079017	21079569	+	0.000	0.000	Merged-chr1-21079276-92
Merged-chr13-23598121-7	chr13	23597898	23598310	+	0.000	0.000	Merged-chr13-23598121-7
Merged-chr14-46831502-2	chr14	46831393	46831613	+	0.000	0.000	Merged-chr14-46831502-2
Merged-chr16-37009403-7	chr16	37009253	37009530	+	0.000	0.000	Merged-chr16-37009403-7
Merged-chr5-85781215-4	chr5	85781048	85781396	+	0.000	0.000	Merged-chr5-85781215-4
Merged-chr4-134460498-5	chr4	134460317	134460698	+	0.000	0.000	Merged-chr4-134460498-5
Merged-chr4-150799595-6	chr4	150799439	150799735	+	0.000	0.000	Merged-chr4-150799595-6
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr1-166409070-1	chr1	166408972	166409170	+	0.000	0.000	Merged-chr1-166409070-1
Merged-chr9-70421645-53	chr9	70421377	70421896	+	0.000	0.000	Merged-chr9-70421645-53
Merged-chr3-9786855-28	chr3	9786588	9787101	+	0.000	0.000	Merged-chr3-9786855-28
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chr7-101906815-1	chr7	101906717	101906915	+	0.000	0.000	Merged-chr7-101906815-1
Merged-chr16-38476219-1	chr16	38476121	38476319	+	0.000	0.000	Merged-chr16-38476219-1
Merged-chr8-123949484-73	chr8	123949102	123949890	+	0.000	0.000	Merged-chr8-123949484-73
Merged-chr6-82747432-7	chr6	82747261	82747627	+	0.000	0.000	Merged-chr6-82747432-7
Merged-chr6-97321339-36	chr6	97321165	97321547	+	0.000	0.000	Merged-chr6-97321339-36
Merged-chrX-36645202-80	chrX	36644943	36645452	+	0.000	0.000	Merged-chrX-36645202-80
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr18-89126622-17	chr18	89126438	89126816	+	0.000	0.000	Merged-chr18-89126622-17
Merged-chr3-104714697-56	chr3	104714095	104715317	+	0.000	0.000	Merged-chr3-104714697-56
Merged-chr2-127143269-68	chr2	127142704	127143672	+	0.000	0.000	Merged-chr2-127143269-68
Merged-chrX-167206151-49	chrX	167205867	167206493	+	0.000	0.000	Merged-chrX-167206151-49
Merged-chr1-131910847-123	chr1	131910607	131911370	+	0.000	0.000	Merged-chr1-131910847-123
Merged-chr1-40515347-62	chr1	40514887	40515832	+	0.000	0.000	Merged-chr1-40515347-62
Merged-chr3-137918603-81	chr3	137918330	137918904	+	0.000	0.000	Merged-chr3-137918603-81
Merged-chr10-91188013-33	chr10	91187737	91188334	+	0.000	0.000	Merged-chr10-91188013-33
Merged-chr7-67305058-11	chr7	67304887	67305322	+	0.000	0.000	Merged-chr7-67305058-11
Merged-chr15-83463775-2	chr15	83463658	83463894	+	0.000	0.000	Merged-chr15-83463775-2
Merged-chr11-58034900-1	chr11	58034802	58035000	+	0.000	0.000	Merged-chr11-58034900-1
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr9-44043404-33	chr9	44043185	44043736	+	0.000	0.000	Merged-chr9-44043404-33
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr9-41099234-15	chr9	41099039	41099415	+	0.000	0.000	Merged-chr9-41099234-15
Merged-chr2-3294968-14	chr2	3294671	3295283	+	0.000	0.000	Merged-chr2-3294968-14
Merged-chr9-57260668-1	chr9	57260570	57260768	+	0.000	0.000	Merged-chr9-57260668-1
Merged-chr4-133837480-2	chr4	133837290	133837672	+	0.000	0.000	Merged-chr4-133837480-2
Merged-chr17-35861437-48	chr17	35861112	35861618	+	0.000	0.000	Merged-chr17-35861437-48
Merged-chr4-133825838-6	chr4	133825698	133825994	+	0.000	0.000	Merged-chr4-133825838-6
Merged-chr13-63274178-2	chr13	63274072	63274286	+	0.000	0.000	Merged-chr13-63274178-2
Merged-chr17-44734692-7	chr17	44734475	44734889	+	0.000	0.000	Merged-chr17-44734692-7
Merged-chr1-182225083-33	chr1	182224861	182225344	+	0.000	0.000	Merged-chr1-182225083-33
Merged-chr17-47743455-1	chr17	47743357	47743555	+	0.000	0.000	Merged-chr17-47743455-1
Merged-chr16-44305871-15	chr16	44305703	44306084	+	0.000	0.000	Merged-chr16-44305871-15
Merged-chr11-97988386-150	chr11	97987691	97989083	+	0.000	0.000	Merged-chr11-97988386-150
Merged-chrX-93594477-7	chrX	93594317	93594651	+	0.000	0.000	Merged-chrX-93594477-7
Merged-chr1-85962322-20	chr1	85962106	85962492	+	0.000	0.000	Merged-chr1-85962322-20
Merged-chr13-23556170-26	chr13	23555934	23556434	+	0.000	0.000	Merged-chr13-23556170-26
Merged-chr4-145263821-10	chr4	145263671	145263956	+	0.000	0.000	Merged-chr4-145263821-10
Merged-chr2-105386581-16	chr2	105386403	105386763	+	0.000	0.000	Merged-chr2-105386581-16
Merged-chr4-134102653-39	chr4	134102443	134102848	+	0.000	0.000	Merged-chr4-134102653-39
Merged-chr3-86677937-13	chr3	86677776	86678102	+	0.000	0.000	Merged-chr3-86677937-13
Merged-chr15-103165587-12	chr15	103165407	103165787	+	0.000	0.000	Merged-chr15-103165587-12
