#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
Merged-chr19-44284219-69	chr19	44283760	44284579	+	0.000	0.000	Merged-chr19-44284219-69
Merged-chr1-136609076-3	chr1	136608962	136609200	+	0.000	0.000	Merged-chr1-136609076-3
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr3-129533518-164	chr3	129532922	129534390	+	0.000	0.000	Merged-chr3-129533518-164
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr10-121290125-10	chr10	121289906	121290309	+	0.000	0.000	Merged-chr10-121290125-10
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr8-14978690-4	chr8	14978502	14978951	+	0.000	0.000	Merged-chr8-14978690-4
Merged-chr2-170117129-44	chr2	170116742	170117730	+	0.000	0.000	Merged-chr2-170117129-44
Merged-chr15-27856538-51	chr15	27856271	27856806	+	0.000	0.000	Merged-chr15-27856538-51
Merged-chr11-54958732-50	chr11	54958538	54958913	+	0.000	0.000	Merged-chr11-54958732-50
Merged-chr15-79038073-11	chr15	79037941	79038206	+	0.000	0.000	Merged-chr15-79038073-11
Merged-chrX-75734287-49	chrX	75733804	75734533	+	0.000	0.000	Merged-chrX-75734287-49
Merged-chr17-25785502-40	chr17	25785262	25785706	+	0.000	0.000	Merged-chr17-25785502-40
Merged-chr10-39385441-1	chr10	39385343	39385541	+	0.000	0.000	Merged-chr10-39385441-1
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr10-71365210-11	chr10	71365035	71365389	+	0.000	0.000	Merged-chr10-71365210-11
Merged-chr3-37183520-10	chr3	37183319	37183717	+	0.000	0.000	Merged-chr3-37183520-10
Merged-chr6-67480682-22	chr6	67480267	67481014	+	0.000	0.000	Merged-chr6-67480682-22
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr19-45015575-58	chr19	45015021	45016017	+	0.000	0.000	Merged-chr19-45015575-58
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr7-49468133-37	chr7	49467878	49468390	+	0.000	0.000	Merged-chr7-49468133-37
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr14-101510851-45	chr14	101510597	101511121	+	0.000	0.000	Merged-chr14-101510851-45
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr6-99375217-98	chr6	99374339	99375903	+	0.000	0.000	Merged-chr6-99375217-98
Merged-chr15-93694661-9	chr15	93694389	93694949	+	0.000	0.000	Merged-chr15-93694661-9
Merged-chr7-139398663-1	chr7	139398565	139398763	+	0.000	0.000	Merged-chr7-139398663-1
Merged-chr8-128352989-24	chr8	128352771	128353184	+	0.000	0.000	Merged-chr8-128352989-24
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr10-39415749-15	chr10	39415557	39415900	+	0.000	0.000	Merged-chr10-39415749-15
Merged-chr17-47171280-54	chr17	47171064	47171512	+	0.000	0.000	Merged-chr17-47171280-54
Merged-chr15-93581886-25	chr15	93581654	93582088	+	0.000	0.000	Merged-chr15-93581886-25
Merged-chr4-108780525-59	chr4	108780260	108780892	+	0.000	0.000	Merged-chr4-108780525-59
Merged-chr4-6980389-8	chr4	6980239	6980552	+	0.000	0.000	Merged-chr4-6980389-8
Merged-chr12-36042318-87	chr12	36042072	36042769	+	0.000	0.000	Merged-chr12-36042318-87
Merged-chr12-73880274-74	chr12	73879737	73880932	+	0.000	0.000	Merged-chr12-73880274-74
Merged-chr1-119504796-62	chr1	119504341	119505036	+	0.000	0.000	Merged-chr1-119504796-62
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr6-99498294-17	chr6	99498055	99498517	+	0.000	0.000	Merged-chr6-99498294-17
Merged-chr8-126595306-20	chr8	126595097	126595596	+	0.000	0.000	Merged-chr8-126595306-20
Merged-chr2-70922738-17	chr2	70922562	70923023	+	0.000	0.000	Merged-chr2-70922738-17
Merged-chr12-112959295-1	chr12	112959197	112959395	+	0.000	0.000	Merged-chr12-112959295-1
Merged-chr10-99263989-11	chr10	99263658	99264199	+	0.000	0.000	Merged-chr10-99263989-11
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr7-132385485-1	chr7	132385387	132385585	+	0.000	0.000	Merged-chr7-132385485-1
Merged-chr1-128790963-21	chr1	128790514	128791316	+	0.000	0.000	Merged-chr1-128790963-21
Merged-chr7-125575832-4	chr7	125575630	125576009	+	0.000	0.000	Merged-chr7-125575832-4
Merged-chr9-94698356-7	chr9	94698121	94698633	+	0.000	0.000	Merged-chr9-94698356-7
Merged-chr11-109367099-1	chr11	109367001	109367199	+	0.000	0.000	Merged-chr11-109367099-1
Merged-chr2-68291418-12	chr2	68291218	68291690	+	0.000	0.000	Merged-chr2-68291418-12
Merged-chr15-93665771-1	chr15	93665673	93665871	+	0.000	0.000	Merged-chr15-93665771-1
Merged-chr15-12588856-30	chr15	12588635	12589091	+	0.000	0.000	Merged-chr15-12588856-30
Merged-chr16-3908896-59	chr16	3908699	3909145	+	0.000	0.000	Merged-chr16-3908896-59
Merged-chr10-68249681-39	chr10	68249501	68249921	+	0.000	0.000	Merged-chr10-68249681-39
Merged-chr11-80488662-1	chr11	80488564	80488762	+	0.000	0.000	Merged-chr11-80488662-1
Merged-chr16-20097863-112	chr16	20097627	20098107	+	0.000	0.000	Merged-chr16-20097863-112
Merged-chr15-5116701-74	chr15	5116300	5116991	+	0.000	0.000	Merged-chr15-5116701-74
Merged-chr2-6353338-6	chr2	6353151	6353580	+	0.000	0.000	Merged-chr2-6353338-6
Merged-chr19-34306924-50	chr19	34306733	34307105	+	0.000	0.000	Merged-chr19-34306924-50
Merged-chr3-123515174-4	chr3	123515010	123515319	+	0.000	0.000	Merged-chr3-123515174-4
Merged-chr10-17443586-1	chr10	17443488	17443686	+	0.000	0.000	Merged-chr10-17443586-1
Merged-chr5-75649003-1	chr5	75648905	75649103	+	0.000	0.000	Merged-chr5-75649003-1
Merged-chr11-21105658-1	chr11	21105560	21105758	+	0.000	0.000	Merged-chr11-21105658-1
Merged-chr9-96577882-15	chr9	96577712	96578131	+	0.000	0.000	Merged-chr9-96577882-15
Merged-chr6-125467519-12	chr6	125467300	125467730	+	0.000	0.000	Merged-chr6-125467519-12
Merged-chr7-4655608-1	chr7	4655510	4655708	+	0.000	0.000	Merged-chr7-4655608-1
Merged-chr16-24652303-15	chr16	24651977	24652506	+	0.000	0.000	Merged-chr16-24652303-15
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr10-77417427-7	chr10	77417120	77417666	+	0.000	0.000	Merged-chr10-77417427-7
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
Merged-chr11-3181415-55	chr11	3181133	3181614	+	0.000	0.000	Merged-chr11-3181415-55
Merged-chr2-112556082-2	chr2	112555967	112556200	+	0.000	0.000	Merged-chr2-112556082-2
Merged-chr2-61474781-19	chr2	61474615	61475038	+	0.000	0.000	Merged-chr2-61474781-19
Merged-chr1-179074234-2	chr1	179074112	179074359	+	0.000	0.000	Merged-chr1-179074234-2
Merged-chr11-4874085-42	chr11	4873853	4874419	+	0.000	0.000	Merged-chr11-4874085-42
Merged-chr4-154961400-31	chr4	154961105	154961819	+	0.000	0.000	Merged-chr4-154961400-31
Merged-chr13-116712410-33	chr13	116712108	116712626	+	0.000	0.000	Merged-chr13-116712410-33
Merged-chr19-34314624-1	chr19	34314526	34314724	+	0.000	0.000	Merged-chr19-34314624-1
Merged-chr2-122469407-42	chr2	122469153	122469591	+	0.000	0.000	Merged-chr2-122469407-42
Merged-chr1-163779662-61	chr1	163779351	163779924	+	0.000	0.000	Merged-chr1-163779662-61
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr9-83146298-69	chr9	83145756	83146886	+	0.000	0.000	Merged-chr9-83146298-69
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr17-15704757-20	chr17	15704540	15705055	+	0.000	0.000	Merged-chr17-15704757-20
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr2-156970494-23	chr2	156970226	156970871	+	0.000	0.000	Merged-chr2-156970494-23
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr9-55808003-9	chr9	55807814	55808158	+	0.000	0.000	Merged-chr9-55808003-9
Merged-chr17-8240496-17	chr17	8240150	8240762	+	0.000	0.000	Merged-chr17-8240496-17
Merged-chr18-55293214-19	chr18	55292843	55293518	+	0.000	0.000	Merged-chr18-55293214-19
Merged-chr4-32405773-79	chr4	32405451	32406147	+	0.000	0.000	Merged-chr4-32405773-79
Merged-chr4-3835460-93	chr4	3834929	3835840	+	0.000	0.000	Merged-chr4-3835460-93
Merged-chr10-30719099-39	chr10	30718779	30719317	+	0.000	0.000	Merged-chr10-30719099-39
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr17-5093524-26	chr17	5093336	5093722	+	0.000	0.000	Merged-chr17-5093524-26
Merged-chr16-97459755-2	chr16	97459648	97459865	+	0.000	0.000	Merged-chr16-97459755-2
Merged-chr1-119504128-1	chr1	119504030	119504228	+	0.000	0.000	Merged-chr1-119504128-1
Merged-chrX-42366064-18	chrX	42365796	42366270	+	0.000	0.000	Merged-chrX-42366064-18
Merged-chr7-80011699-4	chr7	80011597	80011809	+	0.000	0.000	Merged-chr7-80011699-4
Merged-chr12-68840505-1	chr12	68840407	68840605	+	0.000	0.000	Merged-chr12-68840505-1
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr6-99164991-16	chr6	99164748	99165231	+	0.000	0.000	Merged-chr6-99164991-16
Merged-chr18-78912645-1	chr18	78912547	78912745	+	0.000	0.000	Merged-chr18-78912645-1
Merged-chr11-79129591-7	chr11	79129442	79129760	+	0.000	0.000	Merged-chr11-79129591-7
Merged-chr1-128772538-19	chr1	128772261	128772830	+	0.000	0.000	Merged-chr1-128772538-19
Merged-chr2-61497944-5	chr2	61497767	61498092	+	0.000	0.000	Merged-chr2-61497944-5
Merged-chr5-125106359-47	chr5	125106084	125106677	+	0.000	0.000	Merged-chr5-125106359-47
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr13-108853912-1	chr13	108853814	108854012	+	0.000	0.000	Merged-chr13-108853912-1
Merged-chr15-100871033-1	chr15	100870935	100871133	+	0.000	0.000	Merged-chr15-100871033-1
Merged-chr16-77020436-25	chr16	77020227	77020667	+	0.000	0.000	Merged-chr16-77020436-25
Merged-chr11-116394565-53	chr11	116394121	116395088	+	0.000	0.000	Merged-chr11-116394565-53
Merged-chr3-101066330-34	chr3	101066110	101066644	+	0.000	0.000	Merged-chr3-101066330-34
Merged-chr11-46404706-1	chr11	46404608	46404806	+	0.000	0.000	Merged-chr11-46404706-1
Merged-chr1-64089059-8	chr1	64088707	64089274	+	0.000	0.000	Merged-chr1-64089059-8
Merged-chr14-24785544-14	chr14	24785354	24785802	+	0.000	0.000	Merged-chr14-24785544-14
Merged-chr1-69753005-34	chr1	69752755	69753212	+	0.000	0.000	Merged-chr1-69753005-34
Merged-chr1-179517638-119	chr1	179516905	179518186	+	0.000	0.000	Merged-chr1-179517638-119
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-58215186-88	chr15	58214712	58215525	+	0.000	0.000	Merged-chr15-58215186-88
Merged-chr10-42958255-21	chr10	42958054	42958513	+	0.000	0.000	Merged-chr10-42958255-21
Merged-chr2-108915289-1	chr2	108915191	108915389	+	0.000	0.000	Merged-chr2-108915289-1
Merged-chr5-144100460-55	chr5	144100189	144100715	+	0.000	0.000	Merged-chr5-144100460-55
Merged-chr12-69863671-25	chr12	69863470	69863930	+	0.000	0.000	Merged-chr12-69863671-25
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr4-106805024-2	chr4	106804872	106805179	+	0.000	0.000	Merged-chr4-106805024-2
Merged-chr1-193181317-39	chr1	193180982	193181632	+	0.000	0.000	Merged-chr1-193181317-39
Merged-chr7-138886601-6	chr7	138886472	138886743	+	0.000	0.000	Merged-chr7-138886601-6
Merged-chr10-130371145-16	chr10	130370890	130371431	+	0.000	0.000	Merged-chr10-130371145-16
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr6-121247947-4	chr6	121247743	121248212	+	0.000	0.000	Merged-chr6-121247947-4
Merged-chr12-55497950-1	chr12	55497852	55498050	+	0.000	0.000	Merged-chr12-55497950-1
Merged-chr7-73546834-52	chr7	73546629	73547090	+	0.000	0.000	Merged-chr7-73546834-52
Merged-chr3-127853593-31	chr3	127853406	127853886	+	0.000	0.000	Merged-chr3-127853593-31
Merged-chr4-10968085-44	chr4	10967892	10968319	+	0.000	0.000	Merged-chr4-10968085-44
Merged-chr7-12422521-72	chr7	12422035	12422887	+	0.000	0.000	Merged-chr7-12422521-72
Merged-chr9-48985134-97	chr9	48984786	48985413	+	0.000	0.000	Merged-chr9-48985134-97
Merged-chr15-41832458-66	chr15	41832167	41832675	+	0.000	0.000	Merged-chr15-41832458-66
Merged-chr1-172148814-1	chr1	172148716	172148914	+	0.000	0.000	Merged-chr1-172148814-1
Merged-chr6-6132340-1	chr6	6132242	6132440	+	0.000	0.000	Merged-chr6-6132340-1
Merged-chr2-174603363-2	chr2	174603237	174603492	+	0.000	0.000	Merged-chr2-174603363-2
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr1-156043171-17	chr1	156042816	156043372	+	0.000	0.000	Merged-chr1-156043171-17
Merged-chr2-61402469-66	chr2	61401961	61403019	+	0.000	0.000	Merged-chr2-61402469-66
Merged-chr3-105957337-1	chr3	105957239	105957437	+	0.000	0.000	Merged-chr3-105957337-1
Merged-chr2-28513435-39	chr2	28513117	28513868	+	0.000	0.000	Merged-chr2-28513435-39
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr14-55629542-18	chr14	55629358	55629721	+	0.000	0.000	Merged-chr14-55629542-18
Merged-chr6-145256997-16	chr6	145256790	145257195	+	0.000	0.000	Merged-chr6-145256997-16
Merged-chr7-99798520-10	chr7	99798351	99798645	+	0.000	0.000	Merged-chr7-99798520-10
Merged-chr5-144263627-18	chr5	144263367	144263823	+	0.000	0.000	Merged-chr5-144263627-18
Merged-chr7-25000756-34	chr7	25000289	25001308	+	0.000	0.000	Merged-chr7-25000756-34
Merged-chr14-31194622-6	chr14	31194462	31194796	+	0.000	0.000	Merged-chr14-31194622-6
Merged-chr15-100424546-20	chr15	100424210	100424888	+	0.000	0.000	Merged-chr15-100424546-20
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr5-28315754-44	chr5	28315554	28316037	+	0.000	0.000	Merged-chr5-28315754-44
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr4-32342446-3	chr4	32342307	32342578	+	0.000	0.000	Merged-chr4-32342446-3
Merged-chr15-97605953-1	chr15	97605855	97606053	+	0.000	0.000	Merged-chr15-97605953-1
Merged-chr10-67112116-37	chr10	67111904	67112502	+	0.000	0.000	Merged-chr10-67112116-37
Merged-chr4-136143940-49	chr4	136143651	136144366	+	0.000	0.000	Merged-chr4-136143940-49
Merged-chr9-61372365-47	chr9	61371943	61372645	+	0.000	0.000	Merged-chr9-61372365-47
Merged-chr7-129587073-1	chr7	129586975	129587173	+	0.000	0.000	Merged-chr7-129587073-1
Merged-chr12-87442765-7	chr12	87442552	87442926	+	0.000	0.000	Merged-chr12-87442765-7
Merged-chr1-181230993-50	chr1	181230656	181231299	+	0.000	0.000	Merged-chr1-181230993-50
Merged-chr16-24188070-2	chr16	24187965	24188177	+	0.000	0.000	Merged-chr16-24188070-2
Merged-chr15-93756205-23	chr15	93755994	93756476	+	0.000	0.000	Merged-chr15-93756205-23
Merged-chr6-121245760-60	chr6	121245472	121246000	+	0.000	0.000	Merged-chr6-121245760-60
Merged-chr5-76779382-27	chr5	76779186	76779674	+	0.000	0.000	Merged-chr5-76779382-27
Merged-chrX-20307421-11	chrX	20307214	20307599	+	0.000	0.000	Merged-chrX-20307421-11
Merged-chr6-121110104-77	chr6	121109696	121110482	+	0.000	0.000	Merged-chr6-121110104-77
Merged-chr11-22824173-55	chr11	22823685	22824544	+	0.000	0.000	Merged-chr11-22824173-55
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr3-89911440-10	chr3	89911238	89911696	+	0.000	0.000	Merged-chr3-89911440-10
Merged-chr13-112472565-14	chr13	112472363	112472843	+	0.000	0.000	Merged-chr13-112472565-14
Merged-chr9-61791076-24	chr9	61790856	61791350	+	0.000	0.000	Merged-chr9-61791076-24
Merged-chr2-103627335-19	chr2	103627139	103627520	+	0.000	0.000	Merged-chr2-103627335-19
Merged-chr17-35301957-54	chr17	35301753	35302159	+	0.000	0.000	Merged-chr17-35301957-54
Merged-chr3-101059436-11	chr3	101059260	101059627	+	0.000	0.000	Merged-chr3-101059436-11
Merged-chr5-122291331-19	chr5	122291148	122291633	+	0.000	0.000	Merged-chr5-122291331-19
Merged-chr5-134444752-37	chr5	134444470	134445092	+	0.000	0.000	Merged-chr5-134444752-37
Merged-chr15-25740417-24	chr15	25740007	25740659	+	0.000	0.000	Merged-chr15-25740417-24
Merged-chr5-100664078-31	chr5	100663857	100664349	+	0.000	0.000	Merged-chr5-100664078-31
Merged-chr17-22417676-33	chr17	22417454	22417892	+	0.000	0.000	Merged-chr17-22417676-33
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr5-75530270-1	chr5	75530172	75530370	+	0.000	0.000	Merged-chr5-75530270-1
Merged-chr2-165878118-38	chr2	165877883	165878318	+	0.000	0.000	Merged-chr2-165878118-38
Merged-chr10-10558018-80	chr10	10557697	10558476	+	0.000	0.000	Merged-chr10-10558018-80
Merged-chr6-134425334-10	chr6	134425139	134425495	+	0.000	0.000	Merged-chr6-134425334-10
