#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr8-124662539-3	chr8	124662347	124662752	+	0.000	0.000	Merged-chr8-124662539-3
Merged-chr1-153675831-16	chr1	153675532	153676089	+	0.000	0.000	Merged-chr1-153675831-16
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr1-165763682-102	chr1	165763338	165764077	+	0.000	0.000	Merged-chr1-165763682-102
Merged-chr9-109000906-26	chr9	109000690	109001114	+	0.000	0.000	Merged-chr9-109000906-26
Merged-chr10-68089835-22	chr10	68089630	68090047	+	0.000	0.000	Merged-chr10-68089835-22
Merged-chr2-61480993-2	chr2	61480849	61481139	+	0.000	0.000	Merged-chr2-61480993-2
Merged-chr14-8632387-8	chr14	8632184	8632583	+	0.000	0.000	Merged-chr14-8632387-8
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr10-67065679-35	chr10	67065318	67065959	+	0.000	0.000	Merged-chr10-67065679-35
Merged-chr6-73248594-64	chr6	73248166	73248920	+	0.000	0.000	Merged-chr6-73248594-64
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr1-179047841-1	chr1	179047743	179047941	+	0.000	0.000	Merged-chr1-179047841-1
Merged-chr5-92348228-1	chr5	92348130	92348328	+	0.000	0.000	Merged-chr5-92348228-1
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr4-44173421-4	chr4	44173277	44173578	+	0.000	0.000	Merged-chr4-44173421-4
Merged-chr10-79096841-1	chr10	79096743	79096941	+	0.000	0.000	Merged-chr10-79096841-1
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr12-17689227-2	chr12	17689095	17689361	+	0.000	0.000	Merged-chr12-17689227-2
Merged-chr2-167689291-96	chr2	167688631	167689555	+	0.000	0.000	Merged-chr2-167689291-96
Merged-chr13-95524749-120	chr13	95524449	95525271	+	0.000	0.000	Merged-chr13-95524749-120
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr16-17928411-109	chr16	17928138	17928864	+	0.000	0.000	Merged-chr16-17928411-109
Merged-chr5-148551508-2	chr5	148551331	148551687	+	0.000	0.000	Merged-chr5-148551508-2
Merged-chr11-113565159-1	chr11	113565061	113565259	+	0.000	0.000	Merged-chr11-113565159-1
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr15-100419911-3	chr15	100419697	100420069	+	0.000	0.000	Merged-chr15-100419911-3
Merged-chr17-65740416-17	chr17	65740171	65740618	+	0.000	0.000	Merged-chr17-65740416-17
Merged-chr1-6272359-19	chr1	6272118	6272557	+	0.000	0.000	Merged-chr1-6272359-19
Merged-chr15-36374262-7	chr15	36374013	36374510	+	0.000	0.000	Merged-chr15-36374262-7
Merged-chr4-86713710-23	chr4	86713523	86713886	+	0.000	0.000	Merged-chr4-86713710-23
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr3-94952944-28	chr3	94952359	94953193	+	0.000	0.000	Merged-chr3-94952944-28
Merged-chr10-19934742-4	chr10	19934630	19934857	+	0.000	0.000	Merged-chr10-19934742-4
Merged-chr19-57123944-45	chr19	57123749	57124144	+	0.000	0.000	Merged-chr19-57123944-45
Merged-chr13-55444770-148	chr13	55444289	55445182	+	0.000	0.000	Merged-chr13-55444770-148
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr11-98001521-17	chr11	98001331	98001848	+	0.000	0.000	Merged-chr11-98001521-17
Merged-chr9-35199813-60	chr9	35199531	35200198	+	0.000	0.000	Merged-chr9-35199813-60
Merged-chr4-150626501-41	chr4	150626254	150626801	+	0.000	0.000	Merged-chr4-150626501-41
Merged-chr3-87383448-9	chr3	87383313	87383621	+	0.000	0.000	Merged-chr3-87383448-9
Merged-chr17-34235127-37	chr17	34234871	34235318	+	0.000	0.000	Merged-chr17-34235127-37
Merged-chr8-124020004-4	chr8	124019861	124020139	+	0.000	0.000	Merged-chr8-124020004-4
Merged-chr2-68338493-1	chr2	68338395	68338593	+	0.000	0.000	Merged-chr2-68338493-1
Merged-chr14-54464203-140	chr14	54463600	54464495	+	0.000	0.000	Merged-chr14-54464203-140
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr12-36157829-2	chr12	36157720	36157941	+	0.000	0.000	Merged-chr12-36157829-2
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr16-45024089-23	chr16	45023904	45024332	+	0.000	0.000	Merged-chr16-45024089-23
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr17-22081170-26	chr17	22080797	22081494	+	0.000	0.000	Merged-chr17-22081170-26
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
Merged-chr3-51652658-59	chr3	51652378	51653086	+	0.000	0.000	Merged-chr3-51652658-59
Merged-chr7-19590071-26	chr7	19589734	19590366	+	0.000	0.000	Merged-chr7-19590071-26
Merged-chr11-98003511-2	chr11	98003409	98003615	+	0.000	0.000	Merged-chr11-98003511-2
Merged-chr1-67038883-63	chr1	67038488	67039111	+	0.000	0.000	Merged-chr1-67038883-63
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr7-24884343-81	chr7	24884071	24884562	+	0.000	0.000	Merged-chr7-24884343-81
Merged-chr9-61501561-3	chr9	61501418	61501716	+	0.000	0.000	Merged-chr9-61501561-3
Merged-chr5-146780158-5	chr5	146779980	146780314	+	0.000	0.000	Merged-chr5-146780158-5
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr10-13988804-2	chr10	13988670	13988940	+	0.000	0.000	Merged-chr10-13988804-2
Merged-chr5-44224584-26	chr5	44224369	44225030	+	0.000	0.000	Merged-chr5-44224584-26
Merged-chr2-132040154-56	chr2	132039928	132040374	+	0.000	0.000	Merged-chr2-132040154-56
Merged-chr16-16912027-29	chr16	16911822	16912205	+	0.000	0.000	Merged-chr16-16912027-29
Merged-chr16-10783266-6	chr16	10783161	10783379	+	0.000	0.000	Merged-chr16-10783266-6
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr11-4258968-42	chr11	4258768	4259269	+	0.000	0.000	Merged-chr11-4258968-42
Merged-chr18-79234491-26	chr18	79234204	79234782	+	0.000	0.000	Merged-chr18-79234491-26
Merged-chr8-79371540-1	chr8	79371442	79371640	+	0.000	0.000	Merged-chr8-79371540-1
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr5-72891744-22	chr5	72891523	72891965	+	0.000	0.000	Merged-chr5-72891744-22
Merged-chr2-135981518-2	chr2	135981395	135981643	+	0.000	0.000	Merged-chr2-135981518-2
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr7-39449631-50	chr7	39449267	39450099	+	0.000	0.000	Merged-chr7-39449631-50
Merged-chr6-52640387-58	chr6	52640130	52640677	+	0.000	0.000	Merged-chr6-52640387-58
Merged-chr3-121178059-1	chr3	121177961	121178159	+	0.000	0.000	Merged-chr3-121178059-1
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr6-143170494-31	chr6	143170280	143170662	+	0.000	0.000	Merged-chr6-143170494-31
Merged-chr2-18952458-63	chr2	18952127	18952859	+	0.000	0.000	Merged-chr2-18952458-63
Merged-chr7-128653548-3	chr7	128653393	128653696	+	0.000	0.000	Merged-chr7-128653548-3
Merged-chrX-7867527-15	chrX	7867226	7867757	+	0.000	0.000	Merged-chrX-7867527-15
Merged-chr14-31569304-6	chr14	31569114	31569476	+	0.000	0.000	Merged-chr14-31569304-6
Merged-chr12-113220068-2	chr12	113219928	113220211	+	0.000	0.000	Merged-chr12-113220068-2
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr12-26460097-25	chr12	26459828	26460331	+	0.000	0.000	Merged-chr12-26460097-25
Merged-chr6-116311503-1	chr6	116311405	116311603	+	0.000	0.000	Merged-chr6-116311503-1
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr18-61208374-2	chr18	61208256	61208495	+	0.000	0.000	Merged-chr18-61208374-2
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr14-55635615-42	chr14	55635359	55635831	+	0.000	0.000	Merged-chr14-55635615-42
Merged-chr10-59974606-81	chr10	59974256	59974865	+	0.000	0.000	Merged-chr10-59974606-81
Merged-chr6-105532794-1	chr6	105532696	105532894	+	0.000	0.000	Merged-chr6-105532794-1
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr15-28021766-8	chr15	28021631	28021919	+	0.000	0.000	Merged-chr15-28021766-8
Merged-chr18-55066238-1	chr18	55066140	55066338	+	0.000	0.000	Merged-chr18-55066238-1
Merged-chr15-53125024-11	chr15	53124787	53125191	+	0.000	0.000	Merged-chr15-53125024-11
Merged-chr10-94860976-37	chr10	94860727	94861160	+	0.000	0.000	Merged-chr10-94860976-37
Merged-chr1-192063830-1	chr1	192063732	192063930	+	0.000	0.000	Merged-chr1-192063830-1
Merged-chr2-135847569-1	chr2	135847471	135847669	+	0.000	0.000	Merged-chr2-135847569-1
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr4-32166349-13	chr4	32166141	32166495	+	0.000	0.000	Merged-chr4-32166349-13
Merged-chr4-152325932-66	chr4	152325683	152326147	+	0.000	0.000	Merged-chr4-152325932-66
Merged-chr7-127393642-77	chr7	127393257	127394045	+	0.000	0.000	Merged-chr7-127393642-77
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr13-58206802-1	chr13	58206704	58206902	+	0.000	0.000	Merged-chr13-58206802-1
Merged-chr17-35666880-3	chr17	35666718	35667103	+	0.000	0.000	Merged-chr17-35666880-3
Merged-chr7-19837080-20	chr7	19836822	19837312	+	0.000	0.000	Merged-chr7-19837080-20
Merged-chr10-93126298-4	chr10	93126128	93126455	+	0.000	0.000	Merged-chr10-93126298-4
Merged-chr3-95681559-19	chr3	95681302	95681812	+	0.000	0.000	Merged-chr3-95681559-19
Merged-chr13-109686286-1	chr13	109686188	109686386	+	0.000	0.000	Merged-chr13-109686286-1
Merged-chr7-28373341-2	chr7	28373209	28373476	+	0.000	0.000	Merged-chr7-28373341-2
Merged-chr4-137880751-1	chr4	137880653	137880851	+	0.000	0.000	Merged-chr4-137880751-1
Merged-chr15-96377378-14	chr15	96377186	96377642	+	0.000	0.000	Merged-chr15-96377378-14
Merged-chr2-75705231-1	chr2	75705133	75705331	+	0.000	0.000	Merged-chr2-75705231-1
Merged-chr16-35747565-9	chr16	35747374	35747750	+	0.000	0.000	Merged-chr16-35747565-9
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr1-106738280-22	chr1	106738078	106738513	+	0.000	0.000	Merged-chr1-106738280-22
Merged-chr4-106912245-1	chr4	106912147	106912345	+	0.000	0.000	Merged-chr4-106912245-1
Merged-chr11-100819577-1	chr11	100819479	100819677	+	0.000	0.000	Merged-chr11-100819577-1
Merged-chr7-29039900-33	chr7	29039673	29040170	+	0.000	0.000	Merged-chr7-29039900-33
Merged-chr12-52524948-24	chr12	52524665	52525171	+	0.000	0.000	Merged-chr12-52524948-24
Merged-chr1-179502778-16	chr1	179502518	179503018	+	0.000	0.000	Merged-chr1-179502778-16
Merged-chr7-127946978-1	chr7	127946880	127947078	+	0.000	0.000	Merged-chr7-127946978-1
Merged-chr7-28372841-69	chr7	28372574	28373043	+	0.000	0.000	Merged-chr7-28372841-69
Merged-chr1-138248934-12	chr1	138248767	138249130	+	0.000	0.000	Merged-chr1-138248934-12
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr13-73604203-68	chr13	73603740	73604526	+	0.000	0.000	Merged-chr13-73604203-68
Merged-chr2-170153034-3	chr2	170152883	170153165	+	0.000	0.000	Merged-chr2-170153034-3
Merged-chr13-109837849-65	chr13	109837657	109838034	+	0.000	0.000	Merged-chr13-109837849-65
Merged-chr16-24165807-44	chr16	24165324	24166176	+	0.000	0.000	Merged-chr16-24165807-44
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr14-121936476-1	chr14	121936378	121936576	+	0.000	0.000	Merged-chr14-121936476-1
Merged-chr17-84272667-1	chr17	84272569	84272767	+	0.000	0.000	Merged-chr17-84272667-1
Merged-chr12-85691977-2	chr12	85691872	85692084	+	0.000	0.000	Merged-chr12-85691977-2
Merged-chr5-147475490-3	chr5	147475381	147475607	+	0.000	0.000	Merged-chr5-147475490-3
Merged-chr5-53999784-28	chr5	53999514	54000176	+	0.000	0.000	Merged-chr5-53999784-28
Merged-chr8-84986029-81	chr8	84985719	84986365	+	0.000	0.000	Merged-chr8-84986029-81
Merged-chr4-86739424-15	chr4	86739247	86739596	+	0.000	0.000	Merged-chr4-86739424-15
Merged-chr17-35200638-36	chr17	35200391	35200802	+	0.000	0.000	Merged-chr17-35200638-36
Merged-chr1-192062779-52	chr1	192062143	192063194	+	0.000	0.000	Merged-chr1-192062779-52
Merged-chr11-3131292-2	chr11	3131194	3131392	+	0.000	0.000	Merged-chr11-3131292-2
Merged-chr6-134070171-6	chr6	134069960	134070425	+	0.000	0.000	Merged-chr6-134070171-6
Merged-chr8-81857763-3	chr8	81857657	81857874	+	0.000	0.000	Merged-chr8-81857763-3
Merged-chr5-75534401-1	chr5	75534303	75534501	+	0.000	0.000	Merged-chr5-75534401-1
Merged-chr2-4918465-9	chr2	4918301	4918718	+	0.000	0.000	Merged-chr2-4918465-9
Merged-chr5-105313637-29	chr5	105313399	105313998	+	0.000	0.000	Merged-chr5-105313637-29
Merged-chr11-115974957-30	chr11	115974732	115975304	+	0.000	0.000	Merged-chr11-115974957-30
Merged-chr15-31453482-63	chr15	31453181	31453833	+	0.000	0.000	Merged-chr15-31453482-63
Merged-chr5-147060203-2	chr5	147060086	147060322	+	0.000	0.000	Merged-chr5-147060203-2
Merged-chr8-71367350-68	chr8	71367110	71367584	+	0.000	0.000	Merged-chr8-71367350-68
Merged-chr1-191317976-55	chr1	191317794	191318163	+	0.000	0.000	Merged-chr1-191317976-55
Merged-chr10-67487722-31	chr10	67487593	67487869	+	0.000	0.000	Merged-chr10-67487722-31
Merged-chr2-168083277-3	chr2	168083108	168083481	+	0.000	0.000	Merged-chr2-168083277-3
Merged-chr2-28514635-36	chr2	28514332	28514833	+	0.000	0.000	Merged-chr2-28514635-36
Merged-chr1-37030914-29	chr1	37030568	37031159	+	0.000	0.000	Merged-chr1-37030914-29
Merged-chr10-68240828-58	chr10	68240501	68241182	+	0.000	0.000	Merged-chr10-68240828-58
Merged-chr19-45017173-2	chr19	45017065	45017283	+	0.000	0.000	Merged-chr19-45017173-2
Merged-chr10-80152261-5	chr10	80152121	80152443	+	0.000	0.000	Merged-chr10-80152261-5
Merged-chr5-75811026-2	chr5	75810900	75811155	+	0.000	0.000	Merged-chr5-75811026-2
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr12-102369498-1	chr12	102369400	102369598	+	0.000	0.000	Merged-chr12-102369498-1
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chr19-57095609-11	chr19	57095457	57095788	+	0.000	0.000	Merged-chr19-57095609-11
Merged-chr10-67096873-126	chr10	67096581	67097355	+	0.000	0.000	Merged-chr10-67096873-126
Merged-chr5-34369838-94	chr5	34369400	34370191	+	0.000	0.000	Merged-chr5-34369838-94
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr11-103809111-3	chr11	103809013	103809211	+	0.000	0.000	Merged-chr11-103809111-3
Merged-chr8-93933058-30	chr8	93932809	93933293	+	0.000	0.000	Merged-chr8-93933058-30
Merged-chr19-57077212-7	chr19	57077083	57077368	+	0.000	0.000	Merged-chr19-57077212-7
Merged-chr5-105675662-27	chr5	105675454	105675851	+	0.000	0.000	Merged-chr5-105675662-27
Merged-chr1-138560961-36	chr1	138560752	138561197	+	0.000	0.000	Merged-chr1-138560961-36
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr1-131097779-22	chr1	131097583	131098023	+	0.000	0.000	Merged-chr1-131097779-22
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr11-79142530-5	chr11	79142358	79142718	+	0.000	0.000	Merged-chr11-79142530-5
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr15-27923818-49	chr15	27923601	27924034	+	0.000	0.000	Merged-chr15-27923818-49
Merged-chr5-150595556-1	chr5	150595458	150595656	+	0.000	0.000	Merged-chr5-150595556-1
Merged-chr1-189080988-15	chr1	189080751	189081196	+	0.000	0.000	Merged-chr1-189080988-15
Merged-chrX-12005261-5	chrX	12005100	12005435	+	0.000	0.000	Merged-chrX-12005261-5
Merged-chr7-4658968-69	chr7	4658614	4659213	+	0.000	0.000	Merged-chr7-4658968-69
Merged-chr13-9354010-25	chr13	9353813	9354214	+	0.000	0.000	Merged-chr13-9354010-25
Merged-chr16-33726807-11	chr16	33726582	33727170	+	0.000	0.000	Merged-chr16-33726807-11
Merged-chr11-59425956-47	chr11	59425788	59426302	+	0.000	0.000	Merged-chr11-59425956-47
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chr8-8287971-1	chr8	8287873	8288071	+	0.000	0.000	Merged-chr8-8287971-1
Merged-chr16-89986994-3	chr16	89986792	89987241	+	0.000	0.000	Merged-chr16-89986994-3
Merged-chr11-22739134-3	chr11	22738943	22739281	+	0.000	0.000	Merged-chr11-22739134-3
Merged-chr10-121189304-59	chr10	121189029	121189854	+	0.000	0.000	Merged-chr10-121189304-59
Merged-chr6-37207905-12	chr6	37207701	37208166	+	0.000	0.000	Merged-chr6-37207905-12
Merged-chr11-21174541-55	chr11	21174256	21174928	+	0.000	0.000	Merged-chr11-21174541-55
Merged-chr1-127330418-1	chr1	127330320	127330518	+	0.000	0.000	Merged-chr1-127330418-1
Merged-chr5-100642595-5	chr5	100642460	100642743	+	0.000	0.000	Merged-chr5-100642595-5
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chr15-12268204-21	chr15	12267923	12268474	+	0.000	0.000	Merged-chr15-12268204-21
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr2-170183975-1	chr2	170183877	170184075	+	0.000	0.000	Merged-chr2-170183975-1
Merged-chr2-3332756-84	chr2	3332570	3332989	+	0.000	0.000	Merged-chr2-3332756-84
Merged-chr7-80860752-81	chr7	80860561	80861122	+	0.000	0.000	Merged-chr7-80860752-81
Merged-chr19-57064408-9	chr19	57064175	57064570	+	0.000	0.000	Merged-chr19-57064408-9
Merged-chr3-89727230-25	chr3	89727058	89727449	+	0.000	0.000	Merged-chr3-89727230-25
Merged-chr2-75069533-44	chr2	75069285	75069838	+	0.000	0.000	Merged-chr2-75069533-44
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr12-55820347-2	chr12	55820249	55820447	+	0.000	0.000	Merged-chr12-55820347-2
Merged-chr3-130932446-30	chr3	130932216	130932642	+	0.000	0.000	Merged-chr3-130932446-30
Merged-chr3-121370150-110	chr3	121369598	121370352	+	0.000	0.000	Merged-chr3-121370150-110
Merged-chr4-11015435-4	chr4	11015300	11015581	+	0.000	0.000	Merged-chr4-11015435-4
Merged-chr2-135892016-4	chr2	135891875	135892199	+	0.000	0.000	Merged-chr2-135892016-4
Merged-chr6-99270140-8	chr6	99269961	99270336	+	0.000	0.000	Merged-chr6-99270140-8
Merged-chr4-155066874-90	chr4	155066563	155067296	+	0.000	0.000	Merged-chr4-155066874-90
Merged-chr10-81257726-38	chr10	81257264	81258062	+	0.000	0.000	Merged-chr10-81257726-38
Merged-chr11-109375148-3	chr11	109375010	109375295	+	0.000	0.000	Merged-chr11-109375148-3
Merged-chr6-144919933-48	chr6	144919714	144920278	+	0.000	0.000	Merged-chr6-144919933-48
Merged-chr6-125244741-5	chr6	125244596	125244864	+	0.000	0.000	Merged-chr6-125244741-5
Merged-chr2-18996923-12	chr2	18996698	18997163	+	0.000	0.000	Merged-chr2-18996923-12
Merged-chr13-56658390-15	chr13	56658153	56658573	+	0.000	0.000	Merged-chr13-56658390-15
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr19-40270739-1	chr19	40270641	40270839	+	0.000	0.000	Merged-chr19-40270739-1
Merged-chr6-144090267-2	chr6	144090151	144090386	+	0.000	0.000	Merged-chr6-144090267-2
Merged-chr12-28634627-1	chr12	28634529	28634727	+	0.000	0.000	Merged-chr12-28634627-1
Merged-chrX-20272195-17	chrX	20271987	20272371	+	0.000	0.000	Merged-chrX-20272195-17
Merged-chr3-88483869-13	chr3	88483665	88484065	+	0.000	0.000	Merged-chr3-88483869-13
Merged-chr16-23990093-2	chr16	23989994	23990194	+	0.000	0.000	Merged-chr16-23990093-2
Merged-chr8-79161716-60	chr8	79161373	79162151	+	0.000	0.000	Merged-chr8-79161716-60
Merged-chr16-89833107-38	chr16	89832823	89833542	+	0.000	0.000	Merged-chr16-89833107-38
Merged-chr13-58385617-1	chr13	58385519	58385717	+	0.000	0.000	Merged-chr13-58385617-1
Merged-chr6-48025442-7	chr6	48025300	48025649	+	0.000	0.000	Merged-chr6-48025442-7
Merged-chr5-122235047-97	chr5	122234322	122235639	+	0.000	0.000	Merged-chr5-122235047-97
Merged-chr15-99333202-49	chr15	99332951	99333481	+	0.000	0.000	Merged-chr15-99333202-49
Merged-chr7-49392450-14	chr7	49392236	49392651	+	0.000	0.000	Merged-chr7-49392450-14
Merged-chr10-68277544-1	chr10	68277446	68277644	+	0.000	0.000	Merged-chr10-68277544-1
Merged-chrX-169979163-27	chrX	169978799	169979469	+	0.000	0.000	Merged-chrX-169979163-27
Merged-chr9-106882262-1	chr9	106882164	106882362	+	0.000	0.000	Merged-chr9-106882262-1
Merged-chr16-35869380-49	chr16	35869108	35869715	+	0.000	0.000	Merged-chr16-35869380-49
Merged-chr16-33371009-21	chr16	33370735	33371215	+	0.000	0.000	Merged-chr16-33371009-21
