#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_WT_Th1.up.bed
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr9-65909052-64	chr9	65908691	65909342	+	0.000	0.000	Merged-chr9-65909052-64
Merged-chr8-13686705-81	chr8	13686250	13686952	+	0.000	0.000	Merged-chr8-13686705-81
Merged-chr17-79868435-11	chr17	79868202	79868672	+	0.000	0.000	Merged-chr17-79868435-11
Merged-chr1-14560703-1	chr1	14560605	14560803	+	0.000	0.000	Merged-chr1-14560703-1
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr2-101288419-1	chr2	101288321	101288519	+	0.000	0.000	Merged-chr2-101288419-1
Merged-chr2-163745502-6	chr2	163745201	163745694	+	0.000	0.000	Merged-chr2-163745502-6
Merged-chr7-10495600-2	chr7	10495502	10495700	+	0.000	0.000	Merged-chr7-10495600-2
Merged-chr10-44601754-5	chr10	44601608	44601877	+	0.000	0.000	Merged-chr10-44601754-5
Merged-chr19-10881047-16	chr19	10880769	10881184	+	0.000	0.000	Merged-chr19-10881047-16
Merged-chr9-21265250-55	chr9	21265037	21265465	+	0.000	0.000	Merged-chr9-21265250-55
Merged-chr6-108607013-11	chr6	108606811	108607271	+	0.000	0.000	Merged-chr6-108607013-11
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr11-102456095-36	chr11	102455813	102456399	+	0.000	0.000	Merged-chr11-102456095-36
Merged-chr11-106961822-47	chr11	106961526	106962150	+	0.000	0.000	Merged-chr11-106961822-47
Merged-chr19-12576850-12	chr19	12576622	12577039	+	0.000	0.000	Merged-chr19-12576850-12
Merged-chr9-61925004-1	chr9	61924906	61925104	+	0.000	0.000	Merged-chr9-61925004-1
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr1-181928626-21	chr1	181928477	181928804	+	0.000	0.000	Merged-chr1-181928626-21
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
Merged-chr18-65800547-87	chr18	65800259	65800878	+	0.000	0.000	Merged-chr18-65800547-87
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr6-129350099-25	chr6	129349824	129350500	+	0.000	0.000	Merged-chr6-129350099-25
Merged-chrX-164402268-12	chrX	164402100	164402459	+	0.000	0.000	Merged-chrX-164402268-12
Merged-chr11-57934561-28	chr11	57934318	57934749	+	0.000	0.000	Merged-chr11-57934561-28
Merged-chr11-109822566-4	chr11	109822464	109822672	+	0.000	0.000	Merged-chr11-109822566-4
Merged-chr1-125487640-13	chr1	125487347	125487934	+	0.000	0.000	Merged-chr1-125487640-13
Merged-chr19-43517953-1	chr19	43517855	43518053	+	0.000	0.000	Merged-chr19-43517953-1
Merged-chr4-133024379-9	chr4	133024085	133024543	+	0.000	0.000	Merged-chr4-133024379-9
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr5-30072901-1	chr5	30072803	30073001	+	0.000	0.000	Merged-chr5-30072901-1
Merged-chr7-90353995-46	chr7	90353761	90354202	+	0.000	0.000	Merged-chr7-90353995-46
Merged-chr2-9803115-6	chr2	9802891	9803327	+	0.000	0.000	Merged-chr2-9803115-6
Merged-chr3-9865758-64	chr3	9865430	9866037	+	0.000	0.000	Merged-chr3-9865758-64
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr19-9938358-1	chr19	9938260	9938458	+	0.000	0.000	Merged-chr19-9938358-1
Merged-chr13-108337522-5	chr13	108337348	108337677	+	0.000	0.000	Merged-chr13-108337522-5
Merged-chr18-73792678-3	chr18	73792554	73792792	+	0.000	0.000	Merged-chr18-73792678-3
Merged-chr7-122159598-98	chr7	122158996	122160704	+	0.000	0.000	Merged-chr7-122159598-98
Merged-chr10-89463808-10	chr10	89463628	89464065	+	0.000	0.000	Merged-chr10-89463808-10
Merged-chr11-46467033-45	chr11	46466826	46467266	+	0.000	0.000	Merged-chr11-46467033-45
Merged-chr16-38403737-54	chr16	38403530	38404122	+	0.000	0.000	Merged-chr16-38403737-54
Merged-chr6-57706887-3	chr6	57706688	57707054	+	0.000	0.000	Merged-chr6-57706887-3
Merged-chr15-66814174-37	chr15	66813923	66814437	+	0.000	0.000	Merged-chr15-66814174-37
Merged-chr5-62772215-28	chr5	62771937	62772520	+	0.000	0.000	Merged-chr5-62772215-28
Merged-chr15-102150590-42	chr15	102150330	102150970	+	0.000	0.000	Merged-chr15-102150590-42
Merged-chr18-57400941-35	chr18	57400701	57401177	+	0.000	0.000	Merged-chr18-57400941-35
Merged-chr2-128162745-2	chr2	128162594	128162898	+	0.000	0.000	Merged-chr2-128162745-2
Merged-chr2-81179483-1	chr2	81179385	81179583	+	0.000	0.000	Merged-chr2-81179483-1
Merged-chr17-12205812-57	chr17	12205512	12206105	+	0.000	0.000	Merged-chr17-12205812-57
Merged-chr1-54912583-4	chr1	54912428	54912792	+	0.000	0.000	Merged-chr1-54912583-4
Merged-chr7-120047666-1	chr7	120047568	120047766	+	0.000	0.000	Merged-chr7-120047666-1
Merged-chr5-140151320-8	chr5	140151133	140151529	+	0.000	0.000	Merged-chr5-140151320-8
Merged-chr5-18360030-27	chr5	18359491	18360575	+	0.000	0.000	Merged-chr5-18360030-27
Merged-chr4-8813998-7	chr4	8813862	8814123	+	0.000	0.000	Merged-chr4-8813998-7
Merged-chr2-79270307-14	chr2	79270058	79270543	+	0.000	0.000	Merged-chr2-79270307-14
Merged-chr13-59468165-25	chr13	59467881	59468444	+	0.000	0.000	Merged-chr13-59468165-25
Merged-chr13-60897577-48	chr13	60897236	60897830	+	0.000	0.000	Merged-chr13-60897577-48
Merged-chr2-3761091-1	chr2	3760993	3761191	+	0.000	0.000	Merged-chr2-3761091-1
Merged-chr9-106453760-51	chr9	106453456	106454146	+	0.000	0.000	Merged-chr9-106453760-51
Merged-chr1-60920511-54	chr1	60920166	60920817	+	0.000	0.000	Merged-chr1-60920511-54
Merged-chr10-9856019-18	chr10	9855657	9856239	+	0.000	0.000	Merged-chr10-9856019-18
Merged-chr10-120209358-124	chr10	120208923	120209964	+	0.000	0.000	Merged-chr10-120209358-124
Merged-chr1-189662049-19	chr1	189661871	189662288	+	0.000	0.000	Merged-chr1-189662049-19
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr2-52176630-15	chr2	52176409	52176850	+	0.000	0.000	Merged-chr2-52176630-15
Merged-chr2-163725478-1	chr2	163725380	163725578	+	0.000	0.000	Merged-chr2-163725478-1
Merged-chr5-93094073-7	chr5	93093846	93094266	+	0.000	0.000	Merged-chr5-93094073-7
Merged-chr18-4353243-81	chr18	4352755	4353701	+	0.000	0.000	Merged-chr18-4353243-81
Merged-chr13-101706581-30	chr13	101706371	101706776	+	0.000	0.000	Merged-chr13-101706581-30
Merged-chr9-114780809-3	chr9	114780613	114781048	+	0.000	0.000	Merged-chr9-114780809-3
Merged-chr5-52741943-98	chr5	52741548	52742162	+	0.000	0.000	Merged-chr5-52741943-98
Merged-chr4-145248174-14	chr4	145248009	145248375	+	0.000	0.000	Merged-chr4-145248174-14
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr12-111809959-15	chr12	111809708	111810153	+	0.000	0.000	Merged-chr12-111809959-15
Merged-chr8-22186970-1	chr8	22186872	22187070	+	0.000	0.000	Merged-chr8-22186970-1
Merged-chr2-60923694-43	chr2	60923074	60924117	+	0.000	0.000	Merged-chr2-60923694-43
Merged-chr8-120889347-18	chr8	120889053	120889494	+	0.000	0.000	Merged-chr8-120889347-18
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr10-44537964-16	chr10	44537796	44538255	+	0.000	0.000	Merged-chr10-44537964-16
Merged-chr2-128117807-36	chr2	128117593	128117996	+	0.000	0.000	Merged-chr2-128117807-36
Merged-chr6-70792828-1	chr6	70792730	70792928	+	0.000	0.000	Merged-chr6-70792828-1
Merged-chr13-24467982-34	chr13	24467775	24468170	+	0.000	0.000	Merged-chr13-24467982-34
Merged-chr1-193329901-89	chr1	193329502	193330704	+	0.000	0.000	Merged-chr1-193329901-89
Merged-chr6-135511219-1	chr6	135511121	135511319	+	0.000	0.000	Merged-chr6-135511219-1
Merged-chr9-117963100-4	chr9	117962848	117963291	+	0.000	0.000	Merged-chr9-117963100-4
Merged-chr4-134460498-5	chr4	134460317	134460698	+	0.000	0.000	Merged-chr4-134460498-5
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr1-166409070-1	chr1	166408972	166409170	+	0.000	0.000	Merged-chr1-166409070-1
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr2-79124485-40	chr2	79124325	79124641	+	0.000	0.000	Merged-chr2-79124485-40
Merged-chr9-119088323-51	chr9	119088056	119088611	+	0.000	0.000	Merged-chr9-119088323-51
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chr7-101906815-1	chr7	101906717	101906915	+	0.000	0.000	Merged-chr7-101906815-1
Merged-chr6-82747432-7	chr6	82747261	82747627	+	0.000	0.000	Merged-chr6-82747432-7
Merged-chr4-134121781-8	chr4	134121636	134121971	+	0.000	0.000	Merged-chr4-134121781-8
Merged-chr4-89366882-6	chr4	89366724	89367037	+	0.000	0.000	Merged-chr4-89366882-6
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr15-78896310-38	chr15	78896028	78896545	+	0.000	0.000	Merged-chr15-78896310-38
Merged-chr3-137918603-81	chr3	137918330	137918904	+	0.000	0.000	Merged-chr3-137918603-81
Merged-chr10-91188013-33	chr10	91187737	91188334	+	0.000	0.000	Merged-chr10-91188013-33
Merged-chr7-67305058-11	chr7	67304887	67305322	+	0.000	0.000	Merged-chr7-67305058-11
Merged-chr15-83463775-2	chr15	83463658	83463894	+	0.000	0.000	Merged-chr15-83463775-2
Merged-chr19-56687212-16	chr19	56686962	56687459	+	0.000	0.000	Merged-chr19-56687212-16
Merged-chr15-80034536-17	chr15	80034383	80034693	+	0.000	0.000	Merged-chr15-80034536-17
Merged-chr9-44043404-33	chr9	44043185	44043736	+	0.000	0.000	Merged-chr9-44043404-33
Merged-chr4-133825838-6	chr4	133825698	133825994	+	0.000	0.000	Merged-chr4-133825838-6
Merged-chr10-92717721-2	chr10	92717613	92717832	+	0.000	0.000	Merged-chr10-92717721-2
Merged-chr1-182225083-33	chr1	182224861	182225344	+	0.000	0.000	Merged-chr1-182225083-33
Merged-chrX-163994129-6	chrX	163993994	163994294	+	0.000	0.000	Merged-chrX-163994129-6
Merged-chr16-44305871-15	chr16	44305703	44306084	+	0.000	0.000	Merged-chr16-44305871-15
Merged-chrX-93594477-7	chrX	93594317	93594651	+	0.000	0.000	Merged-chrX-93594477-7
Merged-chr2-120599667-35	chr2	120599451	120599872	+	0.000	0.000	Merged-chr2-120599667-35
Merged-chr2-53215671-1	chr2	53215573	53215771	+	0.000	0.000	Merged-chr2-53215671-1
Merged-chr4-134102653-39	chr4	134102443	134102848	+	0.000	0.000	Merged-chr4-134102653-39
Merged-chr15-103165587-12	chr15	103165407	103165787	+	0.000	0.000	Merged-chr15-103165587-12
Merged-chr3-136770294-2	chr3	136770166	136770425	+	0.000	0.000	Merged-chr3-136770294-2
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr11-63873500-16	chr11	63873312	63873749	+	0.000	0.000	Merged-chr11-63873500-16
Merged-chr4-57904497-43	chr4	57904209	57904714	+	0.000	0.000	Merged-chr4-57904497-43
Merged-chr1-153320307-48	chr1	153319921	153320575	+	0.000	0.000	Merged-chr1-153320307-48
Merged-chr4-133264796-4	chr4	133264670	133264944	+	0.000	0.000	Merged-chr4-133264796-4
Merged-chr5-23713772-1	chr5	23713674	23713872	+	0.000	0.000	Merged-chr5-23713772-1
Merged-chr1-86509613-36	chr1	86509419	86509877	+	0.000	0.000	Merged-chr1-86509613-36
Merged-chr16-91869561-33	chr16	91869299	91869859	+	0.000	0.000	Merged-chr16-91869561-33
Merged-chr7-135713614-3	chr7	135713500	135713726	+	0.000	0.000	Merged-chr7-135713614-3
Merged-chr8-94186753-31	chr8	94186494	94187104	+	0.000	0.000	Merged-chr8-94186753-31
Merged-chr10-117784888-21	chr10	117784664	117785091	+	0.000	0.000	Merged-chr10-117784888-21
Merged-chr14-20180056-7	chr14	20179876	20180228	+	0.000	0.000	Merged-chr14-20180056-7
Merged-chr15-80012469-1	chr15	80012371	80012569	+	0.000	0.000	Merged-chr15-80012469-1
Merged-chr18-65405843-70	chr18	65405428	65406391	+	0.000	0.000	Merged-chr18-65405843-70
Merged-chr18-46176178-68	chr18	46175918	46176426	+	0.000	0.000	Merged-chr18-46176178-68
Merged-chr1-191718798-4	chr1	191718687	191718916	+	0.000	0.000	Merged-chr1-191718798-4
Merged-chr3-137078115-4	chr3	137077798	137078430	+	0.000	0.000	Merged-chr3-137078115-4
Merged-chr2-57362654-19	chr2	57362428	57362951	+	0.000	0.000	Merged-chr2-57362654-19
Merged-chr8-71561650-3	chr8	71561509	71561774	+	0.000	0.000	Merged-chr8-71561650-3
Merged-chr12-55041186-21	chr12	55040926	55041466	+	0.000	0.000	Merged-chr12-55041186-21
Merged-chr11-54237226-5	chr11	54236999	54237379	+	0.000	0.000	Merged-chr11-54237226-5
Merged-chr1-191711825-10	chr1	191711686	191711968	+	0.000	0.000	Merged-chr1-191711825-10
Merged-chr16-59570986-31	chr16	59570735	59571234	+	0.000	0.000	Merged-chr16-59570986-31
Merged-chr10-83951656-1	chr10	83951558	83951756	+	0.000	0.000	Merged-chr10-83951656-1
Merged-chr13-51638880-34	chr13	51638483	51639207	+	0.000	0.000	Merged-chr13-51638880-34
Merged-chr10-118172658-46	chr10	118172452	118172891	+	0.000	0.000	Merged-chr10-118172658-46
Merged-chr14-25459105-115	chr14	25458278	25459774	+	0.000	0.000	Merged-chr14-25459105-115
Merged-chr10-69351242-1	chr10	69351144	69351342	+	0.000	0.000	Merged-chr10-69351242-1
Merged-chr17-12119311-105	chr17	12118921	12119981	+	0.000	0.000	Merged-chr17-12119311-105
Merged-chr7-92181779-60	chr7	92181275	92182229	+	0.000	0.000	Merged-chr7-92181779-60
Merged-chr13-63243770-25	chr13	63243421	63243977	+	0.000	0.000	Merged-chr13-63243770-25
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr7-90286299-8	chr7	90286133	90286455	+	0.000	0.000	Merged-chr7-90286299-8
Merged-chr7-88206806-101	chr7	88206446	88207218	+	0.000	0.000	Merged-chr7-88206806-101
Merged-chr10-118470709-40	chr10	118470561	118470917	+	0.000	0.000	Merged-chr10-118470709-40
Merged-chr14-77871424-97	chr14	77871161	77871613	+	0.000	0.000	Merged-chr14-77871424-97
Merged-chr4-47716164-4	chr4	47716021	47716291	+	0.000	0.000	Merged-chr4-47716164-4
Merged-chr11-104538419-8	chr11	104538230	104538558	+	0.000	0.000	Merged-chr11-104538419-8
Merged-chr8-13649810-1	chr8	13649712	13649910	+	0.000	0.000	Merged-chr8-13649810-1
Merged-chr2-125121786-1	chr2	125121688	125121886	+	0.000	0.000	Merged-chr2-125121786-1
Merged-chr13-101782630-7	chr13	101782437	101782808	+	0.000	0.000	Merged-chr13-101782630-7
Merged-chr17-87327256-1	chr17	87327158	87327356	+	0.000	0.000	Merged-chr17-87327256-1
Merged-chr5-45675268-16	chr5	45675045	45675473	+	0.000	0.000	Merged-chr5-45675268-16
Merged-chr15-36715304-1	chr15	36715206	36715404	+	0.000	0.000	Merged-chr15-36715304-1
Merged-chr13-101702260-81	chr13	101701953	101702598	+	0.000	0.000	Merged-chr13-101702260-81
Merged-chr8-116073444-1	chr8	116073346	116073544	+	0.000	0.000	Merged-chr8-116073444-1
Merged-chr11-53775083-5	chr11	53774927	53775261	+	0.000	0.000	Merged-chr11-53775083-5
Merged-chr16-59522266-50	chr16	59522070	59522702	+	0.000	0.000	Merged-chr16-59522266-50
