#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Tfh.up.bed
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr10-99263989-11	chr10	99263658	99264199	+	0.000	0.000	Merged-chr10-99263989-11
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr1-128790963-21	chr1	128790514	128791316	+	0.000	0.000	Merged-chr1-128790963-21
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr10-13988804-2	chr10	13988670	13988940	+	0.000	0.000	Merged-chr10-13988804-2
Merged-chr6-57581740-8	chr6	57581599	57581883	+	0.000	0.000	Merged-chr6-57581740-8
Merged-chr17-73096591-8	chr17	73096464	73096712	+	0.000	0.000	Merged-chr17-73096591-8
Merged-chr10-68249681-39	chr10	68249501	68249921	+	0.000	0.000	Merged-chr10-68249681-39
Merged-chr11-80488662-1	chr11	80488564	80488762	+	0.000	0.000	Merged-chr11-80488662-1
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr2-6353338-6	chr2	6353151	6353580	+	0.000	0.000	Merged-chr2-6353338-6
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr9-96577882-15	chr9	96577712	96578131	+	0.000	0.000	Merged-chr9-96577882-15
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
Merged-chr3-121178059-1	chr3	121177961	121178159	+	0.000	0.000	Merged-chr3-121178059-1
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr6-41534400-3	chr6	41534144	41534677	+	0.000	0.000	Merged-chr6-41534400-3
Merged-chr4-154961400-31	chr4	154961105	154961819	+	0.000	0.000	Merged-chr4-154961400-31
Merged-chr2-18952458-63	chr2	18952127	18952859	+	0.000	0.000	Merged-chr2-18952458-63
Merged-chr7-128653548-3	chr7	128653393	128653696	+	0.000	0.000	Merged-chr7-128653548-3
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr6-41535046-6	chr6	41534750	41535384	+	0.000	0.000	Merged-chr6-41535046-6
Merged-chr14-7929252-11	chr14	7928998	7929494	+	0.000	0.000	Merged-chr14-7929252-11
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr2-156970494-23	chr2	156970226	156970871	+	0.000	0.000	Merged-chr2-156970494-23
Merged-chr12-26460097-25	chr12	26459828	26460331	+	0.000	0.000	Merged-chr12-26460097-25
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr4-154405943-1	chr4	154405845	154406043	+	0.000	0.000	Merged-chr4-154405943-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr10-25185355-12	chr10	25185152	25185615	+	0.000	0.000	Merged-chr10-25185355-12
Merged-chr1-119504128-1	chr1	119504030	119504228	+	0.000	0.000	Merged-chr1-119504128-1
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr9-57935995-21	chr9	57935766	57936170	+	0.000	0.000	Merged-chr9-57935995-21
Merged-chr8-27177254-18	chr8	27177024	27177524	+	0.000	0.000	Merged-chr8-27177254-18
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr6-99164991-16	chr6	99164748	99165231	+	0.000	0.000	Merged-chr6-99164991-16
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr12-85696569-20	chr12	85696244	85696810	+	0.000	0.000	Merged-chr12-85696569-20
Merged-chr2-61497944-5	chr2	61497767	61498092	+	0.000	0.000	Merged-chr2-61497944-5
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr11-46404706-1	chr11	46404608	46404806	+	0.000	0.000	Merged-chr11-46404706-1
Merged-chr18-55066238-1	chr18	55066140	55066338	+	0.000	0.000	Merged-chr18-55066238-1
Merged-chr1-69753005-34	chr1	69752755	69753212	+	0.000	0.000	Merged-chr1-69753005-34
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-58215186-88	chr15	58214712	58215525	+	0.000	0.000	Merged-chr15-58215186-88
Merged-chr2-135847569-1	chr2	135847471	135847669	+	0.000	0.000	Merged-chr2-135847569-1
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr6-90715739-1	chr6	90715641	90715839	+	0.000	0.000	Merged-chr6-90715739-1
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr4-106805024-2	chr4	106804872	106805179	+	0.000	0.000	Merged-chr4-106805024-2
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr12-55497950-1	chr12	55497852	55498050	+	0.000	0.000	Merged-chr12-55497950-1
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr6-134861605-2	chr6	134861466	134861747	+	0.000	0.000	Merged-chr6-134861605-2
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr7-19837080-20	chr7	19836822	19837312	+	0.000	0.000	Merged-chr7-19837080-20
Merged-chr3-95681559-19	chr3	95681302	95681812	+	0.000	0.000	Merged-chr3-95681559-19
Merged-chr2-174603363-2	chr2	174603237	174603492	+	0.000	0.000	Merged-chr2-174603363-2
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr7-28373341-2	chr7	28373209	28373476	+	0.000	0.000	Merged-chr7-28373341-2
Merged-chr2-28513435-39	chr2	28513117	28513868	+	0.000	0.000	Merged-chr2-28513435-39
Merged-chr11-69368903-14	chr11	69368575	69369141	+	0.000	0.000	Merged-chr11-69368903-14
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr14-55629542-18	chr14	55629358	55629721	+	0.000	0.000	Merged-chr14-55629542-18
Merged-chr7-99798520-10	chr7	99798351	99798645	+	0.000	0.000	Merged-chr7-99798520-10
Merged-chr7-29039900-33	chr7	29039673	29040170	+	0.000	0.000	Merged-chr7-29039900-33
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr11-99255472-31	chr11	99255177	99255701	+	0.000	0.000	Merged-chr11-99255472-31
Merged-chr13-63548573-9	chr13	63548419	63548750	+	0.000	0.000	Merged-chr13-63548573-9
Merged-chr1-181230993-50	chr1	181230656	181231299	+	0.000	0.000	Merged-chr1-181230993-50
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr17-84272667-1	chr17	84272569	84272767	+	0.000	0.000	Merged-chr17-84272667-1
Merged-chr12-85691977-2	chr12	85691872	85692084	+	0.000	0.000	Merged-chr12-85691977-2
Merged-chr8-84986029-81	chr8	84985719	84986365	+	0.000	0.000	Merged-chr8-84986029-81
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr13-112472565-14	chr13	112472363	112472843	+	0.000	0.000	Merged-chr13-112472565-14
Merged-chr2-103627335-19	chr2	103627139	103627520	+	0.000	0.000	Merged-chr2-103627335-19
Merged-chr11-75279801-60	chr11	75279427	75280139	+	0.000	0.000	Merged-chr11-75279801-60
Merged-chr17-35301957-54	chr17	35301753	35302159	+	0.000	0.000	Merged-chr17-35301957-54
Merged-chr3-101059436-11	chr3	101059260	101059627	+	0.000	0.000	Merged-chr3-101059436-11
Merged-chr1-191317976-55	chr1	191317794	191318163	+	0.000	0.000	Merged-chr1-191317976-55
Merged-chr11-20661877-12	chr11	20661626	20662175	+	0.000	0.000	Merged-chr11-20661877-12
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr2-28514635-36	chr2	28514332	28514833	+	0.000	0.000	Merged-chr2-28514635-36
Merged-chr1-37030914-29	chr1	37030568	37031159	+	0.000	0.000	Merged-chr1-37030914-29
Merged-chr10-68240828-58	chr10	68240501	68241182	+	0.000	0.000	Merged-chr10-68240828-58
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr4-101496663-37	chr4	101496275	101496980	+	0.000	0.000	Merged-chr4-101496663-37
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr12-102369498-1	chr12	102369400	102369598	+	0.000	0.000	Merged-chr12-102369498-1
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chr9-61827170-3	chr9	61827054	61827287	+	0.000	0.000	Merged-chr9-61827170-3
Merged-chr11-103809111-3	chr11	103809013	103809211	+	0.000	0.000	Merged-chr11-103809111-3
Merged-chr1-155158917-88	chr1	155158459	155159169	+	0.000	0.000	Merged-chr1-155158917-88
Merged-chr17-26009700-29	chr17	26009525	26009898	+	0.000	0.000	Merged-chr17-26009700-29
Merged-chr14-61805692-18	chr14	61805432	61806006	+	0.000	0.000	Merged-chr14-61805692-18
Merged-chr3-138876270-3	chr3	138876141	138876399	+	0.000	0.000	Merged-chr3-138876270-3
Merged-chr13-43777700-1	chr13	43777602	43777800	+	0.000	0.000	Merged-chr13-43777700-1
Merged-chr15-64211294-3	chr15	64211196	64211394	+	0.000	0.000	Merged-chr15-64211294-3
Merged-chr16-76249767-78	chr16	76249396	76250170	+	0.000	0.000	Merged-chr16-76249767-78
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr16-45382071-4	chr16	45381864	45382237	+	0.000	0.000	Merged-chr16-45382071-4
Merged-chr6-129230524-2	chr6	129230378	129230673	+	0.000	0.000	Merged-chr6-129230524-2
Merged-chr4-145361226-45	chr4	145360957	145361538	+	0.000	0.000	Merged-chr4-145361226-45
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr11-75348479-53	chr11	75348209	75348682	+	0.000	0.000	Merged-chr11-75348479-53
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr15-57600810-7	chr15	57600662	57600940	+	0.000	0.000	Merged-chr15-57600810-7
Merged-chrX-12005261-5	chrX	12005100	12005435	+	0.000	0.000	Merged-chrX-12005261-5
Merged-chr11-77372347-7	chr11	77372194	77372510	+	0.000	0.000	Merged-chr11-77372347-7
Merged-chr6-90583387-2	chr6	90583286	90583491	+	0.000	0.000	Merged-chr6-90583387-2
Merged-chr1-36921922-6	chr1	36921659	36922131	+	0.000	0.000	Merged-chr1-36921922-6
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chrX-42500778-7	chrX	42500632	42500958	+	0.000	0.000	Merged-chrX-42500778-7
Merged-chr16-30768105-2	chr16	30767961	30768252	+	0.000	0.000	Merged-chr16-30768105-2
Merged-chr2-151980039-70	chr2	151979702	151980361	+	0.000	0.000	Merged-chr2-151980039-70
Merged-chr2-33206193-4	chr2	33206046	33206348	+	0.000	0.000	Merged-chr2-33206193-4
Merged-chr10-96634736-7	chr10	96634415	96635004	+	0.000	0.000	Merged-chr10-96634736-7
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chr10-95940999-164	chr10	95940496	95941604	+	0.000	0.000	Merged-chr10-95940999-164
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr5-65764429-153	chr5	65763767	65765209	+	0.000	0.000	Merged-chr5-65764429-153
Merged-chr3-89727230-25	chr3	89727058	89727449	+	0.000	0.000	Merged-chr3-89727230-25
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr3-130932446-30	chr3	130932216	130932642	+	0.000	0.000	Merged-chr3-130932446-30
Merged-chr3-69044353-2	chr3	69044212	69044496	+	0.000	0.000	Merged-chr3-69044353-2
Merged-chr6-99270140-8	chr6	99269961	99270336	+	0.000	0.000	Merged-chr6-99270140-8
Merged-chr10-81257726-38	chr10	81257264	81258062	+	0.000	0.000	Merged-chr10-81257726-38
Merged-chr15-80694547-1	chr15	80694449	80694647	+	0.000	0.000	Merged-chr15-80694547-1
Merged-chr16-59599519-3	chr16	59599317	59599687	+	0.000	0.000	Merged-chr16-59599519-3
Merged-chr9-108263764-60	chr9	108263531	108264032	+	0.000	0.000	Merged-chr9-108263764-60
Merged-chr6-125244741-5	chr6	125244596	125244864	+	0.000	0.000	Merged-chr6-125244741-5
Merged-chr2-18996923-12	chr2	18996698	18997163	+	0.000	0.000	Merged-chr2-18996923-12
Merged-chr11-116012659-52	chr11	116012306	116012978	+	0.000	0.000	Merged-chr11-116012659-52
Merged-chr11-19963036-13	chr11	19962788	19963262	+	0.000	0.000	Merged-chr11-19963036-13
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr4-101509184-37	chr4	101508924	101509662	+	0.000	0.000	Merged-chr4-101509184-37
Merged-chr9-44562997-28	chr9	44562622	44563304	+	0.000	0.000	Merged-chr9-44562997-28
Merged-chr4-107260166-15	chr4	107259997	107260339	+	0.000	0.000	Merged-chr4-107260166-15
Merged-chr11-69417885-4	chr11	69417675	69418165	+	0.000	0.000	Merged-chr11-69417885-4
Merged-chr15-99333202-49	chr15	99332951	99333481	+	0.000	0.000	Merged-chr15-99333202-49
Merged-chr10-68277544-1	chr10	68277446	68277644	+	0.000	0.000	Merged-chr10-68277544-1
Merged-chr11-19987339-30	chr11	19987120	19987585	+	0.000	0.000	Merged-chr11-19987339-30
Merged-chr9-21852740-52	chr9	21852500	21852951	+	0.000	0.000	Merged-chr9-21852740-52
Merged-chr6-37460818-6	chr6	37460603	37460995	+	0.000	0.000	Merged-chr6-37460818-6
Merged-chr5-65869699-1	chr5	65869601	65869799	+	0.000	0.000	Merged-chr5-65869699-1
Merged-chr11-83605629-6	chr11	83605471	83605760	+	0.000	0.000	Merged-chr11-83605629-6
Merged-chr3-52048299-17	chr3	52048066	52048459	+	0.000	0.000	Merged-chr3-52048299-17
Merged-chr15-36517945-17	chr15	36517774	36518147	+	0.000	0.000	Merged-chr15-36517945-17
Merged-chr19-29253972-33	chr19	29253697	29254158	+	0.000	0.000	Merged-chr19-29253972-33
Merged-chr11-68973679-52	chr11	68973483	68973990	+	0.000	0.000	Merged-chr11-68973679-52
Merged-chr15-27827084-13	chr15	27826868	27827284	+	0.000	0.000	Merged-chr15-27827084-13
Merged-chr12-8359734-34	chr12	8359429	8359921	+	0.000	0.000	Merged-chr12-8359734-34
Merged-chr1-40033526-12	chr1	40033319	40033726	+	0.000	0.000	Merged-chr1-40033526-12
Merged-chr15-53344767-1	chr15	53344669	53344867	+	0.000	0.000	Merged-chr15-53344767-1
Merged-chr14-75456053-31	chr14	75455814	75456307	+	0.000	0.000	Merged-chr14-75456053-31
Merged-chr8-111562609-2	chr8	111562493	111562727	+	0.000	0.000	Merged-chr8-111562609-2
Merged-chr2-91976155-25	chr2	91975746	91976527	+	0.000	0.000	Merged-chr2-91976155-25
Merged-chr11-6546769-84	chr11	6546433	6547101	+	0.000	0.000	Merged-chr11-6546769-84
Merged-chr1-72284360-53	chr1	72284138	72284575	+	0.000	0.000	Merged-chr1-72284360-53
Merged-chr15-53312552-7	chr15	53312353	53312695	+	0.000	0.000	Merged-chr15-53312552-7
Merged-chr13-49187713-119	chr13	49187449	49187931	+	0.000	0.000	Merged-chr13-49187713-119
Merged-chr14-21101763-12	chr14	21101498	21101942	+	0.000	0.000	Merged-chr14-21101763-12
Merged-chr3-87764209-5	chr3	87763976	87764441	+	0.000	0.000	Merged-chr3-87764209-5
Merged-chr11-61670101-49	chr11	61669845	61670429	+	0.000	0.000	Merged-chr11-61670101-49
Merged-chr1-134560564-90	chr1	134560010	134561017	+	0.000	0.000	Merged-chr1-134560564-90
Merged-chr10-96080864-47	chr10	96080614	96081114	+	0.000	0.000	Merged-chr10-96080864-47
Merged-chr13-43778178-5	chr13	43777891	43778403	+	0.000	0.000	Merged-chr13-43778178-5
Merged-chr11-119339874-18	chr11	119339613	119340113	+	0.000	0.000	Merged-chr11-119339874-18
Merged-chr17-21477219-11	chr17	21477068	21477374	+	0.000	0.000	Merged-chr17-21477219-11
Merged-chr10-4333641-10	chr10	4333435	4333989	+	0.000	0.000	Merged-chr10-4333641-10
Merged-chr2-91070387-59	chr2	91070079	91070700	+	0.000	0.000	Merged-chr2-91070387-59
Merged-chrX-12135840-5	chrX	12135684	12136048	+	0.000	0.000	Merged-chrX-12135840-5
Merged-chr9-20868781-38	chr9	20868411	20869154	+	0.000	0.000	Merged-chr9-20868781-38
Merged-chr2-117338190-1	chr2	117338092	117338290	+	0.000	0.000	Merged-chr2-117338190-1
Merged-chr2-61453921-1	chr2	61453823	61454021	+	0.000	0.000	Merged-chr2-61453921-1
Merged-chr12-80115734-50	chr12	80115536	80115970	+	0.000	0.000	Merged-chr12-80115734-50
Merged-chr14-55092310-50	chr14	55092010	55092532	+	0.000	0.000	Merged-chr14-55092310-50
Merged-chr10-75859232-1	chr10	75859134	75859332	+	0.000	0.000	Merged-chr10-75859232-1
Merged-chr14-10368196-11	chr14	10368048	10368339	+	0.000	0.000	Merged-chr14-10368196-11
Merged-chr15-36282505-1	chr15	36282407	36282605	+	0.000	0.000	Merged-chr15-36282505-1
Merged-chr15-83602133-1	chr15	83602035	83602233	+	0.000	0.000	Merged-chr15-83602133-1
Merged-chr9-56135710-8	chr9	56135510	56135944	+	0.000	0.000	Merged-chr9-56135710-8
Merged-chr10-121429289-15	chr10	121429127	121429454	+	0.000	0.000	Merged-chr10-121429289-15
Merged-chr5-92375346-95	chr5	92375092	92375717	+	0.000	0.000	Merged-chr5-92375346-95
Merged-chr10-14058867-1	chr10	14058769	14058967	+	0.000	0.000	Merged-chr10-14058867-1
Merged-chr13-28958355-72	chr13	28957831	28959127	+	0.000	0.000	Merged-chr13-28958355-72
Merged-chr8-84908616-54	chr8	84908382	84908840	+	0.000	0.000	Merged-chr8-84908616-54
Merged-chr11-101067267-8	chr11	101067081	101067427	+	0.000	0.000	Merged-chr11-101067267-8
Merged-chr12-103368122-22	chr12	103367858	103368393	+	0.000	0.000	Merged-chr12-103368122-22
Merged-chr1-94075001-17	chr1	94074679	94075248	+	0.000	0.000	Merged-chr1-94075001-17
Merged-chr4-102955684-33	chr4	102955507	102955903	+	0.000	0.000	Merged-chr4-102955684-33
Merged-chr1-180215191-30	chr1	180214964	180215399	+	0.000	0.000	Merged-chr1-180215191-30
