#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed
Merged-chr1-86509613-36	chr1	86509419	86509877	+	0.000	0.000	Merged-chr1-86509613-36
Merged-chr7-135713614-3	chr7	135713500	135713726	+	0.000	0.000	Merged-chr7-135713614-3
Merged-chr10-117784888-21	chr10	117784664	117785091	+	0.000	0.000	Merged-chr10-117784888-21
Merged-chr10-111473372-63	chr10	111472948	111473670	+	0.000	0.000	Merged-chr10-111473372-63
Merged-chr18-46176178-68	chr18	46175918	46176426	+	0.000	0.000	Merged-chr18-46176178-68
Merged-chr2-126474389-26	chr2	126474116	126474760	+	0.000	0.000	Merged-chr2-126474389-26
Merged-chr5-8669855-46	chr5	8669528	8670151	+	0.000	0.000	Merged-chr5-8669855-46
Merged-chr3-137078115-4	chr3	137077798	137078430	+	0.000	0.000	Merged-chr3-137078115-4
Merged-chr8-71561650-3	chr8	71561509	71561774	+	0.000	0.000	Merged-chr8-71561650-3
Merged-chr2-34913958-69	chr2	34913044	34914662	+	0.000	0.000	Merged-chr2-34913958-69
Merged-chr13-95765232-46	chr13	95764983	95765500	+	0.000	0.000	Merged-chr13-95765232-46
Merged-chr5-124036617-4	chr5	124036481	124036814	+	0.000	0.000	Merged-chr5-124036617-4
Merged-chr9-52048323-85	chr9	52047878	52048544	+	0.000	0.000	Merged-chr9-52048323-85
Merged-chr2-154792274-1	chr2	154792176	154792374	+	0.000	0.000	Merged-chr2-154792274-1
Merged-chr19-41384820-59	chr19	41384470	41385209	+	0.000	0.000	Merged-chr19-41384820-59
Merged-chr5-24424484-2	chr5	24424386	24424584	+	0.000	0.000	Merged-chr5-24424484-2
Merged-chr19-8840578-25	chr19	8840335	8840792	+	0.000	0.000	Merged-chr19-8840578-25
Merged-chr10-83951656-1	chr10	83951558	83951756	+	0.000	0.000	Merged-chr10-83951656-1
Merged-chr17-5840889-4	chr17	5840729	5841029	+	0.000	0.000	Merged-chr17-5840889-4
Merged-chr14-25459105-115	chr14	25458278	25459774	+	0.000	0.000	Merged-chr14-25459105-115
Merged-chr10-69351242-1	chr10	69351144	69351342	+	0.000	0.000	Merged-chr10-69351242-1
Merged-chr14-20793520-2	chr14	20793418	20793624	+	0.000	0.000	Merged-chr14-20793520-2
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr2-27540208-76	chr2	27539911	27540476	+	0.000	0.000	Merged-chr2-27540208-76
Merged-chr5-33658141-114	chr5	33657933	33658359	+	0.000	0.000	Merged-chr5-33658141-114
Merged-chr7-90286299-8	chr7	90286133	90286455	+	0.000	0.000	Merged-chr7-90286299-8
Merged-chr6-115995901-1	chr6	115995803	115996001	+	0.000	0.000	Merged-chr6-115995901-1
Merged-chr18-10617907-57	chr18	10617645	10618196	+	0.000	0.000	Merged-chr18-10617907-57
Merged-chr1-58392729-1	chr1	58392631	58392829	+	0.000	0.000	Merged-chr1-58392729-1
Merged-chr4-8954532-7	chr4	8954378	8954681	+	0.000	0.000	Merged-chr4-8954532-7
Merged-chr3-75499335-90	chr3	75498789	75499941	+	0.000	0.000	Merged-chr3-75499335-90
Merged-chr11-11775903-10	chr11	11775714	11776244	+	0.000	0.000	Merged-chr11-11775903-10
Merged-chr13-101782630-7	chr13	101782437	101782808	+	0.000	0.000	Merged-chr13-101782630-7
Merged-chr13-23761980-175	chr13	23761481	23762617	+	0.000	0.000	Merged-chr13-23761980-175
Merged-chr8-83998558-47	chr8	83998254	83998881	+	0.000	0.000	Merged-chr8-83998558-47
Merged-chr17-29268930-47	chr17	29268694	29269150	+	0.000	0.000	Merged-chr17-29268930-47
Merged-chr10-43578959-39	chr10	43578340	43579544	+	0.000	0.000	Merged-chr10-43578959-39
Merged-chr8-53638122-1	chr8	53638024	53638222	+	0.000	0.000	Merged-chr8-53638122-1
Merged-chr8-116073444-1	chr8	116073346	116073544	+	0.000	0.000	Merged-chr8-116073444-1
Merged-chr8-70804819-59	chr8	70804458	70805134	+	0.000	0.000	Merged-chr8-70804819-59
Merged-chr8-13677465-97	chr8	13676722	13678002	+	0.000	0.000	Merged-chr8-13677465-97
Merged-chr1-127496963-18	chr1	127496756	127497177	+	0.000	0.000	Merged-chr1-127496963-18
Merged-chr9-66060111-53	chr9	66059914	66060376	+	0.000	0.000	Merged-chr9-66060111-53
Merged-chr13-23534768-3	chr13	23534670	23534868	+	0.000	0.000	Merged-chr13-23534768-3
Merged-chr17-48466693-2	chr17	48466577	48466811	+	0.000	0.000	Merged-chr17-48466693-2
Merged-chr3-101284134-38	chr3	101283829	101284472	+	0.000	0.000	Merged-chr3-101284134-38
Merged-chr11-87578522-34	chr11	87578127	87578817	+	0.000	0.000	Merged-chr11-87578522-34
Merged-chr1-75218958-120	chr1	75218677	75219499	+	0.000	0.000	Merged-chr1-75218958-120
Merged-chr18-4920438-58	chr18	4920218	4920640	+	0.000	0.000	Merged-chr18-4920438-58
Merged-chr7-25181593-26	chr7	25181344	25181860	+	0.000	0.000	Merged-chr7-25181593-26
Merged-chr8-18950847-75	chr8	18950603	18951150	+	0.000	0.000	Merged-chr8-18950847-75
Merged-chr2-92008494-55	chr2	92008208	92008740	+	0.000	0.000	Merged-chr2-92008494-55
Merged-chr8-35430856-53	chr8	35430643	35431106	+	0.000	0.000	Merged-chr8-35430856-53
Merged-chr7-75887103-1	chr7	75887005	75887203	+	0.000	0.000	Merged-chr7-75887103-1
Merged-chr6-51494596-1	chr6	51494498	51494696	+	0.000	0.000	Merged-chr6-51494596-1
Merged-chr10-92712081-1	chr10	92711983	92712181	+	0.000	0.000	Merged-chr10-92712081-1
Merged-chr7-18892441-33	chr7	18892163	18892794	+	0.000	0.000	Merged-chr7-18892441-33
Merged-chr17-44735161-2	chr17	44735063	44735261	+	0.000	0.000	Merged-chr17-44735161-2
Merged-chr7-127281292-1	chr7	127281194	127281392	+	0.000	0.000	Merged-chr7-127281292-1
Merged-chr11-107443890-34	chr11	107443679	107444101	+	0.000	0.000	Merged-chr11-107443890-34
Merged-chr1-160045410-8	chr1	160045207	160045717	+	0.000	0.000	Merged-chr1-160045410-8
Merged-chr9-124079982-9	chr9	124079773	124080265	+	0.000	0.000	Merged-chr9-124079982-9
Merged-chr1-193285975-30	chr1	193285567	193286229	+	0.000	0.000	Merged-chr1-193285975-30
Merged-chr15-36760800-24	chr15	36760450	36761032	+	0.000	0.000	Merged-chr15-36760800-24
Merged-chr13-63365525-19	chr13	63365292	63365799	+	0.000	0.000	Merged-chr13-63365525-19
Merged-chr2-132253015-87	chr2	132252707	132253231	+	0.000	0.000	Merged-chr2-132253015-87
Merged-chr10-42031220-30	chr10	42031019	42031409	+	0.000	0.000	Merged-chr10-42031220-30
Merged-chrX-52988248-53	chrX	52988025	52988453	+	0.000	0.000	Merged-chrX-52988248-53
Merged-chr11-109785498-8	chr11	109785200	109785751	+	0.000	0.000	Merged-chr11-109785498-8
Merged-chr9-72458451-18	chr9	72458276	72458626	+	0.000	0.000	Merged-chr9-72458451-18
Merged-chr3-93555296-85	chr3	93554862	93555694	+	0.000	0.000	Merged-chr3-93555296-85
Merged-chr2-151994902-45	chr2	151994603	151995128	+	0.000	0.000	Merged-chr2-151994902-45
Merged-chr9-64918803-19	chr9	64918566	64918989	+	0.000	0.000	Merged-chr9-64918803-19
Merged-chr3-9816471-2	chr3	9816362	9816583	+	0.000	0.000	Merged-chr3-9816471-2
Merged-chr15-5244344-100	chr15	5244153	5244624	+	0.000	0.000	Merged-chr15-5244344-100
Merged-chr19-20239652-7	chr19	20239476	20239933	+	0.000	0.000	Merged-chr19-20239652-7
Merged-chr3-100974107-2	chr3	100974003	100974213	+	0.000	0.000	Merged-chr3-100974107-2
Merged-chr17-32389394-69	chr17	32388980	32389750	+	0.000	0.000	Merged-chr17-32389394-69
Merged-chr9-13247214-63	chr9	13247014	13247437	+	0.000	0.000	Merged-chr9-13247214-63
Merged-chr13-23698157-86	chr13	23697959	23698431	+	0.000	0.000	Merged-chr13-23698157-86
Merged-chr5-143404629-1	chr5	143404531	143404729	+	0.000	0.000	Merged-chr5-143404629-1
Merged-chr4-46497640-25	chr4	46497461	46497908	+	0.000	0.000	Merged-chr4-46497640-25
Merged-chr11-46135797-4	chr11	46135633	46135933	+	0.000	0.000	Merged-chr11-46135797-4
Merged-chr1-153058312-17	chr1	153057986	153058592	+	0.000	0.000	Merged-chr1-153058312-17
Merged-chr4-8783505-39	chr4	8783290	8783738	+	0.000	0.000	Merged-chr4-8783505-39
Merged-chr7-119856675-7	chr7	119856361	119856960	+	0.000	0.000	Merged-chr7-119856675-7
Merged-chr5-93091648-2	chr5	93091479	93091820	+	0.000	0.000	Merged-chr5-93091648-2
Merged-chr17-12768899-10	chr17	12768663	12769075	+	0.000	0.000	Merged-chr17-12768899-10
Merged-chr18-75395041-5	chr18	75394892	75395217	+	0.000	0.000	Merged-chr18-75395041-5
Merged-chr2-3759706-8	chr2	3759498	3759867	+	0.000	0.000	Merged-chr2-3759706-8
Merged-chr14-61427434-25	chr14	61427119	61427735	+	0.000	0.000	Merged-chr14-61427434-25
Merged-chr4-24574483-23	chr4	24574297	24574666	+	0.000	0.000	Merged-chr4-24574483-23
Merged-chr4-153964142-1	chr4	153964044	153964242	+	0.000	0.000	Merged-chr4-153964142-1
Merged-chr2-57256678-17	chr2	57256386	57256929	+	0.000	0.000	Merged-chr2-57256678-17
Merged-chr7-88321052-6	chr7	88320823	88321221	+	0.000	0.000	Merged-chr7-88321052-6
Merged-chr3-40745600-114	chr3	40745279	40745851	+	0.000	0.000	Merged-chr3-40745600-114
