#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
Merged-chr6-135511219-1	chr6	135511121	135511319	+	0.000	0.000	Merged-chr6-135511219-1
Merged-chr9-117963100-4	chr9	117962848	117963291	+	0.000	0.000	Merged-chr9-117963100-4
Merged-chr1-163994937-75	chr1	163994740	163995177	+	0.000	0.000	Merged-chr1-163994937-75
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr17-8389397-65	chr17	8389072	8389850	+	0.000	0.000	Merged-chr17-8389397-65
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr2-57253205-15	chr2	57252872	57253544	+	0.000	0.000	Merged-chr2-57253205-15
Merged-chr13-5861346-118	chr13	5860983	5861929	+	0.000	0.000	Merged-chr13-5861346-118
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr8-123949484-73	chr8	123949102	123949890	+	0.000	0.000	Merged-chr8-123949484-73
Merged-chrX-36645202-80	chrX	36644943	36645452	+	0.000	0.000	Merged-chrX-36645202-80
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr9-41118206-38	chr9	41117822	41118460	+	0.000	0.000	Merged-chr9-41118206-38
Merged-chr1-131910847-123	chr1	131910607	131911370	+	0.000	0.000	Merged-chr1-131910847-123
Merged-chr2-90570407-26	chr2	90570178	90570668	+	0.000	0.000	Merged-chr2-90570407-26
Merged-chr19-56687212-16	chr19	56686962	56687459	+	0.000	0.000	Merged-chr19-56687212-16
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr15-80034536-17	chr15	80034383	80034693	+	0.000	0.000	Merged-chr15-80034536-17
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr2-3294968-14	chr2	3294671	3295283	+	0.000	0.000	Merged-chr2-3294968-14
Merged-chr4-133837480-2	chr4	133837290	133837672	+	0.000	0.000	Merged-chr4-133837480-2
Merged-chr5-150262822-29	chr5	150262584	150263093	+	0.000	0.000	Merged-chr5-150262822-29
Merged-chr8-125227501-18	chr8	125227150	125227785	+	0.000	0.000	Merged-chr8-125227501-18
Merged-chr13-95618355-78	chr13	95617765	95618660	+	0.000	0.000	Merged-chr13-95618355-78
Merged-chr11-97988386-150	chr11	97987691	97989083	+	0.000	0.000	Merged-chr11-97988386-150
Merged-chrX-93594477-7	chrX	93594317	93594651	+	0.000	0.000	Merged-chrX-93594477-7
Merged-chr2-53215671-1	chr2	53215573	53215771	+	0.000	0.000	Merged-chr2-53215671-1
Merged-chr9-35570100-65	chr9	35569887	35570332	+	0.000	0.000	Merged-chr9-35570100-65
Merged-chr13-23556170-26	chr13	23555934	23556434	+	0.000	0.000	Merged-chr13-23556170-26
Merged-chr16-78619674-38	chr16	78619436	78620126	+	0.000	0.000	Merged-chr16-78619674-38
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr1-9798282-57	chr1	9797816	9798986	+	0.000	0.000	Merged-chr1-9798282-57
Merged-chr11-63873500-16	chr11	63873312	63873749	+	0.000	0.000	Merged-chr11-63873500-16
Merged-chr4-57904497-43	chr4	57904209	57904714	+	0.000	0.000	Merged-chr4-57904497-43
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr17-31871254-26	chr17	31870834	31871532	+	0.000	0.000	Merged-chr17-31871254-26
Merged-chr1-120234014-4	chr1	120233854	120234175	+	0.000	0.000	Merged-chr1-120234014-4
Merged-chr1-86509613-36	chr1	86509419	86509877	+	0.000	0.000	Merged-chr1-86509613-36
Merged-chr7-135713614-3	chr7	135713500	135713726	+	0.000	0.000	Merged-chr7-135713614-3
Merged-chr18-65405843-70	chr18	65405428	65406391	+	0.000	0.000	Merged-chr18-65405843-70
Merged-chr9-69442817-32	chr9	69442578	69443039	+	0.000	0.000	Merged-chr9-69442817-32
Merged-chr10-111473372-63	chr10	111472948	111473670	+	0.000	0.000	Merged-chr10-111473372-63
Merged-chr18-46176178-68	chr18	46175918	46176426	+	0.000	0.000	Merged-chr18-46176178-68
Merged-chr4-137367876-79	chr4	137367605	137368111	+	0.000	0.000	Merged-chr4-137367876-79
Merged-chr5-8669855-46	chr5	8669528	8670151	+	0.000	0.000	Merged-chr5-8669855-46
Merged-chr3-137078115-4	chr3	137077798	137078430	+	0.000	0.000	Merged-chr3-137078115-4
Merged-chr8-71561650-3	chr8	71561509	71561774	+	0.000	0.000	Merged-chr8-71561650-3
Merged-chr2-34913958-69	chr2	34913044	34914662	+	0.000	0.000	Merged-chr2-34913958-69
Merged-chr13-95765232-46	chr13	95764983	95765500	+	0.000	0.000	Merged-chr13-95765232-46
Merged-chr9-52048323-85	chr9	52047878	52048544	+	0.000	0.000	Merged-chr9-52048323-85
Merged-chr19-41384820-59	chr19	41384470	41385209	+	0.000	0.000	Merged-chr19-41384820-59
Merged-chr5-24424484-2	chr5	24424386	24424584	+	0.000	0.000	Merged-chr5-24424484-2
Merged-chr19-8840578-25	chr19	8840335	8840792	+	0.000	0.000	Merged-chr19-8840578-25
Merged-chr15-102296189-42	chr15	102295879	102296399	+	0.000	0.000	Merged-chr15-102296189-42
Merged-chr10-83951656-1	chr10	83951558	83951756	+	0.000	0.000	Merged-chr10-83951656-1
Merged-chr13-51638880-34	chr13	51638483	51639207	+	0.000	0.000	Merged-chr13-51638880-34
Merged-chr10-118172658-46	chr10	118172452	118172891	+	0.000	0.000	Merged-chr10-118172658-46
Merged-chr13-119691064-1	chr13	119690966	119691164	+	0.000	0.000	Merged-chr13-119691064-1
Merged-chr14-25459105-115	chr14	25458278	25459774	+	0.000	0.000	Merged-chr14-25459105-115
Merged-chr10-69351242-1	chr10	69351144	69351342	+	0.000	0.000	Merged-chr10-69351242-1
Merged-chr14-20793520-2	chr14	20793418	20793624	+	0.000	0.000	Merged-chr14-20793520-2
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr2-27540208-76	chr2	27539911	27540476	+	0.000	0.000	Merged-chr2-27540208-76
Merged-chr5-33658141-114	chr5	33657933	33658359	+	0.000	0.000	Merged-chr5-33658141-114
Merged-chr18-70578693-1	chr18	70578595	70578793	+	0.000	0.000	Merged-chr18-70578693-1
Merged-chr6-115995901-1	chr6	115995803	115996001	+	0.000	0.000	Merged-chr6-115995901-1
Merged-chr18-10617907-57	chr18	10617645	10618196	+	0.000	0.000	Merged-chr18-10617907-57
Merged-chr1-58392729-1	chr1	58392631	58392829	+	0.000	0.000	Merged-chr1-58392729-1
Merged-chr4-8954532-7	chr4	8954378	8954681	+	0.000	0.000	Merged-chr4-8954532-7
Merged-chr4-47716164-4	chr4	47716021	47716291	+	0.000	0.000	Merged-chr4-47716164-4
Merged-chr3-87274512-10	chr3	87274326	87274757	+	0.000	0.000	Merged-chr3-87274512-10
Merged-chr2-125121786-1	chr2	125121688	125121886	+	0.000	0.000	Merged-chr2-125121786-1
Merged-chr11-11775903-10	chr11	11775714	11776244	+	0.000	0.000	Merged-chr11-11775903-10
Merged-chr17-87327256-1	chr17	87327158	87327356	+	0.000	0.000	Merged-chr17-87327256-1
Merged-chr8-83998558-47	chr8	83998254	83998881	+	0.000	0.000	Merged-chr8-83998558-47
Merged-chr10-43578959-39	chr10	43578340	43579544	+	0.000	0.000	Merged-chr10-43578959-39
Merged-chr17-57100117-14	chr17	57099939	57100289	+	0.000	0.000	Merged-chr17-57100117-14
Merged-chr16-59522266-50	chr16	59522070	59522702	+	0.000	0.000	Merged-chr16-59522266-50
Merged-chr8-13677465-97	chr8	13676722	13678002	+	0.000	0.000	Merged-chr8-13677465-97
Merged-chr1-127496963-18	chr1	127496756	127497177	+	0.000	0.000	Merged-chr1-127496963-18
Merged-chr9-66060111-53	chr9	66059914	66060376	+	0.000	0.000	Merged-chr9-66060111-53
Merged-chr5-62764325-7	chr5	62764139	62764501	+	0.000	0.000	Merged-chr5-62764325-7
Merged-chr3-9863342-50	chr3	9863140	9863556	+	0.000	0.000	Merged-chr3-9863342-50
Merged-chr2-32867635-14	chr2	32867468	32867817	+	0.000	0.000	Merged-chr2-32867635-14
Merged-chr10-43901198-1	chr10	43901100	43901298	+	0.000	0.000	Merged-chr10-43901198-1
Merged-chr12-99407209-65	chr12	99406786	99407529	+	0.000	0.000	Merged-chr12-99407209-65
Merged-chrX-157480291-10	chrX	157480147	157480452	+	0.000	0.000	Merged-chrX-157480291-10
Merged-chr13-23534768-3	chr13	23534670	23534868	+	0.000	0.000	Merged-chr13-23534768-3
Merged-chr7-140125748-70	chr7	140125517	140126207	+	0.000	0.000	Merged-chr7-140125748-70
Merged-chr18-62122524-1	chr18	62122426	62122624	+	0.000	0.000	Merged-chr18-62122524-1
Merged-chr14-78725077-79	chr14	78724702	78725358	+	0.000	0.000	Merged-chr14-78725077-79
Merged-chr3-101284134-38	chr3	101283829	101284472	+	0.000	0.000	Merged-chr3-101284134-38
Merged-chr11-87578522-34	chr11	87578127	87578817	+	0.000	0.000	Merged-chr11-87578522-34
Merged-chr1-43539531-10	chr1	43539424	43539654	+	0.000	0.000	Merged-chr1-43539531-10
Merged-chr1-75218958-120	chr1	75218677	75219499	+	0.000	0.000	Merged-chr1-75218958-120
Merged-chr7-25181593-26	chr7	25181344	25181860	+	0.000	0.000	Merged-chr7-25181593-26
