#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed
Merged-chr11-21219447-4	chr11	21219325	21219573	+	0.000	0.000	Merged-chr11-21219447-4
Merged-chr17-5828409-23	chr17	5828148	5828656	+	0.000	0.000	Merged-chr17-5828409-23
Merged-chr10-80577794-170	chr10	80577083	80578303	+	0.000	0.000	Merged-chr10-80577794-170
Merged-chr10-77626899-11	chr10	77626732	77627106	+	0.000	0.000	Merged-chr10-77626899-11
Merged-chr3-19307844-1	chr3	19307746	19307944	+	0.000	0.000	Merged-chr3-19307844-1
Merged-chr3-107061699-25	chr3	107061522	107061901	+	0.000	0.000	Merged-chr3-107061699-25
Merged-chr15-76037668-45	chr15	76037427	76037974	+	0.000	0.000	Merged-chr15-76037668-45
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr18-66478119-35	chr18	66477751	66478372	+	0.000	0.000	Merged-chr18-66478119-35
Merged-chr6-129680529-50	chr6	129680355	129680775	+	0.000	0.000	Merged-chr6-129680529-50
Merged-chr1-161767386-1	chr1	161767288	161767486	+	0.000	0.000	Merged-chr1-161767386-1
Merged-chr5-34637135-1	chr5	34637037	34637235	+	0.000	0.000	Merged-chr5-34637135-1
Merged-chr7-28693715-55	chr7	28693438	28694100	+	0.000	0.000	Merged-chr7-28693715-55
Merged-chr7-110204373-3	chr7	110204199	110204534	+	0.000	0.000	Merged-chr7-110204373-3
Merged-chr1-153061689-5	chr1	153061472	153061872	+	0.000	0.000	Merged-chr1-153061689-5
Merged-chr2-165655026-70	chr2	165654320	165655399	+	0.000	0.000	Merged-chr2-165655026-70
Merged-chr13-53009922-14	chr13	53009665	53010104	+	0.000	0.000	Merged-chr13-53009922-14
Merged-chr7-75794140-5	chr7	75793896	75794330	+	0.000	0.000	Merged-chr7-75794140-5
Merged-chr6-54155596-1	chr6	54155498	54155696	+	0.000	0.000	Merged-chr6-54155596-1
Merged-chr2-125724208-99	chr2	125723415	125724945	+	0.000	0.000	Merged-chr2-125724208-99
Merged-chr8-120832220-19	chr8	120831975	120832440	+	0.000	0.000	Merged-chr8-120832220-19
Merged-chr13-41357354-17	chr13	41357087	41357653	+	0.000	0.000	Merged-chr13-41357354-17
Merged-chr4-59190847-19	chr4	59190596	59191099	+	0.000	0.000	Merged-chr4-59190847-19
Merged-chr11-16952284-5	chr11	16952118	16952418	+	0.000	0.000	Merged-chr11-16952284-5
Merged-chr5-124022476-27	chr5	124022253	124022756	+	0.000	0.000	Merged-chr5-124022476-27
Merged-chr2-151581099-26	chr2	151580831	151581329	+	0.000	0.000	Merged-chr2-151581099-26
Merged-chr2-60880763-2	chr2	60880665	60880863	+	0.000	0.000	Merged-chr2-60880763-2
Merged-chr7-66247230-15	chr7	66246845	66247629	+	0.000	0.000	Merged-chr7-66247230-15
Merged-chr7-110203728-41	chr7	110203441	110204181	+	0.000	0.000	Merged-chr7-110203728-41
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr2-101762548-65	chr2	101762253	101762884	+	0.000	0.000	Merged-chr2-101762548-65
Merged-chr6-128836446-70	chr6	128836123	128836748	+	0.000	0.000	Merged-chr6-128836446-70
Merged-chr14-73105519-8	chr14	73105375	73105688	+	0.000	0.000	Merged-chr14-73105519-8
Merged-chr3-109026815-7	chr3	109026619	109026996	+	0.000	0.000	Merged-chr3-109026815-7
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr10-18845106-45	chr10	18844845	18845292	+	0.000	0.000	Merged-chr10-18845106-45
Merged-chr11-107407910-19	chr11	107407651	107408097	+	0.000	0.000	Merged-chr11-107407910-19
Merged-chr5-137655034-3	chr5	137654870	137655171	+	0.000	0.000	Merged-chr5-137655034-3
Merged-chr19-5273188-67	chr19	5272758	5273482	+	0.000	0.000	Merged-chr19-5273188-67
Merged-chr19-10881047-16	chr19	10880769	10881184	+	0.000	0.000	Merged-chr19-10881047-16
Merged-chr10-117839249-9	chr10	117838972	117839463	+	0.000	0.000	Merged-chr10-117839249-9
Merged-chr5-149525797-5	chr5	149525699	149525897	+	0.000	0.000	Merged-chr5-149525797-5
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr11-102456095-36	chr11	102455813	102456399	+	0.000	0.000	Merged-chr11-102456095-36
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chr4-150808794-106	chr4	150808440	150809100	+	0.000	0.000	Merged-chr4-150808794-106
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr5-146860764-19	chr5	146860563	146861000	+	0.000	0.000	Merged-chr5-146860764-19
Merged-chr4-46601890-90	chr4	46601174	46602319	+	0.000	0.000	Merged-chr4-46601890-90
Merged-chr6-97311537-77	chr6	97311342	97311904	+	0.000	0.000	Merged-chr6-97311537-77
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr13-108337522-5	chr13	108337348	108337677	+	0.000	0.000	Merged-chr13-108337522-5
Merged-chr9-123807942-4	chr9	123807759	123808153	+	0.000	0.000	Merged-chr9-123807942-4
Merged-chr10-89463808-10	chr10	89463628	89464065	+	0.000	0.000	Merged-chr10-89463808-10
Merged-chr11-46467033-45	chr11	46466826	46467266	+	0.000	0.000	Merged-chr11-46467033-45
Merged-chr2-112213940-2	chr2	112213839	112214043	+	0.000	0.000	Merged-chr2-112213940-2
Merged-chr6-66962662-45	chr6	66962299	66962919	+	0.000	0.000	Merged-chr6-66962662-45
Merged-chr1-153321591-2	chr1	153321476	153321708	+	0.000	0.000	Merged-chr1-153321591-2
Merged-chr11-75200180-3	chr11	75200005	75200322	+	0.000	0.000	Merged-chr11-75200180-3
Merged-chr5-140151320-8	chr5	140151133	140151529	+	0.000	0.000	Merged-chr5-140151320-8
Merged-chr9-119067852-20	chr9	119067616	119068111	+	0.000	0.000	Merged-chr9-119067852-20
Merged-chr2-132843527-2	chr2	132843423	132843633	+	0.000	0.000	Merged-chr2-132843527-2
Merged-chr13-52982941-24	chr13	52982799	52983193	+	0.000	0.000	Merged-chr13-52982941-24
Merged-chr7-112210103-38	chr7	112209700	112210389	+	0.000	0.000	Merged-chr7-112210103-38
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr17-79296221-1	chr17	79296123	79296321	+	0.000	0.000	Merged-chr17-79296221-1
Merged-chr1-60920511-54	chr1	60920166	60920817	+	0.000	0.000	Merged-chr1-60920511-54
Merged-chr7-89235505-11	chr7	89235260	89235887	+	0.000	0.000	Merged-chr7-89235505-11
Merged-chr8-33663493-16	chr8	33663265	33663751	+	0.000	0.000	Merged-chr8-33663493-16
Merged-chr18-70574715-49	chr18	70573817	70575598	+	0.000	0.000	Merged-chr18-70574715-49
Merged-chr2-164785983-68	chr2	164785707	164786239	+	0.000	0.000	Merged-chr2-164785983-68
Merged-chr1-40516465-22	chr1	40516261	40516674	+	0.000	0.000	Merged-chr1-40516465-22
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr13-35808207-14	chr13	35808006	35808405	+	0.000	0.000	Merged-chr13-35808207-14
Merged-chr4-3678359-35	chr4	3678104	3678838	+	0.000	0.000	Merged-chr4-3678359-35
Merged-chr4-107094759-30	chr4	107094451	107095025	+	0.000	0.000	Merged-chr4-107094759-30
Merged-chr10-118448163-4	chr10	118447913	118448398	+	0.000	0.000	Merged-chr10-118448163-4
Merged-chr9-114780809-3	chr9	114780613	114781048	+	0.000	0.000	Merged-chr9-114780809-3
Merged-chr4-145248174-14	chr4	145248009	145248375	+	0.000	0.000	Merged-chr4-145248174-14
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr5-149525038-89	chr5	149524590	149525523	+	0.000	0.000	Merged-chr5-149525038-89
Merged-chr8-120889347-18	chr8	120889053	120889494	+	0.000	0.000	Merged-chr8-120889347-18
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr12-69373952-1	chr12	69373854	69374052	+	0.000	0.000	Merged-chr12-69373952-1
Merged-chr15-89354915-1	chr15	89354817	89355015	+	0.000	0.000	Merged-chr15-89354915-1
Merged-chr4-150799595-6	chr4	150799439	150799735	+	0.000	0.000	Merged-chr4-150799595-6
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr9-21686623-15	chr9	21686385	21686846	+	0.000	0.000	Merged-chr9-21686623-15
Merged-chr7-126287696-12	chr7	126287555	126287822	+	0.000	0.000	Merged-chr7-126287696-12
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chrX-164027993-42	chrX	164027618	164028237	+	0.000	0.000	Merged-chrX-164027993-42
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr13-107903395-95	chr13	107903088	107903702	+	0.000	0.000	Merged-chr13-107903395-95
Merged-chr3-104714697-56	chr3	104714095	104715317	+	0.000	0.000	Merged-chr3-104714697-56
Merged-chrX-167206151-49	chrX	167205867	167206493	+	0.000	0.000	Merged-chrX-167206151-49
Merged-chr1-40515347-62	chr1	40514887	40515832	+	0.000	0.000	Merged-chr1-40515347-62
Merged-chr15-83463775-2	chr15	83463658	83463894	+	0.000	0.000	Merged-chr15-83463775-2
Merged-chr4-106561101-62	chr4	106560852	106561576	+	0.000	0.000	Merged-chr4-106561101-62
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr15-80034536-17	chr15	80034383	80034693	+	0.000	0.000	Merged-chr15-80034536-17
Merged-chr10-117984742-1	chr10	117984644	117984842	+	0.000	0.000	Merged-chr10-117984742-1
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr2-3294968-14	chr2	3294671	3295283	+	0.000	0.000	Merged-chr2-3294968-14
Merged-chr19-5850230-41	chr19	5850036	5850452	+	0.000	0.000	Merged-chr19-5850230-41
Merged-chr9-54642751-52	chr9	54642348	54642999	+	0.000	0.000	Merged-chr9-54642751-52
Merged-chr17-47743455-1	chr17	47743357	47743555	+	0.000	0.000	Merged-chr17-47743455-1
Merged-chr13-95618355-78	chr13	95617765	95618660	+	0.000	0.000	Merged-chr13-95618355-78
Merged-chr11-97988386-150	chr11	97987691	97989083	+	0.000	0.000	Merged-chr11-97988386-150
Merged-chrX-93594477-7	chrX	93594317	93594651	+	0.000	0.000	Merged-chrX-93594477-7
Merged-chr1-85962322-20	chr1	85962106	85962492	+	0.000	0.000	Merged-chr1-85962322-20
Merged-chr13-108338437-54	chr13	108337981	108338759	+	0.000	0.000	Merged-chr13-108338437-54
Merged-chr4-145263821-10	chr4	145263671	145263956	+	0.000	0.000	Merged-chr4-145263821-10
Merged-chr4-134102653-39	chr4	134102443	134102848	+	0.000	0.000	Merged-chr4-134102653-39
Merged-chr10-81538773-24	chr10	81538585	81538965	+	0.000	0.000	Merged-chr10-81538773-24
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr1-9798282-57	chr1	9797816	9798986	+	0.000	0.000	Merged-chr1-9798282-57
Merged-chr11-63873500-16	chr11	63873312	63873749	+	0.000	0.000	Merged-chr11-63873500-16
Merged-chr4-57904497-43	chr4	57904209	57904714	+	0.000	0.000	Merged-chr4-57904497-43
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr1-120234014-4	chr1	120233854	120234175	+	0.000	0.000	Merged-chr1-120234014-4
Merged-chr19-8929599-92	chr19	8929292	8929967	+	0.000	0.000	Merged-chr19-8929599-92
Merged-chr5-23713772-1	chr5	23713674	23713872	+	0.000	0.000	Merged-chr5-23713772-1
Merged-chr14-78677912-1	chr14	78677814	78678012	+	0.000	0.000	Merged-chr14-78677912-1
Merged-chr15-80012469-1	chr15	80012371	80012569	+	0.000	0.000	Merged-chr15-80012469-1
Merged-chr5-8669855-46	chr5	8669528	8670151	+	0.000	0.000	Merged-chr5-8669855-46
Merged-chr17-35700134-1	chr17	35700036	35700234	+	0.000	0.000	Merged-chr17-35700134-1
Merged-chr19-41384820-59	chr19	41384470	41385209	+	0.000	0.000	Merged-chr19-41384820-59
Merged-chr10-118172658-46	chr10	118172452	118172891	+	0.000	0.000	Merged-chr10-118172658-46
Merged-chr1-144301647-17	chr1	144301456	144301892	+	0.000	0.000	Merged-chr1-144301647-17
Merged-chr10-69351242-1	chr10	69351144	69351342	+	0.000	0.000	Merged-chr10-69351242-1
Merged-chr7-112238810-51	chr7	112238434	112239251	+	0.000	0.000	Merged-chr7-112238810-51
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr6-115995901-1	chr6	115995803	115996001	+	0.000	0.000	Merged-chr6-115995901-1
Merged-chr10-118470709-40	chr10	118470561	118470917	+	0.000	0.000	Merged-chr10-118470709-40
Merged-chr1-43563372-10	chr1	43563175	43563644	+	0.000	0.000	Merged-chr1-43563372-10
Merged-chr3-87274512-10	chr3	87274326	87274757	+	0.000	0.000	Merged-chr3-87274512-10
Merged-chr8-122567923-90	chr8	122567448	122568261	+	0.000	0.000	Merged-chr8-122567923-90
Merged-chr11-11775903-10	chr11	11775714	11776244	+	0.000	0.000	Merged-chr11-11775903-10
Merged-chr11-94989887-29	chr11	94989672	94990140	+	0.000	0.000	Merged-chr11-94989887-29
Merged-chr8-83998558-47	chr8	83998254	83998881	+	0.000	0.000	Merged-chr8-83998558-47
Merged-chr17-29268930-47	chr17	29268694	29269150	+	0.000	0.000	Merged-chr17-29268930-47
Merged-chr5-45675268-16	chr5	45675045	45675473	+	0.000	0.000	Merged-chr5-45675268-16
Merged-chr1-85953523-25	chr1	85953160	85953861	+	0.000	0.000	Merged-chr1-85953523-25
Merged-chr12-73720755-50	chr12	73720561	73720973	+	0.000	0.000	Merged-chr12-73720755-50
Merged-chr12-99407209-65	chr12	99406786	99407529	+	0.000	0.000	Merged-chr12-99407209-65
Merged-chr4-41770467-12	chr4	41770322	41770663	+	0.000	0.000	Merged-chr4-41770467-12
Merged-chr10-18917466-61	chr10	18917227	18917720	+	0.000	0.000	Merged-chr10-18917466-61
Merged-chr13-23534768-3	chr13	23534670	23534868	+	0.000	0.000	Merged-chr13-23534768-3
Merged-chr1-153304811-42	chr1	153304469	153305118	+	0.000	0.000	Merged-chr1-153304811-42
Merged-chr17-35836476-5	chr17	35836204	35836655	+	0.000	0.000	Merged-chr17-35836476-5
Merged-chr14-78725077-79	chr14	78724702	78725358	+	0.000	0.000	Merged-chr14-78725077-79
Merged-chr4-138456705-1	chr4	138456607	138456805	+	0.000	0.000	Merged-chr4-138456705-1
Merged-chr1-43539531-10	chr1	43539424	43539654	+	0.000	0.000	Merged-chr1-43539531-10
Merged-chr12-73656860-57	chr12	73656475	73657374	+	0.000	0.000	Merged-chr12-73656860-57
Merged-chr10-117909375-9	chr10	117909257	117909492	+	0.000	0.000	Merged-chr10-117909375-9
Merged-chr7-127281292-1	chr7	127281194	127281392	+	0.000	0.000	Merged-chr7-127281292-1
Merged-chr2-112222905-42	chr2	112222543	112223354	+	0.000	0.000	Merged-chr2-112222905-42
Merged-chr7-75796614-49	chr7	75796309	75796858	+	0.000	0.000	Merged-chr7-75796614-49
Merged-chr7-45082426-1	chr7	45082328	45082526	+	0.000	0.000	Merged-chr7-45082426-1
Merged-chr9-124079982-9	chr9	124079773	124080265	+	0.000	0.000	Merged-chr9-124079982-9
Merged-chr1-170993660-17	chr1	170993466	170993838	+	0.000	0.000	Merged-chr1-170993660-17
Merged-chr7-80402122-1	chr7	80402024	80402222	+	0.000	0.000	Merged-chr7-80402122-1
Merged-chr3-104771571-48	chr3	104771313	104772013	+	0.000	0.000	Merged-chr3-104771571-48
Merged-chr1-120245710-33	chr1	120245474	120246063	+	0.000	0.000	Merged-chr1-120245710-33
Merged-chr13-52976718-35	chr13	52976439	52976958	+	0.000	0.000	Merged-chr13-52976718-35
Merged-chr13-38145291-8	chr13	38145066	38145476	+	0.000	0.000	Merged-chr13-38145291-8
Merged-chr4-106562030-2	chr4	106561927	106562136	+	0.000	0.000	Merged-chr4-106562030-2
Merged-chr7-105399242-2	chr7	105399126	105399361	+	0.000	0.000	Merged-chr7-105399242-2
Merged-chr19-37435573-9	chr19	37435351	37435810	+	0.000	0.000	Merged-chr19-37435573-9
Merged-chr7-142394930-4	chr7	142394789	142395129	+	0.000	0.000	Merged-chr7-142394930-4
Merged-chr12-69416933-41	chr12	69416683	69417230	+	0.000	0.000	Merged-chr12-69416933-41
Merged-chr17-79381615-4	chr17	79381494	79381768	+	0.000	0.000	Merged-chr17-79381615-4
Merged-chr7-128180557-37	chr7	128180249	128180800	+	0.000	0.000	Merged-chr7-128180557-37
Merged-chr11-97977998-15	chr11	97977781	97978189	+	0.000	0.000	Merged-chr11-97977998-15
Merged-chr4-116123762-43	chr4	116123465	116124091	+	0.000	0.000	Merged-chr4-116123762-43
Merged-chr1-135719840-41	chr1	135719565	135720300	+	0.000	0.000	Merged-chr1-135719840-41
Merged-chr2-167661676-54	chr2	167661262	167661941	+	0.000	0.000	Merged-chr2-167661676-54
Merged-chr12-16474710-17	chr12	16474418	16474912	+	0.000	0.000	Merged-chr12-16474710-17
Merged-chr13-13584460-6	chr13	13584300	13584631	+	0.000	0.000	Merged-chr13-13584460-6
Merged-chr9-124146419-55	chr9	124146124	124146614	+	0.000	0.000	Merged-chr9-124146419-55
Merged-chr1-43431088-1	chr1	43430990	43431188	+	0.000	0.000	Merged-chr1-43431088-1
Merged-chr13-55330050-91	chr13	55329780	55330319	+	0.000	0.000	Merged-chr13-55330050-91
Merged-chr6-97352887-53	chr6	97352525	97353163	+	0.000	0.000	Merged-chr6-97352887-53
Merged-chr10-117975710-27	chr10	117975380	117975962	+	0.000	0.000	Merged-chr10-117975710-27
Merged-chr14-122951933-82	chr14	122951637	122952556	+	0.000	0.000	Merged-chr14-122951933-82
Merged-chr5-138171798-117	chr5	138171560	138172249	+	0.000	0.000	Merged-chr5-138171798-117
Merged-chr2-80579794-1	chr2	80579696	80579894	+	0.000	0.000	Merged-chr2-80579794-1
Merged-chr15-96714966-7	chr15	96714801	96715143	+	0.000	0.000	Merged-chr15-96714966-7
Merged-chr18-24652935-1	chr18	24652837	24653035	+	0.000	0.000	Merged-chr18-24652935-1
Merged-chr6-128826735-1	chr6	128826637	128826835	+	0.000	0.000	Merged-chr6-128826735-1
Merged-chr11-49984021-27	chr11	49983771	49984302	+	0.000	0.000	Merged-chr11-49984021-27
Merged-chr14-56284559-51	chr14	56284222	56284855	+	0.000	0.000	Merged-chr14-56284559-51
Merged-chr2-10151704-4	chr2	10151578	10151833	+	0.000	0.000	Merged-chr2-10151704-4
Merged-chr4-99715714-70	chr4	99715472	99715930	+	0.000	0.000	Merged-chr4-99715714-70
Merged-chr11-46453304-7	chr11	46453083	46453530	+	0.000	0.000	Merged-chr11-46453304-7
Merged-chr3-104780834-109	chr3	104779975	104781563	+	0.000	0.000	Merged-chr3-104780834-109
Merged-chr11-83536986-33	chr11	83536608	83537331	+	0.000	0.000	Merged-chr11-83536986-33
Merged-chr7-89146936-24	chr7	89146705	89147274	+	0.000	0.000	Merged-chr7-89146936-24
Merged-chr19-5084641-1	chr19	5084543	5084741	+	0.000	0.000	Merged-chr19-5084641-1
Merged-chr11-55077805-107	chr11	55077345	55078321	+	0.000	0.000	Merged-chr11-55077805-107
Merged-chr15-74989113-124	chr15	74988505	74989667	+	0.000	0.000	Merged-chr15-74989113-124
Merged-chr11-95379150-8	chr11	95378969	95379348	+	0.000	0.000	Merged-chr11-95379150-8
Merged-chr17-86753860-145	chr17	86753178	86754284	+	0.000	0.000	Merged-chr17-86753860-145
Merged-chr9-106367223-2	chr9	106367115	106367334	+	0.000	0.000	Merged-chr9-106367223-2
Merged-chr9-65598978-11	chr9	65598851	65599158	+	0.000	0.000	Merged-chr9-65598978-11
Merged-chr1-71069065-19	chr1	71068883	71069318	+	0.000	0.000	Merged-chr1-71069065-19
Merged-chr1-92697011-25	chr1	92696802	92697230	+	0.000	0.000	Merged-chr1-92697011-25
Merged-chr11-97936039-14	chr11	97935765	97936223	+	0.000	0.000	Merged-chr11-97936039-14
Merged-chr19-34922079-98	chr19	34921861	34922443	+	0.000	0.000	Merged-chr19-34922079-98
Merged-chr2-73313328-11	chr2	73313181	73313484	+	0.000	0.000	Merged-chr2-73313328-11
Merged-chr15-97830895-4	chr15	97830753	97831039	+	0.000	0.000	Merged-chr15-97830895-4
Merged-chr1-144333068-3	chr1	144332947	144333190	+	0.000	0.000	Merged-chr1-144333068-3
Merged-chr1-170978852-11	chr1	170978681	170978995	+	0.000	0.000	Merged-chr1-170978852-11
Merged-chr4-116123033-2	chr4	116122912	116123156	+	0.000	0.000	Merged-chr4-116123033-2
Merged-chr7-66118287-18	chr7	66118126	66118434	+	0.000	0.000	Merged-chr7-66118287-18
Merged-chrX-167182631-37	chrX	167182396	167182822	+	0.000	0.000	Merged-chrX-167182631-37
Merged-chr10-77624666-9	chr10	77624483	77624847	+	0.000	0.000	Merged-chr10-77624666-9
Merged-chr2-152030194-1	chr2	152030096	152030294	+	0.000	0.000	Merged-chr2-152030194-1
Merged-chr3-108730497-6	chr3	108730336	108730647	+	0.000	0.000	Merged-chr3-108730497-6
Merged-chr11-107454779-3	chr11	107454632	107454933	+	0.000	0.000	Merged-chr11-107454779-3
Merged-chr2-29890513-1	chr2	29890415	29890613	+	0.000	0.000	Merged-chr2-29890513-1
Merged-chr6-97387044-2	chr6	97386933	97387158	+	0.000	0.000	Merged-chr6-97387044-2
Merged-chr9-27071000-11	chr9	27070772	27071316	+	0.000	0.000	Merged-chr9-27071000-11
Merged-chr5-112220290-48	chr5	112219884	112220716	+	0.000	0.000	Merged-chr5-112220290-48
Merged-chr6-54040016-79	chr6	54039603	54040467	+	0.000	0.000	Merged-chr6-54040016-79
Merged-chr4-107092821-12	chr4	107092652	107093088	+	0.000	0.000	Merged-chr4-107092821-12
Merged-chr11-102930777-13	chr11	102930534	102931029	+	0.000	0.000	Merged-chr11-102930777-13
Merged-chr1-133688539-7	chr1	133688400	133688685	+	0.000	0.000	Merged-chr1-133688539-7
Merged-chr7-66160187-16	chr7	66160014	66160412	+	0.000	0.000	Merged-chr7-66160187-16
Merged-chr3-90514906-78	chr3	90514405	90515252	+	0.000	0.000	Merged-chr3-90514906-78
Merged-chr4-46572844-6	chr4	46572695	46572980	+	0.000	0.000	Merged-chr4-46572844-6
Merged-chr1-60868540-23	chr1	60868393	60868749	+	0.000	0.000	Merged-chr1-60868540-23
Merged-chr1-171793480-13	chr1	171793311	171793638	+	0.000	0.000	Merged-chr1-171793480-13
Merged-chr10-117831011-28	chr10	117830772	117831201	+	0.000	0.000	Merged-chr10-117831011-28
Merged-chr2-151569776-39	chr2	151569616	151570017	+	0.000	0.000	Merged-chr2-151569776-39
Merged-chr8-95612064-3	chr8	95611952	95612190	+	0.000	0.000	Merged-chr8-95612064-3
Merged-chr10-80917926-53	chr10	80917369	80918337	+	0.000	0.000	Merged-chr10-80917926-53
Merged-chr11-83550444-44	chr11	83550222	83550764	+	0.000	0.000	Merged-chr11-83550444-44
Merged-chr10-117861044-50	chr10	117860749	117861258	+	0.000	0.000	Merged-chr10-117861044-50
