#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
Merged-chr1-153061689-5	chr1	153061472	153061872	+	0.000	0.000	Merged-chr1-153061689-5
Merged-chr2-165655026-70	chr2	165654320	165655399	+	0.000	0.000	Merged-chr2-165655026-70
Merged-chr2-65238613-163	chr2	65238346	65239218	+	0.000	0.000	Merged-chr2-65238613-163
Merged-chr7-75794140-5	chr7	75793896	75794330	+	0.000	0.000	Merged-chr7-75794140-5
Merged-chr19-8723231-56	chr19	8722978	8723557	+	0.000	0.000	Merged-chr19-8723231-56
Merged-chr1-16105621-1	chr1	16105523	16105721	+	0.000	0.000	Merged-chr1-16105621-1
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr3-144013885-1	chr3	144013787	144013985	+	0.000	0.000	Merged-chr3-144013885-1
Merged-chr5-93115776-9	chr5	93115540	93115934	+	0.000	0.000	Merged-chr5-93115776-9
Merged-chr5-30073390-59	chr5	30073005	30073751	+	0.000	0.000	Merged-chr5-30073390-59
Merged-chr4-59190847-19	chr4	59190596	59191099	+	0.000	0.000	Merged-chr4-59190847-19
Merged-chr19-8838158-1	chr19	8838060	8838258	+	0.000	0.000	Merged-chr19-8838158-1
Merged-chr3-65416822-6	chr3	65416698	65416940	+	0.000	0.000	Merged-chr3-65416822-6
Merged-chr1-172502591-1	chr1	172502493	172502691	+	0.000	0.000	Merged-chr1-172502591-1
Merged-chr13-32833384-31	chr13	32833154	32833585	+	0.000	0.000	Merged-chr13-32833384-31
Merged-chr4-135312758-1	chr4	135312660	135312858	+	0.000	0.000	Merged-chr4-135312758-1
Merged-chr7-119895039-1	chr7	119894941	119895139	+	0.000	0.000	Merged-chr7-119895039-1
Merged-chr11-16952284-5	chr11	16952118	16952418	+	0.000	0.000	Merged-chr11-16952284-5
Merged-chr10-19577648-1	chr10	19577550	19577748	+	0.000	0.000	Merged-chr10-19577648-1
Merged-chr5-124022476-27	chr5	124022253	124022756	+	0.000	0.000	Merged-chr5-124022476-27
Merged-chr2-151581099-26	chr2	151580831	151581329	+	0.000	0.000	Merged-chr2-151581099-26
Merged-chr1-43299668-27	chr1	43299399	43299889	+	0.000	0.000	Merged-chr1-43299668-27
Merged-chr5-107698987-6	chr5	107698713	107699204	+	0.000	0.000	Merged-chr5-107698987-6
Merged-chr2-60880763-2	chr2	60880665	60880863	+	0.000	0.000	Merged-chr2-60880763-2
Merged-chr7-47013375-34	chr7	47013088	47013765	+	0.000	0.000	Merged-chr7-47013375-34
Merged-chr12-102719761-17	chr12	102719607	102719970	+	0.000	0.000	Merged-chr12-102719761-17
Merged-chr7-66247230-15	chr7	66246845	66247629	+	0.000	0.000	Merged-chr7-66247230-15
Merged-chr7-110203728-41	chr7	110203441	110204181	+	0.000	0.000	Merged-chr7-110203728-41
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr13-75845828-42	chr13	75845415	75846034	+	0.000	0.000	Merged-chr13-75845828-42
Merged-chr2-101762548-65	chr2	101762253	101762884	+	0.000	0.000	Merged-chr2-101762548-65
Merged-chr2-129186012-43	chr2	129185598	129186272	+	0.000	0.000	Merged-chr2-129186012-43
Merged-chr2-180438318-9	chr2	180438011	180438500	+	0.000	0.000	Merged-chr2-180438318-9
Merged-chr3-136942361-1	chr3	136942263	136942461	+	0.000	0.000	Merged-chr3-136942361-1
Merged-chr7-110223070-7	chr7	110222840	110223214	+	0.000	0.000	Merged-chr7-110223070-7
Merged-chr6-128836446-70	chr6	128836123	128836748	+	0.000	0.000	Merged-chr6-128836446-70
Merged-chr7-114161224-36	chr7	114160917	114161467	+	0.000	0.000	Merged-chr7-114161224-36
Merged-chr7-128105500-13	chr7	128105323	128105762	+	0.000	0.000	Merged-chr7-128105500-13
Merged-chr9-32499941-68	chr9	32499531	32500483	+	0.000	0.000	Merged-chr9-32499941-68
Merged-chr17-12120379-1	chr17	12120281	12120479	+	0.000	0.000	Merged-chr17-12120379-1
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr9-65909052-64	chr9	65908691	65909342	+	0.000	0.000	Merged-chr9-65909052-64
Merged-chr8-13686705-81	chr8	13686250	13686952	+	0.000	0.000	Merged-chr8-13686705-81
Merged-chr11-46458055-5	chr11	46457941	46458193	+	0.000	0.000	Merged-chr11-46458055-5
Merged-chr17-79868435-11	chr17	79868202	79868672	+	0.000	0.000	Merged-chr17-79868435-11
Merged-chr5-115013221-2	chr5	115013085	115013360	+	0.000	0.000	Merged-chr5-115013221-2
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr1-161801505-4	chr1	161801385	161801647	+	0.000	0.000	Merged-chr1-161801505-4
Merged-chr10-19598256-42	chr10	19598065	19598531	+	0.000	0.000	Merged-chr10-19598256-42
Merged-chrX-102157189-61	chrX	102156932	102157548	+	0.000	0.000	Merged-chrX-102157189-61
Merged-chr13-21721967-70	chr13	21721763	21722145	+	0.000	0.000	Merged-chr13-21721967-70
Merged-chr19-5467382-16	chr19	5467115	5467580	+	0.000	0.000	Merged-chr19-5467382-16
Merged-chr6-108607013-11	chr6	108606811	108607271	+	0.000	0.000	Merged-chr6-108607013-11
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr12-103142833-43	chr12	103142605	103143072	+	0.000	0.000	Merged-chr12-103142833-43
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr11-6444447-69	chr11	6444227	6444773	+	0.000	0.000	Merged-chr11-6444447-69
Merged-chr3-86758843-24	chr3	86758610	86759043	+	0.000	0.000	Merged-chr3-86758843-24
Merged-chr11-102456095-36	chr11	102455813	102456399	+	0.000	0.000	Merged-chr11-102456095-36
Merged-chr11-106961822-47	chr11	106961526	106962150	+	0.000	0.000	Merged-chr11-106961822-47
Merged-chr19-12576850-12	chr19	12576622	12577039	+	0.000	0.000	Merged-chr19-12576850-12
Merged-chr17-73970626-10	chr17	73970451	73970824	+	0.000	0.000	Merged-chr17-73970626-10
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr9-64797561-46	chr9	64797234	64797792	+	0.000	0.000	Merged-chr9-64797561-46
Merged-chr1-181928626-21	chr1	181928477	181928804	+	0.000	0.000	Merged-chr1-181928626-21
Merged-chr18-65800547-87	chr18	65800259	65800878	+	0.000	0.000	Merged-chr18-65800547-87
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr18-84073759-5	chr18	84073578	84073956	+	0.000	0.000	Merged-chr18-84073759-5
Merged-chr6-129350099-25	chr6	129349824	129350500	+	0.000	0.000	Merged-chr6-129350099-25
Merged-chr11-117772579-30	chr11	117772315	117772844	+	0.000	0.000	Merged-chr11-117772579-30
Merged-chr11-121041378-4	chr11	121041220	121041568	+	0.000	0.000	Merged-chr11-121041378-4
Merged-chr12-16584018-49	chr12	16583366	16584438	+	0.000	0.000	Merged-chr12-16584018-49
Merged-chr1-125487640-13	chr1	125487347	125487934	+	0.000	0.000	Merged-chr1-125487640-13
Merged-chr15-78898744-12	chr15	78898596	78898915	+	0.000	0.000	Merged-chr15-78898744-12
Merged-chr19-43517953-1	chr19	43517855	43518053	+	0.000	0.000	Merged-chr19-43517953-1
Merged-chr6-87672210-53	chr6	87671996	87672404	+	0.000	0.000	Merged-chr6-87672210-53
Merged-chr4-133024379-9	chr4	133024085	133024543	+	0.000	0.000	Merged-chr4-133024379-9
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr19-8980902-23	chr19	8980763	8981040	+	0.000	0.000	Merged-chr19-8980902-23
Merged-chr5-30072901-1	chr5	30072803	30073001	+	0.000	0.000	Merged-chr5-30072901-1
Merged-chr13-113090850-10	chr13	113090688	113091159	+	0.000	0.000	Merged-chr13-113090850-10
Merged-chr3-9865758-64	chr3	9865430	9866037	+	0.000	0.000	Merged-chr3-9865758-64
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr3-136837708-14	chr3	136837482	136837938	+	0.000	0.000	Merged-chr3-136837708-14
Merged-chr7-122159598-98	chr7	122158996	122160704	+	0.000	0.000	Merged-chr7-122159598-98
Merged-chrX-8252507-67	chrX	8252197	8252775	+	0.000	0.000	Merged-chrX-8252507-67
Merged-chr11-55072689-24	chr11	55072482	55072894	+	0.000	0.000	Merged-chr11-55072689-24
Merged-chr7-80534916-95	chr7	80534678	80535100	+	0.000	0.000	Merged-chr7-80534916-95
Merged-chr13-63247258-3	chr13	63247113	63247439	+	0.000	0.000	Merged-chr13-63247258-3
Merged-chr7-141482187-5	chr7	141481920	141482413	+	0.000	0.000	Merged-chr7-141482187-5
Merged-chr10-89463808-10	chr10	89463628	89464065	+	0.000	0.000	Merged-chr10-89463808-10
Merged-chr11-46467033-45	chr11	46466826	46467266	+	0.000	0.000	Merged-chr11-46467033-45
Merged-chr16-38403737-54	chr16	38403530	38404122	+	0.000	0.000	Merged-chr16-38403737-54
Merged-chr6-57706887-3	chr6	57706688	57707054	+	0.000	0.000	Merged-chr6-57706887-3
Merged-chr5-62772215-28	chr5	62771937	62772520	+	0.000	0.000	Merged-chr5-62772215-28
Merged-chr12-86693487-27	chr12	86692880	86693882	+	0.000	0.000	Merged-chr12-86693487-27
Merged-chr15-102150590-42	chr15	102150330	102150970	+	0.000	0.000	Merged-chr15-102150590-42
Merged-chr13-55600391-79	chr13	55599808	55600990	+	0.000	0.000	Merged-chr13-55600391-79
Merged-chr4-122884956-14	chr4	122884717	122885260	+	0.000	0.000	Merged-chr4-122884956-14
Merged-chr1-153321591-2	chr1	153321476	153321708	+	0.000	0.000	Merged-chr1-153321591-2
Merged-chr2-81179483-1	chr2	81179385	81179583	+	0.000	0.000	Merged-chr2-81179483-1
Merged-chr5-112239781-12	chr5	112239663	112239907	+	0.000	0.000	Merged-chr5-112239781-12
Merged-chr7-120047666-1	chr7	120047568	120047766	+	0.000	0.000	Merged-chr7-120047666-1
Merged-chr5-140151320-8	chr5	140151133	140151529	+	0.000	0.000	Merged-chr5-140151320-8
Merged-chr5-18360030-27	chr5	18359491	18360575	+	0.000	0.000	Merged-chr5-18360030-27
Merged-chr9-124103386-22	chr9	124103123	124103577	+	0.000	0.000	Merged-chr9-124103386-22
Merged-chr5-24842624-94	chr5	24842152	24842940	+	0.000	0.000	Merged-chr5-24842624-94
Merged-chr12-55051446-14	chr12	55051237	55051710	+	0.000	0.000	Merged-chr12-55051446-14
Merged-chr13-59468165-25	chr13	59467881	59468444	+	0.000	0.000	Merged-chr13-59468165-25
Merged-chr13-60897577-48	chr13	60897236	60897830	+	0.000	0.000	Merged-chr13-60897577-48
Merged-chr9-32570830-16	chr9	32570600	32570985	+	0.000	0.000	Merged-chr9-32570830-16
Merged-chr5-9015309-72	chr5	9014878	9015739	+	0.000	0.000	Merged-chr5-9015309-72
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr17-87299066-53	chr17	87298673	87299391	+	0.000	0.000	Merged-chr17-87299066-53
Merged-chr1-60920511-54	chr1	60920166	60920817	+	0.000	0.000	Merged-chr1-60920511-54
Merged-chr17-35868234-36	chr17	35867521	35868626	+	0.000	0.000	Merged-chr17-35868234-36
Merged-chr18-70574715-49	chr18	70573817	70575598	+	0.000	0.000	Merged-chr18-70574715-49
Merged-chr10-120209358-124	chr10	120208923	120209964	+	0.000	0.000	Merged-chr10-120209358-124
Merged-chr1-189662049-19	chr1	189661871	189662288	+	0.000	0.000	Merged-chr1-189662049-19
Merged-chr10-61275935-46	chr10	61275713	61276166	+	0.000	0.000	Merged-chr10-61275935-46
Merged-chr13-51645849-3	chr13	51645660	51645997	+	0.000	0.000	Merged-chr13-51645849-3
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr11-5955638-79	chr11	5955402	5955907	+	0.000	0.000	Merged-chr11-5955638-79
Merged-chr4-107094759-30	chr4	107094451	107095025	+	0.000	0.000	Merged-chr4-107094759-30
Merged-chr9-44019706-2	chr9	44019585	44019830	+	0.000	0.000	Merged-chr9-44019706-2
Merged-chr19-45749414-69	chr19	45748915	45749790	+	0.000	0.000	Merged-chr19-45749414-69
Merged-chr13-101706581-30	chr13	101706371	101706776	+	0.000	0.000	Merged-chr13-101706581-30
Merged-chr2-11355827-17	chr2	11355656	11356006	+	0.000	0.000	Merged-chr2-11355827-17
Merged-chr10-118448163-4	chr10	118447913	118448398	+	0.000	0.000	Merged-chr10-118448163-4
Merged-chr9-114780809-3	chr9	114780613	114781048	+	0.000	0.000	Merged-chr9-114780809-3
Merged-chr5-52741943-98	chr5	52741548	52742162	+	0.000	0.000	Merged-chr5-52741943-98
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr12-24652044-2	chr12	24651911	24652180	+	0.000	0.000	Merged-chr12-24652044-2
Merged-chr3-84630888-13	chr3	84630644	84631038	+	0.000	0.000	Merged-chr3-84630888-13
Merged-chr2-128422805-32	chr2	128422601	128422972	+	0.000	0.000	Merged-chr2-128422805-32
Merged-chr7-67444614-20	chr7	67444418	67444828	+	0.000	0.000	Merged-chr7-67444614-20
Merged-chr2-60923694-43	chr2	60923074	60924117	+	0.000	0.000	Merged-chr2-60923694-43
Merged-chr8-120889347-18	chr8	120889053	120889494	+	0.000	0.000	Merged-chr8-120889347-18
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr10-44537964-16	chr10	44537796	44538255	+	0.000	0.000	Merged-chr10-44537964-16
Merged-chr6-70792828-1	chr6	70792730	70792928	+	0.000	0.000	Merged-chr6-70792828-1
Merged-chr6-42343728-43	chr6	42343441	42344074	+	0.000	0.000	Merged-chr6-42343728-43
Merged-chr14-46831502-2	chr14	46831393	46831613	+	0.000	0.000	Merged-chr14-46831502-2
Merged-chr4-134460498-5	chr4	134460317	134460698	+	0.000	0.000	Merged-chr4-134460498-5
Merged-chr1-166409070-1	chr1	166408972	166409170	+	0.000	0.000	Merged-chr1-166409070-1
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr1-54841959-50	chr1	54841731	54842221	+	0.000	0.000	Merged-chr1-54841959-50
Merged-chr3-9786855-28	chr3	9786588	9787101	+	0.000	0.000	Merged-chr3-9786855-28
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chr8-123949484-73	chr8	123949102	123949890	+	0.000	0.000	Merged-chr8-123949484-73
Merged-chr6-82747432-7	chr6	82747261	82747627	+	0.000	0.000	Merged-chr6-82747432-7
Merged-chr4-134121781-8	chr4	134121636	134121971	+	0.000	0.000	Merged-chr4-134121781-8
Merged-chr6-97321339-36	chr6	97321165	97321547	+	0.000	0.000	Merged-chr6-97321339-36
Merged-chrX-164027993-42	chrX	164027618	164028237	+	0.000	0.000	Merged-chrX-164027993-42
Merged-chrX-36645202-80	chrX	36644943	36645452	+	0.000	0.000	Merged-chrX-36645202-80
Merged-chr4-89366882-6	chr4	89366724	89367037	+	0.000	0.000	Merged-chr4-89366882-6
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chrX-167206151-49	chrX	167205867	167206493	+	0.000	0.000	Merged-chrX-167206151-49
Merged-chr1-131910847-123	chr1	131910607	131911370	+	0.000	0.000	Merged-chr1-131910847-123
Merged-chr15-78896310-38	chr15	78896028	78896545	+	0.000	0.000	Merged-chr15-78896310-38
Merged-chr1-40515347-62	chr1	40514887	40515832	+	0.000	0.000	Merged-chr1-40515347-62
Merged-chr10-91188013-33	chr10	91187737	91188334	+	0.000	0.000	Merged-chr10-91188013-33
Merged-chr15-83463775-2	chr15	83463658	83463894	+	0.000	0.000	Merged-chr15-83463775-2
Merged-chr19-56687212-16	chr19	56686962	56687459	+	0.000	0.000	Merged-chr19-56687212-16
Merged-chr7-66175950-28	chr7	66175737	66176156	+	0.000	0.000	Merged-chr7-66175950-28
Merged-chr9-44043404-33	chr9	44043185	44043736	+	0.000	0.000	Merged-chr9-44043404-33
Merged-chr9-41099234-15	chr9	41099039	41099415	+	0.000	0.000	Merged-chr9-41099234-15
Merged-chr9-57260668-1	chr9	57260570	57260768	+	0.000	0.000	Merged-chr9-57260668-1
Merged-chr4-133837480-2	chr4	133837290	133837672	+	0.000	0.000	Merged-chr4-133837480-2
