#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_WT_Tfh.dn.bed
Merged-chr16-10959125-1	chr16	10959027	10959225	+	0.000	0.000	Merged-chr16-10959125-1
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr12-100544078-1	chr12	100543980	100544178	+	0.000	0.000	Merged-chr12-100544078-1
Merged-chr1-97622893-1	chr1	97622795	97622993	+	0.000	0.000	Merged-chr1-97622893-1
Merged-chrX-71378738-26	chrX	71378502	71378987	+	0.000	0.000	Merged-chrX-71378738-26
Merged-chr2-144331122-48	chr2	144330616	144331604	+	0.000	0.000	Merged-chr2-144331122-48
Merged-chr7-16373867-24	chr7	16373655	16374113	+	0.000	0.000	Merged-chr7-16373867-24
Merged-chr3-9974623-36	chr3	9974374	9974824	+	0.000	0.000	Merged-chr3-9974623-36
Merged-chr11-117782210-31	chr11	117781828	117782490	+	0.000	0.000	Merged-chr11-117782210-31
Merged-chr8-106022605-23	chr8	106022327	106022872	+	0.000	0.000	Merged-chr8-106022605-23
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr13-56197713-35	chr13	56197505	56197943	+	0.000	0.000	Merged-chr13-56197713-35
Merged-chr1-161748373-32	chr1	161748179	161748645	+	0.000	0.000	Merged-chr1-161748373-32
Merged-chr2-129198055-2	chr2	129197878	129198235	+	0.000	0.000	Merged-chr2-129198055-2
Merged-chr5-139290875-38	chr5	139290611	139291146	+	0.000	0.000	Merged-chr5-139290875-38
Merged-chr6-122756168-13	chr6	122755953	122756404	+	0.000	0.000	Merged-chr6-122756168-13
Merged-chr9-44344017-55	chr9	44343778	44344244	+	0.000	0.000	Merged-chr9-44344017-55
Merged-chr13-81657975-90	chr13	81657492	81658304	+	0.000	0.000	Merged-chr13-81657975-90
Merged-chr18-57362721-19	chr18	57362358	57363059	+	0.000	0.000	Merged-chr18-57362721-19
Merged-chr10-18923473-26	chr10	18923257	18923726	+	0.000	0.000	Merged-chr10-18923473-26
Merged-chr17-5828409-23	chr17	5828148	5828656	+	0.000	0.000	Merged-chr17-5828409-23
Merged-chrX-85918591-4	chrX	85918438	85918773	+	0.000	0.000	Merged-chrX-85918591-4
Merged-chr4-8854131-25	chr4	8853958	8854344	+	0.000	0.000	Merged-chr4-8854131-25
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr9-122998941-71	chr9	122998556	122999638	+	0.000	0.000	Merged-chr9-122998941-71
Merged-chr3-59258266-13	chr3	59258033	59258443	+	0.000	0.000	Merged-chr3-59258266-13
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr18-66478119-35	chr18	66477751	66478372	+	0.000	0.000	Merged-chr18-66478119-35
Merged-chr8-13649370-68	chr8	13649069	13649612	+	0.000	0.000	Merged-chr8-13649370-68
Merged-chr8-34108229-124	chr8	34107823	34108541	+	0.000	0.000	Merged-chr8-34108229-124
Merged-chr13-23551555-61	chr13	23551319	23551775	+	0.000	0.000	Merged-chr13-23551555-61
Merged-chr10-127177268-1	chr10	127177170	127177368	+	0.000	0.000	Merged-chr10-127177268-1
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr16-38476690-56	chr16	38476352	38477118	+	0.000	0.000	Merged-chr16-38476690-56
Merged-chr3-86845286-5	chr3	86845176	86845396	+	0.000	0.000	Merged-chr3-86845286-5
Merged-chr9-69313976-5	chr9	69313741	69314143	+	0.000	0.000	Merged-chr9-69313976-5
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr5-129020147-99	chr5	129019817	129020534	+	0.000	0.000	Merged-chr5-129020147-99
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr14-99865135-2	chr14	99865028	99865244	+	0.000	0.000	Merged-chr14-99865135-2
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr13-64153044-113	chr13	64152614	64153721	+	0.000	0.000	Merged-chr13-64153044-113
Merged-chr2-125724208-99	chr2	125723415	125724945	+	0.000	0.000	Merged-chr2-125724208-99
Merged-chr1-16105621-1	chr1	16105523	16105721	+	0.000	0.000	Merged-chr1-16105621-1
Merged-chr3-144013885-1	chr3	144013787	144013985	+	0.000	0.000	Merged-chr3-144013885-1
Merged-chr9-75050222-37	chr9	75049997	75050485	+	0.000	0.000	Merged-chr9-75050222-37
Merged-chr19-8838158-1	chr19	8838060	8838258	+	0.000	0.000	Merged-chr19-8838158-1
Merged-chr2-101616143-32	chr2	101615886	101616401	+	0.000	0.000	Merged-chr2-101616143-32
Merged-chr13-23521936-3	chr13	23521835	23522038	+	0.000	0.000	Merged-chr13-23521936-3
Merged-chr1-43299668-27	chr1	43299399	43299889	+	0.000	0.000	Merged-chr1-43299668-27
Merged-chr2-60880763-2	chr2	60880665	60880863	+	0.000	0.000	Merged-chr2-60880763-2
Merged-chr7-47013375-34	chr7	47013088	47013765	+	0.000	0.000	Merged-chr7-47013375-34
Merged-chr12-102719761-17	chr12	102719607	102719970	+	0.000	0.000	Merged-chr12-102719761-17
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr1-189698584-1	chr1	189698486	189698684	+	0.000	0.000	Merged-chr1-189698584-1
Merged-chr3-136942361-1	chr3	136942263	136942461	+	0.000	0.000	Merged-chr3-136942361-1
Merged-chr16-52292729-42	chr16	52292511	52292962	+	0.000	0.000	Merged-chr16-52292729-42
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr2-129199928-7	chr2	129199578	129200284	+	0.000	0.000	Merged-chr2-129199928-7
Merged-chr10-18845106-45	chr10	18844845	18845292	+	0.000	0.000	Merged-chr10-18845106-45
Merged-chr1-14560703-1	chr1	14560605	14560803	+	0.000	0.000	Merged-chr1-14560703-1
Merged-chr2-101288419-1	chr2	101288321	101288519	+	0.000	0.000	Merged-chr2-101288419-1
Merged-chr2-90579647-1	chr2	90579549	90579747	+	0.000	0.000	Merged-chr2-90579647-1
Merged-chr13-5862430-12	chr13	5862151	5862750	+	0.000	0.000	Merged-chr13-5862430-12
Merged-chrX-102157189-61	chrX	102156932	102157548	+	0.000	0.000	Merged-chrX-102157189-61
Merged-chr13-21721967-70	chr13	21721763	21722145	+	0.000	0.000	Merged-chr13-21721967-70
Merged-chr5-149525797-5	chr5	149525699	149525897	+	0.000	0.000	Merged-chr5-149525797-5
Merged-chr2-128159167-18	chr2	128158986	128159397	+	0.000	0.000	Merged-chr2-128159167-18
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr3-86758843-24	chr3	86758610	86759043	+	0.000	0.000	Merged-chr3-86758843-24
Merged-chr7-90341759-29	chr7	90341544	90342019	+	0.000	0.000	Merged-chr7-90341759-29
Merged-chr9-61925004-1	chr9	61924906	61925104	+	0.000	0.000	Merged-chr9-61925004-1
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr2-148594843-2	chr2	148594730	148594959	+	0.000	0.000	Merged-chr2-148594843-2
Merged-chr18-65800547-87	chr18	65800259	65800878	+	0.000	0.000	Merged-chr18-65800547-87
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr1-171699154-28	chr1	171698863	171699467	+	0.000	0.000	Merged-chr1-171699154-28
Merged-chr4-46601890-90	chr4	46601174	46602319	+	0.000	0.000	Merged-chr4-46601890-90
Merged-chr11-57934561-28	chr11	57934318	57934749	+	0.000	0.000	Merged-chr11-57934561-28
Merged-chr6-87672210-53	chr6	87671996	87672404	+	0.000	0.000	Merged-chr6-87672210-53
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr6-97311537-77	chr6	97311342	97311904	+	0.000	0.000	Merged-chr6-97311537-77
Merged-chr2-9803115-6	chr2	9802891	9803327	+	0.000	0.000	Merged-chr2-9803115-6
Merged-chr19-9938358-1	chr19	9938260	9938458	+	0.000	0.000	Merged-chr19-9938358-1
Merged-chr3-136837708-14	chr3	136837482	136837938	+	0.000	0.000	Merged-chr3-136837708-14
Merged-chr18-73792678-3	chr18	73792554	73792792	+	0.000	0.000	Merged-chr18-73792678-3
Merged-chr7-122159598-98	chr7	122158996	122160704	+	0.000	0.000	Merged-chr7-122159598-98
Merged-chrX-8252507-67	chrX	8252197	8252775	+	0.000	0.000	Merged-chrX-8252507-67
Merged-chr11-55072689-24	chr11	55072482	55072894	+	0.000	0.000	Merged-chr11-55072689-24
Merged-chr13-119706684-31	chr13	119706375	119706974	+	0.000	0.000	Merged-chr13-119706684-31
Merged-chr13-63247258-3	chr13	63247113	63247439	+	0.000	0.000	Merged-chr13-63247258-3
Merged-chr6-57706887-3	chr6	57706688	57707054	+	0.000	0.000	Merged-chr6-57706887-3
Merged-chr12-86693487-27	chr12	86692880	86693882	+	0.000	0.000	Merged-chr12-86693487-27
Merged-chr18-57400941-35	chr18	57400701	57401177	+	0.000	0.000	Merged-chr18-57400941-35
Merged-chr2-128162745-2	chr2	128162594	128162898	+	0.000	0.000	Merged-chr2-128162745-2
Merged-chr4-122884956-14	chr4	122884717	122885260	+	0.000	0.000	Merged-chr4-122884956-14
Merged-chr1-54912583-4	chr1	54912428	54912792	+	0.000	0.000	Merged-chr1-54912583-4
Merged-chr11-75200180-3	chr11	75200005	75200322	+	0.000	0.000	Merged-chr11-75200180-3
Merged-chr5-140151320-8	chr5	140151133	140151529	+	0.000	0.000	Merged-chr5-140151320-8
Merged-chr5-24842624-94	chr5	24842152	24842940	+	0.000	0.000	Merged-chr5-24842624-94
Merged-chr3-27331014-40	chr3	27330703	27331249	+	0.000	0.000	Merged-chr3-27331014-40
Merged-chr2-79270307-14	chr2	79270058	79270543	+	0.000	0.000	Merged-chr2-79270307-14
Merged-chr13-59468165-25	chr13	59467881	59468444	+	0.000	0.000	Merged-chr13-59468165-25
Merged-chr6-70714490-34	chr6	70714259	70714686	+	0.000	0.000	Merged-chr6-70714490-34
Merged-chr9-106453760-51	chr9	106453456	106454146	+	0.000	0.000	Merged-chr9-106453760-51
Merged-chr17-79296221-1	chr17	79296123	79296321	+	0.000	0.000	Merged-chr17-79296221-1
Merged-chr10-9856019-18	chr10	9855657	9856239	+	0.000	0.000	Merged-chr10-9856019-18
Merged-chr10-120209358-124	chr10	120208923	120209964	+	0.000	0.000	Merged-chr10-120209358-124
Merged-chr14-25493554-23	chr14	25493301	25493879	+	0.000	0.000	Merged-chr14-25493554-23
Merged-chr6-97205560-61	chr6	97205192	97205838	+	0.000	0.000	Merged-chr6-97205560-61
Merged-chr1-189662049-19	chr1	189661871	189662288	+	0.000	0.000	Merged-chr1-189662049-19
Merged-chr2-52176630-15	chr2	52176409	52176850	+	0.000	0.000	Merged-chr2-52176630-15
Merged-chr2-163725478-1	chr2	163725380	163725578	+	0.000	0.000	Merged-chr2-163725478-1
Merged-chr4-107094759-30	chr4	107094451	107095025	+	0.000	0.000	Merged-chr4-107094759-30
Merged-chr5-93094073-7	chr5	93093846	93094266	+	0.000	0.000	Merged-chr5-93094073-7
Merged-chr18-4353243-81	chr18	4352755	4353701	+	0.000	0.000	Merged-chr18-4353243-81
Merged-chr10-118448163-4	chr10	118447913	118448398	+	0.000	0.000	Merged-chr10-118448163-4
Merged-chr5-52741943-98	chr5	52741548	52742162	+	0.000	0.000	Merged-chr5-52741943-98
Merged-chr4-145248174-14	chr4	145248009	145248375	+	0.000	0.000	Merged-chr4-145248174-14
Merged-chr5-149525038-89	chr5	149524590	149525523	+	0.000	0.000	Merged-chr5-149525038-89
Merged-chr8-22186970-1	chr8	22186872	22187070	+	0.000	0.000	Merged-chr8-22186970-1
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr7-18872970-1	chr7	18872872	18873070	+	0.000	0.000	Merged-chr7-18872970-1
Merged-chr6-70792828-1	chr6	70792730	70792928	+	0.000	0.000	Merged-chr6-70792828-1
Merged-chr1-21079276-92	chr1	21079017	21079569	+	0.000	0.000	Merged-chr1-21079276-92
Merged-chr13-23598121-7	chr13	23597898	23598310	+	0.000	0.000	Merged-chr13-23598121-7
Merged-chr14-46831502-2	chr14	46831393	46831613	+	0.000	0.000	Merged-chr14-46831502-2
Merged-chr16-37009403-7	chr16	37009253	37009530	+	0.000	0.000	Merged-chr16-37009403-7
Merged-chr5-85781215-4	chr5	85781048	85781396	+	0.000	0.000	Merged-chr5-85781215-4
Merged-chr6-135511219-1	chr6	135511121	135511319	+	0.000	0.000	Merged-chr6-135511219-1
Merged-chr9-117963100-4	chr9	117962848	117963291	+	0.000	0.000	Merged-chr9-117963100-4
Merged-chr1-163994937-75	chr1	163994740	163995177	+	0.000	0.000	Merged-chr1-163994937-75
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr17-8389397-65	chr17	8389072	8389850	+	0.000	0.000	Merged-chr17-8389397-65
Merged-chr2-79124485-40	chr2	79124325	79124641	+	0.000	0.000	Merged-chr2-79124485-40
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr2-57253205-15	chr2	57252872	57253544	+	0.000	0.000	Merged-chr2-57253205-15
Merged-chr13-5861346-118	chr13	5860983	5861929	+	0.000	0.000	Merged-chr13-5861346-118
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr7-101906815-1	chr7	101906717	101906915	+	0.000	0.000	Merged-chr7-101906815-1
Merged-chr8-123949484-73	chr8	123949102	123949890	+	0.000	0.000	Merged-chr8-123949484-73
Merged-chr9-41118206-38	chr9	41117822	41118460	+	0.000	0.000	Merged-chr9-41118206-38
Merged-chr2-90570407-26	chr2	90570178	90570668	+	0.000	0.000	Merged-chr2-90570407-26
Merged-chr19-56687212-16	chr19	56686962	56687459	+	0.000	0.000	Merged-chr19-56687212-16
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr15-80034536-17	chr15	80034383	80034693	+	0.000	0.000	Merged-chr15-80034536-17
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr4-133837480-2	chr4	133837290	133837672	+	0.000	0.000	Merged-chr4-133837480-2
Merged-chr10-92717721-2	chr10	92717613	92717832	+	0.000	0.000	Merged-chr10-92717721-2
Merged-chr17-44734692-7	chr17	44734475	44734889	+	0.000	0.000	Merged-chr17-44734692-7
Merged-chr5-150262822-29	chr5	150262584	150263093	+	0.000	0.000	Merged-chr5-150262822-29
Merged-chr17-47743455-1	chr17	47743357	47743555	+	0.000	0.000	Merged-chr17-47743455-1
Merged-chrX-163994129-6	chrX	163993994	163994294	+	0.000	0.000	Merged-chrX-163994129-6
Merged-chr8-125227501-18	chr8	125227150	125227785	+	0.000	0.000	Merged-chr8-125227501-18
Merged-chr13-95618355-78	chr13	95617765	95618660	+	0.000	0.000	Merged-chr13-95618355-78
Merged-chr11-97988386-150	chr11	97987691	97989083	+	0.000	0.000	Merged-chr11-97988386-150
Merged-chrX-93594477-7	chrX	93594317	93594651	+	0.000	0.000	Merged-chrX-93594477-7
Merged-chr2-53215671-1	chr2	53215573	53215771	+	0.000	0.000	Merged-chr2-53215671-1
Merged-chr9-35570100-65	chr9	35569887	35570332	+	0.000	0.000	Merged-chr9-35570100-65
Merged-chr13-23556170-26	chr13	23555934	23556434	+	0.000	0.000	Merged-chr13-23556170-26
Merged-chr3-136770294-2	chr3	136770166	136770425	+	0.000	0.000	Merged-chr3-136770294-2
Merged-chr16-78619674-38	chr16	78619436	78620126	+	0.000	0.000	Merged-chr16-78619674-38
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr1-9798282-57	chr1	9797816	9798986	+	0.000	0.000	Merged-chr1-9798282-57
Merged-chr11-63873500-16	chr11	63873312	63873749	+	0.000	0.000	Merged-chr11-63873500-16
Merged-chr4-57904497-43	chr4	57904209	57904714	+	0.000	0.000	Merged-chr4-57904497-43
Merged-chr17-31871254-26	chr17	31870834	31871532	+	0.000	0.000	Merged-chr17-31871254-26
Merged-chr1-86509613-36	chr1	86509419	86509877	+	0.000	0.000	Merged-chr1-86509613-36
Merged-chr7-135713614-3	chr7	135713500	135713726	+	0.000	0.000	Merged-chr7-135713614-3
Merged-chr18-65405843-70	chr18	65405428	65406391	+	0.000	0.000	Merged-chr18-65405843-70
Merged-chr18-56716624-12	chr18	56716336	56716920	+	0.000	0.000	Merged-chr18-56716624-12
Merged-chr7-140132446-5	chr7	140132290	140132624	+	0.000	0.000	Merged-chr7-140132446-5
Merged-chr10-111473372-63	chr10	111472948	111473670	+	0.000	0.000	Merged-chr10-111473372-63
Merged-chr18-46176178-68	chr18	46175918	46176426	+	0.000	0.000	Merged-chr18-46176178-68
Merged-chr13-101632965-14	chr13	101632692	101633122	+	0.000	0.000	Merged-chr13-101632965-14
Merged-chr5-8669855-46	chr5	8669528	8670151	+	0.000	0.000	Merged-chr5-8669855-46
Merged-chr3-137078115-4	chr3	137077798	137078430	+	0.000	0.000	Merged-chr3-137078115-4
Merged-chr8-71561650-3	chr8	71561509	71561774	+	0.000	0.000	Merged-chr8-71561650-3
Merged-chr4-148038906-70	chr4	148038607	148039136	+	0.000	0.000	Merged-chr4-148038906-70
Merged-chr2-34913958-69	chr2	34913044	34914662	+	0.000	0.000	Merged-chr2-34913958-69
Merged-chr13-95765232-46	chr13	95764983	95765500	+	0.000	0.000	Merged-chr13-95765232-46
Merged-chr1-182506601-63	chr1	182506356	182506860	+	0.000	0.000	Merged-chr1-182506601-63
Merged-chr10-83951656-1	chr10	83951558	83951756	+	0.000	0.000	Merged-chr10-83951656-1
Merged-chr10-118172658-46	chr10	118172452	118172891	+	0.000	0.000	Merged-chr10-118172658-46
Merged-chr14-25459105-115	chr14	25458278	25459774	+	0.000	0.000	Merged-chr14-25459105-115
Merged-chr10-69351242-1	chr10	69351144	69351342	+	0.000	0.000	Merged-chr10-69351242-1
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr2-27540208-76	chr2	27539911	27540476	+	0.000	0.000	Merged-chr2-27540208-76
Merged-chr18-70578693-1	chr18	70578595	70578793	+	0.000	0.000	Merged-chr18-70578693-1
Merged-chr6-115995901-1	chr6	115995803	115996001	+	0.000	0.000	Merged-chr6-115995901-1
Merged-chr1-58392729-1	chr1	58392631	58392829	+	0.000	0.000	Merged-chr1-58392729-1
Merged-chr4-8954532-7	chr4	8954378	8954681	+	0.000	0.000	Merged-chr4-8954532-7
Merged-chr4-47716164-4	chr4	47716021	47716291	+	0.000	0.000	Merged-chr4-47716164-4
Merged-chr2-125121786-1	chr2	125121688	125121886	+	0.000	0.000	Merged-chr2-125121786-1
Merged-chr11-11775903-10	chr11	11775714	11776244	+	0.000	0.000	Merged-chr11-11775903-10
Merged-chr8-83998558-47	chr8	83998254	83998881	+	0.000	0.000	Merged-chr8-83998558-47
Merged-chr10-43578959-39	chr10	43578340	43579544	+	0.000	0.000	Merged-chr10-43578959-39
Merged-chr16-4719118-54	chr16	4718870	4719388	+	0.000	0.000	Merged-chr16-4719118-54
Merged-chr5-45675268-16	chr5	45675045	45675473	+	0.000	0.000	Merged-chr5-45675268-16
Merged-chr8-116073444-1	chr8	116073346	116073544	+	0.000	0.000	Merged-chr8-116073444-1
Merged-chr16-59522266-50	chr16	59522070	59522702	+	0.000	0.000	Merged-chr16-59522266-50
Merged-chr8-13677465-97	chr8	13676722	13678002	+	0.000	0.000	Merged-chr8-13677465-97
Merged-chr1-127496963-18	chr1	127496756	127497177	+	0.000	0.000	Merged-chr1-127496963-18
Merged-chr9-66060111-53	chr9	66059914	66060376	+	0.000	0.000	Merged-chr9-66060111-53
Merged-chr19-8984128-7	chr19	8983970	8984282	+	0.000	0.000	Merged-chr19-8984128-7
Merged-chr3-9863342-50	chr3	9863140	9863556	+	0.000	0.000	Merged-chr3-9863342-50
Merged-chr10-43901198-1	chr10	43901100	43901298	+	0.000	0.000	Merged-chr10-43901198-1
Merged-chrX-157480291-10	chrX	157480147	157480452	+	0.000	0.000	Merged-chrX-157480291-10
Merged-chr13-23534768-3	chr13	23534670	23534868	+	0.000	0.000	Merged-chr13-23534768-3
Merged-chr17-35836476-5	chr17	35836204	35836655	+	0.000	0.000	Merged-chr17-35836476-5
Merged-chr18-62122524-1	chr18	62122426	62122624	+	0.000	0.000	Merged-chr18-62122524-1
Merged-chr3-101284134-38	chr3	101283829	101284472	+	0.000	0.000	Merged-chr3-101284134-38
Merged-chr5-100569697-15	chr5	100569444	100569991	+	0.000	0.000	Merged-chr5-100569697-15
Merged-chr1-74295587-31	chr1	74295385	74295820	+	0.000	0.000	Merged-chr1-74295587-31
Merged-chr1-75218958-120	chr1	75218677	75219499	+	0.000	0.000	Merged-chr1-75218958-120
Merged-chr7-25181593-26	chr7	25181344	25181860	+	0.000	0.000	Merged-chr7-25181593-26
Merged-chr8-18950847-75	chr8	18950603	18951150	+	0.000	0.000	Merged-chr8-18950847-75
Merged-chr2-92008494-55	chr2	92008208	92008740	+	0.000	0.000	Merged-chr2-92008494-55
Merged-chr7-75887103-1	chr7	75887005	75887203	+	0.000	0.000	Merged-chr7-75887103-1
Merged-chr6-51494596-1	chr6	51494498	51494696	+	0.000	0.000	Merged-chr6-51494596-1
Merged-chr7-18892441-33	chr7	18892163	18892794	+	0.000	0.000	Merged-chr7-18892441-33
Merged-chr17-44735161-2	chr17	44735063	44735261	+	0.000	0.000	Merged-chr17-44735161-2
Merged-chr11-107443890-34	chr11	107443679	107444101	+	0.000	0.000	Merged-chr11-107443890-34
Merged-chr1-160045410-8	chr1	160045207	160045717	+	0.000	0.000	Merged-chr1-160045410-8
Merged-chr8-115144349-1	chr8	115144251	115144449	+	0.000	0.000	Merged-chr8-115144349-1
Merged-chr2-125253658-21	chr2	125253336	125253843	+	0.000	0.000	Merged-chr2-125253658-21
Merged-chr9-124079982-9	chr9	124079773	124080265	+	0.000	0.000	Merged-chr9-124079982-9
Merged-chr1-170993660-17	chr1	170993466	170993838	+	0.000	0.000	Merged-chr1-170993660-17
Merged-chr1-193285975-30	chr1	193285567	193286229	+	0.000	0.000	Merged-chr1-193285975-30
Merged-chr3-90629503-15	chr3	90629302	90629735	+	0.000	0.000	Merged-chr3-90629503-15
Merged-chr15-36760800-24	chr15	36760450	36761032	+	0.000	0.000	Merged-chr15-36760800-24
Merged-chr13-63365525-19	chr13	63365292	63365799	+	0.000	0.000	Merged-chr13-63365525-19
Merged-chr10-42031220-30	chr10	42031019	42031409	+	0.000	0.000	Merged-chr10-42031220-30
Merged-chr11-109785498-8	chr11	109785200	109785751	+	0.000	0.000	Merged-chr11-109785498-8
Merged-chr15-52944849-44	chr15	52944560	52945164	+	0.000	0.000	Merged-chr15-52944849-44
Merged-chr3-93555296-85	chr3	93554862	93555694	+	0.000	0.000	Merged-chr3-93555296-85
Merged-chr2-151994902-45	chr2	151994603	151995128	+	0.000	0.000	Merged-chr2-151994902-45
Merged-chr9-64918803-19	chr9	64918566	64918989	+	0.000	0.000	Merged-chr9-64918803-19
Merged-chr3-9816471-2	chr3	9816362	9816583	+	0.000	0.000	Merged-chr3-9816471-2
Merged-chr13-38145291-8	chr13	38145066	38145476	+	0.000	0.000	Merged-chr13-38145291-8
Merged-chr19-20239652-7	chr19	20239476	20239933	+	0.000	0.000	Merged-chr19-20239652-7
Merged-chr17-32389394-69	chr17	32388980	32389750	+	0.000	0.000	Merged-chr17-32389394-69
Merged-chr9-13247214-63	chr9	13247014	13247437	+	0.000	0.000	Merged-chr9-13247214-63
