#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_I--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_Naive.up.bed
Merged-chr17-79868435-11	chr17	79868202	79868672	+	0.000	0.000	Merged-chr17-79868435-11
Merged-chr5-115013221-2	chr5	115013085	115013360	+	0.000	0.000	Merged-chr5-115013221-2
Merged-chrX-167105630-1	chrX	167105532	167105730	+	0.000	0.000	Merged-chrX-167105630-1
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr4-109676801-91	chr4	109676554	109677029	+	0.000	0.000	Merged-chr4-109676801-91
Merged-chr5-124539005-4	chr5	124538841	124539180	+	0.000	0.000	Merged-chr5-124539005-4
Merged-chr10-44601754-5	chr10	44601608	44601877	+	0.000	0.000	Merged-chr10-44601754-5
Merged-chr10-19598256-42	chr10	19598065	19598531	+	0.000	0.000	Merged-chr10-19598256-42
Merged-chr19-5467382-16	chr19	5467115	5467580	+	0.000	0.000	Merged-chr19-5467382-16
Merged-chr6-108607013-11	chr6	108606811	108607271	+	0.000	0.000	Merged-chr6-108607013-11
Merged-chr12-103142833-43	chr12	103142605	103143072	+	0.000	0.000	Merged-chr12-103142833-43
Merged-chr1-159812982-41	chr1	159812678	159813194	+	0.000	0.000	Merged-chr1-159812982-41
Merged-chr3-86758843-24	chr3	86758610	86759043	+	0.000	0.000	Merged-chr3-86758843-24
Merged-chr19-6951320-68	chr19	6950538	6951778	+	0.000	0.000	Merged-chr19-6951320-68
Merged-chr19-12571951-5	chr19	12571787	12572100	+	0.000	0.000	Merged-chr19-12571951-5
Merged-chr2-180741561-6	chr2	180741432	180741711	+	0.000	0.000	Merged-chr2-180741561-6
Merged-chr4-138216948-119	chr4	138216613	138217386	+	0.000	0.000	Merged-chr4-138216948-119
Merged-chr19-12576850-12	chr19	12576622	12577039	+	0.000	0.000	Merged-chr19-12576850-12
Merged-chr4-147941137-73	chr4	147940685	147941635	+	0.000	0.000	Merged-chr4-147941137-73
Merged-chr17-83862747-3	chr17	83862525	83862916	+	0.000	0.000	Merged-chr17-83862747-3
Merged-chrX-106013363-5	chrX	106013154	106013545	+	0.000	0.000	Merged-chrX-106013363-5
Merged-chr9-64797561-46	chr9	64797234	64797792	+	0.000	0.000	Merged-chr9-64797561-46
Merged-chr1-181928626-21	chr1	181928477	181928804	+	0.000	0.000	Merged-chr1-181928626-21
Merged-chr7-81213018-117	chr7	81212302	81213701	+	0.000	0.000	Merged-chr7-81213018-117
Merged-chr18-84073759-5	chr18	84073578	84073956	+	0.000	0.000	Merged-chr18-84073759-5
Merged-chrX-164402268-12	chrX	164402100	164402459	+	0.000	0.000	Merged-chrX-164402268-12
Merged-chr2-32608716-12	chr2	32608537	32608972	+	0.000	0.000	Merged-chr2-32608716-12
Merged-chr19-43517953-1	chr19	43517855	43518053	+	0.000	0.000	Merged-chr19-43517953-1
Merged-chr4-133024379-9	chr4	133024085	133024543	+	0.000	0.000	Merged-chr4-133024379-9
Merged-chr5-105004765-44	chr5	105004490	105005088	+	0.000	0.000	Merged-chr5-105004765-44
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr14-121315210-25	chr14	121314886	121315534	+	0.000	0.000	Merged-chr14-121315210-25
Merged-chr19-55773145-3	chr19	55773025	55773284	+	0.000	0.000	Merged-chr19-55773145-3
Merged-chr19-8980902-23	chr19	8980763	8981040	+	0.000	0.000	Merged-chr19-8980902-23
Merged-chr5-30072901-1	chr5	30072803	30073001	+	0.000	0.000	Merged-chr5-30072901-1
Merged-chr2-9803115-6	chr2	9802891	9803327	+	0.000	0.000	Merged-chr2-9803115-6
Merged-chr11-98563246-6	chr11	98563101	98563383	+	0.000	0.000	Merged-chr11-98563246-6
Merged-chr3-136837708-14	chr3	136837482	136837938	+	0.000	0.000	Merged-chr3-136837708-14
Merged-chr7-122159598-98	chr7	122158996	122160704	+	0.000	0.000	Merged-chr7-122159598-98
Merged-chr7-80534916-95	chr7	80534678	80535100	+	0.000	0.000	Merged-chr7-80534916-95
Merged-chr13-63247258-3	chr13	63247113	63247439	+	0.000	0.000	Merged-chr13-63247258-3
Merged-chr17-28500526-6	chr17	28500406	28500669	+	0.000	0.000	Merged-chr17-28500526-6
Merged-chr5-62772215-28	chr5	62771937	62772520	+	0.000	0.000	Merged-chr5-62772215-28
Merged-chr12-86693487-27	chr12	86692880	86693882	+	0.000	0.000	Merged-chr12-86693487-27
Merged-chr15-102150590-42	chr15	102150330	102150970	+	0.000	0.000	Merged-chr15-102150590-42
Merged-chr13-55600391-79	chr13	55599808	55600990	+	0.000	0.000	Merged-chr13-55600391-79
Merged-chr2-128162745-2	chr2	128162594	128162898	+	0.000	0.000	Merged-chr2-128162745-2
Merged-chr17-12205812-57	chr17	12205512	12206105	+	0.000	0.000	Merged-chr17-12205812-57
Merged-chr17-86167734-125	chr17	86167290	86168188	+	0.000	0.000	Merged-chr17-86167734-125
Merged-chr4-8813998-7	chr4	8813862	8814123	+	0.000	0.000	Merged-chr4-8813998-7
Merged-chr3-27331014-40	chr3	27330703	27331249	+	0.000	0.000	Merged-chr3-27331014-40
Merged-chr12-55051446-14	chr12	55051237	55051710	+	0.000	0.000	Merged-chr12-55051446-14
Merged-chr10-120201398-12	chr10	120201160	120201586	+	0.000	0.000	Merged-chr10-120201398-12
Merged-chr17-44609382-56	chr17	44608869	44609910	+	0.000	0.000	Merged-chr17-44609382-56
Merged-chr13-60897577-48	chr13	60897236	60897830	+	0.000	0.000	Merged-chr13-60897577-48
Merged-chr17-87299066-53	chr17	87298673	87299391	+	0.000	0.000	Merged-chr17-87299066-53
Merged-chr1-189662049-19	chr1	189661871	189662288	+	0.000	0.000	Merged-chr1-189662049-19
Merged-chr13-51645849-3	chr13	51645660	51645997	+	0.000	0.000	Merged-chr13-51645849-3
Merged-chr5-113506279-23	chr5	113505928	113506765	+	0.000	0.000	Merged-chr5-113506279-23
Merged-chr2-163725478-1	chr2	163725380	163725578	+	0.000	0.000	Merged-chr2-163725478-1
Merged-chr9-44019706-2	chr9	44019585	44019830	+	0.000	0.000	Merged-chr9-44019706-2
Merged-chr19-45749414-69	chr19	45748915	45749790	+	0.000	0.000	Merged-chr19-45749414-69
Merged-chr13-101706581-30	chr13	101706371	101706776	+	0.000	0.000	Merged-chr13-101706581-30
Merged-chr2-11355827-17	chr2	11355656	11356006	+	0.000	0.000	Merged-chr2-11355827-17
Merged-chr5-52741943-98	chr5	52741548	52742162	+	0.000	0.000	Merged-chr5-52741943-98
Merged-chr12-111809959-15	chr12	111809708	111810153	+	0.000	0.000	Merged-chr12-111809959-15
Merged-chr3-84630888-13	chr3	84630644	84631038	+	0.000	0.000	Merged-chr3-84630888-13
Merged-chr2-128422805-32	chr2	128422601	128422972	+	0.000	0.000	Merged-chr2-128422805-32
Merged-chr8-22186970-1	chr8	22186872	22187070	+	0.000	0.000	Merged-chr8-22186970-1
Merged-chr10-44537964-16	chr10	44537796	44538255	+	0.000	0.000	Merged-chr10-44537964-16
Merged-chr2-71787780-1	chr2	71787682	71787880	+	0.000	0.000	Merged-chr2-71787780-1
Merged-chr2-128117807-36	chr2	128117593	128117996	+	0.000	0.000	Merged-chr2-128117807-36
Merged-chr7-74351466-1	chr7	74351368	74351566	+	0.000	0.000	Merged-chr7-74351466-1
Merged-chr13-24467982-34	chr13	24467775	24468170	+	0.000	0.000	Merged-chr13-24467982-34
Merged-chr16-37009403-7	chr16	37009253	37009530	+	0.000	0.000	Merged-chr16-37009403-7
Merged-chr1-193329901-89	chr1	193329502	193330704	+	0.000	0.000	Merged-chr1-193329901-89
Merged-chr1-163994937-75	chr1	163994740	163995177	+	0.000	0.000	Merged-chr1-163994937-75
Merged-chr1-166409070-1	chr1	166408972	166409170	+	0.000	0.000	Merged-chr1-166409070-1
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr7-74553952-1	chr7	74553854	74554052	+	0.000	0.000	Merged-chr7-74553952-1
Merged-chr9-70421645-53	chr9	70421377	70421896	+	0.000	0.000	Merged-chr9-70421645-53
Merged-chr4-149562585-29	chr4	149562403	149562849	+	0.000	0.000	Merged-chr4-149562585-29
Merged-chr2-79124485-40	chr2	79124325	79124641	+	0.000	0.000	Merged-chr2-79124485-40
Merged-chr3-9786855-28	chr3	9786588	9787101	+	0.000	0.000	Merged-chr3-9786855-28
Merged-chr9-119088323-51	chr9	119088056	119088611	+	0.000	0.000	Merged-chr9-119088323-51
Merged-chr14-75786967-70	chr14	75786761	75787304	+	0.000	0.000	Merged-chr14-75786967-70
Merged-chr16-38476219-1	chr16	38476121	38476319	+	0.000	0.000	Merged-chr16-38476219-1
Merged-chr6-82747432-7	chr6	82747261	82747627	+	0.000	0.000	Merged-chr6-82747432-7
Merged-chr5-99978841-118	chr5	99978380	99979412	+	0.000	0.000	Merged-chr5-99978841-118
Merged-chr4-89366882-6	chr4	89366724	89367037	+	0.000	0.000	Merged-chr4-89366882-6
Merged-chr2-127143269-68	chr2	127142704	127143672	+	0.000	0.000	Merged-chr2-127143269-68
Merged-chr1-131910847-123	chr1	131910607	131911370	+	0.000	0.000	Merged-chr1-131910847-123
Merged-chr15-78896310-38	chr15	78896028	78896545	+	0.000	0.000	Merged-chr15-78896310-38
Merged-chr10-91188013-33	chr10	91187737	91188334	+	0.000	0.000	Merged-chr10-91188013-33
Merged-chr2-90570407-26	chr2	90570178	90570668	+	0.000	0.000	Merged-chr2-90570407-26
Merged-chr19-56687212-16	chr19	56686962	56687459	+	0.000	0.000	Merged-chr19-56687212-16
Merged-chr16-77017999-2	chr16	77017888	77018113	+	0.000	0.000	Merged-chr16-77017999-2
Merged-chr12-51567271-27	chr12	51567089	51567542	+	0.000	0.000	Merged-chr12-51567271-27
Merged-chr9-44043404-33	chr9	44043185	44043736	+	0.000	0.000	Merged-chr9-44043404-33
Merged-chr9-57260668-1	chr9	57260570	57260768	+	0.000	0.000	Merged-chr9-57260668-1
Merged-chr17-35861437-48	chr17	35861112	35861618	+	0.000	0.000	Merged-chr17-35861437-48
Merged-chr8-106935801-152	chr8	106935103	106936442	+	0.000	0.000	Merged-chr8-106935801-152
Merged-chr13-63274178-2	chr13	63274072	63274286	+	0.000	0.000	Merged-chr13-63274178-2
Merged-chr1-182225083-33	chr1	182224861	182225344	+	0.000	0.000	Merged-chr1-182225083-33
Merged-chr5-150262822-29	chr5	150262584	150263093	+	0.000	0.000	Merged-chr5-150262822-29
Merged-chr8-104415870-1	chr8	104415772	104415970	+	0.000	0.000	Merged-chr8-104415870-1
Merged-chr9-106882262-1	chr9	106882164	106882362	+	0.000	0.000	Merged-chr9-106882262-1
Merged-chr17-53479935-1	chr17	53479837	53480035	+	0.000	0.000	Merged-chr17-53479935-1
Merged-chr2-105386581-16	chr2	105386403	105386763	+	0.000	0.000	Merged-chr2-105386581-16
Merged-chr7-113498519-10	chr7	113498379	113498693	+	0.000	0.000	Merged-chr7-113498519-10
Merged-chr2-79065510-16	chr2	79065327	79065671	+	0.000	0.000	Merged-chr2-79065510-16
Merged-chr16-78619674-38	chr16	78619436	78620126	+	0.000	0.000	Merged-chr16-78619674-38
Merged-chr16-91789935-50	chr16	91789749	91790207	+	0.000	0.000	Merged-chr16-91789935-50
Merged-chr16-91869561-33	chr16	91869299	91869859	+	0.000	0.000	Merged-chr16-91869561-33
Merged-chr11-67559520-1	chr11	67559422	67559620	+	0.000	0.000	Merged-chr11-67559520-1
Merged-chr14-121427118-15	chr14	121426946	121427272	+	0.000	0.000	Merged-chr14-121427118-15
Merged-chr2-52571551-87	chr2	52570880	52572141	+	0.000	0.000	Merged-chr2-52571551-87
Merged-chr8-94186753-31	chr8	94186494	94187104	+	0.000	0.000	Merged-chr8-94186753-31
Merged-chr14-20180056-7	chr14	20179876	20180228	+	0.000	0.000	Merged-chr14-20180056-7
Merged-chr4-8839755-26	chr4	8839526	8840070	+	0.000	0.000	Merged-chr4-8839755-26
Merged-chr18-56716624-12	chr18	56716336	56716920	+	0.000	0.000	Merged-chr18-56716624-12
Merged-chr9-69442817-32	chr9	69442578	69443039	+	0.000	0.000	Merged-chr9-69442817-32
Merged-chr13-101698249-1	chr13	101698151	101698349	+	0.000	0.000	Merged-chr13-101698249-1
Merged-chr7-140132446-5	chr7	140132290	140132624	+	0.000	0.000	Merged-chr7-140132446-5
Merged-chr1-191718798-4	chr1	191718687	191718916	+	0.000	0.000	Merged-chr1-191718798-4
Merged-chr13-101632965-14	chr13	101632692	101633122	+	0.000	0.000	Merged-chr13-101632965-14
Merged-chr2-126474389-26	chr2	126474116	126474760	+	0.000	0.000	Merged-chr2-126474389-26
Merged-chr5-105415697-66	chr5	105415480	105415898	+	0.000	0.000	Merged-chr5-105415697-66
Merged-chr4-141863935-12	chr4	141863791	141864106	+	0.000	0.000	Merged-chr4-141863935-12
Merged-chr19-56679584-45	chr19	56679220	56679879	+	0.000	0.000	Merged-chr19-56679584-45
Merged-chr12-100747316-18	chr12	100747158	100747492	+	0.000	0.000	Merged-chr12-100747316-18
Merged-chr7-114117392-99	chr7	114116758	114117951	+	0.000	0.000	Merged-chr7-114117392-99
Merged-chr12-55041186-21	chr12	55040926	55041466	+	0.000	0.000	Merged-chr12-55041186-21
Merged-chr3-27291392-45	chr3	27291089	27291755	+	0.000	0.000	Merged-chr3-27291392-45
Merged-chr1-191711825-10	chr1	191711686	191711968	+	0.000	0.000	Merged-chr1-191711825-10
Merged-chr2-126491626-26	chr2	126491315	126491849	+	0.000	0.000	Merged-chr2-126491626-26
Merged-chr16-59570986-31	chr16	59570735	59571234	+	0.000	0.000	Merged-chr16-59570986-31
Merged-chrX-153237516-2	chrX	153237347	153237687	+	0.000	0.000	Merged-chrX-153237516-2
Merged-chr15-102296189-42	chr15	102295879	102296399	+	0.000	0.000	Merged-chr15-102296189-42
Merged-chr13-51638880-34	chr13	51638483	51639207	+	0.000	0.000	Merged-chr13-51638880-34
Merged-chr2-167313855-44	chr2	167313655	167314090	+	0.000	0.000	Merged-chr2-167313855-44
Merged-chr17-12119311-105	chr17	12118921	12119981	+	0.000	0.000	Merged-chr17-12119311-105
Merged-chr3-96570858-20	chr3	96570642	96571034	+	0.000	0.000	Merged-chr3-96570858-20
Merged-chr13-63243770-25	chr13	63243421	63243977	+	0.000	0.000	Merged-chr13-63243770-25
Merged-chr9-122313328-1	chr9	122313230	122313428	+	0.000	0.000	Merged-chr9-122313328-1
Merged-chr9-61947278-11	chr9	61947130	61947462	+	0.000	0.000	Merged-chr9-61947278-11
Merged-chr4-152477703-71	chr4	152477412	152477934	+	0.000	0.000	Merged-chr4-152477703-71
Merged-chr18-10617907-57	chr18	10617645	10618196	+	0.000	0.000	Merged-chr18-10617907-57
Merged-chr14-77871424-97	chr14	77871161	77871613	+	0.000	0.000	Merged-chr14-77871424-97
Merged-chr4-43936425-4	chr4	43936290	43936583	+	0.000	0.000	Merged-chr4-43936425-4
Merged-chr11-104538419-8	chr11	104538230	104538558	+	0.000	0.000	Merged-chr11-104538419-8
Merged-chr7-99946527-26	chr7	99946262	99946771	+	0.000	0.000	Merged-chr7-99946527-26
Merged-chr19-5704695-101	chr19	5704211	5705185	+	0.000	0.000	Merged-chr19-5704695-101
Merged-chr17-87327256-1	chr17	87327158	87327356	+	0.000	0.000	Merged-chr17-87327256-1
Merged-chr13-23761980-175	chr13	23761481	23762617	+	0.000	0.000	Merged-chr13-23761980-175
Merged-chr16-4719118-54	chr16	4718870	4719388	+	0.000	0.000	Merged-chr16-4719118-54
Merged-chr17-57100117-14	chr17	57099939	57100289	+	0.000	0.000	Merged-chr17-57100117-14
Merged-chr13-101702260-81	chr13	101701953	101702598	+	0.000	0.000	Merged-chr13-101702260-81
Merged-chr11-53775083-5	chr11	53774927	53775261	+	0.000	0.000	Merged-chr11-53775083-5
Merged-chr8-70804819-59	chr8	70804458	70805134	+	0.000	0.000	Merged-chr8-70804819-59
Merged-chr16-59522266-50	chr16	59522070	59522702	+	0.000	0.000	Merged-chr16-59522266-50
Merged-chr1-127496963-18	chr1	127496756	127497177	+	0.000	0.000	Merged-chr1-127496963-18
Merged-chr5-62764325-7	chr5	62764139	62764501	+	0.000	0.000	Merged-chr5-62764325-7
Merged-chr19-8984128-7	chr19	8983970	8984282	+	0.000	0.000	Merged-chr19-8984128-7
Merged-chr3-9863342-50	chr3	9863140	9863556	+	0.000	0.000	Merged-chr3-9863342-50
Merged-chr2-32867635-14	chr2	32867468	32867817	+	0.000	0.000	Merged-chr2-32867635-14
Merged-chrX-157480291-10	chrX	157480147	157480452	+	0.000	0.000	Merged-chrX-157480291-10
Merged-chr7-140125748-70	chr7	140125517	140126207	+	0.000	0.000	Merged-chr7-140125748-70
Merged-chr10-83719047-59	chr10	83718791	83719256	+	0.000	0.000	Merged-chr10-83719047-59
Merged-chr2-9564694-16	chr2	9564509	9564859	+	0.000	0.000	Merged-chr2-9564694-16
Merged-chr17-48466693-2	chr17	48466577	48466811	+	0.000	0.000	Merged-chr17-48466693-2
Merged-chr7-74350488-1	chr7	74350390	74350588	+	0.000	0.000	Merged-chr7-74350488-1
Merged-chr18-62122524-1	chr18	62122426	62122624	+	0.000	0.000	Merged-chr18-62122524-1
Merged-chr8-106973584-40	chr8	106973222	106973903	+	0.000	0.000	Merged-chr8-106973584-40
Merged-chr4-156035228-3	chr4	156035117	156035349	+	0.000	0.000	Merged-chr4-156035228-3
Merged-chr4-154133534-2	chr4	154133435	154133636	+	0.000	0.000	Merged-chr4-154133534-2
Merged-chr6-137535864-11	chr6	137535655	137536057	+	0.000	0.000	Merged-chr6-137535864-11
Merged-chr18-4296046-21	chr18	4295822	4296204	+	0.000	0.000	Merged-chr18-4296046-21
Merged-chr9-123938225-36	chr9	123937698	123938420	+	0.000	0.000	Merged-chr9-123938225-36
Merged-chr5-100569697-15	chr5	100569444	100569991	+	0.000	0.000	Merged-chr5-100569697-15
Merged-chr17-83816542-35	chr17	83816137	83816865	+	0.000	0.000	Merged-chr17-83816542-35
Merged-chr1-74295587-31	chr1	74295385	74295820	+	0.000	0.000	Merged-chr1-74295587-31
Merged-chr17-44557338-45	chr17	44557052	44557553	+	0.000	0.000	Merged-chr17-44557338-45
