#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_I--ATAC_peaks.bed all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Th1.up.bed
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr5-124539005-4	chr5	124538841	124539180	+	0.000	0.000	Merged-chr5-124539005-4
Merged-chr4-118179905-83	chr4	118179666	118180141	+	0.000	0.000	Merged-chr4-118179905-83
Merged-chr2-90579647-1	chr2	90579549	90579747	+	0.000	0.000	Merged-chr2-90579647-1
Merged-chr2-128159167-18	chr2	128158986	128159397	+	0.000	0.000	Merged-chr2-128159167-18
Merged-chr19-6951320-68	chr19	6950538	6951778	+	0.000	0.000	Merged-chr19-6951320-68
Merged-chr9-61925004-1	chr9	61924906	61925104	+	0.000	0.000	Merged-chr9-61925004-1
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr17-83862747-3	chr17	83862525	83862916	+	0.000	0.000	Merged-chr17-83862747-3
Merged-chr18-65800547-87	chr18	65800259	65800878	+	0.000	0.000	Merged-chr18-65800547-87
Merged-chr7-81213018-117	chr7	81212302	81213701	+	0.000	0.000	Merged-chr7-81213018-117
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chrX-164402268-12	chrX	164402100	164402459	+	0.000	0.000	Merged-chrX-164402268-12
Merged-chr2-32608716-12	chr2	32608537	32608972	+	0.000	0.000	Merged-chr2-32608716-12
Merged-chr19-43517953-1	chr19	43517855	43518053	+	0.000	0.000	Merged-chr19-43517953-1
Merged-chr5-105004765-44	chr5	105004490	105005088	+	0.000	0.000	Merged-chr5-105004765-44
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr19-55773145-3	chr19	55773025	55773284	+	0.000	0.000	Merged-chr19-55773145-3
Merged-chr5-30072901-1	chr5	30072803	30073001	+	0.000	0.000	Merged-chr5-30072901-1
Merged-chr2-9803115-6	chr2	9802891	9803327	+	0.000	0.000	Merged-chr2-9803115-6
Merged-chr11-98563246-6	chr11	98563101	98563383	+	0.000	0.000	Merged-chr11-98563246-6
Merged-chr3-136837708-14	chr3	136837482	136837938	+	0.000	0.000	Merged-chr3-136837708-14
Merged-chr18-73792678-3	chr18	73792554	73792792	+	0.000	0.000	Merged-chr18-73792678-3
Merged-chr7-122159598-98	chr7	122158996	122160704	+	0.000	0.000	Merged-chr7-122159598-98
Merged-chr13-75797907-63	chr13	75797664	75798137	+	0.000	0.000	Merged-chr13-75797907-63
Merged-chr6-57706887-3	chr6	57706688	57707054	+	0.000	0.000	Merged-chr6-57706887-3
Merged-chr2-128162745-2	chr2	128162594	128162898	+	0.000	0.000	Merged-chr2-128162745-2
Merged-chr14-103630729-17	chr14	103630557	103630942	+	0.000	0.000	Merged-chr14-103630729-17
Merged-chr17-86167734-125	chr17	86167290	86168188	+	0.000	0.000	Merged-chr17-86167734-125
Merged-chr10-9856019-18	chr10	9855657	9856239	+	0.000	0.000	Merged-chr10-9856019-18
Merged-chr1-189662049-19	chr1	189661871	189662288	+	0.000	0.000	Merged-chr1-189662049-19
Merged-chr13-51645849-3	chr13	51645660	51645997	+	0.000	0.000	Merged-chr13-51645849-3
Merged-chr2-52176630-15	chr2	52176409	52176850	+	0.000	0.000	Merged-chr2-52176630-15
Merged-chr2-163725478-1	chr2	163725380	163725578	+	0.000	0.000	Merged-chr2-163725478-1
Merged-chr18-4353243-81	chr18	4352755	4353701	+	0.000	0.000	Merged-chr18-4353243-81
Merged-chr2-11355827-17	chr2	11355656	11356006	+	0.000	0.000	Merged-chr2-11355827-17
Merged-chr5-52741943-98	chr5	52741548	52742162	+	0.000	0.000	Merged-chr5-52741943-98
Merged-chr12-24652044-2	chr12	24651911	24652180	+	0.000	0.000	Merged-chr12-24652044-2
Merged-chr2-128422805-32	chr2	128422601	128422972	+	0.000	0.000	Merged-chr2-128422805-32
Merged-chr17-25797064-37	chr17	25796793	25797369	+	0.000	0.000	Merged-chr17-25797064-37
Merged-chr2-71787780-1	chr2	71787682	71787880	+	0.000	0.000	Merged-chr2-71787780-1
Merged-chr2-128117807-36	chr2	128117593	128117996	+	0.000	0.000	Merged-chr2-128117807-36
Merged-chr7-74351466-1	chr7	74351368	74351566	+	0.000	0.000	Merged-chr7-74351466-1
Merged-chr13-24467982-34	chr13	24467775	24468170	+	0.000	0.000	Merged-chr13-24467982-34
Merged-chr16-37009403-7	chr16	37009253	37009530	+	0.000	0.000	Merged-chr16-37009403-7
Merged-chr6-135511219-1	chr6	135511121	135511319	+	0.000	0.000	Merged-chr6-135511219-1
Merged-chr4-134460498-5	chr4	134460317	134460698	+	0.000	0.000	Merged-chr4-134460498-5
Merged-chr1-166409070-1	chr1	166408972	166409170	+	0.000	0.000	Merged-chr1-166409070-1
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr7-74553952-1	chr7	74553854	74554052	+	0.000	0.000	Merged-chr7-74553952-1
Merged-chr2-79124485-40	chr2	79124325	79124641	+	0.000	0.000	Merged-chr2-79124485-40
Merged-chr9-119088323-51	chr9	119088056	119088611	+	0.000	0.000	Merged-chr9-119088323-51
Merged-chr10-40381472-1	chr10	40381374	40381572	+	0.000	0.000	Merged-chr10-40381472-1
Merged-chr16-38476219-1	chr16	38476121	38476319	+	0.000	0.000	Merged-chr16-38476219-1
Merged-chr4-89366882-6	chr4	89366724	89367037	+	0.000	0.000	Merged-chr4-89366882-6
Merged-chr5-105152132-21	chr5	105151923	105152340	+	0.000	0.000	Merged-chr5-105152132-21
Merged-chr7-13038148-88	chr7	13037964	13038533	+	0.000	0.000	Merged-chr7-13038148-88
Merged-chr19-56687212-16	chr19	56686962	56687459	+	0.000	0.000	Merged-chr19-56687212-16
Merged-chr16-77017999-2	chr16	77017888	77018113	+	0.000	0.000	Merged-chr16-77017999-2
Merged-chr17-44734692-7	chr17	44734475	44734889	+	0.000	0.000	Merged-chr17-44734692-7
Merged-chr8-104415870-1	chr8	104415772	104415970	+	0.000	0.000	Merged-chr8-104415870-1
Merged-chr16-44305871-15	chr16	44305703	44306084	+	0.000	0.000	Merged-chr16-44305871-15
Merged-chr2-53215671-1	chr2	53215573	53215771	+	0.000	0.000	Merged-chr2-53215671-1
Merged-chr16-78619674-38	chr16	78619436	78620126	+	0.000	0.000	Merged-chr16-78619674-38
Merged-chr6-38298309-1	chr6	38298211	38298409	+	0.000	0.000	Merged-chr6-38298309-1
Merged-chr4-133264796-4	chr4	133264670	133264944	+	0.000	0.000	Merged-chr4-133264796-4
Merged-chr16-91869561-33	chr16	91869299	91869859	+	0.000	0.000	Merged-chr16-91869561-33
Merged-chr7-135713614-3	chr7	135713500	135713726	+	0.000	0.000	Merged-chr7-135713614-3
Merged-chr8-94186753-31	chr8	94186494	94187104	+	0.000	0.000	Merged-chr8-94186753-31
Merged-chr18-46176178-68	chr18	46175918	46176426	+	0.000	0.000	Merged-chr18-46176178-68
Merged-chr1-191718798-4	chr1	191718687	191718916	+	0.000	0.000	Merged-chr1-191718798-4
Merged-chr13-101632965-14	chr13	101632692	101633122	+	0.000	0.000	Merged-chr13-101632965-14
Merged-chr12-100747316-18	chr12	100747158	100747492	+	0.000	0.000	Merged-chr12-100747316-18
Merged-chr10-83951656-1	chr10	83951558	83951756	+	0.000	0.000	Merged-chr10-83951656-1
Merged-chr13-51638880-34	chr13	51638483	51639207	+	0.000	0.000	Merged-chr13-51638880-34
Merged-chr14-25459105-115	chr14	25458278	25459774	+	0.000	0.000	Merged-chr14-25459105-115
Merged-chr14-20793520-2	chr14	20793418	20793624	+	0.000	0.000	Merged-chr14-20793520-2
Merged-chr13-63243770-25	chr13	63243421	63243977	+	0.000	0.000	Merged-chr13-63243770-25
Merged-chr9-61947278-11	chr9	61947130	61947462	+	0.000	0.000	Merged-chr9-61947278-11
Merged-chr4-152477703-71	chr4	152477412	152477934	+	0.000	0.000	Merged-chr4-152477703-71
Merged-chr4-8954532-7	chr4	8954378	8954681	+	0.000	0.000	Merged-chr4-8954532-7
Merged-chr17-57100117-14	chr17	57099939	57100289	+	0.000	0.000	Merged-chr17-57100117-14
Merged-chr16-59522266-50	chr16	59522070	59522702	+	0.000	0.000	Merged-chr16-59522266-50
Merged-chr1-127496963-18	chr1	127496756	127497177	+	0.000	0.000	Merged-chr1-127496963-18
Merged-chr3-9863342-50	chr3	9863140	9863556	+	0.000	0.000	Merged-chr3-9863342-50
Merged-chrX-157480291-10	chrX	157480147	157480452	+	0.000	0.000	Merged-chrX-157480291-10
Merged-chr4-117133999-76	chr4	117133395	117134322	+	0.000	0.000	Merged-chr4-117133999-76
Merged-chr7-74350488-1	chr7	74350390	74350588	+	0.000	0.000	Merged-chr7-74350488-1
Merged-chr18-62122524-1	chr18	62122426	62122624	+	0.000	0.000	Merged-chr18-62122524-1
Merged-chr5-100569697-15	chr5	100569444	100569991	+	0.000	0.000	Merged-chr5-100569697-15
Merged-chr1-74295587-31	chr1	74295385	74295820	+	0.000	0.000	Merged-chr1-74295587-31
Merged-chr17-44735161-2	chr17	44735063	44735261	+	0.000	0.000	Merged-chr17-44735161-2
Merged-chr14-121366379-77	chr14	121366144	121366596	+	0.000	0.000	Merged-chr14-121366379-77
Merged-chr9-32487034-1	chr9	32486936	32487134	+	0.000	0.000	Merged-chr9-32487034-1
Merged-chr10-42031220-30	chr10	42031019	42031409	+	0.000	0.000	Merged-chr10-42031220-30
Merged-chr15-52944849-44	chr15	52944560	52945164	+	0.000	0.000	Merged-chr15-52944849-44
Merged-chr3-9816471-2	chr3	9816362	9816583	+	0.000	0.000	Merged-chr3-9816471-2
Merged-chr18-26015228-1	chr18	26015130	26015328	+	0.000	0.000	Merged-chr18-26015228-1
Merged-chr10-44708515-1	chr10	44708417	44708615	+	0.000	0.000	Merged-chr10-44708515-1
Merged-chr19-20239652-7	chr19	20239476	20239933	+	0.000	0.000	Merged-chr19-20239652-7
Merged-chr8-123116961-1	chr8	123116863	123117061	+	0.000	0.000	Merged-chr8-123116961-1
Merged-chr1-181839725-20	chr1	181839390	181839991	+	0.000	0.000	Merged-chr1-181839725-20
Merged-chr18-74780023-15	chr18	74779834	74780257	+	0.000	0.000	Merged-chr18-74780023-15
Merged-chr2-112555815-4	chr2	112555693	112555938	+	0.000	0.000	Merged-chr2-112555815-4
Merged-chr7-119856675-7	chr7	119856361	119856960	+	0.000	0.000	Merged-chr7-119856675-7
Merged-chr17-12768899-10	chr17	12768663	12769075	+	0.000	0.000	Merged-chr17-12768899-10
Merged-chr13-95891948-150	chr13	95891676	95892482	+	0.000	0.000	Merged-chr13-95891948-150
Merged-chr4-24574483-23	chr4	24574297	24574666	+	0.000	0.000	Merged-chr4-24574483-23
Merged-chr18-56687770-38	chr18	56687340	56688034	+	0.000	0.000	Merged-chr18-56687770-38
Merged-chr2-128464894-1	chr2	128464796	128464994	+	0.000	0.000	Merged-chr2-128464894-1
Merged-chr13-101867000-14	chr13	101866796	101867258	+	0.000	0.000	Merged-chr13-101867000-14
Merged-chr2-128126014-53	chr2	128125794	128126229	+	0.000	0.000	Merged-chr2-128126014-53
Merged-chr4-98923559-149	chr4	98923121	98923838	+	0.000	0.000	Merged-chr4-98923559-149
Merged-chr19-55254695-10	chr19	55254510	55254861	+	0.000	0.000	Merged-chr19-55254695-10
Merged-chr13-63261451-54	chr13	63261176	63261689	+	0.000	0.000	Merged-chr13-63261451-54
Merged-chr10-81560396-28	chr10	81560175	81560642	+	0.000	0.000	Merged-chr10-81560396-28
Merged-chr12-55080362-72	chr12	55080075	55080597	+	0.000	0.000	Merged-chr12-55080362-72
Merged-chr2-113914576-9	chr2	113914412	113914798	+	0.000	0.000	Merged-chr2-113914576-9
Merged-chr2-64772163-1	chr2	64772065	64772263	+	0.000	0.000	Merged-chr2-64772163-1
Merged-chr9-69440174-25	chr9	69439808	69440664	+	0.000	0.000	Merged-chr9-69440174-25
Merged-chr7-30535126-64	chr7	30534955	30535383	+	0.000	0.000	Merged-chr7-30535126-64
Merged-chr7-126862248-102	chr7	126861924	126862484	+	0.000	0.000	Merged-chr7-126862248-102
Merged-chr10-41893478-1	chr10	41893380	41893578	+	0.000	0.000	Merged-chr10-41893478-1
Merged-chr1-134059074-13	chr1	134058952	134059221	+	0.000	0.000	Merged-chr1-134059074-13
Merged-chr5-21354717-33	chr5	21354417	21354961	+	0.000	0.000	Merged-chr5-21354717-33
Merged-chr19-41259056-20	chr19	41258891	41259214	+	0.000	0.000	Merged-chr19-41259056-20
Merged-chr6-82772203-1	chr6	82772105	82772303	+	0.000	0.000	Merged-chr6-82772203-1
Merged-chr7-132931475-89	chr7	132931025	132931721	+	0.000	0.000	Merged-chr7-132931475-89
Merged-chr7-97361642-27	chr7	97361441	97361844	+	0.000	0.000	Merged-chr7-97361642-27
Merged-chr2-52633032-17	chr2	52632804	52633340	+	0.000	0.000	Merged-chr2-52633032-17
Merged-chr1-191486758-12	chr1	191486494	191487003	+	0.000	0.000	Merged-chr1-191486758-12
Merged-chr1-189707798-1	chr1	189707700	189707898	+	0.000	0.000	Merged-chr1-189707798-1
Merged-chr6-127178132-9	chr6	127177846	127178314	+	0.000	0.000	Merged-chr6-127178132-9
Merged-chr4-72142320-1	chr4	72142222	72142420	+	0.000	0.000	Merged-chr4-72142320-1
Merged-chr11-29705454-25	chr11	29705215	29705725	+	0.000	0.000	Merged-chr11-29705454-25
Merged-chr4-117110427-1	chr4	117110329	117110527	+	0.000	0.000	Merged-chr4-117110427-1
Merged-chr13-62964984-53	chr13	62964731	62965275	+	0.000	0.000	Merged-chr13-62964984-53
Merged-chr3-144065281-1	chr3	144065183	144065381	+	0.000	0.000	Merged-chr3-144065281-1
Merged-chr18-75410439-27	chr18	75410137	75410671	+	0.000	0.000	Merged-chr18-75410439-27
Merged-chr8-46663455-6	chr8	46663329	46663578	+	0.000	0.000	Merged-chr8-46663455-6
Merged-chr4-124928290-22	chr4	124928102	124928481	+	0.000	0.000	Merged-chr4-124928290-22
Merged-chr13-29974387-22	chr13	29974208	29974673	+	0.000	0.000	Merged-chr13-29974387-22
Merged-chr10-41810228-135	chr10	41810003	41810514	+	0.000	0.000	Merged-chr10-41810228-135
Merged-chrX-85869463-11	chrX	85869298	85869712	+	0.000	0.000	Merged-chrX-85869463-11
Merged-chr15-52887057-9	chr15	52886839	52887204	+	0.000	0.000	Merged-chr15-52887057-9
Merged-chr13-24603771-27	chr13	24603052	24604280	+	0.000	0.000	Merged-chr13-24603771-27
Merged-chr14-59943344-19	chr14	59943166	59943564	+	0.000	0.000	Merged-chr14-59943344-19
Merged-chr8-104416222-18	chr8	104416032	104416638	+	0.000	0.000	Merged-chr8-104416222-18
Merged-chr13-30693070-31	chr13	30692750	30693461	+	0.000	0.000	Merged-chr13-30693070-31
Merged-chr2-131191019-12	chr2	131190736	131191322	+	0.000	0.000	Merged-chr2-131191019-12
Merged-chrX-153238117-61	chrX	153237808	153238464	+	0.000	0.000	Merged-chrX-153238117-61
Merged-chr1-139179531-1	chr1	139179433	139179631	+	0.000	0.000	Merged-chr1-139179531-1
Merged-chr9-75197363-8	chr9	75197197	75197522	+	0.000	0.000	Merged-chr9-75197363-8
Merged-chr17-35997756-9	chr17	35997619	35997896	+	0.000	0.000	Merged-chr17-35997756-9
Merged-chr10-94378414-58	chr10	94378130	94378707	+	0.000	0.000	Merged-chr10-94378414-58
Merged-chr16-59564268-14	chr16	59564066	59564443	+	0.000	0.000	Merged-chr16-59564268-14
Merged-chr8-18899149-53	chr8	18898940	18899328	+	0.000	0.000	Merged-chr8-18899149-53
Merged-chr19-18620358-3	chr19	18620236	18620471	+	0.000	0.000	Merged-chr19-18620358-3
Merged-chr7-114086836-1	chr7	114086738	114086936	+	0.000	0.000	Merged-chr7-114086836-1
Merged-chr3-98339396-153	chr3	98338541	98340078	+	0.000	0.000	Merged-chr3-98339396-153
Merged-chr4-116735189-24	chr4	116734989	116735378	+	0.000	0.000	Merged-chr4-116735189-24
Merged-chr1-88641957-1	chr1	88641859	88642057	+	0.000	0.000	Merged-chr1-88641957-1
Merged-chr2-112507413-30	chr2	112506951	112507761	+	0.000	0.000	Merged-chr2-112507413-30
Merged-chr10-40420105-24	chr10	40419800	40420411	+	0.000	0.000	Merged-chr10-40420105-24
Merged-chr8-70810538-1	chr8	70810440	70810638	+	0.000	0.000	Merged-chr8-70810538-1
Merged-chr2-129066183-78	chr2	129065796	129066413	+	0.000	0.000	Merged-chr2-129066183-78
Merged-chr2-90582416-2	chr2	90582288	90582547	+	0.000	0.000	Merged-chr2-90582416-2
Merged-chr18-73836360-8	chr18	73836226	73836550	+	0.000	0.000	Merged-chr18-73836360-8
Merged-chr15-37791707-76	chr15	37791000	37792226	+	0.000	0.000	Merged-chr15-37791707-76
Merged-chr16-32215312-15	chr16	32215155	32215485	+	0.000	0.000	Merged-chr16-32215312-15
Merged-chr16-49859350-21	chr16	49859047	49859691	+	0.000	0.000	Merged-chr16-49859350-21
Merged-chr16-52438425-1	chr16	52438327	52438525	+	0.000	0.000	Merged-chr16-52438425-1
Merged-chr10-10108499-1	chr10	10108401	10108599	+	0.000	0.000	Merged-chr10-10108499-1
Merged-chr12-55079958-2	chr12	55079860	55080058	+	0.000	0.000	Merged-chr12-55079958-2
Merged-chr2-79180935-23	chr2	79180283	79181229	+	0.000	0.000	Merged-chr2-79180935-23
Merged-chr10-111473804-5	chr10	111473674	111473915	+	0.000	0.000	Merged-chr10-111473804-5
Merged-chr1-135144075-7	chr1	135143907	135144233	+	0.000	0.000	Merged-chr1-135144075-7
Merged-chr4-101062472-1	chr4	101062374	101062572	+	0.000	0.000	Merged-chr4-101062472-1
Merged-chr5-105142095-6	chr5	105141973	105142214	+	0.000	0.000	Merged-chr5-105142095-6
Merged-chr2-99830574-1	chr2	99830476	99830674	+	0.000	0.000	Merged-chr2-99830574-1
Merged-chr8-115112311-24	chr8	115112095	115112537	+	0.000	0.000	Merged-chr8-115112311-24
Merged-chr19-57611672-6	chr19	57611557	57611801	+	0.000	0.000	Merged-chr19-57611672-6
Merged-chr8-106936767-1	chr8	106936669	106936867	+	0.000	0.000	Merged-chr8-106936767-1
Merged-chr8-115110593-29	chr8	115110390	115110816	+	0.000	0.000	Merged-chr8-115110593-29
Merged-chr12-100420665-18	chr12	100420331	100420948	+	0.000	0.000	Merged-chr12-100420665-18
Merged-chr18-25538355-42	chr18	25537885	25538656	+	0.000	0.000	Merged-chr18-25538355-42
Merged-chr15-59399326-17	chr15	59399017	59399492	+	0.000	0.000	Merged-chr15-59399326-17
Merged-chr18-56685238-50	chr18	56685012	56685494	+	0.000	0.000	Merged-chr18-56685238-50
Merged-chr1-43168451-1	chr1	43168353	43168551	+	0.000	0.000	Merged-chr1-43168451-1
Merged-chr1-37624443-7	chr1	37624269	37624650	+	0.000	0.000	Merged-chr1-37624443-7
Merged-chr2-11266630-41	chr2	11266362	11266870	+	0.000	0.000	Merged-chr2-11266630-41
Merged-chr2-9878722-80	chr2	9878202	9879254	+	0.000	0.000	Merged-chr2-9878722-80
Merged-chr12-65172767-62	chr12	65172570	65173049	+	0.000	0.000	Merged-chr12-65172767-62
Merged-chr13-101759388-22	chr13	101759141	101759625	+	0.000	0.000	Merged-chr13-101759388-22
Merged-chr17-83850809-47	chr17	83850485	83851004	+	0.000	0.000	Merged-chr17-83850809-47
Merged-chr6-108658696-65	chr6	108658209	108659067	+	0.000	0.000	Merged-chr6-108658696-65
Merged-chr17-73744139-30	chr17	73743917	73744518	+	0.000	0.000	Merged-chr17-73744139-30
Merged-chr10-91270922-111	chr10	91270395	91271470	+	0.000	0.000	Merged-chr10-91270922-111
Merged-chr11-110498998-24	chr11	110498746	110499342	+	0.000	0.000	Merged-chr11-110498998-24
Merged-chr5-112296984-3	chr5	112296886	112297084	+	0.000	0.000	Merged-chr5-112296984-3
Merged-chr19-8993101-26	chr19	8992775	8993290	+	0.000	0.000	Merged-chr19-8993101-26
Merged-chr18-84028993-5	chr18	84028744	84029188	+	0.000	0.000	Merged-chr18-84028993-5
Merged-chr2-84936786-78	chr2	84936396	84937294	+	0.000	0.000	Merged-chr2-84936786-78
Merged-chr8-75108809-1	chr8	75108711	75108909	+	0.000	0.000	Merged-chr8-75108809-1
Merged-chr7-80554988-53	chr7	80554759	80555237	+	0.000	0.000	Merged-chr7-80554988-53
Merged-chr4-24569297-30	chr4	24569036	24569499	+	0.000	0.000	Merged-chr4-24569297-30
Merged-chr18-75374196-25	chr18	75373898	75374376	+	0.000	0.000	Merged-chr18-75374196-25
Merged-chr4-89479151-44	chr4	89478849	89479373	+	0.000	0.000	Merged-chr4-89479151-44
Merged-chr7-114087483-1	chr7	114087385	114087583	+	0.000	0.000	Merged-chr7-114087483-1
Merged-chr8-115568627-19	chr8	115568366	115568854	+	0.000	0.000	Merged-chr8-115568627-19
Merged-chr13-30692529-2	chr13	30692431	30692629	+	0.000	0.000	Merged-chr13-30692529-2
Merged-chr5-77130540-43	chr5	77130337	77130721	+	0.000	0.000	Merged-chr5-77130540-43
Merged-chr18-83993380-25	chr18	83993106	83993602	+	0.000	0.000	Merged-chr18-83993380-25
Merged-chr2-90482782-2	chr2	90482672	90482895	+	0.000	0.000	Merged-chr2-90482782-2
Merged-chr4-70601569-19	chr4	70601380	70601813	+	0.000	0.000	Merged-chr4-70601569-19
Merged-chr2-128156895-3	chr2	128156768	128157048	+	0.000	0.000	Merged-chr2-128156895-3
Merged-chr9-64779197-1	chr9	64779099	64779297	+	0.000	0.000	Merged-chr9-64779197-1
Merged-chr2-90547379-40	chr2	90547106	90547632	+	0.000	0.000	Merged-chr2-90547379-40
Merged-chr6-35538818-1	chr6	35538720	35538918	+	0.000	0.000	Merged-chr6-35538818-1
Merged-chr1-171648969-45	chr1	171648523	171649226	+	0.000	0.000	Merged-chr1-171648969-45
Merged-chr6-135375334-1	chr6	135375236	135375434	+	0.000	0.000	Merged-chr6-135375334-1
Merged-chr2-29859180-2	chr2	29859082	29859280	+	0.000	0.000	Merged-chr2-29859180-2
Merged-chr2-53330787-9	chr2	53330439	53331038	+	0.000	0.000	Merged-chr2-53330787-9
Merged-chr16-78573118-8	chr16	78572974	78573264	+	0.000	0.000	Merged-chr16-78573118-8
Merged-chr6-66538111-1	chr6	66538013	66538211	+	0.000	0.000	Merged-chr6-66538111-1
Merged-chr6-127155147-8	chr6	127154873	127155495	+	0.000	0.000	Merged-chr6-127155147-8
Merged-chr14-20378658-57	chr14	20378380	20378869	+	0.000	0.000	Merged-chr14-20378658-57
Merged-chr18-84085528-43	chr18	84085199	84085822	+	0.000	0.000	Merged-chr18-84085528-43
Merged-chr13-114896013-49	chr13	114895463	114896347	+	0.000	0.000	Merged-chr13-114896013-49
Merged-chr6-108839644-6	chr6	108839496	108839773	+	0.000	0.000	Merged-chr6-108839644-6
