#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Th1.dn.bed
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr18-64925642-4	chr18	64925450	64925875	+	0.000	0.000	Merged-chr18-64925642-4
Merged-chr7-125575832-4	chr7	125575630	125576009	+	0.000	0.000	Merged-chr7-125575832-4
Merged-chr11-109367099-1	chr11	109367001	109367199	+	0.000	0.000	Merged-chr11-109367099-1
Merged-chr16-10783266-6	chr16	10783161	10783379	+	0.000	0.000	Merged-chr16-10783266-6
Merged-chr15-5116701-74	chr15	5116300	5116991	+	0.000	0.000	Merged-chr15-5116701-74
Merged-chr5-75649003-1	chr5	75648905	75649103	+	0.000	0.000	Merged-chr5-75649003-1
Merged-chr7-4655608-1	chr7	4655510	4655708	+	0.000	0.000	Merged-chr7-4655608-1
Merged-chr11-3181415-55	chr11	3181133	3181614	+	0.000	0.000	Merged-chr11-3181415-55
Merged-chr13-42103449-92	chr13	42102987	42103696	+	0.000	0.000	Merged-chr13-42103449-92
Merged-chr17-15704757-20	chr17	15704540	15705055	+	0.000	0.000	Merged-chr17-15704757-20
Merged-chr4-3835460-93	chr4	3834929	3835840	+	0.000	0.000	Merged-chr4-3835460-93
Merged-chr10-59974606-81	chr10	59974256	59974865	+	0.000	0.000	Merged-chr10-59974606-81
Merged-chr6-105532794-1	chr6	105532696	105532894	+	0.000	0.000	Merged-chr6-105532794-1
Merged-chr7-80011699-4	chr7	80011597	80011809	+	0.000	0.000	Merged-chr7-80011699-4
Merged-chr10-94860976-37	chr10	94860727	94861160	+	0.000	0.000	Merged-chr10-94860976-37
Merged-chr3-116513134-67	chr3	116512853	116513340	+	0.000	0.000	Merged-chr3-116513134-67
Merged-chr10-19094450-40	chr10	19094210	19094668	+	0.000	0.000	Merged-chr10-19094450-40
Merged-chr4-152325932-66	chr4	152325683	152326147	+	0.000	0.000	Merged-chr4-152325932-66
Merged-chr9-48985134-97	chr9	48984786	48985413	+	0.000	0.000	Merged-chr9-48985134-97
Merged-chr5-28315754-44	chr5	28315554	28316037	+	0.000	0.000	Merged-chr5-28315754-44
Merged-chr4-32342446-3	chr4	32342307	32342578	+	0.000	0.000	Merged-chr4-32342446-3
Merged-chr14-121936476-1	chr14	121936378	121936576	+	0.000	0.000	Merged-chr14-121936476-1
Merged-chr6-121245760-60	chr6	121245472	121246000	+	0.000	0.000	Merged-chr6-121245760-60
Merged-chr11-48869091-1	chr11	48868993	48869191	+	0.000	0.000	Merged-chr11-48869091-1
Merged-chr17-35200638-36	chr17	35200391	35200802	+	0.000	0.000	Merged-chr17-35200638-36
Merged-chr6-134070171-6	chr6	134069960	134070425	+	0.000	0.000	Merged-chr6-134070171-6
Merged-chr10-19104955-55	chr10	19104766	19105141	+	0.000	0.000	Merged-chr10-19104955-55
Merged-chr5-105675662-27	chr5	105675454	105675851	+	0.000	0.000	Merged-chr5-105675662-27
Merged-chr1-138560961-36	chr1	138560752	138561197	+	0.000	0.000	Merged-chr1-138560961-36
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
Merged-chr8-122273382-29	chr8	122273173	122273604	+	0.000	0.000	Merged-chr8-122273382-29
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr3-135825991-159	chr3	135825682	135826205	+	0.000	0.000	Merged-chr3-135825991-159
Merged-chr16-91366873-55	chr16	91366564	91367120	+	0.000	0.000	Merged-chr16-91366873-55
Merged-chr5-41844685-118	chr5	41844122	41844978	+	0.000	0.000	Merged-chr5-41844685-118
Merged-chr12-111167025-2	chr12	111166923	111167130	+	0.000	0.000	Merged-chr12-111167025-2
Merged-chr11-59425956-47	chr11	59425788	59426302	+	0.000	0.000	Merged-chr11-59425956-47
Merged-chr12-113222478-76	chr12	113222046	113222713	+	0.000	0.000	Merged-chr12-113222478-76
Merged-chr10-82053844-6	chr10	82053705	82053971	+	0.000	0.000	Merged-chr10-82053844-6
Merged-chr13-12412239-11	chr13	12412085	12412408	+	0.000	0.000	Merged-chr13-12412239-11
Merged-chr19-40270739-1	chr19	40270641	40270839	+	0.000	0.000	Merged-chr19-40270739-1
Merged-chr6-144090267-2	chr6	144090151	144090386	+	0.000	0.000	Merged-chr6-144090267-2
Merged-chr16-36071679-92	chr16	36071371	36071899	+	0.000	0.000	Merged-chr16-36071679-92
Merged-chr3-122259566-1	chr3	122259468	122259666	+	0.000	0.000	Merged-chr3-122259566-1
Merged-chr9-14241161-9	chr9	14241029	14241294	+	0.000	0.000	Merged-chr9-14241161-9
Merged-chr8-79161716-60	chr8	79161373	79162151	+	0.000	0.000	Merged-chr8-79161716-60
Merged-chr16-94290109-67	chr16	94289564	94290541	+	0.000	0.000	Merged-chr16-94290109-67
Merged-chr9-38718732-127	chr9	38717888	38719441	+	0.000	0.000	Merged-chr9-38718732-127
Merged-chr6-121245278-1	chr6	121245180	121245378	+	0.000	0.000	Merged-chr6-121245278-1
Merged-chr19-55062253-32	chr19	55062075	55062419	+	0.000	0.000	Merged-chr19-55062253-32
Merged-chr3-126693084-1	chr3	126692986	126693184	+	0.000	0.000	Merged-chr3-126693084-1
Merged-chr15-91735411-11	chr15	91735247	91735618	+	0.000	0.000	Merged-chr15-91735411-11
Merged-chr3-95652031-1	chr3	95651933	95652131	+	0.000	0.000	Merged-chr3-95652031-1
Merged-chr14-121731976-67	chr14	121731714	121732192	+	0.000	0.000	Merged-chr14-121731976-67
Merged-chr6-17737637-51	chr6	17737222	17737999	+	0.000	0.000	Merged-chr6-17737637-51
Merged-chr4-63861232-54	chr4	63861052	63861607	+	0.000	0.000	Merged-chr4-63861232-54
Merged-chr19-40257605-57	chr19	40257200	40257936	+	0.000	0.000	Merged-chr19-40257605-57
Merged-chr2-130473178-30	chr2	130472800	130473519	+	0.000	0.000	Merged-chr2-130473178-30
Merged-chr10-94917729-28	chr10	94917355	94918318	+	0.000	0.000	Merged-chr10-94917729-28
Merged-chr12-117566493-34	chr12	117566267	117566861	+	0.000	0.000	Merged-chr12-117566493-34
Merged-chr18-53417585-1	chr18	53417487	53417685	+	0.000	0.000	Merged-chr18-53417585-1
Merged-chr9-94691829-80	chr9	94691609	94692111	+	0.000	0.000	Merged-chr9-94691829-80
Merged-chr11-3179643-4	chr11	3179532	3179784	+	0.000	0.000	Merged-chr11-3179643-4
Merged-chr19-43917229-61	chr19	43916991	43917552	+	0.000	0.000	Merged-chr19-43917229-61
Merged-chr6-143859539-1	chr6	143859441	143859639	+	0.000	0.000	Merged-chr6-143859539-1
Merged-chr12-108601181-28	chr12	108600883	108601558	+	0.000	0.000	Merged-chr12-108601181-28
Merged-chr14-62798973-44	chr14	62798775	62799174	+	0.000	0.000	Merged-chr14-62798973-44
Merged-chr12-4065716-30	chr12	4065494	4065945	+	0.000	0.000	Merged-chr12-4065716-30
Merged-chr9-5309058-104	chr9	5308710	5309505	+	0.000	0.000	Merged-chr9-5309058-104
Merged-chr7-80207439-1	chr7	80207341	80207539	+	0.000	0.000	Merged-chr7-80207439-1
Merged-chr10-94848627-43	chr10	94848368	94849082	+	0.000	0.000	Merged-chr10-94848627-43
Merged-chr12-55302892-86	chr12	55302441	55303109	+	0.000	0.000	Merged-chr12-55302892-86
Merged-chr5-105642805-64	chr5	105642332	105643145	+	0.000	0.000	Merged-chr5-105642805-64
Merged-chr8-61517791-23	chr8	61517541	61518001	+	0.000	0.000	Merged-chr8-61517791-23
Merged-chr16-90283533-5	chr16	90283350	90283700	+	0.000	0.000	Merged-chr16-90283533-5
Merged-chr7-101095167-53	chr7	101094774	101095927	+	0.000	0.000	Merged-chr7-101095167-53
Merged-chr2-16359590-3	chr2	16359475	16359702	+	0.000	0.000	Merged-chr2-16359590-3
Merged-chr10-118854630-50	chr10	118854312	118854979	+	0.000	0.000	Merged-chr10-118854630-50
Merged-chr4-33248202-146	chr4	33247639	33248385	+	0.000	0.000	Merged-chr4-33248202-146
Merged-chr5-75805857-1	chr5	75805759	75805957	+	0.000	0.000	Merged-chr5-75805857-1
Merged-chr1-182363988-37	chr1	182363656	182364310	+	0.000	0.000	Merged-chr1-182363988-37
Merged-chr4-32179914-44	chr4	32179707	32180111	+	0.000	0.000	Merged-chr4-32179914-44
Merged-chr19-30118858-30	chr19	30118693	30119080	+	0.000	0.000	Merged-chr19-30118858-30
Merged-chr1-173440041-1	chr1	173439943	173440141	+	0.000	0.000	Merged-chr1-173440041-1
Merged-chr13-91541138-52	chr13	91540842	91541373	+	0.000	0.000	Merged-chr13-91541138-52
Merged-chr5-105643528-15	chr5	105643390	105643665	+	0.000	0.000	Merged-chr5-105643528-15
Merged-chr5-75442290-1	chr5	75442192	75442390	+	0.000	0.000	Merged-chr5-75442290-1
Merged-chr2-62390818-100	chr2	62390239	62391312	+	0.000	0.000	Merged-chr2-62390818-100
Merged-chr17-56289493-28	chr17	56289231	56289674	+	0.000	0.000	Merged-chr17-56289493-28
Merged-chr2-130450157-78	chr2	130449850	130450454	+	0.000	0.000	Merged-chr2-130450157-78
Merged-chr13-95325062-90	chr13	95324264	95325528	+	0.000	0.000	Merged-chr13-95325062-90
Merged-chr12-116011021-26	chr12	116010776	116011281	+	0.000	0.000	Merged-chr12-116011021-26
Merged-chr2-26235322-12	chr2	26235146	26235464	+	0.000	0.000	Merged-chr2-26235322-12
Merged-chr8-126585164-25	chr8	126585015	126585400	+	0.000	0.000	Merged-chr8-126585164-25
Merged-chrX-152342586-50	chrX	152342350	152342816	+	0.000	0.000	Merged-chrX-152342586-50
Merged-chr9-123366078-3	chr9	123365920	123366281	+	0.000	0.000	Merged-chr9-123366078-3
Merged-chr5-75588127-1	chr5	75588029	75588227	+	0.000	0.000	Merged-chr5-75588127-1
Merged-chr8-122285200-46	chr8	122284658	122285686	+	0.000	0.000	Merged-chr8-122285200-46
Merged-chr18-65050721-23	chr18	65050140	65051168	+	0.000	0.000	Merged-chr18-65050721-23
Merged-chr6-145249454-6	chr6	145249318	145249585	+	0.000	0.000	Merged-chr6-145249454-6
Merged-chr15-12397193-17	chr15	12396942	12397393	+	0.000	0.000	Merged-chr15-12397193-17
Merged-chr15-91682816-1	chr15	91682718	91682916	+	0.000	0.000	Merged-chr15-91682816-1
Merged-chr6-143953954-1	chr6	143953856	143954054	+	0.000	0.000	Merged-chr6-143953954-1
Merged-chr5-88675879-91	chr5	88675522	88676148	+	0.000	0.000	Merged-chr5-88675879-91
Merged-chr11-70592019-3	chr11	70591908	70592139	+	0.000	0.000	Merged-chr11-70592019-3
Merged-chrX-98266025-47	chrX	98265757	98266305	+	0.000	0.000	Merged-chrX-98266025-47
Merged-chr9-62344675-54	chr9	62344346	62345005	+	0.000	0.000	Merged-chr9-62344675-54
Merged-chr6-48085920-2	chr6	48085798	48086044	+	0.000	0.000	Merged-chr6-48085920-2
Merged-chr7-73594834-1	chr7	73594736	73594934	+	0.000	0.000	Merged-chr7-73594834-1
Merged-chr11-3100444-3	chr11	3100344	3100550	+	0.000	0.000	Merged-chr11-3100444-3
Merged-chr5-75734762-1	chr5	75734664	75734862	+	0.000	0.000	Merged-chr5-75734762-1
Merged-chr4-127021744-67	chr4	127021573	127021916	+	0.000	0.000	Merged-chr4-127021744-67
Merged-chr9-42076417-27	chr9	42076246	42076646	+	0.000	0.000	Merged-chr9-42076417-27
Merged-chr15-85983267-29	chr15	85983065	85983485	+	0.000	0.000	Merged-chr15-85983267-29
Merged-chr6-122602607-66	chr6	122602253	122602842	+	0.000	0.000	Merged-chr6-122602607-66
Merged-chr7-80180023-20	chr7	80179810	80180280	+	0.000	0.000	Merged-chr7-80180023-20
Merged-chr4-24897991-83	chr4	24897608	24898482	+	0.000	0.000	Merged-chr4-24897991-83
Merged-chr9-62368780-17	chr9	62368571	62369018	+	0.000	0.000	Merged-chr9-62368780-17
Merged-chr10-42843414-7	chr10	42843213	42843577	+	0.000	0.000	Merged-chr10-42843414-7
Merged-chr8-61426321-97	chr8	61425842	61426683	+	0.000	0.000	Merged-chr8-61426321-97
Merged-chr1-82833735-7	chr1	82833624	82833859	+	0.000	0.000	Merged-chr1-82833735-7
Merged-chr2-130501661-20	chr2	130501395	130501835	+	0.000	0.000	Merged-chr2-130501661-20
Merged-chr5-75714551-2	chr5	75714450	75714654	+	0.000	0.000	Merged-chr5-75714551-2
Merged-chr1-189936861-20	chr1	189936615	189937129	+	0.000	0.000	Merged-chr1-189936861-20
Merged-chr3-126650760-81	chr3	126650521	126651123	+	0.000	0.000	Merged-chr3-126650760-81
Merged-chr9-77750767-56	chr9	77750485	77750937	+	0.000	0.000	Merged-chr9-77750767-56
Merged-chr13-30198146-3	chr13	30197918	30198385	+	0.000	0.000	Merged-chr13-30198146-3
Merged-chr8-126616076-68	chr8	126615561	126616626	+	0.000	0.000	Merged-chr8-126616076-68
Merged-chr11-3140967-38	chr11	3140596	3141199	+	0.000	0.000	Merged-chr11-3140967-38
Merged-chr6-143871321-4	chr6	143871139	143871478	+	0.000	0.000	Merged-chr6-143871321-4
Merged-chr6-38789563-52	chr6	38789329	38789882	+	0.000	0.000	Merged-chr6-38789563-52
Merged-chr9-35498014-17	chr9	35497829	35498210	+	0.000	0.000	Merged-chr9-35498014-17
Merged-chrX-75674232-65	chrX	75674025	75674376	+	0.000	0.000	Merged-chrX-75674232-65
Merged-chr2-10315071-46	chr2	10314719	10315576	+	0.000	0.000	Merged-chr2-10315071-46
Merged-chr17-35377591-2	chr17	35377477	35377707	+	0.000	0.000	Merged-chr17-35377591-2
Merged-chr5-105686468-30	chr5	105686315	105686614	+	0.000	0.000	Merged-chr5-105686468-30
Merged-chr5-41843889-1	chr5	41843791	41843989	+	0.000	0.000	Merged-chr5-41843889-1
Merged-chr5-105651659-58	chr5	105651151	105652114	+	0.000	0.000	Merged-chr5-105651659-58
Merged-chr9-95072706-61	chr9	95072399	95073088	+	0.000	0.000	Merged-chr9-95072706-61
Merged-chr12-13512538-15	chr12	13512138	13512914	+	0.000	0.000	Merged-chr12-13512538-15
Merged-chr9-40343546-1	chr9	40343448	40343646	+	0.000	0.000	Merged-chr9-40343546-1
Merged-chr8-61451013-86	chr8	61450778	61451383	+	0.000	0.000	Merged-chr8-61451013-86
Merged-chr13-100669804-89	chr13	100669276	100670175	+	0.000	0.000	Merged-chr13-100669804-89
Merged-chr11-97825467-43	chr11	97825240	97825674	+	0.000	0.000	Merged-chr11-97825467-43
Merged-chr3-126771711-40	chr3	126771512	126771926	+	0.000	0.000	Merged-chr3-126771711-40
Merged-chr12-78226553-137	chr12	78225983	78226829	+	0.000	0.000	Merged-chr12-78226553-137
Merged-chr4-125123148-48	chr4	125122872	125123639	+	0.000	0.000	Merged-chr4-125123148-48
Merged-chr19-36537887-4	chr19	36537758	36538012	+	0.000	0.000	Merged-chr19-36537887-4
Merged-chr1-189887694-38	chr1	189887427	189887912	+	0.000	0.000	Merged-chr1-189887694-38
Merged-chrX-134843146-21	chrX	134842937	134843397	+	0.000	0.000	Merged-chrX-134843146-21
Merged-chr11-3148447-2	chr11	3148349	3148547	+	0.000	0.000	Merged-chr11-3148447-2
Merged-chr6-121215137-42	chr6	121214965	121215387	+	0.000	0.000	Merged-chr6-121215137-42
Merged-chr8-61487849-59	chr8	61487647	61488061	+	0.000	0.000	Merged-chr8-61487849-59
Merged-chr6-121225960-1	chr6	121225862	121226060	+	0.000	0.000	Merged-chr6-121225960-1
Merged-chr12-116047777-53	chr12	116047595	116047985	+	0.000	0.000	Merged-chr12-116047777-53
Merged-chr11-3162952-22	chr11	3162740	3163180	+	0.000	0.000	Merged-chr11-3162952-22
Merged-chr12-117534127-69	chr12	117533656	117534366	+	0.000	0.000	Merged-chr12-117534127-69
Merged-chr5-75709666-1	chr5	75709568	75709766	+	0.000	0.000	Merged-chr5-75709666-1
Merged-chr8-71528841-21	chr8	71528660	71529150	+	0.000	0.000	Merged-chr8-71528841-21
Merged-chr16-90284101-137	chr16	90283739	90284779	+	0.000	0.000	Merged-chr16-90284101-137
Merged-chr6-144181602-1	chr6	144181504	144181702	+	0.000	0.000	Merged-chr6-144181602-1
Merged-chr6-145268512-5	chr6	145268383	145268657	+	0.000	0.000	Merged-chr6-145268512-5
Merged-chr13-117196008-56	chr13	117195821	117196248	+	0.000	0.000	Merged-chr13-117196008-56
Merged-chr1-106714260-74	chr1	106713864	106714484	+	0.000	0.000	Merged-chr1-106714260-74
Merged-chr6-89391141-1	chr6	89391043	89391241	+	0.000	0.000	Merged-chr6-89391141-1
Merged-chr6-143816694-7	chr6	143816363	143817036	+	0.000	0.000	Merged-chr6-143816694-7
Merged-chr9-42108628-57	chr9	42108396	42108936	+	0.000	0.000	Merged-chr9-42108628-57
Merged-chr1-132007424-3	chr1	132007289	132007600	+	0.000	0.000	Merged-chr1-132007424-3
Merged-chr18-77063988-2	chr18	77063890	77064088	+	0.000	0.000	Merged-chr18-77063988-2
Merged-chr9-35495355-1	chr9	35495257	35495455	+	0.000	0.000	Merged-chr9-35495355-1
Merged-chr13-5100349-2	chr13	5100243	5100458	+	0.000	0.000	Merged-chr13-5100349-2
Merged-chr11-3158996-1	chr11	3158898	3159096	+	0.000	0.000	Merged-chr11-3158996-1
Merged-chr7-96946684-14	chr7	96946438	96946895	+	0.000	0.000	Merged-chr7-96946684-14
Merged-chr18-31910963-72	chr18	31910539	31911165	+	0.000	0.000	Merged-chr18-31910963-72
Merged-chr11-87724985-4	chr11	87724850	87725134	+	0.000	0.000	Merged-chr11-87724985-4
Merged-chr11-3166687-4	chr11	3166443	3166860	+	0.000	0.000	Merged-chr11-3166687-4
Merged-chr11-3163369-4	chr11	3163187	3163553	+	0.000	0.000	Merged-chr11-3163369-4
Merged-chr6-89462778-1	chr6	89462680	89462878	+	0.000	0.000	Merged-chr6-89462778-1
Merged-chrX-98259743-49	chrX	98259458	98260033	+	0.000	0.000	Merged-chrX-98259743-49
Merged-chr6-83506851-64	chr6	83506625	83507044	+	0.000	0.000	Merged-chr6-83506851-64
Merged-chr6-89365227-1	chr6	89365129	89365327	+	0.000	0.000	Merged-chr6-89365227-1
Merged-chr15-9567519-26	chr15	9567337	9567706	+	0.000	0.000	Merged-chr15-9567519-26
Merged-chr11-116379708-25	chr11	116379558	116379920	+	0.000	0.000	Merged-chr11-116379708-25
Merged-chr17-78882358-80	chr17	78881988	78882896	+	0.000	0.000	Merged-chr17-78882358-80
Merged-chr1-189028545-3	chr1	189028428	189028668	+	0.000	0.000	Merged-chr1-189028545-3
Merged-chr2-148681151-73	chr2	148680845	148681401	+	0.000	0.000	Merged-chr2-148681151-73
Merged-chr8-79163013-21	chr8	79162802	79163266	+	0.000	0.000	Merged-chr8-79163013-21
Merged-chr19-29462698-2	chr19	29462568	29462830	+	0.000	0.000	Merged-chr19-29462698-2
Merged-chr2-4454837-7	chr2	4454667	4455020	+	0.000	0.000	Merged-chr2-4454837-7
Merged-chr19-61265627-44	chr19	61265435	61265805	+	0.000	0.000	Merged-chr19-61265627-44
Merged-chr9-94620917-97	chr9	94620623	94621455	+	0.000	0.000	Merged-chr9-94620917-97
Merged-chr6-125483864-63	chr6	125483587	125484048	+	0.000	0.000	Merged-chr6-125483864-63
Merged-chr16-70421204-38	chr16	70420924	70421518	+	0.000	0.000	Merged-chr16-70421204-38
Merged-chr9-42142003-14	chr9	42141862	42142225	+	0.000	0.000	Merged-chr9-42142003-14
Merged-chr12-13269296-75	chr12	13268972	13269786	+	0.000	0.000	Merged-chr12-13269296-75
Merged-chr6-134067446-111	chr6	134066992	134067834	+	0.000	0.000	Merged-chr6-134067446-111
Merged-chr15-9526592-4	chr15	9526456	9526708	+	0.000	0.000	Merged-chr15-9526592-4
Merged-chr6-89422834-19	chr6	89422558	89423192	+	0.000	0.000	Merged-chr6-89422834-19
Merged-chr13-3918065-66	chr13	3917753	3918279	+	0.000	0.000	Merged-chr13-3918065-66
Merged-chr9-101073611-17	chr9	101073385	101073859	+	0.000	0.000	Merged-chr9-101073611-17
Merged-chr2-68466295-74	chr2	68465822	68466588	+	0.000	0.000	Merged-chr2-68466295-74
Merged-chr12-31654866-80	chr12	31654472	31655118	+	0.000	0.000	Merged-chr12-31654866-80
Merged-chr12-69458442-59	chr12	69458248	69458640	+	0.000	0.000	Merged-chr12-69458442-59
Merged-chr9-14275216-26	chr9	14274990	14275402	+	0.000	0.000	Merged-chr9-14275216-26
Merged-chr5-75717896-2	chr5	75717713	75718082	+	0.000	0.000	Merged-chr5-75717896-2
Merged-chr6-144220330-1	chr6	144220232	144220430	+	0.000	0.000	Merged-chr6-144220330-1
Merged-chr18-58668129-1	chr18	58668031	58668229	+	0.000	0.000	Merged-chr18-58668129-1
Merged-chr8-104535599-3	chr8	104535474	104535741	+	0.000	0.000	Merged-chr8-104535599-3
Merged-chr9-53430212-10	chr9	53430087	53430342	+	0.000	0.000	Merged-chr9-53430212-10
Merged-chr9-94670459-1	chr9	94670361	94670559	+	0.000	0.000	Merged-chr9-94670459-1
Merged-chr11-106665646-39	chr11	106665364	106666106	+	0.000	0.000	Merged-chr11-106665646-39
Merged-chr6-143957629-72	chr6	143957002	143958284	+	0.000	0.000	Merged-chr6-143957629-72
Merged-chr9-42032280-3	chr9	42032182	42032380	+	0.000	0.000	Merged-chr9-42032280-3
Merged-chr1-39896262-3	chr1	39896164	39896362	+	0.000	0.000	Merged-chr1-39896262-3
Merged-chr5-43824036-4	chr5	43823795	43824263	+	0.000	0.000	Merged-chr5-43824036-4
Merged-chr10-23787173-89	chr10	23786804	23787708	+	0.000	0.000	Merged-chr10-23787173-89
Merged-chr19-42090289-87	chr19	42089870	42090694	+	0.000	0.000	Merged-chr19-42090289-87
Merged-chr10-120616812-55	chr10	120616480	120617149	+	0.000	0.000	Merged-chr10-120616812-55
Merged-chr13-30085305-34	chr13	30085087	30085497	+	0.000	0.000	Merged-chr13-30085305-34
Merged-chr16-11254042-93	chr16	11253785	11254584	+	0.000	0.000	Merged-chr16-11254042-93
Merged-chr12-117579368-17	chr12	117579123	117579589	+	0.000	0.000	Merged-chr12-117579368-17
Merged-chr4-125127397-1	chr4	125127299	125127497	+	0.000	0.000	Merged-chr4-125127397-1
Merged-chr6-134014705-25	chr6	134014434	134014931	+	0.000	0.000	Merged-chr6-134014705-25
Merged-chr12-113220525-36	chr12	113220250	113220788	+	0.000	0.000	Merged-chr12-113220525-36
Merged-chr19-44294552-133	chr19	44293757	44295280	+	0.000	0.000	Merged-chr19-44294552-133
Merged-chr14-78438304-11	chr14	78438128	78438465	+	0.000	0.000	Merged-chr14-78438304-11
Merged-chr18-41951172-76	chr18	41950912	41951461	+	0.000	0.000	Merged-chr18-41951172-76
Merged-chr18-53817599-8	chr18	53817480	53817727	+	0.000	0.000	Merged-chr18-53817599-8
Merged-chr4-33248647-4	chr4	33248495	33248801	+	0.000	0.000	Merged-chr4-33248647-4
Merged-chr2-158410061-111	chr2	158409534	158410656	+	0.000	0.000	Merged-chr2-158410061-111
Merged-chr19-16802256-9	chr19	16801957	16802417	+	0.000	0.000	Merged-chr19-16802256-9
Merged-chr1-39986417-3	chr1	39986256	39986594	+	0.000	0.000	Merged-chr1-39986417-3
Merged-chr4-134495350-57	chr4	134495113	134495649	+	0.000	0.000	Merged-chr4-134495350-57
Merged-chr19-44267087-85	chr19	44266754	44267356	+	0.000	0.000	Merged-chr19-44267087-85
Merged-chr8-66914324-25	chr8	66914051	66914609	+	0.000	0.000	Merged-chr8-66914324-25
Merged-chr6-88769866-45	chr6	88769584	88770032	+	0.000	0.000	Merged-chr6-88769866-45
Merged-chr19-16780432-1	chr19	16780334	16780532	+	0.000	0.000	Merged-chr19-16780432-1
Merged-chr14-118649804-48	chr14	118649446	118650270	+	0.000	0.000	Merged-chr14-118649804-48
Merged-chr4-32257822-1	chr4	32257724	32257922	+	0.000	0.000	Merged-chr4-32257822-1
Merged-chr9-7872811-86	chr9	7872395	7873264	+	0.000	0.000	Merged-chr9-7872811-86
Merged-chr1-38657935-57	chr1	38657609	38658350	+	0.000	0.000	Merged-chr1-38657935-57
Merged-chr16-24152137-5	chr16	24152011	24152255	+	0.000	0.000	Merged-chr16-24152137-5
Merged-chr9-92542439-104	chr9	92542088	92542735	+	0.000	0.000	Merged-chr9-92542439-104
Merged-chr15-59641442-25	chr15	59641150	59641719	+	0.000	0.000	Merged-chr15-59641442-25
Merged-chr5-148596681-29	chr5	148596374	148597068	+	0.000	0.000	Merged-chr5-148596681-29
Merged-chr8-79173625-13	chr8	79173352	79173827	+	0.000	0.000	Merged-chr8-79173625-13
Merged-chr7-68885558-1	chr7	68885460	68885658	+	0.000	0.000	Merged-chr7-68885558-1
Merged-chr1-186749354-72	chr1	186749060	186749646	+	0.000	0.000	Merged-chr1-186749354-72
Merged-chr6-122669601-34	chr6	122669365	122669823	+	0.000	0.000	Merged-chr6-122669601-34
Merged-chr10-19215120-16	chr10	19214943	19215276	+	0.000	0.000	Merged-chr10-19215120-16
Merged-chr6-144041035-1	chr6	144040937	144041135	+	0.000	0.000	Merged-chr6-144041035-1
Merged-chr15-62145292-46	chr15	62145026	62145697	+	0.000	0.000	Merged-chr15-62145292-46
Merged-chr8-122283780-2	chr8	122283618	122283944	+	0.000	0.000	Merged-chr8-122283780-2
Merged-chr19-61266710-124	chr19	61266112	61267021	+	0.000	0.000	Merged-chr19-61266710-124
