#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_Naive.up.bed
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr8-13675081-76	chr8	13674623	13675436	+	0.000	0.000	Merged-chr8-13675081-76
Merged-chr9-64797036-1	chr9	64796938	64797136	+	0.000	0.000	Merged-chr9-64797036-1
Merged-chr16-38476690-56	chr16	38476352	38477118	+	0.000	0.000	Merged-chr16-38476690-56
Merged-chr3-86845286-5	chr3	86845176	86845396	+	0.000	0.000	Merged-chr3-86845286-5
Merged-chr9-69313976-5	chr9	69313741	69314143	+	0.000	0.000	Merged-chr9-69313976-5
Merged-chr18-84079336-1	chr18	84079238	84079436	+	0.000	0.000	Merged-chr18-84079336-1
Merged-chr5-129020147-99	chr5	129019817	129020534	+	0.000	0.000	Merged-chr5-129020147-99
Merged-chr17-44569876-1	chr17	44569778	44569976	+	0.000	0.000	Merged-chr17-44569876-1
Merged-chr5-139200550-72	chr5	139200256	139200810	+	0.000	0.000	Merged-chr5-139200550-72
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr1-153061689-5	chr1	153061472	153061872	+	0.000	0.000	Merged-chr1-153061689-5
Merged-chr2-165655026-70	chr2	165654320	165655399	+	0.000	0.000	Merged-chr2-165655026-70
Merged-chr2-65238613-163	chr2	65238346	65239218	+	0.000	0.000	Merged-chr2-65238613-163
Merged-chr7-75794140-5	chr7	75793896	75794330	+	0.000	0.000	Merged-chr7-75794140-5
Merged-chr6-54155596-1	chr6	54155498	54155696	+	0.000	0.000	Merged-chr6-54155596-1
Merged-chr15-5239618-2	chr15	5239516	5239723	+	0.000	0.000	Merged-chr15-5239618-2
Merged-chr2-125724208-99	chr2	125723415	125724945	+	0.000	0.000	Merged-chr2-125724208-99
Merged-chr7-114066923-10	chr7	114066635	114067127	+	0.000	0.000	Merged-chr7-114066923-10
Merged-chr1-16105621-1	chr1	16105523	16105721	+	0.000	0.000	Merged-chr1-16105621-1
Merged-chr8-120832220-19	chr8	120831975	120832440	+	0.000	0.000	Merged-chr8-120832220-19
Merged-chr7-28820769-1	chr7	28820671	28820869	+	0.000	0.000	Merged-chr7-28820769-1
Merged-chr18-20982591-12	chr18	20982391	20982829	+	0.000	0.000	Merged-chr18-20982591-12
Merged-chr5-93115776-9	chr5	93115540	93115934	+	0.000	0.000	Merged-chr5-93115776-9
Merged-chr5-30073390-59	chr5	30073005	30073751	+	0.000	0.000	Merged-chr5-30073390-59
Merged-chr9-75050222-37	chr9	75049997	75050485	+	0.000	0.000	Merged-chr9-75050222-37
Merged-chr19-8838158-1	chr19	8838060	8838258	+	0.000	0.000	Merged-chr19-8838158-1
Merged-chr2-128378745-14	chr2	128378586	128378937	+	0.000	0.000	Merged-chr2-128378745-14
Merged-chr14-20168649-33	chr14	20168413	20169005	+	0.000	0.000	Merged-chr14-20168649-33
Merged-chr4-135312758-1	chr4	135312660	135312858	+	0.000	0.000	Merged-chr4-135312758-1
Merged-chr2-101616143-32	chr2	101615886	101616401	+	0.000	0.000	Merged-chr2-101616143-32
Merged-chr7-119895039-1	chr7	119894941	119895139	+	0.000	0.000	Merged-chr7-119895039-1
Merged-chr11-16952284-5	chr11	16952118	16952418	+	0.000	0.000	Merged-chr11-16952284-5
Merged-chr10-19577648-1	chr10	19577550	19577748	+	0.000	0.000	Merged-chr10-19577648-1
Merged-chr2-151581099-26	chr2	151580831	151581329	+	0.000	0.000	Merged-chr2-151581099-26
Merged-chr2-60880763-2	chr2	60880665	60880863	+	0.000	0.000	Merged-chr2-60880763-2
Merged-chr7-47013375-34	chr7	47013088	47013765	+	0.000	0.000	Merged-chr7-47013375-34
Merged-chr12-102719761-17	chr12	102719607	102719970	+	0.000	0.000	Merged-chr12-102719761-17
Merged-chr7-66247230-15	chr7	66246845	66247629	+	0.000	0.000	Merged-chr7-66247230-15
Merged-chr7-110203728-41	chr7	110203441	110204181	+	0.000	0.000	Merged-chr7-110203728-41
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr2-101762548-65	chr2	101762253	101762884	+	0.000	0.000	Merged-chr2-101762548-65
Merged-chr2-129186012-43	chr2	129185598	129186272	+	0.000	0.000	Merged-chr2-129186012-43
Merged-chr2-180438318-9	chr2	180438011	180438500	+	0.000	0.000	Merged-chr2-180438318-9
Merged-chr1-189698584-1	chr1	189698486	189698684	+	0.000	0.000	Merged-chr1-189698584-1
Merged-chr3-136727461-5	chr3	136727327	136727591	+	0.000	0.000	Merged-chr3-136727461-5
Merged-chr3-136942361-1	chr3	136942263	136942461	+	0.000	0.000	Merged-chr3-136942361-1
Merged-chr16-52292729-42	chr16	52292511	52292962	+	0.000	0.000	Merged-chr16-52292729-42
Merged-chr6-128836446-70	chr6	128836123	128836748	+	0.000	0.000	Merged-chr6-128836446-70
Merged-chr11-105592148-13	chr11	105591929	105592352	+	0.000	0.000	Merged-chr11-105592148-13
Merged-chr7-128105500-13	chr7	128105323	128105762	+	0.000	0.000	Merged-chr7-128105500-13
Merged-chr9-32499941-68	chr9	32499531	32500483	+	0.000	0.000	Merged-chr9-32499941-68
Merged-chr14-73105519-8	chr14	73105375	73105688	+	0.000	0.000	Merged-chr14-73105519-8
Merged-chr17-12120379-1	chr17	12120281	12120479	+	0.000	0.000	Merged-chr17-12120379-1
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr2-129199928-7	chr2	129199578	129200284	+	0.000	0.000	Merged-chr2-129199928-7
Merged-chr9-65909052-64	chr9	65908691	65909342	+	0.000	0.000	Merged-chr9-65909052-64
Merged-chr17-79868435-11	chr17	79868202	79868672	+	0.000	0.000	Merged-chr17-79868435-11
Merged-chr10-18845106-45	chr10	18844845	18845292	+	0.000	0.000	Merged-chr10-18845106-45
Merged-chr11-107407910-19	chr11	107407651	107408097	+	0.000	0.000	Merged-chr11-107407910-19
Merged-chrX-167105630-1	chrX	167105532	167105730	+	0.000	0.000	Merged-chrX-167105630-1
Merged-chr2-90579647-1	chr2	90579549	90579747	+	0.000	0.000	Merged-chr2-90579647-1
Merged-chr5-137655034-3	chr5	137654870	137655171	+	0.000	0.000	Merged-chr5-137655034-3
Merged-chr7-10495600-2	chr7	10495502	10495700	+	0.000	0.000	Merged-chr7-10495600-2
Merged-chr10-44601754-5	chr10	44601608	44601877	+	0.000	0.000	Merged-chr10-44601754-5
Merged-chr19-10881047-16	chr19	10880769	10881184	+	0.000	0.000	Merged-chr19-10881047-16
Merged-chr19-5467382-16	chr19	5467115	5467580	+	0.000	0.000	Merged-chr19-5467382-16
Merged-chr5-149525797-5	chr5	149525699	149525897	+	0.000	0.000	Merged-chr5-149525797-5
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr12-103142833-43	chr12	103142605	103143072	+	0.000	0.000	Merged-chr12-103142833-43
Merged-chr1-159812982-41	chr1	159812678	159813194	+	0.000	0.000	Merged-chr1-159812982-41
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr3-86758843-24	chr3	86758610	86759043	+	0.000	0.000	Merged-chr3-86758843-24
Merged-chr19-24265222-32	chr19	24265029	24265426	+	0.000	0.000	Merged-chr19-24265222-32
Merged-chr11-102456095-36	chr11	102455813	102456399	+	0.000	0.000	Merged-chr11-102456095-36
Merged-chr19-12576850-12	chr19	12576622	12577039	+	0.000	0.000	Merged-chr19-12576850-12
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chrX-106013363-5	chrX	106013154	106013545	+	0.000	0.000	Merged-chrX-106013363-5
Merged-chr4-150808794-106	chr4	150808440	150809100	+	0.000	0.000	Merged-chr4-150808794-106
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr9-117910565-1	chr9	117910467	117910665	+	0.000	0.000	Merged-chr9-117910565-1
Merged-chr9-64797561-46	chr9	64797234	64797792	+	0.000	0.000	Merged-chr9-64797561-46
Merged-chr1-181928626-21	chr1	181928477	181928804	+	0.000	0.000	Merged-chr1-181928626-21
Merged-chr18-65800547-87	chr18	65800259	65800878	+	0.000	0.000	Merged-chr18-65800547-87
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr5-146860764-19	chr5	146860563	146861000	+	0.000	0.000	Merged-chr5-146860764-19
Merged-chr11-117772579-30	chr11	117772315	117772844	+	0.000	0.000	Merged-chr11-117772579-30
Merged-chrX-164402268-12	chrX	164402100	164402459	+	0.000	0.000	Merged-chrX-164402268-12
Merged-chr11-121041378-4	chr11	121041220	121041568	+	0.000	0.000	Merged-chr11-121041378-4
Merged-chr4-46601890-90	chr4	46601174	46602319	+	0.000	0.000	Merged-chr4-46601890-90
Merged-chr11-57934561-28	chr11	57934318	57934749	+	0.000	0.000	Merged-chr11-57934561-28
Merged-chr19-43517953-1	chr19	43517855	43518053	+	0.000	0.000	Merged-chr19-43517953-1
Merged-chr6-87672210-53	chr6	87671996	87672404	+	0.000	0.000	Merged-chr6-87672210-53
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr19-8980902-23	chr19	8980763	8981040	+	0.000	0.000	Merged-chr19-8980902-23
Merged-chr5-30072901-1	chr5	30072803	30073001	+	0.000	0.000	Merged-chr5-30072901-1
Merged-chr6-97311537-77	chr6	97311342	97311904	+	0.000	0.000	Merged-chr6-97311537-77
Merged-chr2-9803115-6	chr2	9802891	9803327	+	0.000	0.000	Merged-chr2-9803115-6
Merged-chr19-9938358-1	chr19	9938260	9938458	+	0.000	0.000	Merged-chr19-9938358-1
Merged-chr13-108337522-5	chr13	108337348	108337677	+	0.000	0.000	Merged-chr13-108337522-5
Merged-chr3-136837708-14	chr3	136837482	136837938	+	0.000	0.000	Merged-chr3-136837708-14
Merged-chr9-123807942-4	chr9	123807759	123808153	+	0.000	0.000	Merged-chr9-123807942-4
Merged-chr7-122159598-98	chr7	122158996	122160704	+	0.000	0.000	Merged-chr7-122159598-98
Merged-chr13-63247258-3	chr13	63247113	63247439	+	0.000	0.000	Merged-chr13-63247258-3
Merged-chr7-141482187-5	chr7	141481920	141482413	+	0.000	0.000	Merged-chr7-141482187-5
Merged-chr11-46467033-45	chr11	46466826	46467266	+	0.000	0.000	Merged-chr11-46467033-45
Merged-chr16-38403737-54	chr16	38403530	38404122	+	0.000	0.000	Merged-chr16-38403737-54
Merged-chr6-57706887-3	chr6	57706688	57707054	+	0.000	0.000	Merged-chr6-57706887-3
Merged-chr15-66814174-37	chr15	66813923	66814437	+	0.000	0.000	Merged-chr15-66814174-37
Merged-chr5-62772215-28	chr5	62771937	62772520	+	0.000	0.000	Merged-chr5-62772215-28
Merged-chr12-86693487-27	chr12	86692880	86693882	+	0.000	0.000	Merged-chr12-86693487-27
Merged-chr15-102150590-42	chr15	102150330	102150970	+	0.000	0.000	Merged-chr15-102150590-42
Merged-chr2-128162745-2	chr2	128162594	128162898	+	0.000	0.000	Merged-chr2-128162745-2
Merged-chr4-122884956-14	chr4	122884717	122885260	+	0.000	0.000	Merged-chr4-122884956-14
Merged-chr1-153321591-2	chr1	153321476	153321708	+	0.000	0.000	Merged-chr1-153321591-2
Merged-chr2-81179483-1	chr2	81179385	81179583	+	0.000	0.000	Merged-chr2-81179483-1
Merged-chr17-12205812-57	chr17	12205512	12206105	+	0.000	0.000	Merged-chr17-12205812-57
Merged-chr1-54912583-4	chr1	54912428	54912792	+	0.000	0.000	Merged-chr1-54912583-4
Merged-chr11-75200180-3	chr11	75200005	75200322	+	0.000	0.000	Merged-chr11-75200180-3
Merged-chr5-140151320-8	chr5	140151133	140151529	+	0.000	0.000	Merged-chr5-140151320-8
Merged-chr5-18360030-27	chr5	18359491	18360575	+	0.000	0.000	Merged-chr5-18360030-27
Merged-chr1-182517456-82	chr1	182517190	182517902	+	0.000	0.000	Merged-chr1-182517456-82
Merged-chr4-8813998-7	chr4	8813862	8814123	+	0.000	0.000	Merged-chr4-8813998-7
Merged-chr3-27331014-40	chr3	27330703	27331249	+	0.000	0.000	Merged-chr3-27331014-40
Merged-chr10-120201398-12	chr10	120201160	120201586	+	0.000	0.000	Merged-chr10-120201398-12
Merged-chr17-44609382-56	chr17	44608869	44609910	+	0.000	0.000	Merged-chr17-44609382-56
Merged-chr13-59468165-25	chr13	59467881	59468444	+	0.000	0.000	Merged-chr13-59468165-25
Merged-chr13-60897577-48	chr13	60897236	60897830	+	0.000	0.000	Merged-chr13-60897577-48
Merged-chr2-3761091-1	chr2	3760993	3761191	+	0.000	0.000	Merged-chr2-3761091-1
Merged-chr6-70714490-34	chr6	70714259	70714686	+	0.000	0.000	Merged-chr6-70714490-34
Merged-chr9-106453760-51	chr9	106453456	106454146	+	0.000	0.000	Merged-chr9-106453760-51
Merged-chr17-79296221-1	chr17	79296123	79296321	+	0.000	0.000	Merged-chr17-79296221-1
Merged-chr1-60920511-54	chr1	60920166	60920817	+	0.000	0.000	Merged-chr1-60920511-54
Merged-chr18-70574715-49	chr18	70573817	70575598	+	0.000	0.000	Merged-chr18-70574715-49
Merged-chr10-9856019-18	chr10	9855657	9856239	+	0.000	0.000	Merged-chr10-9856019-18
Merged-chr10-120209358-124	chr10	120208923	120209964	+	0.000	0.000	Merged-chr10-120209358-124
Merged-chr6-97205560-61	chr6	97205192	97205838	+	0.000	0.000	Merged-chr6-97205560-61
Merged-chr1-189662049-19	chr1	189661871	189662288	+	0.000	0.000	Merged-chr1-189662049-19
Merged-chr10-61275935-46	chr10	61275713	61276166	+	0.000	0.000	Merged-chr10-61275935-46
Merged-chr13-51645849-3	chr13	51645660	51645997	+	0.000	0.000	Merged-chr13-51645849-3
Merged-chr1-40516465-22	chr1	40516261	40516674	+	0.000	0.000	Merged-chr1-40516465-22
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr5-113506279-23	chr5	113505928	113506765	+	0.000	0.000	Merged-chr5-113506279-23
Merged-chr2-163725478-1	chr2	163725380	163725578	+	0.000	0.000	Merged-chr2-163725478-1
Merged-chr4-107094759-30	chr4	107094451	107095025	+	0.000	0.000	Merged-chr4-107094759-30
Merged-chr9-44019706-2	chr9	44019585	44019830	+	0.000	0.000	Merged-chr9-44019706-2
Merged-chr2-11355827-17	chr2	11355656	11356006	+	0.000	0.000	Merged-chr2-11355827-17
Merged-chr10-118448163-4	chr10	118447913	118448398	+	0.000	0.000	Merged-chr10-118448163-4
Merged-chr9-114780809-3	chr9	114780613	114781048	+	0.000	0.000	Merged-chr9-114780809-3
Merged-chr5-52741943-98	chr5	52741548	52742162	+	0.000	0.000	Merged-chr5-52741943-98
Merged-chr4-145248174-14	chr4	145248009	145248375	+	0.000	0.000	Merged-chr4-145248174-14
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr12-111809959-15	chr12	111809708	111810153	+	0.000	0.000	Merged-chr12-111809959-15
Merged-chr3-84630888-13	chr3	84630644	84631038	+	0.000	0.000	Merged-chr3-84630888-13
Merged-chr5-149525038-89	chr5	149524590	149525523	+	0.000	0.000	Merged-chr5-149525038-89
Merged-chr9-117872459-77	chr9	117872074	117872823	+	0.000	0.000	Merged-chr9-117872459-77
Merged-chr8-22186970-1	chr8	22186872	22187070	+	0.000	0.000	Merged-chr8-22186970-1
Merged-chr8-120889347-18	chr8	120889053	120889494	+	0.000	0.000	Merged-chr8-120889347-18
Merged-chr5-122142784-1	chr5	122142686	122142884	+	0.000	0.000	Merged-chr5-122142784-1
Merged-chr10-44537964-16	chr10	44537796	44538255	+	0.000	0.000	Merged-chr10-44537964-16
Merged-chr2-128117807-36	chr2	128117593	128117996	+	0.000	0.000	Merged-chr2-128117807-36
Merged-chr15-89354915-1	chr15	89354817	89355015	+	0.000	0.000	Merged-chr15-89354915-1
Merged-chr7-18872970-1	chr7	18872872	18873070	+	0.000	0.000	Merged-chr7-18872970-1
Merged-chr6-70792828-1	chr6	70792730	70792928	+	0.000	0.000	Merged-chr6-70792828-1
Merged-chr13-23598121-7	chr13	23597898	23598310	+	0.000	0.000	Merged-chr13-23598121-7
Merged-chr13-24467982-34	chr13	24467775	24468170	+	0.000	0.000	Merged-chr13-24467982-34
Merged-chr14-46831502-2	chr14	46831393	46831613	+	0.000	0.000	Merged-chr14-46831502-2
Merged-chr16-37009403-7	chr16	37009253	37009530	+	0.000	0.000	Merged-chr16-37009403-7
Merged-chr1-193329901-89	chr1	193329502	193330704	+	0.000	0.000	Merged-chr1-193329901-89
Merged-chr9-117963100-4	chr9	117962848	117963291	+	0.000	0.000	Merged-chr9-117963100-4
Merged-chr4-150799595-6	chr4	150799439	150799735	+	0.000	0.000	Merged-chr4-150799595-6
Merged-chr1-163994937-75	chr1	163994740	163995177	+	0.000	0.000	Merged-chr1-163994937-75
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr1-166409070-1	chr1	166408972	166409170	+	0.000	0.000	Merged-chr1-166409070-1
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr9-70421645-53	chr9	70421377	70421896	+	0.000	0.000	Merged-chr9-70421645-53
Merged-chr17-8389397-65	chr17	8389072	8389850	+	0.000	0.000	Merged-chr17-8389397-65
