#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1.up.bed
Merged-chr4-3678359-35	chr4	3678104	3678838	+	0.000	0.000	Merged-chr4-3678359-35
Merged-chr4-145248174-14	chr4	145248009	145248375	+	0.000	0.000	Merged-chr4-145248174-14
Merged-chr2-60923694-43	chr2	60923074	60924117	+	0.000	0.000	Merged-chr2-60923694-43
Merged-chr8-120889347-18	chr8	120889053	120889494	+	0.000	0.000	Merged-chr8-120889347-18
Merged-chr1-21079276-92	chr1	21079017	21079569	+	0.000	0.000	Merged-chr1-21079276-92
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr17-8389397-65	chr17	8389072	8389850	+	0.000	0.000	Merged-chr17-8389397-65
Merged-chr7-126287696-12	chr7	126287555	126287822	+	0.000	0.000	Merged-chr7-126287696-12
Merged-chr4-145242972-12	chr4	145242820	145243121	+	0.000	0.000	Merged-chr4-145242972-12
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr7-67305058-11	chr7	67304887	67305322	+	0.000	0.000	Merged-chr7-67305058-11
Merged-chr6-8617453-7	chr6	8617300	8617584	+	0.000	0.000	Merged-chr6-8617453-7
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr15-80034536-17	chr15	80034383	80034693	+	0.000	0.000	Merged-chr15-80034536-17
Merged-chr10-117984742-1	chr10	117984644	117984842	+	0.000	0.000	Merged-chr10-117984742-1
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr2-3294968-14	chr2	3294671	3295283	+	0.000	0.000	Merged-chr2-3294968-14
Merged-chr19-5850230-41	chr19	5850036	5850452	+	0.000	0.000	Merged-chr19-5850230-41
Merged-chrX-93594477-7	chrX	93594317	93594651	+	0.000	0.000	Merged-chrX-93594477-7
Merged-chr11-63873500-16	chr11	63873312	63873749	+	0.000	0.000	Merged-chr11-63873500-16
Merged-chr4-57904497-43	chr4	57904209	57904714	+	0.000	0.000	Merged-chr4-57904497-43
Merged-chr1-153320307-48	chr1	153319921	153320575	+	0.000	0.000	Merged-chr1-153320307-48
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr1-120234014-4	chr1	120233854	120234175	+	0.000	0.000	Merged-chr1-120234014-4
Merged-chr5-23713772-1	chr5	23713674	23713872	+	0.000	0.000	Merged-chr5-23713772-1
Merged-chr4-129377471-70	chr4	129376991	129378033	+	0.000	0.000	Merged-chr4-129377471-70
Merged-chr14-78677912-1	chr14	78677814	78678012	+	0.000	0.000	Merged-chr14-78677912-1
Merged-chr10-54032709-48	chr10	54032302	54032990	+	0.000	0.000	Merged-chr10-54032709-48
Merged-chr1-65186701-72	chr1	65186339	65187000	+	0.000	0.000	Merged-chr1-65186701-72
Merged-chr19-41384820-59	chr19	41384470	41385209	+	0.000	0.000	Merged-chr19-41384820-59
Merged-chr10-118172658-46	chr10	118172452	118172891	+	0.000	0.000	Merged-chr10-118172658-46
Merged-chr7-112238810-51	chr7	112238434	112239251	+	0.000	0.000	Merged-chr7-112238810-51
Merged-chr6-51592660-47	chr6	51592321	51592874	+	0.000	0.000	Merged-chr6-51592660-47
Merged-chr15-55829027-67	chr15	55828619	55829240	+	0.000	0.000	Merged-chr15-55829027-67
Merged-chr9-83830058-10	chr9	83829808	83830273	+	0.000	0.000	Merged-chr9-83830058-10
Merged-chr7-90286299-8	chr7	90286133	90286455	+	0.000	0.000	Merged-chr7-90286299-8
Merged-chr7-88206806-101	chr7	88206446	88207218	+	0.000	0.000	Merged-chr7-88206806-101
Merged-chr10-118470709-40	chr10	118470561	118470917	+	0.000	0.000	Merged-chr10-118470709-40
Merged-chr10-117948025-58	chr10	117947774	117948237	+	0.000	0.000	Merged-chr10-117948025-58
Merged-chr2-32492896-1	chr2	32492798	32492996	+	0.000	0.000	Merged-chr2-32492896-1
Merged-chr12-73720755-50	chr12	73720561	73720973	+	0.000	0.000	Merged-chr12-73720755-50
Merged-chr12-99407209-65	chr12	99406786	99407529	+	0.000	0.000	Merged-chr12-99407209-65
Merged-chr14-78725077-79	chr14	78724702	78725358	+	0.000	0.000	Merged-chr14-78725077-79
Merged-chr1-43539531-10	chr1	43539424	43539654	+	0.000	0.000	Merged-chr1-43539531-10
Merged-chr1-75218958-120	chr1	75218677	75219499	+	0.000	0.000	Merged-chr1-75218958-120
Merged-chr10-117909375-9	chr10	117909257	117909492	+	0.000	0.000	Merged-chr10-117909375-9
Merged-chr10-92712081-1	chr10	92711983	92712181	+	0.000	0.000	Merged-chr10-92712081-1
Merged-chr7-127281292-1	chr7	127281194	127281392	+	0.000	0.000	Merged-chr7-127281292-1
Merged-chr7-75796614-49	chr7	75796309	75796858	+	0.000	0.000	Merged-chr7-75796614-49
Merged-chr1-193285975-30	chr1	193285567	193286229	+	0.000	0.000	Merged-chr1-193285975-30
Merged-chr7-80402122-1	chr7	80402024	80402222	+	0.000	0.000	Merged-chr7-80402122-1
Merged-chr13-63365525-19	chr13	63365292	63365799	+	0.000	0.000	Merged-chr13-63365525-19
Merged-chr1-120245710-33	chr1	120245474	120246063	+	0.000	0.000	Merged-chr1-120245710-33
Merged-chr2-151994902-45	chr2	151994603	151995128	+	0.000	0.000	Merged-chr2-151994902-45
Merged-chr13-38145291-8	chr13	38145066	38145476	+	0.000	0.000	Merged-chr13-38145291-8
Merged-chr10-118419236-59	chr10	118419026	118419589	+	0.000	0.000	Merged-chr10-118419236-59
Merged-chr7-105399242-2	chr7	105399126	105399361	+	0.000	0.000	Merged-chr7-105399242-2
Merged-chr19-37435573-9	chr19	37435351	37435810	+	0.000	0.000	Merged-chr19-37435573-9
Merged-chr12-69416933-41	chr12	69416683	69417230	+	0.000	0.000	Merged-chr12-69416933-41
Merged-chr11-97977998-15	chr11	97977781	97978189	+	0.000	0.000	Merged-chr11-97977998-15
Merged-chr12-16474710-17	chr12	16474418	16474912	+	0.000	0.000	Merged-chr12-16474710-17
Merged-chr9-124146419-55	chr9	124146124	124146614	+	0.000	0.000	Merged-chr9-124146419-55
Merged-chr1-43431088-1	chr1	43430990	43431188	+	0.000	0.000	Merged-chr1-43431088-1
Merged-chr6-97352887-53	chr6	97352525	97353163	+	0.000	0.000	Merged-chr6-97352887-53
Merged-chr13-107869033-28	chr13	107868776	107869361	+	0.000	0.000	Merged-chr13-107869033-28
Merged-chr10-117975710-27	chr10	117975380	117975962	+	0.000	0.000	Merged-chr10-117975710-27
Merged-chr14-122951933-82	chr14	122951637	122952556	+	0.000	0.000	Merged-chr14-122951933-82
Merged-chr18-24652935-1	chr18	24652837	24653035	+	0.000	0.000	Merged-chr18-24652935-1
Merged-chr1-60652675-22	chr1	60652447	60652846	+	0.000	0.000	Merged-chr1-60652675-22
Merged-chr14-56284559-51	chr14	56284222	56284855	+	0.000	0.000	Merged-chr14-56284559-51
Merged-chr4-99715714-70	chr4	99715472	99715930	+	0.000	0.000	Merged-chr4-99715714-70
Merged-chr14-56296322-5	chr14	56296176	56296481	+	0.000	0.000	Merged-chr14-56296322-5
Merged-chr17-35813824-22	chr17	35813646	35814077	+	0.000	0.000	Merged-chr17-35813824-22
Merged-chr7-89146936-24	chr7	89146705	89147274	+	0.000	0.000	Merged-chr7-89146936-24
Merged-chr11-95379150-8	chr11	95378969	95379348	+	0.000	0.000	Merged-chr11-95379150-8
Merged-chr1-71069065-19	chr1	71068883	71069318	+	0.000	0.000	Merged-chr1-71069065-19
Merged-chr1-92697011-25	chr1	92696802	92697230	+	0.000	0.000	Merged-chr1-92697011-25
Merged-chr11-97936039-14	chr11	97935765	97936223	+	0.000	0.000	Merged-chr11-97936039-14
Merged-chr12-16509548-40	chr12	16509317	16509782	+	0.000	0.000	Merged-chr12-16509548-40
Merged-chr15-97830895-4	chr15	97830753	97831039	+	0.000	0.000	Merged-chr15-97830895-4
Merged-chr9-107294520-3	chr9	107294390	107294662	+	0.000	0.000	Merged-chr9-107294520-3
Merged-chr17-5885218-3	chr17	5885029	5885437	+	0.000	0.000	Merged-chr17-5885218-3
Merged-chrX-167182631-37	chrX	167182396	167182822	+	0.000	0.000	Merged-chrX-167182631-37
Merged-chr3-108730497-6	chr3	108730336	108730647	+	0.000	0.000	Merged-chr3-108730497-6
Merged-chr13-35795265-8	chr13	35795035	35795468	+	0.000	0.000	Merged-chr13-35795265-8
Merged-chr5-107759301-16	chr5	107759144	107759537	+	0.000	0.000	Merged-chr5-107759301-16
Merged-chr6-97458148-8	chr6	97457970	97458318	+	0.000	0.000	Merged-chr6-97458148-8
Merged-chr2-29890513-1	chr2	29890415	29890613	+	0.000	0.000	Merged-chr2-29890513-1
Merged-chr17-35700619-40	chr17	35700287	35700911	+	0.000	0.000	Merged-chr17-35700619-40
Merged-chr6-97387044-2	chr6	97386933	97387158	+	0.000	0.000	Merged-chr6-97387044-2
Merged-chr7-112220361-1	chr7	112220263	112220461	+	0.000	0.000	Merged-chr7-112220361-1
Merged-chr11-102930777-13	chr11	102930534	102931029	+	0.000	0.000	Merged-chr11-102930777-13
Merged-chr1-60868540-23	chr1	60868393	60868749	+	0.000	0.000	Merged-chr1-60868540-23
Merged-chr6-130340402-11	chr6	130340156	130340589	+	0.000	0.000	Merged-chr6-130340402-11
Merged-chr2-151569776-39	chr2	151569616	151570017	+	0.000	0.000	Merged-chr2-151569776-39
Merged-chr1-161713119-39	chr1	161712856	161713431	+	0.000	0.000	Merged-chr1-161713119-39
Merged-chr10-80917926-53	chr10	80917369	80918337	+	0.000	0.000	Merged-chr10-80917926-53
Merged-chr11-83550444-44	chr11	83550222	83550764	+	0.000	0.000	Merged-chr11-83550444-44
Merged-chr7-89173289-11	chr7	89173116	89173502	+	0.000	0.000	Merged-chr7-89173289-11
Merged-chr7-63987101-39	chr7	63986816	63987311	+	0.000	0.000	Merged-chr7-63987101-39
Merged-chr12-100907082-32	chr12	100906664	100907329	+	0.000	0.000	Merged-chr12-100907082-32
Merged-chr8-120888773-7	chr8	120888636	120888926	+	0.000	0.000	Merged-chr8-120888773-7
Merged-chr14-120407035-22	chr14	120406675	120407236	+	0.000	0.000	Merged-chr14-120407035-22
Merged-chr2-155385269-27	chr2	155385138	155385467	+	0.000	0.000	Merged-chr2-155385269-27
Merged-chr5-140149143-22	chr5	140148826	140149383	+	0.000	0.000	Merged-chr5-140149143-22
Merged-chr7-63957418-17	chr7	63957106	63957707	+	0.000	0.000	Merged-chr7-63957418-17
Merged-chr12-16339165-4	chr12	16338967	16339351	+	0.000	0.000	Merged-chr12-16339165-4
Merged-chr12-32208689-79	chr12	32208406	32208971	+	0.000	0.000	Merged-chr12-32208689-79
Merged-chr2-158743835-27	chr2	158743461	158744193	+	0.000	0.000	Merged-chr2-158743835-27
Merged-chr13-107868532-1	chr13	107868434	107868632	+	0.000	0.000	Merged-chr13-107868532-1
Merged-chr12-73603895-30	chr12	73603714	73604104	+	0.000	0.000	Merged-chr12-73603895-30
Merged-chr1-171763336-1	chr1	171763238	171763436	+	0.000	0.000	Merged-chr1-171763336-1
Merged-chr15-73492461-2	chr15	73492360	73492565	+	0.000	0.000	Merged-chr15-73492461-2
Merged-chr1-92774523-96	chr1	92773840	92775110	+	0.000	0.000	Merged-chr1-92774523-96
Merged-chr6-129608600-43	chr6	129608310	129608921	+	0.000	0.000	Merged-chr6-129608600-43
Merged-chr9-119055375-41	chr9	119055160	119055675	+	0.000	0.000	Merged-chr9-119055375-41
Merged-chr10-5800627-2	chr10	5800516	5800741	+	0.000	0.000	Merged-chr10-5800627-2
Merged-chr18-70597990-21	chr18	70597765	70598276	+	0.000	0.000	Merged-chr18-70597990-21
Merged-chr15-80619195-4	chr15	80618968	80619344	+	0.000	0.000	Merged-chr15-80619195-4
Merged-chr13-23751250-51	chr13	23751028	23751594	+	0.000	0.000	Merged-chr13-23751250-51
Merged-chr1-171782037-1	chr1	171781939	171782137	+	0.000	0.000	Merged-chr1-171782037-1
Merged-chr10-40179769-4	chr10	40179607	40180014	+	0.000	0.000	Merged-chr10-40179769-4
Merged-chr6-125355418-28	chr6	125355188	125355638	+	0.000	0.000	Merged-chr6-125355418-28
Merged-chr5-107079881-73	chr5	107079160	107080327	+	0.000	0.000	Merged-chr5-107079881-73
Merged-chr1-60883000-15	chr1	60882823	60883262	+	0.000	0.000	Merged-chr1-60883000-15
Merged-chr7-89168111-1	chr7	89168013	89168211	+	0.000	0.000	Merged-chr7-89168111-1
Merged-chr13-53109766-29	chr13	53109612	53110133	+	0.000	0.000	Merged-chr13-53109766-29
Merged-chr4-140906055-77	chr4	140905749	140906420	+	0.000	0.000	Merged-chr4-140906055-77
Merged-chr7-67445637-8	chr7	67445386	67445849	+	0.000	0.000	Merged-chr7-67445637-8
Merged-chr7-66108179-1	chr7	66108081	66108279	+	0.000	0.000	Merged-chr7-66108179-1
Merged-chr1-43431434-34	chr1	43431201	43431651	+	0.000	0.000	Merged-chr1-43431434-34
Merged-chr8-120589278-59	chr8	120589056	120589613	+	0.000	0.000	Merged-chr8-120589278-59
Merged-chr6-122758915-39	chr6	122758627	122759139	+	0.000	0.000	Merged-chr6-122758915-39
Merged-chr8-33968508-27	chr8	33968362	33968699	+	0.000	0.000	Merged-chr8-33968508-27
Merged-chr11-21238010-12	chr11	21237782	21238324	+	0.000	0.000	Merged-chr11-21238010-12
Merged-chr10-118495376-34	chr10	118494881	118495775	+	0.000	0.000	Merged-chr10-118495376-34
Merged-chr7-89247089-1	chr7	89246991	89247189	+	0.000	0.000	Merged-chr7-89247089-1
Merged-chr1-16106304-1	chr1	16106206	16106404	+	0.000	0.000	Merged-chr1-16106304-1
Merged-chr10-40084673-6	chr10	40084535	40084837	+	0.000	0.000	Merged-chr10-40084673-6
Merged-chr10-118100825-27	chr10	118100629	118101062	+	0.000	0.000	Merged-chr10-118100825-27
Merged-chr16-46010604-102	chr16	46010366	46010821	+	0.000	0.000	Merged-chr16-46010604-102
Merged-chr18-66457995-2	chr18	66457833	66458160	+	0.000	0.000	Merged-chr18-66457995-2
Merged-chr16-75877310-18	chr16	75877125	75877552	+	0.000	0.000	Merged-chr16-75877310-18
Merged-chr10-118481218-38	chr10	118480824	118481774	+	0.000	0.000	Merged-chr10-118481218-38
Merged-chr10-80569916-4	chr10	80569717	80570085	+	0.000	0.000	Merged-chr10-80569916-4
Merged-chr9-114781541-135	chr9	114781247	114781852	+	0.000	0.000	Merged-chr9-114781541-135
Merged-chr8-120811025-1	chr8	120810927	120811125	+	0.000	0.000	Merged-chr8-120811025-1
Merged-chr7-75914112-33	chr7	75913931	75914335	+	0.000	0.000	Merged-chr7-75914112-33
Merged-chr10-117829855-64	chr10	117829532	117830098	+	0.000	0.000	Merged-chr10-117829855-64
Merged-chr13-108316339-65	chr13	108316031	108316593	+	0.000	0.000	Merged-chr13-108316339-65
Merged-chr9-124100646-41	chr9	124100246	124100938	+	0.000	0.000	Merged-chr9-124100646-41
Merged-chr15-99030209-74	chr15	99029890	99030533	+	0.000	0.000	Merged-chr15-99030209-74
Merged-chrX-164034499-8	chrX	164034332	164034684	+	0.000	0.000	Merged-chrX-164034499-8
Merged-chr5-107101281-23	chr5	107101053	107101442	+	0.000	0.000	Merged-chr5-107101281-23
Merged-chr4-153957284-72	chr4	153957046	153957571	+	0.000	0.000	Merged-chr4-153957284-72
Merged-chr18-56399965-54	chr18	56399333	56400527	+	0.000	0.000	Merged-chr18-56399965-54
Merged-chr7-98309453-63	chr7	98309174	98309694	+	0.000	0.000	Merged-chr7-98309453-63
Merged-chr9-123717670-55	chr9	123717426	123717841	+	0.000	0.000	Merged-chr9-123717670-55
Merged-chr10-40177793-4	chr10	40177555	40177999	+	0.000	0.000	Merged-chr10-40177793-4
Merged-chr7-28677170-43	chr7	28676914	28677414	+	0.000	0.000	Merged-chr7-28677170-43
Merged-chr4-106529868-63	chr4	106529629	106530101	+	0.000	0.000	Merged-chr4-106529868-63
Merged-chr12-73631279-56	chr12	73631008	73631514	+	0.000	0.000	Merged-chr12-73631279-56
Merged-chr2-165653935-20	chr2	165653599	165654276	+	0.000	0.000	Merged-chr2-165653935-20
Merged-chr4-120570179-83	chr4	120569819	120570402	+	0.000	0.000	Merged-chr4-120570179-83
Merged-chr17-86674662-35	chr17	86674134	86675189	+	0.000	0.000	Merged-chr17-86674662-35
Merged-chr18-70580825-3	chr18	70580701	70580978	+	0.000	0.000	Merged-chr18-70580825-3
Merged-chr18-89245724-52	chr18	89245442	89246038	+	0.000	0.000	Merged-chr18-89245724-52
Merged-chr19-8919271-13	chr19	8919066	8919652	+	0.000	0.000	Merged-chr19-8919271-13
Merged-chr16-95749920-139	chr16	95749460	95750565	+	0.000	0.000	Merged-chr16-95749920-139
Merged-chr10-18064784-37	chr10	18064543	18064978	+	0.000	0.000	Merged-chr10-18064784-37
Merged-chr8-85699289-9	chr8	85699148	85699491	+	0.000	0.000	Merged-chr8-85699289-9
Merged-chr13-113794666-97	chr13	113794265	113794974	+	0.000	0.000	Merged-chr13-113794666-97
Merged-chr17-25861504-52	chr17	25861262	25861780	+	0.000	0.000	Merged-chr17-25861504-52
Merged-chr1-43457148-27	chr1	43456746	43457508	+	0.000	0.000	Merged-chr1-43457148-27
Merged-chr19-10695580-1	chr19	10695482	10695680	+	0.000	0.000	Merged-chr19-10695580-1
Merged-chr5-63967869-11	chr5	63967738	63968038	+	0.000	0.000	Merged-chr5-63967869-11
Merged-chr4-59214886-25	chr4	59214682	59215142	+	0.000	0.000	Merged-chr4-59214886-25
Merged-chr12-73628008-1	chr12	73627910	73628108	+	0.000	0.000	Merged-chr12-73628008-1
Merged-chr5-66055841-4	chr5	66055716	66055980	+	0.000	0.000	Merged-chr5-66055841-4
Merged-chr5-8674986-4	chr5	8674774	8675177	+	0.000	0.000	Merged-chr5-8674986-4
Merged-chr11-83185820-16	chr11	83185613	83185994	+	0.000	0.000	Merged-chr11-83185820-16
Merged-chr18-80265634-1	chr18	80265536	80265734	+	0.000	0.000	Merged-chr18-80265634-1
Merged-chr16-95769391-4	chr16	95769264	95769514	+	0.000	0.000	Merged-chr16-95769391-4
Merged-chr10-82780687-69	chr10	82780003	82781325	+	0.000	0.000	Merged-chr10-82780687-69
Merged-chr18-89238973-8	chr18	89238824	89239182	+	0.000	0.000	Merged-chr18-89238973-8
Merged-chr15-89355790-78	chr15	89355513	89356218	+	0.000	0.000	Merged-chr15-89355790-78
Merged-chr14-67932655-1	chr14	67932557	67932755	+	0.000	0.000	Merged-chr14-67932655-1
Merged-chr7-80442582-1	chr7	80442484	80442682	+	0.000	0.000	Merged-chr7-80442582-1
Merged-chr1-134121587-3	chr1	134121457	134121743	+	0.000	0.000	Merged-chr1-134121587-3
Merged-chr19-41333163-2	chr19	41333018	41333310	+	0.000	0.000	Merged-chr19-41333163-2
Merged-chr7-67353683-35	chr7	67353368	67354040	+	0.000	0.000	Merged-chr7-67353683-35
Merged-chrX-155338312-80	chrX	155337942	155338553	+	0.000	0.000	Merged-chrX-155338312-80
Merged-chrX-77810805-25	chrX	77810583	77810975	+	0.000	0.000	Merged-chrX-77810805-25
Merged-chr16-46021590-2	chr16	46021484	46021699	+	0.000	0.000	Merged-chr16-46021590-2
Merged-chr12-16532570-85	chr12	16532238	16533070	+	0.000	0.000	Merged-chr12-16532570-85
Merged-chr15-55848423-12	chr15	55848225	55848635	+	0.000	0.000	Merged-chr15-55848423-12
Merged-chr1-43544775-22	chr1	43544626	43544933	+	0.000	0.000	Merged-chr1-43544775-22
Merged-chr11-57805317-26	chr11	57805113	57805586	+	0.000	0.000	Merged-chr11-57805317-26
Merged-chr5-8422797-63	chr5	8422529	8423280	+	0.000	0.000	Merged-chr5-8422797-63
Merged-chr4-145250198-42	chr4	145250014	145250401	+	0.000	0.000	Merged-chr4-145250198-42
Merged-chr14-67716598-2	chr14	67716493	67716705	+	0.000	0.000	Merged-chr14-67716598-2
Merged-chr6-119159656-11	chr6	119159477	119159838	+	0.000	0.000	Merged-chr6-119159656-11
Merged-chr1-161693596-37	chr1	161693358	161693809	+	0.000	0.000	Merged-chr1-161693596-37
Merged-chr12-73702200-1	chr12	73702102	73702300	+	0.000	0.000	Merged-chr12-73702200-1
Merged-chr14-73118206-1	chr14	73118108	73118306	+	0.000	0.000	Merged-chr14-73118206-1
