#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_WT_Tfh.up.bed
Merged-chr17-73970626-10	chr17	73970451	73970824	+	0.000	0.000	Merged-chr17-73970626-10
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chr4-150808794-106	chr4	150808440	150809100	+	0.000	0.000	Merged-chr4-150808794-106
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr5-146860764-19	chr5	146860563	146861000	+	0.000	0.000	Merged-chr5-146860764-19
Merged-chr12-16584018-49	chr12	16583366	16584438	+	0.000	0.000	Merged-chr12-16584018-49
Merged-chr7-90353995-46	chr7	90353761	90354202	+	0.000	0.000	Merged-chr7-90353995-46
Merged-chr13-113090850-10	chr13	113090688	113091159	+	0.000	0.000	Merged-chr13-113090850-10
Merged-chr10-117918701-83	chr10	117918378	117919246	+	0.000	0.000	Merged-chr10-117918701-83
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr13-108337522-5	chr13	108337348	108337677	+	0.000	0.000	Merged-chr13-108337522-5
Merged-chr9-123807942-4	chr9	123807759	123808153	+	0.000	0.000	Merged-chr9-123807942-4
Merged-chr10-89463808-10	chr10	89463628	89464065	+	0.000	0.000	Merged-chr10-89463808-10
Merged-chr11-46467033-45	chr11	46466826	46467266	+	0.000	0.000	Merged-chr11-46467033-45
Merged-chr1-153321591-2	chr1	153321476	153321708	+	0.000	0.000	Merged-chr1-153321591-2
Merged-chr5-112239781-12	chr5	112239663	112239907	+	0.000	0.000	Merged-chr5-112239781-12
Merged-chr17-77514015-1	chr17	77513917	77514115	+	0.000	0.000	Merged-chr17-77514015-1
Merged-chr2-132843527-2	chr2	132843423	132843633	+	0.000	0.000	Merged-chr2-132843527-2
Merged-chr9-124103386-22	chr9	124103123	124103577	+	0.000	0.000	Merged-chr9-124103386-22
Merged-chr5-9015309-72	chr5	9014878	9015739	+	0.000	0.000	Merged-chr5-9015309-72
Merged-chr2-154569753-87	chr2	154569524	154569949	+	0.000	0.000	Merged-chr2-154569753-87
Merged-chr7-112210103-38	chr7	112209700	112210389	+	0.000	0.000	Merged-chr7-112210103-38
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr1-60920511-54	chr1	60920166	60920817	+	0.000	0.000	Merged-chr1-60920511-54
Merged-chr7-89235505-11	chr7	89235260	89235887	+	0.000	0.000	Merged-chr7-89235505-11
Merged-chr8-33663493-16	chr8	33663265	33663751	+	0.000	0.000	Merged-chr8-33663493-16
Merged-chr18-70574715-49	chr18	70573817	70575598	+	0.000	0.000	Merged-chr18-70574715-49
Merged-chr1-40516465-22	chr1	40516261	40516674	+	0.000	0.000	Merged-chr1-40516465-22
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr9-114780809-3	chr9	114780613	114781048	+	0.000	0.000	Merged-chr9-114780809-3
Merged-chrX-142228756-3	chrX	142228582	142228902	+	0.000	0.000	Merged-chrX-142228756-3
Merged-chr7-67444614-20	chr7	67444418	67444828	+	0.000	0.000	Merged-chr7-67444614-20
Merged-chr2-60923694-43	chr2	60923074	60924117	+	0.000	0.000	Merged-chr2-60923694-43
Merged-chr8-120889347-18	chr8	120889053	120889494	+	0.000	0.000	Merged-chr8-120889347-18
Merged-chr15-89354915-1	chr15	89354817	89355015	+	0.000	0.000	Merged-chr15-89354915-1
Merged-chr6-42343728-43	chr6	42343441	42344074	+	0.000	0.000	Merged-chr6-42343728-43
Merged-chr4-150799595-6	chr4	150799439	150799735	+	0.000	0.000	Merged-chr4-150799595-6
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr13-41487140-66	chr13	41486849	41487410	+	0.000	0.000	Merged-chr13-41487140-66
Merged-chr7-126287696-12	chr7	126287555	126287822	+	0.000	0.000	Merged-chr7-126287696-12
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chr6-97321339-36	chr6	97321165	97321547	+	0.000	0.000	Merged-chr6-97321339-36
Merged-chrX-164027993-42	chrX	164027618	164028237	+	0.000	0.000	Merged-chrX-164027993-42
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr3-104714697-56	chr3	104714095	104715317	+	0.000	0.000	Merged-chr3-104714697-56
Merged-chrX-167206151-49	chrX	167205867	167206493	+	0.000	0.000	Merged-chrX-167206151-49
Merged-chr1-40515347-62	chr1	40514887	40515832	+	0.000	0.000	Merged-chr1-40515347-62
Merged-chr7-67305058-11	chr7	67304887	67305322	+	0.000	0.000	Merged-chr7-67305058-11
Merged-chr15-83463775-2	chr15	83463658	83463894	+	0.000	0.000	Merged-chr15-83463775-2
Merged-chr6-8617453-7	chr6	8617300	8617584	+	0.000	0.000	Merged-chr6-8617453-7
Merged-chr11-21192059-23	chr11	21191875	21192308	+	0.000	0.000	Merged-chr11-21192059-23
Merged-chr7-66175950-28	chr7	66175737	66176156	+	0.000	0.000	Merged-chr7-66175950-28
Merged-chr10-117984742-1	chr10	117984644	117984842	+	0.000	0.000	Merged-chr10-117984742-1
Merged-chr2-3294968-14	chr2	3294671	3295283	+	0.000	0.000	Merged-chr2-3294968-14
Merged-chr19-5850230-41	chr19	5850036	5850452	+	0.000	0.000	Merged-chr19-5850230-41
Merged-chr9-54642751-52	chr9	54642348	54642999	+	0.000	0.000	Merged-chr9-54642751-52
Merged-chr8-117052612-3	chr8	117052458	117052779	+	0.000	0.000	Merged-chr8-117052612-3
Merged-chr6-129581582-35	chr6	129581215	129582197	+	0.000	0.000	Merged-chr6-129581582-35
Merged-chr1-85962322-20	chr1	85962106	85962492	+	0.000	0.000	Merged-chr1-85962322-20
Merged-chr13-108338437-54	chr13	108337981	108338759	+	0.000	0.000	Merged-chr13-108338437-54
Merged-chr4-145263821-10	chr4	145263671	145263956	+	0.000	0.000	Merged-chr4-145263821-10
Merged-chr4-134102653-39	chr4	134102443	134102848	+	0.000	0.000	Merged-chr4-134102653-39
Merged-chr10-81538773-24	chr10	81538585	81538965	+	0.000	0.000	Merged-chr10-81538773-24
Merged-chr1-153320307-48	chr1	153319921	153320575	+	0.000	0.000	Merged-chr1-153320307-48
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr1-120234014-4	chr1	120233854	120234175	+	0.000	0.000	Merged-chr1-120234014-4
Merged-chr19-8929599-92	chr19	8929292	8929967	+	0.000	0.000	Merged-chr19-8929599-92
Merged-chr5-23713772-1	chr5	23713674	23713872	+	0.000	0.000	Merged-chr5-23713772-1
Merged-chr4-129377471-70	chr4	129376991	129378033	+	0.000	0.000	Merged-chr4-129377471-70
Merged-chr14-78677912-1	chr14	78677814	78678012	+	0.000	0.000	Merged-chr14-78677912-1
Merged-chr5-107758566-1	chr5	107758468	107758666	+	0.000	0.000	Merged-chr5-107758566-1
Merged-chr15-80012469-1	chr15	80012371	80012569	+	0.000	0.000	Merged-chr15-80012469-1
Merged-chr10-54032709-48	chr10	54032302	54032990	+	0.000	0.000	Merged-chr10-54032709-48
Merged-chr5-124036617-4	chr5	124036481	124036814	+	0.000	0.000	Merged-chr5-124036617-4
Merged-chr19-41384820-59	chr19	41384470	41385209	+	0.000	0.000	Merged-chr19-41384820-59
Merged-chr17-5840889-4	chr17	5840729	5841029	+	0.000	0.000	Merged-chr17-5840889-4
Merged-chr1-144301647-17	chr1	144301456	144301892	+	0.000	0.000	Merged-chr1-144301647-17
Merged-chr7-112238810-51	chr7	112238434	112239251	+	0.000	0.000	Merged-chr7-112238810-51
Merged-chr15-55829027-67	chr15	55828619	55829240	+	0.000	0.000	Merged-chr15-55829027-67
Merged-chr9-83830058-10	chr9	83829808	83830273	+	0.000	0.000	Merged-chr9-83830058-10
Merged-chr7-90286299-8	chr7	90286133	90286455	+	0.000	0.000	Merged-chr7-90286299-8
Merged-chr10-18070790-14	chr10	18070552	18071033	+	0.000	0.000	Merged-chr10-18070790-14
Merged-chr7-88206806-101	chr7	88206446	88207218	+	0.000	0.000	Merged-chr7-88206806-101
Merged-chr10-118470709-40	chr10	118470561	118470917	+	0.000	0.000	Merged-chr10-118470709-40
Merged-chr1-43563372-10	chr1	43563175	43563644	+	0.000	0.000	Merged-chr1-43563372-10
Merged-chr3-87274512-10	chr3	87274326	87274757	+	0.000	0.000	Merged-chr3-87274512-10
Merged-chr8-122567923-90	chr8	122567448	122568261	+	0.000	0.000	Merged-chr8-122567923-90
Merged-chr10-117948025-58	chr10	117947774	117948237	+	0.000	0.000	Merged-chr10-117948025-58
Merged-chr2-32492896-1	chr2	32492798	32492996	+	0.000	0.000	Merged-chr2-32492896-1
Merged-chr17-29268930-47	chr17	29268694	29269150	+	0.000	0.000	Merged-chr17-29268930-47
Merged-chr1-85953523-25	chr1	85953160	85953861	+	0.000	0.000	Merged-chr1-85953523-25
Merged-chr13-107831387-49	chr13	107831132	107831735	+	0.000	0.000	Merged-chr13-107831387-49
Merged-chr12-73720755-50	chr12	73720561	73720973	+	0.000	0.000	Merged-chr12-73720755-50
Merged-chr9-94441414-62	chr9	94441020	94441874	+	0.000	0.000	Merged-chr9-94441414-62
Merged-chr12-99407209-65	chr12	99406786	99407529	+	0.000	0.000	Merged-chr12-99407209-65
Merged-chr4-41770467-12	chr4	41770322	41770663	+	0.000	0.000	Merged-chr4-41770467-12
Merged-chr10-18917466-61	chr10	18917227	18917720	+	0.000	0.000	Merged-chr10-18917466-61
Merged-chr1-153304811-42	chr1	153304469	153305118	+	0.000	0.000	Merged-chr1-153304811-42
Merged-chr7-75863636-9	chr7	75863414	75863836	+	0.000	0.000	Merged-chr7-75863636-9
Merged-chr14-78725077-79	chr14	78724702	78725358	+	0.000	0.000	Merged-chr14-78725077-79
Merged-chr13-108297760-66	chr13	108297507	108298009	+	0.000	0.000	Merged-chr13-108297760-66
Merged-chr7-63984461-22	chr7	63984282	63984699	+	0.000	0.000	Merged-chr7-63984461-22
Merged-chr8-124275920-41	chr8	124275716	124276094	+	0.000	0.000	Merged-chr8-124275920-41
Merged-chr4-138456705-1	chr4	138456607	138456805	+	0.000	0.000	Merged-chr4-138456705-1
Merged-chr1-43464156-11	chr1	43463980	43464416	+	0.000	0.000	Merged-chr1-43464156-11
Merged-chr1-43539531-10	chr1	43539424	43539654	+	0.000	0.000	Merged-chr1-43539531-10
Merged-chr12-73656860-57	chr12	73656475	73657374	+	0.000	0.000	Merged-chr12-73656860-57
Merged-chr7-88277269-1	chr7	88277171	88277369	+	0.000	0.000	Merged-chr7-88277269-1
Merged-chr8-35430856-53	chr8	35430643	35431106	+	0.000	0.000	Merged-chr8-35430856-53
Merged-chr10-117909375-9	chr10	117909257	117909492	+	0.000	0.000	Merged-chr10-117909375-9
Merged-chr10-92712081-1	chr10	92711983	92712181	+	0.000	0.000	Merged-chr10-92712081-1
Merged-chr7-127281292-1	chr7	127281194	127281392	+	0.000	0.000	Merged-chr7-127281292-1
Merged-chr2-112222905-42	chr2	112222543	112223354	+	0.000	0.000	Merged-chr2-112222905-42
Merged-chr7-75796614-49	chr7	75796309	75796858	+	0.000	0.000	Merged-chr7-75796614-49
Merged-chr7-45082426-1	chr7	45082328	45082526	+	0.000	0.000	Merged-chr7-45082426-1
Merged-chr7-80402122-1	chr7	80402024	80402222	+	0.000	0.000	Merged-chr7-80402122-1
Merged-chr3-104771571-48	chr3	104771313	104772013	+	0.000	0.000	Merged-chr3-104771571-48
Merged-chr1-120245710-33	chr1	120245474	120246063	+	0.000	0.000	Merged-chr1-120245710-33
Merged-chr9-83480905-1	chr9	83480807	83481005	+	0.000	0.000	Merged-chr9-83480905-1
Merged-chr4-106562030-2	chr4	106561927	106562136	+	0.000	0.000	Merged-chr4-106562030-2
Merged-chr10-118419236-59	chr10	118419026	118419589	+	0.000	0.000	Merged-chr10-118419236-59
Merged-chr7-105399242-2	chr7	105399126	105399361	+	0.000	0.000	Merged-chr7-105399242-2
Merged-chr19-37435573-9	chr19	37435351	37435810	+	0.000	0.000	Merged-chr19-37435573-9
Merged-chr7-142394930-4	chr7	142394789	142395129	+	0.000	0.000	Merged-chr7-142394930-4
Merged-chr12-69416933-41	chr12	69416683	69417230	+	0.000	0.000	Merged-chr12-69416933-41
Merged-chr11-97977998-15	chr11	97977781	97978189	+	0.000	0.000	Merged-chr11-97977998-15
Merged-chr4-116123762-43	chr4	116123465	116124091	+	0.000	0.000	Merged-chr4-116123762-43
Merged-chr16-46001866-55	chr16	46001457	46002184	+	0.000	0.000	Merged-chr16-46001866-55
Merged-chr1-43431088-1	chr1	43430990	43431188	+	0.000	0.000	Merged-chr1-43431088-1
Merged-chr9-79970896-33	chr9	79970697	79971186	+	0.000	0.000	Merged-chr9-79970896-33
Merged-chr13-55330050-91	chr13	55329780	55330319	+	0.000	0.000	Merged-chr13-55330050-91
Merged-chr6-97352887-53	chr6	97352525	97353163	+	0.000	0.000	Merged-chr6-97352887-53
Merged-chr13-107869033-28	chr13	107868776	107869361	+	0.000	0.000	Merged-chr13-107869033-28
Merged-chr10-117975710-27	chr10	117975380	117975962	+	0.000	0.000	Merged-chr10-117975710-27
Merged-chr14-122951933-82	chr14	122951637	122952556	+	0.000	0.000	Merged-chr14-122951933-82
Merged-chr5-138171798-117	chr5	138171560	138172249	+	0.000	0.000	Merged-chr5-138171798-117
Merged-chr6-128826735-1	chr6	128826637	128826835	+	0.000	0.000	Merged-chr6-128826735-1
Merged-chr10-61297508-64	chr10	61297211	61297801	+	0.000	0.000	Merged-chr10-61297508-64
Merged-chr11-49984021-27	chr11	49983771	49984302	+	0.000	0.000	Merged-chr11-49984021-27
Merged-chr8-117033568-28	chr8	117033354	117033794	+	0.000	0.000	Merged-chr8-117033568-28
Merged-chr14-56284559-51	chr14	56284222	56284855	+	0.000	0.000	Merged-chr14-56284559-51
Merged-chr15-76639801-70	chr15	76639594	76639984	+	0.000	0.000	Merged-chr15-76639801-70
Merged-chr14-56296322-5	chr14	56296176	56296481	+	0.000	0.000	Merged-chr14-56296322-5
Merged-chr11-46453304-7	chr11	46453083	46453530	+	0.000	0.000	Merged-chr11-46453304-7
Merged-chr3-104780834-109	chr3	104779975	104781563	+	0.000	0.000	Merged-chr3-104780834-109
Merged-chr4-134642170-32	chr4	134641924	134642370	+	0.000	0.000	Merged-chr4-134642170-32
Merged-chr1-60907642-6	chr1	60907480	60907795	+	0.000	0.000	Merged-chr1-60907642-6
Merged-chr17-35813824-22	chr17	35813646	35814077	+	0.000	0.000	Merged-chr17-35813824-22
Merged-chr11-83536986-33	chr11	83536608	83537331	+	0.000	0.000	Merged-chr11-83536986-33
Merged-chr19-5084641-1	chr19	5084543	5084741	+	0.000	0.000	Merged-chr19-5084641-1
Merged-chr11-55077805-107	chr11	55077345	55078321	+	0.000	0.000	Merged-chr11-55077805-107
Merged-chr15-74989113-124	chr15	74988505	74989667	+	0.000	0.000	Merged-chr15-74989113-124
Merged-chr10-99097560-20	chr10	99097349	99097768	+	0.000	0.000	Merged-chr10-99097560-20
Merged-chr3-59120352-78	chr3	59120037	59120591	+	0.000	0.000	Merged-chr3-59120352-78
Merged-chr11-97936039-14	chr11	97935765	97936223	+	0.000	0.000	Merged-chr11-97936039-14
Merged-chr11-107465250-2	chr11	107465132	107465371	+	0.000	0.000	Merged-chr11-107465250-2
Merged-chr19-40685337-3	chr19	40685207	40685458	+	0.000	0.000	Merged-chr19-40685337-3
Merged-chr19-34922079-98	chr19	34921861	34922443	+	0.000	0.000	Merged-chr19-34922079-98
Merged-chr15-97830895-4	chr15	97830753	97831039	+	0.000	0.000	Merged-chr15-97830895-4
Merged-chr1-144333068-3	chr1	144332947	144333190	+	0.000	0.000	Merged-chr1-144333068-3
Merged-chr1-170978852-11	chr1	170978681	170978995	+	0.000	0.000	Merged-chr1-170978852-11
Merged-chr4-116123033-2	chr4	116122912	116123156	+	0.000	0.000	Merged-chr4-116123033-2
Merged-chr7-66118287-18	chr7	66118126	66118434	+	0.000	0.000	Merged-chr7-66118287-18
Merged-chr17-5885218-3	chr17	5885029	5885437	+	0.000	0.000	Merged-chr17-5885218-3
Merged-chrX-167182631-37	chrX	167182396	167182822	+	0.000	0.000	Merged-chrX-167182631-37
Merged-chr8-124255729-8	chr8	124255590	124255864	+	0.000	0.000	Merged-chr8-124255729-8
Merged-chr3-108730497-6	chr3	108730336	108730647	+	0.000	0.000	Merged-chr3-108730497-6
Merged-chr11-107454779-3	chr11	107454632	107454933	+	0.000	0.000	Merged-chr11-107454779-3
Merged-chr5-107759301-16	chr5	107759144	107759537	+	0.000	0.000	Merged-chr5-107759301-16
Merged-chr17-73869364-53	chr17	73869136	73869606	+	0.000	0.000	Merged-chr17-73869364-53
Merged-chr6-97458148-8	chr6	97457970	97458318	+	0.000	0.000	Merged-chr6-97458148-8
Merged-chr2-29890513-1	chr2	29890415	29890613	+	0.000	0.000	Merged-chr2-29890513-1
Merged-chr7-66300872-27	chr7	66300634	66301148	+	0.000	0.000	Merged-chr7-66300872-27
Merged-chr15-78522107-6	chr15	78521974	78522282	+	0.000	0.000	Merged-chr15-78522107-6
Merged-chr6-97387044-2	chr6	97386933	97387158	+	0.000	0.000	Merged-chr6-97387044-2
Merged-chr5-112220290-48	chr5	112219884	112220716	+	0.000	0.000	Merged-chr5-112220290-48
Merged-chr7-112220361-1	chr7	112220263	112220461	+	0.000	0.000	Merged-chr7-112220361-1
Merged-chr5-120688663-27	chr5	120688467	120688862	+	0.000	0.000	Merged-chr5-120688663-27
Merged-chr6-54040016-79	chr6	54039603	54040467	+	0.000	0.000	Merged-chr6-54040016-79
Merged-chr4-107092821-12	chr4	107092652	107093088	+	0.000	0.000	Merged-chr4-107092821-12
Merged-chr11-102930777-13	chr11	102930534	102931029	+	0.000	0.000	Merged-chr11-102930777-13
Merged-chr7-66160187-16	chr7	66160014	66160412	+	0.000	0.000	Merged-chr7-66160187-16
Merged-chr3-90514906-78	chr3	90514405	90515252	+	0.000	0.000	Merged-chr3-90514906-78
Merged-chr10-95415735-33	chr10	95415256	95416120	+	0.000	0.000	Merged-chr10-95415735-33
Merged-chr4-46572844-6	chr4	46572695	46572980	+	0.000	0.000	Merged-chr4-46572844-6
Merged-chr6-130340402-11	chr6	130340156	130340589	+	0.000	0.000	Merged-chr6-130340402-11
Merged-chr1-171793480-13	chr1	171793311	171793638	+	0.000	0.000	Merged-chr1-171793480-13
Merged-chr13-21779684-65	chr13	21779252	21780117	+	0.000	0.000	Merged-chr13-21779684-65
Merged-chr10-117831011-28	chr10	117830772	117831201	+	0.000	0.000	Merged-chr10-117831011-28
Merged-chr2-151569776-39	chr2	151569616	151570017	+	0.000	0.000	Merged-chr2-151569776-39
Merged-chr11-83550444-44	chr11	83550222	83550764	+	0.000	0.000	Merged-chr11-83550444-44
Merged-chr10-117861044-50	chr10	117860749	117861258	+	0.000	0.000	Merged-chr10-117861044-50
Merged-chr12-16580677-15	chr12	16580325	16580877	+	0.000	0.000	Merged-chr12-16580677-15
Merged-chr13-5871752-1	chr13	5871654	5871852	+	0.000	0.000	Merged-chr13-5871752-1
Merged-chr13-21780515-12	chr13	21780294	21780684	+	0.000	0.000	Merged-chr13-21780515-12
Merged-chr12-16331706-19	chr12	16331486	16331887	+	0.000	0.000	Merged-chr12-16331706-19
Merged-chr7-63987101-39	chr7	63986816	63987311	+	0.000	0.000	Merged-chr7-63987101-39
Merged-chr12-100907082-32	chr12	100906664	100907329	+	0.000	0.000	Merged-chr12-100907082-32
Merged-chr8-120888773-7	chr8	120888636	120888926	+	0.000	0.000	Merged-chr8-120888773-7
Merged-chr2-155385269-27	chr2	155385138	155385467	+	0.000	0.000	Merged-chr2-155385269-27
Merged-chr13-13559096-31	chr13	13558821	13559304	+	0.000	0.000	Merged-chr13-13559096-31
Merged-chr17-23740496-75	chr17	23740194	23740888	+	0.000	0.000	Merged-chr17-23740496-75
Merged-chr2-60843166-7	chr2	60843024	60843328	+	0.000	0.000	Merged-chr2-60843166-7
