#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Th1.dn.bed
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr2-59647152-67	chr2	59646877	59647434	+	0.000	0.000	Merged-chr2-59647152-67
Merged-chrX-13516607-3	chrX	13516503	13516713	+	0.000	0.000	Merged-chrX-13516607-3
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr5-122652679-26	chr5	122652524	122652895	+	0.000	0.000	Merged-chr5-122652679-26
Merged-chr5-114213414-22	chr5	114213243	114213626	+	0.000	0.000	Merged-chr5-114213414-22
Merged-chr6-41605096-109	chr6	41604857	41605523	+	0.000	0.000	Merged-chr6-41605096-109
Merged-chr2-61402469-66	chr2	61401961	61403019	+	0.000	0.000	Merged-chr2-61402469-66
Merged-chr15-86087524-4	chr15	86087408	86087657	+	0.000	0.000	Merged-chr15-86087524-4
Merged-chr7-99798520-10	chr7	99798351	99798645	+	0.000	0.000	Merged-chr7-99798520-10
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr7-28372841-69	chr7	28372574	28373043	+	0.000	0.000	Merged-chr7-28372841-69
Merged-chr1-138248934-12	chr1	138248767	138249130	+	0.000	0.000	Merged-chr1-138248934-12
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr15-97605953-1	chr15	97605855	97606053	+	0.000	0.000	Merged-chr15-97605953-1
Merged-chr11-99255472-31	chr11	99255177	99255701	+	0.000	0.000	Merged-chr11-99255472-31
Merged-chr1-181230993-50	chr1	181230656	181231299	+	0.000	0.000	Merged-chr1-181230993-50
Merged-chr5-122989826-18	chr5	122989642	122990097	+	0.000	0.000	Merged-chr5-122989826-18
Merged-chr1-164973033-32	chr1	164972821	164973311	+	0.000	0.000	Merged-chr1-164973033-32
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr8-81857763-3	chr8	81857657	81857874	+	0.000	0.000	Merged-chr8-81857763-3
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr4-155354250-14	chr4	155354088	155354433	+	0.000	0.000	Merged-chr4-155354250-14
Merged-chr6-115519250-24	chr6	115518886	115519652	+	0.000	0.000	Merged-chr6-115519250-24
Merged-chr3-137871373-10	chr3	137871185	137871554	+	0.000	0.000	Merged-chr3-137871373-10
Merged-chr2-169329453-1	chr2	169329355	169329553	+	0.000	0.000	Merged-chr2-169329453-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr11-75935950-26	chr11	75935676	75936156	+	0.000	0.000	Merged-chr11-75935950-26
Merged-chr15-64213245-15	chr15	64213087	64213428	+	0.000	0.000	Merged-chr15-64213245-15
Merged-chr12-40795595-1	chr12	40795497	40795695	+	0.000	0.000	Merged-chr12-40795595-1
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr19-38775813-4	chr19	38775658	38775950	+	0.000	0.000	Merged-chr19-38775813-4
Merged-chr2-163166400-55	chr2	163166058	163166720	+	0.000	0.000	Merged-chr2-163166400-55
Merged-chr16-89973258-46	chr16	89973033	89973545	+	0.000	0.000	Merged-chr16-89973258-46
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr11-52273808-1	chr11	52273710	52273908	+	0.000	0.000	Merged-chr11-52273808-1
Merged-chr9-61679928-43	chr9	61679710	61680228	+	0.000	0.000	Merged-chr9-61679928-43
Merged-chr2-174602370-60	chr2	174602094	174602828	+	0.000	0.000	Merged-chr2-174602370-60
Merged-chr15-27923818-49	chr15	27923601	27924034	+	0.000	0.000	Merged-chr15-27923818-49
Merged-chr15-57600810-7	chr15	57600662	57600940	+	0.000	0.000	Merged-chr15-57600810-7
Merged-chr7-99381387-71	chr7	99381090	99381780	+	0.000	0.000	Merged-chr7-99381387-71
Merged-chr10-96617072-57	chr10	96616709	96617309	+	0.000	0.000	Merged-chr10-96617072-57
Merged-chr6-90583387-2	chr6	90583286	90583491	+	0.000	0.000	Merged-chr6-90583387-2
Merged-chr8-119441018-36	chr8	119440691	119441289	+	0.000	0.000	Merged-chr8-119441018-36
Merged-chrX-42500778-7	chrX	42500632	42500958	+	0.000	0.000	Merged-chrX-42500778-7
Merged-chr16-89986994-3	chr16	89986792	89987241	+	0.000	0.000	Merged-chr16-89986994-3
Merged-chr10-121189304-59	chr10	121189029	121189854	+	0.000	0.000	Merged-chr10-121189304-59
Merged-chr10-76844808-11	chr10	76844504	76845140	+	0.000	0.000	Merged-chr10-76844808-11
Merged-chr3-68784168-43	chr3	68783871	68784450	+	0.000	0.000	Merged-chr3-68784168-43
Merged-chr6-147487920-1	chr6	147487822	147488020	+	0.000	0.000	Merged-chr6-147487920-1
Merged-chrX-57180793-4	chrX	57180647	57180929	+	0.000	0.000	Merged-chrX-57180793-4
Merged-chr2-3332756-84	chr2	3332570	3332989	+	0.000	0.000	Merged-chr2-3332756-84
Merged-chr12-85280315-60	chr12	85279980	85280591	+	0.000	0.000	Merged-chr12-85280315-60
Merged-chr10-13968250-6	chr10	13968087	13968432	+	0.000	0.000	Merged-chr10-13968250-6
Merged-chr3-69044353-2	chr3	69044212	69044496	+	0.000	0.000	Merged-chr3-69044353-2
Merged-chr3-121370150-110	chr3	121369598	121370352	+	0.000	0.000	Merged-chr3-121370150-110
Merged-chr12-8844937-14	chr12	8844706	8845089	+	0.000	0.000	Merged-chr12-8844937-14
Merged-chr14-65343819-62	chr14	65343606	65344042	+	0.000	0.000	Merged-chr14-65343819-62
Merged-chr16-57393364-8	chr16	57393224	57393503	+	0.000	0.000	Merged-chr16-57393364-8
Merged-chr6-94676965-1	chr6	94676867	94677065	+	0.000	0.000	Merged-chr6-94676965-1
Merged-chr10-79097325-71	chr10	79097069	79097604	+	0.000	0.000	Merged-chr10-79097325-71
Merged-chr17-73174368-48	chr17	73174196	73174606	+	0.000	0.000	Merged-chr17-73174368-48
Merged-chr9-61671176-5	chr9	61670915	61671355	+	0.000	0.000	Merged-chr9-61671176-5
Merged-chr4-120393199-1	chr4	120393101	120393299	+	0.000	0.000	Merged-chr4-120393199-1
Merged-chr11-19987339-30	chr11	19987120	19987585	+	0.000	0.000	Merged-chr11-19987339-30
Merged-chr11-83605629-6	chr11	83605471	83605760	+	0.000	0.000	Merged-chr11-83605629-6
Merged-chr19-29253972-33	chr19	29253697	29254158	+	0.000	0.000	Merged-chr19-29253972-33
Merged-chr18-54940174-2	chr18	54940068	54940283	+	0.000	0.000	Merged-chr18-54940174-2
Merged-chr7-16207547-67	chr7	16207128	16207902	+	0.000	0.000	Merged-chr7-16207547-67
Merged-chr7-82834673-11	chr7	82834347	82834902	+	0.000	0.000	Merged-chr7-82834673-11
Merged-chr13-49187713-119	chr13	49187449	49187931	+	0.000	0.000	Merged-chr13-49187713-119
Merged-chr11-61670101-49	chr11	61669845	61670429	+	0.000	0.000	Merged-chr11-61670101-49
Merged-chr1-111864716-124	chr1	111864509	111865032	+	0.000	0.000	Merged-chr1-111864716-124
Merged-chr1-192598517-22	chr1	192598169	192598742	+	0.000	0.000	Merged-chr1-192598517-22
Merged-chr6-128793190-10	chr6	128793038	128793323	+	0.000	0.000	Merged-chr6-128793190-10
Merged-chr2-91070387-59	chr2	91070079	91070700	+	0.000	0.000	Merged-chr2-91070387-59
Merged-chr2-77148086-49	chr2	77147190	77148560	+	0.000	0.000	Merged-chr2-77148086-49
Merged-chrX-12135840-5	chrX	12135684	12136048	+	0.000	0.000	Merged-chrX-12135840-5
Merged-chr2-71002742-5	chr2	71002608	71002877	+	0.000	0.000	Merged-chr2-71002742-5
Merged-chr7-139412509-29	chr7	139412206	139412782	+	0.000	0.000	Merged-chr7-139412509-29
Merged-chr2-169586069-2	chr2	169585970	169586170	+	0.000	0.000	Merged-chr2-169586069-2
Merged-chr13-99385105-49	chr13	99384770	99385501	+	0.000	0.000	Merged-chr13-99385105-49
Merged-chr1-190562762-1	chr1	190562664	190562862	+	0.000	0.000	Merged-chr1-190562762-1
Merged-chr14-55092310-50	chr14	55092010	55092532	+	0.000	0.000	Merged-chr14-55092310-50
Merged-chr12-85945472-7	chr12	85945295	85945690	+	0.000	0.000	Merged-chr12-85945472-7
Merged-chr16-89872318-26	chr16	89872126	89872567	+	0.000	0.000	Merged-chr16-89872318-26
Merged-chr18-79003729-2	chr18	79003569	79003891	+	0.000	0.000	Merged-chr18-79003729-2
Merged-chr5-125183698-27	chr5	125183509	125183898	+	0.000	0.000	Merged-chr5-125183698-27
Merged-chr15-36282505-1	chr15	36282407	36282605	+	0.000	0.000	Merged-chr15-36282505-1
Merged-chr12-36019766-41	chr12	36019509	36020048	+	0.000	0.000	Merged-chr12-36019766-41
Merged-chr2-18917175-84	chr2	18916546	18917685	+	0.000	0.000	Merged-chr2-18917175-84
Merged-chr10-121429289-15	chr10	121429127	121429454	+	0.000	0.000	Merged-chr10-121429289-15
Merged-chr5-92375346-95	chr5	92375092	92375717	+	0.000	0.000	Merged-chr5-92375346-95
Merged-chr6-89678862-1	chr6	89678764	89678962	+	0.000	0.000	Merged-chr6-89678862-1
Merged-chr4-95800562-1	chr4	95800464	95800662	+	0.000	0.000	Merged-chr4-95800562-1
Merged-chr1-94075001-17	chr1	94074679	94075248	+	0.000	0.000	Merged-chr1-94075001-17
Merged-chr16-89974505-28	chr16	89974239	89974710	+	0.000	0.000	Merged-chr16-89974505-28
Merged-chr9-118750873-69	chr9	118750578	118751212	+	0.000	0.000	Merged-chr9-118750873-69
Merged-chr2-144646502-21	chr2	144646288	144646681	+	0.000	0.000	Merged-chr2-144646502-21
Merged-chr7-39552657-55	chr7	39552406	39552938	+	0.000	0.000	Merged-chr7-39552657-55
Merged-chr4-149308329-1	chr4	149308231	149308429	+	0.000	0.000	Merged-chr4-149308329-1
Merged-chr1-172000780-26	chr1	172000616	172000928	+	0.000	0.000	Merged-chr1-172000780-26
Merged-chr5-103425256-74	chr5	103424849	103425607	+	0.000	0.000	Merged-chr5-103425256-74
Merged-chr4-150545055-50	chr4	150544831	150545246	+	0.000	0.000	Merged-chr4-150545055-50
Merged-chr7-78909216-11	chr7	78909051	78909406	+	0.000	0.000	Merged-chr7-78909216-11
Merged-chr9-86150259-1	chr9	86150161	86150359	+	0.000	0.000	Merged-chr9-86150259-1
Merged-chr18-55592661-1	chr18	55592563	55592761	+	0.000	0.000	Merged-chr18-55592661-1
Merged-chr13-95122847-5	chr13	95122732	95122963	+	0.000	0.000	Merged-chr13-95122847-5
Merged-chr9-85844463-1	chr9	85844365	85844563	+	0.000	0.000	Merged-chr9-85844463-1
Merged-chr6-6225651-1	chr6	6225553	6225751	+	0.000	0.000	Merged-chr6-6225651-1
Merged-chr18-54900599-82	chr18	54900310	54900956	+	0.000	0.000	Merged-chr18-54900599-82
Merged-chr12-98628210-48	chr12	98627852	98628478	+	0.000	0.000	Merged-chr12-98628210-48
Merged-chr15-83629458-9	chr15	83629303	83629624	+	0.000	0.000	Merged-chr15-83629458-9
Merged-chr11-75913481-1	chr11	75913383	75913581	+	0.000	0.000	Merged-chr11-75913481-1
Merged-chr2-60037299-59	chr2	60037061	60037497	+	0.000	0.000	Merged-chr2-60037299-59
Merged-chr1-192536022-1	chr1	192535924	192536122	+	0.000	0.000	Merged-chr1-192536022-1
Merged-chr14-18238842-138	chr14	18238520	18239011	+	0.000	0.000	Merged-chr14-18238842-138
Merged-chr9-86090160-1	chr9	86090062	86090260	+	0.000	0.000	Merged-chr9-86090160-1
Merged-chr15-99341315-43	chr15	99341073	99341631	+	0.000	0.000	Merged-chr15-99341315-43
Merged-chr6-147570106-1	chr6	147570008	147570206	+	0.000	0.000	Merged-chr6-147570106-1
Merged-chr2-131492046-74	chr2	131491669	131492541	+	0.000	0.000	Merged-chr2-131492046-74
Merged-chr12-16133558-59	chr12	16133177	16133934	+	0.000	0.000	Merged-chr12-16133558-59
Merged-chr18-79257508-110	chr18	79257201	79257744	+	0.000	0.000	Merged-chr18-79257508-110
Merged-chr7-132367272-1	chr7	132367174	132367372	+	0.000	0.000	Merged-chr7-132367272-1
Merged-chr9-102835165-61	chr9	102834947	102835517	+	0.000	0.000	Merged-chr9-102835165-61
Merged-chr1-94376031-2	chr1	94375922	94376142	+	0.000	0.000	Merged-chr1-94376031-2
Merged-chr12-36025776-21	chr12	36025568	36026049	+	0.000	0.000	Merged-chr12-36025776-21
Merged-chr1-155195240-7	chr1	155195038	155195497	+	0.000	0.000	Merged-chr1-155195240-7
Merged-chr7-64196267-19	chr7	64196111	64196400	+	0.000	0.000	Merged-chr7-64196267-19
Merged-chr16-90143761-94	chr16	90143394	90144135	+	0.000	0.000	Merged-chr16-90143761-94
Merged-chr2-180051185-31	chr2	180050951	180051465	+	0.000	0.000	Merged-chr2-180051185-31
Merged-chr13-35870796-1	chr13	35870698	35870896	+	0.000	0.000	Merged-chr13-35870796-1
Merged-chr6-37147565-6	chr6	37147413	37147746	+	0.000	0.000	Merged-chr6-37147565-6
Merged-chr15-93519280-70	chr15	93519021	93519512	+	0.000	0.000	Merged-chr15-93519280-70
Merged-chr10-60066694-5	chr10	60066554	60066821	+	0.000	0.000	Merged-chr10-60066694-5
Merged-chr16-97541482-2	chr16	97541343	97541623	+	0.000	0.000	Merged-chr16-97541482-2
Merged-chr10-20865092-37	chr10	20864878	20865406	+	0.000	0.000	Merged-chr10-20865092-37
Merged-chr7-141058987-66	chr7	141058810	141059539	+	0.000	0.000	Merged-chr7-141058987-66
Merged-chr11-4825222-5	chr11	4825102	4825359	+	0.000	0.000	Merged-chr11-4825222-5
Merged-chr1-94040599-7	chr1	94040485	94040715	+	0.000	0.000	Merged-chr1-94040599-7
Merged-chr16-76337291-62	chr16	76337040	76337718	+	0.000	0.000	Merged-chr16-76337291-62
Merged-chr3-95674387-46	chr3	95674066	95675242	+	0.000	0.000	Merged-chr3-95674387-46
Merged-chr11-60305750-27	chr11	60305526	60306074	+	0.000	0.000	Merged-chr11-60305750-27
Merged-chr1-155140247-32	chr1	155140043	155140459	+	0.000	0.000	Merged-chr1-155140247-32
Merged-chrX-42502698-84	chrX	42502460	42503133	+	0.000	0.000	Merged-chrX-42502698-84
Merged-chr7-83654975-2	chr7	83654877	83655075	+	0.000	0.000	Merged-chr7-83654975-2
Merged-chr19-17256835-48	chr19	17256402	17257263	+	0.000	0.000	Merged-chr19-17256835-48
Merged-chr2-93459421-90	chr2	93458860	93459897	+	0.000	0.000	Merged-chr2-93459421-90
Merged-chr1-192736716-7	chr1	192736497	192736870	+	0.000	0.000	Merged-chr1-192736716-7
Merged-chr8-81856442-3	chr8	81856223	81856609	+	0.000	0.000	Merged-chr8-81856442-3
Merged-chr10-55980354-43	chr10	55980049	55980906	+	0.000	0.000	Merged-chr10-55980354-43
Merged-chr5-125465794-48	chr5	125465523	125466011	+	0.000	0.000	Merged-chr5-125465794-48
Merged-chr2-144645645-1	chr2	144645547	144645745	+	0.000	0.000	Merged-chr2-144645645-1
Merged-chr2-61492330-26	chr2	61492089	61492543	+	0.000	0.000	Merged-chr2-61492330-26
Merged-chr2-103634168-14	chr2	103633924	103634386	+	0.000	0.000	Merged-chr2-103634168-14
Merged-chr11-4160376-54	chr11	4160154	4160774	+	0.000	0.000	Merged-chr11-4160376-54
Merged-chr1-119477051-49	chr1	119476778	119477429	+	0.000	0.000	Merged-chr1-119477051-49
Merged-chr6-134256563-23	chr6	134256152	134256797	+	0.000	0.000	Merged-chr6-134256563-23
Merged-chr18-50009042-56	chr18	50008466	50009440	+	0.000	0.000	Merged-chr18-50009042-56
Merged-chr19-24181781-1	chr19	24181683	24181881	+	0.000	0.000	Merged-chr19-24181781-1
Merged-chr2-93443945-1	chr2	93443847	93444045	+	0.000	0.000	Merged-chr2-93443945-1
Merged-chr19-46503388-7	chr19	46503238	46503527	+	0.000	0.000	Merged-chr19-46503388-7
Merged-chr5-107295347-25	chr5	107295132	107295636	+	0.000	0.000	Merged-chr5-107295347-25
Merged-chr2-169632504-26	chr2	169631895	169632977	+	0.000	0.000	Merged-chr2-169632504-26
Merged-chr19-46511275-84	chr19	46510944	46511555	+	0.000	0.000	Merged-chr19-46511275-84
Merged-chr6-134302283-40	chr6	134302066	134302464	+	0.000	0.000	Merged-chr6-134302283-40
Merged-chrX-12159068-128	chrX	12158652	12159480	+	0.000	0.000	Merged-chrX-12159068-128
Merged-chr4-95742443-25	chr4	95742191	95742731	+	0.000	0.000	Merged-chr4-95742443-25
Merged-chr10-55979883-1	chr10	55979785	55979983	+	0.000	0.000	Merged-chr10-55979883-1
Merged-chr13-112399178-4	chr13	112399047	112399319	+	0.000	0.000	Merged-chr13-112399178-4
Merged-chr17-45474910-44	chr17	45474702	45475089	+	0.000	0.000	Merged-chr17-45474910-44
Merged-chr13-112278340-26	chr13	112277804	112278699	+	0.000	0.000	Merged-chr13-112278340-26
Merged-chr2-156991957-57	chr2	156991617	156992316	+	0.000	0.000	Merged-chr2-156991957-57
Merged-chr5-125052528-23	chr5	125052100	125052760	+	0.000	0.000	Merged-chr5-125052528-23
Merged-chr17-87572921-1	chr17	87572823	87573021	+	0.000	0.000	Merged-chr17-87572921-1
Merged-chr1-180256121-75	chr1	180255902	180256434	+	0.000	0.000	Merged-chr1-180256121-75
Merged-chr16-76529943-9	chr16	76529753	76530174	+	0.000	0.000	Merged-chr16-76529943-9
Merged-chr15-72972006-8	chr15	72971805	72972232	+	0.000	0.000	Merged-chr15-72972006-8
Merged-chr8-47675197-158	chr8	47674273	47675673	+	0.000	0.000	Merged-chr8-47675197-158
Merged-chr2-62458913-1	chr2	62458815	62459013	+	0.000	0.000	Merged-chr2-62458913-1
Merged-chr9-84089705-1	chr9	84089607	84089805	+	0.000	0.000	Merged-chr9-84089705-1
Merged-chr2-131423252-71	chr2	131422896	131423558	+	0.000	0.000	Merged-chr2-131423252-71
Merged-chr4-126616521-5	chr4	126616333	126616699	+	0.000	0.000	Merged-chr4-126616521-5
Merged-chr11-22287125-73	chr11	22286765	22287440	+	0.000	0.000	Merged-chr11-22287125-73
Merged-chr13-36117623-83	chr13	36117287	36117814	+	0.000	0.000	Merged-chr13-36117623-83
Merged-chr15-6525619-49	chr15	6525274	6525880	+	0.000	0.000	Merged-chr15-6525619-49
Merged-chr10-59295561-38	chr10	59295322	59295780	+	0.000	0.000	Merged-chr10-59295561-38
Merged-chr10-14086090-94	chr10	14085799	14086519	+	0.000	0.000	Merged-chr10-14086090-94
Merged-chr3-130947294-56	chr3	130946737	130947598	+	0.000	0.000	Merged-chr3-130947294-56
Merged-chr4-116701085-12	chr4	116700811	116701265	+	0.000	0.000	Merged-chr4-116701085-12
Merged-chr15-64212030-69	chr15	64211456	64212630	+	0.000	0.000	Merged-chr15-64212030-69
Merged-chr14-75516404-45	chr14	75516074	75516663	+	0.000	0.000	Merged-chr14-75516404-45
Merged-chr2-169779005-37	chr2	169778732	169779241	+	0.000	0.000	Merged-chr2-169779005-37
Merged-chr6-115515938-20	chr6	115515686	115516127	+	0.000	0.000	Merged-chr6-115515938-20
Merged-chr6-146221533-3	chr6	146221427	146221649	+	0.000	0.000	Merged-chr6-146221533-3
Merged-chr2-76282336-1	chr2	76282238	76282436	+	0.000	0.000	Merged-chr2-76282336-1
Merged-chr4-95685695-3	chr4	95685472	95685882	+	0.000	0.000	Merged-chr4-95685695-3
Merged-chr1-156673751-1	chr1	156673653	156673851	+	0.000	0.000	Merged-chr1-156673751-1
Merged-chr2-114201322-51	chr2	114200937	114201540	+	0.000	0.000	Merged-chr2-114201322-51
Merged-chr1-89069635-1	chr1	89069537	89069735	+	0.000	0.000	Merged-chr1-89069635-1
Merged-chr2-135967319-31	chr2	135966996	135967623	+	0.000	0.000	Merged-chr2-135967319-31
