#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.up.bed
Merged-chr1-138560961-36	chr1	138560752	138561197	+	0.000	0.000	Merged-chr1-138560961-36
Merged-chr11-79142530-5	chr11	79142358	79142718	+	0.000	0.000	Merged-chr11-79142530-5
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
Merged-chr8-122273382-29	chr8	122273173	122273604	+	0.000	0.000	Merged-chr8-122273382-29
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr16-91366873-55	chr16	91366564	91367120	+	0.000	0.000	Merged-chr16-91366873-55
Merged-chr5-150595556-1	chr5	150595458	150595656	+	0.000	0.000	Merged-chr5-150595556-1
Merged-chr7-4658968-69	chr7	4658614	4659213	+	0.000	0.000	Merged-chr7-4658968-69
Merged-chr9-106448654-27	chr9	106448332	106448836	+	0.000	0.000	Merged-chr9-106448654-27
Merged-chr11-59425956-47	chr11	59425788	59426302	+	0.000	0.000	Merged-chr11-59425956-47
Merged-chr5-100642595-5	chr5	100642460	100642743	+	0.000	0.000	Merged-chr5-100642595-5
Merged-chr10-82053844-6	chr10	82053705	82053971	+	0.000	0.000	Merged-chr10-82053844-6
Merged-chr13-12412239-11	chr13	12412085	12412408	+	0.000	0.000	Merged-chr13-12412239-11
Merged-chr6-144090267-2	chr6	144090151	144090386	+	0.000	0.000	Merged-chr6-144090267-2
Merged-chr16-36071679-92	chr16	36071371	36071899	+	0.000	0.000	Merged-chr16-36071679-92
Merged-chr13-42101708-35	chr13	42101503	42101886	+	0.000	0.000	Merged-chr13-42101708-35
Merged-chr5-135394390-57	chr5	135393956	135394753	+	0.000	0.000	Merged-chr5-135394390-57
Merged-chr3-88483869-13	chr3	88483665	88484065	+	0.000	0.000	Merged-chr3-88483869-13
Merged-chr8-79161716-60	chr8	79161373	79162151	+	0.000	0.000	Merged-chr8-79161716-60
Merged-chr12-117480283-1	chr12	117480185	117480383	+	0.000	0.000	Merged-chr12-117480283-1
Merged-chr15-59648235-82	chr15	59648007	59648526	+	0.000	0.000	Merged-chr15-59648235-82
Merged-chr11-115158188-48	chr11	115158006	115158390	+	0.000	0.000	Merged-chr11-115158188-48
Merged-chr6-121245278-1	chr6	121245180	121245378	+	0.000	0.000	Merged-chr6-121245278-1
Merged-chr3-126693084-1	chr3	126692986	126693184	+	0.000	0.000	Merged-chr3-126693084-1
Merged-chr15-91735411-11	chr15	91735247	91735618	+	0.000	0.000	Merged-chr15-91735411-11
Merged-chr11-48933681-40	chr11	48933415	48933917	+	0.000	0.000	Merged-chr11-48933681-40
Merged-chr5-92312461-16	chr5	92312277	92312668	+	0.000	0.000	Merged-chr5-92312461-16
Merged-chr9-71837773-1	chr9	71837675	71837873	+	0.000	0.000	Merged-chr9-71837773-1
Merged-chr3-95652031-1	chr3	95651933	95652131	+	0.000	0.000	Merged-chr3-95652031-1
Merged-chr12-113187707-36	chr12	113187449	113187889	+	0.000	0.000	Merged-chr12-113187707-36
Merged-chr14-121731976-67	chr14	121731714	121732192	+	0.000	0.000	Merged-chr14-121731976-67
Merged-chr2-130473178-30	chr2	130472800	130473519	+	0.000	0.000	Merged-chr2-130473178-30
Merged-chr10-94917729-28	chr10	94917355	94918318	+	0.000	0.000	Merged-chr10-94917729-28
Merged-chr12-117566493-34	chr12	117566267	117566861	+	0.000	0.000	Merged-chr12-117566493-34
Merged-chr9-94691829-80	chr9	94691609	94692111	+	0.000	0.000	Merged-chr9-94691829-80
Merged-chr11-115708587-76	chr11	115708046	115708927	+	0.000	0.000	Merged-chr11-115708587-76
Merged-chr4-32343448-1	chr4	32343350	32343548	+	0.000	0.000	Merged-chr4-32343448-1
Merged-chr10-80149118-125	chr10	80148687	80149809	+	0.000	0.000	Merged-chr10-80149118-125
Merged-chr19-43917229-61	chr19	43916991	43917552	+	0.000	0.000	Merged-chr19-43917229-61
Merged-chr6-143859539-1	chr6	143859441	143859639	+	0.000	0.000	Merged-chr6-143859539-1
Merged-chr12-108601181-28	chr12	108600883	108601558	+	0.000	0.000	Merged-chr12-108601181-28
Merged-chr19-40821418-1	chr19	40821320	40821518	+	0.000	0.000	Merged-chr19-40821418-1
Merged-chr12-4065716-30	chr12	4065494	4065945	+	0.000	0.000	Merged-chr12-4065716-30
Merged-chr7-80207439-1	chr7	80207341	80207539	+	0.000	0.000	Merged-chr7-80207439-1
Merged-chr5-31279559-18	chr5	31279270	31279794	+	0.000	0.000	Merged-chr5-31279559-18
Merged-chr10-94848627-43	chr10	94848368	94849082	+	0.000	0.000	Merged-chr10-94848627-43
Merged-chr11-4319663-56	chr11	4319385	4319960	+	0.000	0.000	Merged-chr11-4319663-56
Merged-chr12-55302892-86	chr12	55302441	55303109	+	0.000	0.000	Merged-chr12-55302892-86
Merged-chr5-105642805-64	chr5	105642332	105643145	+	0.000	0.000	Merged-chr5-105642805-64
Merged-chr8-61517791-23	chr8	61517541	61518001	+	0.000	0.000	Merged-chr8-61517791-23
Merged-chr1-82820383-4	chr1	82820198	82820588	+	0.000	0.000	Merged-chr1-82820383-4
Merged-chr11-88864546-48	chr11	88864274	88864770	+	0.000	0.000	Merged-chr11-88864546-48
Merged-chr7-101095167-53	chr7	101094774	101095927	+	0.000	0.000	Merged-chr7-101095167-53
Merged-chr10-118854630-50	chr10	118854312	118854979	+	0.000	0.000	Merged-chr10-118854630-50
Merged-chr11-78169320-42	chr11	78169133	78169572	+	0.000	0.000	Merged-chr11-78169320-42
Merged-chr5-100635444-18	chr5	100635204	100635786	+	0.000	0.000	Merged-chr5-100635444-18
Merged-chr12-69513488-22	chr12	69513230	69513684	+	0.000	0.000	Merged-chr12-69513488-22
Merged-chr4-33248202-146	chr4	33247639	33248385	+	0.000	0.000	Merged-chr4-33248202-146
Merged-chr7-73557542-1	chr7	73557444	73557642	+	0.000	0.000	Merged-chr7-73557542-1
Merged-chr9-101076730-24	chr9	101076501	101077066	+	0.000	0.000	Merged-chr9-101076730-24
Merged-chr4-32179914-44	chr4	32179707	32180111	+	0.000	0.000	Merged-chr4-32179914-44
Merged-chr19-30118858-30	chr19	30118693	30119080	+	0.000	0.000	Merged-chr19-30118858-30
Merged-chr1-173440041-1	chr1	173439943	173440141	+	0.000	0.000	Merged-chr1-173440041-1
Merged-chr2-120561719-10	chr2	120561544	120561953	+	0.000	0.000	Merged-chr2-120561719-10
Merged-chr13-91541138-52	chr13	91540842	91541373	+	0.000	0.000	Merged-chr13-91541138-52
Merged-chr5-105643528-15	chr5	105643390	105643665	+	0.000	0.000	Merged-chr5-105643528-15
Merged-chr4-128729726-2	chr4	128729619	128729836	+	0.000	0.000	Merged-chr4-128729726-2
Merged-chr7-100706569-64	chr7	100706348	100706783	+	0.000	0.000	Merged-chr7-100706569-64
Merged-chr17-56289493-28	chr17	56289231	56289674	+	0.000	0.000	Merged-chr17-56289493-28
Merged-chr2-17698391-27	chr2	17698227	17698554	+	0.000	0.000	Merged-chr2-17698391-27
Merged-chr19-7064773-15	chr19	7064514	7064955	+	0.000	0.000	Merged-chr19-7064773-15
Merged-chr12-116011021-26	chr12	116010776	116011281	+	0.000	0.000	Merged-chr12-116011021-26
Merged-chr2-26235322-12	chr2	26235146	26235464	+	0.000	0.000	Merged-chr2-26235322-12
Merged-chr8-126585164-25	chr8	126585015	126585400	+	0.000	0.000	Merged-chr8-126585164-25
Merged-chr2-164075318-6	chr2	164075202	164075447	+	0.000	0.000	Merged-chr2-164075318-6
Merged-chr7-19325956-31	chr7	19325793	19326102	+	0.000	0.000	Merged-chr7-19325956-31
Merged-chr9-123366078-3	chr9	123365920	123366281	+	0.000	0.000	Merged-chr9-123366078-3
Merged-chr14-78435284-73	chr14	78434834	78435695	+	0.000	0.000	Merged-chr14-78435284-73
Merged-chr8-122285200-46	chr8	122284658	122285686	+	0.000	0.000	Merged-chr8-122285200-46
Merged-chr14-118675575-4	chr14	118675424	118675715	+	0.000	0.000	Merged-chr14-118675575-4
Merged-chr6-145249454-6	chr6	145249318	145249585	+	0.000	0.000	Merged-chr6-145249454-6
Merged-chr11-48858981-2	chr11	48858868	48859096	+	0.000	0.000	Merged-chr11-48858981-2
Merged-chr15-91682816-1	chr15	91682718	91682916	+	0.000	0.000	Merged-chr15-91682816-1
Merged-chr6-143953954-1	chr6	143953856	143954054	+	0.000	0.000	Merged-chr6-143953954-1
Merged-chr5-88675879-91	chr5	88675522	88676148	+	0.000	0.000	Merged-chr5-88675879-91
Merged-chr19-36533224-11	chr19	36533012	36533451	+	0.000	0.000	Merged-chr19-36533224-11
Merged-chr4-16162187-1	chr4	16162089	16162287	+	0.000	0.000	Merged-chr4-16162187-1
Merged-chr10-19186010-100	chr10	19185512	19186584	+	0.000	0.000	Merged-chr10-19186010-100
Merged-chr11-70592019-3	chr11	70591908	70592139	+	0.000	0.000	Merged-chr11-70592019-3
Merged-chr15-3988220-10	chr15	3988068	3988377	+	0.000	0.000	Merged-chr15-3988220-10
Merged-chrX-98266025-47	chrX	98265757	98266305	+	0.000	0.000	Merged-chrX-98266025-47
Merged-chr9-62344675-54	chr9	62344346	62345005	+	0.000	0.000	Merged-chr9-62344675-54
Merged-chr6-48085920-2	chr6	48085798	48086044	+	0.000	0.000	Merged-chr6-48085920-2
Merged-chr8-84595844-11	chr8	84595599	84596051	+	0.000	0.000	Merged-chr8-84595844-11
Merged-chr8-66862372-8	chr8	66862032	66862650	+	0.000	0.000	Merged-chr8-66862372-8
Merged-chr11-3100444-3	chr11	3100344	3100550	+	0.000	0.000	Merged-chr11-3100444-3
Merged-chr4-127021744-67	chr4	127021573	127021916	+	0.000	0.000	Merged-chr4-127021744-67
Merged-chr9-42076417-27	chr9	42076246	42076646	+	0.000	0.000	Merged-chr9-42076417-27
Merged-chr15-85983267-29	chr15	85983065	85983485	+	0.000	0.000	Merged-chr15-85983267-29
Merged-chr6-122602607-66	chr6	122602253	122602842	+	0.000	0.000	Merged-chr6-122602607-66
Merged-chr7-80180023-20	chr7	80179810	80180280	+	0.000	0.000	Merged-chr7-80180023-20
Merged-chr9-62368780-17	chr9	62368571	62369018	+	0.000	0.000	Merged-chr9-62368780-17
Merged-chr10-42843414-7	chr10	42843213	42843577	+	0.000	0.000	Merged-chr10-42843414-7
Merged-chr1-82833735-7	chr1	82833624	82833859	+	0.000	0.000	Merged-chr1-82833735-7
Merged-chr2-130501661-20	chr2	130501395	130501835	+	0.000	0.000	Merged-chr2-130501661-20
Merged-chr3-126650760-81	chr3	126650521	126651123	+	0.000	0.000	Merged-chr3-126650760-81
Merged-chr4-136147968-56	chr4	136147758	136148251	+	0.000	0.000	Merged-chr4-136147968-56
Merged-chr8-126616076-68	chr8	126615561	126616626	+	0.000	0.000	Merged-chr8-126616076-68
Merged-chr11-3140967-38	chr11	3140596	3141199	+	0.000	0.000	Merged-chr11-3140967-38
Merged-chr6-143871321-4	chr6	143871139	143871478	+	0.000	0.000	Merged-chr6-143871321-4
Merged-chr2-10315071-46	chr2	10314719	10315576	+	0.000	0.000	Merged-chr2-10315071-46
Merged-chr17-35377591-2	chr17	35377477	35377707	+	0.000	0.000	Merged-chr17-35377591-2
Merged-chr5-41843889-1	chr5	41843791	41843989	+	0.000	0.000	Merged-chr5-41843889-1
Merged-chr9-114487695-30	chr9	114487358	114488008	+	0.000	0.000	Merged-chr9-114487695-30
Merged-chr5-105651659-58	chr5	105651151	105652114	+	0.000	0.000	Merged-chr5-105651659-58
Merged-chr10-61648794-93	chr10	61648423	61649136	+	0.000	0.000	Merged-chr10-61648794-93
Merged-chr9-95072706-61	chr9	95072399	95073088	+	0.000	0.000	Merged-chr9-95072706-61
Merged-chr12-13512538-15	chr12	13512138	13512914	+	0.000	0.000	Merged-chr12-13512538-15
Merged-chr7-13023322-17	chr7	13023137	13023521	+	0.000	0.000	Merged-chr7-13023322-17
Merged-chr1-127321764-4	chr1	127321633	127321901	+	0.000	0.000	Merged-chr1-127321764-4
Merged-chr8-61451013-86	chr8	61450778	61451383	+	0.000	0.000	Merged-chr8-61451013-86
Merged-chr13-100669804-89	chr13	100669276	100670175	+	0.000	0.000	Merged-chr13-100669804-89
Merged-chr11-97825467-43	chr11	97825240	97825674	+	0.000	0.000	Merged-chr11-97825467-43
Merged-chr3-126771711-40	chr3	126771512	126771926	+	0.000	0.000	Merged-chr3-126771711-40
Merged-chr12-78226553-137	chr12	78225983	78226829	+	0.000	0.000	Merged-chr12-78226553-137
Merged-chr4-125123148-48	chr4	125122872	125123639	+	0.000	0.000	Merged-chr4-125123148-48
Merged-chr19-36537887-4	chr19	36537758	36538012	+	0.000	0.000	Merged-chr19-36537887-4
Merged-chr2-34958797-3	chr2	34958627	34958964	+	0.000	0.000	Merged-chr2-34958797-3
Merged-chr11-54973114-34	chr11	54972890	54973392	+	0.000	0.000	Merged-chr11-54973114-34
Merged-chr6-121215137-42	chr6	121214965	121215387	+	0.000	0.000	Merged-chr6-121215137-42
Merged-chr7-24611027-94	chr7	24610513	24611440	+	0.000	0.000	Merged-chr7-24611027-94
Merged-chr8-71528841-21	chr8	71528660	71529150	+	0.000	0.000	Merged-chr8-71528841-21
Merged-chr9-5309745-1	chr9	5309647	5309845	+	0.000	0.000	Merged-chr9-5309745-1
Merged-chr16-90284101-137	chr16	90283739	90284779	+	0.000	0.000	Merged-chr16-90284101-137
Merged-chr6-145268512-5	chr6	145268383	145268657	+	0.000	0.000	Merged-chr6-145268512-5
Merged-chr13-117196008-56	chr13	117195821	117196248	+	0.000	0.000	Merged-chr13-117196008-56
Merged-chr14-118706162-79	chr14	118705957	118706417	+	0.000	0.000	Merged-chr14-118706162-79
Merged-chr1-191955378-32	chr1	191955132	191955607	+	0.000	0.000	Merged-chr1-191955378-32
Merged-chr1-132007424-3	chr1	132007289	132007600	+	0.000	0.000	Merged-chr1-132007424-3
Merged-chr9-35495355-1	chr9	35495257	35495455	+	0.000	0.000	Merged-chr9-35495355-1
Merged-chr1-23922466-2	chr1	23922364	23922570	+	0.000	0.000	Merged-chr1-23922466-2
Merged-chr12-108637636-4	chr12	108637472	108637769	+	0.000	0.000	Merged-chr12-108637636-4
Merged-chr9-40455012-1	chr9	40454914	40455112	+	0.000	0.000	Merged-chr9-40455012-1
Merged-chr7-96946684-14	chr7	96946438	96946895	+	0.000	0.000	Merged-chr7-96946684-14
Merged-chr18-31910963-72	chr18	31910539	31911165	+	0.000	0.000	Merged-chr18-31910963-72
Merged-chr16-23984842-61	chr16	23984300	23985352	+	0.000	0.000	Merged-chr16-23984842-61
Merged-chr10-59952014-65	chr10	59951619	59952353	+	0.000	0.000	Merged-chr10-59952014-65
Merged-chrX-98259743-49	chrX	98259458	98260033	+	0.000	0.000	Merged-chrX-98259743-49
Merged-chr6-83506851-64	chr6	83506625	83507044	+	0.000	0.000	Merged-chr6-83506851-64
Merged-chr15-5117347-12	chr15	5117131	5117582	+	0.000	0.000	Merged-chr15-5117347-12
Merged-chr17-84156987-5	chr17	84156784	84157275	+	0.000	0.000	Merged-chr17-84156987-5
Merged-chr12-78227183-8	chr12	78226990	78227419	+	0.000	0.000	Merged-chr12-78227183-8
Merged-chr11-116379708-25	chr11	116379558	116379920	+	0.000	0.000	Merged-chr11-116379708-25
Merged-chr17-78882358-80	chr17	78881988	78882896	+	0.000	0.000	Merged-chr17-78882358-80
Merged-chr8-79163013-21	chr8	79162802	79163266	+	0.000	0.000	Merged-chr8-79163013-21
Merged-chr19-29462698-2	chr19	29462568	29462830	+	0.000	0.000	Merged-chr19-29462698-2
Merged-chr17-73804609-2	chr17	73804511	73804709	+	0.000	0.000	Merged-chr17-73804609-2
Merged-chr19-61265627-44	chr19	61265435	61265805	+	0.000	0.000	Merged-chr19-61265627-44
Merged-chr2-27426949-82	chr2	27426529	27427416	+	0.000	0.000	Merged-chr2-27426949-82
Merged-chr6-125483864-63	chr6	125483587	125484048	+	0.000	0.000	Merged-chr6-125483864-63
Merged-chr9-42142003-14	chr9	42141862	42142225	+	0.000	0.000	Merged-chr9-42142003-14
Merged-chr3-95659023-108	chr3	95658533	95659307	+	0.000	0.000	Merged-chr3-95659023-108
Merged-chr6-134067446-111	chr6	134066992	134067834	+	0.000	0.000	Merged-chr6-134067446-111
Merged-chr17-84143473-2	chr17	84143375	84143574	+	0.000	0.000	Merged-chr17-84143473-2
Merged-chr15-9526592-4	chr15	9526456	9526708	+	0.000	0.000	Merged-chr15-9526592-4
Merged-chr8-34948236-16	chr8	34947956	34948493	+	0.000	0.000	Merged-chr8-34948236-16
Merged-chr11-62539028-59	chr11	62538552	62539488	+	0.000	0.000	Merged-chr11-62539028-59
Merged-chr12-31654866-80	chr12	31654472	31655118	+	0.000	0.000	Merged-chr12-31654866-80
Merged-chr12-69458442-59	chr12	69458248	69458640	+	0.000	0.000	Merged-chr12-69458442-59
Merged-chr9-14275216-26	chr9	14274990	14275402	+	0.000	0.000	Merged-chr9-14275216-26
Merged-chr11-79076715-52	chr11	79076504	79076933	+	0.000	0.000	Merged-chr11-79076715-52
Merged-chr6-144220330-1	chr6	144220232	144220430	+	0.000	0.000	Merged-chr6-144220330-1
Merged-chr18-58668129-1	chr18	58668031	58668229	+	0.000	0.000	Merged-chr18-58668129-1
Merged-chr8-104535599-3	chr8	104535474	104535741	+	0.000	0.000	Merged-chr8-104535599-3
Merged-chr9-53430212-10	chr9	53430087	53430342	+	0.000	0.000	Merged-chr9-53430212-10
Merged-chr11-106665646-39	chr11	106665364	106666106	+	0.000	0.000	Merged-chr11-106665646-39
Merged-chr9-42032280-3	chr9	42032182	42032380	+	0.000	0.000	Merged-chr9-42032280-3
Merged-chr9-40482628-42	chr9	40482403	40482842	+	0.000	0.000	Merged-chr9-40482628-42
Merged-chr9-44691336-80	chr9	44690832	44691621	+	0.000	0.000	Merged-chr9-44691336-80
Merged-chr11-33919550-1	chr11	33919452	33919650	+	0.000	0.000	Merged-chr11-33919550-1
Merged-chr1-39896262-3	chr1	39896164	39896362	+	0.000	0.000	Merged-chr1-39896262-3
Merged-chr5-43824036-4	chr5	43823795	43824263	+	0.000	0.000	Merged-chr5-43824036-4
Merged-chr9-72100389-41	chr9	72099892	72101008	+	0.000	0.000	Merged-chr9-72100389-41
Merged-chr19-42090289-87	chr19	42089870	42090694	+	0.000	0.000	Merged-chr19-42090289-87
Merged-chr16-11254042-93	chr16	11253785	11254584	+	0.000	0.000	Merged-chr16-11254042-93
Merged-chr12-117579368-17	chr12	117579123	117579589	+	0.000	0.000	Merged-chr12-117579368-17
Merged-chr1-173430237-8	chr1	173430052	173430435	+	0.000	0.000	Merged-chr1-173430237-8
Merged-chr6-134014705-25	chr6	134014434	134014931	+	0.000	0.000	Merged-chr6-134014705-25
Merged-chr19-44294552-133	chr19	44293757	44295280	+	0.000	0.000	Merged-chr19-44294552-133
Merged-chr18-53817599-8	chr18	53817480	53817727	+	0.000	0.000	Merged-chr18-53817599-8
Merged-chr2-158410061-111	chr2	158409534	158410656	+	0.000	0.000	Merged-chr2-158410061-111
Merged-chr8-126654615-2	chr8	126654502	126654731	+	0.000	0.000	Merged-chr8-126654615-2
Merged-chr1-39986417-3	chr1	39986256	39986594	+	0.000	0.000	Merged-chr1-39986417-3
Merged-chr15-59520520-55	chr15	59520242	59520815	+	0.000	0.000	Merged-chr15-59520520-55
Merged-chr4-134495350-57	chr4	134495113	134495649	+	0.000	0.000	Merged-chr4-134495350-57
Merged-chr19-44267087-85	chr19	44266754	44267356	+	0.000	0.000	Merged-chr19-44267087-85
Merged-chr1-164061459-15	chr1	164061252	164061642	+	0.000	0.000	Merged-chr1-164061459-15
Merged-chr6-88769866-45	chr6	88769584	88770032	+	0.000	0.000	Merged-chr6-88769866-45
Merged-chr2-34961693-34	chr2	34961389	34961971	+	0.000	0.000	Merged-chr2-34961693-34
Merged-chr14-118649804-48	chr14	118649446	118650270	+	0.000	0.000	Merged-chr14-118649804-48
Merged-chr4-32257822-1	chr4	32257724	32257922	+	0.000	0.000	Merged-chr4-32257822-1
Merged-chr9-7872811-86	chr9	7872395	7873264	+	0.000	0.000	Merged-chr9-7872811-86
Merged-chr1-38657935-57	chr1	38657609	38658350	+	0.000	0.000	Merged-chr1-38657935-57
Merged-chr6-134186526-3	chr6	134186399	134186667	+	0.000	0.000	Merged-chr6-134186526-3
Merged-chr5-148596681-29	chr5	148596374	148597068	+	0.000	0.000	Merged-chr5-148596681-29
Merged-chr8-79173625-13	chr8	79173352	79173827	+	0.000	0.000	Merged-chr8-79173625-13
Merged-chr10-19215120-16	chr10	19214943	19215276	+	0.000	0.000	Merged-chr10-19215120-16
Merged-chr9-53341165-33	chr9	53340864	53341387	+	0.000	0.000	Merged-chr9-53341165-33
Merged-chr5-123377718-12	chr5	123377553	123377948	+	0.000	0.000	Merged-chr5-123377718-12
Merged-chr15-62145292-46	chr15	62145026	62145697	+	0.000	0.000	Merged-chr15-62145292-46
Merged-chr3-126666048-4	chr3	126665927	126666173	+	0.000	0.000	Merged-chr3-126666048-4
Merged-chr2-120500231-54	chr2	120500032	120500528	+	0.000	0.000	Merged-chr2-120500231-54
Merged-chr1-138517355-75	chr1	138517155	138517635	+	0.000	0.000	Merged-chr1-138517355-75
Merged-chr9-53328523-30	chr9	53328272	53328753	+	0.000	0.000	Merged-chr9-53328523-30
Merged-chr8-128358520-155	chr8	128358017	128359011	+	0.000	0.000	Merged-chr8-128358520-155
Merged-chr5-28317030-104	chr5	28316476	28317607	+	0.000	0.000	Merged-chr5-28317030-104
Merged-chr8-126584527-70	chr8	126584186	126584723	+	0.000	0.000	Merged-chr8-126584527-70
Merged-chr9-14500635-62	chr9	14500341	14500895	+	0.000	0.000	Merged-chr9-14500635-62
Merged-chr2-17671925-58	chr2	17671593	17672189	+	0.000	0.000	Merged-chr2-17671925-58
Merged-chr2-10274045-5	chr2	10273897	10274225	+	0.000	0.000	Merged-chr2-10274045-5
Merged-chr8-126590193-39	chr8	126589895	126590443	+	0.000	0.000	Merged-chr8-126590193-39
Merged-chr11-3171956-1	chr11	3171858	3172056	+	0.000	0.000	Merged-chr11-3171956-1
Merged-chr1-127212449-14	chr1	127212271	127212640	+	0.000	0.000	Merged-chr1-127212449-14
Merged-chr4-3834595-1	chr4	3834497	3834695	+	0.000	0.000	Merged-chr4-3834595-1
Merged-chr7-3707175-8	chr7	3707035	3707324	+	0.000	0.000	Merged-chr7-3707175-8
Merged-chr10-116487356-53	chr10	116487061	116487701	+	0.000	0.000	Merged-chr10-116487356-53
