#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_Naive.dn.bed
Merged-chr17-3081586-1	chr17	3081488	3081686	+	0.000	0.000	Merged-chr17-3081586-1
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr4-102968093-31	chr4	102967895	102968306	+	0.000	0.000	Merged-chr4-102968093-31
Merged-chr18-9450048-96	chr18	9449849	9450447	+	0.000	0.000	Merged-chr18-9450048-96
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr2-75101693-20	chr2	75101437	75101970	+	0.000	0.000	Merged-chr2-75101693-20
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr11-32020422-50	chr11	32019990	32020648	+	0.000	0.000	Merged-chr11-32020422-50
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr2-167689291-96	chr2	167688631	167689555	+	0.000	0.000	Merged-chr2-167689291-96
Merged-chr13-95524749-120	chr13	95524449	95525271	+	0.000	0.000	Merged-chr13-95524749-120
Merged-chr1-136609076-3	chr1	136608962	136609200	+	0.000	0.000	Merged-chr1-136609076-3
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr10-121290125-10	chr10	121289906	121290309	+	0.000	0.000	Merged-chr10-121290125-10
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr8-14978690-4	chr8	14978502	14978951	+	0.000	0.000	Merged-chr8-14978690-4
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr2-170117129-44	chr2	170116742	170117730	+	0.000	0.000	Merged-chr2-170117129-44
Merged-chr15-27856538-51	chr15	27856271	27856806	+	0.000	0.000	Merged-chr15-27856538-51
Merged-chr11-54958732-50	chr11	54958538	54958913	+	0.000	0.000	Merged-chr11-54958732-50
Merged-chrX-75734287-49	chrX	75733804	75734533	+	0.000	0.000	Merged-chrX-75734287-49
Merged-chr17-25785502-40	chr17	25785262	25785706	+	0.000	0.000	Merged-chr17-25785502-40
Merged-chr1-6272359-19	chr1	6272118	6272557	+	0.000	0.000	Merged-chr1-6272359-19
Merged-chr10-39385441-1	chr10	39385343	39385541	+	0.000	0.000	Merged-chr10-39385441-1
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr10-19934742-4	chr10	19934630	19934857	+	0.000	0.000	Merged-chr10-19934742-4
Merged-chr13-55444770-148	chr13	55444289	55445182	+	0.000	0.000	Merged-chr13-55444770-148
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr7-49468133-37	chr7	49467878	49468390	+	0.000	0.000	Merged-chr7-49468133-37
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr11-98001521-17	chr11	98001331	98001848	+	0.000	0.000	Merged-chr11-98001521-17
Merged-chr14-101510851-45	chr14	101510597	101511121	+	0.000	0.000	Merged-chr14-101510851-45
Merged-chr6-99375217-98	chr6	99374339	99375903	+	0.000	0.000	Merged-chr6-99375217-98
Merged-chr17-34235127-37	chr17	34234871	34235318	+	0.000	0.000	Merged-chr17-34235127-37
Merged-chr2-68338493-1	chr2	68338395	68338593	+	0.000	0.000	Merged-chr2-68338493-1
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr14-54464203-140	chr14	54463600	54464495	+	0.000	0.000	Merged-chr14-54464203-140
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr12-36157829-2	chr12	36157720	36157941	+	0.000	0.000	Merged-chr12-36157829-2
Merged-chr4-6980389-8	chr4	6980239	6980552	+	0.000	0.000	Merged-chr4-6980389-8
Merged-chr12-36042318-87	chr12	36042072	36042769	+	0.000	0.000	Merged-chr12-36042318-87
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr1-119504796-62	chr1	119504341	119505036	+	0.000	0.000	Merged-chr1-119504796-62
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
Merged-chr7-19590071-26	chr7	19589734	19590366	+	0.000	0.000	Merged-chr7-19590071-26
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr6-99498294-17	chr6	99498055	99498517	+	0.000	0.000	Merged-chr6-99498294-17
Merged-chr1-67038883-63	chr1	67038488	67039111	+	0.000	0.000	Merged-chr1-67038883-63
Merged-chr7-24884343-81	chr7	24884071	24884562	+	0.000	0.000	Merged-chr7-24884343-81
Merged-chr5-146780158-5	chr5	146779980	146780314	+	0.000	0.000	Merged-chr5-146780158-5
Merged-chr8-126595306-20	chr8	126595097	126595596	+	0.000	0.000	Merged-chr8-126595306-20
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr12-112959295-1	chr12	112959197	112959395	+	0.000	0.000	Merged-chr12-112959295-1
Merged-chr10-99263989-11	chr10	99263658	99264199	+	0.000	0.000	Merged-chr10-99263989-11
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr1-128790963-21	chr1	128790514	128791316	+	0.000	0.000	Merged-chr1-128790963-21
Merged-chr10-13988804-2	chr10	13988670	13988940	+	0.000	0.000	Merged-chr10-13988804-2
Merged-chr9-94698356-7	chr9	94698121	94698633	+	0.000	0.000	Merged-chr9-94698356-7
Merged-chr2-68291418-12	chr2	68291218	68291690	+	0.000	0.000	Merged-chr2-68291418-12
Merged-chr5-44224584-26	chr5	44224369	44225030	+	0.000	0.000	Merged-chr5-44224584-26
Merged-chr2-132040154-56	chr2	132039928	132040374	+	0.000	0.000	Merged-chr2-132040154-56
Merged-chr16-16912027-29	chr16	16911822	16912205	+	0.000	0.000	Merged-chr16-16912027-29
Merged-chr16-20097863-112	chr16	20097627	20098107	+	0.000	0.000	Merged-chr16-20097863-112
Merged-chr15-5116701-74	chr15	5116300	5116991	+	0.000	0.000	Merged-chr15-5116701-74
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr2-6353338-6	chr2	6353151	6353580	+	0.000	0.000	Merged-chr2-6353338-6
Merged-chr10-17443586-1	chr10	17443488	17443686	+	0.000	0.000	Merged-chr10-17443586-1
Merged-chr5-75649003-1	chr5	75648905	75649103	+	0.000	0.000	Merged-chr5-75649003-1
Merged-chr18-79234491-26	chr18	79234204	79234782	+	0.000	0.000	Merged-chr18-79234491-26
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr5-72891744-22	chr5	72891523	72891965	+	0.000	0.000	Merged-chr5-72891744-22
Merged-chr2-135981518-2	chr2	135981395	135981643	+	0.000	0.000	Merged-chr2-135981518-2
Merged-chr7-4655608-1	chr7	4655510	4655708	+	0.000	0.000	Merged-chr7-4655608-1
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr16-24652303-15	chr16	24651977	24652506	+	0.000	0.000	Merged-chr16-24652303-15
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr6-52640387-58	chr6	52640130	52640677	+	0.000	0.000	Merged-chr6-52640387-58
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
Merged-chr6-143170494-31	chr6	143170280	143170662	+	0.000	0.000	Merged-chr6-143170494-31
Merged-chr2-61474781-19	chr2	61474615	61475038	+	0.000	0.000	Merged-chr2-61474781-19
Merged-chr4-154961400-31	chr4	154961105	154961819	+	0.000	0.000	Merged-chr4-154961400-31
Merged-chr2-18952458-63	chr2	18952127	18952859	+	0.000	0.000	Merged-chr2-18952458-63
Merged-chr2-122469407-42	chr2	122469153	122469591	+	0.000	0.000	Merged-chr2-122469407-42
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr14-31569304-6	chr14	31569114	31569476	+	0.000	0.000	Merged-chr14-31569304-6
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr17-15704757-20	chr17	15704540	15705055	+	0.000	0.000	Merged-chr17-15704757-20
Merged-chr2-156970494-23	chr2	156970226	156970871	+	0.000	0.000	Merged-chr2-156970494-23
Merged-chr18-55293214-19	chr18	55292843	55293518	+	0.000	0.000	Merged-chr18-55293214-19
Merged-chr4-3835460-93	chr4	3834929	3835840	+	0.000	0.000	Merged-chr4-3835460-93
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr10-30719099-39	chr10	30718779	30719317	+	0.000	0.000	Merged-chr10-30719099-39
Merged-chr17-5093524-26	chr17	5093336	5093722	+	0.000	0.000	Merged-chr17-5093524-26
Merged-chr1-119504128-1	chr1	119504030	119504228	+	0.000	0.000	Merged-chr1-119504128-1
Merged-chr6-105532794-1	chr6	105532696	105532894	+	0.000	0.000	Merged-chr6-105532794-1
Merged-chr12-68840505-1	chr12	68840407	68840605	+	0.000	0.000	Merged-chr12-68840505-1
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr18-78912645-1	chr18	78912547	78912745	+	0.000	0.000	Merged-chr18-78912645-1
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr2-61497944-5	chr2	61497767	61498092	+	0.000	0.000	Merged-chr2-61497944-5
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr15-28021766-8	chr15	28021631	28021919	+	0.000	0.000	Merged-chr15-28021766-8
Merged-chr16-77020436-25	chr16	77020227	77020667	+	0.000	0.000	Merged-chr16-77020436-25
Merged-chr11-116394565-53	chr11	116394121	116395088	+	0.000	0.000	Merged-chr11-116394565-53
Merged-chr3-101066330-34	chr3	101066110	101066644	+	0.000	0.000	Merged-chr3-101066330-34
Merged-chr11-46404706-1	chr11	46404608	46404806	+	0.000	0.000	Merged-chr11-46404706-1
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-58215186-88	chr15	58214712	58215525	+	0.000	0.000	Merged-chr15-58215186-88
Merged-chr2-135847569-1	chr2	135847471	135847669	+	0.000	0.000	Merged-chr2-135847569-1
Merged-chr4-32166349-13	chr4	32166141	32166495	+	0.000	0.000	Merged-chr4-32166349-13
Merged-chr10-42958255-21	chr10	42958054	42958513	+	0.000	0.000	Merged-chr10-42958255-21
Merged-chr4-152325932-66	chr4	152325683	152326147	+	0.000	0.000	Merged-chr4-152325932-66
Merged-chr12-69863671-25	chr12	69863470	69863930	+	0.000	0.000	Merged-chr12-69863671-25
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr4-106805024-2	chr4	106804872	106805179	+	0.000	0.000	Merged-chr4-106805024-2
Merged-chr12-55497950-1	chr12	55497852	55498050	+	0.000	0.000	Merged-chr12-55497950-1
Merged-chr7-73546834-52	chr7	73546629	73547090	+	0.000	0.000	Merged-chr7-73546834-52
Merged-chr3-127853593-31	chr3	127853406	127853886	+	0.000	0.000	Merged-chr3-127853593-31
Merged-chr4-10968085-44	chr4	10967892	10968319	+	0.000	0.000	Merged-chr4-10968085-44
Merged-chr7-12422521-72	chr7	12422035	12422887	+	0.000	0.000	Merged-chr7-12422521-72
Merged-chr15-41832458-66	chr15	41832167	41832675	+	0.000	0.000	Merged-chr15-41832458-66
Merged-chr17-35666880-3	chr17	35666718	35667103	+	0.000	0.000	Merged-chr17-35666880-3
Merged-chr1-172148814-1	chr1	172148716	172148914	+	0.000	0.000	Merged-chr1-172148814-1
Merged-chr6-6132340-1	chr6	6132242	6132440	+	0.000	0.000	Merged-chr6-6132340-1
Merged-chr2-174603363-2	chr2	174603237	174603492	+	0.000	0.000	Merged-chr2-174603363-2
Merged-chrX-166167528-3	chrX	166167330	166167715	+	0.000	0.000	Merged-chrX-166167528-3
Merged-chr13-109686286-1	chr13	109686188	109686386	+	0.000	0.000	Merged-chr13-109686286-1
Merged-chr7-28373341-2	chr7	28373209	28373476	+	0.000	0.000	Merged-chr7-28373341-2
Merged-chr1-156043171-17	chr1	156042816	156043372	+	0.000	0.000	Merged-chr1-156043171-17
Merged-chr16-35747565-9	chr16	35747374	35747750	+	0.000	0.000	Merged-chr16-35747565-9
Merged-chr14-55629542-18	chr14	55629358	55629721	+	0.000	0.000	Merged-chr14-55629542-18
Merged-chr4-106912245-1	chr4	106912147	106912345	+	0.000	0.000	Merged-chr4-106912245-1
Merged-chr11-100819577-1	chr11	100819479	100819677	+	0.000	0.000	Merged-chr11-100819577-1
Merged-chr7-25000756-34	chr7	25000289	25001308	+	0.000	0.000	Merged-chr7-25000756-34
Merged-chr7-29039900-33	chr7	29039673	29040170	+	0.000	0.000	Merged-chr7-29039900-33
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr5-28315754-44	chr5	28315554	28316037	+	0.000	0.000	Merged-chr5-28315754-44
Merged-chr12-52524948-24	chr12	52524665	52525171	+	0.000	0.000	Merged-chr12-52524948-24
Merged-chr7-127946978-1	chr7	127946880	127947078	+	0.000	0.000	Merged-chr7-127946978-1
Merged-chr7-28372841-69	chr7	28372574	28373043	+	0.000	0.000	Merged-chr7-28372841-69
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr13-73604203-68	chr13	73603740	73604526	+	0.000	0.000	Merged-chr13-73604203-68
Merged-chr4-32342446-3	chr4	32342307	32342578	+	0.000	0.000	Merged-chr4-32342446-3
Merged-chr13-109837849-65	chr13	109837657	109838034	+	0.000	0.000	Merged-chr13-109837849-65
Merged-chr9-61372365-47	chr9	61371943	61372645	+	0.000	0.000	Merged-chr9-61372365-47
Merged-chr15-93756205-23	chr15	93755994	93756476	+	0.000	0.000	Merged-chr15-93756205-23
Merged-chr17-84272667-1	chr17	84272569	84272767	+	0.000	0.000	Merged-chr17-84272667-1
Merged-chr5-76779382-27	chr5	76779186	76779674	+	0.000	0.000	Merged-chr5-76779382-27
Merged-chrX-20307421-11	chrX	20307214	20307599	+	0.000	0.000	Merged-chrX-20307421-11
Merged-chr5-147475490-3	chr5	147475381	147475607	+	0.000	0.000	Merged-chr5-147475490-3
Merged-chr5-53999784-28	chr5	53999514	54000176	+	0.000	0.000	Merged-chr5-53999784-28
Merged-chr8-84986029-81	chr8	84985719	84986365	+	0.000	0.000	Merged-chr8-84986029-81
Merged-chr6-121110104-77	chr6	121109696	121110482	+	0.000	0.000	Merged-chr6-121110104-77
Merged-chr3-89911440-10	chr3	89911238	89911696	+	0.000	0.000	Merged-chr3-89911440-10
Merged-chr4-86739424-15	chr4	86739247	86739596	+	0.000	0.000	Merged-chr4-86739424-15
Merged-chr13-112472565-14	chr13	112472363	112472843	+	0.000	0.000	Merged-chr13-112472565-14
Merged-chr11-3131292-2	chr11	3131194	3131392	+	0.000	0.000	Merged-chr11-3131292-2
Merged-chr5-75534401-1	chr5	75534303	75534501	+	0.000	0.000	Merged-chr5-75534401-1
Merged-chr2-103627335-19	chr2	103627139	103627520	+	0.000	0.000	Merged-chr2-103627335-19
Merged-chr2-4918465-9	chr2	4918301	4918718	+	0.000	0.000	Merged-chr2-4918465-9
Merged-chr3-101059436-11	chr3	101059260	101059627	+	0.000	0.000	Merged-chr3-101059436-11
Merged-chr8-71367350-68	chr8	71367110	71367584	+	0.000	0.000	Merged-chr8-71367350-68
Merged-chr17-22417676-33	chr17	22417454	22417892	+	0.000	0.000	Merged-chr17-22417676-33
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr10-68240828-58	chr10	68240501	68241182	+	0.000	0.000	Merged-chr10-68240828-58
Merged-chr5-75811026-2	chr5	75810900	75811155	+	0.000	0.000	Merged-chr5-75811026-2
Merged-chr5-75530270-1	chr5	75530172	75530370	+	0.000	0.000	Merged-chr5-75530270-1
Merged-chr10-10558018-80	chr10	10557697	10558476	+	0.000	0.000	Merged-chr10-10558018-80
Merged-chr6-67510918-34	chr6	67510660	67511144	+	0.000	0.000	Merged-chr6-67510918-34
Merged-chr2-169329453-1	chr2	169329355	169329553	+	0.000	0.000	Merged-chr2-169329453-1
Merged-chr11-80474343-1	chr11	80474245	80474443	+	0.000	0.000	Merged-chr11-80474343-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr9-61827170-3	chr9	61827054	61827287	+	0.000	0.000	Merged-chr9-61827170-3
Merged-chr10-67096873-126	chr10	67096581	67097355	+	0.000	0.000	Merged-chr10-67096873-126
Merged-chr5-34369838-94	chr5	34369400	34370191	+	0.000	0.000	Merged-chr5-34369838-94
Merged-chr1-155158917-88	chr1	155158459	155159169	+	0.000	0.000	Merged-chr1-155158917-88
Merged-chr19-57077212-7	chr19	57077083	57077368	+	0.000	0.000	Merged-chr19-57077212-7
Merged-chr16-45382071-4	chr16	45381864	45382237	+	0.000	0.000	Merged-chr16-45382071-4
Merged-chr16-18406410-19	chr16	18406122	18406708	+	0.000	0.000	Merged-chr16-18406410-19
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr11-52273808-1	chr11	52273710	52273908	+	0.000	0.000	Merged-chr11-52273808-1
Merged-chr8-122273382-29	chr8	122273173	122273604	+	0.000	0.000	Merged-chr8-122273382-29
Merged-chr8-14994534-59	chr8	14993948	14994900	+	0.000	0.000	Merged-chr8-14994534-59
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr15-27923818-49	chr15	27923601	27924034	+	0.000	0.000	Merged-chr15-27923818-49
Merged-chr4-149282639-35	chr4	149282374	149282844	+	0.000	0.000	Merged-chr4-149282639-35
Merged-chr15-57600810-7	chr15	57600662	57600940	+	0.000	0.000	Merged-chr15-57600810-7
Merged-chr5-41844685-118	chr5	41844122	41844978	+	0.000	0.000	Merged-chr5-41844685-118
Merged-chr7-4658968-69	chr7	4658614	4659213	+	0.000	0.000	Merged-chr7-4658968-69
Merged-chr10-96617072-57	chr10	96616709	96617309	+	0.000	0.000	Merged-chr10-96617072-57
Merged-chr11-59425956-47	chr11	59425788	59426302	+	0.000	0.000	Merged-chr11-59425956-47
Merged-chr1-36921922-6	chr1	36921659	36922131	+	0.000	0.000	Merged-chr1-36921922-6
Merged-chr5-53809637-58	chr5	53809381	53809889	+	0.000	0.000	Merged-chr5-53809637-58
Merged-chr8-8287971-1	chr8	8287873	8288071	+	0.000	0.000	Merged-chr8-8287971-1
Merged-chrX-42500778-7	chrX	42500632	42500958	+	0.000	0.000	Merged-chrX-42500778-7
Merged-chr16-89986994-3	chr16	89986792	89987241	+	0.000	0.000	Merged-chr16-89986994-3
Merged-chr16-30768105-2	chr16	30767961	30768252	+	0.000	0.000	Merged-chr16-30768105-2
Merged-chr4-134752256-8	chr4	134752095	134752451	+	0.000	0.000	Merged-chr4-134752256-8
Merged-chr2-59438662-53	chr2	59438388	59438992	+	0.000	0.000	Merged-chr2-59438662-53
Merged-chr1-138585695-6	chr1	138585495	138585845	+	0.000	0.000	Merged-chr1-138585695-6
Merged-chr11-22739134-3	chr11	22738943	22739281	+	0.000	0.000	Merged-chr11-22739134-3
Merged-chr11-21174541-55	chr11	21174256	21174928	+	0.000	0.000	Merged-chr11-21174541-55
Merged-chr10-96634736-7	chr10	96634415	96635004	+	0.000	0.000	Merged-chr10-96634736-7
Merged-chr5-100642595-5	chr5	100642460	100642743	+	0.000	0.000	Merged-chr5-100642595-5
Merged-chr15-12268204-21	chr15	12267923	12268474	+	0.000	0.000	Merged-chr15-12268204-21
Merged-chr6-147487920-1	chr6	147487822	147488020	+	0.000	0.000	Merged-chr6-147487920-1
Merged-chr2-3332756-84	chr2	3332570	3332989	+	0.000	0.000	Merged-chr2-3332756-84
Merged-chr5-65764429-153	chr5	65763767	65765209	+	0.000	0.000	Merged-chr5-65764429-153
Merged-chr3-9550148-51	chr3	9549810	9550618	+	0.000	0.000	Merged-chr3-9550148-51
Merged-chr2-75069533-44	chr2	75069285	75069838	+	0.000	0.000	Merged-chr2-75069533-44
Merged-chr12-55820347-2	chr12	55820249	55820447	+	0.000	0.000	Merged-chr12-55820347-2
Merged-chr3-130932446-30	chr3	130932216	130932642	+	0.000	0.000	Merged-chr3-130932446-30
Merged-chr3-121370150-110	chr3	121369598	121370352	+	0.000	0.000	Merged-chr3-121370150-110
Merged-chr3-37421110-3	chr3	37420838	37421361	+	0.000	0.000	Merged-chr3-37421110-3
Merged-chr1-105498636-1	chr1	105498538	105498736	+	0.000	0.000	Merged-chr1-105498636-1
Merged-chr6-99270140-8	chr6	99269961	99270336	+	0.000	0.000	Merged-chr6-99270140-8
Merged-chr12-8844937-14	chr12	8844706	8845089	+	0.000	0.000	Merged-chr12-8844937-14
Merged-chr10-81257726-38	chr10	81257264	81258062	+	0.000	0.000	Merged-chr10-81257726-38
Merged-chr16-57393364-8	chr16	57393224	57393503	+	0.000	0.000	Merged-chr16-57393364-8
Merged-chr11-20741434-157	chr11	20741091	20741807	+	0.000	0.000	Merged-chr11-20741434-157
Merged-chr6-116131973-10	chr6	116131842	116132128	+	0.000	0.000	Merged-chr6-116131973-10
Merged-chr10-79097325-71	chr10	79097069	79097604	+	0.000	0.000	Merged-chr10-79097325-71
