#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed MACS2_DKO_Tfh_peaks.Klf2.sig.bed MACS2_DKO_Th1_peaks.Klf2.sig.bed MACS2_Naive_peaks.Klf2.sig.bed MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed MACS2_WT_Tfh_peaks.Klf2.sig.bed MACS2_WT_Th1_peaks.Klf2.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed	MACS2_DKO_Tfh_peaks.Klf2.sig.bed	MACS2_DKO_Th1_peaks.Klf2.sig.bed	MACS2_Naive_peaks.Klf2.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed	MACS2_WT_Tfh_peaks.Klf2.sig.bed	MACS2_WT_Th1_peaks.Klf2.sig.bed
Merged-chr8-72350921-3	chr8	72350794	72351027	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	3					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342595	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261682	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247166a
Merged-chr8-72351667-6	chr8	72351551	72351794	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	6					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342596a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342596b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261683a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261683b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247167a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247167b
Merged-chr8-72365696-12	chr8	72365592	72365825	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292448a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292448b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246082a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246082b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246082c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246082d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201280a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201280b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201280c				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247171a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247171b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247171c
Merged-chr8-72370302-5	chr8	72370137	72370426	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292449a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292449b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246083	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201281				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247172
Merged-chr8-72319117-7	chr8	72318942	72319266	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292439	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246073b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246073a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201268		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342590	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261676	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247160
Merged-chr8-72322442-8	chr8	72322340	72322555	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292440	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246074a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246074b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201270a		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342591b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261677b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261677c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247161a
Merged-chr8-72363610-6	chr8	72363515	72363715	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292447	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246081	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201279		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342599	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261686	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247170
Merged-chr8-72409557-7	chr8	72409424	72409695	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292456	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246088	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201284		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342606	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261691a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261691b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247178
Merged-chr8-72354243-16	chr8	72354127	72354388	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	16	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292445a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292445b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246079a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246079b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246079c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201277a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201277b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342597c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342597a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342597b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261684b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261684a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247168a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247168b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247168c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247168d
Merged-chr8-72400535-6	chr8	72400320	72400678	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292454	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246086	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201283		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342605	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261690	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247176
Merged-chr8-72329903-2	chr8	72329825	72329981	+	0.000000	MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246075	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201272				
Merged-chr8-72382601-3	chr8	72382453	72382740	+	0.000000	MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246084	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201282				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247173
Merged-chr8-72320265-1	chr8	72320190	72320340	+	0.000000	MACS2_DKO_Th1_peaks.Klf2.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201269				
Merged-chr8-72319561-3	chr8	72319486	72319636	+	0.000000	MACS2_Naive_peaks.Klf2.sig.bed	3				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352533a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352533b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352533c			
Merged-chr8-72349928-2	chr8	72349853	72350003	+	0.000000	MACS2_Naive_peaks.Klf2.sig.bed	2				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352541a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352541b			
Merged-chr8-72322148-1	chr8	72322073	72322223	+	0.000000	MACS2_Naive_peaks.Klf2.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352534			
Merged-chr8-72354539-1	chr8	72354464	72354614	+	0.000000	MACS2_Naive_peaks.Klf2.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352543			
Merged-chr8-72366068-5	chr8	72365951	72366214	+	0.000000	MACS2_Naive_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed	5				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352546a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352546b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352546c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342602	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261689	
Merged-chr8-72365101-4	chr8	72365015	72365181	+	0.000000	MACS2_Naive_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed	4				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352545	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342601a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342601b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261688	
Merged-chr8-72402283-1	chr8	72402208	72402358	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292455						
Merged-chr8-72385964-2	chr8	72385852	72386076	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292453						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247174
