#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed MACS2_DKO_Tfh_peaks.Tbx21.sig.bed MACS2_DKO_Th1_peaks.Tbx21.sig.bed MACS2_Naive_peaks.Tbx21.sig.bed MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Th1_peaks.Tbx21.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	MACS2_DKO_Th1_peaks.Tbx21.sig.bed	MACS2_Naive_peaks.Tbx21.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Th1_peaks.Tbx21.sig.bed
Merged-chr11-97103964-6	chr11	97103878	97104051	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53601a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53601b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44939a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44939b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37675a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37675b				
Merged-chr11-97130802-10	chr11	97130695	97130910	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53609a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53609b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53609c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44949a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44949b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37684a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37684b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37684c				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45665a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45665b
Merged-chr11-97118402-4	chr11	97118296	97118504	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53605	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44945	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37680				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45661
Merged-chr11-97096333-5	chr11	97096199	97096495	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53599	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44937	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37673		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62184		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45654
Merged-chr11-97123702-6	chr11	97123447	97123898	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53606	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44946	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37681		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62191		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45662b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45662a
Merged-chr11-97143584-9	chr11	97143396	97143691	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53613a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53613b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44954b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37689a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37689b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62196	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47187	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45669a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45669b
Merged-chr11-97112734-6	chr11	97112595	97112860	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53603	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44942	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37678		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62189	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47180	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45658
Merged-chr11-97125026-5	chr11	97124868	97125190	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53607a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53607b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37682				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45663b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45663a
Merged-chr11-97115546-13	chr11	97115335	97115682	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed	13	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604d		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37679a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37679b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37679c		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62190b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62190a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62190c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47181d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47181a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47181b	
Merged-chr11-97134352-2	chr11	97134222	97134482	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44951	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37686				
Merged-chr11-97109203-4	chr11	97109102	97109311	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44940	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37676		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62187	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47178	
Merged-chr11-97109836-4	chr11	97109746	97109920	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44941	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37677		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62188	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47179	
Merged-chr11-97133542-5	chr11	97133352	97133710	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed	5		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44950	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37685		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62193	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47184a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47184b	
Merged-chr11-97091994-2	chr11	97091919	97092069	+	0.000000	MACS2_DKO_Th1_peaks.Tbx21.sig.bed	2			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37669a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37669b				
Merged-chr11-97146190-2	chr11	97146109	97146272	+	0.000000	MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	2			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37690				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45670
Merged-chr11-97146795-4	chr11	97146697	97146891	+	0.000000	MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37691		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62197	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47189	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45671
Merged-chr11-97116022-3	chr11	97115921	97116135	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44944		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63082			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45660
Merged-chr11-97146416-5	chr11	97146338	97146494	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53614a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53614b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53614c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44955a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44955b					
Merged-chr11-97091015-2	chr11	97090889	97091142	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53593	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44934					
Merged-chr11-97092538-1	chr11	97092463	97092613	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53595						
Merged-chr11-97094059-1	chr11	97093984	97094134	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53597						
Merged-chr11-97091753-1	chr11	97091678	97091828	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53594a						
Merged-chr11-97109527-4	chr11	97109431	97109623	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53602a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53602b						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45657b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45657a
Merged-chr11-97133906-4	chr11	97133808	97134005	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53610a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53610b						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45666c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45666a
