"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097440","GO:0097440","apical dendrite","2/254","27/21298",0.0408902441480416,0.356960779995066,0.329215905942981,"Rasgrf1/Slc7a10",2
"GO:0097225","GO:0097225","sperm midpiece","2/254","28/21298",0.0436967628918542,0.37142248458076,0.342553570592652,"Grk3/Ccr6",2
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","5/254","162/21298",0.0450266202623495,0.372912778070228,0.343928030613898,"Matk/Gna13/Farp1/Snx9/Kit",5
"GO:0005884","GO:0005884","actin filament","4/254","115/21298",0.0490172422557759,0.39581423121539,0.365049462062752,"Pawr/Tmod1/Vcl/Tmod3",4
"GO:0043292","GO:0043292","contractile fiber","6/254","222/21298",0.0505911656458095,0.398559670819426,0.367581511624238,"Grk3/Tmod1/Neb/Vcl/Tmod3/Hdac4",6
"GO:0032588","GO:0032588","trans-Golgi network membrane","2/254","31/21298",0.0525249688852859,0.403942022617794,0.372545518660048,"Arfip1/Nsg2",2
"GO:0099092","GO:0099092","postsynaptic density, intracellular component","2/254","32/21298",0.0555972432630475,0.415979000376213,0.383646919036885,"Dlgap1/Nr3c1",2
"GO:0030135","GO:0030135","coated vesicle","5/254","173/21298",0.056665870020289,0.415979000376213,0.383646919036885,"Clint1/Synrg/Snx9/Htt/Vti1a",5
"GO:0098562","GO:0098562","cytoplasmic side of membrane","5/254","177/21298",0.0612892281650963,0.429519839928113,0.39613529313885,"Matk/Gna13/Farp1/Snx9/Kit",5
"GO:0016234","GO:0016234","inclusion body","3/254","76/21298",0.0624923972981462,0.429519839928113,0.39613529313885,"Cabin1/Rnf32/Htt",3
"GO:0030018","GO:0030018","Z disc","4/254","125/21298",0.0628067550358814,0.429519839928113,0.39613529313885,"Grk3/Neb/Vcl/Hdac4",4
"GO:0031463","GO:0031463","Cul3-RING ubiquitin ligase complex","2/254","35/21298",0.065175687582141,0.429519839928113,0.39613529313885,"Klhl2/Klhl3",2
"GO:0001725","GO:0001725","stress fiber","3/254","78/21298",0.0664891393077575,0.429519839928113,0.39613529313885,"Klhl2/Flnb/Vcl",3
"GO:0097517","GO:0097517","contractile actin filament bundle","3/254","78/21298",0.0664891393077575,0.429519839928113,0.39613529313885,"Klhl2/Flnb/Vcl",3
"GO:0099091","GO:0099091","postsynaptic specialization, intracellular component","2/254","38/21298",0.0752579686623367,0.470007536431796,0.433476072381288,"Dlgap1/Nr3c1",2
"GO:0005795","GO:0005795","Golgi stack","3/254","84/21298",0.0791548140718175,0.470007536431796,0.433476072381288,"Xylt1/Nucb2/Nsg2",3
"GO:0045211","GO:0045211","postsynaptic membrane","8/254","374/21298",0.0803170606108833,0.470007536431796,0.433476072381288,"Abi1/Adgrl2/Dlgap1/Farp1/Slc1a7/Psd3/Ntrk3/Sipa1l1",8
"GO:0031674","GO:0031674","I band","4/254","137/21298",0.0817550672996091,0.470007536431796,0.433476072381288,"Grk3/Neb/Vcl/Hdac4",4
"GO:0016235","GO:0016235","aggresome","2/254","40/21298",0.0822359371943739,0.470007536431796,0.433476072381288,"Cabin1/Rnf32",2
"GO:0012506","GO:0012506","vesicle membrane","7/254","315/21298",0.0841380156899626,0.470007536431796,0.433476072381288,"Rapgef1/Nck2/Nsg2/Synrg/Snx9/Htt/Vti1a",7
"GO:0031252","GO:0031252","cell leading edge","8/254","378/21298",0.0841661181659205,0.470007536431796,0.433476072381288,"Epb41l5/Abi1/Exoc4/Cxcr4/Psd3/Actr2/Tmod3/Raph1",8
"GO:0000803","GO:0000803","sex chromosome","2/254","41/21298",0.0857968041138182,0.470007536431796,0.433476072381288,"Usp7/Phc1",2
"GO:0032432","GO:0032432","actin filament bundle","3/254","87/21298",0.0858527698126191,0.470007536431796,0.433476072381288,"Klhl2/Flnb/Vcl",3
"GO:0030426","GO:0030426","growth cone","5/254","201/21298",0.0933462928481228,0.502514209832395,0.463456155719627,"Rapgef4/Exoc4/Kif5b/Cxcr4/Rasgrf1",5
"GO:0005720","GO:0005720","nuclear heterochromatin","2/254","44/21298",0.0967476020576543,0.509821692062699,0.470195661899116,"Bend3/Phc1",2
"GO:0030427","GO:0030427","site of polarized growth","5/254","204/21298",0.0978605105507348,0.509821692062699,0.470195661899116,"Rapgef4/Exoc4/Kif5b/Cxcr4/Rasgrf1",5
"GO:0005901","GO:0005901","caveola","3/254","93/21298",0.0999361264023548,0.512370933777152,0.472546763105537,"Jak2/Igf1r/Mapk1",3
"GO:0031901","GO:0031901","early endosome membrane","2/254","47/21298",0.10806833120136,0.517744555809518,0.477502718898789,"Ldlrad4/Wdr91",2
"GO:0005775","GO:0005775","vacuolar lumen","1/254","10/21298",0.113081680505161,0.517744555809518,0.477502718898789,"Nsg2",1
"GO:0005885","GO:0005885","Arp2/3 protein complex","1/254","10/21298",0.113081680505161,0.517744555809518,0.477502718898789,"Actr2",1
"GO:0036513","GO:0036513","Derlin-1 retrotranslocation complex","1/254","10/21298",0.113081680505161,0.517744555809518,0.477502718898789,"Rnf139",1
"GO:0120111","GO:0120111","neuron projection cytoplasm","2/254","49/21298",0.11580135162975,0.517744555809518,0.477502718898789,"Mapk1/Htt",2
"GO:1902911","GO:1902911","protein kinase complex","3/254","102/21298",0.122644082442591,0.517744555809518,0.477502718898789,"Igf1r/Cdk14/Sik2",3
"GO:0061700","GO:0061700","GATOR2 complex","1/254","11/21298",0.123664039258999,0.517744555809518,0.477502718898789,"Sesn3",1
"GO:1990907","GO:1990907","beta-catenin-TCF complex","1/254","11/21298",0.123664039258999,0.517744555809518,0.477502718898789,"Tcf4",1
"GO:0005912","GO:0005912","adherens junction","6/254","284/21298",0.125227237785563,0.517744555809518,0.477502718898789,"Epb41l5/Jak2/Flnb/Vcl/Mapk1/Lpp",6
"GO:0030659","GO:0030659","cytoplasmic vesicle membrane","6/254","289/21298",0.132821166013652,0.517744555809518,0.477502718898789,"Rapgef1/Nsg2/Synrg/Snx9/Htt/Vti1a",6
"GO:0012510","GO:0012510","trans-Golgi network transport vesicle membrane","1/254","12/21298",0.13412062468805,0.517744555809518,0.477502718898789,"Synrg",1
"GO:0031143","GO:0031143","pseudopodium","1/254","12/21298",0.13412062468805,0.517744555809518,0.477502718898789,"Mapk1",1
"GO:0031313","GO:0031313","extrinsic component of endosome membrane","1/254","12/21298",0.13412062468805,0.517744555809518,0.477502718898789,"Wdr91",1
"GO:0097524","GO:0097524","sperm plasma membrane","1/254","12/21298",0.13412062468805,0.517744555809518,0.477502718898789,"Ccr6",1
"GO:0099026","GO:0099026","anchored component of presynaptic membrane","1/254","12/21298",0.13412062468805,0.517744555809518,0.477502718898789,"Cntn5",1
"GO:0042383","GO:0042383","sarcolemma","4/254","165/21298",0.135284797453704,0.517744555809518,0.477502718898789,"Lama2/Igf1r/Aqp4/Vcl",4
"GO:0001917","GO:0001917","photoreceptor inner segment","2/254","54/21298",0.135703897299993,0.517744555809518,0.477502718898789,"Rapgef4/Myo3b",2
"GO:0016323","GO:0016323","basolateral plasma membrane","5/254","228/21298",0.13774549534473,0.517744555809518,0.477502718898789,"Rapgef4/Aqp4/Rasgrf1/Naip1/Slc1a3",5
"GO:0030139","GO:0030139","endocytic vesicle","4/254","169/21298",0.143879747547558,0.517744555809518,0.477502718898789,"Kif5b/Rapgef1/Abca1/Flnb",4
"GO:0005916","GO:0005916","fascia adherens","1/254","13/21298",0.144452925793435,0.517744555809518,0.477502718898789,"Vcl",1
"GO:0035253","GO:0035253","ciliary rootlet","1/254","13/21298",0.144452925793435,0.517744555809518,0.477502718898789,"Kif5b",1
"GO:0045239","GO:0045239","tricarboxylic acid cycle enzyme complex","1/254","13/21298",0.144452925793435,0.517744555809518,0.477502718898789,"Suclg1",1
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","2/254","57/21298",0.147984575672426,0.517744555809518,0.477502718898789,"Edem3/Tmem43",2
"GO:0070161","GO:0070161","anchoring junction","6/254","299/21298",0.148647291712619,0.517744555809518,0.477502718898789,"Epb41l5/Jak2/Flnb/Vcl/Mapk1/Lpp",6
"GO:0150034","GO:0150034","distal axon","7/254","366/21298",0.149088452126433,0.517744555809518,0.477502718898789,"Rapgef4/Exoc4/Rgs10/Kif5b/Kcnk2/Cxcr4/Rasgrf1",7
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","1/254","14/21298",0.154662414017465,0.517744555809518,0.477502718898789,"Scn3a",1
"GO:0031588","GO:0031588","nucleotide-activated protein kinase complex","1/254","14/21298",0.154662414017465,0.517744555809518,0.477502718898789,"Sik2",1
"GO:0097449","GO:0097449","astrocyte projection","1/254","14/21298",0.154662414017465,0.517744555809518,0.477502718898789,"Kcnk2",1
"GO:0030660","GO:0030660","Golgi-associated vesicle membrane","2/254","59/21298",0.15629275446905,0.517744555809518,0.477502718898789,"Synrg/Vti1a",2
"GO:0016459","GO:0016459","myosin complex","2/254","60/21298",0.160479719931684,0.517744555809518,0.477502718898789,"Myo16/Myo3b",2
"GO:0044853","GO:0044853","plasma membrane raft","3/254","117/21298",0.164084833627241,0.517744555809518,0.477502718898789,"Jak2/Igf1r/Mapk1",3
"GO:0000109","GO:0000109","nucleotide-excision repair complex","1/254","15/21298",0.164750543449882,0.517744555809518,0.477502718898789,"Slx4",1
"GO:0005639","GO:0005639","integral component of nuclear inner membrane","1/254","15/21298",0.164750543449882,0.517744555809518,0.477502718898789,"Tmem43",1
"GO:0031229","GO:0031229","intrinsic component of nuclear inner membrane","1/254","15/21298",0.164750543449882,0.517744555809518,0.477502718898789,"Tmem43",1
"GO:0032580","GO:0032580","Golgi cisterna membrane","1/254","15/21298",0.164750543449882,0.517744555809518,0.477502718898789,"Nsg2",1
"GO:0035102","GO:0035102","PRC1 complex","1/254","15/21298",0.164750543449882,0.517744555809518,0.477502718898789,"Phc1",1
"GO:0042101","GO:0042101","T cell receptor complex","1/254","15/21298",0.164750543449882,0.517744555809518,0.477502718898789,"Alcam",1
"GO:0071437","GO:0071437","invadopodium","1/254","15/21298",0.164750543449882,0.517744555809518,0.477502718898789,"Actr2",1
"GO:0014704","GO:0014704","intercalated disc","2/254","62/21298",0.168913902650637,0.517744555809518,0.477502718898789,"Tmem65/Vcl",2
"GO:0036126","GO:0036126","sperm flagellum","3/254","119/21298",0.169897727429788,0.517744555809518,0.477502718898789,"Grk3/Ccr6/Spag16",3
"GO:0019898","GO:0019898","extrinsic component of membrane","6/254","312/21298",0.170422233065523,0.517744555809518,0.477502718898789,"Matk/Gna13/Farp1/Vps13d/Wdr91/Snx9",6
"GO:0099023","GO:0099023","tethering complex","2/254","63/21298",0.173158988483653,0.517744555809518,0.477502718898789,"Nbas/Exoc4",2
"GO:0035859","GO:0035859","Seh1-associated complex","1/254","16/21298",0.174718751031695,0.517744555809518,0.477502718898789,"Sesn3",1
"GO:0044453","GO:0044453","nuclear membrane part","1/254","16/21298",0.174718751031695,0.517744555809518,0.477502718898789,"Tmem43",1
"GO:0098799","GO:0098799","outer mitochondrial membrane protein complex","1/254","16/21298",0.174718751031695,0.517744555809518,0.477502718898789,"Mtx2",1
"GO:0098890","GO:0098890","extrinsic component of postsynaptic membrane","1/254","16/21298",0.174718751031695,0.517744555809518,0.477502718898789,"Farp1",1
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","4/254","185/21298",0.180248982525283,0.524226731972124,0.483481066149947,"Matk/Gna13/Farp1/Snx9",4
"GO:0005614","GO:0005614","interstitial matrix","1/254","17/21298",0.184568456756624,0.524226731972124,0.483481066149947,"Nav2",1
"GO:0098862","GO:0098862","cluster of actin-based cell projections","4/254","189/21298",0.189787050964182,0.524226731972124,0.483481066149947,"Rapgef4/Gna13/Myo3b/Flnb",4
"GO:0097729","GO:0097729","9+2 motile cilium","3/254","126/21298",0.19068736496514,0.524226731972124,0.483481066149947,"Grk3/Ccr6/Spag16",3
"GO:0005640","GO:0005640","nuclear outer membrane","1/254","18/21298",0.194301063870191,0.524226731972124,0.483481066149947,"Nucb2",1
"GO:0099144","GO:0099144","anchored component of synaptic membrane","1/254","18/21298",0.194301063870191,0.524226731972124,0.483481066149947,"Cntn5",1
"GO:0043198","GO:0043198","dendritic shaft","2/254","68/21298",0.194623719572854,0.524226731972124,0.483481066149947,"Grk3/Exoc4",2
"GO:0000790","GO:0000790","nuclear chromatin","7/254","397/21298",0.197417556386999,0.524226731972124,0.483481066149947,"Pawr/Slx4/Bend3/Tcf12/Nrip1/Phc1/Tcf4",7
"GO:0005776","GO:0005776","autophagosome","2/254","69/21298",0.19895774950052,0.524226731972124,0.483481066149947,"Htt/Vti1a",2
"GO:0032587","GO:0032587","ruffle membrane","2/254","70/21298",0.203303311245755,0.524226731972124,0.483481066149947,"Epb41l5/Psd3",2
"GO:0000145","GO:0000145","exocyst","1/254","19/21298",0.203917959066478,0.524226731972124,0.483481066149947,"Exoc4",1
"GO:0032426","GO:0032426","stereocilium tip","1/254","19/21298",0.203917959066478,0.524226731972124,0.483481066149947,"Myo3b",1
"GO:0043034","GO:0043034","costamere","1/254","19/21298",0.203917959066478,0.524226731972124,0.483481066149947,"Vcl",1
"GO:0044448","GO:0044448","cell cortex part","4/254","195/21298",0.204385594492393,0.524226731972124,0.483481066149947,"Exoc4/Epb41l2/Tmod1/Actr2",4
"GO:0030662","GO:0030662","coated vesicle membrane","2/254","72/21298",0.212025501738677,0.524226731972124,0.483481066149947,"Synrg/Vti1a",2
"GO:0005686","GO:0005686","U2 snRNP","1/254","20/21298",0.213420512682583,0.524226731972124,0.483481066149947,"Rbm31y",1
"GO:0005839","GO:0005839","proteasome core complex","1/254","20/21298",0.213420512682583,0.524226731972124,0.483481066149947,"Psmb7",1
"GO:0043083","GO:0043083","synaptic cleft","1/254","20/21298",0.213420512682583,0.524226731972124,0.483481066149947,"Lama2",1
"GO:0044292","GO:0044292","dendrite terminus","1/254","20/21298",0.213420512682583,0.524226731972124,0.483481066149947,"Grk3",1
"GO:0090723","GO:0090723","growth cone part","1/254","20/21298",0.213420512682583,0.524226731972124,0.483481066149947,"Exoc4",1
"GO:0010008","GO:0010008","endosome membrane","4/254","199/21298",0.214296690873157,0.524226731972124,0.483481066149947,"Ldlrad4/Wdr91/Nsg2/Vti1a",4
"GO:0044431","GO:0044431","Golgi apparatus part","8/254","481/21298",0.21767250233772,0.524226731972124,0.483481066149947,"Xylt1/Nucb2/Arfip1/Ctgf/Chst2/Nsg2/Synrg/Snx9",8
"GO:0030315","GO:0030315","T-tubule","2/254","74/21298",0.220783425730605,0.524226731972124,0.483481066149947,"Igf1r/Aqp4",2
"GO:0005849","GO:0005849","mRNA cleavage factor complex","1/254","21/21298",0.222810078890809,0.524226731972124,0.483481066149947,"Scaf8",1
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","1/254","21/21298",0.222810078890809,0.524226731972124,0.483481066149947,"Vti1a",1
"GO:0030904","GO:0030904","retromer complex","1/254","21/21298",0.222810078890809,0.524226731972124,0.483481066149947,"Dennd4c",1
"GO:0097038","GO:0097038","perinuclear endoplasmic reticulum","1/254","21/21298",0.222810078890809,0.524226731972124,0.483481066149947,"Osbpl6",1
"GO:0044306","GO:0044306","neuron projection terminus","4/254","204/21298",0.226867878833181,0.524226731972124,0.483481066149947,"Rapgef4/Rgs10/Kcnk2/Vti1a",4
"GO:0005903","GO:0005903","brush border","3/254","138/21298",0.227665038649209,0.524226731972124,0.483481066149947,"Rapgef4/Gna13/Flnb",3
"GO:0000151","GO:0000151","ubiquitin ligase complex","5/254","275/21298",0.232047854659768,0.524226731972124,0.483481066149947,"Usp47/Phc1/Asb1/Klhl2/Klhl3",5
"GO:0001741","GO:0001741","XY body","1/254","22/21298",0.232087995888588,0.524226731972124,0.483481066149947,"Usp7",1
"GO:0005797","GO:0005797","Golgi medial cisterna","1/254","22/21298",0.232087995888588,0.524226731972124,0.483481066149947,"Nucb2",1
"GO:0016327","GO:0016327","apicolateral plasma membrane","1/254","22/21298",0.232087995888588,0.524226731972124,0.483481066149947,"Rasgrf1",1
"GO:0031307","GO:0031307","integral component of mitochondrial outer membrane","1/254","22/21298",0.232087995888588,0.524226731972124,0.483481066149947,"Fundc1",1
"GO:0001750","GO:0001750","photoreceptor outer segment","2/254","78/21298",0.238380498666458,0.533736673327679,0.492251844718048,"Rapgef4/Myo3b",2
"GO:0031306","GO:0031306","intrinsic component of mitochondrial outer membrane","1/254","23/21298",0.241255586086195,0.533736673327679,0.492251844718048,"Fundc1",1
"GO:0099243","GO:0099243","extrinsic component of synaptic membrane","1/254","23/21298",0.241255586086195,0.533736673327679,0.492251844718048,"Farp1",1
"GO:0097730","GO:0097730","non-motile cilium","3/254","144/21298",0.246640761280128,0.535440215115239,0.493822978255215,"Rapgef4/Myo3b/Mdm1",3
"GO:0001726","GO:0001726","ruffle","3/254","145/21298",0.249827996092841,0.535440215115239,0.493822978255215,"Epb41l5/Psd3/Tmod3",3
"GO:0001673","GO:0001673","male germ cell nucleus","1/254","24/21298",0.250314156292264,0.535440215115239,0.493822978255215,"Topbp1",1
"GO:0030666","GO:0030666","endocytic vesicle membrane","1/254","24/21298",0.250314156292264,0.535440215115239,0.493822978255215,"Rapgef1",1
"GO:0034706","GO:0034706","sodium channel complex","1/254","24/21298",0.250314156292264,0.535440215115239,0.493822978255215,"Scn3a",1
"GO:0005802","GO:0005802","trans-Golgi network","4/254","214/21298",0.252539267361608,0.536645943143417,0.494934990743317,"Arfip1/Chst2/Nsg2/Snx9",4
"GO:0044291","GO:0044291","cell-cell contact zone","2/254","82/21298",0.256045409352767,0.539360972409336,0.497438993618518,"Tmem65/Vcl",2
"GO:0030125","GO:0030125","clathrin vesicle coat","1/254","25/21298",0.259264997897122,0.539360972409336,0.497438993618518,"Synrg",1
"GO:0099523","GO:0099523","presynaptic cytosol","1/254","25/21298",0.259264997897122,0.539360972409336,0.497438993618518,"Htt",1
"GO:0045121","GO:0045121","membrane raft","6/254","360/21298",0.260496321039803,0.539360972409336,0.497438993618518,"Grk3/Jak2/Igf1r/Abca1/Vcl/Mapk1",6
"GO:0098857","GO:0098857","membrane microdomain","6/254","361/21298",0.262501183535888,0.540050205618419,0.498074655988308,"Grk3/Jak2/Igf1r/Abca1/Vcl/Mapk1",6
"GO:0097386","GO:0097386","glial cell projection","1/254","26/21298",0.268109387053994,0.548097038091393,0.505496046211061,"Kcnk2",1
"GO:0044440","GO:0044440","endosomal part","4/254","223/21298",0.276134887986818,0.555416726143828,0.512246809511825,"Ldlrad4/Wdr91/Nsg2/Vti1a",4
"GO:0030140","GO:0030140","trans-Golgi network transport vesicle","1/254","27/21298",0.276848584858069,0.555416726143828,0.512246809511825,"Synrg",1
"GO:0099524","GO:0099524","postsynaptic cytosol","1/254","27/21298",0.276848584858069,0.555416726143828,0.512246809511825,"Htt",1
"GO:0000139","GO:0000139","Golgi membrane","4/254","226/21298",0.284082418285911,0.558419794726569,0.51501646376933,"Xylt1/Arfip1/Chst2/Nsg2",4
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","3/254","156/21298",0.285234757458679,0.558419794726569,0.51501646376933,"Usp47/Klhl2/Klhl3",3
"GO:0033267","GO:0033267","axon part","7/254","447/21298",0.285872774973673,0.558419794726569,0.51501646376933,"Rapgef4/Exoc4/Rgs10/Kif5b/Kcnk2/Cxcr4/Rasgrf1",7
"GO:0098589","GO:0098589","membrane region","6/254","373/21298",0.286857232010423,0.558419794726569,0.51501646376933,"Grk3/Jak2/Igf1r/Abca1/Vcl/Mapk1",6
"GO:0016363","GO:0016363","nuclear matrix","2/254","89/21298",0.286989739704676,0.558419794726569,0.51501646376933,"Jak2/Scaf8",2
"GO:0044305","GO:0044305","calyx of Held","1/254","29/21298",0.29401637655823,0.56866640495993,0.524466653425648,"Kcnk2",1
"GO:0030175","GO:0030175","filopodium","2/254","91/21298",0.295813884762056,0.568737409393714,0.524532139020437,"Abi1/Myo3b",2
"GO:0000792","GO:0000792","heterochromatin","2/254","92/21298",0.300220250184581,0.5737937326013,0.529195458126667,"Bend3/Phc1",2
"GO:0097228","GO:0097228","sperm principal piece","1/254","30/21298",0.302447418937007,0.574650095980313,0.529985260428316,"Ccr6",1
"GO:0032839","GO:0032839","dendrite cytoplasm","1/254","31/21298",0.310778167272064,0.58110825983389,0.535941461733716,"Mapk1",1
"GO:0043073","GO:0043073","germ cell nucleus","1/254","31/21298",0.310778167272064,0.58110825983389,0.535941461733716,"Topbp1",1
"GO:0090575","GO:0090575","RNA polymerase II transcription factor complex","3/254","164/21298",0.311243742883167,0.58110825983389,0.535941461733716,"Pou2af1/Tcf12/Tcf4",3
"GO:0030027","GO:0030027","lamellipodium","3/254","165/21298",0.314502241872601,0.581296845286528,0.536115389330577,"Abi1/Actr2/Tmod3",3
"GO:0031941","GO:0031941","filamentous actin","1/254","32/21298",0.319009809982033,0.581296845286528,0.536115389330577,"Tmod3",1
