#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed
NR1089--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR131--MA0690.1.TBX21	chr1	174041076	174041085	-	0.000	0.000	Merged-chr1-174041007-47
NR2112--MA0690.1.TBX21	chrX	159447265	159447274	-	0.000	0.000	Merged-chrX-159447377-17
NR428--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR266--MA0690.1.TBX21	chr10	119083643	119083652	+	0.000	0.000	Merged-chr10-119083697-27
NR808--MA0690.1.TBX21	chr16	48772285	48772294	+	0.000	0.000	Merged-chr16-48772238-46
NR1632--MA0690.1.TBX21	chr6	73255031	73255040	+	0.000	0.000	Merged-chr6-73255048-51
NR497--MA0690.1.TBX21	chr13	5286470	5286479	+	0.000	0.000	Merged-chr13-5286449-11
NR1061--MA0690.1.TBX21	chr2	4454954	4454963	+	0.000	0.000	Merged-chr2-4454837-7
NR2109--MA0690.1.TBX21	chrX	134804501	134804510	-	0.000	0.000	Merged-chrX-134804510-14
NR1943--MA0690.1.TBX21	chr8	126200349	126200358	+	0.000	0.000	Merged-chr8-126200294-39
NR1324--MA0690.1.TBX21	chr3	137954535	137954544	+	0.000	0.000	Merged-chr3-137954430-54
NR1704--MA0690.1.TBX21	chr6	145002429	145002438	+	0.000	0.000	Merged-chr6-145002461-23
NR1948--MA0690.1.TBX21	chr8	128643073	128643082	-	0.000	0.000	Merged-chr8-128643198-31
NR1460--MA0690.1.TBX21	chr4	149880265	149880274	-	0.000	0.000	Merged-chr4-149880219-52
NR1505--MA0690.1.TBX21	chr5	89045090	89045099	-	0.000	0.000	Merged-chr5-89044916-44
NR1627--MA0690.1.TBX21	chr6	67184845	67184854	-	0.000	0.000	Merged-chr6-67184785-39
NR1879--MA0690.1.TBX21	chr8	40963119	40963128	+	0.000	0.000	Merged-chr8-40963134-88
NR1051--MA0690.1.TBX21	chr19	57055819	57055828	-	0.000	0.000	Merged-chr19-57055875-36
NR1335--MA0690.1.TBX21	chr3	146063221	146063230	+	0.000	0.000	Merged-chr3-146063322-20
NR676--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR132--MA0690.1.TBX21	chr1	175672133	175672142	+	0.000	0.000	Merged-chr1-175671979-22
NR512--MA0690.1.TBX21	chr13	24467805	24467814	+	0.000	0.000	Merged-chr13-24467982-34
NR1449--MA0690.1.TBX21	chr4	135568111	135568120	-	0.000	0.000	Merged-chr4-135567986-19
NR525--MA0690.1.TBX21	chr13	41682969	41682978	-	0.000	0.000	Merged-chr13-41683049-20
NR1048--MA0690.1.TBX21	chr19	54015085	54015094	-	0.000	0.000	Merged-chr19-54015154-21
NR581--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR1245--MA0690.1.TBX21	chr3	37183603	37183612	-	0.000	0.000	Merged-chr3-37183520-10
NR857--MA0690.1.TBX21	chr17	10229842	10229851	-	0.000	0.000	Merged-chr17-10229858-11
NR695--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR966--MA0690.1.TBX21	chr18	60624684	60624693	-	0.000	0.000	Merged-chr18-60624660-132
NR958--MA0690.1.TBX21	chr18	39657190	39657199	+	0.000	0.000	Merged-chr18-39657147-8
NR99--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR395--MA0690.1.TBX21	chr11	114571305	114571314	-	0.000	0.000	Merged-chr11-114571439-19
NR78--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR278--MA0690.1.TBX21	chr11	6324414	6324423	-	0.000	0.000	Merged-chr11-6324359-18
NR135--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR2084--MA0690.1.TBX21	chr9	122398978	122398987	+	0.000	0.000	Merged-chr9-122399009-31
NR353--MA0690.1.TBX21	chr11	88567232	88567241	+	0.000	0.000	Merged-chr11-88567097-31
NR889--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR2063--MA0690.1.TBX21	chr9	116091613	116091622	-	0.000	0.000	Merged-chr9-116091467-52
NR1984--MA0690.1.TBX21	chr9	53706352	53706361	+	0.000	0.000	Merged-chr9-53706205-55
NR1841--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR1950--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR2021--MA0690.1.TBX21	chr9	87025986	87025995	-	0.000	0.000	Merged-chr9-87025935-38
NR1371--MA0690.1.TBX21	chr4	11095692	11095701	-	0.000	0.000	Merged-chr4-11095738-16
NR1913--MA0690.1.TBX21	chr8	111771971	111771980	+	0.000	0.000	Merged-chr8-111771953-9
NR1220--MA0690.1.TBX21	chr2	173470010	173470019	+	0.000	0.000	Merged-chr2-173469901-51
NR1743--MA0690.1.TBX21	chr7	45695323	45695332	+	0.000	0.000	Merged-chr7-45695271-16
NR832--MA0690.1.TBX21	chr16	91562153	91562162	+	0.000	0.000	Merged-chr16-91562152-19
NR1573--MA0690.1.TBX21	chr5	143631003	143631012	+	0.000	0.000	Merged-chr5-143630947-39
NR1076--MA0690.1.TBX21	chr2	14312571	14312580	-	0.000	0.000	Merged-chr2-14312633-23
NR370--MA0690.1.TBX21	chr11	99150507	99150516	-	0.000	0.000	Merged-chr11-99150380-50
NR66--MA0690.1.TBX21	chr1	94040647	94040656	+	0.000	0.000	Merged-chr1-94040599-7
NR1299--MA0690.1.TBX21	chr3	104841018	104841027	+	0.000	0.000	Merged-chr3-104841189-28
NR45--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR1897--MA0690.1.TBX21	chr8	81558766	81558775	+	0.000	0.000	Merged-chr8-81558760-48
NR1026--MA0690.1.TBX21	chr19	30924251	30924260	+	0.000	0.000	Merged-chr19-30924347-34
NR1148--MA0690.1.TBX21	chr2	102034538	102034547	+	0.000	0.000	Merged-chr2-102034492-49
NR843--MA0690.1.TBX21	chr16	95869739	95869748	-	0.000	0.000	Merged-chr16-95869616-44
NR224--MA0690.1.TBX21	chr10	77609813	77609822	+	0.000	0.000	Merged-chr10-77609801-14
NR681--MA0690.1.TBX21	chr14	121325062	121325071	-	0.000	0.000	Merged-chr14-121324999-52
NR999--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR790--MA0690.1.TBX21	chr16	25485350	25485359	+	0.000	0.000	Merged-chr16-25485313-47
NR346--MA0690.1.TBX21	chr11	82424780	82424789	+	0.000	0.000	Merged-chr11-82424845-7
NR29--MA0690.1.TBX21	chr1	59189721	59189730	+	0.000	0.000	Merged-chr1-59189721-10
NR293--MA0690.1.TBX21	chr11	33700902	33700911	+	0.000	0.000	Merged-chr11-33701004-51
NR665--MA0690.1.TBX21	chr14	103850570	103850579	+	0.000	0.000	Merged-chr14-103850623-36
NR678--MA0690.1.TBX21	chr14	121107878	121107887	-	0.000	0.000	Merged-chr14-121107843-45
NR1058--MA0690.1.TBX21	chr19	60877274	60877283	-	0.000	0.000	Merged-chr19-60877259-13
NR753--MA0690.1.TBX21	chr15	89498835	89498844	+	0.000	0.000	Merged-chr15-89498857-24
NR134--MA0690.1.TBX21	chr1	176986426	176986435	-	0.000	0.000	Merged-chr1-176986467-25
NR527--MA0690.1.TBX21	chr13	44507254	44507263	+	0.000	0.000	Merged-chr13-44507226-54
NR474--MA0690.1.TBX21	chr12	112720147	112720156	-	0.000	0.000	Merged-chr12-112720162-15
NR596--MA0690.1.TBX21	chr13	109843080	109843089	-	0.000	0.000	Merged-chr13-109843139-39
NR2107--MA0690.1.TBX21	chrX	106962486	106962495	-	0.000	0.000	Merged-chrX-106962471-28
NR1962--MA0690.1.TBX21	chr9	21455339	21455348	-	0.000	0.000	Merged-chr9-21455385-20
NR1683--MA0690.1.TBX21	chr6	134184205	134184214	-	0.000	0.000	Merged-chr6-134184108-53
NR1954--MA0690.1.TBX21	chr9	14248476	14248485	-	0.000	0.000	Merged-chr9-14248366-20
NR2059--MA0690.1.TBX21	chr9	114447965	114447974	-	0.000	0.000	Merged-chr9-114447903-15
NR1370--MA0690.1.TBX21	chr4	11095648	11095657	+	0.000	0.000	Merged-chr4-11095738-16
NR288--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
