#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_dn.bed
NR3444--MA1421.1.TCF7L1	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR3612--MA0769.1.Tcf7	chr2	61494272	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR1895--MA0523.1.TCF7L2	chr13	94144621	94144634	+	0.000	0.000	Merged-chr13-94144726-31
NR2200--MA0769.1.Tcf7	chr14	75444803	75444814	+	0.000	0.000	Merged-chr14-75444835-23
NR6391--MA0523.1.TCF7L2	chr8	70160264	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR4606--MA0523.1.TCF7L2	chr4	44316390	44316403	-	0.000	0.000	Merged-chr4-44316514-33
NR119--MA0523.1.TCF7L2	chr1	71069090	71069103	-	0.000	0.000	Merged-chr1-71069065-19
NR3633--MA1421.1.TCF7L1	chr2	68884946	68884957	-	0.000	0.000	Merged-chr2-68884857-23
NR216--MA1421.1.TCF7L1	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR3246--MA1421.1.TCF7L1	chr18	81521369	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR5110--MA1421.1.TCF7L1	chr5	73344295	73344306	-	0.000	0.000	Merged-chr5-73344482-20
NR3620--MA1421.1.TCF7L1	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR1360--MA1421.1.TCF7L1	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR5978--MA1421.1.TCF7L1	chr7	67353756	67353767	-	0.000	0.000	Merged-chr7-67353683-35
NR1393--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR6976--MA0523.1.TCF7L2	chrX	71464351	71464364	-	0.000	0.000	Merged-chrX-71464449-26
NR5266--MA0523.1.TCF7L2	chr5	118614716	118614729	+	0.000	0.000	Merged-chr5-118614593-18
NR376--MA0769.1.Tcf7	chr1	156522375	156522386	+	0.000	0.000	Merged-chr1-156522298-40
NR4332--MA0769.1.Tcf7	chr3	126589727	126589738	+	0.000	0.000	Merged-chr3-126589665-27
NR2905--MA0523.1.TCF7L2	chr17	35708042	35708055	-	0.000	0.000	Merged-chr17-35708124-19
NR2712--MA0769.1.Tcf7	chr16	51719825	51719836	+	0.000	0.000	Merged-chr16-51719841-20
NR6755--MA1421.1.TCF7L1	chr9	83564263	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR4122--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR1014--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR6344--MA0523.1.TCF7L2	chr8	41334201	41334214	+	0.000	0.000	Merged-chr8-41334366-24
NR2293--MA0523.1.TCF7L2	chr14	122902341	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR2505--MA0523.1.TCF7L2	chr15	85042790	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR2711--MA0523.1.TCF7L2	chr16	51719825	51719838	+	0.000	0.000	Merged-chr16-51719841-20
NR2856--MA0769.1.Tcf7	chr17	21433939	21433950	+	0.000	0.000	Merged-chr17-21433933-15
NR3576--MA1421.1.TCF7L1	chr2	56028488	56028499	+	0.000	0.000	Merged-chr2-56028640-17
NR6428--MA0769.1.Tcf7	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR693--MA0523.1.TCF7L2	chr10	43783356	43783369	+	0.000	0.000	Merged-chr10-43783399-14
NR2776--MA0769.1.Tcf7	chr16	87726093	87726104	-	0.000	0.000	Merged-chr16-87726198-44
NR3148--MA0523.1.TCF7L2	chr18	55107224	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR4557--MA0523.1.TCF7L2	chr4	6941293	6941306	-	0.000	0.000	Merged-chr4-6941109-33
NR5871--MA0523.1.TCF7L2	chr7	16343815	16343828	+	0.000	0.000	Merged-chr7-16343810-22
NR5836--MA0769.1.Tcf7	chr6	146960265	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR6035--MA0769.1.Tcf7	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR6034--MA0523.1.TCF7L2	chr7	84143204	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR3446--MA0769.1.Tcf7	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR1396--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR4119--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR1778--MA0523.1.TCF7L2	chr13	51712203	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR2764--MA1421.1.TCF7L1	chr16	78595989	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR4363--MA0523.1.TCF7L2	chr3	132791406	132791419	-	0.000	0.000	Merged-chr3-132791387-40
NR5179--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR2052--MA0523.1.TCF7L2	chr14	21507258	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR4350--MA0523.1.TCF7L2	chr3	129545474	129545487	-	0.000	0.000	Merged-chr3-129545403-15
NR2294--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR5792--MA0769.1.Tcf7	chr6	143115267	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR863--MA0769.1.Tcf7	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR993--MA0769.1.Tcf7	chr10	128940664	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR4501--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR765--MA0769.1.Tcf7	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR667--MA0523.1.TCF7L2	chr10	37207193	37207206	+	0.000	0.000	Merged-chr10-37207171-14
NR6463--MA0523.1.TCF7L2	chr8	111582597	111582610	+	0.000	0.000	Merged-chr8-111582684-27
NR5780--MA0523.1.TCF7L2	chr6	140684324	140684337	+	0.000	0.000	Merged-chr6-140684445-39
NR4927--MA0769.1.Tcf7	chr4	149282666	149282677	-	0.000	0.000	Merged-chr4-149282639-35
NR2854--MA1421.1.TCF7L1	chr17	21433939	21433950	+	0.000	0.000	Merged-chr17-21433933-15
NR4166--MA0769.1.Tcf7	chr3	79273271	79273282	+	0.000	0.000	Merged-chr3-79273035-30
NR6377--MA0523.1.TCF7L2	chr8	64726424	64726437	-	0.000	0.000	Merged-chr8-64726365-32
NR4329--MA0523.1.TCF7L2	chr3	126589697	126589710	+	0.000	0.000	Merged-chr3-126589665-27
NR3094--MA0769.1.Tcf7	chr18	35776812	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR5389--MA0523.1.TCF7L2	chr6	5997770	5997783	-	0.000	0.000	Merged-chr6-5997718-16
NR3137--MA1421.1.TCF7L1	chr18	53951320	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR2704--MA1421.1.TCF7L1	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR2813--MA0523.1.TCF7L2	chr16	95820200	95820213	-	0.000	0.000	Merged-chr16-95820235-13
NR3233--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR2765--MA0523.1.TCF7L2	chr16	78595987	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR4242--MA0523.1.TCF7L2	chr3	100582785	100582798	-	0.000	0.000	Merged-chr3-100582913-18
NR610--MA0769.1.Tcf7	chr10	12974821	12974832	+	0.000	0.000	Merged-chr10-12974738-28
NR3140--MA0769.1.Tcf7	chr18	53951320	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR6540--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR6427--MA1421.1.TCF7L1	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR718--MA0769.1.Tcf7	chr10	58351891	58351902	+	0.000	0.000	Merged-chr10-58351765-21
NR6670--MA0769.1.Tcf7	chr9	61720239	61720250	+	0.000	0.000	Merged-chr9-61720309-20
NR5567--MA0769.1.Tcf7	chr6	85075138	85075149	+	0.000	0.000	Merged-chr6-85075148-16
NR3611--MA0523.1.TCF7L2	chr2	61494270	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR2226--MA1421.1.TCF7L1	chr14	87349057	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR3467--MA1421.1.TCF7L1	chr2	11441904	11441915	-	0.000	0.000	Merged-chr2-11441982-17
NR3750--MA0769.1.Tcf7	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR1528--MA0523.1.TCF7L2	chr12	99544783	99544796	+	0.000	0.000	Merged-chr12-99544732-47
NR5354--MA0523.1.TCF7L2	chr5	148377544	148377557	+	0.000	0.000	Merged-chr5-148377759-34
NR4246--MA0523.1.TCF7L2	chr3	101066413	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR692--MA0769.1.Tcf7	chr10	43740321	43740332	+	0.000	0.000	Merged-chr10-43740419-60
NR3634--MA0769.1.Tcf7	chr2	68884946	68884957	-	0.000	0.000	Merged-chr2-68884857-23
NR4848--MA0523.1.TCF7L2	chr4	130706923	130706936	-	0.000	0.000	Merged-chr4-130706849-20
NR2705--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR2537--MA0523.1.TCF7L2	chr15	95826801	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR5474--MA0523.1.TCF7L2	chr6	51200468	51200481	-	0.000	0.000	Merged-chr6-51200388-15
NR992--MA0523.1.TCF7L2	chr10	128940662	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR218--MA0769.1.Tcf7	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR2352--MA0769.1.Tcf7	chr15	36855724	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR5062--MA0769.1.Tcf7	chr5	46445799	46445810	+	0.000	0.000	Merged-chr5-46445949-13
NR3092--MA1421.1.TCF7L1	chr18	35776812	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR4897--MA1421.1.TCF7L1	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR2199--MA1421.1.TCF7L1	chr14	75444803	75444814	+	0.000	0.000	Merged-chr14-75444835-23
NR3630--MA1421.1.TCF7L1	chr2	68884858	68884869	+	0.000	0.000	Merged-chr2-68884857-23
NR5061--MA0523.1.TCF7L2	chr5	46445799	46445812	+	0.000	0.000	Merged-chr5-46445949-13
NR3577--MA0769.1.Tcf7	chr2	56028488	56028499	+	0.000	0.000	Merged-chr2-56028640-17
NR2507--MA0523.1.TCF7L2	chr15	85347170	85347183	-	0.000	0.000	Merged-chr15-85347177-12
NR4452--MA0769.1.Tcf7	chr3	144232070	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR2713--MA0523.1.TCF7L2	chr16	51719911	51719924	+	0.000	0.000	Merged-chr16-51719841-20
NR613--MA0769.1.Tcf7	chr10	13469065	13469076	+	0.000	0.000	Merged-chr10-13469041-19
NR4582--MA0769.1.Tcf7	chr4	32560452	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR3735--MA0523.1.TCF7L2	chr2	102044453	102044466	-	0.000	0.000	Merged-chr2-102044515-18
NR6977--MA0769.1.Tcf7	chrX	71464353	71464364	-	0.000	0.000	Merged-chrX-71464449-26
NR6285--MA0523.1.TCF7L2	chr8	4507785	4507798	-	0.000	0.000	Merged-chr8-4507701-32
NR2351--MA0523.1.TCF7L2	chr15	36855722	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR3988--MA0523.1.TCF7L2	chr2	163298933	163298946	-	0.000	0.000	Merged-chr2-163299110-16
NR2506--MA0769.1.Tcf7	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR726--MA0523.1.TCF7L2	chr10	61599722	61599735	+	0.000	0.000	Merged-chr10-61599733-13
NR764--MA0523.1.TCF7L2	chr10	75417902	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1779--MA0769.1.Tcf7	chr13	51712205	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR295--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR339--MA0523.1.TCF7L2	chr1	150100066	150100079	+	0.000	0.000	Merged-chr1-150100024-34
NR3632--MA0769.1.Tcf7	chr2	68884858	68884869	+	0.000	0.000	Merged-chr2-68884857-23
NR5835--MA0523.1.TCF7L2	chr6	146960263	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR6748--MA1421.1.TCF7L1	chr9	82967388	82967399	+	0.000	0.000	Merged-chr9-82967336-26
NR6911--MA0769.1.Tcf7	chr9	120692066	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR3093--MA0523.1.TCF7L2	chr18	35776810	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR6392--MA0769.1.Tcf7	chr8	70160266	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR1590--MA0523.1.TCF7L2	chr12	110861505	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR2252--MA0769.1.Tcf7	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1415--MA0523.1.TCF7L2	chr12	52796572	52796585	-	0.000	0.000	Merged-chr12-52796443-43
NR4390--MA0523.1.TCF7L2	chr3	135621474	135621487	+	0.000	0.000	Merged-chr3-135621532-24
NR5265--MA1421.1.TCF7L1	chr5	118614716	118614727	+	0.000	0.000	Merged-chr5-118614593-18
NR4773--MA0523.1.TCF7L2	chr4	102887069	102887082	+	0.000	0.000	Merged-chr4-102887084-22
NR717--MA0523.1.TCF7L2	chr10	58351891	58351904	+	0.000	0.000	Merged-chr10-58351765-21
NR4692--MA0769.1.Tcf7	chr4	86725321	86725332	+	0.000	0.000	Merged-chr4-86725378-12
NR4120--MA0523.1.TCF7L2	chr3	55660081	55660094	+	0.000	0.000	Merged-chr3-55660012-44
NR1655--MA0523.1.TCF7L2	chr12	117639045	117639058	+	0.000	0.000	Merged-chr12-117639216-79
NR383--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR3351--MA0523.1.TCF7L2	chr19	34505334	34505347	+	0.000	0.000	Merged-chr19-34505331-35
NR1392--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR2774--MA1421.1.TCF7L1	chr16	87726093	87726104	-	0.000	0.000	Merged-chr16-87726198-44
NR5416--MA1421.1.TCF7L1	chr6	24894528	24894539	+	0.000	0.000	Merged-chr6-24894743-37
NR5923--MA1421.1.TCF7L1	chr7	43481436	43481447	-	0.000	0.000	Merged-chr7-43481332-27
NR2626--MA0523.1.TCF7L2	chr16	24187371	24187384	+	0.000	0.000	Merged-chr16-24187219-39
NR6343--MA1421.1.TCF7L1	chr8	41334201	41334212	+	0.000	0.000	Merged-chr8-41334366-24
NR1279--MA1421.1.TCF7L1	chr11	113536989	113537000	-	0.000	0.000	Merged-chr11-113536889-33
NR1656--MA0769.1.Tcf7	chr12	117639045	117639056	+	0.000	0.000	Merged-chr12-117639216-79
NR2504--MA1421.1.TCF7L1	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR4008--MA0769.1.Tcf7	chr2	168575215	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR862--MA0523.1.TCF7L2	chr10	96201432	96201445	+	0.000	0.000	Merged-chr10-96201472-66
NR2710--MA1421.1.TCF7L1	chr16	51719825	51719836	+	0.000	0.000	Merged-chr16-51719841-20
NR2698--MA0523.1.TCF7L2	chr16	45347113	45347126	+	0.000	0.000	Merged-chr16-45346908-42
NR2251--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR6345--MA0769.1.Tcf7	chr8	41334201	41334212	+	0.000	0.000	Merged-chr8-41334366-24
NR5821--MA0523.1.TCF7L2	chr6	145469522	145469535	+	0.000	0.000	Merged-chr6-145469437-17
NR5833--MA0769.1.Tcf7	chr6	146960240	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR6484--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR2228--MA0769.1.Tcf7	chr14	87349057	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR2727--MA1421.1.TCF7L1	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR3147--MA1421.1.TCF7L1	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR5817--MA0523.1.TCF7L2	chr6	145285831	145285844	-	0.000	0.000	Merged-chr6-145285757-35
NR3749--MA1421.1.TCF7L1	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR609--MA0523.1.TCF7L2	chr10	12974821	12974834	+	0.000	0.000	Merged-chr10-12974738-28
NR1394--MA1421.1.TCF7L1	chr12	41168036	41168047	+	0.000	0.000	Merged-chr12-41167989-46
NR6033--MA1421.1.TCF7L1	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR4118--MA1421.1.TCF7L1	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR4926--MA1421.1.TCF7L1	chr4	149282666	149282677	-	0.000	0.000	Merged-chr4-149282639-35
NR2775--MA0523.1.TCF7L2	chr16	87726091	87726104	-	0.000	0.000	Merged-chr16-87726198-44
NR5178--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR2051--MA1421.1.TCF7L1	chr14	21507260	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR847--MA0769.1.Tcf7	chr10	93933212	93933223	+	0.000	0.000	Merged-chr10-93933103-29
NR3445--MA0523.1.TCF7L2	chr2	6622257	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR3149--MA0769.1.Tcf7	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR47--MA0769.1.Tcf7	chr1	40847738	40847749	-	0.000	0.000	Merged-chr1-40847809-27
NR217--MA0523.1.TCF7L2	chr1	94025609	94025622	+	0.000	0.000	Merged-chr1-94025615-17
NR3247--MA0523.1.TCF7L2	chr18	81521367	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR5111--MA0523.1.TCF7L2	chr5	73344293	73344306	-	0.000	0.000	Merged-chr5-73344482-20
NR3621--MA0523.1.TCF7L2	chr2	65871123	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR1361--MA0523.1.TCF7L2	chr12	25601139	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR1385--MA1421.1.TCF7L1	chr12	40038239	40038250	-	0.000	0.000	Merged-chr12-40038291-1
NR5822--MA0769.1.Tcf7	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR4607--MA0769.1.Tcf7	chr4	44316392	44316403	-	0.000	0.000	Merged-chr4-44316514-33
NR5267--MA0769.1.Tcf7	chr5	118614716	118614727	+	0.000	0.000	Merged-chr5-118614593-18
NR5388--MA1421.1.TCF7L1	chr6	5997772	5997783	-	0.000	0.000	Merged-chr6-5997718-16
NR2728--MA0523.1.TCF7L2	chr16	57319958	57319971	+	0.000	0.000	Merged-chr16-57319907-20
NR4849--MA0769.1.Tcf7	chr4	130706925	130706936	-	0.000	0.000	Merged-chr4-130706849-20
NR964--MA0523.1.TCF7L2	chr10	121300836	121300849	-	0.000	0.000	Merged-chr10-121300859-24
NR3352--MA0769.1.Tcf7	chr19	34505334	34505345	+	0.000	0.000	Merged-chr19-34505331-35
NR4330--MA0769.1.Tcf7	chr3	126589697	126589708	+	0.000	0.000	Merged-chr3-126589665-27
NR6705--MA0523.1.TCF7L2	chr9	70310227	70310240	-	0.000	0.000	Merged-chr9-70310142-32
NR4117--MA1421.1.TCF7L1	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR1920--MA0523.1.TCF7L2	chr13	101713894	101713907	+	0.000	0.000	Merged-chr13-101713890-21
NR2706--MA0769.1.Tcf7	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR4007--MA0523.1.TCF7L2	chr2	168575213	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR3831--MA0523.1.TCF7L2	chr2	128544644	128544657	+	0.000	0.000	Merged-chr2-128544786-45
NR4022--MA0769.1.Tcf7	chr2	172937510	172937521	+	0.000	0.000	Merged-chr2-172937621-25
NR5112--MA0769.1.Tcf7	chr5	73344295	73344306	-	0.000	0.000	Merged-chr5-73344482-20
NR2729--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR3745--MA0523.1.TCF7L2	chr2	103280069	103280082	+	0.000	0.000	Merged-chr2-103280126-14
NR3622--MA0769.1.Tcf7	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR3139--MA0523.1.TCF7L2	chr18	53951318	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR1362--MA0769.1.Tcf7	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR736--MA0523.1.TCF7L2	chr10	67698033	67698046	+	0.000	0.000	Merged-chr10-67697981-39
NR694--MA0769.1.Tcf7	chr10	43783356	43783367	+	0.000	0.000	Merged-chr10-43783399-14
NR5180--MA0769.1.Tcf7	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR4775--MA0523.1.TCF7L2	chr4	102968106	102968119	+	0.000	0.000	Merged-chr4-102968093-31
NR5832--MA0523.1.TCF7L2	chr6	146960238	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR2699--MA0769.1.Tcf7	chr16	45347113	45347124	+	0.000	0.000	Merged-chr16-45346908-42
NR1657--MA0523.1.TCF7L2	chr12	117761967	117761980	-	0.000	0.000	Merged-chr12-117761862-24
NR4602--MA1421.1.TCF7L1	chr4	43044000	43044011	-	0.000	0.000	Merged-chr4-43044114-23
NR4169--MA0523.1.TCF7L2	chr3	79451540	79451553	-	0.000	0.000	Merged-chr3-79451498-29
NR3234--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR5060--MA1421.1.TCF7L1	chr5	46445799	46445810	+	0.000	0.000	Merged-chr5-46445949-13
NR6909--MA1421.1.TCF7L1	chr9	120692066	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR908--MA0523.1.TCF7L2	chr10	111576175	111576188	+	0.000	0.000	Merged-chr10-111576182-36
NR3989--MA0523.1.TCF7L2	chr2	163299070	163299083	+	0.000	0.000	Merged-chr2-163299110-16
NR3248--MA0769.1.Tcf7	chr18	81521369	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR6910--MA0523.1.TCF7L2	chr9	120692064	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR727--MA0769.1.Tcf7	chr10	61599722	61599733	+	0.000	0.000	Merged-chr10-61599733-13
NR6669--MA0523.1.TCF7L2	chr9	61720239	61720252	+	0.000	0.000	Merged-chr9-61720309-20
NR1036--MA1421.1.TCF7L1	chr11	22936501	22936512	+	0.000	0.000	Merged-chr11-22936648-30
NR2350--MA1421.1.TCF7L1	chr15	36855724	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR2855--MA0523.1.TCF7L2	chr17	21433939	21433952	+	0.000	0.000	Merged-chr17-21433933-15
NR1433--MA0523.1.TCF7L2	chr12	69853598	69853611	-	0.000	0.000	Merged-chr12-69853558-20
NR4598--MA0523.1.TCF7L2	chr4	41295754	41295767	+	0.000	0.000	Merged-chr4-41295781-15
NR763--MA1421.1.TCF7L1	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
