#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed
NR5418--MA0493.1.Klf1	chr10	61233349	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR50904--MA0599.1.KLF5	chr6	47621484	47621493	+	0.000	0.000	Merged-chr6-47621326-39
NR36687--MA0039.3.KLF4	chr2	163603908	163603918	+	0.000	0.000	Merged-chr2-163604093-28
NR65278--MA0599.1.KLF5	chr9	119453539	119453548	-	0.000	0.000	Merged-chr9-119453486-15
NR7610--MA0039.3.KLF4	chr10	118766023	118766033	-	0.000	0.000	Merged-chr10-118766153-45
NR5417--MA0039.3.KLF4	chr10	61233351	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR12277--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR39514--MA1107.1.KLF9	chr3	104796607	104796619	+	0.000	0.000	Merged-chr3-104796663-34
NR59906--MA1107.1.KLF9	chr8	77268562	77268574	+	0.000	0.000	Merged-chr8-77268341-22
NR42287--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR15592--MA0599.1.KLF5	chr13	24468070	24468079	-	0.000	0.000	Merged-chr13-24467982-34
NR20870--MA0740.1.KLF14	chr15	25696039	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR13165--MA1107.1.KLF9	chr12	35770598	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR66341--MA0740.1.KLF14	chrX	99042495	99042508	+	0.000	0.000	Merged-chrX-99042663-22
NR13841--MA1107.1.KLF9	chr12	82166462	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR59089--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR52206--MA0741.1.KLF16	chr6	106981294	106981304	-	0.000	0.000	Merged-chr6-106981432-3
NR40877--MA0039.3.KLF4	chr3	146063219	146063229	-	0.000	0.000	Merged-chr3-146063322-20
NR17936--MA0039.3.KLF4	chr13	112809921	112809931	+	0.000	0.000	Merged-chr13-112809842-36
NR15590--MA0741.1.KLF16	chr13	24467828	24467838	+	0.000	0.000	Merged-chr13-24467982-34
NR15591--MA1107.1.KLF9	chr13	24467827	24467839	+	0.000	0.000	Merged-chr13-24467982-34
NR20053--MA0742.1.Klf12	chr14	101504726	101504740	+	0.000	0.000	Merged-chr14-101504867-40
NR55944--MA0741.1.KLF16	chr7	68205950	68205960	-	0.000	0.000	Merged-chr7-68206033-25
NR7442--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR62426--MA0741.1.KLF16	chr9	42423876	42423886	+	0.000	0.000	Merged-chr9-42423784-11
NR40243--MA0599.1.KLF5	chr3	129879505	129879514	-	0.000	0.000	Merged-chr3-129879420-1
NR52677--MA0599.1.KLF5	chr6	121110180	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR11988--MA0039.3.KLF4	chr11	113174317	113174327	-	0.000	0.000	Merged-chr11-113174221-33
NR64358--MA0741.1.KLF16	chr9	104002483	104002493	+	0.000	0.000	Merged-chr9-104002686-98
NR28015--MA0741.1.KLF16	chr17	71118812	71118822	-	0.000	0.000	Merged-chr17-71118704-30
NR49922--MA0599.1.KLF5	chr5	144358186	144358195	-	0.000	0.000	Merged-chr5-144358177-56
NR47523--MA0599.1.KLF5	chr5	103579887	103579896	-	0.000	0.000	Merged-chr5-103579979-7
NR29731--MA0493.1.Klf1	chr18	60632874	60632884	-	0.000	0.000	Merged-chr18-60633052-25
NR54069--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR55190--MA0599.1.KLF5	chr7	34630507	34630516	-	0.000	0.000	Merged-chr7-34630517-24
NR6217--MA1107.1.KLF9	chr10	80662318	80662330	+	0.000	0.000	Merged-chr10-80662335-4
NR212--MA0493.1.Klf1	chr1	23383258	23383268	+	0.000	0.000	Merged-chr1-23383198-84
NR14045--MA1107.1.KLF9	chr12	91643036	91643048	+	0.000	0.000	Merged-chr12-91642897-8
NR59360--MA0741.1.KLF16	chr8	57743796	57743806	+	0.000	0.000	Merged-chr8-57743874-24
NR19518--MA0741.1.KLF16	chr14	68078501	68078511	+	0.000	0.000	Merged-chr14-68078565-20
NR63596--MA0599.1.KLF5	chr9	77939192	77939201	+	0.000	0.000	Merged-chr9-77938986-43
NR38693--MA0039.3.KLF4	chr3	84809205	84809215	+	0.000	0.000	Merged-chr3-84809112-18
NR3759--MA0599.1.KLF5	chr1	182100596	182100605	+	0.000	0.000	Merged-chr1-182100503-13
NR27631--MA0741.1.KLF16	chr17	56425180	56425190	-	0.000	0.000	Merged-chr17-56425045-2
NR4174--MA0741.1.KLF16	chr1	191097790	191097800	+	0.000	0.000	Merged-chr1-191097986-4
NR61831--MA0039.3.KLF4	chr9	20610050	20610060	+	0.000	0.000	Merged-chr9-20609876-14
NR30277--MA0741.1.KLF16	chr18	75322573	75322583	-	0.000	0.000	Merged-chr18-75322404-42
NR54185--MA0493.1.Klf1	chr7	4948750	4948760	-	0.000	0.000	Merged-chr7-4948568-26
NR8895--MA0599.1.KLF5	chr11	30986477	30986486	+	0.000	0.000	Merged-chr11-30986417-66
NR47234--MA0741.1.KLF16	chr5	92967507	92967517	+	0.000	0.000	Merged-chr5-92967427-8
NR32187--MA0599.1.KLF5	chr19	55401900	55401909	-	0.000	0.000	Merged-chr19-55401887-30
NR64868--MA0039.3.KLF4	chr9	114613220	114613230	-	0.000	0.000	Merged-chr9-114613191-38
NR14718--MA0599.1.KLF5	chr12	109445244	109445253	+	0.000	0.000	Merged-chr12-109445419-17
NR22596--MA0742.1.Klf12	chr15	91573240	91573254	-	0.000	0.000	Merged-chr15-91573061-60
NR1815--MA0741.1.KLF16	chr1	127322325	127322335	-	0.000	0.000	Merged-chr1-127322582-29
NR42189--MA0039.3.KLF4	chr4	47251263	47251273	+	0.000	0.000	Merged-chr4-47251279-48
NR58778--MA0599.1.KLF5	chr8	22544874	22544883	-	0.000	0.000	Merged-chr8-22544867-25
NR15808--MA0599.1.KLF5	chr13	35129645	35129654	-	0.000	0.000	Merged-chr13-35129636-40
NR2901--MA1107.1.KLF9	chr1	162476923	162476935	+	0.000	0.000	Merged-chr1-162477062-12
NR53842--MA0741.1.KLF16	chr6	145002406	145002416	-	0.000	0.000	Merged-chr6-145002461-23
NR49931--MA0493.1.Klf1	chr5	144358278	144358288	-	0.000	0.000	Merged-chr5-144358177-56
NR37962--MA1107.1.KLF9	chr3	28402421	28402433	-	0.000	0.000	Merged-chr3-28402386-46
NR60321--MA1107.1.KLF9	chr8	93810271	93810283	-	0.000	0.000	Merged-chr8-93810346-59
NR58880--MA0741.1.KLF16	chr8	27201025	27201035	+	0.000	0.000	Merged-chr8-27201067-26
NR14642--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR157--MA0741.1.KLF16	chr1	20740725	20740735	-	0.000	0.000	Merged-chr1-20740658-39
NR44826--MA1107.1.KLF9	chr4	144906817	144906829	-	0.000	0.000	Merged-chr4-144906777-28
NR44694--MA0741.1.KLF16	chr4	141296034	141296044	+	0.000	0.000	Merged-chr4-141296105-4
NR21223--MA0741.1.KLF16	chr15	51730329	51730339	-	0.000	0.000	Merged-chr15-51730224-2
NR49930--MA0039.3.KLF4	chr5	144358276	144358286	-	0.000	0.000	Merged-chr5-144358177-56
NR4997--MA0599.1.KLF5	chr10	40713392	40713401	+	0.000	0.000	Merged-chr10-40713251-44
NR44831--MA0493.1.Klf1	chr4	144996133	144996143	-	0.000	0.000	Merged-chr4-144996009-47
NR25040--MA0741.1.KLF16	chr16	89849250	89849260	-	0.000	0.000	Merged-chr16-89849155-62
NR43345--MA0740.1.KLF14	chr4	120288020	120288033	+	0.000	0.000	Merged-chr4-120287807-68
NR39108--MA1107.1.KLF9	chr3	96040727	96040739	+	0.000	0.000	Merged-chr3-96040740-50
NR24104--MA0599.1.KLF5	chr16	24834895	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR45175--MA0742.1.Klf12	chr4	150518992	150519006	+	0.000	0.000	Merged-chr4-150519164-27
NR48827--MA0039.3.KLF4	chr5	129192021	129192031	+	0.000	0.000	Merged-chr5-129191899-21
NR10871--MA0741.1.KLF16	chr11	94210225	94210235	+	0.000	0.000	Merged-chr11-94210319-4
NR22730--MA0599.1.KLF5	chr15	94404234	94404243	+	0.000	0.000	Merged-chr15-94404282-43
NR50295--MA0039.3.KLF4	chr5	149647680	149647690	+	0.000	0.000	Merged-chr5-149647772-15
NR55644--MA0741.1.KLF16	chr7	49494957	49494967	+	0.000	0.000	Merged-chr7-49494921-17
NR33804--MA0039.3.KLF4	chr2	53067448	53067458	-	0.000	0.000	Merged-chr2-53067376-9
NR5715--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR64272--MA0742.1.Klf12	chr9	101251889	101251903	+	0.000	0.000	Merged-chr9-101251656-72
NR11273--MA1107.1.KLF9	chr11	99132667	99132679	-	0.000	0.000	Merged-chr11-99132520-18
NR47369--MA0741.1.KLF16	chr5	99728258	99728268	+	0.000	0.000	Merged-chr5-99728250-10
NR14650--MA1107.1.KLF9	chr12	108275619	108275631	-	0.000	0.000	Merged-chr12-108275445-64
NR61662--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR64033--MA0599.1.KLF5	chr9	92274696	92274705	-	0.000	0.000	Merged-chr9-92274591-56
NR54629--MA0493.1.Klf1	chr7	19819226	19819236	-	0.000	0.000	Merged-chr7-19819165-4
NR3835--MA0741.1.KLF16	chr1	183180652	183180662	-	0.000	0.000	Merged-chr1-183180587-56
NR57924--MA0740.1.KLF14	chr7	136894428	136894441	+	0.000	0.000	Merged-chr7-136894538-85
NR34054--MA0599.1.KLF5	chr2	68289276	68289285	-	0.000	0.000	Merged-chr2-68289327-28
NR53016--MA0599.1.KLF5	chr6	129049281	129049290	-	0.000	0.000	Merged-chr6-129049251-27
NR51722--MA0493.1.Klf1	chr6	85075160	85075170	+	0.000	0.000	Merged-chr6-85075148-16
NR53834--MA0741.1.KLF16	chr6	145002398	145002408	-	0.000	0.000	Merged-chr6-145002461-23
NR64276--MA0741.1.KLF16	chr9	101251870	101251880	+	0.000	0.000	Merged-chr9-101251656-72
NR40946--MA1107.1.KLF9	chr3	148488426	148488438	+	0.000	0.000	Merged-chr3-148488399-75
NR1645--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR49692--MA0740.1.KLF14	chr5	141241508	141241521	-	0.000	0.000	Merged-chr5-141241462-54
NR15297--MA1107.1.KLF9	chr12	119148007	119148019	-	0.000	0.000	Merged-chr12-119148040-28
NR47239--MA0741.1.KLF16	chr5	92967512	92967522	+	0.000	0.000	Merged-chr5-92967427-8
NR61471--MA0741.1.KLF16	chr8	125727533	125727543	-	0.000	0.000	Merged-chr8-125727602-12
NR25230--MA0599.1.KLF5	chr16	93153252	93153261	+	0.000	0.000	Merged-chr16-93153200-34
NR836--MA0599.1.KLF5	chr1	61016827	61016836	+	0.000	0.000	Merged-chr1-61016858-25
NR43223--MA0599.1.KLF5	chr4	118060378	118060387	+	0.000	0.000	Merged-chr4-118060227-12
NR53911--MA0740.1.KLF14	chr6	145992967	145992980	+	0.000	0.000	Merged-chr6-145993129-56
NR5416--MA0599.1.KLF5	chr10	61233350	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR41266--MA1107.1.KLF9	chr3	154683885	154683897	-	0.000	0.000	Merged-chr3-154683777-15
NR5537--MA0599.1.KLF5	chr10	63175382	63175391	+	0.000	0.000	Merged-chr10-63175316-22
NR62421--MA1107.1.KLF9	chr9	42423816	42423828	+	0.000	0.000	Merged-chr9-42423784-11
NR159--MA1107.1.KLF9	chr1	20825296	20825308	+	0.000	0.000	Merged-chr1-20825313-33
NR66343--MA0599.1.KLF5	chrX	99042496	99042505	+	0.000	0.000	Merged-chrX-99042663-22
NR32564--MA0599.1.KLF5	chr2	6622319	6622328	-	0.000	0.000	Merged-chr2-6622331-33
NR32513--MA0741.1.KLF16	chr2	3925319	3925329	+	0.000	0.000	Merged-chr2-3925386-29
NR20052--MA0740.1.KLF14	chr14	101504726	101504739	+	0.000	0.000	Merged-chr14-101504867-40
NR23461--MA0741.1.KLF16	chr15	102746860	102746870	+	0.000	0.000	Merged-chr15-102746842-41
NR43648--MA0493.1.Klf1	chr4	128713452	128713462	-	0.000	0.000	Merged-chr4-128713412-15
NR66535--MA0493.1.Klf1	chrX	113298203	113298213	-	0.000	0.000	Merged-chrX-113298172-75
NR55642--MA0039.3.KLF4	chr7	49494867	49494877	-	0.000	0.000	Merged-chr7-49494921-17
NR33057--MA0039.3.KLF4	chr2	27187613	27187623	-	0.000	0.000	Merged-chr2-27187639-44
NR1848--MA1107.1.KLF9	chr1	127796437	127796449	-	0.000	0.000	Merged-chr1-127796546-56
NR13262--MA0599.1.KLF5	chr12	52383032	52383041	+	0.000	0.000	Merged-chr12-52383146-23
NR42082--MA0741.1.KLF16	chr4	45530839	45530849	+	0.000	0.000	Merged-chr4-45530813-118
NR14526--MA0493.1.Klf1	chr12	106016401	106016411	-	0.000	0.000	Merged-chr12-106016418-37
NR54682--MA0039.3.KLF4	chr7	24481811	24481821	+	0.000	0.000	Merged-chr7-24481860-36
NR19131--MA0741.1.KLF16	chr14	54165074	54165084	-	0.000	0.000	Merged-chr14-54165125-24
NR5089--MA0740.1.KLF14	chr10	42887288	42887301	-	0.000	0.000	Merged-chr10-42887187-18
NR42191--MA0741.1.KLF16	chr4	47251262	47251272	+	0.000	0.000	Merged-chr4-47251279-48
NR33878--MA0599.1.KLF5	chr2	59482659	59482668	+	0.000	0.000	Merged-chr2-59482840-22
NR61768--MA0741.1.KLF16	chr9	14185735	14185745	-	0.000	0.000	Merged-chr9-14185865-8
NR53163--MA1107.1.KLF9	chr6	134184204	134184216	+	0.000	0.000	Merged-chr6-134184108-53
NR62699--MA0740.1.KLF14	chr9	53706253	53706266	-	0.000	0.000	Merged-chr9-53706205-55
NR14656--MA0493.1.Klf1	chr12	108334123	108334133	-	0.000	0.000	Merged-chr12-108333959-92
NR48355--MA0599.1.KLF5	chr5	118817873	118817882	-	0.000	0.000	Merged-chr5-118817732-16
NR28169--MA0599.1.KLF5	chr17	74865014	74865023	-	0.000	0.000	Merged-chr17-74864979-18
NR20215--MA0493.1.Klf1	chr14	105897605	105897615	+	0.000	0.000	Merged-chr14-105897458-44
NR46027--MA0493.1.Klf1	chr5	28269892	28269902	-	0.000	0.000	Merged-chr5-28269924-54
NR35064--MA0599.1.KLF5	chr2	117418841	117418850	-	0.000	0.000	Merged-chr2-117418760-26
NR28602--MA1107.1.KLF9	chr17	86184965	86184977	-	0.000	0.000	Merged-chr17-86185009-23
NR62431--MA0493.1.Klf1	chr9	42488260	42488270	+	0.000	0.000	Merged-chr9-42488247-23
NR11987--MA0599.1.KLF5	chr11	113174290	113174299	+	0.000	0.000	Merged-chr11-113174221-33
NR62896--MA1107.1.KLF9	chr9	58140060	58140072	+	0.000	0.000	Merged-chr9-58140138-21
NR46040--MA0741.1.KLF16	chr5	29195955	29195965	-	0.000	0.000	Merged-chr5-29195906-68
NR54365--MA1107.1.KLF9	chr7	16001849	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR33882--MA0493.1.Klf1	chr2	59513713	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR21225--MA0599.1.KLF5	chr15	51803265	51803274	-	0.000	0.000	Merged-chr15-51803142-36
NR53912--MA0657.1.KLF13	chr6	145992966	145992983	+	0.000	0.000	Merged-chr6-145993129-56
NR28173--MA0493.1.Klf1	chr17	74865014	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR48352--MA0741.1.KLF16	chr5	118661945	118661955	+	0.000	0.000	Merged-chr5-118661904-17
NR53839--MA0741.1.KLF16	chr6	145002403	145002413	-	0.000	0.000	Merged-chr6-145002461-23
NR416--MA0599.1.KLF5	chr1	38723992	38724001	+	0.000	0.000	Merged-chr1-38723833-22
NR63361--MA0741.1.KLF16	chr9	69073443	69073453	-	0.000	0.000	Merged-chr9-69073494-25
NR12279--MA1107.1.KLF9	chr11	116688045	116688057	-	0.000	0.000	Merged-chr11-116688042-60
NR13346--MA0039.3.KLF4	chr12	55357492	55357502	-	0.000	0.000	Merged-chr12-55357452-12
NR22595--MA0740.1.KLF14	chr15	91573241	91573254	-	0.000	0.000	Merged-chr15-91573061-60
NR12274--MA0039.3.KLF4	chr11	116688045	116688055	-	0.000	0.000	Merged-chr11-116688042-60
NR47360--MA0657.1.KLF13	chr5	99495557	99495574	+	0.000	0.000	Merged-chr5-99495568-41
NR48190--MA0741.1.KLF16	chr5	115711885	115711895	-	0.000	0.000	Merged-chr5-115711698-1,Merged-chr5-115712054-77
NR17631--MA0599.1.KLF5	chr13	105294076	105294085	+	0.000	0.000	Merged-chr13-105294247-42
NR51720--MA0742.1.Klf12	chr6	85075160	85075174	+	0.000	0.000	Merged-chr6-85075148-16
NR53872--MA0599.1.KLF5	chr6	145256893	145256902	+	0.000	0.000	Merged-chr6-145256997-16
NR10785--MA0493.1.Klf1	chr11	90259994	90260004	-	0.000	0.000	Merged-chr11-90260049-1
NR8269--MA1107.1.KLF9	chr10	128940594	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR45116--MA0741.1.KLF16	chr4	149896412	149896422	-	0.000	0.000	Merged-chr4-149896301-4
NR5542--MA0741.1.KLF16	chr10	63175390	63175400	+	0.000	0.000	Merged-chr10-63175316-22
NR42188--MA0599.1.KLF5	chr4	47251262	47251271	+	0.000	0.000	Merged-chr4-47251279-48
NR47371--MA0742.1.Klf12	chr5	99728339	99728353	-	0.000	0.000	Merged-chr5-99728250-10
NR2537--MA0599.1.KLF5	chr1	152084815	152084824	-	0.000	0.000	Merged-chr1-152084822-56
NR60991--MA0599.1.KLF5	chr8	119569920	119569929	-	0.000	0.000	Merged-chr8-119570093-35
NR8919--MA0493.1.Klf1	chr11	32138430	32138440	-	0.000	0.000	Merged-chr11-32138495-33
NR51124--MA0599.1.KLF5	chr6	51287895	51287904	-	0.000	0.000	Merged-chr6-51287938-60
NR40241--MA0599.1.KLF5	chr3	129879494	129879503	-	0.000	0.000	Merged-chr3-129879420-1
NR17324--MA0657.1.KLF13	chr13	99781076	99781093	-	0.000	0.000	Merged-chr13-99781144-21
NR21391--MA0599.1.KLF5	chr15	59805087	59805096	+	0.000	0.000	Merged-chr15-59805045-21
NR57364--MA0741.1.KLF16	chr7	123189954	123189964	+	0.000	0.000	Merged-chr7-123189982-13
NR6216--MA0599.1.KLF5	chr10	80658964	80658973	+	0.000	0.000	Merged-chr10-80658824-84
NR42672--MA0741.1.KLF16	chr4	89350504	89350514	+	0.000	0.000	Merged-chr4-89350457-2
NR4367--MA0493.1.Klf1	chr1	193365983	193365993	-	0.000	0.000	Merged-chr1-193366026-12
NR42286--MA0493.1.Klf1	chr4	55343393	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR67134--MA0599.1.KLF5	chrY	1116319	1116328	-	0.000	0.000	Merged-chrY-1116441-17
NR58965--MA0741.1.KLF16	chr8	34398001	34398011	+	0.000	0.000	Merged-chr8-34397971-66
NR53876--MA0740.1.KLF14	chr6	145284478	145284491	-	0.000	0.000	Merged-chr6-145284477-26
NR58986--MA0599.1.KLF5	chr8	34798286	34798295	-	0.000	0.000	Merged-chr8-34798144-28
NR59915--MA0740.1.KLF14	chr8	77376621	77376634	+	0.000	0.000	Merged-chr8-77376569-21
NR47139--MA0039.3.KLF4	chr5	89045091	89045101	+	0.000	0.000	Merged-chr5-89044916-44
NR44820--MA0599.1.KLF5	chr4	144898352	144898361	+	0.000	0.000	Merged-chr4-144898190-46
NR44690--MA0657.1.KLF13	chr4	141296032	141296049	+	0.000	0.000	Merged-chr4-141296105-4
