#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed
NR41245--MA1107.1.KLF9	chr3	135590638	135590650	+	0.000	0.000	Merged-chr3-135590750-10
NR33019--MA0493.1.Klf1	chr2	6444947	6444957	+	0.000	0.000	Merged-chr2-6444990-17
NR39669--MA0039.3.KLF4	chr3	89869853	89869863	+	0.000	0.000	Merged-chr3-89869741-17
NR10719--MA0599.1.KLF5	chr11	75878000	75878009	-	0.000	0.000	Merged-chr11-75877808-8
NR59570--MA0599.1.KLF5	chr7	141006602	141006611	-	0.000	0.000	Merged-chr7-141006658-12
NR45013--MA0039.3.KLF4	chr4	130921147	130921157	-	0.000	0.000	Merged-chr4-130921297-32
NR26677--MA0741.1.KLF16	chr17	28488298	28488308	+	0.000	0.000	Merged-chr17-28488439-21
NR21757--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR39227--MA0493.1.Klf1	chr3	68784321	68784331	-	0.000	0.000	Merged-chr3-68784168-43
NR35704--MA0742.1.Klf12	chr2	114136989	114137003	-	0.000	0.000	Merged-chr2-114137020-31
NR7121--MA0039.3.KLF4	chr10	88428302	88428312	-	0.000	0.000	Merged-chr10-88428108-41
NR37530--MA1107.1.KLF9	chr2	164828985	164828997	+	0.000	0.000	Merged-chr2-164829091-12
NR13527--MA0493.1.Klf1	chr12	41040128	41040138	-	0.000	0.000	Merged-chr12-41040097-12
NR26504--MA1107.1.KLF9	chr17	25584055	25584067	-	0.000	0.000	Merged-chr17-25583989-33
NR29205--MA1107.1.KLF9	chr18	23733797	23733809	+	0.000	0.000	Merged-chr18-23733972-8
NR1120--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR45949--MA0741.1.KLF16	chr4	145177761	145177771	-	0.000	0.000	Merged-chr4-145177901-38
NR49531--MA0599.1.KLF5	chr5	117126026	117126035	+	0.000	0.000	Merged-chr5-117125989-17
NR64138--MA0599.1.KLF5	chr9	50537458	50537467	+	0.000	0.000	Merged-chr9-50537430-19
NR33069--MA0599.1.KLF5	chr2	10581282	10581291	+	0.000	0.000	Merged-chr2-10581253-23
NR26500--MA0741.1.KLF16	chr17	25583846	25583856	+	0.000	0.000	Merged-chr17-25583989-33
NR32871--MA0741.1.KLF16	chr19	60183111	60183121	+	0.000	0.000	Merged-chr19-60182957-49
NR12457--MA0741.1.KLF16	chr11	113802542	113802552	-	0.000	0.000	Merged-chr11-113802652-27
NR18789--MA0599.1.KLF5	chr14	25421976	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR26818--MA0741.1.KLF16	chr17	31077831	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR45274--MA0493.1.Klf1	chr4	134059064	134059074	+	0.000	0.000	Merged-chr4-134059039-2
NR64035--MA0599.1.KLF5	chr9	45329725	45329734	-	0.000	0.000	Merged-chr9-45329808-12
NR14881--MA0493.1.Klf1	chr12	104999354	104999364	+	0.000	0.000	Merged-chr12-104999417-2
NR54210--MA0493.1.Klf1	chr6	131276846	131276856	-	0.000	0.000	Merged-chr6-131276753-31
NR51401--MA1107.1.KLF9	chr6	5295226	5295238	+	0.000	0.000	Merged-chr6-5295174-26
NR22284--MA0493.1.Klf1	chr15	78926264	78926274	+	0.000	0.000	Merged-chr15-78926202-1
NR24226--MA1107.1.KLF9	chr16	32434126	32434138	+	0.000	0.000	Merged-chr16-32434269-25
NR53455--MA0039.3.KLF4	chr6	108630899	108630909	+	0.000	0.000	Merged-chr6-108631007-44
NR63942--MA0039.3.KLF4	chr9	44037382	44037392	-	0.000	0.000	Merged-chr9-44037294-17
NR3056--MA0741.1.KLF16	chr1	159813015	159813025	-	0.000	0.000	Merged-chr1-159812982-41
NR10124--MA0741.1.KLF16	chr11	60937982	60937992	-	0.000	0.000	Merged-chr11-60937827-26
NR61230--MA1107.1.KLF9	chr8	72162998	72163010	+	0.000	0.000	Merged-chr8-72162977-17
NR25321--MA0493.1.Klf1	chr16	91588189	91588199	+	0.000	0.000	Merged-chr16-91588038-25
NR54709--MA0741.1.KLF16	chr6	142835010	142835020	+	0.000	0.000	Merged-chr6-142835169-31
NR52147--MA0493.1.Klf1	chr6	50553486	50553496	-	0.000	0.000	Merged-chr6-50553342-12
NR39501--MA0599.1.KLF5	chr3	87960828	87960837	+	0.000	0.000	Merged-chr3-87960988-36
NR30013--MA0039.3.KLF4	chr18	62089808	62089818	-	0.000	0.000	Merged-chr18-62089904-13
NR3133--MA0740.1.KLF14	chr1	161791976	161791989	-	0.000	0.000	Merged-chr1-161792020-2
NR33499--MA0741.1.KLF16	chr2	27487420	27487430	-	0.000	0.000	Merged-chr2-27487515-13
NR66163--MA0741.1.KLF16	chr9	110896831	110896841	-	0.000	0.000	Merged-chr9-110896831-29
NR59677--MA1107.1.KLF9	chr7	142354081	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR10615--MA0039.3.KLF4	chr11	73132362	73132372	+	0.000	0.000	Merged-chr11-73132319-6
NR44874--MA0493.1.Klf1	chr4	129060106	129060116	-	0.000	0.000	Merged-chr4-129060075-18
NR62572--MA0599.1.KLF5	chr8	117548551	117548560	-	0.000	0.000	Merged-chr8-117548585-70
NR3046--MA0657.1.KLF13	chr1	159813010	159813027	-	0.000	0.000	Merged-chr1-159812982-41
NR56520--MA0493.1.Klf1	chr7	45120443	45120453	-	0.000	0.000	Merged-chr7-45120364-12
NR33331--MA0742.1.Klf12	chr2	25148073	25148087	+	0.000	0.000	Merged-chr2-25148103-14
NR37077--MA0741.1.KLF16	chr2	154615972	154615982	+	0.000	0.000	Merged-chr2-154615883-15
NR65394--MA0599.1.KLF5	chr9	94453391	94453400	+	0.000	0.000	Merged-chr9-94453263-19
NR28704--MA0742.1.Klf12	chr17	85908829	85908843	+	0.000	0.000	Merged-chr17-85908968-35
NR39417--MA0742.1.Klf12	chr3	84630933	84630947	-	0.000	0.000	Merged-chr3-84630888-13
NR26676--MA0599.1.KLF5	chr17	28488304	28488313	+	0.000	0.000	Merged-chr17-28488439-21
NR16537--MA0741.1.KLF16	chr13	54073629	54073639	+	0.000	0.000	Merged-chr13-54073650-18
NR29850--MA0741.1.KLF16	chr18	56871834	56871844	-	0.000	0.000	Merged-chr18-56871976-16
NR9894--MA0740.1.KLF14	chr11	55131242	55131255	+	0.000	0.000	Merged-chr11-55131266-10
NR21759--MA0493.1.Klf1	chr15	60120108	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR14693--MA1107.1.KLF9	chr12	102351065	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR17157--MA1107.1.KLF9	chr13	81402027	81402039	+	0.000	0.000	Merged-chr13-81401902-10
NR20006--MA1107.1.KLF9	chr14	73596754	73596766	+	0.000	0.000	Merged-chr14-73596722-14
NR49223--MA0599.1.KLF5	chr5	112301910	112301919	+	0.000	0.000	Merged-chr5-112301937-36
NR22398--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR48499--MA0740.1.KLF14	chr5	92967505	92967518	+	0.000	0.000	Merged-chr5-92967427-8
NR7718--MA1107.1.KLF9	chr10	111031830	111031842	+	0.000	0.000	Merged-chr10-111031729-43
NR21758--MA0039.3.KLF4	chr15	60120106	60120116	-	0.000	0.000	Merged-chr15-60120172-38
NR6431--MA1107.1.KLF9	chr10	79692122	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR2717--MA0741.1.KLF16	chr1	151644342	151644352	-	0.000	0.000	Merged-chr1-151644358-13
NR54161--MA1107.1.KLF9	chr6	128796574	128796586	-	0.000	0.000	Merged-chr6-128796510-47
NR20382--MA1107.1.KLF9	chr14	99266182	99266194	-	0.000	0.000	Merged-chr14-99266048-28
NR8214--MA0741.1.KLF16	chr10	121382683	121382693	-	0.000	0.000	Merged-chr10-121382753-17
NR37209--MA1107.1.KLF9	chr2	157147998	157148010	-	0.000	0.000	Merged-chr2-157147783-53
NR7755--MA0599.1.KLF5	chr10	111635684	111635693	-	0.000	0.000	Merged-chr10-111635766-22
NR13269--MA0599.1.KLF5	chr12	21480430	21480439	+	0.000	0.000	Merged-chr12-21480312-60
NR3161--MA0039.3.KLF4	chr1	162586469	162586479	+	0.000	0.000	Merged-chr1-162586427-19
NR53971--MA1107.1.KLF9	chr6	125067857	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR11607--MA0039.3.KLF4	chr11	97133424	97133434	-	0.000	0.000	Merged-chr11-97133494-13
NR14327--MA0493.1.Klf1	chr12	85632521	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR8057--MA0599.1.KLF5	chr10	118470799	118470808	-	0.000	0.000	Merged-chr10-118470709-40
NR3134--MA0657.1.KLF13	chr1	161791973	161791990	-	0.000	0.000	Merged-chr1-161792020-2
NR17610--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR64748--MA0599.1.KLF5	chr9	69458367	69458376	+	0.000	0.000	Merged-chr9-69458326-40
NR25396--MA0742.1.Klf12	chr16	93552856	93552870	+	0.000	0.000	Merged-chr16-93552984-42
NR49231--MA1107.1.KLF9	chr5	112311048	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR36174--MA0599.1.KLF5	chr2	128318409	128318418	+	0.000	0.000	Merged-chr2-128318457-15
NR27886--MA1107.1.KLF9	chr17	56905167	56905179	+	0.000	0.000	Merged-chr17-56905051-10
NR53837--MA1107.1.KLF9	chr6	120264383	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR25319--MA0742.1.Klf12	chr16	91588189	91588203	+	0.000	0.000	Merged-chr16-91588038-25
NR2250--MA0741.1.KLF16	chr1	133801282	133801292	-	0.000	0.000	Merged-chr1-133801271-79
NR23368--MA0742.1.Klf12	chr15	102110641	102110655	-	0.000	0.000	Merged-chr15-102110732-12
NR47404--MA0741.1.KLF16	chr5	35176571	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR62796--MA0493.1.Klf1	chr8	121995346	121995356	-	0.000	0.000	Merged-chr8-121995236-25
NR1337--MA0599.1.KLF5	chr1	85680402	85680411	+	0.000	0.000	Merged-chr1-85680352-18
NR39426--MA0599.1.KLF5	chr3	84630976	84630985	-	0.000	0.000	Merged-chr3-84630888-13
NR29851--MA1107.1.KLF9	chr18	56871833	56871845	-	0.000	0.000	Merged-chr18-56871976-16
NR42552--MA0741.1.KLF16	chr4	33147016	33147026	+	0.000	0.000	Merged-chr4-33147019-23
NR5476--MA1107.1.KLF9	chr10	43004694	43004706	+	0.000	0.000	Merged-chr10-43004823-13
NR3978--MA0599.1.KLF5	chr1	182383261	182383270	-	0.000	0.000	Merged-chr1-182383219-38
NR36162--MA0741.1.KLF16	chr2	128111917	128111927	+	0.000	0.000	Merged-chr2-128111932-19
NR35089--MA0599.1.KLF5	chr2	85060752	85060761	-	0.000	0.000	Merged-chr2-85060915-54
NR9930--MA0493.1.Klf1	chr11	57958376	57958386	-	0.000	0.000	Merged-chr11-57958407-27
NR57353--MA0741.1.KLF16	chr7	81075554	81075564	-	0.000	0.000	Merged-chr7-81075371-56
NR47074--MA1107.1.KLF9	chr5	24517981	24517993	+	0.000	0.000	Merged-chr5-24518156-18
NR47402--MA0599.1.KLF5	chr5	35176572	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR19853--MA0741.1.KLF16	chr14	67911782	67911792	-	0.000	0.000	Merged-chr14-67911920-26
NR29530--MA0599.1.KLF5	chr18	39141876	39141885	-	0.000	0.000	Merged-chr18-39141814-16
NR33031--MA0742.1.Klf12	chr2	7254629	7254643	-	0.000	0.000	Merged-chr2-7254714-17
NR39420--MA0039.3.KLF4	chr3	84630935	84630945	-	0.000	0.000	Merged-chr3-84630888-13
NR24966--MA1107.1.KLF9	chr16	75920943	75920955	+	0.000	0.000	Merged-chr16-75921068-56
NR42405--MA0599.1.KLF5	chr4	11684322	11684331	-	0.000	0.000	Merged-chr4-11684265-15
NR38779--MA0493.1.Klf1	chr3	37387237	37387247	+	0.000	0.000	Merged-chr3-37387338-33
NR32039--MA0599.1.KLF5	chr19	38746129	38746138	-	0.000	0.000	Merged-chr19-38746267-36
NR35774--MA0599.1.KLF5	chr2	117418841	117418850	-	0.000	0.000	Merged-chr2-117418760-26
NR28809--MA0741.1.KLF16	chr17	87365448	87365458	-	0.000	0.000	Merged-chr17-87365443-26
NR65076--MA1107.1.KLF9	chr9	78074221	78074233	+	0.000	0.000	Merged-chr9-78074095-46
NR66143--MA0039.3.KLF4	chr9	110641167	110641177	+	0.000	0.000	Merged-chr9-110641188-21
NR42399--MA0039.3.KLF4	chr4	11077626	11077636	-	0.000	0.000	Merged-chr4-11077783-17
NR9907--MA0039.3.KLF4	chr11	55131334	55131344	+	0.000	0.000	Merged-chr11-55131266-10
NR22576--MA1107.1.KLF9	chr15	83474241	83474253	+	0.000	0.000	Merged-chr15-83474258-63
NR12332--MA0599.1.KLF5	chr11	110897081	110897090	-	0.000	0.000	Merged-chr11-110897111-25
NR681--MA0039.3.KLF4	chr1	52578410	52578420	+	0.000	0.000	Merged-chr1-52578518-39
NR57324--MA1107.1.KLF9	chr7	80782500	80782512	+	0.000	0.000	Merged-chr7-80782374-50
NR11108--MA0599.1.KLF5	chr11	83746226	83746235	+	0.000	0.000	Merged-chr11-83746367-9
NR1225--MA0493.1.Klf1	chr1	80703445	80703455	-	0.000	0.000	Merged-chr1-80703457-36
NR58728--MA0493.1.Klf1	chr7	123218375	123218385	-	0.000	0.000	Merged-chr7-123218226-57
NR36187--MA1107.1.KLF9	chr2	128392480	128392492	+	0.000	0.000	Merged-chr2-128392502-21
NR49533--MA0741.1.KLF16	chr5	117126111	117126121	+	0.000	0.000	Merged-chr5-117125989-17
NR40113--MA0493.1.Klf1	chr3	101588934	101588944	+	0.000	0.000	Merged-chr3-101588946-10
NR51255--MA1107.1.KLF9	chr5	149583725	149583737	-	0.000	0.000	Merged-chr5-149583571-10
NR39901--MA0599.1.KLF5	chr3	96338272	96338281	+	0.000	0.000	Merged-chr3-96338308-3
NR45123--MA1107.1.KLF9	chr4	132749106	132749118	-	0.000	0.000	Merged-chr4-132748989-25
NR20190--MA0039.3.KLF4	chr14	78679090	78679100	-	0.000	0.000	Merged-chr14-78679093-56
NR33020--MA0039.3.KLF4	chr2	6462508	6462518	+	0.000	0.000	Merged-chr2-6462544-11
NR29672--MA0741.1.KLF16	chr18	46917800	46917810	-	0.000	0.000	Merged-chr18-46917814-10
NR57821--MA0741.1.KLF16	chr7	100448846	100448856	+	0.000	0.000	Merged-chr7-100448653-1
NR53454--MA0599.1.KLF5	chr6	108630898	108630907	+	0.000	0.000	Merged-chr6-108631007-44
NR47661--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR16436--MA0740.1.KLF14	chr13	51776416	51776429	+	0.000	0.000	Merged-chr13-51776600-43
NR63941--MA0599.1.KLF5	chr9	44037384	44037393	-	0.000	0.000	Merged-chr9-44037294-17
NR28315--MA0493.1.Klf1	chr17	74865014	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR3043--MA0740.1.KLF14	chr1	159812994	159813007	-	0.000	0.000	Merged-chr1-159812982-41
NR34339--MA1107.1.KLF9	chr2	59513731	59513743	-	0.000	0.000	Merged-chr2-59513816-12
NR11906--MA0741.1.KLF16	chr11	101171558	101171568	-	0.000	0.000	Merged-chr11-101171521-37
NR32150--MA0742.1.Klf12	chr19	42149846	42149860	+	0.000	0.000	Merged-chr19-42149753-11
NR15699--MA0039.3.KLF4	chr13	15982599	15982609	+	0.000	0.000	Merged-chr13-15982553-21
NR6902--MA0039.3.KLF4	chr10	83733821	83733831	-	0.000	0.000	Merged-chr10-83733897-13
NR53452--MA0657.1.KLF13	chr6	108630896	108630913	+	0.000	0.000	Merged-chr6-108631007-44
NR10614--MA0599.1.KLF5	chr11	73132361	73132370	+	0.000	0.000	Merged-chr11-73132319-6
NR7473--MA1107.1.KLF9	chr10	98776711	98776723	-	0.000	0.000	Merged-chr10-98776574-38
NR5074--MA1107.1.KLF9	chr10	19594670	19594682	-	0.000	0.000	Merged-chr10-19594652-16
NR11610--MA0742.1.Klf12	chr11	97146172	97146186	+	0.000	0.000	Merged-chr11-97146058-3
NR29203--MA1107.1.KLF9	chr18	23733793	23733805	+	0.000	0.000	Merged-chr18-23733972-8
NR55722--MA0039.3.KLF4	chr7	24407305	24407315	+	0.000	0.000	Merged-chr7-24407263-37
NR53897--MA0493.1.Klf1	chr6	122270365	122270375	+	0.000	0.000	Merged-chr6-122270304-33
NR26919--MA0493.1.Klf1	chr17	32402084	32402094	+	0.000	0.000	Merged-chr17-32402116-14
NR22263--MA0740.1.KLF14	chr15	78835206	78835219	-	0.000	0.000	Merged-chr15-78835387-37
NR9541--MA1107.1.KLF9	chr11	46454879	46454891	-	0.000	0.000	Merged-chr11-46454823-30
NR365--MA0493.1.Klf1	chr1	37286806	37286816	-	0.000	0.000	Merged-chr1-37286924-34
NR2249--MA0599.1.KLF5	chr1	133801283	133801292	-	0.000	0.000	Merged-chr1-133801271-79
NR33500--MA1107.1.KLF9	chr2	27487404	27487416	-	0.000	0.000	Merged-chr2-27487515-13
NR32154--MA0741.1.KLF16	chr19	42149847	42149857	+	0.000	0.000	Merged-chr19-42149753-11
NR23492--MA1107.1.KLF9	chr16	3962969	3962981	+	0.000	0.000	Merged-chr16-3962878-14
NR29221--MA1107.1.KLF9	chr18	23828651	23828663	-	0.000	0.000	Merged-chr18-23828715-22
NR47563--MA1107.1.KLF9	chr5	43824747	43824759	-	0.000	0.000	Merged-chr5-43824623-50
NR16812--MA1107.1.KLF9	chr13	63189528	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR36765--MA0741.1.KLF16	chr2	146198154	146198164	-	0.000	0.000	Merged-chr2-146198137-48
NR47998--MA0493.1.Klf1	chr5	72202164	72202174	+	0.000	0.000	Merged-chr5-72202096-40
NR39238--MA1107.1.KLF9	chr3	68784321	68784333	-	0.000	0.000	Merged-chr3-68784168-43
NR11614--MA0741.1.KLF16	chr11	97146173	97146183	+	0.000	0.000	Merged-chr11-97146058-3
NR63932--MA0741.1.KLF16	chr9	43785136	43785146	-	0.000	0.000	Merged-chr9-43784994-20
NR4798--MA0741.1.KLF16	chr10	5448762	5448772	-	0.000	0.000	Merged-chr10-5448562-35
NR35470--MA0493.1.Klf1	chr2	103703463	103703473	-	0.000	0.000	Merged-chr2-103703560-39
NR56620--MA1107.1.KLF9	chr7	45771292	45771304	-	0.000	0.000	Merged-chr7-45771241-24
NR46273--MA0599.1.KLF5	chr4	150995151	150995160	-	0.000	0.000	Merged-chr4-150995020-21
NR50959--MA0493.1.Klf1	chr5	143976872	143976882	-	0.000	0.000	Merged-chr5-143976902-14
NR25413--MA0493.1.Klf1	chr16	93777383	93777393	+	0.000	0.000	Merged-chr16-93777222-1
NR18414--MA0039.3.KLF4	chr13	118383765	118383775	+	0.000	0.000	Merged-chr13-118383663-25
NR7712--MA0599.1.KLF5	chr10	111031824	111031833	+	0.000	0.000	Merged-chr10-111031729-43
NR25318--MA0740.1.KLF14	chr16	91588189	91588202	+	0.000	0.000	Merged-chr16-91588038-25
NR20105--MA0740.1.KLF14	chr14	75820045	75820058	-	0.000	0.000	Merged-chr14-75819905-19
NR24225--MA0741.1.KLF16	chr16	32434127	32434137	+	0.000	0.000	Merged-chr16-32434269-25
NR53329--MA0493.1.Klf1	chr6	100879806	100879816	-	0.000	0.000	Merged-chr6-100879682-24
NR34254--MA0039.3.KLF4	chr2	53067448	53067458	-	0.000	0.000	Merged-chr2-53067376-9
NR18790--MA0039.3.KLF4	chr14	25421977	25421987	+	0.000	0.000	Merged-chr14-25421957-44
NR25323--MA1107.1.KLF9	chr16	91588189	91588201	+	0.000	0.000	Merged-chr16-91588038-25
NR21756--MA1107.1.KLF9	chr15	60120084	60120096	-	0.000	0.000	Merged-chr15-60120172-38
NR12820--MA1107.1.KLF9	chr11	119109559	119109571	+	0.000	0.000	Merged-chr11-119109624-20
NR14516--MA0742.1.Klf12	chr12	94083629	94083643	+	0.000	0.000	Merged-chr12-94083592-14
NR5649--MA0599.1.KLF5	chr10	59380474	59380483	-	0.000	0.000	Merged-chr10-59380482-71
NR62533--MA1107.1.KLF9	chr8	117052551	117052563	-	0.000	0.000	Merged-chr8-117052612-3
NR24238--MA0741.1.KLF16	chr16	33053322	33053332	+	0.000	0.000	Merged-chr16-33053250-22
NR10720--MA0741.1.KLF16	chr11	75877999	75878009	-	0.000	0.000	Merged-chr11-75877808-8
NR53822--MA0742.1.Klf12	chr6	120199682	120199696	+	0.000	0.000	Merged-chr6-120199707-32
NR67719--MA0493.1.Klf1	chrX	102037222	102037232	-	0.000	0.000	Merged-chrX-102037181-28
NR44876--MA1107.1.KLF9	chr4	129060104	129060116	-	0.000	0.000	Merged-chr4-129060075-18
NR14727--MA0740.1.KLF14	chr12	102627694	102627707	+	0.000	0.000	Merged-chr12-102627698-2
NR40521--MA1107.1.KLF9	chr3	115758850	115758862	-	0.000	0.000	Merged-chr3-115758930-94
NR7375--MA0039.3.KLF4	chr10	95009210	95009220	-	0.000	0.000	Merged-chr10-95009173-43
NR27149--MA0039.3.KLF4	chr17	35231250	35231260	-	0.000	0.000	Merged-chr17-35231264-33
NR48501--MA0741.1.KLF16	chr5	92967507	92967517	+	0.000	0.000	Merged-chr5-92967427-8
NR65113--MA0039.3.KLF4	chr9	79816247	79816257	+	0.000	0.000	Merged-chr9-79816288-41
NR25534--MA0741.1.KLF16	chr16	96089730	96089740	+	0.000	0.000	Merged-chr16-96089683-18
NR18594--MA1107.1.KLF9	chr14	12243814	12243826	+	0.000	0.000	Merged-chr14-12243878-61
NR64284--MA0493.1.Klf1	chr9	57577533	57577543	-	0.000	0.000	Merged-chr9-57577523-17
NR62538--MA1107.1.KLF9	chr8	117052561	117052573	-	0.000	0.000	Merged-chr8-117052612-3
NR47656--MA0740.1.KLF14	chr5	54111079	54111092	+	0.000	0.000	Merged-chr5-54110931-21
NR22266--MA0741.1.KLF16	chr15	78835208	78835218	-	0.000	0.000	Merged-chr15-78835387-37
NR63507--MA1107.1.KLF9	chr9	21419887	21419899	-	0.000	0.000	Merged-chr9-21419783-26
NR15697--MA0742.1.Klf12	chr13	15982597	15982611	+	0.000	0.000	Merged-chr13-15982553-21
NR66142--MA0599.1.KLF5	chr9	110641166	110641175	+	0.000	0.000	Merged-chr9-110641188-21
NR21407--MA0039.3.KLF4	chr15	36562770	36562780	+	0.000	0.000	Merged-chr15-36562926-39
NR59652--MA0740.1.KLF14	chr7	141579226	141579239	-	0.000	0.000	Merged-chr7-141579078-48
NR3049--MA0599.1.KLF5	chr1	159812997	159813006	-	0.000	0.000	Merged-chr1-159812982-41
NR14692--MA0493.1.Klf1	chr12	102351067	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR56619--MA0742.1.Klf12	chr7	45771290	45771304	-	0.000	0.000	Merged-chr7-45771241-24
NR53826--MA1107.1.KLF9	chr6	120199682	120199694	+	0.000	0.000	Merged-chr6-120199707-32
NR24967--MA0742.1.Klf12	chr16	75920988	75921002	-	0.000	0.000	Merged-chr16-75921068-56
NR6881--MA0039.3.KLF4	chr10	83336548	83336558	-	0.000	0.000	Merged-chr10-83336542-10
NR3137--MA0039.3.KLF4	chr1	161791977	161791987	-	0.000	0.000	Merged-chr1-161792020-2
NR17156--MA0493.1.Klf1	chr13	81402027	81402037	+	0.000	0.000	Merged-chr13-81401902-10
NR20005--MA0493.1.Klf1	chr14	73596754	73596764	+	0.000	0.000	Merged-chr14-73596722-14
NR9664--MA0741.1.KLF16	chr11	51577801	51577811	+	0.000	0.000	Merged-chr11-51577778-26
NR13221--MA0742.1.Klf12	chr12	17511203	17511217	+	0.000	0.000	Merged-chr12-17511273-48
NR3053--MA0493.1.Klf1	chr1	159812997	159813007	-	0.000	0.000	Merged-chr1-159812982-41
NR20108--MA0741.1.KLF16	chr14	75820047	75820057	-	0.000	0.000	Merged-chr14-75819905-19
NR6430--MA0493.1.Klf1	chr10	79692122	79692132	+	0.000	0.000	Merged-chr10-79692164-17
NR22417--MA1107.1.KLF9	chr15	80590878	80590890	-	0.000	0.000	Merged-chr15-80590747-44
NR13270--MA0039.3.KLF4	chr12	21480431	21480441	+	0.000	0.000	Merged-chr12-21480312-60
NR35090--MA1107.1.KLF9	chr2	85060853	85060865	-	0.000	0.000	Merged-chr2-85060915-54
NR59672--MA0742.1.Klf12	chr7	142354081	142354095	+	0.000	0.000	Merged-chr7-142354183-49
NR41741--MA0039.3.KLF4	chr3	148419632	148419642	-	0.000	0.000	Merged-chr3-148419698-33
NR31850--MA0741.1.KLF16	chr19	31337341	31337351	-	0.000	0.000	Merged-chr19-31337298-1
NR65155--MA0493.1.Klf1	chr9	83437920	83437930	+	0.000	0.000	Merged-chr9-83437873-26
NR34977--MA0493.1.Klf1	chr2	79065515	79065525	+	0.000	0.000	Merged-chr2-79065510-16
NR3300--MA0599.1.KLF5	chr1	165730350	165730359	+	0.000	0.000	Merged-chr1-165730262-25
NR40428--MA1107.1.KLF9	chr3	108727528	108727540	+	0.000	0.000	Merged-chr3-108727524-22
