#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR1672--MA0769.1.Tcf7	chr12	3791937	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR7876--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR5053--MA1421.1.TCF7L1	chr2	120353209	120353220	-	0.000	0.000	Merged-chr2-120353009-52
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR1252--MA0769.1.Tcf7	chr10	119005748	119005759	-	0.000	0.000	Merged-chr10-119005704-15
NR7132--MA1421.1.TCF7L1	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR2284--MA0523.1.TCF7L2	chr13	52008133	52008146	-	0.000	0.000	Merged-chr13-52008191-11
NR5505--MA0769.1.Tcf7	chr3	60469297	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR1809--MA0523.1.TCF7L2	chr12	52644411	52644424	-	0.000	0.000	Merged-chr12-52644289-23
NR1605--MA1421.1.TCF7L1	chr11	109495865	109495876	+	0.000	0.000	Merged-chr11-109495747-14
NR2282--MA1421.1.TCF7L1	chr13	52008128	52008139	-	0.000	0.000	Merged-chr13-52008191-11
NR305--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR6668--MA1421.1.TCF7L1	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR4143--MA0769.1.Tcf7	chr18	54860625	54860636	+	0.000	0.000	Merged-chr18-54860804-67
NR671--MA0769.1.Tcf7	chr1	184197590	184197601	-	0.000	0.000	Merged-chr1-184197455-33
NR8723--MA0523.1.TCF7L2	chr9	69313916	69313929	-	0.000	0.000	Merged-chr9-69313976-5
NR9143--MA0523.1.TCF7L2	chrX	132288201	132288214	+	0.000	0.000	Merged-chrX-132288230-18
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR8710--MA0523.1.TCF7L2	chr9	65676468	65676481	-	0.000	0.000	Merged-chr9-65676476-52
NR6131--MA0769.1.Tcf7	chr4	43044000	43044011	-	0.000	0.000	Merged-chr4-43044114-23
NR8912--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR3284--MA0523.1.TCF7L2	chr15	93379572	93379585	-	0.000	0.000	Merged-chr15-93379459-27
NR5856--MA1421.1.TCF7L1	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR6635--MA0523.1.TCF7L2	chr5	45790460	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR5857--MA0769.1.Tcf7	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR5986--MA0523.1.TCF7L2	chr3	152469135	152469148	-	0.000	0.000	Merged-chr3-152468947-42
NR7850--MA0523.1.TCF7L2	chr7	89712126	89712139	-	0.000	0.000	Merged-chr7-89711964-5
NR7874--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR4975--MA1421.1.TCF7L1	chr2	107005953	107005964	+	0.000	0.000	Merged-chr2-107005967-12
NR4141--MA1421.1.TCF7L1	chr18	54860625	54860636	+	0.000	0.000	Merged-chr18-54860804-67
NR674--MA0769.1.Tcf7	chr1	184197641	184197652	-	0.000	0.000	Merged-chr1-184197455-33
NR4208--MA0523.1.TCF7L2	chr18	66453475	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR3029--MA1421.1.TCF7L1	chr15	6726643	6726654	-	0.000	0.000	Merged-chr15-6726597-28
NR823--MA0769.1.Tcf7	chr10	26373061	26373072	-	0.000	0.000	Merged-chr10-26373188-33
NR2814--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR4686--MA1421.1.TCF7L1	chr2	44345135	44345146	+	0.000	0.000	Merged-chr2-44345197-78
NR3614--MA0769.1.Tcf7	chr16	77099406	77099417	-	0.000	0.000	Merged-chr16-77099308-12
NR8433--MA0523.1.TCF7L2	chr8	115188726	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR6669--MA0769.1.Tcf7	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR5616--MA0523.1.TCF7L2	chr3	90587881	90587894	+	0.000	0.000	Merged-chr3-90587878-2
NR3628--MA0769.1.Tcf7	chr16	84646484	84646495	-	0.000	0.000	Merged-chr16-84646422-13
NR7692--MA0769.1.Tcf7	chr7	27725770	27725781	-	0.000	0.000	Merged-chr7-27725861-23
NR4311--MA0769.1.Tcf7	chr18	84590495	84590506	-	0.000	0.000	Merged-chr18-84590415-4
NR1439--MA1421.1.TCF7L1	chr11	64021029	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR6937--MA1421.1.TCF7L1	chr5	130196555	130196566	-	0.000	0.000	Merged-chr5-130196551-48
NR1440--MA0523.1.TCF7L2	chr11	64021027	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR673--MA0523.1.TCF7L2	chr1	184197639	184197652	-	0.000	0.000	Merged-chr1-184197455-33
NR4058--MA1421.1.TCF7L1	chr18	24116825	24116836	+	0.000	0.000	Merged-chr18-24116838-23
NR6899--MA0523.1.TCF7L2	chr5	117924807	117924820	+	0.000	0.000	Merged-chr5-117924808-8
NR1441--MA0769.1.Tcf7	chr11	64021029	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR9135--MA0769.1.Tcf7	chrX	113297983	113297994	-	0.000	0.000	Merged-chrX-113298172-75
NR3290--MA0523.1.TCF7L2	chr15	93694648	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR6676--MA0769.1.Tcf7	chr5	64455558	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR1649--MA1421.1.TCF7L1	chr11	116418606	116418617	+	0.000	0.000	Merged-chr11-116418803-35
NR6448--MA0769.1.Tcf7	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR6900--MA0769.1.Tcf7	chr5	117924807	117924818	+	0.000	0.000	Merged-chr5-117924808-8
NR7105--MA0523.1.TCF7L2	chr6	34277819	34277832	+	0.000	0.000	Merged-chr6-34277890-22
NR2599--MA0523.1.TCF7L2	chr14	7857968	7857981	-	0.000	0.000	Merged-chr14-7858119-23
NR6675--MA0523.1.TCF7L2	chr5	64455556	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR1188--MA1421.1.TCF7L1	chr10	111544155	111544166	+	0.000	0.000	Merged-chr10-111544120-26
NR2283--MA1421.1.TCF7L1	chr13	52008135	52008146	-	0.000	0.000	Merged-chr13-52008191-11
NR2409--MA1421.1.TCF7L1	chr13	85459538	85459549	-	0.000	0.000	Merged-chr13-85459512-26
NR1808--MA1421.1.TCF7L1	chr12	52644413	52644424	-	0.000	0.000	Merged-chr12-52644289-23
NR1533--MA0769.1.Tcf7	chr11	93995373	93995384	+	0.000	0.000	Merged-chr11-93995310-5
NR670--MA1421.1.TCF7L1	chr1	184197590	184197601	-	0.000	0.000	Merged-chr1-184197455-33
NR8118--MA0523.1.TCF7L2	chr7	143501125	143501138	-	0.000	0.000	Merged-chr7-143501142-12
NR3251--MA0523.1.TCF7L2	chr15	84168877	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR306--MA0769.1.Tcf7	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR2767--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR9142--MA1421.1.TCF7L1	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR3857--MA0769.1.Tcf7	chr17	46252957	46252968	+	0.000	0.000	Merged-chr17-46252930-10
NR6677--MA1421.1.TCF7L1	chr5	64455648	64455659	-	0.000	0.000	Merged-chr5-64455679-15
NR490--MA0769.1.Tcf7	chr1	152053401	152053412	+	0.000	0.000	Merged-chr1-152053412-31
NR244--MA0769.1.Tcf7	chr1	88450938	88450949	-	0.000	0.000	Merged-chr1-88450830-24
NR2766--MA0523.1.TCF7L2	chr14	54061807	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR8434--MA0769.1.Tcf7	chr8	115188728	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR7134--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR2808--MA1421.1.TCF7L1	chr14	62008766	62008777	-	0.000	0.000	Merged-chr14-62008910-32
NR1607--MA0769.1.Tcf7	chr11	109495865	109495876	+	0.000	0.000	Merged-chr11-109495747-14
NR3030--MA0769.1.Tcf7	chr15	6726643	6726654	-	0.000	0.000	Merged-chr15-6726597-28
NR6634--MA1421.1.TCF7L1	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR2285--MA0769.1.Tcf7	chr13	52008128	52008139	-	0.000	0.000	Merged-chr13-52008191-11
NR9049--MA0523.1.TCF7L2	chrX	20772012	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR1540--MA0769.1.Tcf7	chr11	96064628	96064639	+	0.000	0.000	Merged-chr11-96064642-6
NR6636--MA0769.1.Tcf7	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR1590--MA0769.1.Tcf7	chr11	106416609	106416620	-	0.000	0.000	Merged-chr11-106416403-62
NR8718--MA0769.1.Tcf7	chr9	68966892	68966903	-	0.000	0.000	Merged-chr9-68966744-26
NR2322--MA0769.1.Tcf7	chr13	59841073	59841084	+	0.000	0.000	Merged-chr13-59840941-45
NR7133--MA0523.1.TCF7L2	chr6	41113489	41113502	+	0.000	0.000	Merged-chr6-41113305-59
NR4573--MA0523.1.TCF7L2	chr2	11617019	11617032	+	0.000	0.000	Merged-chr2-11617013-39
NR1810--MA0769.1.Tcf7	chr12	52644413	52644424	-	0.000	0.000	Merged-chr12-52644289-23
NR3509--MA0523.1.TCF7L2	chr16	44766969	44766982	-	0.000	0.000	Merged-chr16-44767090-2
NR829--MA1421.1.TCF7L1	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR4977--MA0769.1.Tcf7	chr2	107005953	107005964	+	0.000	0.000	Merged-chr2-107005967-12
NR4638--MA0523.1.TCF7L2	chr2	31303549	31303562	-	0.000	0.000	Merged-chr2-31303456-10
NR2256--MA0769.1.Tcf7	chr13	44317658	44317669	-	0.000	0.000	Merged-chr13-44317703-16
NR1606--MA0523.1.TCF7L2	chr11	109495865	109495878	+	0.000	0.000	Merged-chr11-109495747-14
NR6130--MA1421.1.TCF7L1	chr4	43044000	43044011	-	0.000	0.000	Merged-chr4-43044114-23
NR8656--MA1421.1.TCF7L1	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR3252--MA0769.1.Tcf7	chr15	84168879	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR3991--MA1421.1.TCF7L1	chr17	86850838	86850849	+	0.000	0.000	Merged-chr17-86850931-27
NR3963--MA0523.1.TCF7L2	chr17	84056572	84056585	-	0.000	0.000	Merged-chr17-84056540-29
NR8432--MA1421.1.TCF7L1	chr8	115188728	115188739	-	0.000	0.000	Merged-chr8-115188643-43
