#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR4605--MA0766.1.GATA5	chr2	144198964	144198971	+	0.000	0.000	Merged-chr2-144198804-26
NR5782--MA0037.3.GATA3	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR56--MA0482.1.Gata4	chr1	38883980	38883990	-	0.000	0.000	Merged-chr1-38884000-31
NR6808--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR699--MA0766.1.GATA5	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR5539--MA0482.1.Gata4	chr4	109105444	109105454	-	0.000	0.000	Merged-chr4-109105447-43
NR2463--MA0482.1.Gata4	chr14	60072723	60072733	+	0.000	0.000	Merged-chr14-60072713-24
NR2100--MA0036.3.GATA2	chr13	98124618	98124628	+	0.000	0.000	Merged-chr13-98124541-43
NR59--MA0035.3.Gata1	chr1	38883981	38883991	-	0.000	0.000	Merged-chr1-38884000-31
NR389--MA0035.3.Gata1	chr1	139009692	139009702	+	0.000	0.000	Merged-chr1-139009798-23
NR3915--MA0140.2.GATA1::TAL1	chr19	11540582	11540599	+	0.000	0.000	Merged-chr19-11540460-39
NR3366--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR5499--MA0482.1.Gata4	chr4	95068326	95068336	-	0.000	0.000	Merged-chr4-95068269-28
NR6549--MA0140.2.GATA1::TAL1	chr6	129533820	129533837	-	0.000	0.000	Merged-chr6-129533929-3
NR1511--MA0140.2.GATA1::TAL1	chr12	41844189	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR2659--MA0766.1.GATA5	chr14	121423099	121423106	+	0.000	0.000	Merged-chr14-121422910-45
NR7035--MA0140.2.GATA1::TAL1	chr7	120729749	120729766	-	0.000	0.000	Merged-chr7-120729886-25
NR6285--MA0482.1.Gata4	chr6	61225494	61225504	+	0.000	0.000	Merged-chr6-61225621-10
NR807--MA0140.2.GATA1::TAL1	chr10	66955653	66955670	+	0.000	0.000	Merged-chr10-66955647-19
NR502--MA0037.3.GATA3	chr1	164960957	164960964	+	0.000	0.000	Merged-chr1-164960822-1
NR57--MA1104.1.GATA6	chr1	38883980	38883992	+	0.000	0.000	Merged-chr1-38884000-31
NR5636--MA0037.3.GATA3	chr4	145312628	145312635	+	0.000	0.000	Merged-chr4-145312696-44
NR3066--MA0037.3.GATA3	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR2464--MA1104.1.GATA6	chr14	60072721	60072733	-	0.000	0.000	Merged-chr14-60072713-24
NR6577--MA0766.1.GATA5	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR1877--MA0036.3.GATA2	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR6932--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR3284--MA0037.3.GATA3	chr16	92641313	92641320	+	0.000	0.000	Merged-chr16-92641253-41
NR6661--MA0037.3.GATA3	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR5490--MA0035.3.Gata1	chr4	89044205	89044215	+	0.000	0.000	Merged-chr4-89044155-38
NR1782--MA0035.3.Gata1	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR3913--MA0766.1.GATA5	chr19	11540581	11540588	-	0.000	0.000	Merged-chr19-11540460-39
NR4109--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR2429--MA0035.3.Gata1	chr14	54165206	54165216	-	0.000	0.000	Merged-chr14-54165125-24
NR5000--MA0140.2.GATA1::TAL1	chr3	105815405	105815422	-	0.000	0.000	Merged-chr3-105815563-53
NR686--MA0140.2.GATA1::TAL1	chr10	18064764	18064781	+	0.000	0.000	Merged-chr10-18064784-37
NR73--MA0036.3.GATA2	chr1	43538868	43538878	+	0.000	0.000	Merged-chr1-43538951-30
NR7731--MA1104.1.GATA6	chr9	87025898	87025910	-	0.000	0.000	Merged-chr9-87025935-38
NR5391--MA0766.1.GATA5	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR7451--MA0766.1.GATA5	chr8	127963050	127963057	+	0.000	0.000	Merged-chr8-127963000-27
NR1360--MA0035.3.Gata1	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR1848--MA0036.3.GATA2	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR1780--MA1104.1.GATA6	chr12	112743307	112743319	-	0.000	0.000	Merged-chr12-112743369-41
NR7537--MA0140.2.GATA1::TAL1	chr9	33060979	33060996	-	0.000	0.000	Merged-chr9-33060885-64
NR1610--MA0035.3.Gata1	chr12	78686010	78686020	-	0.000	0.000	Merged-chr12-78685977-17
NR6256--MA0766.1.GATA5	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR3345--MA0036.3.GATA2	chr17	7927889	7927899	+	0.000	0.000	Merged-chr17-7928003-98
NR6639--MA0036.3.GATA2	chr6	140598740	140598750	+	0.000	0.000	Merged-chr6-140598794-45
NR7390--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR6578--MA0035.3.Gata1	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR5036--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR6567--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR3914--MA0035.3.Gata1	chr19	11540580	11540590	+	0.000	0.000	Merged-chr19-11540460-39
NR7645--MA0482.1.Gata4	chr9	66295134	66295144	+	0.000	0.000	Merged-chr9-66295082-25
NR1938--MA0766.1.GATA5	chr13	45850807	45850814	-	0.000	0.000	Merged-chr13-45850664-56
NR4648--MA0482.1.Gata4	chr2	152904623	152904633	+	0.000	0.000	Merged-chr2-152904288-57
NR1766--MA0036.3.GATA2	chr12	108646504	108646514	+	0.000	0.000	Merged-chr12-108646363-75
NR2078--MA0482.1.Gata4	chr13	93785453	93785463	+	0.000	0.000	Merged-chr13-93785385-35
NR5541--MA0035.3.Gata1	chr4	109105445	109105455	-	0.000	0.000	Merged-chr4-109105447-43
NR2462--MA0037.3.GATA3	chr14	60072723	60072730	-	0.000	0.000	Merged-chr14-60072713-24
NR3422--MA0766.1.GATA5	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
NR5140--MA0035.3.Gata1	chr3	136531892	136531902	+	0.000	0.000	Merged-chr3-136531691-41
NR5392--MA0035.3.Gata1	chr4	59281126	59281136	+	0.000	0.000	Merged-chr4-59281104-23
NR473--MA0037.3.GATA3	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR339--MA0482.1.Gata4	chr1	127297166	127297176	+	0.000	0.000	Merged-chr1-127297024-52
NR5489--MA0766.1.GATA5	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR5556--MA0482.1.Gata4	chr4	117478331	117478341	-	0.000	0.000	Merged-chr4-117478210-39
NR1734--MA0766.1.GATA5	chr12	102350999	102351006	-	0.000	0.000	Merged-chr12-102350976-38
NR2119--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR3090--MA0766.1.GATA5	chr16	45942381	45942388	+	0.000	0.000	Merged-chr16-45942365-39
NR6284--MA0037.3.GATA3	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR6141--MA0037.3.GATA3	chr5	146882396	146882403	-	0.000	0.000	Merged-chr5-146882424-24
NR2850--MA0035.3.Gata1	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR6568--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR7646--MA1104.1.GATA6	chr9	66295132	66295144	-	0.000	0.000	Merged-chr9-66295082-25
NR3221--MA0036.3.GATA2	chr16	70365413	70365423	+	0.000	0.000	Merged-chr16-70365429-20
NR6313--MA0140.2.GATA1::TAL1	chr6	67483247	67483264	+	0.000	0.000	Merged-chr6-67483330-21
NR6872--MA0140.2.GATA1::TAL1	chr7	73518569	73518586	+	0.000	0.000	Merged-chr7-73518565-13
NR5785--MA0036.3.GATA2	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR696--MA0037.3.GATA3	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR1359--MA0766.1.GATA5	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR2839--MA0037.3.GATA3	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR1939--MA0035.3.Gata1	chr13	45850806	45850816	+	0.000	0.000	Merged-chr13-45850664-56
NR5179--MA0036.3.GATA2	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR5180--MA0035.3.Gata1	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR3423--MA0035.3.Gata1	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR3369--MA0036.3.GATA2	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR5557--MA1104.1.GATA6	chr4	117478331	117478343	+	0.000	0.000	Merged-chr4-117478210-39
NR242--MA0036.3.GATA2	chr1	94048305	94048315	+	0.000	0.000	Merged-chr1-94048267-32
NR1875--MA0482.1.Gata4	chr13	10019409	10019419	-	0.000	0.000	Merged-chr13-10019536-22
NR1779--MA0482.1.Gata4	chr12	112743309	112743319	+	0.000	0.000	Merged-chr12-112743369-41
NR526--MA0036.3.GATA2	chr1	170853678	170853688	-	0.000	0.000	Merged-chr1-170853758-47
NR2842--MA0036.3.GATA2	chr15	78495176	78495186	-	0.000	0.000	Merged-chr15-78495177-43
NR5038--MA0766.1.GATA5	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR1878--MA0035.3.Gata1	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR92--MA0482.1.Gata4	chr1	61203277	61203287	-	0.000	0.000	Merged-chr1-61203375-24
NR6935--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR74--MA0140.2.GATA1::TAL1	chr1	43538870	43538887	+	0.000	0.000	Merged-chr1-43538951-30
NR3442--MA1104.1.GATA6	chr17	35741880	35741892	+	0.000	0.000	Merged-chr17-35741988-36
NR7069--MA0036.3.GATA2	chr7	132765248	132765258	-	0.000	0.000	Merged-chr7-132765248-56
NR754--MA0766.1.GATA5	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR4965--MA0140.2.GATA1::TAL1	chr3	89231608	89231625	+	0.000	0.000	Merged-chr3-89231593-29
NR3372--MA0482.1.Gata4	chr17	12205680	12205690	+	0.000	0.000	Merged-chr17-12205812-57
NR3091--MA0035.3.Gata1	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR4796--MA0140.2.GATA1::TAL1	chr3	9924646	9924663	-	0.000	0.000	Merged-chr3-9924809-24
NR3069--MA0036.3.GATA2	chr16	45025478	45025488	-	0.000	0.000	Merged-chr16-45025536-40
NR7529--MA0035.3.Gata1	chr9	32710126	32710136	+	0.000	0.000	Merged-chr9-32710187-80
NR6579--MA0140.2.GATA1::TAL1	chr6	130312046	130312063	+	0.000	0.000	Merged-chr6-130312055-26
NR5139--MA0766.1.GATA5	chr3	136531893	136531900	-	0.000	0.000	Merged-chr3-136531691-41
NR213--MA0036.3.GATA2	chr1	90677874	90677884	+	0.000	0.000	Merged-chr1-90677857-31
NR1846--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR7276--MA0766.1.GATA5	chr8	75082611	75082618	+	0.000	0.000	Merged-chr8-75082480-28
NR475--MA0766.1.GATA5	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR4710--MA0140.2.GATA1::TAL1	chr2	166754395	166754412	+	0.000	0.000	Merged-chr2-166754668-37
NR5637--MA1104.1.GATA6	chr4	145312625	145312637	+	0.000	0.000	Merged-chr4-145312696-44
NR3910--MA0037.3.GATA3	chr19	11540581	11540588	-	0.000	0.000	Merged-chr19-11540460-39
NR3287--MA0036.3.GATA2	chr16	92641311	92641321	-	0.000	0.000	Merged-chr16-92641253-41
NR6531--MA0766.1.GATA5	chr6	127419918	127419925	+	0.000	0.000	Merged-chr6-127420078-9
NR5357--MA0766.1.GATA5	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR6640--MA0766.1.GATA5	chr6	140598741	140598748	-	0.000	0.000	Merged-chr6-140598794-45
NR1876--MA1104.1.GATA6	chr13	10019409	10019421	+	0.000	0.000	Merged-chr13-10019536-22
NR6566--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR7644--MA0037.3.GATA3	chr9	66295134	66295141	-	0.000	0.000	Merged-chr9-66295082-25
NR2540--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR3343--MA0482.1.Gata4	chr17	7927890	7927900	+	0.000	0.000	Merged-chr17-7928003-98
NR4650--MA0035.3.Gata1	chr2	152904622	152904632	+	0.000	0.000	Merged-chr2-152904288-57
NR467--MA0766.1.GATA5	chr1	161309343	161309350	+	0.000	0.000	Merged-chr1-161309457-43
NR93--MA1104.1.GATA6	chr1	61203277	61203289	+	0.000	0.000	Merged-chr1-61203375-24
NR6370--MA1104.1.GATA6	chr6	91125077	91125089	+	0.000	0.000	Merged-chr6-91125010-35
NR4782--MA0482.1.Gata4	chr2	181497622	181497632	+	0.000	0.000	Merged-chr2-181497766-4
NR7527--MA1104.1.GATA6	chr9	32710125	32710137	-	0.000	0.000	Merged-chr9-32710187-80
NR476--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR2120--MA0036.3.GATA2	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR2924--MA0766.1.GATA5	chr15	101388145	101388152	-	0.000	0.000	Merged-chr15-101388154-52
NR6255--MA0036.3.GATA2	chr6	50387874	50387884	-	0.000	0.000	Merged-chr6-50387910-30
NR385--MA0482.1.Gata4	chr1	139009693	139009703	+	0.000	0.000	Merged-chr1-139009798-23
NR5039--MA0035.3.Gata1	chr3	115729286	115729296	+	0.000	0.000	Merged-chr3-115729400-55
NR72--MA1104.1.GATA6	chr1	43538867	43538879	-	0.000	0.000	Merged-chr1-43538951-30
NR755--MA0035.3.Gata1	chr10	40713352	40713362	-	0.000	0.000	Merged-chr10-40713251-44
NR341--MA0035.3.Gata1	chr1	127297165	127297175	+	0.000	0.000	Merged-chr1-127297024-52
NR2908--MA0482.1.Gata4	chr15	96827786	96827796	-	0.000	0.000	Merged-chr15-96827730-24
NR2449--MA0037.3.GATA3	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR5555--MA0037.3.GATA3	chr4	117478334	117478341	+	0.000	0.000	Merged-chr4-117478210-39
NR1850--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR2470--MA0766.1.GATA5	chr14	60131692	60131699	-	0.000	0.000	Merged-chr14-60131750-51
NR3891--MA0035.3.Gata1	chr19	3533539	3533549	-	0.000	0.000	Merged-chr19-3533432-13
NR2091--MA1104.1.GATA6	chr13	95697070	95697082	-	0.000	0.000	Merged-chr13-95697036-46
NR3344--MA1104.1.GATA6	chr17	7927888	7927900	-	0.000	0.000	Merged-chr17-7928003-98
NR4657--MA0482.1.Gata4	chr2	153525960	153525970	+	0.000	0.000	Merged-chr2-153526092-26
NR6117--MA0036.3.GATA2	chr5	143038557	143038567	+	0.000	0.000	Merged-chr5-143038769-30
NR465--MA0482.1.Gata4	chr1	161309340	161309350	-	0.000	0.000	Merged-chr1-161309457-43
NR2847--MA0482.1.Gata4	chr15	78835266	78835276	-	0.000	0.000	Merged-chr15-78835387-37
NR2465--MA0036.3.GATA2	chr14	60072722	60072732	+	0.000	0.000	Merged-chr14-60072713-24
NR386--MA1104.1.GATA6	chr1	139009691	139009703	-	0.000	0.000	Merged-chr1-139009798-23
NR468--MA0035.3.Gata1	chr1	161309341	161309351	-	0.000	0.000	Merged-chr1-161309457-43
NR6280--MA1104.1.GATA6	chr6	58832865	58832877	-	0.000	0.000	Merged-chr6-58832889-39
NR6120--MA0140.2.GATA1::TAL1	chr5	143038559	143038576	+	0.000	0.000	Merged-chr5-143038769-30
NR2909--MA1104.1.GATA6	chr15	96827786	96827798	+	0.000	0.000	Merged-chr15-96827730-24
NR1733--MA0036.3.GATA2	chr12	102350998	102351008	+	0.000	0.000	Merged-chr12-102350976-38
NR6931--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR474--MA1104.1.GATA6	chr1	161794944	161794956	-	0.000	0.000	Merged-chr1-161794797-65
NR3370--MA0766.1.GATA5	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR6530--MA1104.1.GATA6	chr6	127419915	127419927	+	0.000	0.000	Merged-chr6-127420078-9
NR5315--MA0140.2.GATA1::TAL1	chr4	11721581	11721598	-	0.000	0.000	Merged-chr4-11721470-80
NR5356--MA1104.1.GATA6	chr4	47319832	47319844	+	0.000	0.000	Merged-chr4-47319930-54
NR6664--MA0766.1.GATA5	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR7732--MA0036.3.GATA2	chr9	87025899	87025909	+	0.000	0.000	Merged-chr9-87025935-38
NR7036--MA0140.2.GATA1::TAL1	chr7	121641348	121641365	-	0.000	0.000	Merged-chr7-121641450-48
NR2656--MA0482.1.Gata4	chr14	121423096	121423106	-	0.000	0.000	Merged-chr14-121422910-45
NR5500--MA0035.3.Gata1	chr4	95068327	95068337	-	0.000	0.000	Merged-chr4-95068269-28
NR7634--MA0037.3.GATA3	chr9	62421170	62421177	+	0.000	0.000	Merged-chr9-62421317-30
NR6372--MA0766.1.GATA5	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR6253--MA0140.2.GATA1::TAL1	chr6	50146580	50146597	-	0.000	0.000	Merged-chr6-50146420-23
NR2848--MA1104.1.GATA6	chr15	78835266	78835278	+	0.000	0.000	Merged-chr15-78835387-37
NR1781--MA0036.3.GATA2	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR524--MA0482.1.Gata4	chr1	170853677	170853687	-	0.000	0.000	Merged-chr1-170853758-47
NR5622--MA0035.3.Gata1	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR7389--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR2923--MA1104.1.GATA6	chr15	101388143	101388155	-	0.000	0.000	Merged-chr15-101388154-52
NR2539--MA0482.1.Gata4	chr14	78687948	78687958	+	0.000	0.000	Merged-chr14-78687892-42
NR537--MA0482.1.Gata4	chr1	171643757	171643767	+	0.000	0.000	Merged-chr1-171643793-46
NR3070--MA0766.1.GATA5	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR697--MA1104.1.GATA6	chr10	21975618	21975630	-	0.000	0.000	Merged-chr10-21975536-24
NR527--MA0035.3.Gata1	chr1	170853678	170853688	-	0.000	0.000	Merged-chr1-170853758-47
NR6574--MA0482.1.Gata4	chr6	130312045	130312055	+	0.000	0.000	Merged-chr6-130312055-26
NR6369--MA0482.1.Gata4	chr6	91125077	91125087	-	0.000	0.000	Merged-chr6-91125010-35
NR4265--MA0035.3.Gata1	chr2	66120350	66120360	-	0.000	0.000	Merged-chr2-66120274-20
NR1849--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR3342--MA0037.3.GATA3	chr17	7927890	7927897	-	0.000	0.000	Merged-chr17-7928003-98
NR3538--MA0140.2.GATA1::TAL1	chr17	71192188	71192205	-	0.000	0.000	Merged-chr17-71192022-46
NR4111--MA0482.1.Gata4	chr2	31082841	31082851	-	0.000	0.000	Merged-chr2-31082849-41
NR5144--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR4039--MA0035.3.Gata1	chr2	11617066	11617076	+	0.000	0.000	Merged-chr2-11617013-39
NR2657--MA1104.1.GATA6	chr14	121423096	121423108	+	0.000	0.000	Merged-chr14-121422910-45
NR5620--MA1104.1.GATA6	chr4	134047864	134047876	+	0.000	0.000	Merged-chr4-134047792-28
NR3371--MA0035.3.Gata1	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR384--MA0037.3.GATA3	chr1	139009693	139009700	-	0.000	0.000	Merged-chr1-139009798-23
NR525--MA1104.1.GATA6	chr1	170853677	170853689	+	0.000	0.000	Merged-chr1-170853758-47
NR4408--MA0482.1.Gata4	chr2	102812791	102812801	-	0.000	0.000	Merged-chr2-102812992-26
NR2907--MA0037.3.GATA3	chr15	96827789	96827796	+	0.000	0.000	Merged-chr15-96827730-24
NR4498--MA0482.1.Gata4	chr2	127923473	127923483	+	0.000	0.000	Merged-chr2-127923410-36
NR538--MA1104.1.GATA6	chr1	171643755	171643767	-	0.000	0.000	Merged-chr1-171643793-46
NR4263--MA1104.1.GATA6	chr2	66120349	66120361	+	0.000	0.000	Merged-chr2-66120274-20
NR5136--MA0037.3.GATA3	chr3	136531893	136531900	-	0.000	0.000	Merged-chr3-136531691-41
NR4878--MA0482.1.Gata4	chr3	60788288	60788298	+	0.000	0.000	Merged-chr3-60788099-46
NR6575--MA1104.1.GATA6	chr6	130312043	130312055	-	0.000	0.000	Merged-chr6-130312055-26
NR1137--MA0140.2.GATA1::TAL1	chr11	34506589	34506606	-	0.000	0.000	Merged-chr11-34506583-46
NR3971--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR4656--MA0037.3.GATA3	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR5540--MA0036.3.GATA2	chr4	109105445	109105455	-	0.000	0.000	Merged-chr4-109105447-43
NR3911--MA1104.1.GATA6	chr19	11540579	11540591	-	0.000	0.000	Merged-chr19-11540460-39
NR3071--MA0035.3.Gata1	chr16	45025478	45025488	-	0.000	0.000	Merged-chr16-45025536-40
NR1956--MA0482.1.Gata4	chr13	51848823	51848833	+	0.000	0.000	Merged-chr13-51849013-24
NR7647--MA0036.3.GATA2	chr9	66295133	66295143	+	0.000	0.000	Merged-chr9-66295082-25
NR3974--MA0035.3.Gata1	chr19	32465411	32465421	+	0.000	0.000	Merged-chr19-32465460-36
NR6279--MA0482.1.Gata4	chr6	58832867	58832877	+	0.000	0.000	Merged-chr6-58832889-39
NR4112--MA1104.1.GATA6	chr2	31082841	31082853	+	0.000	0.000	Merged-chr2-31082849-41
NR464--MA0037.3.GATA3	chr1	161309343	161309350	+	0.000	0.000	Merged-chr1-161309457-43
NR2428--MA0482.1.Gata4	chr14	54165205	54165215	-	0.000	0.000	Merged-chr14-54165125-24
NR2439--MA0140.2.GATA1::TAL1	chr14	55392547	55392564	+	0.000	0.000	Merged-chr14-55392653-26
NR1935--MA0482.1.Gata4	chr13	45850807	45850817	+	0.000	0.000	Merged-chr13-45850664-56
