#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR13317--MA0599.1.KLF5	chr11	121388260	121388269	+	0.000	0.000	Merged-chr11-121388378-24
NR43733--MA0741.1.KLF16	chr3	143379404	143379414	+	0.000	0.000	Merged-chr3-143379316-24
NR55285--MA0039.3.KLF4	chr6	48706254	48706264	+	0.000	0.000	Merged-chr6-48706289-36
NR21097--MA0741.1.KLF16	chr14	75892275	75892285	-	0.000	0.000	Merged-chr14-75892464-20
NR25508--MA1107.1.KLF9	chr16	18733522	18733534	+	0.000	0.000	Merged-chr16-18733506-32
NR23473--MA0740.1.KLF14	chr15	75894412	75894425	+	0.000	0.000	Merged-chr15-75894455-46
NR11253--MA0493.1.Klf1	chr11	78690774	78690784	+	0.000	0.000	Merged-chr11-78690691-3
NR33503--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR58000--MA1107.1.KLF9	chr6	135150454	135150466	-	0.000	0.000	Merged-chr6-135150450-14
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR460--MA0741.1.KLF16	chr1	37889350	37889360	+	0.000	0.000	Merged-chr1-37889517-3
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR26289--MA1107.1.KLF9	chr16	55526628	55526640	-	0.000	0.000	Merged-chr16-55526472-43
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR15804--MA0039.3.KLF4	chr12	112629099	112629109	-	0.000	0.000	Merged-chr12-112629266-49
NR16056--MA0741.1.KLF16	chr12	118836994	118837004	-	0.000	0.000	Merged-chr12-118836898-44
NR24378--MA0741.1.KLF16	chr15	93375911	93375921	-	0.000	0.000	Merged-chr15-93375803-4
NR24551--MA0740.1.KLF14	chr15	97606751	97606764	+	0.000	0.000	Merged-chr15-97606857-25
NR2637--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR24649--MA0741.1.KLF16	chr15	98793346	98793356	+	0.000	0.000	Merged-chr15-98793364-7
NR112--MA0741.1.KLF16	chr1	13426251	13426261	-	0.000	0.000	Merged-chr1-13426013-7
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR23485--MA1107.1.KLF9	chr15	75929910	75929922	-	0.000	0.000	Merged-chr15-75929724-50
NR61754--MA0493.1.Klf1	chr7	101012085	101012095	-	0.000	0.000	Merged-chr7-101011923-30
NR64000--MA0741.1.KLF16	chr8	8685654	8685664	-	0.000	0.000	Merged-chr8-8685770-4
NR28241--MA0493.1.Klf1	chr17	27564908	27564918	-	0.000	0.000	Merged-chr17-27564806-2
NR36769--MA0740.1.KLF14	chr2	75965079	75965092	+	0.000	0.000	Merged-chr2-75964949-43
NR16285--MA0657.1.KLF13	chr13	21222581	21222598	-	0.000	0.000	Merged-chr13-21222520-28
NR23043--MA0599.1.KLF5	chr15	58171624	58171633	+	0.000	0.000	Merged-chr15-58171434-29
NR58818--MA0741.1.KLF16	chr7	4777043	4777053	-	0.000	0.000	Merged-chr7-4777194-35
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR36231--MA0741.1.KLF16	chr2	55437050	55437060	+	0.000	0.000	Merged-chr2-55437134-25
NR52365--MA0741.1.KLF16	chr5	118661947	118661957	+	0.000	0.000	Merged-chr5-118661904-17
NR16054--MA0599.1.KLF5	chr12	118836995	118837004	-	0.000	0.000	Merged-chr12-118836898-44
NR45264--MA0741.1.KLF16	chr4	45766158	45766168	-	0.000	0.000	Merged-chr4-45766216-17
NR35057--MA0741.1.KLF16	chr2	18909775	18909785	-	0.000	0.000	Merged-chr2-18909851-2
NR8686--MA1107.1.KLF9	chr10	122778137	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR40344--MA0742.1.Klf12	chr3	9500013	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR3109--MA0741.1.KLF16	chr1	153740168	153740178	-	0.000	0.000	Merged-chr1-153740161-56
NR67182--MA0039.3.KLF4	chr8	121898639	121898649	-	0.000	0.000	Merged-chr8-121898554-47
NR13893--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR8328--MA1107.1.KLF9	chr10	117118448	117118460	-	0.000	0.000	Merged-chr10-117118585-40
NR25587--MA0742.1.Klf12	chr16	21787849	21787863	-	0.000	0.000	Merged-chr16-21787807-60
NR11061--MA0741.1.KLF16	chr11	75571463	75571473	-	0.000	0.000	Merged-chr11-75571465-10
NR32523--MA0741.1.KLF16	chr18	80697332	80697342	+	0.000	0.000	Merged-chr18-80697325-29
NR64711--MA0599.1.KLF5	chr8	40634797	40634806	-	0.000	0.000	Merged-chr8-40634821-50
NR6282--MA0039.3.KLF4	chr10	62248020	62248030	-	0.000	0.000	Merged-chr10-62247968-20
NR44864--MA1107.1.KLF9	chr4	33390941	33390953	+	0.000	0.000	Merged-chr4-33390737-19
NR10997--MA0740.1.KLF14	chr11	74838633	74838646	-	0.000	0.000	Merged-chr11-74838839-1
NR6467--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR46458--MA0493.1.Klf1	chr4	101419676	101419686	-	0.000	0.000	Merged-chr4-101419713-70
NR9776--MA1107.1.KLF9	chr11	32486697	32486709	-	0.000	0.000	Merged-chr11-32486832-15
NR6512--MA0599.1.KLF5	chr10	69571685	69571694	-	0.000	0.000	Merged-chr10-69571391-44
NR32912--MA0742.1.Klf12	chr19	4269305	4269319	+	0.000	0.000	Merged-chr19-4269199-28
NR13558--MA1107.1.KLF9	chr12	16384356	16384368	+	0.000	0.000	Merged-chr12-16384404-18
NR1070--MA0039.3.KLF4	chr1	69499064	69499074	-	0.000	0.000	Merged-chr1-69499196-51
NR7003--MA0740.1.KLF14	chr10	80054384	80054397	-	0.000	0.000	Merged-chr10-80054336-1
NR45615--MA0599.1.KLF5	chr4	57295370	57295379	+	0.000	0.000	Merged-chr4-57295265-18
NR53552--MA0741.1.KLF16	chr5	137749330	137749340	+	0.000	0.000	Merged-chr5-137749459-31
NR22425--MA0741.1.KLF16	chr15	25269715	25269725	-	0.000	0.000	Merged-chr15-25269773-79
NR61159--MA0741.1.KLF16	chr7	80192614	80192624	-	0.000	0.000	Merged-chr7-80192617-45
NR48110--MA0599.1.KLF5	chr4	137722914	137722923	+	0.000	0.000	Merged-chr4-137723012-20
NR66812--MA0657.1.KLF13	chr8	115568529	115568546	+	0.000	0.000	Merged-chr8-115568627-19
NR25782--MA0493.1.Klf1	chr16	32516544	32516554	-	0.000	0.000	Merged-chr16-32516451-30
NR68353--MA0741.1.KLF16	chr9	41160888	41160898	-	0.000	0.000	Merged-chr9-41160864-12
NR70376--MA0039.3.KLF4	chr9	100540495	100540505	-	0.000	0.000	Merged-chr9-100540480-23
NR19418--MA0599.1.KLF5	chr14	20479950	20479959	-	0.000	0.000	Merged-chr14-20479960-47
NR1706--MA0039.3.KLF4	chr1	92640408	92640418	+	0.000	0.000	Merged-chr1-92640529-29
NR64174--MA0599.1.KLF5	chr8	13593539	13593548	-	0.000	0.000	Merged-chr8-13593648-27
NR67766--MA0599.1.KLF5	chr9	15014176	15014185	-	0.000	0.000	Merged-chr9-15014101-6
NR17850--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR20696--MA0599.1.KLF5	chr14	63943535	63943544	+	0.000	0.000	Merged-chr14-63943640-23
NR6209--MA0740.1.KLF14	chr10	61383387	61383400	+	0.000	0.000	Merged-chr10-61383375-39
NR55891--MA0493.1.Klf1	chr6	72538828	72538838	+	0.000	0.000	Merged-chr6-72538823-50
NR26146--MA0741.1.KLF16	chr16	45347019	45347029	-	0.000	0.000	Merged-chr16-45346908-42
NR10308--MA0742.1.Klf12	chr11	57791222	57791236	+	0.000	0.000	Merged-chr11-57791276-17
NR39840--MA1107.1.KLF9	chr2	170291893	170291905	+	0.000	0.000	Merged-chr2-170292078-34
NR63074--MA1107.1.KLF9	chr7	130761461	130761473	-	0.000	0.000	Merged-chr7-130761356-8
NR68716--MA1107.1.KLF9	chr9	51162022	51162034	-	0.000	0.000	Merged-chr9-51161990-29
NR64071--MA0599.1.KLF5	chr8	11009006	11009015	+	0.000	0.000	Merged-chr8-11009107-63
NR70184--MA1107.1.KLF9	chr9	94614232	94614244	+	0.000	0.000	Merged-chr9-94614117-31
NR13258--MA0740.1.KLF14	chr11	120941193	120941206	-	0.000	0.000	Merged-chr11-120941184-16
NR2040--MA0741.1.KLF16	chr1	119637161	119637171	+	0.000	0.000	Merged-chr1-119636990-21
NR31270--MA0599.1.KLF5	chr18	35830174	35830183	+	0.000	0.000	Merged-chr18-35830192-19
NR47589--MA0741.1.KLF16	chr4	130802168	130802178	+	0.000	0.000	Merged-chr4-130802230-25
NR14116--MA0741.1.KLF16	chr12	52383145	52383155	-	0.000	0.000	Merged-chr12-52383146-23
NR32916--MA0741.1.KLF16	chr19	4269277	4269287	+	0.000	0.000	Merged-chr19-4269199-28
NR19436--MA0599.1.KLF5	chr14	20803633	20803642	+	0.000	0.000	Merged-chr14-20803678-27
NR40975--MA1107.1.KLF9	chr3	51701526	51701538	+	0.000	0.000	Merged-chr3-51701450-64
NR34719--MA0599.1.KLF5	chr2	4601546	4601555	-	0.000	0.000	Merged-chr2-4601528-18
NR57278--MA1107.1.KLF9	chr6	120464178	120464190	+	0.000	0.000	Merged-chr6-120464092-4
NR49791--MA0599.1.KLF5	chr5	29378385	29378394	-	0.000	0.000	Merged-chr5-29378276-75
NR61454--MA1107.1.KLF9	chr7	90476752	90476764	-	0.000	0.000	Merged-chr7-90476840-1
NR55537--MA1107.1.KLF9	chr6	54228990	54229002	-	0.000	0.000	Merged-chr6-54229087-24
NR975--MA0741.1.KLF16	chr1	64088020	64088030	+	0.000	0.000	Merged-chr1-64088195-22
NR104--MA0741.1.KLF16	chr1	13426234	13426244	-	0.000	0.000	Merged-chr1-13426013-7
NR23136--MA0039.3.KLF4	chr15	61441929	61441939	+	0.000	0.000	Merged-chr15-61441836-34
NR31578--MA1107.1.KLF9	chr18	54822920	54822932	+	0.000	0.000	Merged-chr18-54822886-30
NR43458--MA0599.1.KLF5	chr3	135307624	135307633	+	0.000	0.000	Merged-chr3-135307763-66
NR50741--MA0740.1.KLF14	chr5	65901126	65901139	+	0.000	0.000	Merged-chr5-65901111-39
NR44794--MA0599.1.KLF5	chr4	32481949	32481958	-	0.000	0.000	Merged-chr4-32481815-19
NR6302--MA0599.1.KLF5	chr10	62508056	62508065	+	0.000	0.000	Merged-chr10-62508148-1
NR66663--MA0657.1.KLF13	chr8	110929255	110929272	-	0.000	0.000	Merged-chr8-110929357-31
NR41121--MA0741.1.KLF16	chr3	55688152	55688162	-	0.000	0.000	Merged-chr3-55687980-1
NR36235--MA1107.1.KLF9	chr2	55437055	55437067	+	0.000	0.000	Merged-chr2-55437134-25
NR24923--MA0740.1.KLF14	chr15	103215351	103215364	+	0.000	0.000	Merged-chr15-103215427-34
NR19805--MA0741.1.KLF16	chr14	31934163	31934173	-	0.000	0.000	Merged-chr14-31934172-18
NR12080--MA0599.1.KLF5	chr11	99012471	99012480	-	0.000	0.000	Merged-chr11-99012536-12
NR17854--MA0741.1.KLF16	chr13	89521653	89521663	+	0.000	0.000	Merged-chr13-89521757-30
NR61428--MA0493.1.Klf1	chr7	90341962	90341972	-	0.000	0.000	Merged-chr7-90341759-29
NR9124--MA0599.1.KLF5	chr11	3863942	3863951	-	0.000	0.000	Merged-chr11-3863952-34
NR70857--MA0599.1.KLF5	chr9	110880153	110880162	-	0.000	0.000	Merged-chr9-110880207-47
NR67774--MA1107.1.KLF9	chr9	15014174	15014186	-	0.000	0.000	Merged-chr9-15014101-6
NR19360--MA0599.1.KLF5	chr14	18893701	18893710	+	0.000	0.000	Merged-chr14-18893829-80
NR465--MA0741.1.KLF16	chr1	38395439	38395449	+	0.000	0.000	Merged-chr1-38395375-19
NR58377--MA0741.1.KLF16	chr6	142507960	142507970	-	0.000	0.000	Merged-chr6-142507875-63
NR58821--MA0740.1.KLF14	chr7	4777375	4777388	+	0.000	0.000	Merged-chr7-4777194-35
NR16977--MA0599.1.KLF5	chr13	52929748	52929757	+	0.000	0.000	Merged-chr13-52929606-61
NR117--MA0741.1.KLF16	chr1	13426973	13426983	-	0.000	0.000	Merged-chr1-13426973-84
NR39934--MA0039.3.KLF4	chr2	172439941	172439951	+	0.000	0.000	Merged-chr2-172439824-1
NR58243--MA0742.1.Klf12	chr6	140684616	140684630	+	0.000	0.000	Merged-chr6-140684445-39
NR33692--MA0742.1.Klf12	chr19	32957100	32957114	+	0.000	0.000	Merged-chr19-32957163-34
NR42928--MA0599.1.KLF5	chr3	121967795	121967804	-	0.000	0.000	Merged-chr3-121967857-57
NR69058--MA0740.1.KLF14	chr9	61715234	61715247	-	0.000	0.000	Merged-chr9-61715160-12
NR976--MA1107.1.KLF9	chr1	64088019	64088031	+	0.000	0.000	Merged-chr1-64088195-22
NR61240--MA0493.1.Klf1	chr7	80911180	80911190	+	0.000	0.000	Merged-chr7-80911261-13
NR39169--MA1107.1.KLF9	chr2	157119295	157119307	-	0.000	0.000	Merged-chr2-157119108-55
NR5458--MA0740.1.KLF14	chr10	24639813	24639826	-	0.000	0.000	Merged-chr10-24639829-10
NR22733--MA0740.1.KLF14	chr15	38635249	38635262	+	0.000	0.000	Merged-chr15-38635237-53
NR845--MA0741.1.KLF16	chr1	58424071	58424081	-	0.000	0.000	Merged-chr1-58424071-3
NR63407--MA0599.1.KLF5	chr7	136894429	136894438	+	0.000	0.000	Merged-chr7-136894538-85
NR16287--MA0493.1.Klf1	chr13	21222587	21222597	-	0.000	0.000	Merged-chr13-21222520-28
NR61347--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR69067--MA0657.1.KLF13	chr9	61745280	61745297	+	0.000	0.000	Merged-chr9-61745239-9
NR70581--MA0741.1.KLF16	chr9	106071860	106071870	+	0.000	0.000	Merged-chr9-106071900-22
NR54377--MA0599.1.KLF5	chr5	150232878	150232887	+	0.000	0.000	Merged-chr5-150232910-1
NR34770--MA0742.1.Klf12	chr2	6379102	6379116	+	0.000	0.000	Merged-chr2-6378947-26
NR36365--MA1107.1.KLF9	chr2	60880817	60880829	+	0.000	0.000	Merged-chr2-60880763-2
NR69091--MA0599.1.KLF5	chr9	62425306	62425315	-	0.000	0.000	Merged-chr9-62425384-15
NR66208--MA0741.1.KLF16	chr8	95349081	95349091	-	0.000	0.000	Merged-chr8-95348986-27
NR14108--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR35169--MA0599.1.KLF5	chr2	22957643	22957652	-	0.000	0.000	Merged-chr2-22957628-19
NR32920--MA0599.1.KLF5	chr19	4302476	4302485	-	0.000	0.000	Merged-chr19-4302422-5
NR60026--MA0741.1.KLF16	chr7	34630499	34630509	-	0.000	0.000	Merged-chr7-34630517-24
NR7004--MA0657.1.KLF13	chr10	80054381	80054398	-	0.000	0.000	Merged-chr10-80054336-1
NR71083--MA0599.1.KLF5	chr9	115205647	115205656	+	0.000	0.000	Merged-chr9-115205642-30
NR45269--MA0741.1.KLF16	chr4	45766163	45766173	-	0.000	0.000	Merged-chr4-45766216-17
NR45340--MA0742.1.Klf12	chr4	46564119	46564133	-	0.000	0.000	Merged-chr4-46564109-30
NR57945--MA0039.3.KLF4	chr6	134450906	134450916	-	0.000	0.000	Merged-chr6-134450954-21
NR63998--MA0599.1.KLF5	chr8	8661411	8661420	+	0.000	0.000	Merged-chr8-8661451-105
NR31004--MA0740.1.KLF14	chr18	21300233	21300246	+	0.000	0.000	Merged-chr18-21300237-62
NR24411--MA0741.1.KLF16	chr15	93756158	93756168	+	0.000	0.000	Merged-chr15-93756205-23
NR19590--MA0741.1.KLF16	chr14	25719559	25719569	+	0.000	0.000	Merged-chr14-25719567-22
NR65811--MA0741.1.KLF16	chr8	83899251	83899261	-	0.000	0.000	Merged-chr8-83899135-1
NR15630--MA0741.1.KLF16	chr12	109067991	109068001	+	0.000	0.000	Merged-chr12-109068052-48
NR30839--MA0599.1.KLF5	chr18	5819884	5819893	+	0.000	0.000	Merged-chr18-5820020-28
NR60024--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR16534--MA0599.1.KLF5	chr13	34154445	34154454	+	0.000	0.000	Merged-chr13-34154699-84
NR48263--MA0599.1.KLF5	chr4	140601397	140601406	-	0.000	0.000	Merged-chr4-140601329-15
NR24384--MA0493.1.Klf1	chr15	93443907	93443917	+	0.000	0.000	Merged-chr15-93443797-12
NR31808--MA0599.1.KLF5	chr18	62267378	62267387	-	0.000	0.000	Merged-chr18-62267467-16
NR8680--MA0742.1.Klf12	chr10	122778157	122778171	+	0.000	0.000	Merged-chr10-122778014-1
NR48911--MA1107.1.KLF9	chr4	152247435	152247447	+	0.000	0.000	Merged-chr4-152247398-23
NR13602--MA0741.1.KLF16	chr12	17736625	17736635	-	0.000	0.000	Merged-chr12-17736753-13
NR34522--MA0741.1.KLF16	chr19	57430074	57430084	-	0.000	0.000	Merged-chr19-57430178-33
NR14676--MA0740.1.KLF14	chr12	79130727	79130740	-	0.000	0.000	Merged-chr12-79130814-35
NR54292--MA0599.1.KLF5	chr5	149320905	149320914	+	0.000	0.000	Merged-chr5-149320865-18
NR32908--MA0741.1.KLF16	chr19	4231799	4231809	+	0.000	0.000	Merged-chr19-4231987-48
NR20684--MA0741.1.KLF16	chr14	63906104	63906114	-	0.000	0.000	Merged-chr14-63906056-16
NR14112--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR100--MA0599.1.KLF5	chr1	13426247	13426256	-	0.000	0.000	Merged-chr1-13426013-7
NR72285--MA0599.1.KLF5	chrX	93911289	93911298	+	0.000	0.000	Merged-chrX-93911345-24
NR65156--MA1107.1.KLF9	chr8	67860356	67860368	+	0.000	0.000	Merged-chr8-67860375-11
NR38258--MA0740.1.KLF14	chr2	130642899	130642912	+	0.000	0.000	Merged-chr2-130642738-65
NR60047--MA1107.1.KLF9	chr7	35172052	35172064	-	0.000	0.000	Merged-chr7-35172078-26
NR57526--MA0599.1.KLF5	chr6	125433809	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR24058--MA0599.1.KLF5	chr15	84372976	84372985	-	0.000	0.000	Merged-chr15-84372915-18
NR83--MA0599.1.KLF5	chr1	12875663	12875672	-	0.000	0.000	Merged-chr1-12875704-39
NR50308--MA0741.1.KLF16	chr5	47983072	47983082	-	0.000	0.000	Merged-chr5-47983242-36
NR57507--MA1107.1.KLF9	chr6	125229077	125229089	-	0.000	0.000	Merged-chr6-125228994-3
NR5459--MA0599.1.KLF5	chr10	24639816	24639825	-	0.000	0.000	Merged-chr10-24639829-10
NR24392--MA0039.3.KLF4	chr15	93530754	93530764	-	0.000	0.000	Merged-chr15-93530912-20
NR60767--MA0741.1.KLF16	chr7	63755273	63755283	+	0.000	0.000	Merged-chr7-63755494-56
NR44179--MA0742.1.Klf12	chr3	153276259	153276273	+	0.000	0.000	Merged-chr3-153276398-51
NR11415--MA1107.1.KLF9	chr11	82961944	82961956	-	0.000	0.000	Merged-chr11-82962014-19
NR56328--MA0741.1.KLF16	chr6	90629686	90629696	+	0.000	0.000	Merged-chr6-90629668-42
NR71047--MA0493.1.Klf1	chr9	114613181	114613191	-	0.000	0.000	Merged-chr9-114613191-38
NR19589--MA0599.1.KLF5	chr14	25719559	25719568	+	0.000	0.000	Merged-chr14-25719567-22
NR45201--MA0741.1.KLF16	chr4	44106464	44106474	-	0.000	0.000	Merged-chr4-44106569-17
NR25272--MA1107.1.KLF9	chr16	11286165	11286177	-	0.000	0.000	Merged-chr16-11286053-13
NR57614--MA0039.3.KLF4	chr6	127365545	127365555	-	0.000	0.000	Merged-chr6-127365482-29
NR35039--MA0493.1.Klf1	chr2	18307617	18307627	+	0.000	0.000	Merged-chr2-18307843-60
NR72492--MA0741.1.KLF16	chrX	114474273	114474283	-	0.000	0.000	Merged-chrX-114474330-36
NR59020--MA0741.1.KLF16	chr7	16047795	16047805	+	0.000	0.000	Merged-chr7-16047876-4
NR44468--MA0599.1.KLF5	chr4	6941241	6941250	+	0.000	0.000	Merged-chr4-6941109-33
NR26117--MA0599.1.KLF5	chr16	44394734	44394743	+	0.000	0.000	Merged-chr16-44394866-28
NR67159--MA0742.1.Klf12	chr8	121568421	121568435	+	0.000	0.000	Merged-chr8-121568444-23
NR47845--MA0599.1.KLF5	chr4	134372586	134372595	+	0.000	0.000	Merged-chr4-134372505-25
NR8187--MA0599.1.KLF5	chr10	111378272	111378281	+	0.000	0.000	Merged-chr10-111378501-63
NR14587--MA0742.1.Klf12	chr12	76324803	76324817	+	0.000	0.000	Merged-chr12-76324931-27
NR56114--MA0599.1.KLF5	chr6	86127094	86127103	+	0.000	0.000	Merged-chr6-86127203-6
NR64661--MA0740.1.KLF14	chr8	36249516	36249529	+	0.000	0.000	Merged-chr8-36249558-6
NR40408--MA0493.1.Klf1	chr3	14381736	14381746	+	0.000	0.000	Merged-chr3-14381825-37
NR12307--MA0742.1.Klf12	chr11	102467219	102467233	-	0.000	0.000	Merged-chr11-102467251-44
NR41754--MA0742.1.Klf12	chr3	89892865	89892879	-	0.000	0.000	Merged-chr3-89892725-25
NR12975--MA1107.1.KLF9	chr11	116869774	116869786	-	0.000	0.000	Merged-chr11-116869693-21
NR64074--MA0741.1.KLF16	chr8	11009081	11009091	-	0.000	0.000	Merged-chr8-11009107-63
NR109--MA0741.1.KLF16	chr1	13426240	13426250	-	0.000	0.000	Merged-chr1-13426013-7
NR28002--MA0741.1.KLF16	chr17	23786240	23786250	-	0.000	0.000	Merged-chr17-23786178-32
NR72938--MA0741.1.KLF16	chrX	166329051	166329061	-	0.000	0.000	Merged-chrX-166329162-24
NR52360--MA0740.1.KLF14	chr5	118661941	118661954	+	0.000	0.000	Merged-chr5-118661904-17
NR40798--MA0599.1.KLF5	chr3	36613428	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR31750--MA0599.1.KLF5	chr18	60632874	60632883	-	0.000	0.000	Merged-chr18-60633052-25
NR26689--MA1107.1.KLF9	chr16	76283384	76283396	-	0.000	0.000	Merged-chr16-76283420-1
NR64663--MA0599.1.KLF5	chr8	36249517	36249526	+	0.000	0.000	Merged-chr8-36249558-6
NR67974--MA0741.1.KLF16	chr9	21918241	21918251	-	0.000	0.000	Merged-chr9-21918186-50
NR27400--MA0741.1.KLF16	chr17	4996597	4996607	-	0.000	0.000	Merged-chr17-4996525-2
NR53807--MA0741.1.KLF16	chr5	140981731	140981741	-	0.000	0.000	Merged-chr5-140981610-38
NR39323--MA0599.1.KLF5	chr2	160451807	160451816	+	0.000	0.000	Merged-chr2-160451916-68
NR38260--MA0599.1.KLF5	chr2	130642900	130642909	+	0.000	0.000	Merged-chr2-130642738-65
NR62241--MA0493.1.Klf1	chr7	115416123	115416133	-	0.000	0.000	Merged-chr7-115416169-1
