#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1258--MA0766.1.GATA5	chr11	90225057	90225064	-	0.000	0.000	Merged-chr11-90225249-59
NR2702--MA0140.2.GATA1::TAL1	chr16	11526680	11526697	-	0.000	0.000	Merged-chr16-11526520-43
NR3135--MA0766.1.GATA5	chr17	72904258	72904265	-	0.000	0.000	Merged-chr17-72904124-19
NR2871--MA0036.3.GATA2	chr16	87603199	87603209	-	0.000	0.000	Merged-chr16-87603079-11
NR3789--MA1104.1.GATA6	chr2	38927188	38927200	+	0.000	0.000	Merged-chr2-38927385-1
NR2894--MA0766.1.GATA5	chr16	92443694	92443701	-	0.000	0.000	Merged-chr16-92443749-37
NR3704--MA0482.1.Gata4	chr2	11320204	11320214	-	0.000	0.000	Merged-chr2-11320345-22
NR3618--MA0140.2.GATA1::TAL1	chr19	44078411	44078428	+	0.000	0.000	Merged-chr19-44078434-18
NR1661--MA0037.3.GATA3	chr12	107139203	107139210	+	0.000	0.000	Merged-chr12-107139139-48
NR5924--MA1104.1.GATA6	chr7	19332939	19332951	-	0.000	0.000	Merged-chr7-19332998-44
NR1880--MA0140.2.GATA1::TAL1	chr13	49300932	49300949	+	0.000	0.000	Merged-chr13-49300930-11
NR3707--MA0035.3.Gata1	chr2	11320205	11320215	-	0.000	0.000	Merged-chr2-11320345-22
NR5097--MA0035.3.Gata1	chr5	21248920	21248930	+	0.000	0.000	Merged-chr5-21249086-19
NR1094--MA0482.1.Gata4	chr11	32489303	32489313	-	0.000	0.000	Merged-chr11-32489418-40
NR1246--MA0035.3.Gata1	chr11	87760741	87760751	-	0.000	0.000	Merged-chr11-87760646-1
NR5147--MA0766.1.GATA5	chr5	37147598	37147605	-	0.000	0.000	Merged-chr5-37147664-17
NR792--MA0035.3.Gata1	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR2202--MA0036.3.GATA2	chr14	27268427	27268437	-	0.000	0.000	Merged-chr14-27268313-23
NR614--MA0036.3.GATA2	chr1	191391469	191391479	+	0.000	0.000	Merged-chr1-191391579-39
NR672--MA0482.1.Gata4	chr10	18892249	18892259	-	0.000	0.000	Merged-chr10-18892324-9
NR2664--MA0035.3.Gata1	chr15	100750371	100750381	+	0.000	0.000	Merged-chr15-100750259-57
NR2935--MA0035.3.Gata1	chr17	5798609	5798619	-	0.000	0.000	Merged-chr17-5798527-14
NR4201--MA0035.3.Gata1	chr2	166046194	166046204	-	0.000	0.000	Merged-chr2-166046105-43
NR3705--MA1104.1.GATA6	chr2	11320204	11320216	+	0.000	0.000	Merged-chr2-11320345-22
NR3136--MA0035.3.Gata1	chr17	72904257	72904267	+	0.000	0.000	Merged-chr17-72904124-19
NR4860--MA1104.1.GATA6	chr4	95197263	95197275	+	0.000	0.000	Merged-chr4-95197383-10
NR675--MA0035.3.Gata1	chr10	18892250	18892260	-	0.000	0.000	Merged-chr10-18892324-9
NR2895--MA0035.3.Gata1	chr16	92443693	92443703	+	0.000	0.000	Merged-chr16-92443749-37
NR5132--MA0482.1.Gata4	chr5	35771305	35771315	+	0.000	0.000	Merged-chr5-35771159-16
NR790--MA1104.1.GATA6	chr10	68540788	68540800	-	0.000	0.000	Merged-chr10-68540864-1
NR3787--MA0037.3.GATA3	chr2	38927191	38927198	+	0.000	0.000	Merged-chr2-38927385-1
NR969--MA0766.1.GATA5	chr10	117676230	117676237	-	0.000	0.000	Merged-chr10-117676030-42
NR673--MA1104.1.GATA6	chr10	18892249	18892261	+	0.000	0.000	Merged-chr10-18892324-9
NR5148--MA0035.3.Gata1	chr5	37147597	37147607	+	0.000	0.000	Merged-chr5-37147664-17
NR5922--MA0037.3.GATA3	chr7	19332941	19332948	-	0.000	0.000	Merged-chr7-19332998-44
NR2627--MA0035.3.Gata1	chr15	93298391	93298401	+	0.000	0.000	Merged-chr15-93298411-30
NR3790--MA0036.3.GATA2	chr2	38927189	38927199	-	0.000	0.000	Merged-chr2-38927385-1
NR3312--MA0140.2.GATA1::TAL1	chr18	55107112	55107129	+	0.000	0.000	Merged-chr18-55107186-34
NR26--MA0482.1.Gata4	chr1	36768934	36768944	+	0.000	0.000	Merged-chr1-36768955-19
NR2030--MA0035.3.Gata1	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR6803--MA0140.2.GATA1::TAL1	chr9	75424569	75424586	-	0.000	0.000	Merged-chr9-75424594-10
NR978--MA0035.3.Gata1	chr10	117959505	117959515	-	0.000	0.000	Merged-chr10-117959672-9
NR117--MA0140.2.GATA1::TAL1	chr1	82836638	82836655	-	0.000	0.000	Merged-chr1-82836652-59
NR676--MA0140.2.GATA1::TAL1	chr10	18892241	18892258	-	0.000	0.000	Merged-chr10-18892324-9
NR7059--MA0036.3.GATA2	chr9	120057231	120057241	-	0.000	0.000	Merged-chr9-120057282-6
NR6196--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR3862--MA0035.3.Gata1	chr2	65044568	65044578	-	0.000	0.000	Merged-chr2-65044504-13
NR4548--MA0766.1.GATA5	chr3	130796845	130796852	+	0.000	0.000	Merged-chr3-130796721-21
NR3552--MA0140.2.GATA1::TAL1	chr19	21629142	21629159	-	0.000	0.000	Merged-chr19-21629200-14
NR1093--MA0037.3.GATA3	chr11	32489306	32489313	+	0.000	0.000	Merged-chr11-32489418-40
NR749--MA0766.1.GATA5	chr10	44069230	44069237	-	0.000	0.000	Merged-chr10-44069344-19
NR2589--MA0766.1.GATA5	chr15	72928859	72928866	+	0.000	0.000	Merged-chr15-72929064-48
NR976--MA1104.1.GATA6	chr10	117959504	117959516	+	0.000	0.000	Merged-chr10-117959672-9
NR4859--MA0482.1.Gata4	chr4	95197263	95197273	-	0.000	0.000	Merged-chr4-95197383-10
NR5348--MA1104.1.GATA6	chr5	137425806	137425818	+	0.000	0.000	Merged-chr5-137425710-17
NR5877--MA0140.2.GATA1::TAL1	chr6	146909428	146909445	-	0.000	0.000	Merged-chr6-146909380-33
NR2944--MA0140.2.GATA1::TAL1	chr17	12750898	12750915	+	0.000	0.000	Merged-chr17-12751004-39
NR833--MA0140.2.GATA1::TAL1	chr10	81194175	81194192	-	0.000	0.000	Merged-chr10-81194350-49
NR6644--MA1104.1.GATA6	chr8	128264196	128264208	+	0.000	0.000	Merged-chr8-128264362-5
NR968--MA0037.3.GATA3	chr10	117676230	117676237	-	0.000	0.000	Merged-chr10-117676030-42
NR4546--MA0482.1.Gata4	chr3	130796842	130796852	-	0.000	0.000	Merged-chr3-130796721-21
NR6197--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR2587--MA0482.1.Gata4	chr15	72928856	72928866	-	0.000	0.000	Merged-chr15-72929064-48
NR2029--MA0766.1.GATA5	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR3512--MA0035.3.Gata1	chr19	10816013	10816023	+	0.000	0.000	Merged-chr19-10816124-38
NR4547--MA1104.1.GATA6	chr3	130796842	130796854	+	0.000	0.000	Merged-chr3-130796721-21
NR2201--MA1104.1.GATA6	chr14	27268426	27268438	+	0.000	0.000	Merged-chr14-27268313-23
NR1457--MA0035.3.Gata1	chr12	13512375	13512385	+	0.000	0.000	Merged-chr12-13512538-15
NR1095--MA0766.1.GATA5	chr11	32489306	32489313	+	0.000	0.000	Merged-chr11-32489418-40
NR1721--MA1104.1.GATA6	chr12	117679066	117679078	-	0.000	0.000	Merged-chr12-117679056-43
NR1441--MA0766.1.GATA5	chr11	119352717	119352724	+	0.000	0.000	Merged-chr11-119352857-1
NR2588--MA1104.1.GATA6	chr15	72928856	72928868	+	0.000	0.000	Merged-chr15-72929064-48
NR5925--MA0036.3.GATA2	chr7	19332940	19332950	+	0.000	0.000	Merged-chr7-19332998-44
NR5983--MA0482.1.Gata4	chr7	47113493	47113503	-	0.000	0.000	Merged-chr7-47113657-15
NR5093--MA0482.1.Gata4	chr5	21248921	21248931	+	0.000	0.000	Merged-chr5-21249086-19
NR3549--MA0140.2.GATA1::TAL1	chr19	17385712	17385729	+	0.000	0.000	Merged-chr19-17385602-21
NR2487--MA0140.2.GATA1::TAL1	chr15	8073365	8073382	-	0.000	0.000	Merged-chr15-8073323-37
NR5986--MA0035.3.Gata1	chr7	47113494	47113504	-	0.000	0.000	Merged-chr7-47113657-15
NR4858--MA0037.3.GATA3	chr4	95197266	95197273	+	0.000	0.000	Merged-chr4-95197383-10
NR937--MA0037.3.GATA3	chr10	111583207	111583214	+	0.000	0.000	Merged-chr10-111583294-13
NR5960--MA0140.2.GATA1::TAL1	chr7	30565293	30565310	+	0.000	0.000	Merged-chr7-30565438-16
NR3132--MA0482.1.Gata4	chr17	72904258	72904268	+	0.000	0.000	Merged-chr17-72904124-19
NR3706--MA0036.3.GATA2	chr2	11320205	11320215	-	0.000	0.000	Merged-chr2-11320345-22
NR4861--MA0036.3.GATA2	chr4	95197264	95197274	-	0.000	0.000	Merged-chr4-95197383-10
NR3307--MA0482.1.Gata4	chr18	55107111	55107121	+	0.000	0.000	Merged-chr18-55107186-34
NR4545--MA0037.3.GATA3	chr3	130796845	130796852	+	0.000	0.000	Merged-chr3-130796721-21
NR5301--MA0482.1.Gata4	chr5	120631365	120631375	+	0.000	0.000	Merged-chr5-120631355-14
NR2891--MA0482.1.Gata4	chr16	92443694	92443704	+	0.000	0.000	Merged-chr16-92443749-37
NR5984--MA1104.1.GATA6	chr7	47113493	47113505	+	0.000	0.000	Merged-chr7-47113657-15
NR5094--MA1104.1.GATA6	chr5	21248919	21248931	-	0.000	0.000	Merged-chr5-21249086-19
NR748--MA0036.3.GATA2	chr10	44069229	44069239	+	0.000	0.000	Merged-chr10-44069344-19
NR615--MA0766.1.GATA5	chr1	191391470	191391477	-	0.000	0.000	Merged-chr1-191391579-39
NR791--MA0036.3.GATA2	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR2586--MA0037.3.GATA3	chr15	72928859	72928866	+	0.000	0.000	Merged-chr15-72929064-48
NR5144--MA0482.1.Gata4	chr5	37147598	37147608	+	0.000	0.000	Merged-chr5-37147664-17
NR674--MA0036.3.GATA2	chr10	18892250	18892260	-	0.000	0.000	Merged-chr10-18892324-9
NR3133--MA1104.1.GATA6	chr17	72904256	72904268	-	0.000	0.000	Merged-chr17-72904124-19
NR3308--MA1104.1.GATA6	chr18	55107109	55107121	-	0.000	0.000	Merged-chr18-55107186-34
NR4606--MA0036.3.GATA2	chr3	136611952	136611962	-	0.000	0.000	Merged-chr3-136611929-48
NR2892--MA1104.1.GATA6	chr16	92443692	92443704	-	0.000	0.000	Merged-chr16-92443749-37
NR2701--MA0035.3.Gata1	chr16	11526689	11526699	-	0.000	0.000	Merged-chr16-11526520-43
NR25--MA0482.1.Gata4	chr1	36768926	36768936	+	0.000	0.000	Merged-chr1-36768955-19
NR1245--MA0482.1.Gata4	chr11	87760740	87760750	-	0.000	0.000	Merged-chr11-87760646-1
NR2204--MA0035.3.Gata1	chr14	27268427	27268437	-	0.000	0.000	Merged-chr14-27268313-23
NR5145--MA1104.1.GATA6	chr5	37147596	37147608	-	0.000	0.000	Merged-chr5-37147664-17
NR5092--MA0037.3.GATA3	chr5	21248921	21248928	-	0.000	0.000	Merged-chr5-21249086-19
NR2663--MA0482.1.Gata4	chr15	100750372	100750382	+	0.000	0.000	Merged-chr15-100750259-57
NR616--MA0036.3.GATA2	chr1	191803662	191803672	+	0.000	0.000	Merged-chr1-191803516-12
NR6645--MA0035.3.Gata1	chr8	128264197	128264207	-	0.000	0.000	Merged-chr8-128264362-5
NR7127--MA0482.1.Gata4	chrX	98301582	98301592	+	0.000	0.000	Merged-chrX-98301599-4
NR977--MA0036.3.GATA2	chr10	117959505	117959515	-	0.000	0.000	Merged-chr10-117959672-9
NR1440--MA0036.3.GATA2	chr11	119352715	119352725	-	0.000	0.000	Merged-chr11-119352857-1
NR677--MA0035.3.Gata1	chr10	18892334	18892344	-	0.000	0.000	Merged-chr10-18892324-9
NR3131--MA0037.3.GATA3	chr17	72904258	72904265	-	0.000	0.000	Merged-chr17-72904124-19
NR3306--MA0037.3.GATA3	chr18	55107111	55107118	-	0.000	0.000	Merged-chr18-55107186-34
NR5300--MA0037.3.GATA3	chr5	120631365	120631372	-	0.000	0.000	Merged-chr5-120631355-14
NR2890--MA0037.3.GATA3	chr16	92443694	92443701	-	0.000	0.000	Merged-chr16-92443749-37
NR6759--MA0035.3.Gata1	chr9	62828260	62828270	-	0.000	0.000	Merged-chr9-62828168-1
NR6193--MA0482.1.Gata4	chr7	114616933	114616943	-	0.000	0.000	Merged-chr7-114616980-17
NR3792--MA0035.3.Gata1	chr2	38927189	38927199	-	0.000	0.000	Merged-chr2-38927385-1
NR6953--MA0482.1.Gata4	chr9	96754579	96754589	-	0.000	0.000	Merged-chr9-96754558-43
NR5143--MA0037.3.GATA3	chr5	37147598	37147605	-	0.000	0.000	Merged-chr5-37147664-17
NR746--MA0482.1.Gata4	chr10	44069230	44069240	+	0.000	0.000	Merged-chr10-44069344-19
NR1177--MA0037.3.GATA3	chr11	70228988	70228995	+	0.000	0.000	Merged-chr11-70229187-24
NR938--MA1104.1.GATA6	chr10	111583204	111583216	+	0.000	0.000	Merged-chr10-111583294-13
NR6194--MA1104.1.GATA6	chr7	114616933	114616945	+	0.000	0.000	Merged-chr7-114616980-17
NR5464--MA0036.3.GATA2	chr6	15743687	15743697	+	0.000	0.000	Merged-chr6-15743639-18
NR3689--MA0140.2.GATA1::TAL1	chr2	6353304	6353321	-	0.000	0.000	Merged-chr2-6353338-6
NR2200--MA0037.3.GATA3	chr14	27268429	27268436	+	0.000	0.000	Merged-chr14-27268313-23
NR3511--MA0036.3.GATA2	chr19	10816013	10816023	+	0.000	0.000	Merged-chr19-10816124-38
NR747--MA1104.1.GATA6	chr10	44069228	44069240	-	0.000	0.000	Merged-chr10-44069344-19
NR750--MA0035.3.Gata1	chr10	44069229	44069239	+	0.000	0.000	Merged-chr10-44069344-19
NR2026--MA0482.1.Gata4	chr13	95697072	95697082	+	0.000	0.000	Merged-chr13-95697036-46
NR5302--MA0766.1.GATA5	chr5	120631365	120631372	-	0.000	0.000	Merged-chr5-120631355-14
NR3606--MA0482.1.Gata4	chr19	41339336	41339346	-	0.000	0.000	Merged-chr19-41339315-54
NR5743--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR3609--MA0035.3.Gata1	chr19	41339337	41339347	-	0.000	0.000	Merged-chr19-41339315-54
NR5926--MA0766.1.GATA5	chr7	19332941	19332948	-	0.000	0.000	Merged-chr7-19332998-44
NR2027--MA1104.1.GATA6	chr13	95697070	95697082	-	0.000	0.000	Merged-chr13-95697036-46
NR6192--MA0037.3.GATA3	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR2484--MA0037.3.GATA3	chr15	8073376	8073383	+	0.000	0.000	Merged-chr15-8073323-37
NR5985--MA0036.3.GATA2	chr7	47113494	47113504	-	0.000	0.000	Merged-chr7-47113657-15
NR5095--MA0036.3.GATA2	chr5	21248920	21248930	+	0.000	0.000	Merged-chr5-21249086-19
NR3607--MA1104.1.GATA6	chr19	41339336	41339348	+	0.000	0.000	Merged-chr19-41339315-54
NR4862--MA0766.1.GATA5	chr4	95197266	95197273	+	0.000	0.000	Merged-chr4-95197383-10
NR745--MA0037.3.GATA3	chr10	44069230	44069237	-	0.000	0.000	Merged-chr10-44069344-19
NR1456--MA0482.1.Gata4	chr12	13512376	13512386	+	0.000	0.000	Merged-chr12-13512538-15
NR3134--MA0036.3.GATA2	chr17	72904257	72904267	+	0.000	0.000	Merged-chr17-72904124-19
NR3309--MA0036.3.GATA2	chr18	55107110	55107120	+	0.000	0.000	Merged-chr18-55107186-34
NR5927--MA0035.3.Gata1	chr7	19332940	19332950	+	0.000	0.000	Merged-chr7-19332998-44
NR2893--MA0036.3.GATA2	chr16	92443693	92443703	+	0.000	0.000	Merged-chr16-92443749-37
NR2208--MA1104.1.GATA6	chr14	30249919	30249931	+	0.000	0.000	Merged-chr14-30249773-45
NR1469--MA0766.1.GATA5	chr12	16185623	16185630	-	0.000	0.000	Merged-chr12-16185844-40
NR612--MA0482.1.Gata4	chr1	191391470	191391480	+	0.000	0.000	Merged-chr1-191391579-39
NR5146--MA0036.3.GATA2	chr5	37147597	37147607	+	0.000	0.000	Merged-chr5-37147664-17
NR2025--MA0037.3.GATA3	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR5465--MA0035.3.Gata1	chr6	15743687	15743697	+	0.000	0.000	Merged-chr6-15743639-18
NR1257--MA0482.1.Gata4	chr11	90225057	90225067	+	0.000	0.000	Merged-chr11-90225249-59
NR27--MA0035.3.Gata1	chr1	36768925	36768935	+	0.000	0.000	Merged-chr1-36768955-19
