#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR180--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR1019--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR17--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR1931--MA0508.2.PRDM1	chr7	114082266	114082275	+	0.000	0.000	Merged-chr7-114082253-23
NR286--MA0508.2.PRDM1	chr10	95887923	95887932	-	0.000	0.000	Merged-chr10-95887976-8
NR1891--MA0508.2.PRDM1	chr7	78724766	78724775	+	0.000	0.000	Merged-chr7-78724772-25
NR2015--MA0508.2.PRDM1	chr8	94354661	94354670	+	0.000	0.000	Merged-chr8-94354585-34
NR1918--MA0508.2.PRDM1	chr7	101341586	101341595	+	0.000	0.000	Merged-chr7-101341598-26
NR1974--MA0508.2.PRDM1	chr8	13551173	13551182	-	0.000	0.000	Merged-chr8-13551195-28
NR1626--MA0508.2.PRDM1	chr5	107554483	107554492	+	0.000	0.000	Merged-chr5-107554534-24
NR1225--MA0508.2.PRDM1	chr2	129174625	129174634	+	0.000	0.000	Merged-chr2-129174665-20
NR1443--MA0508.2.PRDM1	chr4	43936373	43936382	+	0.000	0.000	Merged-chr4-43936425-4
NR1390--MA0508.2.PRDM1	chr3	139049065	139049074	+	0.000	0.000	Merged-chr3-139049154-18
NR1456--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR354--MA0508.2.PRDM1	chr11	32582908	32582917	+	0.000	0.000	Merged-chr11-32583029-49
NR1236--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR1629--MA0508.2.PRDM1	chr5	107943139	107943148	+	0.000	0.000	Merged-chr5-107943154-10
NR801--MA0508.2.PRDM1	chr15	80697716	80697725	+	0.000	0.000	Merged-chr15-80697819-49
NR923--MA0508.2.PRDM1	chr17	28407662	28407671	+	0.000	0.000	Merged-chr17-28407635-51
NR1589--MA0508.2.PRDM1	chr5	65832406	65832415	-	0.000	0.000	Merged-chr5-65832305-23
NR230--MA0508.2.PRDM1	chr10	44368651	44368660	-	0.000	0.000	Merged-chr10-44368737-26
NR495--MA0508.2.PRDM1	chr12	99557547	99557556	-	0.000	0.000	Merged-chr12-99557572-3
NR336--MA0508.2.PRDM1	chr11	11498034	11498043	+	0.000	0.000	Merged-chr11-11498094-24
NR1641--MA0508.2.PRDM1	chr5	115488926	115488935	-	0.000	0.000	Merged-chr5-115489040-3
NR429--MA0508.2.PRDM1	chr11	109744019	109744028	+	0.000	0.000	Merged-chr11-109744155-21
NR1503--MA0508.2.PRDM1	chr4	129525617	129525626	-	0.000	0.000	Merged-chr4-129525565-21
NR81--MA0508.2.PRDM1	chr1	132341854	132341863	-	0.000	0.000	Merged-chr1-132341932-46
NR1965--MA0508.2.PRDM1	chr7	139295966	139295975	-	0.000	0.000	Merged-chr7-139295944-32
NR2036--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR924--MA0508.2.PRDM1	chr17	29606460	29606469	-	0.000	0.000	Merged-chr17-29606605-11
NR1381--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR871--MA0508.2.PRDM1	chr16	52470507	52470516	+	0.000	0.000	Merged-chr16-52470408-42
NR720--MA0508.2.PRDM1	chr14	71120489	71120498	+	0.000	0.000	Merged-chr14-71120653-22
NR1636--MA0508.2.PRDM1	chr5	113824380	113824389	+	0.000	0.000	Merged-chr5-113824477-15
