#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR7665--MA0495.2.MAFF	chr2	44953119	44953139	-	0.000	0.000	Merged-chr2-44953031-31
NR6586--MA0659.1.MAFG	chr17	86063692	86063712	+	0.000	0.000	Merged-chr17-86063661-27
NR2922--MA0089.1.MAFG::NFE2L1	chr12	28829700	28829705	-	0.000	0.000	Merged-chr12-28829718-31
NR225--MA0495.2.MAFF	chr1	55430720	55430740	+	0.000	0.000	Merged-chr1-55430665-40
NR5778--MA0501.1.MAF::NFE2	chr16	51878449	51878463	+	0.000	0.000	Merged-chr16-51878445-21
NR10931--MA0089.1.MAFG::NFE2L1	chr5	64336882	64336887	-	0.000	0.000	Merged-chr5-64336866-17
NR9939--MA0495.2.MAFF	chr4	57295321	57295341	+	0.000	0.000	Merged-chr4-57295265-18
NR11005--MA0089.1.MAFG::NFE2L1	chr5	86673094	86673099	-	0.000	0.000	Merged-chr5-86673072-6
NR9851--MA0117.2.Mafb	chr4	35224175	35224186	-	0.000	0.000	Merged-chr4-35224278-27
NR8544--MA0501.1.MAF::NFE2	chr2	158771238	158771252	-	0.000	0.000	Merged-chr2-158771297-12
NR13937--MA0591.1.Bach1::Mafk	chr8	115826708	115826722	-	0.000	0.000	Merged-chr8-115826691-38
NR1411--MA0501.1.MAF::NFE2	chr10	25140546	25140560	-	0.000	0.000	Merged-chr10-25140477-16
NR8722--MA0089.1.MAFG::NFE2L1	chr2	177398305	177398310	+	0.000	0.000	Merged-chr2-177398378-54
NR13932--MA0089.1.MAFG::NFE2L1	chr8	115568588	115568593	+	0.000	0.000	Merged-chr8-115568627-19
NR486--MA0591.1.Bach1::Mafk	chr1	91909100	91909114	+	0.000	0.000	Merged-chr1-91909100-9
NR5588--MA0496.2.MAFK	chr16	24391326	24391344	+	0.000	0.000	Merged-chr16-24391314-24
NR11962--MA0591.1.Bach1::Mafk	chr6	91713042	91713056	-	0.000	0.000	Merged-chr6-91712946-25
NR14193--MA0495.2.MAFF	chr9	34996151	34996171	+	0.000	0.000	Merged-chr9-34996088-18
NR680--MA0591.1.Bach1::Mafk	chr1	127345063	127345077	+	0.000	0.000	Merged-chr1-127345077-51
NR12445--MA0659.1.MAFG	chr6	143132507	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR9720--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR109--MA0495.2.MAFF	chr1	33454541	33454561	-	0.000	0.000	Merged-chr1-33454547-11
NR7794--MA0089.1.MAFG::NFE2L1	chr2	62526370	62526375	+	0.000	0.000	Merged-chr2-62526559-11
NR8786--MA0591.1.Bach1::Mafk	chr3	9566978	9566992	-	0.000	0.000	Merged-chr3-9567055-14
NR5015--MA0591.1.Bach1::Mafk	chr14	123001625	123001639	-	0.000	0.000	Merged-chr14-123001594-21
NR1577--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR13078--MA0089.1.MAFG::NFE2L1	chr7	113197602	113197607	+	0.000	0.000	Merged-chr7-113197463-17
NR6098--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR14871--MA0659.1.MAFG	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR14719--MA0659.1.MAFG	chr9	116319684	116319704	-	0.000	0.000	Merged-chr9-116319642-35
NR5976--MA0501.1.MAF::NFE2	chr16	87725009	87725023	-	0.000	0.000	Merged-chr16-87725101-16
NR6561--MA0089.1.MAFG::NFE2L1	chr17	80772610	80772615	+	0.000	0.000	Merged-chr17-80772766-52
NR10071--MA0495.2.MAFF	chr4	88110178	88110198	+	0.000	0.000	Merged-chr4-88110065-14
NR1578--MA0496.2.MAFK	chr10	58383471	58383489	+	0.000	0.000	Merged-chr10-58383440-43
NR3684--MA0591.1.Bach1::Mafk	chr13	36203202	36203216	-	0.000	0.000	Merged-chr13-36203222-10
NR14895--MA0501.1.MAF::NFE2	chrX	71468813	71468827	-	0.000	0.000	Merged-chrX-71468864-48
NR1772--MA0501.1.MAF::NFE2	chr10	84896037	84896051	+	0.000	0.000	Merged-chr10-84895953-22
NR496--MA0659.1.MAFG	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR3082--MA0089.1.MAFG::NFE2L1	chr12	69501882	69501887	+	0.000	0.000	Merged-chr12-69501974-43
NR1601--MA0495.2.MAFF	chr10	60162722	60162742	+	0.000	0.000	Merged-chr10-60162645-38
NR6487--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR5865--MA0501.1.MAF::NFE2	chr16	65351168	65351182	+	0.000	0.000	Merged-chr16-65351191-13
NR13352--MA0089.1.MAFG::NFE2L1	chr7	143625360	143625365	+	0.000	0.000	Merged-chr7-143625204-46
NR3963--MA0591.1.Bach1::Mafk	chr13	81351670	81351684	-	0.000	0.000	Merged-chr13-81351650-43
NR469--MA0117.2.Mafb	chr1	91024084	91024095	+	0.000	0.000	Merged-chr1-91024136-16
NR10971--MA0495.2.MAFF	chr5	72250363	72250383	+	0.000	0.000	Merged-chr5-72250347-10
NR3499--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR8698--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR10740--MA0089.1.MAFG::NFE2L1	chr5	25092782	25092787	-	0.000	0.000	Merged-chr5-25092896-11
NR13254--MA0591.1.Bach1::Mafk	chr7	133740765	133740779	+	0.000	0.000	Merged-chr7-133740776-40
NR13685--MA0501.1.MAF::NFE2	chr8	79150699	79150713	+	0.000	0.000	Merged-chr8-79150775-36
NR5083--MA0591.1.Bach1::Mafk	chr15	28081379	28081393	+	0.000	0.000	Merged-chr15-28081319-36
NR14583--MA0089.1.MAFG::NFE2L1	chr9	101249721	101249726	+	0.000	0.000	Merged-chr9-101249791-43
NR7590--MA0089.1.MAFG::NFE2L1	chr2	31043062	31043067	-	0.000	0.000	Merged-chr2-31043017-22
NR3652--MA0501.1.MAF::NFE2	chr13	29805496	29805510	-	0.000	0.000	Merged-chr13-29805422-4
NR14104--MA0089.1.MAFG::NFE2L1	chr9	11347509	11347514	-	0.000	0.000	Merged-chr9-11347539-5
NR8587--MA0501.1.MAF::NFE2	chr2	163132451	163132465	-	0.000	0.000	Merged-chr2-163132473-10
NR13250--MA0089.1.MAFG::NFE2L1	chr7	133159670	133159675	+	0.000	0.000	Merged-chr7-133159703-12
NR3717--MA0501.1.MAF::NFE2	chr13	41671422	41671436	-	0.000	0.000	Merged-chr13-41671517-12
NR8748--MA0501.1.MAF::NFE2	chr2	179966558	179966572	-	0.000	0.000	Merged-chr2-179966777-32
NR10073--MA0117.2.Mafb	chr4	88110187	88110198	-	0.000	0.000	Merged-chr4-88110065-14
NR1365--MA0591.1.Bach1::Mafk	chr10	18993155	18993169	-	0.000	0.000	Merged-chr10-18993192-15
NR2618--MA0501.1.MAF::NFE2	chr11	90512646	90512660	-	0.000	0.000	Merged-chr11-90512841-45
NR6119--MA0496.2.MAFK	chr17	5126120	5126138	-	0.000	0.000	Merged-chr17-5126157-22
NR12471--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR8808--MA0591.1.Bach1::Mafk	chr3	18243870	18243884	+	0.000	0.000	Merged-chr3-18243680-52
NR12132--MA0089.1.MAFG::NFE2L1	chr6	115838465	115838470	+	0.000	0.000	Merged-chr6-115838478-31
NR361--MA0591.1.Bach1::Mafk	chr1	78644144	78644158	-	0.000	0.000	Merged-chr1-78644356-22
NR6278--MA0501.1.MAF::NFE2	chr17	32023267	32023281	-	0.000	0.000	Merged-chr17-32023327-13
NR5620--MA0496.2.MAFK	chr16	30676265	30676283	-	0.000	0.000	Merged-chr16-30676152-12
NR3212--MA0496.2.MAFK	chr12	91604328	91604346	+	0.000	0.000	Merged-chr12-91604478-1
NR7473--MA0496.2.MAFK	chr2	9536068	9536086	+	0.000	0.000	Merged-chr2-9536121-12
NR1395--MA0501.1.MAF::NFE2	chr10	21659615	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR3105--MA0089.1.MAFG::NFE2L1	chr12	72748632	72748637	-	0.000	0.000	Merged-chr12-72748579-13
NR10954--MA0501.1.MAF::NFE2	chr5	67300127	67300141	-	0.000	0.000	Merged-chr5-67300252-37
NR13363--MA0089.1.MAFG::NFE2L1	chr8	3467455	3467460	-	0.000	0.000	Merged-chr8-3467584-41
NR7790--MA0089.1.MAFG::NFE2L1	chr2	61474866	61474871	+	0.000	0.000	Merged-chr2-61474781-19
NR9443--MA0495.2.MAFF	chr3	126570830	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR832--MA0117.2.Mafb	chr1	151465705	151465716	-	0.000	0.000	Merged-chr1-151465762-7
NR14200--MA0117.2.Mafb	chr9	35007258	35007269	-	0.000	0.000	Merged-chr9-35007274-11
NR1066--MA0117.2.Mafb	chr1	179169976	179169987	-	0.000	0.000	Merged-chr1-179169843-56
NR1774--MA0591.1.Bach1::Mafk	chr10	85050870	85050884	+	0.000	0.000	Merged-chr10-85050856-11
NR11795--MA0089.1.MAFG::NFE2L1	chr6	65538420	65538425	+	0.000	0.000	Merged-chr6-65538516-95
NR7012--MA0496.2.MAFK	chr18	75304850	75304868	+	0.000	0.000	Merged-chr18-75304696-39
NR11367--MA0496.2.MAFK	chr5	136550857	136550875	+	0.000	0.000	Merged-chr5-136550897-14
NR11293--MA0117.2.Mafb	chr5	121032268	121032279	+	0.000	0.000	Merged-chr5-121032341-9
NR11152--MA0496.2.MAFK	chr5	103367069	103367087	-	0.000	0.000	Merged-chr5-103367276-46
NR478--MA0089.1.MAFG::NFE2L1	chr1	91626322	91626327	+	0.000	0.000	Merged-chr1-91626193-21
NR9445--MA0659.1.MAFG	chr3	126570830	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR3118--MA0089.1.MAFG::NFE2L1	chr12	75494801	75494806	+	0.000	0.000	Merged-chr12-75494766-18
NR855--MA0591.1.Bach1::Mafk	chr1	153847744	153847758	+	0.000	0.000	Merged-chr1-153847735-8
NR450--MA0089.1.MAFG::NFE2L1	chr1	89092903	89092908	-	0.000	0.000	Merged-chr1-89092949-17
NR506--MA0501.1.MAF::NFE2	chr1	92799877	92799891	-	0.000	0.000	Merged-chr1-92799887-22
NR1390--MA0591.1.Bach1::Mafk	chr10	21553352	21553366	+	0.000	0.000	Merged-chr10-21553167-27
NR9107--MA0089.1.MAFG::NFE2L1	chr3	84667382	84667387	-	0.000	0.000	Merged-chr3-84667466-30
NR10431--MA0591.1.Bach1::Mafk	chr4	136031451	136031465	+	0.000	0.000	Merged-chr4-136031447-41
NR289--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR5554--MA0089.1.MAFG::NFE2L1	chr16	22607185	22607190	-	0.000	0.000	Merged-chr16-22607261-13
NR13332--MA0496.2.MAFK	chr7	141167989	141168007	+	0.000	0.000	Merged-chr7-141167957-1
NR3708--MA0501.1.MAF::NFE2	chr13	38038016	38038030	-	0.000	0.000	Merged-chr13-38038059-24
NR942--MA0496.2.MAFK	chr1	162773893	162773911	-	0.000	0.000	Merged-chr1-162773825-31
NR14874--MA0496.2.MAFK	chrX	53607940	53607958	-	0.000	0.000	Merged-chrX-53607978-28
NR11623--MA0591.1.Bach1::Mafk	chr6	30132172	30132186	+	0.000	0.000	Merged-chr6-30131999-11
NR13912--MA0659.1.MAFG	chr8	111624157	111624177	-	0.000	0.000	Merged-chr8-111624206-14
NR426--MA0591.1.Bach1::Mafk	chr1	85250860	85250874	-	0.000	0.000	Merged-chr1-85250842-29
NR12723--MA0501.1.MAF::NFE2	chr7	51964855	51964869	+	0.000	0.000	Merged-chr7-51964767-12
NR172--MA0496.2.MAFK	chr1	43139747	43139765	+	0.000	0.000	Merged-chr1-43139813-33
NR11624--MA0501.1.MAF::NFE2	chr6	30132169	30132183	-	0.000	0.000	Merged-chr6-30131999-11
NR6193--MA0591.1.Bach1::Mafk	chr17	18462876	18462890	-	0.000	0.000	Merged-chr17-18462916-14
NR980--MA0117.2.Mafb	chr1	167296085	167296096	+	0.000	0.000	Merged-chr1-167296095-13
NR6943--MA0591.1.Bach1::Mafk	chr18	67301726	67301740	+	0.000	0.000	Merged-chr18-67301646-31
NR7726--MA0089.1.MAFG::NFE2L1	chr2	52891300	52891305	-	0.000	0.000	Merged-chr2-52891472-34
NR499--MA0496.2.MAFK	chr1	92119342	92119360	+	0.000	0.000	Merged-chr1-92119439-48
NR1824--MA0089.1.MAFG::NFE2L1	chr10	89487168	89487173	+	0.000	0.000	Merged-chr10-89487316-19
NR14308--MA0117.2.Mafb	chr9	52356768	52356779	+	0.000	0.000	Merged-chr9-52356728-32
NR7813--MA0089.1.MAFG::NFE2L1	chr2	65422048	65422053	+	0.000	0.000	Merged-chr2-65422005-11
NR7604--MA0495.2.MAFF	chr2	32181554	32181574	+	0.000	0.000	Merged-chr2-32181600-13
NR7322--MA0089.1.MAFG::NFE2L1	chr19	36364984	36364989	-	0.000	0.000	Merged-chr19-36364955-22
NR13952--MA0089.1.MAFG::NFE2L1	chr8	117395282	117395287	-	0.000	0.000	Merged-chr8-117395323-13
NR3831--MA0495.2.MAFF	chr13	58206782	58206802	+	0.000	0.000	Merged-chr13-58206802-1
NR3203--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR11195--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR3023--MA0591.1.Bach1::Mafk	chr12	52644365	52644379	+	0.000	0.000	Merged-chr12-52644289-23
NR6608--MA0089.1.MAFG::NFE2L1	chr17	88511407	88511412	-	0.000	0.000	Merged-chr17-88511397-31
NR2965--MA0495.2.MAFF	chr12	36474437	36474457	-	0.000	0.000	Merged-chr12-36474390-19
NR5263--MA0089.1.MAFG::NFE2L1	chr15	65810926	65810931	-	0.000	0.000	Merged-chr15-65810890-18
NR7248--MA0089.1.MAFG::NFE2L1	chr19	21547767	21547772	+	0.000	0.000	Merged-chr19-21547622-17
NR14494--MA0501.1.MAF::NFE2	chr9	86373334	86373348	+	0.000	0.000	Merged-chr9-86373415-51
NR3129--MA0089.1.MAFG::NFE2L1	chr12	76950450	76950455	+	0.000	0.000	Merged-chr12-76950525-26
NR14114--MA0495.2.MAFF	chr9	14248437	14248457	-	0.000	0.000	Merged-chr9-14248366-20
NR8806--MA0495.2.MAFF	chr3	18243867	18243887	-	0.000	0.000	Merged-chr3-18243680-52
NR9409--MA0501.1.MAF::NFE2	chr3	121874818	121874832	+	0.000	0.000	Merged-chr3-121874730-10
NR494--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	+	0.000	0.000	Merged-chr1-92119439-48
NR2003--MA0591.1.Bach1::Mafk	chr10	118172625	118172639	+	0.000	0.000	Merged-chr10-118172658-46
NR10070--MA0591.1.Bach1::Mafk	chr4	86750829	86750843	-	0.000	0.000	Merged-chr4-86750730-34
NR1648--MA0089.1.MAFG::NFE2L1	chr10	67891428	67891433	-	0.000	0.000	Merged-chr10-67891340-18
NR11733--MA0591.1.Bach1::Mafk	chr6	54107480	54107494	-	0.000	0.000	Merged-chr6-54107486-10
NR13561--MA0089.1.MAFG::NFE2L1	chr8	64935230	64935235	+	0.000	0.000	Merged-chr8-64935114-22
NR14897--MA0496.2.MAFK	chrX	71468814	71468832	-	0.000	0.000	Merged-chrX-71468864-48
NR3562--MA0591.1.Bach1::Mafk	chr13	9882506	9882520	+	0.000	0.000	Merged-chr13-9882509-19
NR6808--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR730--MA0591.1.Bach1::Mafk	chr1	133146151	133146165	-	0.000	0.000	Merged-chr1-133146237-29
NR4805--MA0495.2.MAFF	chr14	86239027	86239047	+	0.000	0.000	Merged-chr14-86238911-3
NR9103--MA0089.1.MAFG::NFE2L1	chr3	84395281	84395286	-	0.000	0.000	Merged-chr3-84395228-27
NR424--MA0495.2.MAFF	chr1	85250857	85250877	+	0.000	0.000	Merged-chr1-85250842-29
NR4046--MA0591.1.Bach1::Mafk	chr13	96487438	96487452	-	0.000	0.000	Merged-chr13-96487488-44
NR4047--MA0501.1.MAF::NFE2	chr13	96487435	96487449	-	0.000	0.000	Merged-chr13-96487488-44
NR9477--MA0117.2.Mafb	chr3	130832127	130832138	-	0.000	0.000	Merged-chr3-130832005-7
NR1658--MA0117.2.Mafb	chr10	71362053	71362064	+	0.000	0.000	Merged-chr10-71362071-33
NR11325--MA0089.1.MAFG::NFE2L1	chr5	130088240	130088245	-	0.000	0.000	Merged-chr5-130088239-22
NR12818--MA0591.1.Bach1::Mafk	chr7	75118135	75118149	-	0.000	0.000	Merged-chr7-75118252-11
NR4807--MA0659.1.MAFG	chr14	86239027	86239047	+	0.000	0.000	Merged-chr14-86238911-3
NR6673--MA0117.2.Mafb	chr18	12876634	12876645	+	0.000	0.000	Merged-chr18-12876665-8
NR1357--MA0089.1.MAFG::NFE2L1	chr10	17296505	17296510	-	0.000	0.000	Merged-chr10-17296409-9
NR4432--MA0089.1.MAFG::NFE2L1	chr14	27390787	27390792	-	0.000	0.000	Merged-chr14-27390836-41
NR5317--MA0496.2.MAFK	chr15	76908068	76908086	+	0.000	0.000	Merged-chr15-76908278-27
NR6417--MA0089.1.MAFG::NFE2L1	chr17	55976400	55976405	+	0.000	0.000	Merged-chr17-55976480-32
NR1676--MA0117.2.Mafb	chr10	75222782	75222793	+	0.000	0.000	Merged-chr10-75222686-51
NR1068--MA0089.1.MAFG::NFE2L1	chr1	179578778	179578783	-	0.000	0.000	Merged-chr1-179578897-31
NR2312--MA0495.2.MAFF	chr11	43362487	43362507	-	0.000	0.000	Merged-chr11-43362318-2
NR11717--MA0501.1.MAF::NFE2	chr6	52825699	52825713	+	0.000	0.000	Merged-chr6-52825813-18
NR3263--MA0591.1.Bach1::Mafk	chr12	98470495	98470509	+	0.000	0.000	Merged-chr12-98470416-8
NR5904--MA0495.2.MAFF	chr16	75903184	75903204	+	0.000	0.000	Merged-chr16-75903251-33
NR14472--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR6089--MA0496.2.MAFK	chr16	96358153	96358171	+	0.000	0.000	Merged-chr16-96358039-35
NR8947--MA0117.2.Mafb	chr3	54592452	54592463	+	0.000	0.000	Merged-chr3-54592638-50
NR12948--MA0591.1.Bach1::Mafk	chr7	97041455	97041469	-	0.000	0.000	Merged-chr7-97041400-3
NR6013--MA0089.1.MAFG::NFE2L1	chr16	91413521	91413526	+	0.000	0.000	Merged-chr16-91413429-37
NR1671--MA0501.1.MAF::NFE2	chr10	74925393	74925407	+	0.000	0.000	Merged-chr10-74925508-12
NR14137--MA0089.1.MAFG::NFE2L1	chr9	20765514	20765519	+	0.000	0.000	Merged-chr9-20765445-35
NR3305--MA0591.1.Bach1::Mafk	chr12	102652298	102652312	+	0.000	0.000	Merged-chr12-102652464-144
NR4445--MA0089.1.MAFG::NFE2L1	chr14	30153151	30153156	+	0.000	0.000	Merged-chr14-30153038-10
NR14600--MA0659.1.MAFG	chr9	102587546	102587566	-	0.000	0.000	Merged-chr9-102587549-11
NR3301--MA0659.1.MAFG	chr12	102588572	102588592	-	0.000	0.000	Merged-chr12-102588735-27
NR5133--MA0591.1.Bach1::Mafk	chr15	41612395	41612409	+	0.000	0.000	Merged-chr15-41612397-47
NR7768--MA0659.1.MAFG	chr2	59338605	59338625	+	0.000	0.000	Merged-chr2-59338660-28
NR5777--MA0591.1.Bach1::Mafk	chr16	51878446	51878460	+	0.000	0.000	Merged-chr16-51878445-21
NR12082--MA0496.2.MAFK	chr6	108895317	108895335	-	0.000	0.000	Merged-chr6-108895381-27
NR13498--MA0089.1.MAFG::NFE2L1	chr8	36993537	36993542	+	0.000	0.000	Merged-chr8-36993607-79
NR12078--MA0089.1.MAFG::NFE2L1	chr6	108895319	108895324	-	0.000	0.000	Merged-chr6-108895381-27
NR6881--MA0089.1.MAFG::NFE2L1	chr18	60715011	60715016	+	0.000	0.000	Merged-chr18-60715083-31
NR12830--MA0089.1.MAFG::NFE2L1	chr7	75634281	75634286	+	0.000	0.000	Merged-chr7-75634334-7
NR1415--MA0591.1.Bach1::Mafk	chr10	25457377	25457391	-	0.000	0.000	Merged-chr10-25457296-47
NR1301--MA0501.1.MAF::NFE2	chr10	7826314	7826328	-	0.000	0.000	Merged-chr10-7826287-40
NR8966--MA0089.1.MAFG::NFE2L1	chr3	58583003	58583008	-	0.000	0.000	Merged-chr3-58583098-16
NR13325--MA0501.1.MAF::NFE2	chr7	140329874	140329888	-	0.000	0.000	Merged-chr7-140329792-16
NR2197--MA0089.1.MAFG::NFE2L1	chr11	11546007	11546012	+	0.000	0.000	Merged-chr11-11546059-6
NR7770--MA0496.2.MAFK	chr2	59338606	59338624	+	0.000	0.000	Merged-chr2-59338660-28
NR10906--MA0495.2.MAFF	chr5	58084183	58084203	-	0.000	0.000	Merged-chr5-58084122-29
NR12756--MA0117.2.Mafb	chr7	58500903	58500914	+	0.000	0.000	Merged-chr7-58501010-19
NR11552--MA0496.2.MAFK	chr6	15726620	15726638	+	0.000	0.000	Merged-chr6-15726718-35
NR470--MA0089.1.MAFG::NFE2L1	chr1	91024146	91024151	+	0.000	0.000	Merged-chr1-91024136-16
NR9397--MA0117.2.Mafb	chr3	121105070	121105081	-	0.000	0.000	Merged-chr3-121105161-35
NR10709--MA0089.1.MAFG::NFE2L1	chr5	20845378	20845383	+	0.000	0.000	Merged-chr5-20845245-18
NR10480--MA0496.2.MAFK	chr4	144916722	144916740	-	0.000	0.000	Merged-chr4-144916675-7
NR5689--MA0089.1.MAFG::NFE2L1	chr16	38017281	38017286	-	0.000	0.000	Merged-chr16-38017190-20
NR3075--MA0496.2.MAFK	chr12	69402917	69402935	-	0.000	0.000	Merged-chr12-69402921-11
NR3110--MA0089.1.MAFG::NFE2L1	chr12	73648002	73648007	+	0.000	0.000	Merged-chr12-73647879-51
NR3020--MA0501.1.MAF::NFE2	chr12	52382984	52382998	-	0.000	0.000	Merged-chr12-52383146-23
NR9311--MA0501.1.MAF::NFE2	chr3	108767543	108767557	-	0.000	0.000	Merged-chr3-108767545-22
NR11349--MA0089.1.MAFG::NFE2L1	chr5	134282694	134282699	+	0.000	0.000	Merged-chr5-134282688-60
NR10305--MA0089.1.MAFG::NFE2L1	chr4	119872589	119872594	+	0.000	0.000	Merged-chr4-119872530-6
NR10482--MA0591.1.Bach1::Mafk	chr4	144996074	144996088	-	0.000	0.000	Merged-chr4-144996009-47
NR7444--MA0089.1.MAFG::NFE2L1	chr19	58850844	58850849	+	0.000	0.000	Merged-chr19-58850860-26
NR12698--MA0501.1.MAF::NFE2	chr7	49335179	49335193	+	0.000	0.000	Merged-chr7-49335315-27
NR483--MA0089.1.MAFG::NFE2L1	chr1	91909076	91909081	+	0.000	0.000	Merged-chr1-91909100-9
NR4745--MA0659.1.MAFG	chr14	73472443	73472463	-	0.000	0.000	Merged-chr14-73472602-8
NR1438--MA0591.1.Bach1::Mafk	chr10	30329068	30329082	-	0.000	0.000	Merged-chr10-30328899-1
NR13782--MA0501.1.MAF::NFE2	chr8	91545802	91545816	-	0.000	0.000	Merged-chr8-91545805-43
NR219--MA0089.1.MAFG::NFE2L1	chr1	54492655	54492660	-	0.000	0.000	Merged-chr1-54492864-67
NR3829--MA0089.1.MAFG::NFE2L1	chr13	58012224	58012229	-	0.000	0.000	Merged-chr13-58012302-19
NR6994--MA0591.1.Bach1::Mafk	chr18	73643376	73643390	-	0.000	0.000	Merged-chr18-73643262-33
NR492--MA0495.2.MAFF	chr1	92119341	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR13781--MA0591.1.Bach1::Mafk	chr8	91545805	91545819	-	0.000	0.000	Merged-chr8-91545805-43
NR7549--MA0117.2.Mafb	chr2	19634169	19634180	-	0.000	0.000	Merged-chr2-19634112-21
NR11649--MA0501.1.MAF::NFE2	chr6	33004675	33004689	+	0.000	0.000	Merged-chr6-33004502-19
NR9722--MA0496.2.MAFK	chr3	157884229	157884247	+	0.000	0.000	Merged-chr3-157884103-23
NR14414--MA0591.1.Bach1::Mafk	chr9	77954691	77954705	-	0.000	0.000	Merged-chr9-77954587-30
NR6715--MA0089.1.MAFG::NFE2L1	chr18	23845166	23845171	+	0.000	0.000	Merged-chr18-23845063-50
NR13501--MA0591.1.Bach1::Mafk	chr8	39045551	39045565	-	0.000	0.000	Merged-chr8-39045547-88
NR12478--MA0089.1.MAFG::NFE2L1	chr6	144804582	144804587	-	0.000	0.000	Merged-chr6-144804553-29
NR14415--MA0501.1.MAF::NFE2	chr9	77954688	77954702	-	0.000	0.000	Merged-chr9-77954587-30
NR1742--MA0089.1.MAFG::NFE2L1	chr10	80999949	80999954	-	0.000	0.000	Merged-chr10-81000017-24
NR11228--MA0117.2.Mafb	chr5	111057263	111057274	+	0.000	0.000	Merged-chr5-111057385-10
