#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR1038--MA0690.1.TBX21	chr2	72365494	72365503	-	0.000	0.000	Merged-chr2-72365558-19
NR36--MA0690.1.TBX21	chr1	60758326	60758335	-	0.000	0.000	Merged-chr1-60758375-49
NR1190--MA0690.1.TBX21	chr3	100442894	100442903	-	0.000	0.000	Merged-chr3-100442814-47
NR680--MA0690.1.TBX21	chr15	78564067	78564076	+	0.000	0.000	Merged-chr15-78564204-56
NR1907--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR964--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
NR15--MA0690.1.TBX21	chr1	40386303	40386312	-	0.000	0.000	Merged-chr1-40386352-39
NR311--MA0690.1.TBX21	chr11	72320863	72320872	-	0.000	0.000	Merged-chr11-72321004-18
NR1105--MA0690.1.TBX21	chr2	163426683	163426692	-	0.000	0.000	Merged-chr2-163426594-15
NR576--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR847--MA0690.1.TBX21	chr18	14494338	14494347	+	0.000	0.000	Merged-chr18-14494264-19
NR1195--MA0690.1.TBX21	chr3	104780691	104780700	-	0.000	0.000	Merged-chr3-104780834-109
NR704--MA0690.1.TBX21	chr16	23308242	23308251	-	0.000	0.000	Merged-chr16-23308226-35
NR1989--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR685--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR1099--MA0690.1.TBX21	chr2	158163256	158163265	+	0.000	0.000	Merged-chr2-158163220-8
NR271--MA0690.1.TBX21	chr10	127141095	127141104	-	0.000	0.000	Merged-chr10-127141144-2
NR1479--MA0690.1.TBX21	chr5	121185098	121185107	-	0.000	0.000	Merged-chr5-121185063-20
NR1607--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR303--MA0690.1.TBX21	chr11	53845824	53845833	-	0.000	0.000	Merged-chr11-53845784-30
NR826--MA0690.1.TBX21	chr17	84166760	84166769	+	0.000	0.000	Merged-chr17-84166652-22
NR1174--MA0690.1.TBX21	chr3	83997181	83997190	+	0.000	0.000	Merged-chr3-83997240-19
NR63--MA0690.1.TBX21	chr1	91093466	91093475	+	0.000	0.000	Merged-chr1-91093429-45
NR1206--MA0690.1.TBX21	chr3	116856113	116856122	+	0.000	0.000	Merged-chr3-116855977-19
NR630--MA0690.1.TBX21	chr14	122290544	122290553	+	0.000	0.000	Merged-chr14-122290582-19
NR1567--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR1023--MA0690.1.TBX21	chr2	60866173	60866182	+	0.000	0.000	Merged-chr2-60866104-15
NR861--MA0690.1.TBX21	chr18	39282325	39282334	+	0.000	0.000	Merged-chr18-39282313-47
NR1275--MA0690.1.TBX21	chr4	32127001	32127010	+	0.000	0.000	Merged-chr4-32126903-56
NR146--MA0690.1.TBX21	chr1	180926472	180926481	+	0.000	0.000	Merged-chr1-180926479-29
NR526--MA0690.1.TBX21	chr13	109843080	109843089	-	0.000	0.000	Merged-chr13-109843139-39
NR377--MA0690.1.TBX21	chr12	69537887	69537896	+	0.000	0.000	Merged-chr12-69537994-76
NR1267--MA0690.1.TBX21	chr4	8837761	8837770	+	0.000	0.000	Merged-chr4-8837800-54
NR409--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR2053--MA0690.1.TBX21	chrX	163995481	163995490	-	0.000	0.000	Merged-chrX-163995389-32
NR117--MA0690.1.TBX21	chr1	153583251	153583260	+	0.000	0.000	Merged-chr1-153583385-34
NR574--MA0690.1.TBX21	chr14	54061509	54061518	-	0.000	0.000	Merged-chr14-54061633-25
NR226--MA0690.1.TBX21	chr10	68199642	68199651	-	0.000	0.000	Merged-chr10-68199721-19
NR109--MA0690.1.TBX21	chr1	143319642	143319651	-	0.000	0.000	Merged-chr1-143319719-34
NR2011--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1850--MA0690.1.TBX21	chr8	48425274	48425283	+	0.000	0.000	Merged-chr8-48425330-34
NR149--MA0690.1.TBX21	chr1	184534648	184534657	+	0.000	0.000	Merged-chr1-184534660-49
NR258--MA0690.1.TBX21	chr10	118884243	118884252	+	0.000	0.000	Merged-chr10-118884259-20
NR1863--MA0690.1.TBX21	chr8	68218580	68218589	+	0.000	0.000	Merged-chr8-68218689-19
NR115--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
NR508--MA0690.1.TBX21	chr13	100790366	100790375	-	0.000	0.000	Merged-chr13-100790409-21
NR2043--MA0690.1.TBX21	chrX	134804501	134804510	-	0.000	0.000	Merged-chrX-134804510-14
NR107--MA0690.1.TBX21	chr1	138590549	138590558	+	0.000	0.000	Merged-chr1-138590602-27
NR1202--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1956--MA0690.1.TBX21	chr9	69362312	69362321	+	0.000	0.000	Merged-chr9-69362247-25
NR1608--MA0690.1.TBX21	chr6	108535470	108535479	-	0.000	0.000	Merged-chr6-108535473-34
NR189--MA0690.1.TBX21	chr10	30716209	30716218	+	0.000	0.000	Merged-chr10-30716378-49
NR1404--MA0690.1.TBX21	chr5	35176289	35176298	-	0.000	0.000	Merged-chr5-35176446-65
NR1927--MA0690.1.TBX21	chr9	13652051	13652060	+	0.000	0.000	Merged-chr9-13652196-20
NR2019--MA0690.1.TBX21	chr9	120023319	120023328	-	0.000	0.000	Merged-chr9-120023283-16
NR1765--MA0690.1.TBX21	chr7	118276812	118276821	+	0.000	0.000	Merged-chr7-118276887-4
NR1622--MA0690.1.TBX21	chr6	119199052	119199061	+	0.000	0.000	Merged-chr6-119199024-52
NR1112--MA0690.1.TBX21	chr2	170307092	170307101	+	0.000	0.000	Merged-chr2-170306902-1
NR1906--MA0690.1.TBX21	chr8	120489332	120489341	+	0.000	0.000	Merged-chr8-120489155-2
NR963--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR14--MA0690.1.TBX21	chr1	40382857	40382866	+	0.000	0.000	Merged-chr1-40383046-56
NR820--MA0690.1.TBX21	chr17	71288394	71288403	-	0.000	0.000	Merged-chr17-71288308-17
NR1595--MA0690.1.TBX21	chr6	99435233	99435242	-	0.000	0.000	Merged-chr6-99435291-39
NR1499--MA0690.1.TBX21	chr5	139299471	139299480	+	0.000	0.000	Merged-chr5-139299297-63
NR1194--MA0690.1.TBX21	chr3	103872835	103872844	+	0.000	0.000	Merged-chr3-103872856-42
NR432--MA0690.1.TBX21	chr13	22609091	22609100	-	0.000	0.000	Merged-chr13-22609236-45
NR1478--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR921--MA0690.1.TBX21	chr19	10816058	10816067	+	0.000	0.000	Merged-chr19-10816124-38
NR302--MA0690.1.TBX21	chr11	53810475	53810484	+	0.000	0.000	Merged-chr11-53810428-22
NR19--MA0690.1.TBX21	chr1	43467845	43467854	+	0.000	0.000	Merged-chr1-43467968-50
NR825--MA0690.1.TBX21	chr17	84166624	84166633	+	0.000	0.000	Merged-chr17-84166652-22
NR1728--MA0690.1.TBX21	chr7	90355559	90355568	+	0.000	0.000	Merged-chr7-90355618-52
NR1566--MA0690.1.TBX21	chr6	72624169	72624178	-	0.000	0.000	Merged-chr6-72624270-20
NR533--MA0690.1.TBX21	chr13	113397166	113397175	-	0.000	0.000	Merged-chr13-113397027-24
NR1327--MA0690.1.TBX21	chr4	107006396	107006405	-	0.000	0.000	Merged-chr4-107006366-21
NR1165--MA0690.1.TBX21	chr3	79210486	79210495	+	0.000	0.000	Merged-chr3-79210417-27
NR1707--MA0690.1.TBX21	chr7	73576508	73576517	-	0.000	0.000	Merged-chr7-73576506-24
NR798--MA0690.1.TBX21	chr17	47123781	47123790	-	0.000	0.000	Merged-chr17-47123695-29
NR384--MA0690.1.TBX21	chr12	79447174	79447183	+	0.000	0.000	Merged-chr12-79447275-32
NR1274--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR730--MA0690.1.TBX21	chr16	49790939	49790948	+	0.000	0.000	Merged-chr16-49791055-52
NR1396--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR472--MA0690.1.TBX21	chr13	63189867	63189876	-	0.000	0.000	Merged-chr13-63189715-33
NR918--MA0690.1.TBX21	chr19	6869672	6869681	+	0.000	0.000	Merged-chr19-6869528-29
NR1266--MA0690.1.TBX21	chr4	8834811	8834820	-	0.000	0.000	Merged-chr4-8834782-18
NR1789--MA0690.1.TBX21	chr7	136255759	136255768	-	0.000	0.000	Merged-chr7-136255803-24
NR878--MA0690.1.TBX21	chr18	62186502	62186511	-	0.000	0.000	Merged-chr18-62186304-32
NR509--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR390--MA0690.1.TBX21	chr12	85430672	85430681	-	0.000	0.000	Merged-chr12-85430592-32
NR313--MA0690.1.TBX21	chr11	72342357	72342366	-	0.000	0.000	Merged-chr11-72342522-29
NR422--MA0690.1.TBX21	chr13	5979609	5979618	+	0.000	0.000	Merged-chr13-5979653-26
NR531--MA0690.1.TBX21	chr13	112474466	112474475	+	0.000	0.000	Merged-chr13-112474497-27
NR578--MA0690.1.TBX21	chr14	62627492	62627501	+	0.000	0.000	Merged-chr14-62627525-13
NR849--MA0690.1.TBX21	chr18	23828760	23828769	-	0.000	0.000	Merged-chr18-23828715-22
NR2023--MA0690.1.TBX21	chr9	123836112	123836121	-	0.000	0.000	Merged-chr9-123836013-41
NR339--MA0690.1.TBX21	chr11	104629747	104629756	+	0.000	0.000	Merged-chr11-104629776-1
NR130--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR1801--MA0690.1.TBX21	chr7	142114093	142114102	-	0.000	0.000	Merged-chr7-142113991-20
NR1761--MA0690.1.TBX21	chr7	117394113	117394122	+	0.000	0.000	Merged-chr7-117394201-50
NR265--MA0690.1.TBX21	chr10	120697615	120697624	-	0.000	0.000	Merged-chr10-120697518-32
NR536--MA0690.1.TBX21	chr13	117223430	117223439	+	0.000	0.000	Merged-chr13-117223399-24
NR1870--MA0690.1.TBX21	chr8	75202318	75202327	-	0.000	0.000	Merged-chr8-75202303-18
NR278--MA0690.1.TBX21	chr11	5005454	5005463	+	0.000	0.000	Merged-chr11-5005546-13
NR135--MA0690.1.TBX21	chr1	170853840	170853849	-	0.000	0.000	Merged-chr1-170853758-47
NR419--MA0690.1.TBX21	chr12	117566383	117566392	+	0.000	0.000	Merged-chr12-117566493-34
NR191--MA0690.1.TBX21	chr10	39462220	39462229	+	0.000	0.000	Merged-chr10-39462164-7
NR114--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR1971--MA0690.1.TBX21	chr9	95845004	95845013	-	0.000	0.000	Merged-chr9-95845141-41
NR127--MA0690.1.TBX21	chr1	164975950	164975959	-	0.000	0.000	Merged-chr1-164975951-48
NR759--MA0690.1.TBX21	chr16	92743945	92743954	-	0.000	0.000	Merged-chr16-92743989-33
NR106--MA0690.1.TBX21	chr1	138290109	138290118	-	0.000	0.000	Merged-chr1-138290182-44
NR358--MA0690.1.TBX21	chr12	16558322	16558331	-	0.000	0.000	Merged-chr12-16558216-24
NR629--MA0690.1.TBX21	chr14	122187098	122187107	-	0.000	0.000	Merged-chr14-122187060-26
NR1201--MA0690.1.TBX21	chr3	115692527	115692536	-	0.000	0.000	Merged-chr3-115692552-34
NR1453--MA0690.1.TBX21	chr5	105610010	105610019	-	0.000	0.000	Merged-chr5-105609798-27
NR2034--MA0690.1.TBX21	chrX	57196576	57196585	-	0.000	0.000	Merged-chrX-57196423-53
NR1432--MA0690.1.TBX21	chr5	77166398	77166407	+	0.000	0.000	Merged-chr5-77166256-29
NR1703--MA0690.1.TBX21	chr7	66228718	66228727	-	0.000	0.000	Merged-chr7-66228697-16
NR1955--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR1716--MA0690.1.TBX21	chr7	81179777	81179786	+	0.000	0.000	Merged-chr7-81179607-41
NR1031--MA0690.1.TBX21	chr2	68289354	68289363	+	0.000	0.000	Merged-chr2-68289327-28
NR2013--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR308--MA0690.1.TBX21	chr11	68442509	68442518	+	0.000	0.000	Merged-chr11-68442579-25
NR1655--MA0690.1.TBX21	chr6	144674077	144674086	+	0.000	0.000	Merged-chr6-144674015-36
NR21--MA0690.1.TBX21	chr1	43561281	43561290	+	0.000	0.000	Merged-chr1-43561326-30
NR1886--MA0690.1.TBX21	chr8	94458857	94458866	+	0.000	0.000	Merged-chr8-94458814-46
NR1472--MA0690.1.TBX21	chr5	118465400	118465409	+	0.000	0.000	Merged-chr5-118465239-56
NR1995--MA0690.1.TBX21	chr9	111119168	111119177	+	0.000	0.000	Merged-chr9-111119231-12
NR1180--MA0690.1.TBX21	chr3	94375491	94375500	+	0.000	0.000	Merged-chr3-94375656-27
NR1560--MA0690.1.TBX21	chr6	67128021	67128030	-	0.000	0.000	Merged-chr6-67128007-16
NR1626--MA0690.1.TBX21	chr6	122270272	122270281	-	0.000	0.000	Merged-chr6-122270304-33
NR1573--MA0690.1.TBX21	chr6	83421863	83421872	-	0.000	0.000	Merged-chr6-83421842-37
NR1368--MA0690.1.TBX21	chr4	145319385	145319394	+	0.000	0.000	Merged-chr4-145319470-38
NR920--MA0690.1.TBX21	chr19	10198893	10198902	+	0.000	0.000	Merged-chr19-10198987-5
NR95--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR1857--MA0690.1.TBX21	chr8	57436143	57436152	-	0.000	0.000	Merged-chr8-57436096-21
NR1347--MA0690.1.TBX21	chr4	129508049	129508058	+	0.000	0.000	Merged-chr4-129508062-20
NR1456--MA0690.1.TBX21	chr5	107694589	107694598	+	0.000	0.000	Merged-chr5-107694686-33
NR1108--MA0690.1.TBX21	chr2	167938983	167938992	+	0.000	0.000	Merged-chr2-167938982-8
NR803--MA0690.1.TBX21	chr17	51396128	51396137	-	0.000	0.000	Merged-chr17-51396225-19
NR1422--MA0690.1.TBX21	chr5	65867371	65867380	+	0.000	0.000	Merged-chr5-65867573-52
NR1055--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR1164--MA0690.1.TBX21	chr3	75930343	75930352	+	0.000	0.000	Merged-chr3-75930291-55
NR1706--MA0690.1.TBX21	chr7	73572607	73572616	-	0.000	0.000	Merged-chr7-73572750-41
NR511--MA0690.1.TBX21	chr13	102899635	102899644	-	0.000	0.000	Merged-chr13-102899540-65
NR1382--MA0690.1.TBX21	chr4	152446672	152446681	+	0.000	0.000	Merged-chr4-152446445-57
NR1305--MA0690.1.TBX21	chr4	70304062	70304071	+	0.000	0.000	Merged-chr4-70303963-30
NR1557--MA0690.1.TBX21	chr6	61225586	61225595	-	0.000	0.000	Merged-chr6-61225621-10
NR32--MA0690.1.TBX21	chr1	59189721	59189730	+	0.000	0.000	Merged-chr1-59189721-10
NR1897--MA0690.1.TBX21	chr8	117052689	117052698	-	0.000	0.000	Merged-chr8-117052612-3
NR450--MA0690.1.TBX21	chr13	45443314	45443323	+	0.000	0.000	Merged-chr13-45443236-24
NR721--MA0690.1.TBX21	chr16	44337730	44337739	-	0.000	0.000	Merged-chr16-44337753-20
NR1082--MA0690.1.TBX21	chr2	129185880	129185889	+	0.000	0.000	Merged-chr2-129186012-43
NR952--MA0690.1.TBX21	chr19	53217566	53217575	-	0.000	0.000	Merged-chr19-53217650-8
NR1366--MA0690.1.TBX21	chr4	145264492	145264501	+	0.000	0.000	Merged-chr4-145264291-60
NR1637--MA0690.1.TBX21	chr6	129627631	129627640	+	0.000	0.000	Merged-chr6-129627649-22
NR442--MA0690.1.TBX21	chr13	33995352	33995361	+	0.000	0.000	Merged-chr13-33995395-11
NR694--MA0690.1.TBX21	chr15	103154462	103154471	-	0.000	0.000	Merged-chr15-103154383-18
NR965--MA0690.1.TBX21	chr2	9867638	9867647	+	0.000	0.000	Merged-chr2-9867507-76
NR346--MA0690.1.TBX21	chr11	115646672	115646681	-	0.000	0.000	Merged-chr11-115646752-30
NR312--MA0690.1.TBX21	chr11	72342371	72342380	+	0.000	0.000	Merged-chr11-72342522-29
NR29--MA0690.1.TBX21	chr1	54660903	54660912	-	0.000	0.000	Merged-chr1-54660876-41
NR293--MA0690.1.TBX21	chr11	43377431	43377440	+	0.000	0.000	Merged-chr11-43377382-54
NR1358--MA0690.1.TBX21	chr4	135568111	135568120	-	0.000	0.000	Merged-chr4-135567986-19
NR1215--MA0690.1.TBX21	chr3	127892093	127892102	+	0.000	0.000	Merged-chr3-127892051-37
NR848--MA0690.1.TBX21	chr18	14603698	14603707	-	0.000	0.000	Merged-chr18-14603655-48
NR1467--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR923--MA0690.1.TBX21	chr19	12479411	12479420	-	0.000	0.000	Merged-chr19-12479491-16
NR761--MA0690.1.TBX21	chr16	93787925	93787934	+	0.000	0.000	Merged-chr16-93787829-41
NR142--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR413--MA0690.1.TBX21	chr12	112868493	112868502	-	0.000	0.000	Merged-chr12-112868485-40
NR631--MA0690.1.TBX21	chr14	122290680	122290689	-	0.000	0.000	Merged-chr14-122290582-19
NR678--MA0690.1.TBX21	chr15	78248438	78248447	-	0.000	0.000	Merged-chr15-78248653-25
NR264--MA0690.1.TBX21	chr10	120697393	120697402	-	0.000	0.000	Merged-chr10-120697518-32
NR501--MA0690.1.TBX21	chr13	93763091	93763100	-	0.000	0.000	Merged-chr13-93763032-30
NR277--MA0690.1.TBX21	chr11	4206152	4206161	+	0.000	0.000	Merged-chr11-4206247-48
NR405--MA0690.1.TBX21	chr12	99564864	99564873	-	0.000	0.000	Merged-chr12-99564769-43
NR243--MA0690.1.TBX21	chr10	93819037	93819046	+	0.000	0.000	Merged-chr10-93818937-32
NR147--MA0690.1.TBX21	chr1	182383282	182383291	-	0.000	0.000	Merged-chr1-182383219-38
NR461--MA0690.1.TBX21	chr13	52800890	52800899	-	0.000	0.000	Merged-chr13-52800951-49
NR1970--MA0690.1.TBX21	chr9	95152018	95152027	-	0.000	0.000	Merged-chr9-95151869-50
NR331--MA0690.1.TBX21	chr11	95338160	95338169	-	0.000	0.000	Merged-chr11-95338102-17
NR997--MA0690.1.TBX21	chr2	38472557	38472566	-	0.000	0.000	Merged-chr2-38472573-96
NR1710--MA0690.1.TBX21	chr7	76047971	76047980	-	0.000	0.000	Merged-chr7-76048040-27
NR357--MA0690.1.TBX21	chr12	12278402	12278411	+	0.000	0.000	Merged-chr12-12278395-37
NR214--MA0690.1.TBX21	chr10	59896805	59896814	-	0.000	0.000	Merged-chr10-59896998-59
NR1975--MA0690.1.TBX21	chr9	96740731	96740740	-	0.000	0.000	Merged-chr9-96740764-95
NR227--MA0690.1.TBX21	chr10	70133419	70133428	-	0.000	0.000	Merged-chr10-70133310-29
NR1431--MA0690.1.TBX21	chr5	77091900	77091909	-	0.000	0.000	Merged-chr5-77092081-48
NR1792--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR2012--MA0690.1.TBX21	chr9	117925007	117925016	-	0.000	0.000	Merged-chr9-117925055-43
NR275--MA0690.1.TBX21	chr10	128991240	128991249	-	0.000	0.000	Merged-chr10-128991197-23
NR1880--MA0690.1.TBX21	chr8	86838967	86838976	-	0.000	0.000	Merged-chr8-86839061-45
NR307--MA0690.1.TBX21	chr11	67527182	67527191	+	0.000	0.000	Merged-chr11-67526987-43
NR145--MA0690.1.TBX21	chr1	180531620	180531629	-	0.000	0.000	Merged-chr1-180531418-30
