#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR852--MA0690.1.TBX21	chr18	32902640	32902649	+	0.000	0.000	Merged-chr18-32902700-12
NR59--MA0690.1.TBX21	chr1	85958280	85958289	+	0.000	0.000	Merged-chr1-85958439-33
NR1279--MA0690.1.TBX21	chr4	33466681	33466690	+	0.000	0.000	Merged-chr4-33466683-10
NR722--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR212--MA0690.1.TBX21	chr10	58480315	58480324	-	0.000	0.000	Merged-chr10-58480234-23
NR38--MA0690.1.TBX21	chr1	61136375	61136384	-	0.000	0.000	Merged-chr1-61136351-1
NR618--MA0690.1.TBX21	chr14	118109994	118110003	-	0.000	0.000	Merged-chr14-118109992-14
NR661--MA0690.1.TBX21	chr15	54919522	54919531	-	0.000	0.000	Merged-chr15-54919372-1
NR979--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR836--MA0690.1.TBX21	chr17	88701067	88701076	+	0.000	0.000	Merged-chr17-88701095-28
NR217--MA0690.1.TBX21	chr10	60189923	60189932	-	0.000	0.000	Merged-chr10-60189958-4
NR653--MA0690.1.TBX21	chr15	38635341	38635350	-	0.000	0.000	Merged-chr15-38635237-53
NR448--MA0690.1.TBX21	chr13	44507254	44507263	+	0.000	0.000	Merged-chr13-44507226-54
NR78--MA0690.1.TBX21	chr1	120162063	120162072	+	0.000	0.000	Merged-chr1-120162199-15
NR231--MA0690.1.TBX21	chr10	80018814	80018823	+	0.000	0.000	Merged-chr10-80018891-31
NR196--MA0690.1.TBX21	chr10	40479339	40479348	+	0.000	0.000	Merged-chr10-40479489-48
NR1881--MA0690.1.TBX21	chr8	88298233	88298242	+	0.000	0.000	Merged-chr8-88298148-50
NR2039--MA0690.1.TBX21	chrX	93368368	93368377	-	0.000	0.000	Merged-chrX-93368471-14
NR1512--MA0690.1.TBX21	chr5	147564037	147564046	-	0.000	0.000	Merged-chr5-147564223-70
NR1668--MA0690.1.TBX21	chr7	4464490	4464499	+	0.000	0.000	Merged-chr7-4464501-45
NR1634--MA0690.1.TBX21	chr6	127365547	127365556	+	0.000	0.000	Merged-chr6-127365482-29
NR1594--MA0690.1.TBX21	chr6	99309571	99309580	+	0.000	0.000	Merged-chr6-99309583-50
NR1878--MA0690.1.TBX21	chr8	84201493	84201502	-	0.000	0.000	Merged-chr8-84201386-2
NR1639--MA0690.1.TBX21	chr6	134174875	134174884	+	0.000	0.000	Merged-chr6-134175051-22
NR1225--MA0690.1.TBX21	chr3	138876406	138876415	+	0.000	0.000	Merged-chr3-138876270-3
NR933--MA0690.1.TBX21	chr19	24175380	24175389	-	0.000	0.000	Merged-chr19-24175252-8
NR946--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR1151--MA0690.1.TBX21	chr3	51495667	51495676	-	0.000	0.000	Merged-chr3-51495816-13
NR1217--MA0690.1.TBX21	chr3	131126044	131126053	+	0.000	0.000	Merged-chr3-131125958-32
NR1849--MA0690.1.TBX21	chr8	46859689	46859698	+	0.000	0.000	Merged-chr8-46859659-64
NR53--MA0690.1.TBX21	chr1	82443824	82443833	+	0.000	0.000	Merged-chr1-82443829-28
NR1273--MA0690.1.TBX21	chr4	21751858	21751867	+	0.000	0.000	Merged-chr4-21752041-18
NR872--MA0690.1.TBX21	chr18	56810051	56810060	-	0.000	0.000	Merged-chr18-56810000-44
NR362--MA0690.1.TBX21	chr12	21468115	21468124	+	0.000	0.000	Merged-chr12-21468092-6
NR994--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR909--MA0690.1.TBX21	chr18	84911756	84911765	+	0.000	0.000	Merged-chr18-84911932-15
NR713--MA0690.1.TBX21	chr16	32229249	32229258	+	0.000	0.000	Merged-chr16-32229198-4
NR1127--MA0690.1.TBX21	chr2	180251487	180251496	+	0.000	0.000	Merged-chr2-180251419-35
NR978--MA0690.1.TBX21	chr2	22722054	22722063	+	0.000	0.000	Merged-chr2-22721936-56
NR1597--MA0690.1.TBX21	chr6	99631733	99631742	-	0.000	0.000	Merged-chr6-99631666-11
NR835--MA0690.1.TBX21	chr17	88581900	88581909	-	0.000	0.000	Merged-chr17-88581790-53
NR216--MA0690.1.TBX21	chr10	60189916	60189925	-	0.000	0.000	Merged-chr10-60189958-4
NR1175--MA0690.1.TBX21	chr3	86693972	86693981	+	0.000	0.000	Merged-chr3-86693783-4
NR787--MA0690.1.TBX21	chr17	30363576	30363585	-	0.000	0.000	Merged-chr17-30363504-27
NR373--MA0690.1.TBX21	chr12	41340482	41340491	+	0.000	0.000	Merged-chr12-41340383-18
NR548--MA0690.1.TBX21	chr14	7864737	7864746	+	0.000	0.000	Merged-chr14-7864865-9
NR819--MA0690.1.TBX21	chr17	70942883	70942892	+	0.000	0.000	Merged-chr17-70942808-10
NR113--MA0690.1.TBX21	chr1	151167946	151167955	-	0.000	0.000	Merged-chr1-151167792-22
NR649--MA0690.1.TBX21	chr15	37436180	37436189	+	0.000	0.000	Merged-chr15-37436235-28
NR758--MA0690.1.TBX21	chr16	92443875	92443884	+	0.000	0.000	Merged-chr16-92443749-37
NR1029--MA0690.1.TBX21	chr2	62626241	62626250	+	0.000	0.000	Merged-chr2-62626417-21
NR105--MA0690.1.TBX21	chr1	137799073	137799082	-	0.000	0.000	Merged-chr1-137799060-11
NR1962--MA0690.1.TBX21	chr9	78845376	78845385	-	0.000	0.000	Merged-chr9-78845462-22
NR1723--MA0690.1.TBX21	chr7	84596947	84596956	+	0.000	0.000	Merged-chr7-84596846-5
NR1561--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR187--MA0690.1.TBX21	chr10	26630361	26630370	-	0.000	0.000	Merged-chr10-26630459-16
NR1662--MA0690.1.TBX21	chr6	146538318	146538327	-	0.000	0.000	Merged-chr6-146538267-8
NR1803--MA0690.1.TBX21	chr7	142967355	142967364	+	0.000	0.000	Merged-chr7-142967366-1
NR288--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
NR1816--MA0690.1.TBX21	chr8	11203511	11203520	+	0.000	0.000	Merged-chr8-11203491-10
NR397--MA0690.1.TBX21	chr12	91328801	91328810	-	0.000	0.000	Merged-chr12-91328902-3
