#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1535--MA0511.2.RUNX2	chr11	14142623	14142631	-	0.000	0.000	Merged-chr11-14142731-31
NR2928--MA0002.2.RUNX1	chr13	85399090	85399100	+	0.000	0.000	Merged-chr13-85399027-23
NR7128--MA0684.1.RUNX3	chr4	62367820	62367829	+	0.000	0.000	Merged-chr4-62367859-6
NR1230--MA0511.2.RUNX2	chr10	89415728	89415736	+	0.000	0.000	Merged-chr10-89415714-14
NR2766--MA0002.2.RUNX1	chr13	38501736	38501746	-	0.000	0.000	Merged-chr13-38501583-20
NR6731--MA0684.1.RUNX3	chr3	116652129	116652138	-	0.000	0.000	Merged-chr3-116652176-28
NR9245--MA0002.2.RUNX1	chr7	64217524	64217534	-	0.000	0.000	Merged-chr7-64217693-5
NR10797--MA0002.2.RUNX1	chr9	121682307	121682317	-	0.000	0.000	Merged-chr9-121682469-52
NR9754--MA0684.1.RUNX3	chr8	9811411	9811420	+	0.000	0.000	Merged-chr8-9811294-16
NR1243--MA0511.2.RUNX2	chr10	91167021	91167029	+	0.000	0.000	Merged-chr10-91167120-36
NR8--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR525--MA0002.2.RUNX1	chr1	153645518	153645528	-	0.000	0.000	Merged-chr1-153645501-10
NR3446--MA0511.2.RUNX2	chr14	77742008	77742016	+	0.000	0.000	Merged-chr14-77742060-11
NR5235--MA0511.2.RUNX2	chr19	10830054	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR7150--MA0684.1.RUNX3	chr4	70307384	70307393	+	0.000	0.000	Merged-chr4-70307334-49
NR2060--MA0002.2.RUNX1	chr11	117790432	117790442	-	0.000	0.000	Merged-chr11-117790518-2
NR2997--MA0002.2.RUNX1	chr13	96555356	96555366	+	0.000	0.000	Merged-chr13-96555289-36
NR995--MA0002.2.RUNX1	chr10	41518773	41518783	-	0.000	0.000	Merged-chr10-41518927-1
NR5519--MA0511.2.RUNX2	chr2	3764341	3764349	-	0.000	0.000	Merged-chr2-3764311-29
NR2963--MA0002.2.RUNX1	chr13	92722551	92722561	+	0.000	0.000	Merged-chr13-92722597-29
NR1395--MA0684.1.RUNX3	chr10	118628208	118628217	-	0.000	0.000	Merged-chr10-118628235-24
NR6780--MA0002.2.RUNX1	chr3	130788180	130788190	+	0.000	0.000	Merged-chr3-130788036-10
NR32--MA0684.1.RUNX3	chr1	21333807	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR8860--MA0684.1.RUNX3	chr6	136493692	136493701	-	0.000	0.000	Merged-chr6-136493676-34
NR4547--MA0002.2.RUNX1	chr17	26532868	26532878	-	0.000	0.000	Merged-chr17-26532798-20
NR6561--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR10060--MA0511.2.RUNX2	chr8	115222245	115222253	-	0.000	0.000	Merged-chr8-115222208-2
NR2724--MA0002.2.RUNX1	chr13	31902758	31902768	+	0.000	0.000	Merged-chr13-31902870-3
NR2932--MA0511.2.RUNX2	chr13	85505257	85505265	-	0.000	0.000	Merged-chr13-85505133-53
NR2195--MA0002.2.RUNX1	chr12	40248013	40248023	-	0.000	0.000	Merged-chr12-40248155-5
NR10497--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR8072--MA0002.2.RUNX1	chr5	114826401	114826411	-	0.000	0.000	Merged-chr5-114826460-42
NR10483--MA0684.1.RUNX3	chr9	78593272	78593281	+	0.000	0.000	Merged-chr9-78593326-11
NR1135--MA0684.1.RUNX3	chr10	75429620	75429629	-	0.000	0.000	Merged-chr10-75429705-8
NR7026--MA0002.2.RUNX1	chr4	33983879	33983889	-	0.000	0.000	Merged-chr4-33983877-2
NR5031--MA0511.2.RUNX2	chr18	65207730	65207738	-	0.000	0.000	Merged-chr18-65207601-18
NR2653--MA0511.2.RUNX2	chr13	19518143	19518151	+	0.000	0.000	Merged-chr13-19518295-27
NR9655--MA0511.2.RUNX2	chr7	136270358	136270366	-	0.000	0.000	Merged-chr7-136270364-24
NR6850--MA0511.2.RUNX2	chr3	142674815	142674823	-	0.000	0.000	Merged-chr3-142674758-15
NR599--MA0002.2.RUNX1	chr1	165691743	165691753	-	0.000	0.000	Merged-chr1-165691684-32
NR204--MA0002.2.RUNX1	chr1	75533601	75533611	+	0.000	0.000	Merged-chr1-75533497-24
NR4181--MA0002.2.RUNX1	chr16	43697977	43697987	-	0.000	0.000	Merged-chr16-43697975-3
NR2715--MA0684.1.RUNX3	chr13	29979450	29979459	+	0.000	0.000	Merged-chr13-29979339-43
NR2772--MA0002.2.RUNX1	chr13	41346054	41346064	-	0.000	0.000	Merged-chr13-41345949-16
NR979--MA0002.2.RUNX1	chr10	39005776	39005786	-	0.000	0.000	Merged-chr10-39005753-18
NR8957--MA0511.2.RUNX2	chr6	145105219	145105227	-	0.000	0.000	Merged-chr6-145105130-3
NR4--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR10598--MA0002.2.RUNX1	chr9	96545686	96545696	+	0.000	0.000	Merged-chr9-96545653-10
NR2361--MA0511.2.RUNX2	chr12	92823631	92823639	+	0.000	0.000	Merged-chr12-92823421-39
NR4213--MA0002.2.RUNX1	chr16	49818780	49818790	-	0.000	0.000	Merged-chr16-49818889-55
NR8301--MA0002.2.RUNX1	chr6	6577522	6577532	-	0.000	0.000	Merged-chr6-6577639-1
NR7127--MA0002.2.RUNX1	chr4	62367820	62367830	-	0.000	0.000	Merged-chr4-62367859-6
NR4180--MA0684.1.RUNX3	chr16	43650508	43650517	+	0.000	0.000	Merged-chr16-43650685-39
NR8205--MA0002.2.RUNX1	chr5	140624007	140624017	-	0.000	0.000	Merged-chr5-140623883-3
NR3972--MA0002.2.RUNX1	chr15	99336093	99336103	-	0.000	0.000	Merged-chr15-99336095-27
NR2132--MA0002.2.RUNX1	chr12	16321296	16321306	-	0.000	0.000	Merged-chr12-16321346-3
NR2764--MA0002.2.RUNX1	chr13	38501512	38501522	-	0.000	0.000	Merged-chr13-38501583-20
NR4334--MA0684.1.RUNX3	chr16	84477818	84477827	+	0.000	0.000	Merged-chr16-84477844-43
NR6693--MA0511.2.RUNX2	chr3	108737883	108737891	-	0.000	0.000	Merged-chr3-108737869-29
NR2306--MA0684.1.RUNX3	chr12	79441335	79441344	-	0.000	0.000	Merged-chr12-79441349-14
NR2158--MA0002.2.RUNX1	chr12	25362963	25362973	+	0.000	0.000	Merged-chr12-25363030-6
NR4837--MA0002.2.RUNX1	chr17	86760370	86760380	+	0.000	0.000	Merged-chr17-86760300-15
NR8763--MA0002.2.RUNX1	chr6	127723184	127723194	-	0.000	0.000	Merged-chr6-127723234-26
NR8319--MA0002.2.RUNX1	chr6	13584122	13584132	+	0.000	0.000	Merged-chr6-13584220-9
NR1883--MA0002.2.RUNX1	chr11	97684175	97684185	+	0.000	0.000	Merged-chr11-97684318-65
NR9711--MA0002.2.RUNX1	chr7	142396753	142396763	+	0.000	0.000	Merged-chr7-142396800-18
NR1915--MA0002.2.RUNX1	chr11	102061325	102061335	-	0.000	0.000	Merged-chr11-102061381-17
NR2050--MA0002.2.RUNX1	chr11	116136518	116136528	-	0.000	0.000	Merged-chr11-116136465-12
NR6204--MA0002.2.RUNX1	chr2	155553338	155553348	-	0.000	0.000	Merged-chr2-155553198-41
NR4924--MA0684.1.RUNX3	chr18	36701977	36701986	-	0.000	0.000	Merged-chr18-36701992-26
NR8073--MA0511.2.RUNX2	chr5	114826496	114826504	+	0.000	0.000	Merged-chr5-114826460-42
NR4014--MA0002.2.RUNX1	chr15	103255463	103255473	+	0.000	0.000	Merged-chr15-103255305-35
NR9270--MA0002.2.RUNX1	chr7	72339570	72339580	-	0.000	0.000	Merged-chr7-72339570-17
NR2128--MA0684.1.RUNX3	chr12	13512612	13512621	+	0.000	0.000	Merged-chr12-13512538-15
NR474--MA0684.1.RUNX3	chr1	144276046	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR7513--MA0002.2.RUNX1	chr4	148115748	148115758	-	0.000	0.000	Merged-chr4-148115678-7
NR2294--MA0002.2.RUNX1	chr12	76889716	76889726	+	0.000	0.000	Merged-chr12-76889803-12
NR5008--MA0684.1.RUNX3	chr18	56871869	56871878	+	0.000	0.000	Merged-chr18-56871976-16
NR4549--MA0684.1.RUNX3	chr17	26532893	26532902	+	0.000	0.000	Merged-chr17-26532798-20
NR1615--MA0002.2.RUNX1	chr11	46421455	46421465	+	0.000	0.000	Merged-chr11-46421538-60
NR152--MA0511.2.RUNX2	chr1	62834665	62834673	+	0.000	0.000	Merged-chr1-62834522-10
NR1724--MA0002.2.RUNX1	chr11	68417954	68417964	-	0.000	0.000	Merged-chr11-68418005-32
NR1976--MA0002.2.RUNX1	chr11	108088370	108088380	-	0.000	0.000	Merged-chr11-108088190-36
NR10833--MA0002.2.RUNX1	chrX	11845670	11845680	+	0.000	0.000	Merged-chrX-11845813-21
NR9533--MA0002.2.RUNX1	chr7	118254166	118254176	+	0.000	0.000	Merged-chr7-118254195-24
NR707--MA0511.2.RUNX2	chr1	181227026	181227034	+	0.000	0.000	Merged-chr1-181227002-33
NR737--MA0684.1.RUNX3	chr1	183933980	183933989	-	0.000	0.000	Merged-chr1-183934010-20
NR10671--MA0002.2.RUNX1	chr9	110907689	110907699	-	0.000	0.000	Merged-chr9-110907689-47
NR5411--MA0002.2.RUNX1	chr19	45528076	45528086	+	0.000	0.000	Merged-chr19-45528060-29
NR2385--MA0511.2.RUNX2	chr12	98453479	98453487	+	0.000	0.000	Merged-chr12-98453618-41
NR2927--MA0511.2.RUNX2	chr13	85399092	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR9751--MA0002.2.RUNX1	chr8	9811314	9811324	-	0.000	0.000	Merged-chr8-9811294-16
NR5520--MA0002.2.RUNX1	chr2	3764339	3764349	+	0.000	0.000	Merged-chr2-3764311-29
NR7723--MA0002.2.RUNX1	chr5	43837745	43837755	+	0.000	0.000	Merged-chr5-43837616-20
NR6278--MA0002.2.RUNX1	chr2	166046189	166046199	-	0.000	0.000	Merged-chr2-166046105-43
NR3582--MA0002.2.RUNX1	chr15	3270984	3270994	+	0.000	0.000	Merged-chr15-3270817-58
NR10921--MA0002.2.RUNX1	chrX	85839395	85839405	-	0.000	0.000	Merged-chrX-85839388-40
NR206--MA0684.1.RUNX3	chr1	75533602	75533611	-	0.000	0.000	Merged-chr1-75533497-24
NR8285--MA0002.2.RUNX1	chr5	151252478	151252488	-	0.000	0.000	Merged-chr5-151252284-65
NR6277--MA0684.1.RUNX3	chr2	165956428	165956437	-	0.000	0.000	Merged-chr2-165956535-28
NR1934--MA0002.2.RUNX1	chr11	104443543	104443553	+	0.000	0.000	Merged-chr11-104443486-1
NR4546--MA0511.2.RUNX2	chr17	26532893	26532901	+	0.000	0.000	Merged-chr17-26532798-20
NR7701--MA0684.1.RUNX3	chr5	36089621	36089630	+	0.000	0.000	Merged-chr5-36089478-45
NR8207--MA0684.1.RUNX3	chr5	140624014	140624023	+	0.000	0.000	Merged-chr5-140623883-3
NR2025--MA0684.1.RUNX3	chr11	113194938	113194947	+	0.000	0.000	Merged-chr11-113194847-27
NR9485--MA0002.2.RUNX1	chr7	112918451	112918461	-	0.000	0.000	Merged-chr7-112918407-20
NR2419--MA0002.2.RUNX1	chr12	103116828	103116838	-	0.000	0.000	Merged-chr12-103116842-39
NR9613--MA0002.2.RUNX1	chr7	128382345	128382355	+	0.000	0.000	Merged-chr7-128382170-51
NR8316--MA0684.1.RUNX3	chr6	12081955	12081964	-	0.000	0.000	Merged-chr6-12082002-27
NR8677--MA0684.1.RUNX3	chr6	114934410	114934419	+	0.000	0.000	Merged-chr6-114934394-6
NR10493--MA0002.2.RUNX1	chr9	80070224	80070234	+	0.000	0.000	Merged-chr9-80070269-16
NR1145--MA0002.2.RUNX1	chr10	76802235	76802245	+	0.000	0.000	Merged-chr10-76802342-40
NR2127--MA0002.2.RUNX1	chr12	13512612	13512622	-	0.000	0.000	Merged-chr12-13512538-15
NR4839--MA0684.1.RUNX3	chr17	86779459	86779468	+	0.000	0.000	Merged-chr17-86779381-46
NR4899--MA0511.2.RUNX2	chr18	14675979	14675987	+	0.000	0.000	Merged-chr18-14675814-20
NR9791--MA0002.2.RUNX1	chr8	22783633	22783643	-	0.000	0.000	Merged-chr8-22783714-26
NR5484--MA0684.1.RUNX3	chr19	57113350	57113359	+	0.000	0.000	Merged-chr19-57113185-31
NR3740--MA0511.2.RUNX2	chr15	59596758	59596766	+	0.000	0.000	Merged-chr15-59596634-94
NR5321--MA0002.2.RUNX1	chr19	29196946	29196956	-	0.000	0.000	Merged-chr19-29196940-3
NR3121--MA0511.2.RUNX2	chr13	113549212	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR2139--MA0684.1.RUNX3	chr12	16584080	16584089	+	0.000	0.000	Merged-chr12-16584018-49
NR7924--MA0684.1.RUNX3	chr5	100466876	100466885	+	0.000	0.000	Merged-chr5-100466890-43
NR3644--MA0511.2.RUNX2	chr15	34356866	34356874	+	0.000	0.000	Merged-chr15-34356866-8
NR1537--MA0684.1.RUNX3	chr11	14142622	14142631	-	0.000	0.000	Merged-chr11-14142731-31
NR9979--MA0002.2.RUNX1	chr8	94969848	94969858	+	0.000	0.000	Merged-chr8-94969690-1,Merged-chr8-94970048-23
NR7014--MA0002.2.RUNX1	chr4	24569310	24569320	+	0.000	0.000	Merged-chr4-24569297-30
NR1183--MA0511.2.RUNX2	chr10	81194417	81194425	-	0.000	0.000	Merged-chr10-81194350-49
NR1232--MA0684.1.RUNX3	chr10	89415728	89415737	+	0.000	0.000	Merged-chr10-89415714-14
NR8204--MA0511.2.RUNX2	chr5	140624014	140624022	+	0.000	0.000	Merged-chr5-140623883-3
NR10878--MA0002.2.RUNX1	chrX	52760335	52760345	-	0.000	0.000	Merged-chrX-52760494-47
NR5076--MA0002.2.RUNX1	chr18	73745003	73745013	-	0.000	0.000	Merged-chr18-73745138-6
NR10612--MA0684.1.RUNX3	chr9	96953705	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR1245--MA0684.1.RUNX3	chr10	91167021	91167030	+	0.000	0.000	Merged-chr10-91167120-36
NR10573--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR9752--MA0511.2.RUNX2	chr8	9811411	9811419	+	0.000	0.000	Merged-chr8-9811294-16
NR1334--MA0002.2.RUNX1	chr10	108110442	108110452	+	0.000	0.000	Merged-chr10-108110299-11
NR8356--MA0684.1.RUNX3	chr6	28949422	28949431	+	0.000	0.000	Merged-chr6-28949446-17
NR3266--MA0002.2.RUNX1	chr14	48246459	48246469	+	0.000	0.000	Merged-chr14-48246381-22
NR1586--MA0002.2.RUNX1	chr11	35747242	35747252	+	0.000	0.000	Merged-chr11-35747326-7
NR933--MA0002.2.RUNX1	chr10	21535820	21535830	+	0.000	0.000	Merged-chr10-21535730-30
NR1347--MA0002.2.RUNX1	chr10	111562798	111562808	-	0.000	0.000	Merged-chr10-111562842-26
NR3993--MA0684.1.RUNX3	chr15	100750453	100750462	+	0.000	0.000	Merged-chr15-100750259-57
NR5796--MA0002.2.RUNX1	chr2	71843427	71843437	+	0.000	0.000	Merged-chr2-71843530-15
NR30--MA0511.2.RUNX2	chr1	21333808	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR3102--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR1726--MA0684.1.RUNX3	chr11	68768602	68768611	+	0.000	0.000	Merged-chr11-68768507-16
NR3258--MA0002.2.RUNX1	chr14	47476844	47476854	+	0.000	0.000	Merged-chr14-47476839-9
NR10783--MA0002.2.RUNX1	chr9	120059519	120059529	+	0.000	0.000	Merged-chr9-120059540-6
NR5047--MA0002.2.RUNX1	chr18	67882892	67882902	-	0.000	0.000	Merged-chr18-67882933-18
NR5033--MA0684.1.RUNX3	chr18	65207729	65207738	-	0.000	0.000	Merged-chr18-65207601-18
NR5156--MA0002.2.RUNX1	chr18	84355495	84355505	+	0.000	0.000	Merged-chr18-84355361-12
NR3684--MA0511.2.RUNX2	chr15	38535574	38535582	+	0.000	0.000	Merged-chr15-38535554-39
NR10481--MA0511.2.RUNX2	chr9	78593272	78593280	+	0.000	0.000	Merged-chr9-78593326-11
NR7216--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR5122--MA0002.2.RUNX1	chr18	80652995	80653005	-	0.000	0.000	Merged-chr18-80653014-8
NR6452--MA0002.2.RUNX1	chr3	37738620	37738630	-	0.000	0.000	Merged-chr3-37738517-40
NR9657--MA0684.1.RUNX3	chr7	136270357	136270366	-	0.000	0.000	Merged-chr7-136270364-24
NR904--MA0002.2.RUNX1	chr10	17512260	17512270	+	0.000	0.000	Merged-chr10-17512175-6
NR4900--MA0002.2.RUNX1	chr18	14675979	14675989	-	0.000	0.000	Merged-chr18-14675814-20
NR5757--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR2996--MA0002.2.RUNX1	chr13	96555284	96555294	+	0.000	0.000	Merged-chr13-96555289-36
NR6--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR1536--MA0002.2.RUNX1	chr11	14142621	14142631	+	0.000	0.000	Merged-chr11-14142731-31
NR980--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR6160--MA0002.2.RUNX1	chr2	150307354	150307364	-	0.000	0.000	Merged-chr2-150307166-50
NR9759--MA0002.2.RUNX1	chr8	11107277	11107287	-	0.000	0.000	Merged-chr8-11107220-18
NR5369--MA0511.2.RUNX2	chr19	37109990	37109998	-	0.000	0.000	Merged-chr19-37109967-3
NR1614--MA0511.2.RUNX2	chr11	46421457	46421465	-	0.000	0.000	Merged-chr11-46421538-60
NR1244--MA0002.2.RUNX1	chr10	91167021	91167031	-	0.000	0.000	Merged-chr10-91167120-36
NR3447--MA0002.2.RUNX1	chr14	77742008	77742018	-	0.000	0.000	Merged-chr14-77742060-11
NR877--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR5236--MA0002.2.RUNX1	chr19	10830052	10830062	+	0.000	0.000	Merged-chr19-10829902-50
NR4982--MA0002.2.RUNX1	chr18	53937434	53937444	+	0.000	0.000	Merged-chr18-53937531-41
NR3685--MA0684.1.RUNX3	chr15	38535574	38535583	+	0.000	0.000	Merged-chr15-38535554-39
NR3208--MA0002.2.RUNX1	chr14	27268393	27268403	-	0.000	0.000	Merged-chr14-27268313-23
NR9532--MA0511.2.RUNX2	chr7	118254168	118254176	-	0.000	0.000	Merged-chr7-118254195-24
NR4763--MA0684.1.RUNX3	chr17	73151647	73151656	-	0.000	0.000	Merged-chr17-73151770-42
NR476--MA0002.2.RUNX1	chr1	144283483	144283493	-	0.000	0.000	Merged-chr1-144283563-68
NR10366--MA0002.2.RUNX1	chr9	57577525	57577535	-	0.000	0.000	Merged-chr9-57577523-17
NR2173--MA0002.2.RUNX1	chr12	31997052	31997062	-	0.000	0.000	Merged-chr12-31997107-37
NR5758--MA0684.1.RUNX3	chr2	65133924	65133933	+	0.000	0.000	Merged-chr2-65133825-19
NR9161--MA0684.1.RUNX3	chr7	43430965	43430974	-	0.000	0.000	Merged-chr7-43430848-7
NR2933--MA0002.2.RUNX1	chr13	85505255	85505265	+	0.000	0.000	Merged-chr13-85505133-53
NR1222--MA0684.1.RUNX3	chr10	88346742	88346751	-	0.000	0.000	Merged-chr10-88346697-18
NR6131--MA0002.2.RUNX1	chr2	144646569	144646579	+	0.000	0.000	Merged-chr2-144646502-21
NR10888--MA0684.1.RUNX3	chrX	59508505	59508514	-	0.000	0.000	Merged-chrX-59508552-38
NR5588--MA0684.1.RUNX3	chr2	18962704	18962713	-	0.000	0.000	Merged-chr2-18962712-7
NR2654--MA0002.2.RUNX1	chr13	19518143	19518153	-	0.000	0.000	Merged-chr13-19518295-27
NR7281--MA0511.2.RUNX2	chr4	108832959	108832967	+	0.000	0.000	Merged-chr4-108833099-2
NR176--MA0002.2.RUNX1	chr1	66896355	66896365	+	0.000	0.000	Merged-chr1-66896467-67
NR6851--MA0002.2.RUNX1	chr3	142674813	142674823	+	0.000	0.000	Merged-chr3-142674758-15
NR1069--MA0511.2.RUNX2	chr10	60346224	60346232	+	0.000	0.000	Merged-chr10-60346273-6
NR4922--MA0511.2.RUNX2	chr18	36701978	36701986	-	0.000	0.000	Merged-chr18-36701992-26
NR8958--MA0002.2.RUNX1	chr6	145105217	145105227	+	0.000	0.000	Merged-chr6-145105130-3
NR4585--MA0684.1.RUNX3	chr17	31207401	31207410	-	0.000	0.000	Merged-chr17-31207385-5
NR2362--MA0002.2.RUNX1	chr12	92823631	92823641	-	0.000	0.000	Merged-chr12-92823421-39
NR5567--MA0684.1.RUNX3	chr2	12423840	12423849	-	0.000	0.000	Merged-chr2-12423867-9
NR1188--MA0002.2.RUNX1	chr10	82697578	82697588	-	0.000	0.000	Merged-chr10-82697496-47
NR10492--MA0511.2.RUNX2	chr9	80070226	80070234	-	0.000	0.000	Merged-chr9-80070269-16
NR4565--MA0002.2.RUNX1	chr17	28366329	28366339	-	0.000	0.000	Merged-chr17-28366309-12
NR8305--MA0002.2.RUNX1	chr6	8495619	8495629	+	0.000	0.000	Merged-chr6-8495644-33
NR6625--MA0002.2.RUNX1	chr3	93562573	93562583	-	0.000	0.000	Merged-chr3-93562558-40
NR5057--MA0684.1.RUNX3	chr18	69196343	69196352	-	0.000	0.000	Merged-chr18-69196479-70
NR472--MA0511.2.RUNX2	chr1	144276047	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR8252--MA0002.2.RUNX1	chr5	146791092	146791102	+	0.000	0.000	Merged-chr5-146791085-4
NR154--MA0684.1.RUNX3	chr1	62834665	62834674	+	0.000	0.000	Merged-chr1-62834522-10
NR277--MA0002.2.RUNX1	chr1	91080306	91080316	+	0.000	0.000	Merged-chr1-91080419-21
NR1789--MA0511.2.RUNX2	chr11	79520075	79520083	-	0.000	0.000	Merged-chr11-79520137-35
NR9710--MA0002.2.RUNX1	chr7	142393439	142393449	+	0.000	0.000	Merged-chr7-142393362-24
NR4034--MA0002.2.RUNX1	chr16	10979607	10979617	-	0.000	0.000	Merged-chr16-10979660-46
NR4762--MA0002.2.RUNX1	chr17	73151646	73151656	+	0.000	0.000	Merged-chr17-73151770-42
NR2929--MA0684.1.RUNX3	chr13	85399091	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR7013--MA0511.2.RUNX2	chr4	24569312	24569320	-	0.000	0.000	Merged-chr4-24569297-30
NR735--MA0511.2.RUNX2	chr1	183933981	183933989	-	0.000	0.000	Merged-chr1-183934010-20
NR8515--MA0002.2.RUNX1	chr6	83478695	83478705	-	0.000	0.000	Merged-chr6-83478852-15
NR9--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR7148--MA0511.2.RUNX2	chr4	70307384	70307392	+	0.000	0.000	Merged-chr4-70307334-49
NR6795--MA0002.2.RUNX1	chr3	132791318	132791328	-	0.000	0.000	Merged-chr3-132791387-40
NR2729--MA0511.2.RUNX2	chr13	32966242	32966250	-	0.000	0.000	Merged-chr13-32966239-7
NR4244--MA0002.2.RUNX1	chr16	57176582	57176592	-	0.000	0.000	Merged-chr16-57176339-30
NR6275--MA0511.2.RUNX2	chr2	165956429	165956437	-	0.000	0.000	Merged-chr2-165956535-28
