#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR9753--MA0511.2.RUNX2	chr7	92087616	92087624	-	0.000	0.000	Merged-chr7-92087702-17
NR4441--MA0002.2.RUNX1	chr16	44339245	44339255	-	0.000	0.000	Merged-chr16-44339420-21
NR968--MA0002.2.RUNX1	chr10	19321988	19321998	+	0.000	0.000	Merged-chr10-19321944-43
NR9578--MA0684.1.RUNX3	chr7	48795272	48795281	-	0.000	0.000	Merged-chr7-48795353-37
NR4693--MA0002.2.RUNX1	chr16	93552970	93552980	-	0.000	0.000	Merged-chr16-93552984-42
NR7898--MA0684.1.RUNX3	chr4	139242140	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR10020--MA0511.2.RUNX2	chr7	132749006	132749014	+	0.000	0.000	Merged-chr7-132748920-16
NR7626--MA0002.2.RUNX1	chr4	86887117	86887127	+	0.000	0.000	Merged-chr4-86887188-3
NR3938--MA0684.1.RUNX3	chr15	58750401	58750410	+	0.000	0.000	Merged-chr15-58750240-28
NR8781--MA0002.2.RUNX1	chr6	30592265	30592275	+	0.000	0.000	Merged-chr6-30592201-27
NR5360--MA0511.2.RUNX2	chr18	56455834	56455842	+	0.000	0.000	Merged-chr18-56455831-43
NR2665--MA0002.2.RUNX1	chr12	110454469	110454479	+	0.000	0.000	Merged-chr12-110454424-31
NR1639--MA0684.1.RUNX3	chr11	32013609	32013618	+	0.000	0.000	Merged-chr11-32013500-11
NR9144--MA0002.2.RUNX1	chr6	119408839	119408849	+	0.000	0.000	Merged-chr6-119408748-28
NR10795--MA0511.2.RUNX2	chr9	48562593	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR6389--MA0511.2.RUNX2	chr2	125948469	125948477	+	0.000	0.000	Merged-chr2-125948432-8
NR5806--MA0511.2.RUNX2	chr19	40300140	40300148	+	0.000	0.000	Merged-chr19-40300210-18
NR3584--MA0511.2.RUNX2	chr14	69980921	69980929	+	0.000	0.000	Merged-chr14-69980861-5
NR7116--MA0002.2.RUNX1	chr3	122202354	122202364	-	0.000	0.000	Merged-chr3-122202498-54
NR1205--MA0002.2.RUNX1	chr10	77367163	77367173	-	0.000	0.000	Merged-chr10-77367193-51
NR7245--MA0684.1.RUNX3	chr3	141690927	141690936	+	0.000	0.000	Merged-chr3-141690828-16
NR11059--MA0002.2.RUNX1	chr9	89209093	89209103	+	0.000	0.000	Merged-chr9-89209095-42
NR7053--MA0511.2.RUNX2	chr3	108887078	108887086	+	0.000	0.000	Merged-chr3-108887140-15
NR1728--MA0002.2.RUNX1	chr11	54105210	54105220	+	0.000	0.000	Merged-chr11-54105258-8
NR2760--MA0684.1.RUNX3	chr12	117173280	117173289	-	0.000	0.000	Merged-chr12-117173433-4
NR5439--MA0511.2.RUNX2	chr18	65819118	65819126	-	0.000	0.000	Merged-chr18-65819211-50
NR9776--MA0002.2.RUNX1	chr7	99003412	99003422	-	0.000	0.000	Merged-chr7-99003498-20
NR4963--MA0684.1.RUNX3	chr17	43645417	43645426	+	0.000	0.000	Merged-chr17-43645396-23
NR5674--MA0684.1.RUNX3	chr19	14466266	14466275	+	0.000	0.000	Merged-chr19-14466199-30
NR31--MA0511.2.RUNX2	chr1	20260127	20260135	+	0.000	0.000	Merged-chr1-20260109-34
NR7877--MA0684.1.RUNX3	chr4	135520640	135520649	+	0.000	0.000	Merged-chr4-135520643-13
NR884--MA0511.2.RUNX2	chr1	192510749	192510757	+	0.000	0.000	Merged-chr1-192510804-31
NR4800--MA0002.2.RUNX1	chr17	12513610	12513620	+	0.000	0.000	Merged-chr17-12513699-7
NR3725--MA0511.2.RUNX2	chr14	118658446	118658454	+	0.000	0.000	Merged-chr14-118658326-68
NR10423--MA0002.2.RUNX1	chr8	94240484	94240494	-	0.000	0.000	Merged-chr8-94240399-13
NR6461--MA0002.2.RUNX1	chr2	135737685	135737695	+	0.000	0.000	Merged-chr2-135737673-31
NR8048--MA0511.2.RUNX2	chr5	8075408	8075416	+	0.000	0.000	Merged-chr5-8075370-38
NR5287--MA0002.2.RUNX1	chr18	32569671	32569681	-	0.000	0.000	Merged-chr18-32569652-14
NR642--MA0002.2.RUNX1	chr1	163374714	163374724	+	0.000	0.000	Merged-chr1-163374764-34
NR1327--MA0002.2.RUNX1	chr10	94829989	94829999	-	0.000	0.000	Merged-chr10-94830021-1
NR2901--MA0684.1.RUNX3	chr13	30154464	30154473	+	0.000	0.000	Merged-chr13-30154580-19
NR10360--MA0511.2.RUNX2	chr8	78975206	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR3420--MA0511.2.RUNX2	chr14	47740831	47740839	+	0.000	0.000	Merged-chr14-47740703-52
NR3215--MA0511.2.RUNX2	chr13	99781338	99781346	-	0.000	0.000	Merged-chr13-99781144-21
NR1264--MA0511.2.RUNX2	chr10	84897547	84897555	+	0.000	0.000	Merged-chr10-84897526-62
NR2610--MA0002.2.RUNX1	chr12	104235931	104235941	+	0.000	0.000	Merged-chr12-104236095-61
NR1108--MA0684.1.RUNX3	chr10	58354857	58354866	+	0.000	0.000	Merged-chr10-58354769-20
NR946--MA0684.1.RUNX3	chr10	13438594	13438603	+	0.000	0.000	Merged-chr10-13438536-33
NR132--MA0002.2.RUNX1	chr1	46425466	46425476	-	0.000	0.000	Merged-chr1-46425534-31
NR9679--MA0684.1.RUNX3	chr7	75596205	75596214	-	0.000	0.000	Merged-chr7-75596193-49
NR10707--MA0002.2.RUNX1	chr9	20636439	20636449	-	0.000	0.000	Merged-chr9-20636444-23
NR754--MA0511.2.RUNX2	chr1	177702893	177702901	+	0.000	0.000	Merged-chr1-177702906-70
NR655--MA0002.2.RUNX1	chr1	164413781	164413791	-	0.000	0.000	Merged-chr1-164413844-41
NR340--MA0511.2.RUNX2	chr1	88475603	88475611	+	0.000	0.000	Merged-chr1-88475619-20
NR4717--MA0002.2.RUNX1	chr16	95263159	95263169	-	0.000	0.000	Merged-chr16-95263048-64
NR784--MA0684.1.RUNX3	chr1	181148636	181148645	+	0.000	0.000	Merged-chr1-181148659-6
NR1469--MA0684.1.RUNX3	chr10	120895928	120895937	+	0.000	0.000	Merged-chr10-120895921-55
NR6583--MA0002.2.RUNX1	chr2	158323021	158323031	+	0.000	0.000	Merged-chr2-158323146-37
NR493--MA0002.2.RUNX1	chr1	135019166	135019176	-	0.000	0.000	Merged-chr1-135019182-17
NR4555--MA0002.2.RUNX1	chr16	70365448	70365458	-	0.000	0.000	Merged-chr16-70365429-20
NR5143--MA0684.1.RUNX3	chr17	80579293	80579302	-	0.000	0.000	Merged-chr17-80579337-18
NR5209--MA0684.1.RUNX3	chr17	87364397	87364406	-	0.000	0.000	Merged-chr17-87364377-17
NR8372--MA0002.2.RUNX1	chr5	105313659	105313669	-	0.000	0.000	Merged-chr5-105313637-29
NR10383--MA0002.2.RUNX1	chr8	83740326	83740336	-	0.000	0.000	Merged-chr8-83740218-49
NR5395--MA0684.1.RUNX3	chr18	62169383	62169392	-	0.000	0.000	Merged-chr18-62169369-48
NR5123--MA0002.2.RUNX1	chr17	74869684	74869694	+	0.000	0.000	Merged-chr17-74869887-51
NR10306--MA0002.2.RUNX1	chr8	68212389	68212399	-	0.000	0.000	Merged-chr8-68212337-24
NR11461--MA0002.2.RUNX1	chrX	113002327	113002337	+	0.000	0.000	Merged-chrX-113002387-37
NR9357--MA0511.2.RUNX2	chr6	144910471	144910479	-	0.000	0.000	Merged-chr6-144910390-40
NR7011--MA0511.2.RUNX2	chr3	103091905	103091913	-	0.000	0.000	Merged-chr3-103091976-34
NR9340--MA0684.1.RUNX3	chr6	142950588	142950597	-	0.000	0.000	Merged-chr6-142950474-44
NR10829--MA0002.2.RUNX1	chr9	56135736	56135746	-	0.000	0.000	Merged-chr9-56135710-8
NR210--MA0511.2.RUNX2	chr1	61402510	61402518	+	0.000	0.000	Merged-chr1-61402618-25
NR2365--MA0002.2.RUNX1	chr12	41500244	41500254	+	0.000	0.000	Merged-chr12-41500391-75
NR2907--MA0002.2.RUNX1	chr13	30682001	30682011	+	0.000	0.000	Merged-chr13-30682181-38
NR10687--MA0684.1.RUNX3	chr9	14172082	14172091	+	0.000	0.000	Merged-chr9-14171965-37
NR8656--MA0002.2.RUNX1	chr5	144294997	144295007	-	0.000	0.000	Merged-chr5-144295152-24
NR10938--MA0002.2.RUNX1	chr9	70080176	70080186	+	0.000	0.000	Merged-chr9-70080238-33
NR5136--MA0002.2.RUNX1	chr17	79817129	79817139	-	0.000	0.000	Merged-chr17-79817109-13
NR5407--MA0002.2.RUNX1	chr18	64919477	64919487	+	0.000	0.000	Merged-chr18-64919536-37
NR10796--MA0684.1.RUNX3	chr9	48562592	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR3185--MA0002.2.RUNX1	chr13	98124673	98124683	-	0.000	0.000	Merged-chr13-98124541-43
NR11129--MA0511.2.RUNX2	chr9	101249836	101249844	-	0.000	0.000	Merged-chr9-101249791-43
NR10253--MA0002.2.RUNX1	chr8	40963101	40963111	+	0.000	0.000	Merged-chr8-40963134-88
NR9767--MA0684.1.RUNX3	chr7	98090400	98090409	+	0.000	0.000	Merged-chr7-98090470-13
NR2997--MA0002.2.RUNX1	chr13	52083823	52083833	+	0.000	0.000	Merged-chr13-52083938-53
NR5807--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR8642--MA0684.1.RUNX3	chr5	143077514	143077523	+	0.000	0.000	Merged-chr5-143077525-16
NR7895--MA0511.2.RUNX2	chr4	139242141	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR4805--MA0002.2.RUNX1	chr17	12715293	12715303	-	0.000	0.000	Merged-chr17-12715294-20
NR9227--MA0511.2.RUNX2	chr6	128771053	128771061	-	0.000	0.000	Merged-chr6-128771124-9
NR7177--MA0002.2.RUNX1	chr3	133079931	133079941	-	0.000	0.000	Merged-chr3-133079778-18
NR10014--MA0002.2.RUNX1	chr7	132402775	132402785	+	0.000	0.000	Merged-chr7-132402823-64
NR10907--MA0511.2.RUNX2	chr9	67813735	67813743	+	0.000	0.000	Merged-chr9-67813867-45
NR5149--MA0002.2.RUNX1	chr17	80772668	80772678	+	0.000	0.000	Merged-chr17-80772766-52
NR6780--MA0002.2.RUNX1	chr3	21996140	21996150	+	0.000	0.000	Merged-chr3-21996009-51
NR5105--MA0511.2.RUNX2	chr17	73810291	73810299	-	0.000	0.000	Merged-chr17-73810198-2
NR6846--MA0002.2.RUNX1	chr3	55419613	55419623	+	0.000	0.000	Merged-chr3-55419547-37
NR6975--MA0684.1.RUNX3	chr3	97055097	97055106	-	0.000	0.000	Merged-chr3-97055000-19
NR10123--MA0002.2.RUNX1	chr8	3205371	3205381	+	0.000	0.000	Merged-chr8-3205181-19
NR5357--MA0511.2.RUNX2	chr18	56413122	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR10252--MA0684.1.RUNX3	chr8	40584804	40584813	+	0.000	0.000	Merged-chr8-40584789-43
NR8364--MA0002.2.RUNX1	chr5	103917326	103917336	-	0.000	0.000	Merged-chr5-103917325-19
NR10318--MA0684.1.RUNX3	chr8	70174663	70174672	-	0.000	0.000	Merged-chr8-70174484-11
NR10997--MA0511.2.RUNX2	chr9	80313776	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR11201--MA0002.2.RUNX1	chr9	114446464	114446474	-	0.000	0.000	Merged-chr9-114446417-16
NR5466--MA0511.2.RUNX2	chr18	69209062	69209070	-	0.000	0.000	Merged-chr18-69209051-20
NR4804--MA0684.1.RUNX3	chr17	12513683	12513692	-	0.000	0.000	Merged-chr17-12513699-7
NR6607--MA0002.2.RUNX1	chr2	164356396	164356406	-	0.000	0.000	Merged-chr2-164356374-20
NR5052--MA0511.2.RUNX2	chr17	57131990	57131998	+	0.000	0.000	Merged-chr17-57131873-41
NR1536--MA0684.1.RUNX3	chr10	128991150	128991159	-	0.000	0.000	Merged-chr10-128991197-23
NR2214--MA0002.2.RUNX1	chr11	117965812	117965822	-	0.000	0.000	Merged-chr11-117965771-41
NR1960--MA0002.2.RUNX1	chr11	90488369	90488379	+	0.000	0.000	Merged-chr11-90488376-19
NR10659--MA0002.2.RUNX1	chr8	128643063	128643073	+	0.000	0.000	Merged-chr8-128643198-31
NR7679--MA0002.2.RUNX1	chr4	101349790	101349800	-	0.000	0.000	Merged-chr4-101349658-19
NR212--MA0002.2.RUNX1	chr1	61402510	61402520	-	0.000	0.000	Merged-chr1-61402618-25
NR9488--MA0684.1.RUNX3	chr7	24457834	24457843	+	0.000	0.000	Merged-chr7-24457903-49
NR292--MA0511.2.RUNX2	chr1	80418896	80418904	-	0.000	0.000	Merged-chr1-80418874-24
NR3848--MA0684.1.RUNX3	chr15	31546324	31546333	+	0.000	0.000	Merged-chr15-31546423-43
NR10374--MA0684.1.RUNX3	chr8	81572864	81572873	+	0.000	0.000	Merged-chr8-81572647-16
NR7221--MA0511.2.RUNX2	chr3	137954548	137954556	+	0.000	0.000	Merged-chr3-137954430-54
NR4731--MA0002.2.RUNX1	chr16	95999442	95999452	+	0.000	0.000	Merged-chr16-95999409-48
NR5366--MA0684.1.RUNX3	chr18	56711183	56711192	-	0.000	0.000	Merged-chr18-56711213-24
NR38--MA0002.2.RUNX1	chr1	20825285	20825295	-	0.000	0.000	Merged-chr1-20825313-33
NR1135--MA0684.1.RUNX3	chr10	60287906	60287915	-	0.000	0.000	Merged-chr10-60287885-29
NR5445--MA0511.2.RUNX2	chr18	66407905	66407913	+	0.000	0.000	Merged-chr18-66407896-2
NR2832--MA0684.1.RUNX3	chr13	13729841	13729850	-	0.000	0.000	Merged-chr13-13729900-19
NR11161--MA0002.2.RUNX1	chr9	107334653	107334663	-	0.000	0.000	Merged-chr9-107334469-86
NR9533--MA0511.2.RUNX2	chr7	39650867	39650875	+	0.000	0.000	Merged-chr7-39650740-5
NR10258--MA0002.2.RUNX1	chr8	41334317	41334327	+	0.000	0.000	Merged-chr8-41334366-24
NR10529--MA0002.2.RUNX1	chr8	116689973	116689983	-	0.000	0.000	Merged-chr8-116689955-52
NR7278--MA0002.2.RUNX1	chr3	145538099	145538109	-	0.000	0.000	Merged-chr3-145538069-30
NR2941--MA0684.1.RUNX3	chr13	36814133	36814142	-	0.000	0.000	Merged-chr13-36814220-30
NR8561--MA0002.2.RUNX1	chr5	134282794	134282804	+	0.000	0.000	Merged-chr5-134282688-60
NR10989--MA0511.2.RUNX2	chr9	79756092	79756100	+	0.000	0.000	Merged-chr9-79756214-5
NR7787--MA0684.1.RUNX3	chr4	122829547	122829556	+	0.000	0.000	Merged-chr4-122829434-12
NR2302--MA0002.2.RUNX1	chr12	24565554	24565564	-	0.000	0.000	Merged-chr12-24565518-17
NR8613--MA0684.1.RUNX3	chr5	139368218	139368227	+	0.000	0.000	Merged-chr5-139368071-16
NR8670--MA0002.2.RUNX1	chr5	147366586	147366596	-	0.000	0.000	Merged-chr5-147366476-45
NR4982--MA0684.1.RUNX3	chr17	45703419	45703428	+	0.000	0.000	Merged-chr17-45703436-19
NR238--MA0002.2.RUNX1	chr1	69513556	69513566	+	0.000	0.000	Merged-chr1-69513618-39
NR37--MA0684.1.RUNX3	chr1	20740682	20740691	-	0.000	0.000	Merged-chr1-20740658-39
NR572--MA0684.1.RUNX3	chr1	151894203	151894212	+	0.000	0.000	Merged-chr1-151894159-30
NR8051--MA0002.2.RUNX1	chr5	8374630	8374640	+	0.000	0.000	Merged-chr5-8374526-17
NR4691--MA0002.2.RUNX1	chr16	92995402	92995412	+	0.000	0.000	Merged-chr16-92995449-20
NR4962--MA0002.2.RUNX1	chr17	43645417	43645427	-	0.000	0.000	Merged-chr17-43645396-23
NR5424--MA0511.2.RUNX2	chr18	65481405	65481413	-	0.000	0.000	Merged-chr18-65481395-37
NR4886--MA0684.1.RUNX3	chr17	27323199	27323208	-	0.000	0.000	Merged-chr17-27323176-36
NR7277--MA0684.1.RUNX3	chr3	145538076	145538085	+	0.000	0.000	Merged-chr3-145538069-30
NR1095--MA0684.1.RUNX3	chr10	44786536	44786545	-	0.000	0.000	Merged-chr10-44786456-11
NR7356--MA0511.2.RUNX2	chr3	154778979	154778987	+	0.000	0.000	Merged-chr3-154778992-62
NR599--MA0002.2.RUNX1	chr1	156107631	156107641	+	0.000	0.000	Merged-chr1-156107572-8
NR6751--MA0002.2.RUNX1	chr3	9968790	9968800	+	0.000	0.000	Merged-chr3-9968684-31
NR4595--MA0002.2.RUNX1	chr16	84620107	84620117	-	0.000	0.000	Merged-chr16-84619977-8
NR4200--MA0002.2.RUNX1	chr15	100301529	100301539	+	0.000	0.000	Merged-chr15-100301694-19
NR8683--MA0002.2.RUNX1	chr5	148678762	148678772	-	0.000	0.000	Merged-chr5-148678733-37
NR6403--MA0002.2.RUNX1	chr2	128087932	128087942	+	0.000	0.000	Merged-chr2-128088091-23
NR9608--MA0684.1.RUNX3	chr7	58392982	58392991	-	0.000	0.000	Merged-chr7-58392737-68
NR7386--MA0684.1.RUNX3	chr4	6682089	6682098	-	0.000	0.000	Merged-chr4-6682175-50
NR4104--MA0002.2.RUNX1	chr15	85328088	85328098	+	0.000	0.000	Merged-chr15-85328019-32
NR3850--MA0002.2.RUNX1	chr15	33083258	33083268	+	0.000	0.000	Merged-chr15-33083437-82
NR6241--MA0002.2.RUNX1	chr2	84582457	84582467	+	0.000	0.000	Merged-chr2-84582461-28
NR3486--MA0511.2.RUNX2	chr14	60072651	60072659	+	0.000	0.000	Merged-chr14-60072713-24
NR11301--MA0684.1.RUNX3	chr9	120116423	120116432	+	0.000	0.000	Merged-chr9-120116499-4
NR10998--MA0684.1.RUNX3	chr9	80313775	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR6416--MA0002.2.RUNX1	chr2	128544656	128544666	-	0.000	0.000	Merged-chr2-128544786-45
NR2662--MA0684.1.RUNX3	chr12	110332811	110332820	+	0.000	0.000	Merged-chr12-110332893-21
NR1931--MA0002.2.RUNX1	chr11	85545769	85545779	+	0.000	0.000	Merged-chr11-85545806-18
NR7256--MA0684.1.RUNX3	chr3	142892308	142892317	+	0.000	0.000	Merged-chr3-142892335-19
NR677--MA0511.2.RUNX2	chr1	165985849	165985857	+	0.000	0.000	Merged-chr1-165985990-54
NR2166--MA0002.2.RUNX1	chr11	113536904	113536914	+	0.000	0.000	Merged-chr11-113536889-33
NR10759--MA0684.1.RUNX3	chr9	42022493	42022502	+	0.000	0.000	Merged-chr9-42022537-24
NR6210--MA0511.2.RUNX2	chr2	76567405	76567413	+	0.000	0.000	Merged-chr2-76567320-34
NR2023--MA0002.2.RUNX1	chr11	101199655	101199665	-	0.000	0.000	Merged-chr11-101199720-6
NR2689--MA0002.2.RUNX1	chr12	112720127	112720137	+	0.000	0.000	Merged-chr12-112720162-15
NR11437--MA0002.2.RUNX1	chrX	93617323	93617333	-	0.000	0.000	Merged-chrX-93617420-5
NR8810--MA0684.1.RUNX3	chr6	38581835	38581844	-	0.000	0.000	Merged-chr6-38581914-20
NR9168--MA0002.2.RUNX1	chr6	120957517	120957527	+	0.000	0.000	Merged-chr6-120957473-22
NR643--MA0511.2.RUNX2	chr1	163374770	163374778	-	0.000	0.000	Merged-chr1-163374764-34
NR89--MA0511.2.RUNX2	chr1	39205208	39205216	-	0.000	0.000	Merged-chr1-39205202-13
NR5145--MA0511.2.RUNX2	chr17	80762566	80762574	-	0.000	0.000	Merged-chr17-80762560-27
NR3194--MA0511.2.RUNX2	chr13	98924159	98924167	+	0.000	0.000	Merged-chr13-98924179-4
NR2803--MA0684.1.RUNX3	chr13	5757410	5757419	+	0.000	0.000	Merged-chr13-5757363-53
NR4335--MA0002.2.RUNX1	chr16	23838334	23838344	+	0.000	0.000	Merged-chr16-23838386-46
NR6538--MA0002.2.RUNX1	chr2	153336329	153336339	+	0.000	0.000	Merged-chr2-153336329-40
NR4858--MA0002.2.RUNX1	chr17	23617238	23617248	+	0.000	0.000	Merged-chr17-23617236-49
NR6223--MA0511.2.RUNX2	chr2	79121098	79121106	+	0.000	0.000	Merged-chr2-79121079-51
NR2764--MA0002.2.RUNX1	chr12	117348669	117348679	-	0.000	0.000	Merged-chr12-117348724-32
NR3418--MA0684.1.RUNX3	chr14	45102340	45102349	+	0.000	0.000	Merged-chr14-45102324-46
NR2101--MA0511.2.RUNX2	chr11	107668373	107668381	-	0.000	0.000	Merged-chr11-107668374-46
NR9438--MA0684.1.RUNX3	chr6	149261066	149261075	-	0.000	0.000	Merged-chr6-149260973-38
NR4077--MA0002.2.RUNX1	chr15	80611652	80611662	+	0.000	0.000	Merged-chr15-80611666-31
NR10053--MA0684.1.RUNX3	chr7	137476759	137476768	-	0.000	0.000	Merged-chr7-137476773-22
NR8641--MA0002.2.RUNX1	chr5	143077514	143077524	-	0.000	0.000	Merged-chr5-143077525-16
NR11397--MA0002.2.RUNX1	chrX	52819526	52819536	-	0.000	0.000	Merged-chrX-52819571-21
NR5459--MA0684.1.RUNX3	chr18	68227789	68227798	-	0.000	0.000	Merged-chr18-68227583-82
NR11002--MA0002.2.RUNX1	chr9	80820301	80820311	-	0.000	0.000	Merged-chr9-80820177-30
NR8770--MA0684.1.RUNX3	chr6	24894869	24894878	+	0.000	0.000	Merged-chr6-24894743-37
NR2525--MA0002.2.RUNX1	chr12	89479238	89479248	+	0.000	0.000	Merged-chr12-89479308-33
NR7218--MA0511.2.RUNX2	chr3	137800415	137800423	+	0.000	0.000	Merged-chr3-137800561-20
NR11131--MA0684.1.RUNX3	chr9	101249835	101249844	-	0.000	0.000	Merged-chr9-101249791-43
NR622--MA0511.2.RUNX2	chr1	160268535	160268543	+	0.000	0.000	Merged-chr1-160268500-8
NR5045--MA0684.1.RUNX3	chr17	56443647	56443656	+	0.000	0.000	Merged-chr17-56443573-18
NR5568--MA0684.1.RUNX3	chr18	84302688	84302697	+	0.000	0.000	Merged-chr18-84302803-33
NR10307--MA0511.2.RUNX2	chr8	68218507	68218515	-	0.000	0.000	Merged-chr8-68218689-19
NR2158--MA0002.2.RUNX1	chr11	113153554	113153564	-	0.000	0.000	Merged-chr11-113153533-26
NR447--MA0684.1.RUNX3	chr1	127732967	127732976	-	0.000	0.000	Merged-chr1-127732945-24
NR731--MA0511.2.RUNX2	chr1	173910928	173910936	-	0.000	0.000	Merged-chr1-173910910-9
NR8802--MA0684.1.RUNX3	chr6	34364971	34364980	+	0.000	0.000	Merged-chr6-34364838-25
NR1761--MA0002.2.RUNX1	chr11	58290456	58290466	+	0.000	0.000	Merged-chr11-58290425-28
NR6769--MA0002.2.RUNX1	chr3	21884637	21884647	-	0.000	0.000	Merged-chr3-21884458-21
NR11015--MA0002.2.RUNX1	chr9	84031079	84031089	-	0.000	0.000	Merged-chr9-84030961-27
NR8511--MA0002.2.RUNX1	chr5	121796150	121796160	+	0.000	0.000	Merged-chr5-121796162-9
NR9017--MA0002.2.RUNX1	chr6	87437077	87437087	-	0.000	0.000	Merged-chr6-87436992-13
NR5058--MA0684.1.RUNX3	chr17	62784252	62784261	+	0.000	0.000	Merged-chr17-62784192-42
NR6755--MA0684.1.RUNX3	chr3	10151850	10151859	-	0.000	0.000	Merged-chr3-10151750-17
NR3821--MA0002.2.RUNX1	chr15	12924016	12924026	+	0.000	0.000	Merged-chr15-12923985-15
NR6007--MA0002.2.RUNX1	chr2	21223168	21223178	+	0.000	0.000	Merged-chr2-21222970-39
NR11124--MA0002.2.RUNX1	chr9	99240847	99240857	-	0.000	0.000	Merged-chr9-99240754-7
NR4185--MA0684.1.RUNX3	chr15	99065733	99065742	-	0.000	0.000	Merged-chr15-99065640-20
NR4456--MA0684.1.RUNX3	chr16	45222995	45223004	-	0.000	0.000	Merged-chr16-45223020-10
