#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1267--MA0690.1.TBX21	chr4	8837761	8837770	+	0.000	0.000	Merged-chr4-8837800-54
NR409--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR1137--MA0690.1.TBX21	chr3	19459116	19459125	-	0.000	0.000	Merged-chr3-19459037-66
NR2053--MA0690.1.TBX21	chrX	163995481	163995490	-	0.000	0.000	Merged-chrX-163995389-32
NR117--MA0690.1.TBX21	chr1	153583251	153583260	+	0.000	0.000	Merged-chr1-153583385-34
NR226--MA0690.1.TBX21	chr10	68199642	68199651	-	0.000	0.000	Merged-chr10-68199721-19
NR1701--MA0690.1.TBX21	chr7	63930246	63930255	-	0.000	0.000	Merged-chr7-63930287-48
NR282--MA0690.1.TBX21	chr11	17005008	17005017	+	0.000	0.000	Merged-chr11-17005179-7
NR109--MA0690.1.TBX21	chr1	143319642	143319651	-	0.000	0.000	Merged-chr1-143319719-34
NR2011--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1802--MA0690.1.TBX21	chr7	142399306	142399315	-	0.000	0.000	Merged-chr7-142399305-21
NR1911--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR253--MA0690.1.TBX21	chr10	117526902	117526911	+	0.000	0.000	Merged-chr10-117526787-23
NR808--MA0690.1.TBX21	chr17	56134707	56134716	+	0.000	0.000	Merged-chr17-56134663-50
NR2029--MA0690.1.TBX21	chrX	36744826	36744835	-	0.000	0.000	Merged-chrX-36744841-35
NR1632--MA0690.1.TBX21	chr6	124911746	124911755	+	0.000	0.000	Merged-chr6-124911783-36
NR258--MA0690.1.TBX21	chr10	118884243	118884252	+	0.000	0.000	Merged-chr10-118884259-20
NR1863--MA0690.1.TBX21	chr8	68218580	68218589	+	0.000	0.000	Merged-chr8-68218689-19
NR115--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
NR638--MA0690.1.TBX21	chr15	12558205	12558214	+	0.000	0.000	Merged-chr15-12558296-9
NR1876--MA0690.1.TBX21	chr8	83737043	83737052	+	0.000	0.000	Merged-chr8-83736940-32
NR1842--MA0690.1.TBX21	chr8	33663517	33663526	+	0.000	0.000	Merged-chr8-33663493-16
NR107--MA0690.1.TBX21	chr1	138590549	138590558	+	0.000	0.000	Merged-chr1-138590602-27
NR1202--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1890--MA0690.1.TBX21	chr8	106973714	106973723	+	0.000	0.000	Merged-chr8-106973584-40
NR1956--MA0690.1.TBX21	chr9	69362312	69362321	+	0.000	0.000	Merged-chr9-69362247-25
NR1404--MA0690.1.TBX21	chr5	35176289	35176298	-	0.000	0.000	Merged-chr5-35176446-65
NR2019--MA0690.1.TBX21	chr9	120023319	120023328	-	0.000	0.000	Merged-chr9-120023283-16
NR1765--MA0690.1.TBX21	chr7	118276812	118276821	+	0.000	0.000	Merged-chr7-118276887-4
NR1080--MA0690.1.TBX21	chr2	128190350	128190359	+	0.000	0.000	Merged-chr2-128190126-44
NR1622--MA0690.1.TBX21	chr6	119199052	119199061	+	0.000	0.000	Merged-chr6-119199024-52
NR1112--MA0690.1.TBX21	chr2	170307092	170307101	+	0.000	0.000	Merged-chr2-170306902-1
NR1539--MA0690.1.TBX21	chr6	38360233	38360242	-	0.000	0.000	Merged-chr6-38360325-47
NR963--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR820--MA0690.1.TBX21	chr17	71288394	71288403	-	0.000	0.000	Merged-chr17-71288308-17
NR1595--MA0690.1.TBX21	chr6	99435233	99435242	-	0.000	0.000	Merged-chr6-99435291-39
NR1499--MA0690.1.TBX21	chr5	139299471	139299480	+	0.000	0.000	Merged-chr5-139299297-63
NR1194--MA0690.1.TBX21	chr3	103872835	103872844	+	0.000	0.000	Merged-chr3-103872856-42
NR432--MA0690.1.TBX21	chr13	22609091	22609100	-	0.000	0.000	Merged-chr13-22609236-45
NR1478--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR921--MA0690.1.TBX21	chr19	10816058	10816067	+	0.000	0.000	Merged-chr19-10816124-38
NR302--MA0690.1.TBX21	chr11	53810475	53810484	+	0.000	0.000	Merged-chr11-53810428-22
NR19--MA0690.1.TBX21	chr1	43467845	43467854	+	0.000	0.000	Merged-chr1-43467968-50
NR554--MA0690.1.TBX21	chr14	20682638	20682647	-	0.000	0.000	Merged-chr14-20682563-46
NR825--MA0690.1.TBX21	chr17	84166624	84166633	+	0.000	0.000	Merged-chr17-84166652-22
NR663--MA0690.1.TBX21	chr15	59009672	59009681	-	0.000	0.000	Merged-chr15-59009632-21
NR1566--MA0690.1.TBX21	chr6	72624169	72624178	-	0.000	0.000	Merged-chr6-72624270-20
NR1056--MA0690.1.TBX21	chr2	102849935	102849944	+	0.000	0.000	Merged-chr2-102849968-21
NR1327--MA0690.1.TBX21	chr4	107006396	107006405	-	0.000	0.000	Merged-chr4-107006366-21
NR1165--MA0690.1.TBX21	chr3	79210486	79210495	+	0.000	0.000	Merged-chr3-79210417-27
NR1707--MA0690.1.TBX21	chr7	73576508	73576517	-	0.000	0.000	Merged-chr7-73576506-24
NR798--MA0690.1.TBX21	chr17	47123781	47123790	-	0.000	0.000	Merged-chr17-47123695-29
NR384--MA0690.1.TBX21	chr12	79447174	79447183	+	0.000	0.000	Merged-chr12-79447275-32
NR1274--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR254--MA0690.1.TBX21	chr10	117894541	117894550	-	0.000	0.000	Merged-chr10-117894550-44
NR1396--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR472--MA0690.1.TBX21	chr13	63189867	63189876	-	0.000	0.000	Merged-chr13-63189715-33
NR809--MA0690.1.TBX21	chr17	56134698	56134707	-	0.000	0.000	Merged-chr17-56134663-50
NR1266--MA0690.1.TBX21	chr4	8834811	8834820	-	0.000	0.000	Merged-chr4-8834782-18
NR1789--MA0690.1.TBX21	chr7	136255759	136255768	-	0.000	0.000	Merged-chr7-136255803-24
NR878--MA0690.1.TBX21	chr18	62186502	62186511	-	0.000	0.000	Merged-chr18-62186304-32
NR281--MA0690.1.TBX21	chr11	11522097	11522106	-	0.000	0.000	Merged-chr11-11522120-49
NR390--MA0690.1.TBX21	chr12	85430672	85430681	-	0.000	0.000	Merged-chr12-85430592-32
NR313--MA0690.1.TBX21	chr11	72342357	72342366	-	0.000	0.000	Merged-chr11-72342522-29
NR578--MA0690.1.TBX21	chr14	62627492	62627501	+	0.000	0.000	Merged-chr14-62627525-13
NR849--MA0690.1.TBX21	chr18	23828760	23828769	-	0.000	0.000	Merged-chr18-23828715-22
NR2023--MA0690.1.TBX21	chr9	123836112	123836121	-	0.000	0.000	Merged-chr9-123836013-41
NR815--MA0690.1.TBX21	chr17	66123690	66123699	+	0.000	0.000	Merged-chr17-66123713-52
NR339--MA0690.1.TBX21	chr11	104629747	104629756	+	0.000	0.000	Merged-chr11-104629776-1
NR130--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR1801--MA0690.1.TBX21	chr7	142114093	142114102	-	0.000	0.000	Merged-chr7-142113991-20
NR414--MA0690.1.TBX21	chr12	112994447	112994456	+	0.000	0.000	Merged-chr12-112994371-22
NR679--MA0690.1.TBX21	chr15	78450358	78450367	-	0.000	0.000	Merged-chr15-78450295-54
NR536--MA0690.1.TBX21	chr13	117223430	117223439	+	0.000	0.000	Merged-chr13-117223399-24
NR1870--MA0690.1.TBX21	chr8	75202318	75202327	-	0.000	0.000	Merged-chr8-75202303-18
NR278--MA0690.1.TBX21	chr11	5005454	5005463	+	0.000	0.000	Merged-chr11-5005546-13
NR1971--MA0690.1.TBX21	chr9	95845004	95845013	-	0.000	0.000	Merged-chr9-95845141-41
NR106--MA0690.1.TBX21	chr1	138290109	138290118	-	0.000	0.000	Merged-chr1-138290182-44
NR358--MA0690.1.TBX21	chr12	16558322	16558331	-	0.000	0.000	Merged-chr12-16558216-24
NR629--MA0690.1.TBX21	chr14	122187098	122187107	-	0.000	0.000	Merged-chr14-122187060-26
NR1201--MA0690.1.TBX21	chr3	115692527	115692536	-	0.000	0.000	Merged-chr3-115692552-34
NR1453--MA0690.1.TBX21	chr5	105610010	105610019	-	0.000	0.000	Merged-chr5-105609798-27
NR1671--MA0690.1.TBX21	chr7	12891134	12891143	-	0.000	0.000	Merged-chr7-12891207-39
NR1323--MA0690.1.TBX21	chr4	101298631	101298640	-	0.000	0.000	Merged-chr4-101298593-40
NR2034--MA0690.1.TBX21	chrX	57196576	57196585	-	0.000	0.000	Merged-chrX-57196423-53
NR1432--MA0690.1.TBX21	chr5	77166398	77166407	+	0.000	0.000	Merged-chr5-77166256-29
NR1703--MA0690.1.TBX21	chr7	66228718	66228727	-	0.000	0.000	Merged-chr7-66228697-16
NR1955--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR1716--MA0690.1.TBX21	chr7	81179777	81179786	+	0.000	0.000	Merged-chr7-81179607-41
NR2013--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR1283--MA0690.1.TBX21	chr4	40781322	40781331	-	0.000	0.000	Merged-chr4-40781341-5
NR1934--MA0690.1.TBX21	chr9	22650014	22650023	+	0.000	0.000	Merged-chr9-22649822-33
NR308--MA0690.1.TBX21	chr11	68442509	68442518	+	0.000	0.000	Merged-chr11-68442579-25
NR1403--MA0690.1.TBX21	chr5	33520472	33520481	+	0.000	0.000	Merged-chr5-33520453-4
NR1384--MA0690.1.TBX21	chr4	155217500	155217509	-	0.000	0.000	Merged-chr4-155217471-52
NR159--MA0690.1.TBX21	chr1	191802782	191802791	-	0.000	0.000	Merged-chr1-191802759-25
NR1472--MA0690.1.TBX21	chr5	118465400	118465409	+	0.000	0.000	Merged-chr5-118465239-56
NR1180--MA0690.1.TBX21	chr3	94375491	94375500	+	0.000	0.000	Merged-chr3-94375656-27
NR1560--MA0690.1.TBX21	chr6	67128021	67128030	-	0.000	0.000	Merged-chr6-67128007-16
NR1626--MA0690.1.TBX21	chr6	122270272	122270281	-	0.000	0.000	Merged-chr6-122270304-33
NR920--MA0690.1.TBX21	chr19	10198893	10198902	+	0.000	0.000	Merged-chr19-10198987-5
NR1509--MA0690.1.TBX21	chr5	144973180	144973189	-	0.000	0.000	Merged-chr5-144972995-15
NR946--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR1422--MA0690.1.TBX21	chr5	65867371	65867380	+	0.000	0.000	Merged-chr5-65867573-52
NR784--MA0690.1.TBX21	chr17	25823575	25823584	+	0.000	0.000	Merged-chr17-25823669-27
NR511--MA0690.1.TBX21	chr13	102899635	102899644	-	0.000	0.000	Merged-chr13-102899540-65
NR1382--MA0690.1.TBX21	chr4	152446672	152446681	+	0.000	0.000	Merged-chr4-152446445-57
NR1305--MA0690.1.TBX21	chr4	70304062	70304071	+	0.000	0.000	Merged-chr4-70303963-30
NR851--MA0690.1.TBX21	chr18	24052323	24052332	+	0.000	0.000	Merged-chr18-24052394-19
NR1897--MA0690.1.TBX21	chr8	117052689	117052698	-	0.000	0.000	Merged-chr8-117052612-3
NR450--MA0690.1.TBX21	chr13	45443314	45443323	+	0.000	0.000	Merged-chr13-45443236-24
NR721--MA0690.1.TBX21	chr16	44337730	44337739	-	0.000	0.000	Merged-chr16-44337753-20
NR1496--MA0690.1.TBX21	chr5	136460026	136460035	+	0.000	0.000	Merged-chr5-136460136-37
NR1082--MA0690.1.TBX21	chr2	129185880	129185889	+	0.000	0.000	Merged-chr2-129186012-43
NR1366--MA0690.1.TBX21	chr4	145264492	145264501	+	0.000	0.000	Merged-chr4-145264291-60
NR1637--MA0690.1.TBX21	chr6	129627631	129627640	+	0.000	0.000	Merged-chr6-129627649-22
NR694--MA0690.1.TBX21	chr15	103154462	103154471	-	0.000	0.000	Merged-chr15-103154383-18
NR346--MA0690.1.TBX21	chr11	115646672	115646681	-	0.000	0.000	Merged-chr11-115646752-30
NR1507--MA0690.1.TBX21	chr5	143518120	143518129	-	0.000	0.000	Merged-chr5-143518064-68
NR312--MA0690.1.TBX21	chr11	72342371	72342380	+	0.000	0.000	Merged-chr11-72342522-29
NR29--MA0690.1.TBX21	chr1	54660903	54660912	-	0.000	0.000	Merged-chr1-54660876-41
NR1215--MA0690.1.TBX21	chr3	127892093	127892102	+	0.000	0.000	Merged-chr3-127892051-37
NR848--MA0690.1.TBX21	chr18	14603698	14603707	-	0.000	0.000	Merged-chr18-14603655-48
NR1467--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR923--MA0690.1.TBX21	chr19	12479411	12479420	-	0.000	0.000	Merged-chr19-12479491-16
NR699--MA0690.1.TBX21	chr16	10976341	10976350	-	0.000	0.000	Merged-chr16-10976349-23
NR761--MA0690.1.TBX21	chr16	93787925	93787934	+	0.000	0.000	Merged-chr16-93787829-41
NR142--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR413--MA0690.1.TBX21	chr12	112868493	112868502	-	0.000	0.000	Merged-chr12-112868485-40
NR678--MA0690.1.TBX21	chr15	78248438	78248447	-	0.000	0.000	Merged-chr15-78248653-25
NR501--MA0690.1.TBX21	chr13	93763091	93763100	-	0.000	0.000	Merged-chr13-93763032-30
NR277--MA0690.1.TBX21	chr11	4206152	4206161	+	0.000	0.000	Merged-chr11-4206247-48
NR405--MA0690.1.TBX21	chr12	99564864	99564873	-	0.000	0.000	Merged-chr12-99564769-43
NR147--MA0690.1.TBX21	chr1	182383282	182383291	-	0.000	0.000	Merged-chr1-182383219-38
NR1970--MA0690.1.TBX21	chr9	95152018	95152027	-	0.000	0.000	Merged-chr9-95151869-50
NR1159--MA0690.1.TBX21	chr3	59260859	59260868	-	0.000	0.000	Merged-chr3-59260932-51
NR583--MA0690.1.TBX21	chr14	64628283	64628292	+	0.000	0.000	Merged-chr14-64628307-21
NR248--MA0690.1.TBX21	chr10	111571264	111571273	+	0.000	0.000	Merged-chr10-111571158-21
NR357--MA0690.1.TBX21	chr12	12278402	12278411	+	0.000	0.000	Merged-chr12-12278395-37
NR628--MA0690.1.TBX21	chr14	121999603	121999612	+	0.000	0.000	Merged-chr14-121999673-38
NR214--MA0690.1.TBX21	chr10	59896805	59896814	-	0.000	0.000	Merged-chr10-59896998-59
NR989--MA0690.1.TBX21	chr2	31131251	31131260	-	0.000	0.000	Merged-chr2-31131193-36
NR1975--MA0690.1.TBX21	chr9	96740731	96740740	-	0.000	0.000	Merged-chr9-96740764-95
NR2020--MA0690.1.TBX21	chr9	121669588	121669597	-	0.000	0.000	Merged-chr9-121669585-61
NR227--MA0690.1.TBX21	chr10	70133419	70133428	-	0.000	0.000	Merged-chr10-70133310-29
NR1431--MA0690.1.TBX21	chr5	77091900	77091909	-	0.000	0.000	Merged-chr5-77092081-48
NR1683--MA0690.1.TBX21	chr7	28792566	28792575	-	0.000	0.000	Merged-chr7-28792616-46
NR2046--MA0690.1.TBX21	chrX	150468422	150468431	-	0.000	0.000	Merged-chrX-150468455-12
NR1792--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR2012--MA0690.1.TBX21	chr9	117925007	117925016	-	0.000	0.000	Merged-chr9-117925055-43
NR1880--MA0690.1.TBX21	chr8	86838967	86838976	-	0.000	0.000	Merged-chr8-86839061-45
NR307--MA0690.1.TBX21	chr11	67527182	67527191	+	0.000	0.000	Merged-chr11-67526987-43
