#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR8371--MA0511.2.RUNX2	chr6	130387068	130387076	+	0.000	0.000	Merged-chr6-130387166-57
NR6658--MA0002.2.RUNX1	chr4	24537174	24537184	-	0.000	0.000	Merged-chr4-24537174-7
NR1392--MA0002.2.RUNX1	chr10	118486819	118486829	-	0.000	0.000	Merged-chr10-118486914-30
NR5817--MA0002.2.RUNX1	chr2	166549238	166549248	-	0.000	0.000	Merged-chr2-166549284-30
NR861--MA0002.2.RUNX1	chr10	5448546	5448556	+	0.000	0.000	Merged-chr10-5448562-35
NR3792--MA0002.2.RUNX1	chr16	23181794	23181804	+	0.000	0.000	Merged-chr16-23181616-66
NR5170--MA0511.2.RUNX2	chr2	7254734	7254742	-	0.000	0.000	Merged-chr2-7254714-17
NR6628--MA0684.1.RUNX3	chr4	11492628	11492637	-	0.000	0.000	Merged-chr4-11492586-1
NR6099--MA0684.1.RUNX3	chr3	79227567	79227576	+	0.000	0.000	Merged-chr3-79227479-60
NR3435--MA0684.1.RUNX3	chr15	36565767	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR3021--MA0684.1.RUNX3	chr14	30675111	30675120	+	0.000	0.000	Merged-chr14-30675172-26
NR5042--MA0002.2.RUNX1	chr19	41365781	41365791	-	0.000	0.000	Merged-chr19-41365730-30
NR8326--MA0511.2.RUNX2	chr6	127302987	127302995	+	0.000	0.000	Merged-chr6-127302896-25
NR1334--MA0002.2.RUNX1	chr10	111446509	111446519	+	0.000	0.000	Merged-chr10-111446386-39
NR3414--MA0684.1.RUNX3	chr15	31649792	31649801	-	0.000	0.000	Merged-chr15-31649789-27
NR824--MA0002.2.RUNX1	chr1	191780421	191780431	-	0.000	0.000	Merged-chr1-191780513-20
NR1638--MA0684.1.RUNX3	chr11	58017538	58017547	-	0.000	0.000	Merged-chr11-58017541-22
NR5978--MA0684.1.RUNX3	chr3	28244427	28244436	-	0.000	0.000	Merged-chr3-28244555-21
NR7323--MA0511.2.RUNX2	chr5	34822910	34822918	-	0.000	0.000	Merged-chr5-34822830-22
NR2882--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR9536--MA0002.2.RUNX1	chr9	14296249	14296259	+	0.000	0.000	Merged-chr9-14296291-25
NR8934--MA0002.2.RUNX1	chr7	119673632	119673642	-	0.000	0.000	Merged-chr7-119673662-33
NR9919--MA0511.2.RUNX2	chr9	108083386	108083394	-	0.000	0.000	Merged-chr9-108083224-47
NR1120--MA0511.2.RUNX2	chr10	71226073	71226081	-	0.000	0.000	Merged-chr10-71226142-30
NR1719--MA0002.2.RUNX1	chr11	79670801	79670811	+	0.000	0.000	Merged-chr11-79670763-15
NR1143--MA0002.2.RUNX1	chr10	74823619	74823629	+	0.000	0.000	Merged-chr10-74823662-27
NR9954--MA0511.2.RUNX2	chr9	114016573	114016581	+	0.000	0.000	Merged-chr9-114016465-30
NR4741--MA0511.2.RUNX2	chr18	65819118	65819126	-	0.000	0.000	Merged-chr18-65819211-50
NR3338--MA0002.2.RUNX1	chr14	122186975	122186985	+	0.000	0.000	Merged-chr14-122187060-26
NR10--MA0684.1.RUNX3	chr1	7147198	7147207	+	0.000	0.000	Merged-chr1-7147128-26
NR4905--MA0002.2.RUNX1	chr19	6304990	6305000	+	0.000	0.000	Merged-chr19-6305008-11
NR4743--MA0002.2.RUNX1	chr18	65819123	65819133	+	0.000	0.000	Merged-chr18-65819211-50
NR4918--MA0002.2.RUNX1	chr19	10830052	10830062	+	0.000	0.000	Merged-chr19-10829902-50
NR4690--MA0002.2.RUNX1	chr18	56718261	56718271	-	0.000	0.000	Merged-chr18-56718184-1
NR16--MA0002.2.RUNX1	chr1	11229601	11229611	+	0.000	0.000	Merged-chr1-11229597-37
NR7276--MA0684.1.RUNX3	chr5	22360808	22360817	-	0.000	0.000	Merged-chr5-22360842-38
NR170--MA0684.1.RUNX3	chr1	55630384	55630393	-	0.000	0.000	Merged-chr1-55630357-14
NR5816--MA0511.2.RUNX2	chr2	166549238	166549246	+	0.000	0.000	Merged-chr2-166549284-30
NR6885--MA0002.2.RUNX1	chr4	98282548	98282558	+	0.000	0.000	Merged-chr4-98282479-46
NR7456--MA0511.2.RUNX2	chr5	89198657	89198665	-	0.000	0.000	Merged-chr5-89198704-31
NR2001--MA0002.2.RUNX1	chr12	26401906	26401916	-	0.000	0.000	Merged-chr12-26401651-77
NR4599--MA0002.2.RUNX1	chr18	35383457	35383467	-	0.000	0.000	Merged-chr18-35383519-5
NR350--MA0511.2.RUNX2	chr1	95674259	95674267	-	0.000	0.000	Merged-chr1-95674241-20
NR2776--MA0002.2.RUNX1	chr13	93593537	93593547	+	0.000	0.000	Merged-chr13-93593412-57
NR8544--MA0002.2.RUNX1	chr7	19344733	19344743	+	0.000	0.000	Merged-chr7-19344685-1
NR5123--MA0511.2.RUNX2	chr19	58051140	58051148	+	0.000	0.000	Merged-chr19-58051277-2
NR8--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR1188--MA0002.2.RUNX1	chr10	81249630	81249640	-	0.000	0.000	Merged-chr10-81249714-12
NR2491--MA0684.1.RUNX3	chr13	24779334	24779343	-	0.000	0.000	Merged-chr13-24779175-40
NR1349--MA0684.1.RUNX3	chr10	116914010	116914019	+	0.000	0.000	Merged-chr10-116914032-56
NR6734--MA0002.2.RUNX1	chr4	47746775	47746785	-	0.000	0.000	Merged-chr4-47746738-34
NR6115--MA0002.2.RUNX1	chr3	81783106	81783116	-	0.000	0.000	Merged-chr3-81783133-49
NR8652--MA0684.1.RUNX3	chr7	58710574	58710583	-	0.000	0.000	Merged-chr7-58710588-32
NR4434--MA0684.1.RUNX3	chr17	79394209	79394218	-	0.000	0.000	Merged-chr17-79394145-31
NR8754--MA0002.2.RUNX1	chr7	84681780	84681790	-	0.000	0.000	Merged-chr7-84681796-26
NR6107--MA0002.2.RUNX1	chr3	81102253	81102263	+	0.000	0.000	Merged-chr3-81102418-9
NR8373--MA0684.1.RUNX3	chr6	130387068	130387077	+	0.000	0.000	Merged-chr6-130387166-57
NR5710--MA0002.2.RUNX1	chr2	148443337	148443347	-	0.000	0.000	Merged-chr2-148443470-36
NR7056--MA0684.1.RUNX3	chr4	134106301	134106310	-	0.000	0.000	Merged-chr4-134106328-10
NR6739--MA0002.2.RUNX1	chr4	53278150	53278160	-	0.000	0.000	Merged-chr4-53278272-26
NR7579--MA0684.1.RUNX3	chr5	106677005	106677014	+	0.000	0.000	Merged-chr5-106676986-37
NR6543--MA0002.2.RUNX1	chr3	149443134	149443144	+	0.000	0.000	Merged-chr3-149443176-11
NR9920--MA0002.2.RUNX1	chr9	108083384	108083394	+	0.000	0.000	Merged-chr9-108083224-47
NR6467--MA0684.1.RUNX3	chr3	142863419	142863428	+	0.000	0.000	Merged-chr3-142863489-16
NR10237--MA0511.2.RUNX2	chrX	159828383	159828391	+	0.000	0.000	Merged-chrX-159828290-35
NR5301--MA0002.2.RUNX1	chr2	36220299	36220309	+	0.000	0.000	Merged-chr2-36220233-13
NR8323--MA0684.1.RUNX3	chr6	126811746	126811755	-	0.000	0.000	Merged-chr6-126811749-38
NR6626--MA0511.2.RUNX2	chr4	11492629	11492637	-	0.000	0.000	Merged-chr4-11492586-1
NR1261--MA0002.2.RUNX1	chr10	93195083	93195093	-	0.000	0.000	Merged-chr10-93194947-1
NR1022--MA0002.2.RUNX1	chr10	42849060	42849070	-	0.000	0.000	Merged-chr10-42848913-29
NR4316--MA0002.2.RUNX1	chr17	51396111	51396121	+	0.000	0.000	Merged-chr17-51396225-19
NR4839--MA0002.2.RUNX1	chr18	81211045	81211055	+	0.000	0.000	Merged-chr18-81210997-16
NR8328--MA0684.1.RUNX3	chr6	127302987	127302996	+	0.000	0.000	Merged-chr6-127302896-25
NR4392--MA0684.1.RUNX3	chr17	71216502	71216511	-	0.000	0.000	Merged-chr17-71216494-9
NR6466--MA0002.2.RUNX1	chr3	142863419	142863429	-	0.000	0.000	Merged-chr3-142863489-16
NR9972--MA0684.1.RUNX3	chr9	115214733	115214742	-	0.000	0.000	Merged-chr9-115214840-19
NR6118--MA0002.2.RUNX1	chr3	82365230	82365240	-	0.000	0.000	Merged-chr3-82365236-33
NR4917--MA0511.2.RUNX2	chr19	10830054	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR9541--MA0511.2.RUNX2	chr9	15004406	15004414	+	0.000	0.000	Merged-chr9-15004523-21
NR2979--MA0511.2.RUNX2	chr14	20775785	20775793	+	0.000	0.000	Merged-chr14-20775848-16
NR7840--MA0511.2.RUNX2	chr6	5436828	5436836	-	0.000	0.000	Merged-chr6-5436735-3
NR5171--MA0002.2.RUNX1	chr2	7254732	7254742	+	0.000	0.000	Merged-chr2-7254714-17
NR5564--MA0002.2.RUNX1	chr2	112765178	112765188	+	0.000	0.000	Merged-chr2-112765248-29
NR6278--MA0511.2.RUNX2	chr3	107761657	107761665	-	0.000	0.000	Merged-chr3-107761625-19
NR4598--MA0511.2.RUNX2	chr18	35383457	35383465	+	0.000	0.000	Merged-chr18-35383519-5
NR1455--MA0002.2.RUNX1	chr10	128135525	128135535	-	0.000	0.000	Merged-chr10-128135587-20
NR4811--MA0002.2.RUNX1	chr18	77121745	77121755	-	0.000	0.000	Merged-chr18-77121790-35
NR5426--MA0002.2.RUNX1	chr2	71843427	71843437	+	0.000	0.000	Merged-chr2-71843530-15
NR1718--MA0002.2.RUNX1	chr11	79670751	79670761	-	0.000	0.000	Merged-chr11-79670763-15
NR7324--MA0002.2.RUNX1	chr5	34822908	34822918	+	0.000	0.000	Merged-chr5-34822830-22
NR8750--MA0002.2.RUNX1	chr7	83742754	83742764	-	0.000	0.000	Merged-chr7-83742815-34
NR6106--MA0511.2.RUNX2	chr3	81102255	81102263	-	0.000	0.000	Merged-chr3-81102418-9
NR9050--MA0511.2.RUNX2	chr7	139951255	139951263	-	0.000	0.000	Merged-chr7-139951341-4
NR9970--MA0684.1.RUNX3	chr9	115088474	115088483	+	0.000	0.000	Merged-chr9-115088492-13
NR7274--MA0511.2.RUNX2	chr5	22360809	22360817	-	0.000	0.000	Merged-chr5-22360842-38
NR2981--MA0684.1.RUNX3	chr14	20775785	20775794	+	0.000	0.000	Merged-chr14-20775848-16
NR1121--MA0002.2.RUNX1	chr10	71226071	71226081	+	0.000	0.000	Merged-chr10-71226142-30
NR5818--MA0684.1.RUNX3	chr2	166549238	166549247	+	0.000	0.000	Merged-chr2-166549284-30
NR7458--MA0684.1.RUNX3	chr5	89198656	89198665	-	0.000	0.000	Merged-chr5-89198704-31
NR3793--MA0684.1.RUNX3	chr16	23181795	23181804	-	0.000	0.000	Merged-chr16-23181616-66
NR4742--MA0002.2.RUNX1	chr18	65819116	65819126	+	0.000	0.000	Merged-chr18-65819211-50
NR2966--MA0002.2.RUNX1	chr14	16172551	16172561	+	0.000	0.000	Merged-chr14-16172497-2
NR9051--MA0684.1.RUNX3	chr7	139951254	139951263	-	0.000	0.000	Merged-chr7-139951341-4
NR1347--MA0511.2.RUNX2	chr10	116914010	116914018	+	0.000	0.000	Merged-chr10-116914032-56
NR563--MA0002.2.RUNX1	chr1	153238161	153238171	+	0.000	0.000	Merged-chr1-153238219-13
NR1021--MA0511.2.RUNX2	chr10	42849060	42849068	+	0.000	0.000	Merged-chr10-42848913-29
NR4203--MA0002.2.RUNX1	chr17	27997540	27997550	-	0.000	0.000	Merged-chr17-27997387-33
NR2980--MA0002.2.RUNX1	chr14	20775785	20775795	-	0.000	0.000	Merged-chr14-20775848-16
NR7054--MA0511.2.RUNX2	chr4	134106302	134106310	-	0.000	0.000	Merged-chr4-134106328-10
NR7577--MA0511.2.RUNX2	chr5	106677005	106677013	+	0.000	0.000	Merged-chr5-106676986-37
NR10239--MA0684.1.RUNX3	chrX	159828383	159828392	+	0.000	0.000	Merged-chrX-159828290-35
NR7457--MA0002.2.RUNX1	chr5	89198655	89198665	+	0.000	0.000	Merged-chr5-89198704-31
NR3434--MA0511.2.RUNX2	chr15	36565768	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR351--MA0002.2.RUNX1	chr1	95674257	95674267	+	0.000	0.000	Merged-chr1-95674241-20
NR9--MA0002.2.RUNX1	chr1	7147198	7147208	-	0.000	0.000	Merged-chr1-7147128-26
NR4317--MA0002.2.RUNX1	chr17	51396117	51396127	+	0.000	0.000	Merged-chr17-51396225-19
NR887--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR1144--MA0684.1.RUNX3	chr10	74823620	74823629	-	0.000	0.000	Merged-chr10-74823662-27
NR8321--MA0511.2.RUNX2	chr6	126811747	126811755	-	0.000	0.000	Merged-chr6-126811749-38
NR4961--MA0511.2.RUNX2	chr19	21199930	21199938	-	0.000	0.000	Merged-chr19-21199898-12
NR6393--MA0002.2.RUNX1	chr3	132575129	132575139	+	0.000	0.000	Merged-chr3-132575270-5
NR4810--MA0511.2.RUNX2	chr18	77121745	77121753	+	0.000	0.000	Merged-chr18-77121790-35
NR5089--MA0002.2.RUNX1	chr19	55860202	55860212	+	0.000	0.000	Merged-chr19-55860279-23
NR8989--MA0002.2.RUNX1	chr7	128181966	128181976	-	0.000	0.000	Merged-chr7-128181851-12
NR4744--MA0684.1.RUNX3	chr18	65819117	65819126	-	0.000	0.000	Merged-chr18-65819211-50
NR10238--MA0002.2.RUNX1	chrX	159828383	159828393	-	0.000	0.000	Merged-chrX-159828290-35
NR3299--MA0684.1.RUNX3	chr14	116592462	116592471	-	0.000	0.000	Merged-chr14-116592513-1
NR4919--MA0684.1.RUNX3	chr19	10830053	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR4390--MA0511.2.RUNX2	chr17	71216503	71216511	-	0.000	0.000	Merged-chr17-71216494-9
NR168--MA0511.2.RUNX2	chr1	55630385	55630393	-	0.000	0.000	Merged-chr1-55630357-14
NR6627--MA0002.2.RUNX1	chr4	11492627	11492637	+	0.000	0.000	Merged-chr4-11492586-1
NR2002--MA0684.1.RUNX3	chr12	26401906	26401915	+	0.000	0.000	Merged-chr12-26401651-77
NR2125--MA0002.2.RUNX1	chr12	76923257	76923267	+	0.000	0.000	Merged-chr12-76923289-32
NR2489--MA0511.2.RUNX2	chr13	24779335	24779343	-	0.000	0.000	Merged-chr13-24779175-40
NR6239--MA0002.2.RUNX1	chr3	101884383	101884393	-	0.000	0.000	Merged-chr3-101884248-30
NR3020--MA0002.2.RUNX1	chr14	30675111	30675121	-	0.000	0.000	Merged-chr14-30675172-26
NR3413--MA0002.2.RUNX1	chr15	31649791	31649801	+	0.000	0.000	Merged-chr15-31649789-27
NR8755--MA0684.1.RUNX3	chr7	84681780	84681789	+	0.000	0.000	Merged-chr7-84681796-26
NR1637--MA0002.2.RUNX1	chr11	58017537	58017547	+	0.000	0.000	Merged-chr11-58017541-22
NR6108--MA0684.1.RUNX3	chr3	81102254	81102263	-	0.000	0.000	Merged-chr3-81102418-9
NR9542--MA0002.2.RUNX1	chr9	15004571	15004581	+	0.000	0.000	Merged-chr9-15004523-21
NR5977--MA0002.2.RUNX1	chr3	28244426	28244436	+	0.000	0.000	Merged-chr3-28244555-21
NR4345--MA0511.2.RUNX2	chr17	56717938	56717946	-	0.000	0.000	Merged-chr17-56717989-1
NR9969--MA0002.2.RUNX1	chr9	115088474	115088484	-	0.000	0.000	Merged-chr9-115088492-13
NR4202--MA0511.2.RUNX2	chr17	27997540	27997548	+	0.000	0.000	Merged-chr17-27997387-33
NR4498--MA0002.2.RUNX1	chr17	88429221	88429231	+	0.000	0.000	Merged-chr17-88429158-10
NR6544--MA0684.1.RUNX3	chr3	149443135	149443144	-	0.000	0.000	Merged-chr3-149443176-11
NR5698--MA0002.2.RUNX1	chr2	145838854	145838864	+	0.000	0.000	Merged-chr2-145838847-32
NR1704--MA0002.2.RUNX1	chr11	76677231	76677241	+	0.000	0.000	Merged-chr11-76677169-5
NR6279--MA0002.2.RUNX1	chr3	107761655	107761665	+	0.000	0.000	Merged-chr3-107761625-19
NR9612--MA0511.2.RUNX2	chr9	44720806	44720814	+	0.000	0.000	Merged-chr9-44720796-15
NR3791--MA0511.2.RUNX2	chr16	23181796	23181804	-	0.000	0.000	Merged-chr16-23181616-66
NR4346--MA0684.1.RUNX3	chr17	56717937	56717946	-	0.000	0.000	Merged-chr17-56717989-1
NR1023--MA0684.1.RUNX3	chr10	42849060	42849069	+	0.000	0.000	Merged-chr10-42848913-29
NR9613--MA0684.1.RUNX3	chr9	44720806	44720815	+	0.000	0.000	Merged-chr9-44720796-15
NR984--MA0002.2.RUNX1	chr10	30716172	30716182	+	0.000	0.000	Merged-chr10-30716378-49
NR3349--MA0002.2.RUNX1	chr15	3270984	3270994	+	0.000	0.000	Merged-chr15-3270817-58
NR7275--MA0002.2.RUNX1	chr5	22360807	22360817	+	0.000	0.000	Merged-chr5-22360842-38
NR5124--MA0684.1.RUNX3	chr19	58051140	58051149	+	0.000	0.000	Merged-chr19-58051277-2
NR5322--MA0002.2.RUNX1	chr2	49868558	49868568	-	0.000	0.000	Merged-chr2-49868587-25
NR1614--MA0002.2.RUNX1	chr11	53858964	53858974	+	0.000	0.000	Merged-chr11-53859156-64
NR562--MA0002.2.RUNX1	chr1	153238152	153238162	+	0.000	0.000	Merged-chr1-153238219-13
