#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1245--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR17--MA0690.1.TBX21	chr1	34478917	34478926	+	0.000	0.000	Merged-chr1-34479093-40
NR2153--MA0690.1.TBX21	chr8	88298233	88298242	+	0.000	0.000	Merged-chr8-88298148-50
NR130--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR305--MA0690.1.TBX21	chr10	98728849	98728858	-	0.000	0.000	Merged-chr10-98728864-24
NR2350--MA0690.1.TBX21	chrX	103394071	103394080	+	0.000	0.000	Merged-chrX-103394131-19
NR143--MA0690.1.TBX21	chr1	165183959	165183968	-	0.000	0.000	Merged-chr1-165184032-20
NR2220--MA0690.1.TBX21	chr9	21309206	21309215	+	0.000	0.000	Merged-chr9-21309354-45
NR361--MA0690.1.TBX21	chr11	22834097	22834106	-	0.000	0.000	Merged-chr11-22833941-10
NR2355--MA0690.1.TBX21	chrX	150468422	150468431	-	0.000	0.000	Merged-chrX-150468455-12
NR419--MA0690.1.TBX21	chr11	83637010	83637019	+	0.000	0.000	Merged-chr11-83637048-8
NR2193--MA0690.1.TBX21	chr8	122772618	122772627	+	0.000	0.000	Merged-chr8-122772813-21
NR2129--MA0690.1.TBX21	chr8	35429024	35429033	+	0.000	0.000	Merged-chr8-35428921-45
NR2281--MA0690.1.TBX21	chr9	79970765	79970774	+	0.000	0.000	Merged-chr9-79970896-33
NR759--MA0690.1.TBX21	chr14	118838788	118838797	+	0.000	0.000	Merged-chr14-118838804-5
NR2185--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR1440--MA0690.1.TBX21	chr3	115712601	115712610	+	0.000	0.000	Merged-chr3-115712776-1
NR2198--MA0690.1.TBX21	chr8	124594065	124594074	-	0.000	0.000	Merged-chr8-124594227-15
NR215--MA0690.1.TBX21	chr10	12949469	12949478	-	0.000	0.000	Merged-chr10-12949602-11
NR1480--MA0690.1.TBX21	chr3	144397812	144397821	-	0.000	0.000	Merged-chr3-144397925-23
NR970--MA0690.1.TBX21	chr17	30285803	30285812	-	0.000	0.000	Merged-chr17-30285823-16
NR1764--MA0690.1.TBX21	chr5	139290988	139290997	-	0.000	0.000	Merged-chr5-139290875-38
NR2127--MA0690.1.TBX21	chr8	33663517	33663526	+	0.000	0.000	Merged-chr8-33663493-16
NR1730--MA0690.1.TBX21	chr5	107533851	107533860	+	0.000	0.000	Merged-chr5-107533890-8
NR1472--MA0690.1.TBX21	chr3	139033342	139033351	+	0.000	0.000	Merged-chr3-139033383-15
NR1995--MA0690.1.TBX21	chr7	66250098	66250107	-	0.000	0.000	Merged-chr7-66250161-34
NR962--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1987--MA0690.1.TBX21	chr7	47113545	47113554	-	0.000	0.000	Merged-chr7-47113657-15
NR824--MA0690.1.TBX21	chr15	73545774	73545783	+	0.000	0.000	Merged-chr15-73545757-11
NR2--MA0690.1.TBX21	chr1	7147045	7147054	+	0.000	0.000	Merged-chr1-7147128-26
NR1151--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR925--MA0690.1.TBX21	chr16	84496897	84496906	-	0.000	0.000	Merged-chr16-84496971-26
NR1068--MA0690.1.TBX21	chr18	53937539	53937548	+	0.000	0.000	Merged-chr18-53937531-41
NR1130--MA0690.1.TBX21	chr19	17152781	17152790	-	0.000	0.000	Merged-chr19-17152711-1
NR960--MA0690.1.TBX21	chr17	23742492	23742501	+	0.000	0.000	Merged-chr17-23742511-26
NR1374--MA0690.1.TBX21	chr2	180074455	180074464	+	0.000	0.000	Merged-chr2-180074483-5
NR1897--MA0690.1.TBX21	chr6	124911746	124911755	+	0.000	0.000	Merged-chr6-124911783-36
NR211--MA0690.1.TBX21	chr10	8415278	8415287	-	0.000	0.000	Merged-chr10-8415419-33
NR1127--MA0690.1.TBX21	chr19	12805931	12805940	-	0.000	0.000	Merged-chr19-12806193-62
NR726--MA0690.1.TBX21	chr14	64628283	64628292	+	0.000	0.000	Merged-chr14-64628307-21
NR2240--MA0690.1.TBX21	chr9	44582509	44582518	+	0.000	0.000	Merged-chr9-44582588-15
NR394--MA0690.1.TBX21	chr11	70221017	70221026	-	0.000	0.000	Merged-chr11-70221085-67
NR1079--MA0690.1.TBX21	chr18	65189351	65189360	+	0.000	0.000	Merged-chr18-65189388-18
NR896--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR482--MA0690.1.TBX21	chr12	21226478	21226487	+	0.000	0.000	Merged-chr12-21226464-17
NR56--MA0690.1.TBX21	chr1	80597085	80597094	+	0.000	0.000	Merged-chr1-80596993-13
NR2192--MA0690.1.TBX21	chr8	122430451	122430460	+	0.000	0.000	Merged-chr8-122430402-7
NR256--MA0690.1.TBX21	chr10	43934729	43934738	-	0.000	0.000	Merged-chr10-43934871-13
NR779--MA0690.1.TBX21	chr15	5762407	5762416	+	0.000	0.000	Merged-chr15-5762586-40
NR888--MA0690.1.TBX21	chr16	35055325	35055334	-	0.000	0.000	Merged-chr16-35055168-21
NR2062--MA0690.1.TBX21	chr7	126584656	126584665	+	0.000	0.000	Merged-chr7-126584739-30
NR1159--MA0690.1.TBX21	chr19	52979193	52979202	+	0.000	0.000	Merged-chr19-52979291-32
NR649--MA0690.1.TBX21	chr13	104615149	104615158	+	0.000	0.000	Merged-chr13-104615216-10
NR2280--MA0690.1.TBX21	chr9	78593264	78593273	+	0.000	0.000	Merged-chr9-78593326-11
NR2150--MA0690.1.TBX21	chr8	84201493	84201502	-	0.000	0.000	Merged-chr8-84201386-2
NR357--MA0690.1.TBX21	chr11	11763269	11763278	+	0.000	0.000	Merged-chr11-11763344-40
NR323--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR2163--MA0690.1.TBX21	chr8	107291134	107291143	-	0.000	0.000	Merged-chr8-107291325-47
NR1431--MA0690.1.TBX21	chr3	103406616	103406625	+	0.000	0.000	Merged-chr3-103406514-32
NR2189--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR2264--MA0690.1.TBX21	chr9	61754045	61754054	-	0.000	0.000	Merged-chr9-61753912-30
NR2168--MA0690.1.TBX21	chr8	115222257	115222266	+	0.000	0.000	Merged-chr8-115222208-2
NR1131--MA0690.1.TBX21	chr19	17152789	17152798	-	0.000	0.000	Merged-chr19-17152711-1
