#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR758--MA0769.1.Tcf7	chr10	75000945	75000956	-	0.000	0.000	Merged-chr10-75001009-7
NR2301--MA0769.1.Tcf7	chr15	5561895	5561906	+	0.000	0.000	Merged-chr15-5561949-26
NR378--MA1421.1.TCF7L1	chr1	156676432	156676443	+	0.000	0.000	Merged-chr1-156676429-4
NR5490--MA0769.1.Tcf7	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR2707--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR1677--MA0769.1.Tcf7	chr13	5806325	5806336	+	0.000	0.000	Merged-chr13-5806398-17
NR1593--MA0523.1.TCF7L2	chr12	110939500	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR268--MA0523.1.TCF7L2	chr1	127652946	127652959	+	0.000	0.000	Merged-chr1-127652975-7
NR1902--MA1421.1.TCF7L1	chr13	95518101	95518112	+	0.000	0.000	Merged-chr13-95518086-22
NR2116--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR3430--MA1421.1.TCF7L1	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR571--MA1421.1.TCF7L1	chr1	191956264	191956275	-	0.000	0.000	Merged-chr1-191956087-10
NR2057--MA0523.1.TCF7L2	chr14	26919469	26919482	-	0.000	0.000	Merged-chr14-26919575-5
NR6872--MA0523.1.TCF7L2	chr9	114787888	114787901	+	0.000	0.000	Merged-chr9-114787935-34
NR3070--MA0523.1.TCF7L2	chr18	20879969	20879982	+	0.000	0.000	Merged-chr18-20879916-27
NR5303--MA1421.1.TCF7L1	chr5	129191994	129192005	-	0.000	0.000	Merged-chr5-129191899-21
NR5596--MA0523.1.TCF7L2	chr6	94534988	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1721--MA1421.1.TCF7L1	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR857--MA0523.1.TCF7L2	chr10	96115330	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1405--MA0523.1.TCF7L2	chr12	41844193	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR1237--MA0523.1.TCF7L2	chr11	101661867	101661880	+	0.000	0.000	Merged-chr11-101661964-4
NR1597--MA0769.1.Tcf7	chr12	111902696	111902707	+	0.000	0.000	Merged-chr12-111902713-12
NR4092--MA0769.1.Tcf7	chr3	30864002	30864013	+	0.000	0.000	Merged-chr3-30864104-31
NR1839--MA0523.1.TCF7L2	chr13	74490151	74490164	+	0.000	0.000	Merged-chr13-74490220-4
NR5583--MA0523.1.TCF7L2	chr6	90391831	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR3544--MA0769.1.Tcf7	chr2	44159717	44159728	+	0.000	0.000	Merged-chr2-44159655-18
NR3559--MA1421.1.TCF7L1	chr2	48379938	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR3933--MA1421.1.TCF7L1	chr2	150437653	150437664	-	0.000	0.000	Merged-chr2-150437755-14
NR882--MA0523.1.TCF7L2	chr10	99461145	99461158	-	0.000	0.000	Merged-chr10-99461330-50
NR1416--MA1421.1.TCF7L1	chr12	52831026	52831037	-	0.000	0.000	Merged-chr12-52830906-26
NR2123--MA0769.1.Tcf7	chr14	54578411	54578422	+	0.000	0.000	Merged-chr14-54578277-39
NR3522--MA0523.1.TCF7L2	chr2	31186192	31186205	-	0.000	0.000	Merged-chr2-31186156-11
NR1189--MA0523.1.TCF7L2	chr11	87935640	87935653	+	0.000	0.000	Merged-chr11-87935646-41
NR3956--MA0523.1.TCF7L2	chr2	156190370	156190383	-	0.000	0.000	Merged-chr2-156190429-88
NR5074--MA1421.1.TCF7L1	chr5	62763208	62763219	+	0.000	0.000	Merged-chr5-62763141-17
NR1660--MA1421.1.TCF7L1	chr12	118255738	118255749	+	0.000	0.000	Merged-chr12-118255780-45
NR1645--MA0523.1.TCF7L2	chr12	116439703	116439716	-	0.000	0.000	Merged-chr12-116439612-8
NR3790--MA1421.1.TCF7L1	chr2	117089661	117089672	+	0.000	0.000	Merged-chr2-117089625-28
NR3341--MA0523.1.TCF7L2	chr19	32455179	32455192	+	0.000	0.000	Merged-chr19-32455050-22
NR4216--MA1421.1.TCF7L1	chr3	93522163	93522174	-	0.000	0.000	Merged-chr3-93522162-5
NR1723--MA0769.1.Tcf7	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR900--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR2463--MA1421.1.TCF7L1	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR3255--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR493--MA1421.1.TCF7L1	chr1	178629376	178629387	+	0.000	0.000	Merged-chr1-178629339-6
NR6068--MA0523.1.TCF7L2	chr7	98797795	98797808	+	0.000	0.000	Merged-chr7-98797577-28
NR612--MA0769.1.Tcf7	chr10	12985173	12985184	-	0.000	0.000	Merged-chr10-12985296-24
NR3711--MA0523.1.TCF7L2	chr2	92256304	92256317	+	0.000	0.000	Merged-chr2-92256272-20
NR852--MA0523.1.TCF7L2	chr10	95442547	95442560	-	0.000	0.000	Merged-chr10-95442476-5
NR684--MA0523.1.TCF7L2	chr10	42862483	42862496	-	0.000	0.000	Merged-chr10-42862533-53
NR5431--MA1421.1.TCF7L1	chr6	33675687	33675698	+	0.000	0.000	Merged-chr6-33675584-7
NR1630--MA1421.1.TCF7L1	chr12	114916907	114916918	-	0.000	0.000	Merged-chr12-114916975-5
NR261--MA1421.1.TCF7L1	chr1	127318709	127318720	+	0.000	0.000	Merged-chr1-127318690-2
NR5646--MA1421.1.TCF7L1	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR739--MA1421.1.TCF7L1	chr10	68035940	68035951	-	0.000	0.000	Merged-chr10-68036009-2
NR2593--MA0523.1.TCF7L2	chr16	8472066	8472079	-	0.000	0.000	Merged-chr16-8472129-3
NR2241--MA0523.1.TCF7L2	chr14	101892407	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR3019--MA0523.1.TCF7L2	chr17	83832193	83832206	-	0.000	0.000	Merged-chr17-83832348-24
NR1883--MA1421.1.TCF7L1	chr13	91697295	91697306	+	0.000	0.000	Merged-chr13-91697201-18
NR6257--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR6053--MA1421.1.TCF7L1	chr7	90345120	90345131	-	0.000	0.000	Merged-chr7-90345081-52
NR2940--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR4959--MA1421.1.TCF7L1	chr5	8839300	8839311	-	0.000	0.000	Merged-chr5-8839426-88
NR4273--MA0769.1.Tcf7	chr3	106967025	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR3431--MA0523.1.TCF7L2	chr2	5003239	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR4997--MA1421.1.TCF7L1	chr5	23604534	23604545	+	0.000	0.000	Merged-chr5-23604556-29
NR4148--MA0769.1.Tcf7	chr3	65537533	65537544	+	0.000	0.000	Merged-chr3-65537527-21
NR6737--MA1421.1.TCF7L1	chr9	79914385	79914396	+	0.000	0.000	Merged-chr9-79914391-28
NR3794--MA1421.1.TCF7L1	chr2	117374269	117374280	-	0.000	0.000	Merged-chr2-117374468-47
NR2313--MA0769.1.Tcf7	chr15	9528431	9528442	-	0.000	0.000	Merged-chr15-9528468-81
NR4778--MA1421.1.TCF7L1	chr4	103113538	103113549	+	0.000	0.000	Merged-chr4-103113589-3
NR2792--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR1722--MA0523.1.TCF7L2	chr13	33071990	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR3318--MA1421.1.TCF7L1	chr19	20931282	20931293	-	0.000	0.000	Merged-chr19-20931393-10
NR779--MA0769.1.Tcf7	chr10	78115089	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR5519--MA0523.1.TCF7L2	chr6	65585158	65585171	+	0.000	0.000	Merged-chr6-65585243-27
NR4272--MA0523.1.TCF7L2	chr3	106967023	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR3748--MA0769.1.Tcf7	chr2	103632623	103632634	+	0.000	0.000	Merged-chr2-103632734-49
NR5557--MA0523.1.TCF7L2	chr6	82744572	82744585	-	0.000	0.000	Merged-chr6-82744737-54
NR4135--MA0523.1.TCF7L2	chr3	60422472	60422485	+	0.000	0.000	Merged-chr3-60422418-15
NR3945--MA1421.1.TCF7L1	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR6915--MA0769.1.Tcf7	chr9	120961773	120961784	-	0.000	0.000	Merged-chr9-120961674-26
