#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1349--MA0690.1.TBX21	chr4	130188901	130188910	+	0.000	0.000	Merged-chr4-130189069-22
NR839--MA0690.1.TBX21	chr17	93158864	93158873	+	0.000	0.000	Merged-chr17-93158612-24
NR901--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR500--MA0690.1.TBX21	chr13	93073216	93073225	-	0.000	0.000	Merged-chr13-93073224-49
NR818--MA0690.1.TBX21	chr17	70942722	70942731	+	0.000	0.000	Merged-chr17-70942808-10
NR799--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR385--MA0690.1.TBX21	chr12	79462858	79462867	+	0.000	0.000	Merged-chr12-79462700-17
NR242--MA0690.1.TBX21	chr10	93783436	93783445	+	0.000	0.000	Merged-chr10-93783466-5
NR494--MA0690.1.TBX21	chr13	89634129	89634138	-	0.000	0.000	Merged-chr13-89634283-22
NR1288--MA0690.1.TBX21	chr4	43823042	43823051	+	0.000	0.000	Merged-chr4-43823081-36
NR234--MA0690.1.TBX21	chr10	84438418	84438427	+	0.000	0.000	Merged-chr10-84438225-18
NR757--MA0690.1.TBX21	chr16	92060025	92060034	+	0.000	0.000	Merged-chr16-92060091-18
NR595--MA0690.1.TBX21	chr14	79234768	79234777	+	0.000	0.000	Merged-chr14-79234697-12
NR290--MA0690.1.TBX21	chr11	33700902	33700911	+	0.000	0.000	Merged-chr11-33701004-51
NR561--MA0690.1.TBX21	chr14	27390814	27390823	+	0.000	0.000	Merged-chr14-27390836-41
NR369--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR444--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR715--MA0690.1.TBX21	chr16	37094606	37094615	+	0.000	0.000	Merged-chr16-37094405-73
NR553--MA0690.1.TBX21	chr14	20479912	20479921	-	0.000	0.000	Merged-chr14-20479960-47
NR205--MA0690.1.TBX21	chr10	54118060	54118069	+	0.000	0.000	Merged-chr10-54118025-47
NR218--MA0690.1.TBX21	chr10	61560030	61560039	+	0.000	0.000	Merged-chr10-61559785-43
NR1089--MA0690.1.TBX21	chr2	145161231	145161240	+	0.000	0.000	Merged-chr2-145161321-32
NR144--MA0690.1.TBX21	chr1	177676766	177676775	-	0.000	0.000	Merged-chr1-177676690-44
NR667--MA0690.1.TBX21	chr15	64249418	64249427	+	0.000	0.000	Merged-chr15-64249418-10
NR1762--MA0690.1.TBX21	chr7	117404642	117404651	+	0.000	0.000	Merged-chr7-117404576-18
NR659--MA0690.1.TBX21	chr15	52459039	52459048	-	0.000	0.000	Merged-chr15-52458976-27
NR128--MA0690.1.TBX21	chr1	164990068	164990077	+	0.000	0.000	Merged-chr1-164989943-18
NR508--MA0690.1.TBX21	chr13	100790366	100790375	-	0.000	0.000	Merged-chr13-100790409-21
NR1680--MA0690.1.TBX21	chr7	24467977	24467986	+	0.000	0.000	Merged-chr7-24468111-23
NR1998--MA0690.1.TBX21	chr9	112185873	112185882	-	0.000	0.000	Merged-chr9-112185998-1
NR1170--MA0690.1.TBX21	chr3	81172467	81172476	-	0.000	0.000	Merged-chr3-81172380-11
NR1292--MA0690.1.TBX21	chr4	45514006	45514015	+	0.000	0.000	Merged-chr4-45514037-30
NR1420--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR1053--MA0690.1.TBX21	chr2	102034538	102034547	+	0.000	0.000	Merged-chr2-102034492-49
NR1162--MA0690.1.TBX21	chr3	68494164	68494173	+	0.000	0.000	Merged-chr3-68493991-26
NR1704--MA0690.1.TBX21	chr7	68288137	68288146	-	0.000	0.000	Merged-chr7-68288130-13
NR1446--MA0690.1.TBX21	chr5	100651646	100651655	-	0.000	0.000	Merged-chr5-100651654-38
NR1717--MA0690.1.TBX21	chr7	81828038	81828047	-	0.000	0.000	Merged-chr7-81828174-18
NR1011--MA0690.1.TBX21	chr2	51588219	51588228	-	0.000	0.000	Merged-chr2-51588305-7
NR591--MA0690.1.TBX21	chr14	73472648	73472657	-	0.000	0.000	Merged-chr14-73472602-8
NR862--MA0690.1.TBX21	chr18	39473505	39473514	-	0.000	0.000	Merged-chr18-39473569-19
NR1590--MA0690.1.TBX21	chr6	94636273	94636282	+	0.000	0.000	Merged-chr6-94636290-6
NR22--MA0690.1.TBX21	chr1	43767976	43767985	+	0.000	0.000	Merged-chr1-43767994-5
NR1874--MA0690.1.TBX21	chr8	81558766	81558775	+	0.000	0.000	Merged-chr8-81558760-48
NR841--MA0690.1.TBX21	chr18	11967343	11967352	+	0.000	0.000	Merged-chr18-11967276-33
NR950--MA0690.1.TBX21	chr19	47882826	47882835	-	0.000	0.000	Merged-chr19-47882754-39
NR1138--MA0690.1.TBX21	chr3	21598181	21598190	-	0.000	0.000	Merged-chr3-21598278-24
NR562--MA0690.1.TBX21	chr14	30014621	30014630	+	0.000	0.000	Merged-chr14-30014704-42
NR1213--MA0690.1.TBX21	chr3	126660887	126660896	-	0.000	0.000	Merged-chr3-126660767-126
NR1988--MA0690.1.TBX21	chr9	106233720	106233729	+	0.000	0.000	Merged-chr9-106233665-1
NR1160--MA0690.1.TBX21	chr3	61344351	61344360	-	0.000	0.000	Merged-chr3-61344207-16
NR716--MA0690.1.TBX21	chr16	38549714	38549723	-	0.000	0.000	Merged-chr16-38549784-1
NR1335--MA0690.1.TBX21	chr4	120044820	120044829	-	0.000	0.000	Merged-chr4-120044912-16
NR75--MA0690.1.TBX21	chr1	106688284	106688293	-	0.000	0.000	Merged-chr1-106688184-71
NR990--MA0690.1.TBX21	chr2	31303429	31303438	-	0.000	0.000	Merged-chr2-31303456-10
NR132--MA0690.1.TBX21	chr1	167212530	167212539	+	0.000	0.000	Merged-chr1-167212500-30
NR1959--MA0690.1.TBX21	chr9	75115457	75115466	-	0.000	0.000	Merged-chr9-75115492-20
NR1178--MA0690.1.TBX21	chr3	89906194	89906203	-	0.000	0.000	Merged-chr3-89906356-37
NR600--MA0690.1.TBX21	chr14	87079973	87079982	-	0.000	0.000	Merged-chr14-87079950-39
NR46--MA0690.1.TBX21	chr1	79015712	79015721	-	0.000	0.000	Merged-chr1-79015819-1
NR376--MA0690.1.TBX21	chr12	69102158	69102167	+	0.000	0.000	Merged-chr12-69102156-32
NR59--MA0690.1.TBX21	chr1	85958280	85958289	+	0.000	0.000	Merged-chr1-85958439-33
NR1279--MA0690.1.TBX21	chr4	33466681	33466690	+	0.000	0.000	Merged-chr4-33466683-10
NR180--MA0690.1.TBX21	chr10	21504658	21504667	+	0.000	0.000	Merged-chr10-21504659-28
NR722--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR212--MA0690.1.TBX21	chr10	58480315	58480324	-	0.000	0.000	Merged-chr10-58480234-23
NR193--MA0690.1.TBX21	chr10	39625408	39625417	-	0.000	0.000	Merged-chr10-39625592-31
NR38--MA0690.1.TBX21	chr1	61136375	61136384	-	0.000	0.000	Merged-chr1-61136351-1
NR1096--MA0690.1.TBX21	chr2	153278540	153278549	+	0.000	0.000	Merged-chr2-153278581-35
NR586--MA0690.1.TBX21	chr14	68044936	68044945	-	0.000	0.000	Merged-chr14-68044800-35
NR714--MA0690.1.TBX21	chr16	33499339	33499348	+	0.000	0.000	Merged-chr16-33499243-20
NR618--MA0690.1.TBX21	chr14	118109994	118110003	-	0.000	0.000	Merged-chr14-118109992-14
NR979--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR217--MA0690.1.TBX21	chr10	60189923	60189932	-	0.000	0.000	Merged-chr10-60189958-4
NR1229--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR653--MA0690.1.TBX21	chr15	38635341	38635350	-	0.000	0.000	Merged-chr15-38635237-53
NR448--MA0690.1.TBX21	chr13	44507254	44507263	+	0.000	0.000	Merged-chr13-44507226-54
NR491--MA0690.1.TBX21	chr13	84791293	84791302	-	0.000	0.000	Merged-chr13-84791325-24
NR666--MA0690.1.TBX21	chr15	64174601	64174610	-	0.000	0.000	Merged-chr15-64174654-18
NR2015--MA0690.1.TBX21	chr9	118678469	118678478	-	0.000	0.000	Merged-chr9-118678587-68
NR78--MA0690.1.TBX21	chr1	120162063	120162072	+	0.000	0.000	Merged-chr1-120162199-15
NR658--MA0690.1.TBX21	chr15	50942759	50942768	+	0.000	0.000	Merged-chr15-50942797-12
NR889--MA0690.1.TBX21	chr18	73547774	73547783	+	0.000	0.000	Merged-chr18-73547712-20
NR379--MA0690.1.TBX21	chr12	72104664	72104673	+	0.000	0.000	Merged-chr12-72104700-33
NR236--MA0690.1.TBX21	chr10	84562857	84562866	-	0.000	0.000	Merged-chr10-84562862-32
NR488--MA0690.1.TBX21	chr13	81705651	81705660	+	0.000	0.000	Merged-chr13-81705633-6
NR759--MA0690.1.TBX21	chr16	92743945	92743954	-	0.000	0.000	Merged-chr16-92743989-33
NR1854--MA0690.1.TBX21	chr8	54491327	54491336	-	0.000	0.000	Merged-chr8-54491328-31
NR1963--MA0690.1.TBX21	chr9	80026311	80026320	+	0.000	0.000	Merged-chr9-80026146-29
NR196--MA0690.1.TBX21	chr10	40479339	40479348	+	0.000	0.000	Merged-chr10-40479489-48
NR1724--MA0690.1.TBX21	chr7	84624622	84624631	-	0.000	0.000	Merged-chr7-84624790-8
NR1562--MA0690.1.TBX21	chr6	67184845	67184854	-	0.000	0.000	Merged-chr6-67184785-39
NR1161--MA0690.1.TBX21	chr3	65650797	65650806	+	0.000	0.000	Merged-chr3-65650597-39
NR459--MA0690.1.TBX21	chr13	51598327	51598336	+	0.000	0.000	Merged-chr13-51598262-24
NR1153--MA0690.1.TBX21	chr3	52784723	52784732	+	0.000	0.000	Merged-chr3-52784763-15
NR991--MA0690.1.TBX21	chr2	31612910	31612919	+	0.000	0.000	Merged-chr2-31612988-19
NR2039--MA0690.1.TBX21	chrX	93368368	93368377	-	0.000	0.000	Merged-chrX-93368471-14
NR1512--MA0690.1.TBX21	chr5	147564037	147564046	-	0.000	0.000	Merged-chr5-147564223-70
NR1634--MA0690.1.TBX21	chr6	127365547	127365556	+	0.000	0.000	Merged-chr6-127365482-29
NR1220--MA0690.1.TBX21	chr3	136630076	136630085	-	0.000	0.000	Merged-chr3-136630225-22
NR1538--MA0690.1.TBX21	chr6	38066533	38066542	-	0.000	0.000	Merged-chr6-38066382-23
NR1594--MA0690.1.TBX21	chr6	99309571	99309580	+	0.000	0.000	Merged-chr6-99309583-50
NR1368--MA0690.1.TBX21	chr4	145319385	145319394	+	0.000	0.000	Merged-chr4-145319470-38
NR1639--MA0690.1.TBX21	chr6	134174875	134174884	+	0.000	0.000	Merged-chr6-134175051-22
NR1225--MA0690.1.TBX21	chr3	138876406	138876415	+	0.000	0.000	Merged-chr3-138876270-3
NR1748--MA0690.1.TBX21	chr7	110376338	110376347	-	0.000	0.000	Merged-chr7-110376386-11
NR1334--MA0690.1.TBX21	chr4	119339054	119339063	+	0.000	0.000	Merged-chr4-119339139-34
NR1714--MA0690.1.TBX21	chr7	79759970	79759979	+	0.000	0.000	Merged-chr7-79759916-34
NR933--MA0690.1.TBX21	chr19	24175380	24175389	-	0.000	0.000	Merged-chr19-24175252-8
NR1599--MA0690.1.TBX21	chr6	100410328	100410337	+	0.000	0.000	Merged-chr6-100410333-26
NR1313--MA0690.1.TBX21	chr4	86722062	86722071	-	0.000	0.000	Merged-chr4-86721990-52
NR1151--MA0690.1.TBX21	chr3	51495667	51495676	-	0.000	0.000	Merged-chr3-51495816-13
NR40--MA0690.1.TBX21	chr1	64085988	64085997	+	0.000	0.000	Merged-chr1-64086002-50
NR53--MA0690.1.TBX21	chr1	82443824	82443833	+	0.000	0.000	Merged-chr1-82443829-28
NR1273--MA0690.1.TBX21	chr4	21751858	21751867	+	0.000	0.000	Merged-chr4-21752041-18
NR872--MA0690.1.TBX21	chr18	56810051	56810060	-	0.000	0.000	Merged-chr18-56810000-44
NR1557--MA0690.1.TBX21	chr6	61225586	61225595	-	0.000	0.000	Merged-chr6-61225621-10
NR981--MA0690.1.TBX21	chr2	25828789	25828798	+	0.000	0.000	Merged-chr2-25828697-14
NR32--MA0690.1.TBX21	chr1	59189721	59189730	+	0.000	0.000	Merged-chr1-59189721-10
NR362--MA0690.1.TBX21	chr12	21468115	21468124	+	0.000	0.000	Merged-chr12-21468092-6
NR994--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR1265--MA0690.1.TBX21	chr4	8238762	8238771	+	0.000	0.000	Merged-chr4-8238741-41
NR612--MA0690.1.TBX21	chr14	103719034	103719043	-	0.000	0.000	Merged-chr14-103719095-60
NR1026--MA0690.1.TBX21	chr2	61571827	61571836	-	0.000	0.000	Merged-chr2-61571777-18
NR877--MA0690.1.TBX21	chr18	62151883	62151892	-	0.000	0.000	Merged-chr18-62151803-40
NR192--MA0690.1.TBX21	chr10	39517617	39517626	+	0.000	0.000	Merged-chr10-39517662-15
NR734--MA0690.1.TBX21	chr16	52292687	52292696	+	0.000	0.000	Merged-chr16-52292729-42
NR909--MA0690.1.TBX21	chr18	84911756	84911765	+	0.000	0.000	Merged-chr18-84911932-15
NR713--MA0690.1.TBX21	chr16	32229249	32229258	+	0.000	0.000	Merged-chr16-32229198-4
NR16--MA0690.1.TBX21	chr1	43110779	43110788	-	0.000	0.000	Merged-chr1-43110700-26
NR1074--MA0690.1.TBX21	chr2	120502266	120502275	+	0.000	0.000	Merged-chr2-120502347-30
NR978--MA0690.1.TBX21	chr2	22722054	22722063	+	0.000	0.000	Merged-chr2-22721936-56
NR1597--MA0690.1.TBX21	chr6	99631733	99631742	-	0.000	0.000	Merged-chr6-99631666-11
NR835--MA0690.1.TBX21	chr17	88581900	88581909	-	0.000	0.000	Merged-chr17-88581790-53
NR216--MA0690.1.TBX21	chr10	60189916	60189925	-	0.000	0.000	Merged-chr10-60189958-4
NR705--MA0690.1.TBX21	chr16	24092293	24092302	-	0.000	0.000	Merged-chr16-24092313-3
NR98--MA0690.1.TBX21	chr1	133801808	133801817	-	0.000	0.000	Merged-chr1-133801920-3
NR1589--MA0690.1.TBX21	chr6	94509103	94509112	+	0.000	0.000	Merged-chr6-94509203-28
NR1175--MA0690.1.TBX21	chr3	86693972	86693981	+	0.000	0.000	Merged-chr3-86693783-4
NR1207--MA0690.1.TBX21	chr3	117728549	117728558	-	0.000	0.000	Merged-chr3-117728445-14
NR787--MA0690.1.TBX21	chr17	30363576	30363585	-	0.000	0.000	Merged-chr17-30363504-27
NR373--MA0690.1.TBX21	chr12	41340482	41340491	+	0.000	0.000	Merged-chr12-41340383-18
NR439--MA0690.1.TBX21	chr13	30786401	30786410	-	0.000	0.000	Merged-chr13-30786250-58
NR548--MA0690.1.TBX21	chr14	7864737	7864746	+	0.000	0.000	Merged-chr14-7864865-9
NR819--MA0690.1.TBX21	chr17	70942883	70942892	+	0.000	0.000	Merged-chr17-70942808-10
NR928--MA0690.1.TBX21	chr19	16436038	16436047	+	0.000	0.000	Merged-chr19-16435881-71
NR113--MA0690.1.TBX21	chr1	151167946	151167955	-	0.000	0.000	Merged-chr1-151167792-22
NR474--MA0690.1.TBX21	chr13	65176451	65176460	-	0.000	0.000	Merged-chr13-65176353-33
NR235--MA0690.1.TBX21	chr10	84516205	84516214	+	0.000	0.000	Merged-chr10-84515919-48
NR139--MA0690.1.TBX21	chr1	171816030	171816039	+	0.000	0.000	Merged-chr1-171815916-41
NR105--MA0690.1.TBX21	chr1	137799073	137799082	-	0.000	0.000	Merged-chr1-137799060-11
NR1710--MA0690.1.TBX21	chr7	76047971	76047980	-	0.000	0.000	Merged-chr7-76048040-27
NR1723--MA0690.1.TBX21	chr7	84596947	84596956	+	0.000	0.000	Merged-chr7-84596846-5
NR1561--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR1941--MA0690.1.TBX21	chr9	44691793	44691802	+	0.000	0.000	Merged-chr9-44691735-2
NR445--MA0690.1.TBX21	chr13	37007561	37007570	+	0.000	0.000	Merged-chr13-37007584-10
NR187--MA0690.1.TBX21	chr10	26630361	26630370	-	0.000	0.000	Merged-chr10-26630459-16
NR275--MA0690.1.TBX21	chr10	128991240	128991249	-	0.000	0.000	Merged-chr10-128991197-23
NR1803--MA0690.1.TBX21	chr7	142967355	142967364	+	0.000	0.000	Merged-chr7-142967366-1
NR288--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
NR1816--MA0690.1.TBX21	chr8	11203511	11203520	+	0.000	0.000	Merged-chr8-11203491-10
NR397--MA0690.1.TBX21	chr12	91328801	91328810	-	0.000	0.000	Merged-chr12-91328902-3
