#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR3421--MA0523.1.TCF7L2	chr2	29666797	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR4005--MA0769.1.Tcf7	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR197--MA0769.1.Tcf7	chr1	106561321	106561332	-	0.000	0.000	Merged-chr1-106561410-50
NR1931--MA0523.1.TCF7L2	chr14	18426088	18426101	+	0.000	0.000	Merged-chr14-18426065-14
NR4803--MA1421.1.TCF7L1	chr5	92128690	92128701	+	0.000	0.000	Merged-chr5-92128744-12
NR1774--MA0769.1.Tcf7	chr13	100866491	100866502	-	0.000	0.000	Merged-chr13-100866518-52
NR5947--MA0523.1.TCF7L2	chr8	83740307	83740320	+	0.000	0.000	Merged-chr8-83740218-49
NR491--MA1421.1.TCF7L1	chr10	12961776	12961787	-	0.000	0.000	Merged-chr10-12961810-12
NR5779--MA0523.1.TCF7L2	chr7	127922798	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR2242--MA1421.1.TCF7L1	chr15	5929701	5929712	-	0.000	0.000	Merged-chr15-5929612-10
NR4334--MA1421.1.TCF7L1	chr4	56944537	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR3045--MA0769.1.Tcf7	chr18	53411604	53411615	+	0.000	0.000	Merged-chr18-53411654-14
NR1110--MA0523.1.TCF7L2	chr11	101661867	101661880	+	0.000	0.000	Merged-chr11-101661964-4
NR3893--MA0523.1.TCF7L2	chr3	22040806	22040819	+	0.000	0.000	Merged-chr3-22040885-32
NR5207--MA0769.1.Tcf7	chr6	89288317	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR35--MA0523.1.TCF7L2	chr1	38723947	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR524--MA0769.1.Tcf7	chr10	24954124	24954135	+	0.000	0.000	Merged-chr10-24954230-36
NR1869--MA1421.1.TCF7L1	chr13	112970440	112970451	+	0.000	0.000	Merged-chr13-112970510-24
NR5686--MA0769.1.Tcf7	chr7	112860104	112860115	-	0.000	0.000	Merged-chr7-112860209-23
NR5500--MA0523.1.TCF7L2	chr7	43481483	43481496	-	0.000	0.000	Merged-chr7-43481332-27
NR3072--MA0523.1.TCF7L2	chr18	60375874	60375887	-	0.000	0.000	Merged-chr18-60375896-42
NR1119--MA0523.1.TCF7L2	chr11	105445156	105445169	-	0.000	0.000	Merged-chr11-105445069-18
NR425--MA0523.1.TCF7L2	chr1	183180468	183180481	+	0.000	0.000	Merged-chr1-183180587-56
NR6221--MA0523.1.TCF7L2	chr9	55410581	55410594	-	0.000	0.000	Merged-chr9-55410514-19
NR5766--MA0523.1.TCF7L2	chr7	125607594	125607607	+	0.000	0.000	Merged-chr7-125607654-51
NR5010--MA0769.1.Tcf7	chr5	149427634	149427645	-	0.000	0.000	Merged-chr5-149427432-30
NR1759--MA0523.1.TCF7L2	chr13	95449965	95449978	+	0.000	0.000	Merged-chr13-95449730-51
NR3455--MA0523.1.TCF7L2	chr2	44528728	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR2645--MA0769.1.Tcf7	chr16	76354484	76354495	+	0.000	0.000	Merged-chr16-76354540-16
NR4344--MA0523.1.TCF7L2	chr4	59933288	59933301	+	0.000	0.000	Merged-chr4-59933078-31
NR905--MA1421.1.TCF7L1	chr11	22936501	22936512	+	0.000	0.000	Merged-chr11-22936648-30
NR2347--MA0523.1.TCF7L2	chr15	66818807	66818820	-	0.000	0.000	Merged-chr15-66818844-13
NR5219--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1989--MA1421.1.TCF7L1	chr14	48422211	48422222	+	0.000	0.000	Merged-chr14-48422314-53
NR4368--MA1421.1.TCF7L1	chr4	85005637	85005648	+	0.000	0.000	Merged-chr4-85005781-54
NR3068--MA0769.1.Tcf7	chr18	57249947	57249958	-	0.000	0.000	Merged-chr18-57249763-26
NR3520--MA0769.1.Tcf7	chr2	70933333	70933344	+	0.000	0.000	Merged-chr2-70933304-29
NR846--MA0523.1.TCF7L2	chr10	128940662	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR2878--MA1421.1.TCF7L1	chr17	51879847	51879858	-	0.000	0.000	Merged-chr17-51879858-102
NR5588--MA0769.1.Tcf7	chr7	84141525	84141536	+	0.000	0.000	Merged-chr7-84141440-16
NR2663--MA0769.1.Tcf7	chr16	78573189	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR1591--MA0769.1.Tcf7	chr13	13582128	13582139	+	0.000	0.000	Merged-chr13-13582107-29
NR1448--MA0769.1.Tcf7	chr12	105538381	105538392	+	0.000	0.000	Merged-chr12-105538395-6
NR4825--MA0769.1.Tcf7	chr5	96825106	96825117	+	0.000	0.000	Merged-chr5-96825060-50
NR1182--MA0523.1.TCF7L2	chr11	116418606	116418619	+	0.000	0.000	Merged-chr11-116418803-35
NR217--MA1421.1.TCF7L1	chr1	128794065	128794076	+	0.000	0.000	Merged-chr1-128794102-26
NR6013--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR5968--MA0523.1.TCF7L2	chr8	92333607	92333620	-	0.000	0.000	Merged-chr8-92333668-18
NR350--MA0769.1.Tcf7	chr1	164136961	164136972	+	0.000	0.000	Merged-chr1-164136892-1
NR5572--MA0523.1.TCF7L2	chr7	80204509	80204522	+	0.000	0.000	Merged-chr7-80204651-51
NR5596--MA1421.1.TCF7L1	chr7	89712886	89712897	+	0.000	0.000	Merged-chr7-89712844-48
NR3055--MA0523.1.TCF7L2	chr18	56413150	56413163	+	0.000	0.000	Merged-chr18-56413005-50
NR4073--MA0769.1.Tcf7	chr3	115584912	115584923	-	0.000	0.000	Merged-chr3-115584831-13
NR1005--MA0769.1.Tcf7	chr11	74100880	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR196--MA0523.1.TCF7L2	chr1	106561319	106561332	-	0.000	0.000	Merged-chr1-106561410-50
NR2608--MA1421.1.TCF7L1	chr16	55769907	55769918	-	0.000	0.000	Merged-chr16-55769882-2
NR4185--MA0769.1.Tcf7	chr3	142533254	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR1589--MA1421.1.TCF7L1	chr13	13582128	13582139	+	0.000	0.000	Merged-chr13-13582107-29
NR2453--MA0769.1.Tcf7	chr15	94476042	94476053	+	0.000	0.000	Merged-chr15-94476156-15
NR122--MA0769.1.Tcf7	chr1	78591520	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR3285--MA1421.1.TCF7L1	chr19	44078366	44078377	-	0.000	0.000	Merged-chr19-44078434-18
NR6410--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR4906--MA1421.1.TCF7L1	chr5	114783569	114783580	-	0.000	0.000	Merged-chr5-114783654-34
NR2478--MA1421.1.TCF7L1	chr15	100301888	100301899	+	0.000	0.000	Merged-chr15-100301694-19
NR2565--MA0769.1.Tcf7	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR3887--MA1421.1.TCF7L1	chr3	9151705	9151716	-	0.000	0.000	Merged-chr3-9151770-9
NR242--MA1421.1.TCF7L1	chr1	135117133	135117144	-	0.000	0.000	Merged-chr1-135117180-5
NR3066--MA1421.1.TCF7L1	chr18	57249947	57249958	-	0.000	0.000	Merged-chr18-57249763-26
NR280--MA1421.1.TCF7L1	chr1	151245345	151245356	+	0.000	0.000	Merged-chr1-151245323-7
NR5568--MA0523.1.TCF7L2	chr7	79300946	79300959	+	0.000	0.000	Merged-chr7-79300921-71
NR6215--MA1421.1.TCF7L1	chr9	53856645	53856656	+	0.000	0.000	Merged-chr9-53856540-10
NR4982--MA1421.1.TCF7L1	chr5	144308238	144308249	-	0.000	0.000	Merged-chr5-144308281-9
NR3272--MA1421.1.TCF7L1	chr19	38298375	38298386	+	0.000	0.000	Merged-chr19-38298328-29
NR6625--MA0523.1.TCF7L2	chrX	166185577	166185590	-	0.000	0.000	Merged-chrX-166185579-37
NR5942--MA0523.1.TCF7L2	chr8	81783017	81783030	-	0.000	0.000	Merged-chr8-81783049-28
NR3682--MA0523.1.TCF7L2	chr2	132180715	132180728	+	0.000	0.000	Merged-chr2-132180846-32
NR4064--MA0523.1.TCF7L2	chr3	109421018	109421031	+	0.000	0.000	Merged-chr3-109421125-43
NR1729--MA0523.1.TCF7L2	chr13	84769227	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR2243--MA0769.1.Tcf7	chr15	5929701	5929712	-	0.000	0.000	Merged-chr15-5929612-10
NR1165--MA0523.1.TCF7L2	chr11	113005272	113005285	-	0.000	0.000	Merged-chr11-113005354-7
NR5980--MA0523.1.TCF7L2	chr8	94634367	94634380	+	0.000	0.000	Merged-chr8-94634294-63
NR5065--MA0769.1.Tcf7	chr6	24627889	24627900	+	0.000	0.000	Merged-chr6-24627877-28
NR4270--MA0523.1.TCF7L2	chr4	6844210	6844223	-	0.000	0.000	Merged-chr4-6844197-28
NR1498--MA0769.1.Tcf7	chr12	112855156	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1283--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR3539--MA0769.1.Tcf7	chr2	78860080	78860091	+	0.000	0.000	Merged-chr2-78860154-39
NR4875--MA0769.1.Tcf7	chr5	105198108	105198119	+	0.000	0.000	Merged-chr5-105198197-37
NR5723--MA0523.1.TCF7L2	chr7	117404664	117404677	+	0.000	0.000	Merged-chr7-117404576-18
NR4916--MA0523.1.TCF7L2	chr5	118614716	118614729	+	0.000	0.000	Merged-chr5-118614593-18
NR3445--MA0769.1.Tcf7	chr2	34991224	34991235	-	0.000	0.000	Merged-chr2-34991107-1
NR1211--MA1421.1.TCF7L1	chr11	121100824	121100835	+	0.000	0.000	Merged-chr11-121100966-23
NR5083--MA0769.1.Tcf7	chr6	34364727	34364738	+	0.000	0.000	Merged-chr6-34364838-25
NR4712--MA1421.1.TCF7L1	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR6539--MA0523.1.TCF7L2	chrX	71464351	71464364	-	0.000	0.000	Merged-chrX-71464449-26
NR1997--MA1421.1.TCF7L1	chr14	52008753	52008764	+	0.000	0.000	Merged-chr14-52008925-52
NR2284--MA1421.1.TCF7L1	chr15	50098424	50098435	+	0.000	0.000	Merged-chr15-50098332-1,Merged-chr15-50098581-5
NR4893--MA0769.1.Tcf7	chr5	107840714	107840725	+	0.000	0.000	Merged-chr5-107840807-27
NR4320--MA0769.1.Tcf7	chr4	48039831	48039842	+	0.000	0.000	Merged-chr4-48039854-22
NR2027--MA1421.1.TCF7L1	chr14	55745071	55745082	+	0.000	0.000	Merged-chr14-55745136-2
NR154--MA0769.1.Tcf7	chr1	87637227	87637238	-	0.000	0.000	Merged-chr1-87637275-111
NR1176--MA1421.1.TCF7L1	chr11	115589121	115589132	+	0.000	0.000	Merged-chr11-115589146-15
NR6285--MA0769.1.Tcf7	chr9	77683666	77683677	-	0.000	0.000	Merged-chr9-77683679-29
NR2995--MA0523.1.TCF7L2	chr18	14667173	14667186	-	0.000	0.000	Merged-chr18-14667256-44
NR803--MA0523.1.TCF7L2	chr10	119295888	119295901	+	0.000	0.000	Merged-chr10-119295975-18
NR6358--MA0523.1.TCF7L2	chr9	92217744	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR3583--MA0523.1.TCF7L2	chr2	93417128	93417141	-	0.000	0.000	Merged-chr2-93416936-19
NR4868--MA0523.1.TCF7L2	chr5	103917177	103917190	+	0.000	0.000	Merged-chr5-103917325-19
NR2380--MA0523.1.TCF7L2	chr15	78576633	78576646	+	0.000	0.000	Merged-chr15-78576586-27
NR1969--MA0523.1.TCF7L2	chr14	36932209	36932222	-	0.000	0.000	Merged-chr14-36932132-23
NR3347--MA0769.1.Tcf7	chr2	3922952	3922963	+	0.000	0.000	Merged-chr2-3922894-15
NR6057--MA0769.1.Tcf7	chr8	125080826	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR3132--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR3253--MA0769.1.Tcf7	chr19	34510905	34510916	+	0.000	0.000	Merged-chr19-34511025-19
NR1148--MA0523.1.TCF7L2	chr11	110272006	110272019	+	0.000	0.000	Merged-chr11-110271856-28
NR212--MA1421.1.TCF7L1	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR5553--MA1421.1.TCF7L1	chr7	75384768	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR3012--MA0523.1.TCF7L2	chr18	32598283	32598296	+	0.000	0.000	Merged-chr18-32598271-33
NR3871--MA0523.1.TCF7L2	chr2	178692128	178692141	-	0.000	0.000	Merged-chr2-178692287-2
NR1874--MA0523.1.TCF7L2	chr13	114843465	114843478	-	0.000	0.000	Merged-chr13-114843472-16
NR5128--MA1421.1.TCF7L1	chr6	55167124	55167135	-	0.000	0.000	Merged-chr6-55167174-43
NR5494--MA0523.1.TCF7L2	chr7	37490471	37490484	-	0.000	0.000	Merged-chr7-37490614-68
NR191--MA0523.1.TCF7L2	chr1	106511655	106511668	-	0.000	0.000	Merged-chr1-106511803-28
NR4034--MA0523.1.TCF7L2	chr3	104796772	104796785	-	0.000	0.000	Merged-chr3-104796663-34
NR6055--MA1421.1.TCF7L1	chr8	125080826	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR6164--MA0523.1.TCF7L2	chr9	37357815	37357828	-	0.000	0.000	Merged-chr9-37357894-13
NR3925--MA0769.1.Tcf7	chr3	58727238	58727249	+	0.000	0.000	Merged-chr3-58727158-6
NR2978--MA0523.1.TCF7L2	chr18	4031356	4031369	-	0.000	0.000	Merged-chr18-4031192-41
NR6626--MA0769.1.Tcf7	chrX	166185579	166185590	-	0.000	0.000	Merged-chrX-166185579-37
NR24--MA1421.1.TCF7L1	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR5769--MA0769.1.Tcf7	chr7	126179029	126179040	+	0.000	0.000	Merged-chr7-126178972-42
NR26--MA0769.1.Tcf7	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR1040--MA0523.1.TCF7L2	chr11	83879645	83879658	+	0.000	0.000	Merged-chr11-83879538-4
NR4771--MA1421.1.TCF7L1	chr5	74261230	74261241	-	0.000	0.000	Merged-chr5-74261391-1
NR574--MA0523.1.TCF7L2	chr10	58354864	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR3008--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1629--MA0769.1.Tcf7	chr13	35129661	35129672	-	0.000	0.000	Merged-chr13-35129636-40
NR5675--MA0769.1.Tcf7	chr7	109265817	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR1799--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR4021--MA0523.1.TCF7L2	chr3	101029429	101029442	+	0.000	0.000	Merged-chr3-101029545-28
NR44--MA0769.1.Tcf7	chr1	39954854	39954865	-	0.000	0.000	Merged-chr1-39954782-26
NR5403--MA1421.1.TCF7L1	chr6	145379548	145379559	-	0.000	0.000	Merged-chr6-145379467-36
NR4455--MA0523.1.TCF7L2	chr4	119809319	119809332	+	0.000	0.000	Merged-chr4-119809399-19
NR2195--MA0523.1.TCF7L2	chr14	118658091	118658104	+	0.000	0.000	Merged-chr14-118658326-68
NR523--MA0523.1.TCF7L2	chr10	24954124	24954137	+	0.000	0.000	Merged-chr10-24954230-36
NR5899--MA0769.1.Tcf7	chr8	67986910	67986921	+	0.000	0.000	Merged-chr8-67986835-44
NR5326--MA0769.1.Tcf7	chr6	129312761	129312772	-	0.000	0.000	Merged-chr6-129312714-15
NR3039--MA0769.1.Tcf7	chr18	49721702	49721713	-	0.000	0.000	Merged-chr18-49721855-41
NR2312--MA0523.1.TCF7L2	chr15	59010907	59010920	+	0.000	0.000	Merged-chr15-59010782-34
NR3385--MA0523.1.TCF7L2	chr2	17597779	17597792	+	0.000	0.000	Merged-chr2-17597899-18
NR136--MA0523.1.TCF7L2	chr1	82870423	82870436	+	0.000	0.000	Merged-chr1-82870408-8
NR1571--MA0769.1.Tcf7	chr13	5806400	5806411	+	0.000	0.000	Merged-chr13-5806398-17
NR4891--MA1421.1.TCF7L1	chr5	107840714	107840725	+	0.000	0.000	Merged-chr5-107840807-27
NR2350--MA0523.1.TCF7L2	chr15	67196442	67196455	+	0.000	0.000	Merged-chr15-67196543-23
NR5250--MA0769.1.Tcf7	chr6	100581189	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR4026--MA0769.1.Tcf7	chr3	101066269	101066280	+	0.000	0.000	Merged-chr3-101066330-34
NR6206--MA1421.1.TCF7L1	chr9	52259807	52259818	+	0.000	0.000	Merged-chr9-52259787-26
NR776--MA0523.1.TCF7L2	chr10	117056130	117056143	+	0.000	0.000	Merged-chr10-117056166-30
NR3263--MA1421.1.TCF7L1	chr19	36478299	36478310	+	0.000	0.000	Merged-chr19-36478148-8
NR4619--MA0523.1.TCF7L2	chr4	150517642	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR5483--MA0769.1.Tcf7	chr7	29251319	29251330	-	0.000	0.000	Merged-chr7-29251339-19
NR6412--MA1421.1.TCF7L1	chr9	107676039	107676050	-	0.000	0.000	Merged-chr9-107676090-54
NR5296--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR2527--MA0769.1.Tcf7	chr16	25587910	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR4922--MA1421.1.TCF7L1	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR557--MA0523.1.TCF7L2	chr10	44678981	44678994	+	0.000	0.000	Merged-chr10-44678956-9
NR5898--MA0523.1.TCF7L2	chr8	67986910	67986923	+	0.000	0.000	Merged-chr8-67986835-44
NR2308--MA0523.1.TCF7L2	chr15	57838632	57838645	-	0.000	0.000	Merged-chr15-57838718-52
NR5349--MA0769.1.Tcf7	chr6	134549900	134549911	-	0.000	0.000	Merged-chr6-134550072-18
NR1457--MA0523.1.TCF7L2	chr12	107051487	107051500	-	0.000	0.000	Merged-chr12-107051429-24
NR1495--MA0523.1.TCF7L2	chr12	112855081	112855094	-	0.000	0.000	Merged-chr12-112855098-63
NR6158--MA1421.1.TCF7L1	chr9	35498053	35498064	+	0.000	0.000	Merged-chr9-35498014-17
NR869--MA1421.1.TCF7L1	chr11	5411820	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR4049--MA0769.1.Tcf7	chr3	108124309	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR5170--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR344--MA0769.1.Tcf7	chr1	161761746	161761757	+	0.000	0.000	Merged-chr1-161761657-43
