#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR828--MA0731.1.BCL6B	chr16	14351039	14351055	+	0.000	0.000	Merged-chr16-14350919-24
NR825--MA0463.1.Bcl6	chr16	11577696	11577709	-	0.000	0.000	Merged-chr16-11577786-44
NR1923--MA0731.1.BCL6B	chr6	140657483	140657499	+	0.000	0.000	Merged-chr6-140657459-39
NR740--MA0463.1.Bcl6	chr14	118823413	118823426	-	0.000	0.000	Merged-chr14-118823574-15
NR788--MA0731.1.BCL6B	chr15	64246561	64246577	-	0.000	0.000	Merged-chr15-64246637-23
NR2055--MA0463.1.Bcl6	chr7	116484374	116484387	-	0.000	0.000	Merged-chr7-116484434-42
NR2342--MA0731.1.BCL6B	chrX	158940984	158941000	+	0.000	0.000	Merged-chrX-158941058-9
NR1892--MA0463.1.Bcl6	chr6	126552063	126552076	+	0.000	0.000	Merged-chr6-126552098-38
NR1740--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR1753--MA0731.1.BCL6B	chr5	134277353	134277369	+	0.000	0.000	Merged-chr5-134277310-4
NR127--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR379--MA0731.1.BCL6B	chr11	77371459	77371475	-	0.000	0.000	Merged-chr11-77371376-39
NR665--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR437--MA0463.1.Bcl6	chr12	33235889	33235902	+	0.000	0.000	Merged-chr12-33235849-22
NR1440--MA0731.1.BCL6B	chr3	152430996	152431012	-	0.000	0.000	Merged-chr3-152430886-16
NR2110--MA0463.1.Bcl6	chr8	18619058	18619071	-	0.000	0.000	Merged-chr8-18619188-46
NR2209--MA0463.1.Bcl6	chr8	128165795	128165808	-	0.000	0.000	Merged-chr8-128165876-22
NR1432--MA0731.1.BCL6B	chr3	148511210	148511226	+	0.000	0.000	Merged-chr3-148511126-2
NR160--MA0463.1.Bcl6	chr1	164453819	164453832	+	0.000	0.000	Merged-chr1-164453894-15
NR1267--MA0463.1.Bcl6	chr2	167505401	167505414	-	0.000	0.000	Merged-chr2-167505349-52
NR1943--MA0463.1.Bcl6	chr6	148436699	148436712	+	0.000	0.000	Merged-chr6-148436541-68
NR487--MA0463.1.Bcl6	chr12	91774238	91774251	+	0.000	0.000	Merged-chr12-91774223-2
NR1388--MA0463.1.Bcl6	chr3	121593387	121593400	-	0.000	0.000	Merged-chr3-121593516-30
NR1173--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR908--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR297--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1809--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR1934--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR2169--MA0731.1.BCL6B	chr8	95245170	95245186	-	0.000	0.000	Merged-chr8-95245362-18
NR1520--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR604--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR192--MA0463.1.Bcl6	chr1	180988027	180988040	+	0.000	0.000	Merged-chr1-180987901-35
NR14--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR32--MA0463.1.Bcl6	chr1	64527545	64527558	-	0.000	0.000	Merged-chr1-64527761-39
NR861--MA0731.1.BCL6B	chr16	50315648	50315664	-	0.000	0.000	Merged-chr16-50315651-21
NR752--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR524--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR1998--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1425--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1111--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR1905--MA0731.1.BCL6B	chr6	134120747	134120763	-	0.000	0.000	Merged-chr6-134120751-43
NR748--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR64--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR560--MA0463.1.Bcl6	chr13	44469934	44469947	-	0.000	0.000	Merged-chr13-44469890-10
NR2106--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
NR82--MA0463.1.Bcl6	chr1	104986399	104986412	+	0.000	0.000	Merged-chr1-104986299-37
NR561--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR69--MA0463.1.Bcl6	chr1	91024162	91024175	-	0.000	0.000	Merged-chr1-91024136-16
NR1587--MA0463.1.Bcl6	chr4	136082046	136082059	-	0.000	0.000	Merged-chr4-136081901-45
NR2122--MA0463.1.Bcl6	chr8	35321526	35321539	-	0.000	0.000	Merged-chr8-35321635-19
NR1347--MA0731.1.BCL6B	chr3	84501749	84501765	+	0.000	0.000	Merged-chr3-84501551-10
NR1390--MA0731.1.BCL6B	chr3	121593387	121593403	-	0.000	0.000	Merged-chr3-121593516-30
NR2252--MA0463.1.Bcl6	chr9	63749249	63749262	+	0.000	0.000	Merged-chr9-63749415-13
NR172--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR2154--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR1839--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR853--MA0463.1.Bcl6	chr16	44691841	44691854	-	0.000	0.000	Merged-chr16-44691948-13
NR898--MA0731.1.BCL6B	chr16	92762111	92762127	+	0.000	0.000	Merged-chr16-92761917-18
NR960--MA0731.1.BCL6B	chr17	80621213	80621229	+	0.000	0.000	Merged-chr17-80621176-31
NR755--MA0463.1.Bcl6	chr15	27796718	27796731	+	0.000	0.000	Merged-chr15-27796764-17
NR71--MA0463.1.Bcl6	chr1	91908047	91908060	+	0.000	0.000	Merged-chr1-91908187-5
NR773--MA0463.1.Bcl6	chr15	50261746	50261759	-	0.000	0.000	Merged-chr15-50261633-22
NR1674--MA0463.1.Bcl6	chr5	73557130	73557143	+	0.000	0.000	Merged-chr5-73557249-47
NR1767--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR791--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR1464--MA0463.1.Bcl6	chr4	11454095	11454108	-	0.000	0.000	Merged-chr4-11453952-20
NR335--MA0463.1.Bcl6	chr11	6658428	6658441	-	0.000	0.000	Merged-chr11-6658459-18
NR143--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR795--MA0731.1.BCL6B	chr15	73092882	73092898	-	0.000	0.000	Merged-chr15-73092789-7
NR304--MA0731.1.BCL6B	chr10	100629912	100629928	-	0.000	0.000	Merged-chr10-100629958-40
NR940--MA0463.1.Bcl6	chr17	44337039	44337052	+	0.000	0.000	Merged-chr17-44337024-21
NR10--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR774--MA0731.1.BCL6B	chr15	50261745	50261761	-	0.000	0.000	Merged-chr15-50261633-22
NR833--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR2123--MA0731.1.BCL6B	chr8	35321526	35321542	-	0.000	0.000	Merged-chr8-35321635-19
NR1846--MA0463.1.Bcl6	chr6	90653236	90653249	+	0.000	0.000	Merged-chr6-90653255-2
NR121--MA0731.1.BCL6B	chr1	135659879	135659895	+	0.000	0.000	Merged-chr1-135659715-46
NR787--MA0731.1.BCL6B	chr15	64078149	64078165	+	0.000	0.000	Merged-chr15-64078156-8
NR1076--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR439--MA0731.1.BCL6B	chr12	34249077	34249093	-	0.000	0.000	Merged-chr12-34249045-49
NR2278--MA0463.1.Bcl6	chr9	96916796	96916809	+	0.000	0.000	Merged-chr9-96916836-41
NR525--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR2346--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR552--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR409--MA0463.1.Bcl6	chr11	113574369	113574382	+	0.000	0.000	Merged-chr11-113574265-17
NR1471--MA0463.1.Bcl6	chr4	34049876	34049889	+	0.000	0.000	Merged-chr4-34050032-15
NR2150--MA0731.1.BCL6B	chr8	77367069	77367085	+	0.000	0.000	Merged-chr8-77367221-20
NR445--MA0463.1.Bcl6	chr12	41565991	41566004	-	0.000	0.000	Merged-chr12-41565825-5
NR2020--MA0731.1.BCL6B	chr7	98341407	98341423	-	0.000	0.000	Merged-chr7-98341648-39
NR1431--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1715--MA0731.1.BCL6B	chr5	100651692	100651708	+	0.000	0.000	Merged-chr5-100651654-38
NR1410--MA0731.1.BCL6B	chr3	135665917	135665933	+	0.000	0.000	Merged-chr3-135665884-70
NR164--MA0463.1.Bcl6	chr1	165812653	165812666	+	0.000	0.000	Merged-chr1-165812825-36
NR1871--MA0463.1.Bcl6	chr6	114777875	114777888	-	0.000	0.000	Merged-chr6-114777982-17
NR1893--MA0731.1.BCL6B	chr6	126552060	126552076	-	0.000	0.000	Merged-chr6-126552098-38
NR939--MA0463.1.Bcl6	chr17	42999659	42999672	-	0.000	0.000	Merged-chr17-42999862-4
NR1643--MA0463.1.Bcl6	chr5	23844215	23844228	-	0.000	0.000	Merged-chr5-23844143-49
NR1773--MA0463.1.Bcl6	chr5	151416701	151416714	-	0.000	0.000	Merged-chr5-151416725-1
NR1639--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR1545--MA0463.1.Bcl6	chr4	106281644	106281657	-	0.000	0.000	Merged-chr4-106281606-32
NR961--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR662--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR1335--MA0463.1.Bcl6	chr3	79254281	79254294	+	0.000	0.000	Merged-chr3-79254113-1
NR59--MA0463.1.Bcl6	chr1	86344411	86344424	+	0.000	0.000	Merged-chr1-86344486-59
NR1463--MA0731.1.BCL6B	chr4	11454055	11454071	+	0.000	0.000	Merged-chr4-11453952-20
NR1465--MA0463.1.Bcl6	chr4	11492943	11492956	+	0.000	0.000	Merged-chr4-11492964-72
NR1250--MA0463.1.Bcl6	chr2	152962498	152962511	-	0.000	0.000	Merged-chr2-152962501-29
NR2328--MA0731.1.BCL6B	chrX	47998431	47998447	+	0.000	0.000	Merged-chrX-47998612-33
NR1273--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR1564--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1944--MA0731.1.BCL6B	chr6	148436696	148436712	-	0.000	0.000	Merged-chr6-148436541-68
NR2126--MA0463.1.Bcl6	chr8	36030435	36030448	-	0.000	0.000	Merged-chr8-36030382-8
NR1175--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR386--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1033--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR1490--MA0731.1.BCL6B	chr4	54855896	54855912	-	0.000	0.000	Merged-chr4-54855897-1
NR2149--MA0463.1.Bcl6	chr8	77367069	77367082	-	0.000	0.000	Merged-chr8-77367221-20
NR964--MA0463.1.Bcl6	chr17	85189679	85189692	-	0.000	0.000	Merged-chr17-85189630-51
NR470--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR1995--MA0463.1.Bcl6	chr7	71242528	71242541	+	0.000	0.000	Merged-chr7-71242656-21
NR1749--MA0463.1.Bcl6	chr5	130088187	130088200	-	0.000	0.000	Merged-chr5-130088239-22
NR592--MA0731.1.BCL6B	chr13	84612705	84612721	+	0.000	0.000	Merged-chr13-84612634-1
NR866--MA0463.1.Bcl6	chr16	52292678	52292691	+	0.000	0.000	Merged-chr16-52292729-42
NR1657--MA0731.1.BCL6B	chr5	45790284	45790300	+	0.000	0.000	Merged-chr5-45790409-20
NR1212--MA0463.1.Bcl6	chr2	117441216	117441229	+	0.000	0.000	Merged-chr2-117441143-41
NR1002--MA0463.1.Bcl6	chr18	57976984	57976997	-	0.000	0.000	Merged-chr18-57976918-16
NR343--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR943--MA0731.1.BCL6B	chr17	50291676	50291692	-	0.000	0.000	Merged-chr17-50291771-9
NR1086--MA0731.1.BCL6B	chr19	61110280	61110296	+	0.000	0.000	Merged-chr19-61110222-22
NR98--MA0463.1.Bcl6	chr1	118403981	118403994	-	0.000	0.000	Merged-chr1-118403887-21
NR1495--MA0463.1.Bcl6	chr4	59295218	59295231	+	0.000	0.000	Merged-chr4-59295271-36
NR1128--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR84--MA0731.1.BCL6B	chr1	105443380	105443396	-	0.000	0.000	Merged-chr1-105443622-43
NR97--MA0731.1.BCL6B	chr1	118403928	118403944	+	0.000	0.000	Merged-chr1-118403887-21
NR263--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR1276--MA0463.1.Bcl6	chr2	170520575	170520588	-	0.000	0.000	Merged-chr2-170520657-42
NR1182--MA0463.1.Bcl6	chr2	79698323	79698336	+	0.000	0.000	Merged-chr2-79698404-21
NR2008--MA0463.1.Bcl6	chr7	88460108	88460121	-	0.000	0.000	Merged-chr7-88459917-15
NR1458--MA0731.1.BCL6B	chr4	8903258	8903274	-	0.000	0.000	Merged-chr4-8903379-6
NR823--MA0463.1.Bcl6	chr16	10844226	10844239	-	0.000	0.000	Merged-chr16-10844299-63
NR2138--MA0463.1.Bcl6	chr8	61283117	61283130	-	0.000	0.000	Merged-chr8-61283229-50
NR1742--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR953--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR895--MA0731.1.BCL6B	chr16	91374132	91374148	-	0.000	0.000	Merged-chr16-91374174-40
NR949--MA0463.1.Bcl6	chr17	56885000	56885013	+	0.000	0.000	Merged-chr17-56885050-19
NR1541--MA0463.1.Bcl6	chr4	102210083	102210096	+	0.000	0.000	Merged-chr4-102210111-10
NR1774--MA0463.1.Bcl6	chr5	151416847	151416860	-	0.000	0.000	Merged-chr5-151416725-1
NR2076--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR891--MA0463.1.Bcl6	chr16	87597755	87597768	+	0.000	0.000	Merged-chr16-87597793-27
NR739--MA0463.1.Bcl6	chr14	118109843	118109856	-	0.000	0.000	Merged-chr14-118109992-14
NR430--MA0463.1.Bcl6	chr12	28699707	28699720	+	0.000	0.000	Merged-chr12-28699931-23
NR757--MA0463.1.Bcl6	chr15	31472915	31472928	+	0.000	0.000	Merged-chr15-31472972-16
NR1461--MA0463.1.Bcl6	chr4	11404254	11404267	+	0.000	0.000	Merged-chr4-11404244-13
NR1389--MA0731.1.BCL6B	chr3	121593387	121593403	+	0.000	0.000	Merged-chr3-121593516-30
NR1121--MA0463.1.Bcl6	chr2	32553757	32553770	+	0.000	0.000	Merged-chr2-32553962-47
NR1831--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR2271--MA0731.1.BCL6B	chr9	89842701	89842717	+	0.000	0.000	Merged-chr9-89842601-13
NR2337--MA0731.1.BCL6B	chrX	104587399	104587415	+	0.000	0.000	Merged-chrX-104587558-7
NR2225--MA0463.1.Bcl6	chr9	32668470	32668483	+	0.000	0.000	Merged-chr9-32668373-11
NR467--MA0463.1.Bcl6	chr12	75496175	75496188	-	0.000	0.000	Merged-chr12-75496120-14
NR152--MA0731.1.BCL6B	chr1	161309642	161309658	+	0.000	0.000	Merged-chr1-161309457-43
NR1171--MA0463.1.Bcl6	chr2	71360338	71360351	-	0.000	0.000	Merged-chr2-71360379-16
NR239--MA0463.1.Bcl6	chr10	53863685	53863698	+	0.000	0.000	Merged-chr10-53863643-19
NR906--MA0463.1.Bcl6	chr16	97869925	97869938	-	0.000	0.000	Merged-chr16-97869698-43
NR165--MA0731.1.BCL6B	chr1	165812650	165812666	-	0.000	0.000	Merged-chr1-165812825-36
NR436--MA0731.1.BCL6B	chr12	30557461	30557477	-	0.000	0.000	Merged-chr12-30557589-12
NR293--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR1400--MA0463.1.Bcl6	chr3	129308481	129308494	+	0.000	0.000	Merged-chr3-129308560-67
NR862--MA0463.1.Bcl6	chr16	50364128	50364141	-	0.000	0.000	Merged-chr16-50364238-69
NR410--MA0463.1.Bcl6	chr11	113612289	113612302	-	0.000	0.000	Merged-chr11-113612276-39
NR880--MA0463.1.Bcl6	chr16	72218122	72218135	-	0.000	0.000	Merged-chr16-72218239-19
NR1483--MA0731.1.BCL6B	chr4	49568025	49568041	+	0.000	0.000	Merged-chr4-49567834-34
NR1419--MA0463.1.Bcl6	chr3	142706757	142706770	+	0.000	0.000	Merged-chr3-142706916-9
NR1462--MA0731.1.BCL6B	chr4	11404251	11404267	-	0.000	0.000	Merged-chr4-11404244-13
NR7--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1688--MA0463.1.Bcl6	chr5	91960046	91960059	-	0.000	0.000	Merged-chr5-91960197-8
NR2186--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR1012--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR590--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR438--MA0463.1.Bcl6	chr12	34249080	34249093	+	0.000	0.000	Merged-chr12-34249045-49
NR1800--MA0463.1.Bcl6	chr6	37564211	37564224	-	0.000	0.000	Merged-chr6-37564158-19
NR559--MA0463.1.Bcl6	chr13	44376071	44376084	+	0.000	0.000	Merged-chr13-44376077-22
NR1550--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR1616--MA0731.1.BCL6B	chr5	5749605	5749621	+	0.000	0.000	Merged-chr5-5749564-48
NR689--MA0463.1.Bcl6	chr14	68044927	68044940	+	0.000	0.000	Merged-chr14-68044800-35
NR2219--MA0463.1.Bcl6	chr9	21679884	21679897	-	0.000	0.000	Merged-chr9-21680027-16
