#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR8273--MA0684.1.RUNX3	chr5	118710116	118710125	-	0.000	0.000	Merged-chr5-118710096-15
NR8808--MA0002.2.RUNX1	chr6	99309241	99309251	+	0.000	0.000	Merged-chr6-99309133-1
NR452--MA0511.2.RUNX2	chr1	128399307	128399315	+	0.000	0.000	Merged-chr1-128399248-36
NR2755--MA0684.1.RUNX3	chr13	9107230	9107239	-	0.000	0.000	Merged-chr13-9107382-45
NR4243--MA0511.2.RUNX2	chr16	22526578	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR6966--MA0002.2.RUNX1	chr3	128122334	128122344	+	0.000	0.000	Merged-chr3-128122378-34
NR3890--MA0002.2.RUNX1	chr15	52899991	52900001	+	0.000	0.000	Merged-chr15-52899831-78
NR257--MA0002.2.RUNX1	chr1	78537715	78537725	-	0.000	0.000	Merged-chr1-78537773-101
NR4537--MA0002.2.RUNX1	chr16	90331260	90331270	-	0.000	0.000	Merged-chr16-90331129-56
NR6568--MA0511.2.RUNX2	chr3	10151851	10151859	-	0.000	0.000	Merged-chr3-10151750-17
NR6198--MA0002.2.RUNX1	chr2	125189402	125189412	+	0.000	0.000	Merged-chr2-125189398-33
NR10841--MA0002.2.RUNX1	chr9	100400552	100400562	+	0.000	0.000	Merged-chr9-100400570-38
NR8367--MA0002.2.RUNX1	chr5	139364328	139364338	-	0.000	0.000	Merged-chr5-139364492-30
NR4788--MA0684.1.RUNX3	chr17	31789468	31789477	+	0.000	0.000	Merged-chr17-31789470-34
NR6054--MA0684.1.RUNX3	chr2	79062028	79062037	-	0.000	0.000	Merged-chr2-79062091-23
NR5955--MA0002.2.RUNX1	chr2	62294039	62294049	+	0.000	0.000	Merged-chr2-62294008-18
NR1453--MA0002.2.RUNX1	chr10	122200005	122200015	+	0.000	0.000	Merged-chr10-122200080-48
NR5793--MA0002.2.RUNX1	chr2	19276518	19276528	+	0.000	0.000	Merged-chr2-19276309-38
NR3830--MA0511.2.RUNX2	chr15	27668288	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR4739--MA0002.2.RUNX1	chr17	26532893	26532903	-	0.000	0.000	Merged-chr17-26532798-20
NR10140--MA0002.2.RUNX1	chr8	95154777	95154787	-	0.000	0.000	Merged-chr8-95154872-23
NR3452--MA0002.2.RUNX1	chr14	47395862	47395872	+	0.000	0.000	Merged-chr14-47395869-114
NR2505--MA0511.2.RUNX2	chr12	99544780	99544788	+	0.000	0.000	Merged-chr12-99544732-47
NR4087--MA0684.1.RUNX3	chr15	94231418	94231427	-	0.000	0.000	Merged-chr15-94231457-27
NR5512--MA0002.2.RUNX1	chr19	24978193	24978203	+	0.000	0.000	Merged-chr19-24978219-7
NR1010--MA0002.2.RUNX1	chr10	39793434	39793444	+	0.000	0.000	Merged-chr10-39793457-38
NR8155--MA0002.2.RUNX1	chr5	103917326	103917336	-	0.000	0.000	Merged-chr5-103917325-19
NR7967--MA0002.2.RUNX1	chr5	45790451	45790461	-	0.000	0.000	Merged-chr5-45790409-20
NR8538--MA0511.2.RUNX2	chr6	34364971	34364979	+	0.000	0.000	Merged-chr6-34364838-25
NR5363--MA0002.2.RUNX1	chr18	80280597	80280607	-	0.000	0.000	Merged-chr18-80280568-28
NR9180--MA0002.2.RUNX1	chr6	145980992	145981002	+	0.000	0.000	Merged-chr6-145981176-43
NR149--MA0511.2.RUNX2	chr1	54421901	54421909	+	0.000	0.000	Merged-chr1-54421982-33
NR6269--MA0684.1.RUNX3	chr2	135737686	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR4046--MA0002.2.RUNX1	chr15	84372841	84372851	+	0.000	0.000	Merged-chr15-84372915-18
NR5743--MA0002.2.RUNX1	chr2	6379922	6379932	-	0.000	0.000	Merged-chr2-6380083-49
NR3814--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR1912--MA0684.1.RUNX3	chr11	85324192	85324201	-	0.000	0.000	Merged-chr11-85324179-42
NR9464--MA0002.2.RUNX1	chr7	80828607	80828617	-	0.000	0.000	Merged-chr7-80828687-47
NR10720--MA0511.2.RUNX2	chr9	83564266	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR8246--MA0511.2.RUNX2	chr5	115693470	115693478	+	0.000	0.000	Merged-chr5-115693567-32
NR34--MA0002.2.RUNX1	chr1	21333806	21333816	+	0.000	0.000	Merged-chr1-21333700-62
NR1210--MA0511.2.RUNX2	chr10	84632083	84632091	+	0.000	0.000	Merged-chr10-84632170-33
NR7422--MA0684.1.RUNX3	chr4	89008715	89008724	+	0.000	0.000	Merged-chr4-89008819-38
NR9625--MA0684.1.RUNX3	chr7	112400401	112400410	-	0.000	0.000	Merged-chr7-112400264-32
NR9682--MA0002.2.RUNX1	chr7	118102341	118102351	+	0.000	0.000	Merged-chr7-118102163-1
NR4992--MA0002.2.RUNX1	chr17	79603669	79603679	-	0.000	0.000	Merged-chr17-79603742-19
NR10571--MA0511.2.RUNX2	chr9	61715135	61715143	-	0.000	0.000	Merged-chr9-61715160-12
NR8477--MA0511.2.RUNX2	chr6	5997677	5997685	+	0.000	0.000	Merged-chr6-5997718-16
NR3992--MA0511.2.RUNX2	chr15	76770366	76770374	-	0.000	0.000	Merged-chr15-76770514-52
NR5368--MA0002.2.RUNX1	chr18	80555073	80555083	+	0.000	0.000	Merged-chr18-80555147-42
NR6188--MA0002.2.RUNX1	chr2	121276174	121276184	+	0.000	0.000	Merged-chr2-121276233-14
NR11066--MA0002.2.RUNX1	chrX	42337011	42337021	+	0.000	0.000	Merged-chrX-42336875-23
NR9991--MA0511.2.RUNX2	chr8	46420693	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR10721--MA0684.1.RUNX3	chr9	83564265	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR2306--MA0511.2.RUNX2	chr12	54655576	54655584	+	0.000	0.000	Merged-chr12-54655706-6
NR2287--MA0511.2.RUNX2	chr12	41331185	41331193	-	0.000	0.000	Merged-chr12-41331287-30
NR7788--MA0684.1.RUNX3	chr4	154936711	154936720	+	0.000	0.000	Merged-chr4-154936813-27
NR1063--MA0002.2.RUNX1	chr10	58480391	58480401	-	0.000	0.000	Merged-chr10-58480234-23
NR3471--MA0002.2.RUNX1	chr14	52427858	52427868	+	0.000	0.000	Merged-chr14-52427807-17
NR7006--MA0002.2.RUNX1	chr3	135629097	135629107	-	0.000	0.000	Merged-chr3-135628984-19
NR2--MA0002.2.RUNX1	chr1	6454075	6454085	+	0.000	0.000	Merged-chr1-6454252-50
NR8369--MA0684.1.RUNX3	chr5	140201483	140201492	-	0.000	0.000	Merged-chr5-140201458-20
NR3755--MA0002.2.RUNX1	chr14	121137372	121137382	-	0.000	0.000	Merged-chr14-121137502-35
NR2901--MA0002.2.RUNX1	chr13	41615010	41615020	+	0.000	0.000	Merged-chr13-41614922-33
NR3407--MA0002.2.RUNX1	chr14	27384346	27384356	-	0.000	0.000	Merged-chr14-27384235-54
NR837--MA0002.2.RUNX1	chr1	186676396	186676406	-	0.000	0.000	Merged-chr1-186676331-13
NR5544--MA0002.2.RUNX1	chr19	32138397	32138407	-	0.000	0.000	Merged-chr19-32138517-38
NR9983--MA0511.2.RUNX2	chr8	41334319	41334327	-	0.000	0.000	Merged-chr8-41334366-24
NR1713--MA0684.1.RUNX3	chr11	52224161	52224170	+	0.000	0.000	Merged-chr11-52224357-50
NR1250--MA0511.2.RUNX2	chr10	90981734	90981742	+	0.000	0.000	Merged-chr10-90981841-14
NR2991--MA0002.2.RUNX1	chr13	73305764	73305774	+	0.000	0.000	Merged-chr13-73305950-36
NR7604--MA0002.2.RUNX1	chr4	132040469	132040479	-	0.000	0.000	Merged-chr4-132040319-80
NR3310--MA0511.2.RUNX2	chr13	117242260	117242268	+	0.000	0.000	Merged-chr13-117242416-107
NR10822--MA0684.1.RUNX3	chr9	96953705	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR5000--MA0002.2.RUNX1	chr17	80418837	80418847	+	0.000	0.000	Merged-chr17-80418993-27
NR5351--MA0511.2.RUNX2	chr18	79297926	79297934	+	0.000	0.000	Merged-chr18-79298014-36
NR8186--MA0684.1.RUNX3	chr5	107449102	107449111	-	0.000	0.000	Merged-chr5-107449243-36
NR2351--MA0002.2.RUNX1	chr12	71294802	71294812	+	0.000	0.000	Merged-chr12-71294636-41
NR8642--MA0002.2.RUNX1	chr6	55057574	55057584	+	0.000	0.000	Merged-chr6-55057514-12
NR9624--MA0002.2.RUNX1	chr7	112400400	112400410	+	0.000	0.000	Merged-chr7-112400264-32
NR9548--MA0684.1.RUNX3	chr7	101027880	101027889	-	0.000	0.000	Merged-chr7-101027827-19
NR6107--MA0511.2.RUNX2	chr2	93411436	93411444	-	0.000	0.000	Merged-chr2-93411481-30
NR9988--MA0511.2.RUNX2	chr8	46420600	46420608	+	0.000	0.000	Merged-chr8-46420639-16
NR3236--MA0684.1.RUNX3	chr13	108527451	108527460	-	0.000	0.000	Merged-chr13-108527257-30
NR3088--MA0002.2.RUNX1	chr13	92722551	92722561	+	0.000	0.000	Merged-chr13-92722597-29
NR1251--MA0684.1.RUNX3	chr10	90981734	90981743	+	0.000	0.000	Merged-chr10-90981841-14
NR884--MA0684.1.RUNX3	chr1	193146437	193146446	+	0.000	0.000	Merged-chr1-193146532-29
NR10601--MA0511.2.RUNX2	chr9	66492530	66492538	-	0.000	0.000	Merged-chr9-66492510-30
NR10026--MA0002.2.RUNX1	chr8	61561437	61561447	-	0.000	0.000	Merged-chr8-61561458-9
NR1486--MA0511.2.RUNX2	chr10	128637208	128637216	-	0.000	0.000	Merged-chr10-128637070-78
NR1072--MA0511.2.RUNX2	chr10	60162576	60162584	-	0.000	0.000	Merged-chr10-60162645-38
NR9457--MA0511.2.RUNX2	chr7	80643398	80643406	+	0.000	0.000	Merged-chr7-80643369-34
NR7092--MA0511.2.RUNX2	chr3	144232151	144232159	-	0.000	0.000	Merged-chr3-144232172-58
NR9467--MA0002.2.RUNX1	chr7	80937068	80937078	-	0.000	0.000	Merged-chr7-80936896-39
NR4525--MA0002.2.RUNX1	chr16	89817051	89817061	-	0.000	0.000	Merged-chr16-89817047-30
NR7787--MA0002.2.RUNX1	chr4	154936711	154936721	-	0.000	0.000	Merged-chr4-154936813-27
NR2845--MA0002.2.RUNX1	chr13	31179579	31179589	+	0.000	0.000	Merged-chr13-31179647-13
NR2530--MA0511.2.RUNX2	chr12	102067865	102067873	+	0.000	0.000	Merged-chr12-102067904-11
NR6391--MA0002.2.RUNX1	chr2	158323021	158323031	+	0.000	0.000	Merged-chr2-158323146-37
NR367--MA0002.2.RUNX1	chr1	97614015	97614025	-	0.000	0.000	Merged-chr1-97613912-17
NR10356--MA0511.2.RUNX2	chr8	128504224	128504232	-	0.000	0.000	Merged-chr8-128504350-30
NR681--MA0002.2.RUNX1	chr1	167645271	167645281	-	0.000	0.000	Merged-chr1-167645149-14
NR1051--MA0511.2.RUNX2	chr10	56486719	56486727	+	0.000	0.000	Merged-chr10-56486689-18
NR9066--MA0002.2.RUNX1	chr6	134700987	134700997	+	0.000	0.000	Merged-chr6-134700850-79
NR2967--MA0002.2.RUNX1	chr13	59840898	59840908	+	0.000	0.000	Merged-chr13-59840941-45
NR5043--MA0511.2.RUNX2	chr17	86041002	86041010	-	0.000	0.000	Merged-chr17-86040828-28
NR921--MA0511.2.RUNX2	chr10	12614550	12614558	+	0.000	0.000	Merged-chr10-12614708-18
NR2936--MA0511.2.RUNX2	chr13	52874144	52874152	+	0.000	0.000	Merged-chr13-52874286-33
NR8605--MA0002.2.RUNX1	chr6	50261796	50261806	-	0.000	0.000	Merged-chr6-50261833-23
NR150--MA0002.2.RUNX1	chr1	54421901	54421911	-	0.000	0.000	Merged-chr1-54421982-33
NR2360--MA0511.2.RUNX2	chr12	73382530	73382538	-	0.000	0.000	Merged-chr12-73382539-19
NR2261--MA0002.2.RUNX1	chr12	34092063	34092073	+	0.000	0.000	Merged-chr12-34092027-9
NR2803--MA0002.2.RUNX1	chr13	20306401	20306411	+	0.000	0.000	Merged-chr13-20306536-31
NR900--MA0511.2.RUNX2	chr10	4632282	4632290	-	0.000	0.000	Merged-chr10-4632472-72
NR6872--MA0002.2.RUNX1	chr3	107819323	107819333	+	0.000	0.000	Merged-chr3-107819260-44
NR454--MA0684.1.RUNX3	chr1	128399307	128399316	+	0.000	0.000	Merged-chr1-128399248-36
NR10976--MA0684.1.RUNX3	chr9	119823983	119823992	+	0.000	0.000	Merged-chr9-119823942-29
NR10357--MA0684.1.RUNX3	chr8	128504223	128504232	-	0.000	0.000	Merged-chr8-128504350-30
NR704--MA0684.1.RUNX3	chr1	172197313	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR1052--MA0684.1.RUNX3	chr10	56486719	56486728	+	0.000	0.000	Merged-chr10-56486689-18
NR6484--MA0002.2.RUNX1	chr2	170273219	170273229	+	0.000	0.000	Merged-chr2-170273373-17
NR5044--MA0684.1.RUNX3	chr17	86041001	86041010	-	0.000	0.000	Merged-chr17-86040828-28
NR10227--MA0684.1.RUNX3	chr8	115568646	115568655	-	0.000	0.000	Merged-chr8-115568627-19
NR922--MA0684.1.RUNX3	chr10	12614550	12614559	+	0.000	0.000	Merged-chr10-12614708-18
NR10492--MA0511.2.RUNX2	chr9	48562593	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR9463--MA0511.2.RUNX2	chr7	80828607	80828615	+	0.000	0.000	Merged-chr7-80828687-47
NR5991--MA0002.2.RUNX1	chr2	70118960	70118970	-	0.000	0.000	Merged-chr2-70118902-52
NR8510--MA0002.2.RUNX1	chr6	28878170	28878180	-	0.000	0.000	Merged-chr6-28878211-33
NR33--MA0511.2.RUNX2	chr1	21333808	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR6529--MA0002.2.RUNX1	chr2	179966701	179966711	-	0.000	0.000	Merged-chr2-179966777-32
NR2361--MA0684.1.RUNX3	chr12	73382529	73382538	-	0.000	0.000	Merged-chr12-73382539-19
NR4786--MA0511.2.RUNX2	chr17	31789468	31789476	+	0.000	0.000	Merged-chr17-31789470-34
NR2612--MA0002.2.RUNX1	chr12	110703297	110703307	-	0.000	0.000	Merged-chr12-110703335-47
NR2864--MA0002.2.RUNX1	chr13	34914836	34914846	+	0.000	0.000	Merged-chr13-34914852-26
NR372--MA0684.1.RUNX3	chr1	98022055	98022064	+	0.000	0.000	Merged-chr1-98022036-10
NR5367--MA0511.2.RUNX2	chr18	80555075	80555083	-	0.000	0.000	Merged-chr18-80555147-42
NR9359--MA0511.2.RUNX2	chr7	49495095	49495103	-	0.000	0.000	Merged-chr7-49494921-17
NR2367--MA0002.2.RUNX1	chr12	73755672	73755682	+	0.000	0.000	Merged-chr12-73755850-33
NR779--MA0002.2.RUNX1	chr1	180546332	180546342	+	0.000	0.000	Merged-chr1-180546359-32
NR1460--MA0002.2.RUNX1	chr10	122567063	122567073	-	0.000	0.000	Merged-chr10-122566962-17
NR906--MA0684.1.RUNX3	chr10	7041205	7041214	-	0.000	0.000	Merged-chr10-7041240-23
NR6913--MA0511.2.RUNX2	chr3	116200195	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR4740--MA0684.1.RUNX3	chr17	26532893	26532902	+	0.000	0.000	Merged-chr17-26532798-20
NR4244--MA0002.2.RUNX1	chr16	22526576	22526586	+	0.000	0.000	Merged-chr16-22526487-34
NR2507--MA0684.1.RUNX3	chr12	99544780	99544789	+	0.000	0.000	Merged-chr12-99544732-47
NR2315--MA0511.2.RUNX2	chr12	55466581	55466589	+	0.000	0.000	Merged-chr12-55466597-41
NR1075--MA0511.2.RUNX2	chr10	60162675	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR757--MA0684.1.RUNX3	chr1	179240818	179240827	+	0.000	0.000	Merged-chr1-179240877-38
NR6569--MA0002.2.RUNX1	chr3	10151849	10151859	+	0.000	0.000	Merged-chr3-10151750-17
NR3873--MA0002.2.RUNX1	chr15	38535574	38535584	-	0.000	0.000	Merged-chr15-38535554-39
NR859--MA0002.2.RUNX1	chr1	190875347	190875357	-	0.000	0.000	Merged-chr1-190875350-16
NR1845--MA0002.2.RUNX1	chr11	75279833	75279843	-	0.000	0.000	Merged-chr11-75279801-60
NR10067--MA0511.2.RUNX2	chr8	79046885	79046893	+	0.000	0.000	Merged-chr8-79046826-18
NR1910--MA0511.2.RUNX2	chr11	85324193	85324201	-	0.000	0.000	Merged-chr11-85324179-42
NR8641--MA0511.2.RUNX2	chr6	55057576	55057584	-	0.000	0.000	Merged-chr6-55057514-12
NR5784--MA0002.2.RUNX1	chr2	18928409	18928419	-	0.000	0.000	Merged-chr2-18928432-59
NR6914--MA0684.1.RUNX3	chr3	116200194	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR6246--MA0511.2.RUNX2	chr2	131814770	131814778	-	0.000	0.000	Merged-chr2-131814755-10
NR6895--MA0684.1.RUNX3	chr3	109740742	109740751	+	0.000	0.000	Merged-chr3-109740806-11
NR10410--MA0002.2.RUNX1	chr9	20988200	20988210	-	0.000	0.000	Merged-chr9-20988084-12
NR4053--MA0002.2.RUNX1	chr15	85233150	85233160	-	0.000	0.000	Merged-chr15-85233310-62
NR8479--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR3831--MA0002.2.RUNX1	chr15	27668286	27668296	+	0.000	0.000	Merged-chr15-27668249-55
NR6888--MA0002.2.RUNX1	chr3	108975211	108975221	+	0.000	0.000	Merged-chr3-108975255-11
NR6758--MA0002.2.RUNX1	chr3	86196699	86196709	-	0.000	0.000	Merged-chr3-86196613-32
NR6073--MA0002.2.RUNX1	chr2	84734095	84734105	-	0.000	0.000	Merged-chr2-84734073-60
NR9993--MA0684.1.RUNX3	chr8	46420692	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR2308--MA0684.1.RUNX3	chr12	54655576	54655585	+	0.000	0.000	Merged-chr12-54655706-6
NR4524--MA0511.2.RUNX2	chr16	89817051	89817059	+	0.000	0.000	Merged-chr16-89817047-30
NR366--MA0511.2.RUNX2	chr1	97614015	97614023	+	0.000	0.000	Merged-chr1-97613912-17
NR6979--MA0511.2.RUNX2	chr3	130894420	130894428	+	0.000	0.000	Merged-chr3-130894407-22
NR6247--MA0684.1.RUNX3	chr2	131814769	131814778	-	0.000	0.000	Merged-chr2-131814755-10
NR8926--MA0684.1.RUNX3	chr6	119509053	119509062	-	0.000	0.000	Merged-chr6-119509030-36
NR8529--MA0511.2.RUNX2	chr6	32328214	32328222	-	0.000	0.000	Merged-chr6-32328311-28
NR9985--MA0684.1.RUNX3	chr8	41334318	41334327	-	0.000	0.000	Merged-chr8-41334366-24
NR8539--MA0002.2.RUNX1	chr6	34364971	34364981	-	0.000	0.000	Merged-chr6-34364838-25
NR3312--MA0684.1.RUNX3	chr13	117242260	117242269	+	0.000	0.000	Merged-chr13-117242416-107
NR10898--MA0002.2.RUNX1	chr9	110907689	110907699	-	0.000	0.000	Merged-chr9-110907689-47
NR1711--MA0511.2.RUNX2	chr11	52224161	52224169	+	0.000	0.000	Merged-chr11-52224357-50
NR5843--MA0002.2.RUNX1	chr2	30796700	30796710	-	0.000	0.000	Merged-chr2-30796578-35
NR259--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR3815--MA0002.2.RUNX1	chr15	18951817	18951827	+	0.000	0.000	Merged-chr15-18951851-25
NR11200--MA0684.1.RUNX3	chrX	163879520	163879529	+	0.000	0.000	Merged-chrX-163879591-51
