#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR863--MA0523.1.TCF7L2	chr10	41615634	41615647	+	0.000	0.000	Merged-chr10-41615681-31
NR1603--MA1421.1.TCF7L1	chr11	109364990	109365001	-	0.000	0.000	Merged-chr11-109365028-9
NR6296--MA1421.1.TCF7L1	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR9120--MA0523.1.TCF7L2	chrX	100789552	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR6670--MA1421.1.TCF7L1	chr5	64045294	64045305	-	0.000	0.000	Merged-chr5-64045165-50
NR1750--MA0523.1.TCF7L2	chr12	32099792	32099805	+	0.000	0.000	Merged-chr12-32099741-8
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR7340--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1241--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR6666--MA1421.1.TCF7L1	chr5	63943505	63943516	+	0.000	0.000	Merged-chr5-63943362-36
NR8105--MA1421.1.TCF7L1	chr7	142056828	142056839	+	0.000	0.000	Merged-chr7-142056944-50
NR3876--MA0523.1.TCF7L2	chr17	50485168	50485181	-	0.000	0.000	Merged-chr17-50485186-33
NR6902--MA0769.1.Tcf7	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR3863--MA0523.1.TCF7L2	chr17	48318939	48318952	+	0.000	0.000	Merged-chr17-48318964-29
NR8773--MA0769.1.Tcf7	chr9	80082423	80082434	+	0.000	0.000	Merged-chr9-80082362-35
NR1948--MA0523.1.TCF7L2	chr12	86686987	86687000	-	0.000	0.000	Merged-chr12-86687051-28
NR1247--MA0769.1.Tcf7	chr10	118419238	118419249	+	0.000	0.000	Merged-chr10-118419236-59
NR252--MA0769.1.Tcf7	chr1	91093484	91093495	-	0.000	0.000	Merged-chr1-91093429-45
NR6421--MA1421.1.TCF7L1	chr4	135157457	135157468	-	0.000	0.000	Merged-chr4-135157519-19
NR8947--MA1421.1.TCF7L1	chr9	114476719	114476730	-	0.000	0.000	Merged-chr9-114476878-62
NR8657--MA0769.1.Tcf7	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR830--MA0769.1.Tcf7	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR1079--MA0523.1.TCF7L2	chr10	91138669	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR6674--MA1421.1.TCF7L1	chr5	64455558	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR3002--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR5634--MA0769.1.Tcf7	chr3	95223331	95223342	+	0.000	0.000	Merged-chr3-95223190-16
NR3930--MA1421.1.TCF7L1	chr17	73952218	73952229	+	0.000	0.000	Merged-chr17-73952254-58
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5148035-17
NR250--MA1421.1.TCF7L1	chr1	91093484	91093495	-	0.000	0.000	Merged-chr1-91093429-45
NR5312--MA0769.1.Tcf7	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR5460--MA0769.1.Tcf7	chr3	38280379	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR2363--MA0523.1.TCF7L2	chr13	73737018	73737031	-	0.000	0.000	Merged-chr13-73737138-53
NR8736--MA1421.1.TCF7L1	chr9	72660276	72660287	+	0.000	0.000	Merged-chr9-72660303-37
NR1255--MA0523.1.TCF7L2	chr10	120193465	120193478	+	0.000	0.000	Merged-chr10-120193454-50
NR8099--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR3827--MA0769.1.Tcf7	chr17	35766542	35766553	+	0.000	0.000	Merged-chr17-35766522-37
NR9144--MA0769.1.Tcf7	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR873--MA1421.1.TCF7L1	chr10	44700357	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR442--MA0769.1.Tcf7	chr1	143466098	143466109	+	0.000	0.000	Merged-chr1-143466091-51
NR6667--MA0769.1.Tcf7	chr5	63943505	63943516	+	0.000	0.000	Merged-chr5-63943362-36
NR1516--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR8073--MA1421.1.TCF7L1	chr7	135605122	135605133	+	0.000	0.000	Merged-chr7-135605308-40
NR3250--MA1421.1.TCF7L1	chr15	84168879	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR6583--MA1421.1.TCF7L1	chr5	28269931	28269942	-	0.000	0.000	Merged-chr5-28269924-54
NR7766--MA0769.1.Tcf7	chr7	65714383	65714394	+	0.000	0.000	Merged-chr7-65714407-39
NR8719--MA1421.1.TCF7L1	chr9	69023585	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR7421--MA1421.1.TCF7L1	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR5595--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR5051--MA0523.1.TCF7L2	chr2	119547496	119547509	-	0.000	0.000	Merged-chr2-119547513-90
NR2813--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR7745--MA0523.1.TCF7L2	chr7	58824932	58824945	+	0.000	0.000	Merged-chr7-58824899-42
NR2689--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR1478--MA0523.1.TCF7L2	chr11	76184636	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR3873--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR2765--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR3582--MA0769.1.Tcf7	chr16	58546298	58546309	+	0.000	0.000	Merged-chr16-58546287-56
NR5077--MA0769.1.Tcf7	chr2	125422355	125422366	+	0.000	0.000	Merged-chr2-125422559-12
NR2971--MA1421.1.TCF7L1	chr14	118124306	118124317	+	0.000	0.000	Merged-chr14-118124409-31
NR4798--MA0523.1.TCF7L2	chr2	65104747	65104760	-	0.000	0.000	Merged-chr2-65104683-25
NR1080--MA0769.1.Tcf7	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR1671--MA0523.1.TCF7L2	chr12	3791935	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR1246--MA0523.1.TCF7L2	chr10	118419238	118419251	+	0.000	0.000	Merged-chr10-118419236-59
NR3544--MA0523.1.TCF7L2	chr16	50070627	50070640	+	0.000	0.000	Merged-chr16-50070751-51
NR2159--MA1421.1.TCF7L1	chr13	9203629	9203640	-	0.000	0.000	Merged-chr13-9203705-17
NR5072--MA0523.1.TCF7L2	chr2	124634579	124634592	+	0.000	0.000	Merged-chr2-124634585-20
NR6297--MA0769.1.Tcf7	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR7004--MA1421.1.TCF7L1	chr5	147418563	147418574	-	0.000	0.000	Merged-chr5-147418611-52
NR357--MA1421.1.TCF7L1	chr1	127297164	127297175	-	0.000	0.000	Merged-chr1-127297024-52
NR4495--MA1421.1.TCF7L1	chr19	55768424	55768435	-	0.000	0.000	Merged-chr19-55768445-7
NR4574--MA0769.1.Tcf7	chr2	11617019	11617030	+	0.000	0.000	Merged-chr2-11617013-39
NR4592--MA0769.1.Tcf7	chr2	17861893	17861904	+	0.000	0.000	Merged-chr2-17861880-15
NR4591--MA0523.1.TCF7L2	chr2	17861893	17861906	+	0.000	0.000	Merged-chr2-17861880-15
NR4579--MA0769.1.Tcf7	chr2	13560678	13560689	-	0.000	0.000	Merged-chr2-13560596-20
NR491--MA0523.1.TCF7L2	chr1	152053525	152053538	+	0.000	0.000	Merged-chr1-152053412-31
NR6030--MA0523.1.TCF7L2	chr4	4792517	4792530	+	0.000	0.000	Merged-chr4-4792385-2
NR7315--MA0523.1.TCF7L2	chr6	88782957	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR1672--MA0769.1.Tcf7	chr12	3791937	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR6423--MA0769.1.Tcf7	chr4	135568134	135568145	+	0.000	0.000	Merged-chr4-135567986-19
NR1869--MA0523.1.TCF7L2	chr12	73605317	73605330	-	0.000	0.000	Merged-chr12-73605389-1
NR8204--MA0523.1.TCF7L2	chr8	35628452	35628465	-	0.000	0.000	Merged-chr8-35628375-52
NR874--MA0523.1.TCF7L2	chr10	44700355	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR9008--MA0769.1.Tcf7	chr9	120082887	120082898	+	0.000	0.000	Merged-chr9-120082843-44
NR2301--MA0769.1.Tcf7	chr13	52800882	52800893	-	0.000	0.000	Merged-chr13-52800951-49
NR5476--MA0523.1.TCF7L2	chr3	52791015	52791028	-	0.000	0.000	Merged-chr3-52791161-46
NR3083--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR8948--MA0769.1.Tcf7	chr9	114476719	114476730	-	0.000	0.000	Merged-chr9-114476878-62
NR9007--MA0523.1.TCF7L2	chr9	120082887	120082900	+	0.000	0.000	Merged-chr9-120082843-44
NR92--MA0769.1.Tcf7	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR9035--MA0769.1.Tcf7	chr9	123872233	123872244	+	0.000	0.000	Merged-chr9-123872293-49
NR7876--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6498--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR2776--MA0769.1.Tcf7	chr14	54578411	54578422	+	0.000	0.000	Merged-chr14-54578277-39
NR6916--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR7579--MA1421.1.TCF7L1	chr6	142785367	142785378	+	0.000	0.000	Merged-chr6-142785520-28
NR748--MA1421.1.TCF7L1	chr10	8197752	8197763	+	0.000	0.000	Merged-chr10-8197795-23
NR1456--MA0523.1.TCF7L2	chr11	68432895	68432908	+	0.000	0.000	Merged-chr11-68432875-7
NR1252--MA0769.1.Tcf7	chr10	119005748	119005759	-	0.000	0.000	Merged-chr10-119005704-15
NR4393--MA0523.1.TCF7L2	chr19	21785493	21785506	+	0.000	0.000	Merged-chr19-21785424-37
NR1795--MA0523.1.TCF7L2	chr12	41844193	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR8358--MA0523.1.TCF7L2	chr8	88771556	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR5459--MA0523.1.TCF7L2	chr3	38280377	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR7581--MA0769.1.Tcf7	chr6	142785367	142785378	+	0.000	0.000	Merged-chr6-142785520-28
NR3207--MA1421.1.TCF7L1	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR6708--MA1421.1.TCF7L1	chr5	73286650	73286661	+	0.000	0.000	Merged-chr5-73286597-55
NR9188--MA0769.1.Tcf7	chrX	167101944	167101955	-	0.000	0.000	Merged-chrX-167102061-51
NR9028--MA0523.1.TCF7L2	chr9	123462003	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR8345--MA0523.1.TCF7L2	chr8	86779420	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR16--MA0523.1.TCF7L2	chr1	13559596	13559609	+	0.000	0.000	Merged-chr1-13559747-54
NR6496--MA0769.1.Tcf7	chr4	149515888	149515899	+	0.000	0.000	Merged-chr4-149515822-34
NR9030--MA1421.1.TCF7L1	chr9	123734309	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR6901--MA1421.1.TCF7L1	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR3159--MA1421.1.TCF7L1	chr15	58655206	58655217	-	0.000	0.000	Merged-chr15-58655104-54
NR1176--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR5505--MA0769.1.Tcf7	chr3	60469297	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR1168--MA0769.1.Tcf7	chr10	109115281	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR924--MA1421.1.TCF7L1	chr10	59932767	59932778	+	0.000	0.000	Merged-chr10-59932702-41
NR2043--MA0769.1.Tcf7	chr12	108646503	108646514	-	0.000	0.000	Merged-chr12-108646363-75
NR6493--MA0523.1.TCF7L2	chr4	149469681	149469694	-	0.000	0.000	Merged-chr4-149469788-41
NR7043--MA0523.1.TCF7L2	chr6	5147853	5147866	+	0.000	0.000	Merged-chr6-5148035-17
NR1765--MA0523.1.TCF7L2	chr12	35691101	35691114	+	0.000	0.000	Merged-chr12-35691135-26
NR8100--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR9173--MA0523.1.TCF7L2	chrX	159056222	159056235	-	0.000	0.000	Merged-chrX-159056201-53
NR4578--MA0523.1.TCF7L2	chr2	13560676	13560689	-	0.000	0.000	Merged-chr2-13560596-20
NR4350--MA0523.1.TCF7L2	chr19	10698523	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR90--MA1421.1.TCF7L1	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR6958--MA0769.1.Tcf7	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR1752--MA0523.1.TCF7L2	chr12	32895228	32895241	+	0.000	0.000	Merged-chr12-32895351-16
NR3676--MA0523.1.TCF7L2	chr16	92743981	92743994	+	0.000	0.000	Merged-chr16-92743989-33
NR3457--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR305--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR7245--MA0523.1.TCF7L2	chr6	67367316	67367329	+	0.000	0.000	Merged-chr6-67367460-34
NR3663--MA0523.1.TCF7L2	chr16	91366677	91366690	+	0.000	0.000	Merged-chr16-91366873-55
NR2688--MA0523.1.TCF7L2	chr14	36316955	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR2940--MA1421.1.TCF7L1	chr14	103850721	103850732	-	0.000	0.000	Merged-chr14-103850623-36
NR1458--MA1421.1.TCF7L1	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR4394--MA0769.1.Tcf7	chr19	21785493	21785504	+	0.000	0.000	Merged-chr19-21785424-37
NR9143--MA0523.1.TCF7L2	chrX	132288201	132288214	+	0.000	0.000	Merged-chrX-132288230-18
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR4285--MA0523.1.TCF7L2	chr18	80686384	80686397	+	0.000	0.000	Merged-chr18-80686265-50
NR9181--MA0769.1.Tcf7	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR9029--MA0769.1.Tcf7	chr9	123462005	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR8772--MA1421.1.TCF7L1	chr9	80082423	80082434	+	0.000	0.000	Merged-chr9-80082362-35
NR1167--MA0523.1.TCF7L2	chr10	109115279	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR3524--MA1421.1.TCF7L1	chr16	45952648	45952659	+	0.000	0.000	Merged-chr16-45952504-43
NR1007--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR3208--MA0523.1.TCF7L2	chr15	73182578	73182591	+	0.000	0.000	Merged-chr15-73182706-35
NR6570--MA0523.1.TCF7L2	chr5	22587657	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR7691--MA0769.1.Tcf7	chr7	25205430	25205441	+	0.000	0.000	Merged-chr7-25205538-69
NR8912--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR1588--MA0523.1.TCF7L2	chr11	105445168	105445181	+	0.000	0.000	Merged-chr11-105445069-18
NR3284--MA0523.1.TCF7L2	chr15	93379572	93379585	-	0.000	0.000	Merged-chr15-93379459-27
NR637--MA0523.1.TCF7L2	chr1	180390379	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR126--MA0769.1.Tcf7	chr1	59189725	59189736	+	0.000	0.000	Merged-chr1-59189721-10
NR6812--MA0769.1.Tcf7	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR5073--MA0769.1.Tcf7	chr2	124732681	124732692	+	0.000	0.000	Merged-chr2-124732800-44
NR5856--MA1421.1.TCF7L1	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR359--MA0769.1.Tcf7	chr1	127348987	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR3668--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR3463--MA1421.1.TCF7L1	chr16	33691697	33691708	-	0.000	0.000	Merged-chr16-33691596-37
NR6385--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR5843--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR2041--MA1421.1.TCF7L1	chr12	108646503	108646514	-	0.000	0.000	Merged-chr12-108646363-75
NR8455--MA0769.1.Tcf7	chr8	122464034	122464045	-	0.000	0.000	Merged-chr8-122464115-42
NR3001--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2150--MA0523.1.TCF7L2	chr13	8458069	8458082	+	0.000	0.000	Merged-chr13-8458004-23
NR2941--MA0769.1.Tcf7	chr14	103850721	103850732	-	0.000	0.000	Merged-chr14-103850623-36
NR5857--MA0769.1.Tcf7	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR610--MA0769.1.Tcf7	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR7619--MA0523.1.TCF7L2	chr6	146081207	146081220	+	0.000	0.000	Merged-chr6-146081045-99
NR6865--MA1421.1.TCF7L1	chr5	107646069	107646080	-	0.000	0.000	Merged-chr5-107646170-26
NR782--MA0523.1.TCF7L2	chr10	19504574	19504587	+	0.000	0.000	Merged-chr10-19504569-39
NR6646--MA1421.1.TCF7L1	chr5	52245288	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1753--MA0769.1.Tcf7	chr12	32895228	32895239	+	0.000	0.000	Merged-chr12-32895351-16
NR5443--MA1421.1.TCF7L1	chr3	37174957	37174968	+	0.000	0.000	Merged-chr3-37174845-28
NR8123--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR7850--MA0523.1.TCF7L2	chr7	89712126	89712139	-	0.000	0.000	Merged-chr7-89711964-5
NR839--MA0769.1.Tcf7	chr10	34171286	34171297	+	0.000	0.000	Merged-chr10-34171360-52
NR8232--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR7874--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR4975--MA1421.1.TCF7L1	chr2	107005953	107005964	+	0.000	0.000	Merged-chr2-107005967-12
NR3418--MA0523.1.TCF7L2	chr16	23308223	23308236	-	0.000	0.000	Merged-chr16-23308226-35
NR6824--MA0523.1.TCF7L2	chr5	100875852	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR8916--MA0523.1.TCF7L2	chr9	108146579	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR875--MA0769.1.Tcf7	chr10	44700357	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR6527--MA0769.1.Tcf7	chr4	155082318	155082329	+	0.000	0.000	Merged-chr4-155082260-14
NR5320--MA0523.1.TCF7L2	chr2	169590787	169590800	+	0.000	0.000	Merged-chr2-169590672-10
NR6957--MA0523.1.TCF7L2	chr5	137857125	137857138	+	0.000	0.000	Merged-chr5-137857044-20
NR7975--MA0769.1.Tcf7	chr7	118276848	118276859	-	0.000	0.000	Merged-chr7-118276887-4
NR6811--MA0523.1.TCF7L2	chr5	100526269	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR638--MA0769.1.Tcf7	chr1	180390381	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR7993--MA0769.1.Tcf7	chr7	122932293	122932304	+	0.000	0.000	Merged-chr7-122932357-26
NR2600--MA1421.1.TCF7L1	chr14	7889537	7889548	+	0.000	0.000	Merged-chr14-7889819-67
NR4208--MA0523.1.TCF7L2	chr18	66453475	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR1515--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR3660--MA1421.1.TCF7L1	chr16	90277003	90277014	-	0.000	0.000	Merged-chr16-90277146-33
NR3439--MA0523.1.TCF7L2	chr16	30504364	30504377	-	0.000	0.000	Merged-chr16-30504218-43
NR6869--MA1421.1.TCF7L1	chr5	107932809	107932820	+	0.000	0.000	Merged-chr5-107932779-30
NR3669--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR8674--MA0523.1.TCF7L2	chr9	54613058	54613071	+	0.000	0.000	Merged-chr9-54612864-43
NR2209--MA1421.1.TCF7L1	chr13	30682118	30682129	+	0.000	0.000	Merged-chr13-30682181-38
NR3670--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR482--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1907--MA0769.1.Tcf7	chr12	77113672	77113683	-	0.000	0.000	Merged-chr12-77113716-48
NR6922--MA0769.1.Tcf7	chr5	122652790	122652801	+	0.000	0.000	Merged-chr5-122652679-26
NR1717--MA0523.1.TCF7L2	chr12	21472606	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR1177--MA1421.1.TCF7L1	chr10	111031857	111031868	-	0.000	0.000	Merged-chr10-111031729-43
NR1947--MA1421.1.TCF7L1	chr12	86686989	86687000	-	0.000	0.000	Merged-chr12-86687051-28
NR3752--MA0523.1.TCF7L2	chr17	12727941	12727954	+	0.000	0.000	Merged-chr17-12727995-27
NR7126--MA0769.1.Tcf7	chr6	39714578	39714589	+	0.000	0.000	Merged-chr6-39714600-24
NR609--MA1421.1.TCF7L1	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR926--MA0769.1.Tcf7	chr10	59932767	59932778	+	0.000	0.000	Merged-chr10-59932702-41
NR1724--MA0769.1.Tcf7	chr12	25360063	25360074	+	0.000	0.000	Merged-chr12-25360161-60
NR2814--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR8219--MA0523.1.TCF7L2	chr8	40963187	40963200	-	0.000	0.000	Merged-chr8-40963134-88
NR8346--MA0769.1.Tcf7	chr8	86779422	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR1328--MA1421.1.TCF7L1	chr11	11557375	11557386	+	0.000	0.000	Merged-chr11-11557510-103
NR8425--MA0523.1.TCF7L2	chr8	114880811	114880824	+	0.000	0.000	Merged-chr8-114880569-95
NR1643--MA0523.1.TCF7L2	chr11	115813916	115813929	+	0.000	0.000	Merged-chr11-115814180-82
NR8693--MA1421.1.TCF7L1	chr9	61427179	61427190	-	0.000	0.000	Merged-chr9-61427187-31
NR9119--MA1421.1.TCF7L1	chrX	100789554	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR1749--MA1421.1.TCF7L1	chr12	32099792	32099803	+	0.000	0.000	Merged-chr12-32099741-8
NR1644--MA0769.1.Tcf7	chr11	115813916	115813927	+	0.000	0.000	Merged-chr11-115814180-82
NR4686--MA1421.1.TCF7L1	chr2	44345135	44345146	+	0.000	0.000	Merged-chr2-44345197-78
NR5444--MA0769.1.Tcf7	chr3	37174957	37174968	+	0.000	0.000	Merged-chr3-37174845-28
NR7510--MA0523.1.TCF7L2	chr6	129275961	129275974	-	0.000	0.000	Merged-chr6-129276104-1
NR6422--MA0769.1.Tcf7	chr4	135157457	135157468	-	0.000	0.000	Merged-chr4-135157519-19
