#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR4816--MA1421.1.TCF7L1	chr7	67353793	67353804	+	0.000	0.000	Merged-chr7-67353683-35
NR949--MA0769.1.Tcf7	chr11	74100908	74100919	+	0.000	0.000	Merged-chr11-74100988-13
NR2196--MA0523.1.TCF7L2	chr16	36666908	36666921	-	0.000	0.000	Merged-chr16-36666811-59
NR2461--MA1421.1.TCF7L1	chr17	48332827	48332838	-	0.000	0.000	Merged-chr17-48332786-43
NR609--MA0769.1.Tcf7	chr10	75282887	75282898	-	0.000	0.000	Merged-chr10-75282925-47
NR3027--MA0769.1.Tcf7	chr2	77176534	77176545	+	0.000	0.000	Merged-chr2-77176488-48
NR3721--MA0769.1.Tcf7	chr4	7455298	7455309	+	0.000	0.000	Merged-chr4-7455242-36
NR2579--MA0523.1.TCF7L2	chr18	6106798	6106811	+	0.000	0.000	Merged-chr18-6106813-28
NR2183--MA0523.1.TCF7L2	chr16	26667868	26667881	-	0.000	0.000	Merged-chr16-26667963-36
NR524--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR1425--MA0769.1.Tcf7	chr13	8458069	8458080	+	0.000	0.000	Merged-chr13-8458004-23
NR2023--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR3096--MA1421.1.TCF7L1	chr2	105022182	105022193	+	0.000	0.000	Merged-chr2-105022109-54
NR381--MA0523.1.TCF7L2	chr1	173432611	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR2625--MA1421.1.TCF7L1	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR3249--MA0523.1.TCF7L2	chr2	157746722	157746735	+	0.000	0.000	Merged-chr2-157746803-36
NR1927--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR3948--MA1421.1.TCF7L1	chr4	141917967	141917978	+	0.000	0.000	Merged-chr4-141918116-30
NR5140--MA0769.1.Tcf7	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR4512--MA0523.1.TCF7L2	chr6	97300877	97300890	-	0.000	0.000	Merged-chr6-97300820-20
NR2179--MA0523.1.TCF7L2	chr16	25587908	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR4043--MA0523.1.TCF7L2	chr5	22587657	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR3685--MA1421.1.TCF7L1	chr3	152212099	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR3236--MA0523.1.TCF7L2	chr2	151944250	151944263	+	0.000	0.000	Merged-chr2-151944383-43
NR1121--MA0769.1.Tcf7	chr11	121777144	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR5381--MA1421.1.TCF7L1	chr9	44873958	44873969	+	0.000	0.000	Merged-chr9-44873882-32
NR1914--MA0523.1.TCF7L2	chr14	122952205	122952218	-	0.000	0.000	Merged-chr14-122951933-82
NR474--MA1421.1.TCF7L1	chr10	7212538	7212549	-	0.000	0.000	Merged-chr10-7212223-140
NR33--MA1421.1.TCF7L1	chr1	39895714	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR2591--MA0523.1.TCF7L2	chr18	19524573	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR4683--MA0523.1.TCF7L2	chr6	144333302	144333315	+	0.000	0.000	Merged-chr6-144333219-22
NR217--MA1421.1.TCF7L1	chr1	128794047	128794058	+	0.000	0.000	Merged-chr1-128794102-26
NR4055--MA0769.1.Tcf7	chr5	28402978	28402989	-	0.000	0.000	Merged-chr5-28402904-51
NR5239--MA0769.1.Tcf7	chr8	115136851	115136862	-	0.000	0.000	Merged-chr8-115136921-34
NR3480--MA0523.1.TCF7L2	chr3	101066413	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR3771--MA0769.1.Tcf7	chr4	53227934	53227945	+	0.000	0.000	Merged-chr4-53228038-46
NR3055--MA0523.1.TCF7L2	chr2	85224477	85224490	+	0.000	0.000	Merged-chr2-85224623-28
NR1830--MA1421.1.TCF7L1	chr14	70962243	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR1999--MA0523.1.TCF7L2	chr15	59010890	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR410--MA1421.1.TCF7L1	chr1	181299227	181299238	-	0.000	0.000	Merged-chr1-181299360-30
NR2587--MA0523.1.TCF7L2	chr18	14667173	14667186	-	0.000	0.000	Merged-chr18-14667256-44
NR1041--MA0769.1.Tcf7	chr11	106961829	106961840	+	0.000	0.000	Merged-chr11-106961822-47
NR676--MA1421.1.TCF7L1	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR3476--MA0523.1.TCF7L2	chr3	101056904	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR419--MA1421.1.TCF7L1	chr1	183987878	183987889	+	0.000	0.000	Merged-chr1-183987914-47
NR4530--MA0769.1.Tcf7	chr6	101359851	101359862	-	0.000	0.000	Merged-chr6-101359900-41
NR3425--MA0523.1.TCF7L2	chr3	83997231	83997244	+	0.000	0.000	Merged-chr3-83997240-19
NR382--MA0769.1.Tcf7	chr1	173432613	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR3463--MA0523.1.TCF7L2	chr3	96847830	96847843	-	0.000	0.000	Merged-chr3-96847710-69
NR2109--MA0769.1.Tcf7	chr15	96936880	96936891	+	0.000	0.000	Merged-chr15-96936996-41
NR3038--MA0523.1.TCF7L2	chr2	79127624	79127637	-	0.000	0.000	Merged-chr2-79127545-30
NR420--MA0523.1.TCF7L2	chr1	183987878	183987891	+	0.000	0.000	Merged-chr1-183987914-47
NR2027--MA1421.1.TCF7L1	chr15	66998422	66998433	+	0.000	0.000	Merged-chr15-66998486-48
NR1937--MA0769.1.Tcf7	chr15	25892140	25892151	-	0.000	0.000	Merged-chr15-25891873-55
NR878--MA1421.1.TCF7L1	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR4228--MA0523.1.TCF7L2	chr5	111200340	111200353	-	0.000	0.000	Merged-chr5-111200479-33
NR3687--MA0769.1.Tcf7	chr3	152212099	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR1400--MA0769.1.Tcf7	chr12	116315552	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR1809--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR1727--MA0769.1.Tcf7	chr14	7913984	7913995	-	0.000	0.000	Merged-chr14-7914040-29
NR2029--MA0769.1.Tcf7	chr15	66998422	66998433	+	0.000	0.000	Merged-chr15-66998486-48
NR4578--MA1421.1.TCF7L1	chr6	120206759	120206770	+	0.000	0.000	Merged-chr6-120206801-39
NR549--MA0523.1.TCF7L2	chr10	42888502	42888515	-	0.000	0.000	Merged-chr10-42888420-50
NR5591--MA1421.1.TCF7L1	chr9	108164007	108164018	+	0.000	0.000	Merged-chr9-108163865-26
NR2001--MA1421.1.TCF7L1	chr15	59805127	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR3477--MA0769.1.Tcf7	chr3	101056906	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR3820--MA0523.1.TCF7L2	chr4	95448929	95448942	+	0.000	0.000	Merged-chr4-95449018-19
NR5540--MA1421.1.TCF7L1	chr9	92218022	92218033	+	0.000	0.000	Merged-chr9-92217904-40
NR3804--MA0769.1.Tcf7	chr4	87669755	87669766	+	0.000	0.000	Merged-chr4-87669731-33
NR4733--MA1421.1.TCF7L1	chr7	15949534	15949545	+	0.000	0.000	Merged-chr7-15949519-32
NR880--MA0769.1.Tcf7	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR1040--MA0523.1.TCF7L2	chr11	106961829	106961842	+	0.000	0.000	Merged-chr11-106961822-47
NR3155--MA0769.1.Tcf7	chr2	128431045	128431056	+	0.000	0.000	Merged-chr2-128430953-27
NR4698--MA1421.1.TCF7L1	chr6	146081207	146081218	+	0.000	0.000	Merged-chr6-146081045-99
NR3170--MA0523.1.TCF7L2	chr2	132669231	132669244	+	0.000	0.000	Merged-chr2-132669439-31
NR1320--MA0769.1.Tcf7	chr12	102581813	102581824	+	0.000	0.000	Merged-chr12-102581960-56
NR780--MA0523.1.TCF7L2	chr10	121497999	121498012	+	0.000	0.000	Merged-chr10-121498117-10
NR5138--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR3010--MA1421.1.TCF7L1	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR2035--MA1421.1.TCF7L1	chr15	68228377	68228388	+	0.000	0.000	Merged-chr15-68228296-28
NR3809--MA0769.1.Tcf7	chr4	89169078	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR3179--MA0523.1.TCF7L2	chr2	135891373	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR3276--MA1421.1.TCF7L1	chr2	166665689	166665700	+	0.000	0.000	Merged-chr2-166665700-84
NR886--MA1421.1.TCF7L1	chr11	52109580	52109591	+	0.000	0.000	Merged-chr11-52109659-16
NR5447--MA0769.1.Tcf7	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR4838--MA0523.1.TCF7L2	chr7	77133220	77133233	+	0.000	0.000	Merged-chr7-77133181-52
NR80--MA0769.1.Tcf7	chr1	67023522	67023533	+	0.000	0.000	Merged-chr1-67023383-28
NR2350--MA0523.1.TCF7L2	chr17	5748000	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR3057--MA0769.1.Tcf7	chr2	90562274	90562285	-	0.000	0.000	Merged-chr2-90562207-12
NR3591--MA0523.1.TCF7L2	chr3	133626742	133626755	-	0.000	0.000	Merged-chr3-133626779-42
NR2418--MA1421.1.TCF7L1	chr17	29552497	29552508	-	0.000	0.000	Merged-chr17-29552502-38
NR2652--MA0769.1.Tcf7	chr18	60375876	60375887	-	0.000	0.000	Merged-chr18-60375896-42
NR3845--MA0769.1.Tcf7	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR873--MA1421.1.TCF7L1	chr11	48927166	48927177	-	0.000	0.000	Merged-chr11-48927051-20
NR442--MA0769.1.Tcf7	chr1	191259394	191259405	+	0.000	0.000	Merged-chr1-191259374-46
NR4044--MA0769.1.Tcf7	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR3608--MA0769.1.Tcf7	chr3	136725840	136725851	-	0.000	0.000	Merged-chr3-136725981-1
NR2330--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR3587--MA0523.1.TCF7L2	chr3	133076678	133076691	+	0.000	0.000	Merged-chr3-133076578-21
NR2552--MA0523.1.TCF7L2	chr17	86187975	86187988	+	0.000	0.000	Merged-chr17-86187981-35
NR4604--MA0769.1.Tcf7	chr6	129239825	129239836	+	0.000	0.000	Merged-chr6-129239949-37
NR4272--MA1421.1.TCF7L1	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR5385--MA0769.1.Tcf7	chr9	46015107	46015118	-	0.000	0.000	Merged-chr9-46015200-37
NR2102--MA0769.1.Tcf7	chr15	95826626	95826637	+	0.000	0.000	Merged-chr15-95826706-34
NR5139--MA0769.1.Tcf7	chr8	56443917	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR4859--MA0523.1.TCF7L2	chr7	83852807	83852820	+	0.000	0.000	Merged-chr7-83852721-40
NR3662--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR4737--MA1421.1.TCF7L1	chr7	16001894	16001905	+	0.000	0.000	Merged-chr7-16001989-41
NR1697--MA0523.1.TCF7L2	chr13	114076179	114076192	-	0.000	0.000	Merged-chr13-114076115-29
NR4506--MA0769.1.Tcf7	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR746--MA0523.1.TCF7L2	chr10	117721682	117721695	-	0.000	0.000	Merged-chr10-117721632-23
NR2329--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR2116--MA0769.1.Tcf7	chr15	98631712	98631723	-	0.000	0.000	Merged-chr15-98631640-23
NR358--MA0769.1.Tcf7	chr1	165986106	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR1259--MA0769.1.Tcf7	chr12	85602959	85602970	+	0.000	0.000	Merged-chr12-85603037-13
NR2595--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1926--MA0769.1.Tcf7	chr15	9528431	9528442	-	0.000	0.000	Merged-chr15-9528468-81
NR2904--MA0769.1.Tcf7	chr2	17861893	17861904	+	0.000	0.000	Merged-chr2-17861880-15
NR2559--MA1421.1.TCF7L1	chr17	88213664	88213675	+	0.000	0.000	Merged-chr17-88213709-19
NR1832--MA0769.1.Tcf7	chr14	70962243	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR2066--MA0523.1.TCF7L2	chr15	89282682	89282695	+	0.000	0.000	Merged-chr15-89282720-31
NR2331--MA1421.1.TCF7L1	chr16	95999482	95999493	+	0.000	0.000	Merged-chr16-95999409-48
NR2969--MA0523.1.TCF7L2	chr2	48322472	48322485	-	0.000	0.000	Merged-chr2-48322438-54
NR3439--MA0769.1.Tcf7	chr3	88521947	88521958	-	0.000	0.000	Merged-chr3-88522043-54
NR4099--MA0769.1.Tcf7	chr5	64389852	64389863	+	0.000	0.000	Merged-chr5-64389971-20
NR1465--MA0523.1.TCF7L2	chr13	30760531	30760544	-	0.000	0.000	Merged-chr13-30760784-79
NR4895--MA1421.1.TCF7L1	chr7	97067539	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR3229--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR148--MA0769.1.Tcf7	chr1	91405857	91405868	+	0.000	0.000	Merged-chr1-91405791-30
NR1907--MA1421.1.TCF7L1	chr14	121137384	121137395	+	0.000	0.000	Merged-chr14-121137502-35
NR2956--MA0523.1.TCF7L2	chr2	45172932	45172945	-	0.000	0.000	Merged-chr2-45172921-51
NR948--MA0523.1.TCF7L2	chr11	74100908	74100921	+	0.000	0.000	Merged-chr11-74100988-13
NR4579--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR4538--MA0769.1.Tcf7	chr6	108509113	108509124	+	0.000	0.000	Merged-chr6-108509162-15
NR4676--MA1421.1.TCF7L1	chr6	142917604	142917615	+	0.000	0.000	Merged-chr6-142917674-52
NR180--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR2036--MA0769.1.Tcf7	chr15	68228377	68228388	+	0.000	0.000	Merged-chr15-68228296-28
NR4882--MA1421.1.TCF7L1	chr7	90345120	90345131	-	0.000	0.000	Merged-chr7-90345081-52
NR3372--MA0769.1.Tcf7	chr3	38280379	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR2341--MA0523.1.TCF7L2	chr16	97402539	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR4350--MA0769.1.Tcf7	chr6	17851329	17851340	+	0.000	0.000	Merged-chr6-17851443-16
NR1846--MA0769.1.Tcf7	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR5308--MA1421.1.TCF7L1	chr8	128474086	128474097	-	0.000	0.000	Merged-chr8-128474080-29
NR3048--MA1421.1.TCF7L1	chr2	83745486	83745497	-	0.000	0.000	Merged-chr2-83745257-69
NR1726--MA1421.1.TCF7L1	chr14	7889537	7889548	+	0.000	0.000	Merged-chr14-7889819-67
NR2108--MA1421.1.TCF7L1	chr15	96936880	96936891	+	0.000	0.000	Merged-chr15-96936996-41
NR2474--MA0523.1.TCF7L2	chr17	52592022	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR2146--MA1421.1.TCF7L1	chr16	4583907	4583918	-	0.000	0.000	Merged-chr16-4584045-35
NR973--MA0523.1.TCF7L2	chr11	84252631	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR1873--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR3050--MA0769.1.Tcf7	chr2	83745486	83745497	-	0.000	0.000	Merged-chr2-83745257-69
NR5661--MA0523.1.TCF7L2	chr9	123734307	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR754--MA0523.1.TCF7L2	chr10	117948089	117948102	-	0.000	0.000	Merged-chr10-117948025-58
NR3843--MA1421.1.TCF7L1	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR3180--MA0769.1.Tcf7	chr2	135891375	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR4803--MA0523.1.TCF7L2	chr7	58798502	58798515	+	0.000	0.000	Merged-chr7-58798464-29
NR887--MA0523.1.TCF7L2	chr11	52109580	52109593	+	0.000	0.000	Merged-chr11-52109659-16
NR5466--MA1421.1.TCF7L1	chr9	78025138	78025149	-	0.000	0.000	Merged-chr9-78024957-31
NR2118--MA0523.1.TCF7L2	chr15	99471754	99471767	-	0.000	0.000	Merged-chr15-99471704-50
NR4270--MA0769.1.Tcf7	chr5	124022515	124022526	-	0.000	0.000	Merged-chr5-124022476-27
NR969--MA0523.1.TCF7L2	chr11	83118301	83118314	-	0.000	0.000	Merged-chr11-83118266-24
NR4540--MA0523.1.TCF7L2	chr6	108512290	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR2856--MA0769.1.Tcf7	chr19	55792754	55792765	+	0.000	0.000	Merged-chr19-55792789-50
NR4136--MA0769.1.Tcf7	chr5	89051598	89051609	-	0.000	0.000	Merged-chr5-89051554-45
NR918--MA0523.1.TCF7L2	chr11	64021027	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR3795--MA1421.1.TCF7L1	chr4	71291707	71291718	-	0.000	0.000	Merged-chr4-71291736-94
NR546--MA1421.1.TCF7L1	chr10	39991286	39991297	-	0.000	0.000	Merged-chr10-39991173-41
NR956--MA0523.1.TCF7L2	chr11	76184636	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR5535--MA1421.1.TCF7L1	chr9	90199249	90199260	+	0.000	0.000	Merged-chr9-90199244-4
NR3720--MA0523.1.TCF7L2	chr4	7455298	7455311	+	0.000	0.000	Merged-chr4-7455242-36
NR888--MA0769.1.Tcf7	chr11	52109580	52109591	+	0.000	0.000	Merged-chr11-52109659-16
NR1805--MA0523.1.TCF7L2	chr14	61818508	61818521	-	0.000	0.000	Merged-chr14-61818597-46
NR5425--MA0523.1.TCF7L2	chr9	66274922	66274935	+	0.000	0.000	Merged-chr9-66274857-15
NR3430--MA1421.1.TCF7L1	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR2650--MA0523.1.TCF7L2	chr18	60375874	60375887	-	0.000	0.000	Merged-chr18-60375896-42
NR2306--MA0769.1.Tcf7	chr16	90277003	90277014	-	0.000	0.000	Merged-chr16-90277146-33
NR548--MA0769.1.Tcf7	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR3371--MA0523.1.TCF7L2	chr3	38280377	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR4187--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR678--MA0769.1.Tcf7	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR3344--MA1421.1.TCF7L1	chr3	21995859	21995870	+	0.000	0.000	Merged-chr3-21996009-51
NR2342--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR4271--MA1421.1.TCF7L1	chr5	124907041	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR5459--MA0523.1.TCF7L2	chr9	75222166	75222179	-	0.000	0.000	Merged-chr9-75222047-24
NR3331--MA1421.1.TCF7L1	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR4389--MA0523.1.TCF7L2	chr6	41113489	41113502	+	0.000	0.000	Merged-chr6-41113305-59
NR2305--MA1421.1.TCF7L1	chr16	90277003	90277014	-	0.000	0.000	Merged-chr16-90277146-33
NR5446--MA0523.1.TCF7L2	chr9	72660363	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR1172--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR5242--MA1421.1.TCF7L1	chr8	115771146	115771157	+	0.000	0.000	Merged-chr8-115771261-45
NR503--MA1421.1.TCF7L1	chr10	19812014	19812025	+	0.000	0.000	Merged-chr10-19812126-32
NR3231--MA0769.1.Tcf7	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR3693--MA0523.1.TCF7L2	chr3	152956172	152956185	-	0.000	0.000	Merged-chr3-152956195-38
NR5433--MA0523.1.TCF7L2	chr9	69068575	69068588	+	0.000	0.000	Merged-chr9-69068633-33
NR2280--MA0769.1.Tcf7	chr16	76283477	76283488	+	0.000	0.000	Merged-chr16-76283420-1
NR1016--MA1421.1.TCF7L1	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR5566--MA0523.1.TCF7L2	chr9	96936093	96936106	-	0.000	0.000	Merged-chr9-96936027-74
NR322--MA1421.1.TCF7L1	chr1	156574337	156574348	-	0.000	0.000	Merged-chr1-156574252-14
NR3049--MA0523.1.TCF7L2	chr2	83745484	83745497	-	0.000	0.000	Merged-chr2-83745257-69
NR5444--MA1421.1.TCF7L1	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR608--MA0523.1.TCF7L2	chr10	75282885	75282898	-	0.000	0.000	Merged-chr10-75282925-47
NR4684--MA0769.1.Tcf7	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR2751--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR4784--MA0523.1.TCF7L2	chr7	45120418	45120431	+	0.000	0.000	Merged-chr7-45120364-12
NR5431--MA1421.1.TCF7L1	chr9	69023585	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR1218--MA1421.1.TCF7L1	chr12	73876809	73876820	+	0.000	0.000	Merged-chr12-73876720-26
NR259--MA0523.1.TCF7L2	chr1	138952397	138952410	+	0.000	0.000	Merged-chr1-138952405-35
NR356--MA1421.1.TCF7L1	chr1	165986106	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR3280--MA0523.1.TCF7L2	chr2	167004635	167004648	+	0.000	0.000	Merged-chr2-167004660-28
NR2216--MA0523.1.TCF7L2	chr16	45261682	45261695	+	0.000	0.000	Merged-chr16-45261551-46
NR4193--MA1421.1.TCF7L1	chr5	100651722	100651733	-	0.000	0.000	Merged-chr5-100651654-38
NR5153--MA0523.1.TCF7L2	chr8	68112387	68112400	-	0.000	0.000	Merged-chr8-68112424-37
NR1205--MA1421.1.TCF7L1	chr12	69093359	69093370	+	0.000	0.000	Merged-chr12-69093362-15
NR4125--MA0769.1.Tcf7	chr5	75662511	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR5684--MA1421.1.TCF7L1	chrX	48141786	48141797	-	0.000	0.000	Merged-chrX-48141649-49
NR5309--MA0769.1.Tcf7	chr8	128474086	128474097	-	0.000	0.000	Merged-chr8-128474080-29
NR4384--MA0523.1.TCF7L2	chr6	39348107	39348120	+	0.000	0.000	Merged-chr6-39348126-65
NR5694--MA0769.1.Tcf7	chrX	52930410	52930421	-	0.000	0.000	Merged-chrX-52930355-32
NR2881--MA0769.1.Tcf7	chr2	5061514	5061525	+	0.000	0.000	Merged-chr2-5061621-34
NR2241--MA0523.1.TCF7L2	chr16	51878503	51878516	+	0.000	0.000	Merged-chr16-51878445-21
