#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR968--MA0731.1.BCL6B	chr17	86323625	86323641	-	0.000	0.000	Merged-chr17-86323453-65
NR374--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR1844--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR2146--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR173--MA0463.1.Bcl6	chr1	170853712	170853725	+	0.000	0.000	Merged-chr1-170853758-47
NR729--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR1894--MA0463.1.Bcl6	chr6	127103099	127103112	+	0.000	0.000	Merged-chr6-127103000-20
NR1442--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR2310--MA0731.1.BCL6B	chr9	118361240	118361256	+	0.000	0.000	Merged-chr9-118361138-26
NR407--MA0463.1.Bcl6	chr11	109758841	109758854	+	0.000	0.000	Merged-chr11-109758787-36
NR331--MA0463.1.Bcl6	chr11	4497614	4497627	-	0.000	0.000	Merged-chr11-4497649-38
NR1241--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR667--MA0463.1.Bcl6	chr14	54165193	54165206	+	0.000	0.000	Merged-chr14-54165125-24
NR591--MA0463.1.Bcl6	chr13	81685149	81685162	+	0.000	0.000	Merged-chr13-81685096-36
NR1088--MA0731.1.BCL6B	chr2	3753874	3753890	-	0.000	0.000	Merged-chr2-3753899-45
NR706--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR914--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR950--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR149--MA0463.1.Bcl6	chr1	160054533	160054546	+	0.000	0.000	Merged-chr1-160054348-51
NR2055--MA0463.1.Bcl6	chr7	116484374	116484387	-	0.000	0.000	Merged-chr7-116484434-42
NR2180--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR2116--MA0731.1.BCL6B	chr8	25264248	25264264	-	0.000	0.000	Merged-chr8-25264436-22
NR414--MA0463.1.Bcl6	chr11	116623505	116623518	+	0.000	0.000	Merged-chr11-116623453-11
NR2096--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1333--MA0463.1.Bcl6	chr3	79210354	79210367	+	0.000	0.000	Merged-chr3-79210417-27
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR2313--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR1813--MA0463.1.Bcl6	chr6	54925914	54925927	+	0.000	0.000	Merged-chr6-54926058-40
NR2227--MA0463.1.Bcl6	chr9	32915849	32915862	+	0.000	0.000	Merged-chr9-32915809-45
NR375--MA0463.1.Bcl6	chr11	72961951	72961964	+	0.000	0.000	Merged-chr11-72961970-1
NR2047--MA0731.1.BCL6B	chr7	112210214	112210230	+	0.000	0.000	Merged-chr7-112210103-38
NR308--MA0731.1.BCL6B	chr10	111478964	111478980	-	0.000	0.000	Merged-chr10-111478939-8
NR2005--MA0731.1.BCL6B	chr7	84164954	84164970	+	0.000	0.000	Merged-chr7-84165071-54
NR524--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR668--MA0463.1.Bcl6	chr14	55025778	55025791	+	0.000	0.000	Merged-chr14-55025661-27
NR574--MA0463.1.Bcl6	chr13	63223659	63223672	-	0.000	0.000	Merged-chr13-63223423-77
NR1014--MA0463.1.Bcl6	chr18	67290582	67290595	+	0.000	0.000	Merged-chr18-67290612-3
NR1225--MA0731.1.BCL6B	chr2	125735759	125735775	-	0.000	0.000	Merged-chr2-125735684-57
NR1377--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR1180--MA0463.1.Bcl6	chr2	79005096	79005109	+	0.000	0.000	Merged-chr2-79004997-23
NR154--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR492--MA0731.1.BCL6B	chr12	94115005	94115021	-	0.000	0.000	Merged-chr12-94114920-18
NR1828--MA0731.1.BCL6B	chr6	67127941	67127957	+	0.000	0.000	Merged-chr6-67128007-16
NR885--MA0731.1.BCL6B	chr16	76323590	76323606	-	0.000	0.000	Merged-chr16-76323771-64
NR401--MA0463.1.Bcl6	chr11	104630448	104630461	-	0.000	0.000	Merged-chr11-104630373-60
NR791--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR986--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR1692--MA0463.1.Bcl6	chr5	92624742	92624755	+	0.000	0.000	Merged-chr5-92624653-16
NR1903--MA0463.1.Bcl6	chr6	133986387	133986400	+	0.000	0.000	Merged-chr6-133986314-22
NR184--MA0731.1.BCL6B	chr1	178182416	178182432	+	0.000	0.000	Merged-chr1-178182458-49
NR1074--MA0731.1.BCL6B	chr19	40300154	40300170	+	0.000	0.000	Merged-chr19-40300210-18
NR251--MA0731.1.BCL6B	chr10	68054566	68054582	-	0.000	0.000	Merged-chr10-68054504-48
NR404--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR1211--MA0463.1.Bcl6	chr2	117374347	117374360	-	0.000	0.000	Merged-chr2-117374468-47
NR474--MA0731.1.BCL6B	chr12	82470805	82470821	+	0.000	0.000	Merged-chr12-82470743-2
NR1668--MA0463.1.Bcl6	chr5	65867465	65867478	+	0.000	0.000	Merged-chr5-65867573-52
NR799--MA0463.1.Bcl6	chr15	81859149	81859162	-	0.000	0.000	Merged-chr15-81858977-32
NR174--MA0731.1.BCL6B	chr1	171123105	171123121	-	0.000	0.000	Merged-chr1-171123131-24
NR1431--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR383--MA0463.1.Bcl6	chr11	79698485	79698498	+	0.000	0.000	Merged-chr11-79698290-25
NR1275--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR2191--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR1867--MA0463.1.Bcl6	chr6	108318376	108318389	-	0.000	0.000	Merged-chr6-108318445-25
NR1312--MA0463.1.Bcl6	chr3	52732081	52732094	-	0.000	0.000	Merged-chr3-52732187-17
NR1545--MA0463.1.Bcl6	chr4	106281644	106281657	-	0.000	0.000	Merged-chr4-106281606-32
NR2210--MA0463.1.Bcl6	chr9	5623462	5623475	-	0.000	0.000	Merged-chr9-5623590-21
NR1559--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1320--MA0731.1.BCL6B	chr3	63609872	63609888	-	0.000	0.000	Merged-chr3-63609909-22
NR2309--MA0463.1.Bcl6	chr9	117910900	117910913	-	0.000	0.000	Merged-chr9-117910970-21
NR1810--MA0463.1.Bcl6	chr6	51545480	51545493	-	0.000	0.000	Merged-chr6-51545421-58
NR1564--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR2260--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR928--MA0463.1.Bcl6	chr17	29304584	29304597	-	0.000	0.000	Merged-chr17-29304449-24
NR1059--MA0463.1.Bcl6	chr19	14668773	14668786	-	0.000	0.000	Merged-chr19-14668781-26
NR2046--MA0463.1.Bcl6	chr7	112210214	112210227	-	0.000	0.000	Merged-chr7-112210103-38
NR1155--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR2199--MA0463.1.Bcl6	chr8	123051768	123051781	-	0.000	0.000	Merged-chr8-123051694-23
NR213--MA0463.1.Bcl6	chr1	193421645	193421658	+	0.000	0.000	Merged-chr1-193421738-60
NR1477--MA0463.1.Bcl6	chr4	43972343	43972356	-	0.000	0.000	Merged-chr4-43972345-49
NR227--MA0463.1.Bcl6	chr10	26521073	26521086	-	0.000	0.000	Merged-chr10-26521176-55
NR151--MA0463.1.Bcl6	chr1	160307338	160307351	-	0.000	0.000	Merged-chr1-160307254-61
NR969--MA0731.1.BCL6B	chr17	86506945	86506961	-	0.000	0.000	Merged-chr17-86507070-1
NR2008--MA0463.1.Bcl6	chr7	88460108	88460121	-	0.000	0.000	Merged-chr7-88459917-15
NR2156--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR183--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR971--MA0463.1.Bcl6	chr17	86904207	86904220	+	0.000	0.000	Merged-chr17-86904097-54
NR1756--MA0463.1.Bcl6	chr5	138155798	138155811	-	0.000	0.000	Merged-chr5-138155756-50
NR985--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR1015--MA0731.1.BCL6B	chr18	67290579	67290595	-	0.000	0.000	Merged-chr18-67290612-3
NR2305--MA0463.1.Bcl6	chr9	114427528	114427541	+	0.000	0.000	Merged-chr9-114427606-33
NR1578--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR449--MA0463.1.Bcl6	chr12	52818807	52818820	-	0.000	0.000	Merged-chr12-52818712-31
NR152--MA0731.1.BCL6B	chr1	161309642	161309658	+	0.000	0.000	Merged-chr1-161309457-43
NR436--MA0731.1.BCL6B	chr12	30557461	30557477	-	0.000	0.000	Merged-chr12-30557589-12
NR1825--MA0463.1.Bcl6	chr6	65573452	65573465	+	0.000	0.000	Merged-chr6-65573561-44
NR177--MA0463.1.Bcl6	chr1	171939422	171939435	-	0.000	0.000	Merged-chr1-171939454-57
NR2234--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR746--MA0463.1.Bcl6	chr14	121478475	121478488	-	0.000	0.000	Merged-chr14-121478313-77
NR1307--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
NR782--MA0463.1.Bcl6	chr15	58655187	58655200	+	0.000	0.000	Merged-chr15-58655104-54
NR2317--MA0463.1.Bcl6	chr9	123936671	123936684	-	0.000	0.000	Merged-chr9-123936830-62
NR1693--MA0731.1.BCL6B	chr5	92624739	92624755	-	0.000	0.000	Merged-chr5-92624653-16
NR197--MA0731.1.BCL6B	chr1	184441418	184441434	+	0.000	0.000	Merged-chr1-184441398-48
NR2232--MA0463.1.Bcl6	chr9	43784807	43784820	+	0.000	0.000	Merged-chr9-43784994-20
NR2250--MA0463.1.Bcl6	chr9	63738565	63738578	+	0.000	0.000	Merged-chr9-63738316-120
