#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR21852--MA0493.1.Klf1	chr15	66855038	66855048	+	0.000	0.000	Merged-chr15-66854970-48
NR7121--MA0039.3.KLF4	chr10	88428302	88428312	-	0.000	0.000	Merged-chr10-88428108-41
NR37530--MA1107.1.KLF9	chr2	164828985	164828997	+	0.000	0.000	Merged-chr2-164829091-12
NR13527--MA0493.1.Klf1	chr12	41040128	41040138	-	0.000	0.000	Merged-chr12-41040097-12
NR26504--MA1107.1.KLF9	chr17	25584055	25584067	-	0.000	0.000	Merged-chr17-25583989-33
NR13786--MA1107.1.KLF9	chr12	69412105	69412117	+	0.000	0.000	Merged-chr12-69412167-34
NR29205--MA1107.1.KLF9	chr18	23733797	23733809	+	0.000	0.000	Merged-chr18-23733972-8
NR1120--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR63906--MA0039.3.KLF4	chr9	42423877	42423887	+	0.000	0.000	Merged-chr9-42423784-11
NR11500--MA0599.1.KLF5	chr11	95356929	95356938	+	0.000	0.000	Merged-chr11-95356897-59
NR51741--MA1107.1.KLF9	chr6	30509822	30509834	-	0.000	0.000	Merged-chr6-30509699-52
NR45012--MA0741.1.KLF16	chr4	130914277	130914287	+	0.000	0.000	Merged-chr4-130914232-60
NR45949--MA0741.1.KLF16	chr4	145177761	145177771	-	0.000	0.000	Merged-chr4-145177901-38
NR4523--MA0039.3.KLF4	chr1	191803603	191803613	-	0.000	0.000	Merged-chr1-191803516-12
NR40500--MA1107.1.KLF9	chr3	115706524	115706536	+	0.000	0.000	Merged-chr3-115706402-1
NR29899--MA1107.1.KLF9	chr18	60625569	60625581	-	0.000	0.000	Merged-chr18-60625535-13
NR49531--MA0599.1.KLF5	chr5	117126026	117126035	+	0.000	0.000	Merged-chr5-117125989-17
NR12325--MA0657.1.KLF13	chr11	109694158	109694175	+	0.000	0.000	Merged-chr11-109694201-12
NR64138--MA0599.1.KLF5	chr9	50537458	50537467	+	0.000	0.000	Merged-chr9-50537430-19
NR33069--MA0599.1.KLF5	chr2	10581282	10581291	+	0.000	0.000	Merged-chr2-10581253-23
NR26500--MA0741.1.KLF16	chr17	25583846	25583856	+	0.000	0.000	Merged-chr17-25583989-33
NR32871--MA0741.1.KLF16	chr19	60183111	60183121	+	0.000	0.000	Merged-chr19-60182957-49
NR21399--MA0039.3.KLF4	chr15	36364943	36364953	+	0.000	0.000	Merged-chr15-36365016-4
NR12457--MA0741.1.KLF16	chr11	113802542	113802552	-	0.000	0.000	Merged-chr11-113802652-27
NR15277--MA0493.1.Klf1	chr12	112699400	112699410	+	0.000	0.000	Merged-chr12-112699364-12
NR64482--MA0493.1.Klf1	chr9	62412491	62412501	+	0.000	0.000	Merged-chr9-62412387-14
NR64114--MA0039.3.KLF4	chr9	50325539	50325549	-	0.000	0.000	Merged-chr9-50325609-2
NR26752--MA0741.1.KLF16	chr17	29345513	29345523	+	0.000	0.000	Merged-chr17-29345464-1
NR18789--MA0599.1.KLF5	chr14	25421976	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR31896--MA0493.1.Klf1	chr19	33164692	33164702	-	0.000	0.000	Merged-chr19-33164881-15
NR26818--MA0741.1.KLF16	chr17	31077831	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR37194--MA0741.1.KLF16	chr2	157071724	157071734	-	0.000	0.000	Merged-chr2-157071692-20
NR19380--MA0741.1.KLF16	chr14	54146703	54146713	+	0.000	0.000	Merged-chr14-54146707-32
NR45274--MA0493.1.Klf1	chr4	134059064	134059074	+	0.000	0.000	Merged-chr4-134059039-2
NR64035--MA0599.1.KLF5	chr9	45329725	45329734	-	0.000	0.000	Merged-chr9-45329808-12
NR14881--MA0493.1.Klf1	chr12	104999354	104999364	+	0.000	0.000	Merged-chr12-104999417-2
NR54210--MA0493.1.Klf1	chr6	131276846	131276856	-	0.000	0.000	Merged-chr6-131276753-31
NR52442--MA0740.1.KLF14	chr6	61270465	61270478	+	0.000	0.000	Merged-chr6-61270558-8
NR47784--MA0039.3.KLF4	chr5	64864834	64864844	+	0.000	0.000	Merged-chr5-64864889-25
NR60449--MA1107.1.KLF9	chr8	34651916	34651928	-	0.000	0.000	Merged-chr8-34651925-47
NR51401--MA1107.1.KLF9	chr6	5295226	5295238	+	0.000	0.000	Merged-chr6-5295174-26
NR22284--MA0493.1.Klf1	chr15	78926264	78926274	+	0.000	0.000	Merged-chr15-78926202-1
NR48762--MA0039.3.KLF4	chr5	100572395	100572405	-	0.000	0.000	Merged-chr5-100572278-24
NR31435--MA0493.1.Klf1	chr19	9053267	9053277	-	0.000	0.000	Merged-chr19-9053271-35
NR24226--MA1107.1.KLF9	chr16	32434126	32434138	+	0.000	0.000	Merged-chr16-32434269-25
NR53455--MA0039.3.KLF4	chr6	108630899	108630909	+	0.000	0.000	Merged-chr6-108631007-44
NR22992--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR63942--MA0039.3.KLF4	chr9	44037382	44037392	-	0.000	0.000	Merged-chr9-44037294-17
NR20060--MA0741.1.KLF16	chr14	75179456	75179466	+	0.000	0.000	Merged-chr14-75179167-116
NR3056--MA0741.1.KLF16	chr1	159813015	159813025	-	0.000	0.000	Merged-chr1-159812982-41
NR18000--MA1107.1.KLF9	chr13	108170114	108170126	+	0.000	0.000	Merged-chr13-108170237-20
NR10124--MA0741.1.KLF16	chr11	60937982	60937992	-	0.000	0.000	Merged-chr11-60937827-26
NR40075--MA1107.1.KLF9	chr3	100812087	100812099	+	0.000	0.000	Merged-chr3-100812047-20
NR26751--MA0493.1.Klf1	chr17	29345512	29345522	+	0.000	0.000	Merged-chr17-29345464-1
NR35235--MA0493.1.Klf1	chr2	92243970	92243980	-	0.000	0.000	Merged-chr2-92243919-9
NR65218--MA1107.1.KLF9	chr9	85470414	85470426	-	0.000	0.000	Merged-chr9-85470523-14
NR9455--MA0599.1.KLF5	chr11	43362634	43362643	+	0.000	0.000	Merged-chr11-43362621-15
NR28026--MA1107.1.KLF9	chr17	64740321	64740333	-	0.000	0.000	Merged-chr17-64740384-4
NR33987--MA0599.1.KLF5	chr2	35729772	35729781	+	0.000	0.000	Merged-chr2-35729635-16
NR61230--MA1107.1.KLF9	chr8	72162998	72163010	+	0.000	0.000	Merged-chr8-72162977-17
NR25911--MA0741.1.KLF16	chr17	8562368	8562378	-	0.000	0.000	Merged-chr17-8562551-56
NR25321--MA0493.1.Klf1	chr16	91588189	91588199	+	0.000	0.000	Merged-chr16-91588038-25
NR54709--MA0741.1.KLF16	chr6	142835010	142835020	+	0.000	0.000	Merged-chr6-142835169-31
NR45633--MA0599.1.KLF5	chr4	138033652	138033661	-	0.000	0.000	Merged-chr4-138033707-13
NR52147--MA0493.1.Klf1	chr6	50553486	50553496	-	0.000	0.000	Merged-chr6-50553342-12
NR39501--MA0599.1.KLF5	chr3	87960828	87960837	+	0.000	0.000	Merged-chr3-87960988-36
NR45386--MA0741.1.KLF16	chr4	135068052	135068062	-	0.000	0.000	Merged-chr4-135068016-12
NR30013--MA0039.3.KLF4	chr18	62089808	62089818	-	0.000	0.000	Merged-chr18-62089904-13
NR3133--MA0740.1.KLF14	chr1	161791976	161791989	-	0.000	0.000	Merged-chr1-161792020-2
NR33499--MA0741.1.KLF16	chr2	27487420	27487430	-	0.000	0.000	Merged-chr2-27487515-13
NR54863--MA0740.1.KLF14	chr6	144664961	144664974	+	0.000	0.000	Merged-chr6-144664964-20
NR9599--MA0741.1.KLF16	chr11	49204050	49204060	+	0.000	0.000	Merged-chr11-49204089-8
NR66163--MA0741.1.KLF16	chr9	110896831	110896841	-	0.000	0.000	Merged-chr9-110896831-29
NR34862--MA0599.1.KLF5	chr2	75119361	75119370	-	0.000	0.000	Merged-chr2-75119235-19
NR59677--MA1107.1.KLF9	chr7	142354081	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR66434--MA0741.1.KLF16	chr9	116241446	116241456	+	0.000	0.000	Merged-chr9-116241562-13
NR64483--MA0741.1.KLF16	chr9	62412492	62412502	+	0.000	0.000	Merged-chr9-62412387-14
NR30560--MA0742.1.Klf12	chr18	75456872	75456886	+	0.000	0.000	Merged-chr18-75456941-6
NR10615--MA0039.3.KLF4	chr11	73132362	73132372	+	0.000	0.000	Merged-chr11-73132319-6
NR11951--MA0039.3.KLF4	chr11	102074301	102074311	+	0.000	0.000	Merged-chr11-102074455-23
NR30722--MA0599.1.KLF5	chr18	80600738	80600747	-	0.000	0.000	Merged-chr18-80600681-25
NR56534--MA0599.1.KLF5	chr7	45182352	45182361	-	0.000	0.000	Merged-chr7-45182369-38
NR45632--MA0742.1.Klf12	chr4	138033648	138033662	-	0.000	0.000	Merged-chr4-138033707-13
NR19342--MA0599.1.KLF5	chr14	53362256	53362265	-	0.000	0.000	Merged-chr14-53362328-16
NR56923--MA0740.1.KLF14	chr7	64043089	64043102	-	0.000	0.000	Merged-chr7-64043125-48
NR10408--MA0741.1.KLF16	chr11	69765846	69765856	-	0.000	0.000	Merged-chr11-69765727-4
NR28458--MA0741.1.KLF16	chr17	80441970	80441980	-	0.000	0.000	Merged-chr17-80441791-30
NR44874--MA0493.1.Klf1	chr4	129060106	129060116	-	0.000	0.000	Merged-chr4-129060075-18
NR18988--MA0742.1.Klf12	chr14	33099380	33099394	+	0.000	0.000	Merged-chr14-33099452-34
NR66684--MA1107.1.KLF9	chr9	120030170	120030182	-	0.000	0.000	Merged-chr9-120030028-3
NR40514--MA1107.1.KLF9	chr3	115706552	115706564	+	0.000	0.000	Merged-chr3-115706402-1
NR61601--MA0741.1.KLF16	chr8	84982952	84982962	-	0.000	0.000	Merged-chr8-84982804-9
NR3912--MA0741.1.KLF16	chr1	180568873	180568883	+	0.000	0.000	Merged-chr1-180569049-54
NR62572--MA0599.1.KLF5	chr8	117548551	117548560	-	0.000	0.000	Merged-chr8-117548585-70
NR3046--MA0657.1.KLF13	chr1	159813010	159813027	-	0.000	0.000	Merged-chr1-159812982-41
NR56520--MA0493.1.Klf1	chr7	45120443	45120453	-	0.000	0.000	Merged-chr7-45120364-12
NR42108--MA0493.1.Klf1	chr3	154628486	154628496	+	0.000	0.000	Merged-chr3-154628476-23
NR33331--MA0742.1.Klf12	chr2	25148073	25148087	+	0.000	0.000	Merged-chr2-25148103-14
NR36930--MA0599.1.KLF5	chr2	151581107	151581116	-	0.000	0.000	Merged-chr2-151581099-26
NR37670--MA0493.1.Klf1	chr2	166754508	166754518	+	0.000	0.000	Merged-chr2-166754668-37
NR16157--MA0741.1.KLF16	chr13	42049191	42049201	-	0.000	0.000	Merged-chr13-42049130-34
NR39867--MA0740.1.KLF14	chr3	95995717	95995730	+	0.000	0.000	Merged-chr3-95995619-1
NR37077--MA0741.1.KLF16	chr2	154615972	154615982	+	0.000	0.000	Merged-chr2-154615883-15
NR2716--MA1107.1.KLF9	chr1	151613463	151613475	+	0.000	0.000	Merged-chr1-151613371-29
NR3080--MA0740.1.KLF14	chr1	160307373	160307386	+	0.000	0.000	Merged-chr1-160307254-61
NR57704--MA0493.1.Klf1	chr7	97625722	97625732	-	0.000	0.000	Merged-chr7-97625910-13
NR64515--MA0741.1.KLF16	chr9	63740776	63740786	+	0.000	0.000	Merged-chr9-63740717-42
NR26221--MA0741.1.KLF16	chr17	19435235	19435245	+	0.000	0.000	Merged-chr17-19435269-18
NR65394--MA0599.1.KLF5	chr9	94453391	94453400	+	0.000	0.000	Merged-chr9-94453263-19
NR28704--MA0742.1.Klf12	chr17	85908829	85908843	+	0.000	0.000	Merged-chr17-85908968-35
NR65116--MA0493.1.Klf1	chr9	79947684	79947694	-	0.000	0.000	Merged-chr9-79947658-22
NR39417--MA0742.1.Klf12	chr3	84630933	84630947	-	0.000	0.000	Merged-chr3-84630888-13
NR47906--MA1107.1.KLF9	chr5	67155754	67155766	+	0.000	0.000	Merged-chr5-67155759-12
NR26676--MA0599.1.KLF5	chr17	28488304	28488313	+	0.000	0.000	Merged-chr17-28488439-21
NR16537--MA0741.1.KLF16	chr13	54073629	54073639	+	0.000	0.000	Merged-chr13-54073650-18
NR29850--MA0741.1.KLF16	chr18	56871834	56871844	-	0.000	0.000	Merged-chr18-56871976-16
NR57717--MA1107.1.KLF9	chr7	98108941	98108953	+	0.000	0.000	Merged-chr7-98109106-60
NR42116--MA0039.3.KLF4	chr3	154628508	154628518	+	0.000	0.000	Merged-chr3-154628476-23
NR29143--MA1107.1.KLF9	chr18	14668915	14668927	+	0.000	0.000	Merged-chr18-14669072-17
NR9894--MA0740.1.KLF14	chr11	55131242	55131255	+	0.000	0.000	Merged-chr11-55131266-10
NR21759--MA0493.1.Klf1	chr15	60120108	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR14693--MA1107.1.KLF9	chr12	102351065	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR47782--MA0742.1.Klf12	chr5	64864832	64864846	+	0.000	0.000	Merged-chr5-64864889-25
NR31355--MA0493.1.Klf1	chr19	7241237	7241247	+	0.000	0.000	Merged-chr19-7241194-51
NR54162--MA0599.1.KLF5	chr6	128826858	128826867	-	0.000	0.000	Merged-chr6-128826735-1
NR8724--MA0741.1.KLF16	chr10	128750443	128750453	-	0.000	0.000	Merged-chr10-128750381-16
NR6773--MA0741.1.KLF16	chr10	81401813	81401823	-	0.000	0.000	Merged-chr10-81401925-26
NR17157--MA1107.1.KLF9	chr13	81402027	81402039	+	0.000	0.000	Merged-chr13-81401902-10
NR62848--MA0741.1.KLF16	chr8	122678196	122678206	+	0.000	0.000	Merged-chr8-122678075-1
NR20006--MA1107.1.KLF9	chr14	73596754	73596766	+	0.000	0.000	Merged-chr14-73596722-14
NR49223--MA0599.1.KLF5	chr5	112301910	112301919	+	0.000	0.000	Merged-chr5-112301937-36
NR2771--MA0599.1.KLF5	chr1	153320185	153320194	-	0.000	0.000	Merged-chr1-153320307-48
NR37786--MA0740.1.KLF14	chr2	167975657	167975670	+	0.000	0.000	Merged-chr2-167975780-28
NR22398--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR51779--MA0599.1.KLF5	chr6	33052044	33052053	+	0.000	0.000	Merged-chr6-33051908-11
NR48231--MA0493.1.Klf1	chr5	77167274	77167284	-	0.000	0.000	Merged-chr5-77167373-14
NR51721--MA0741.1.KLF16	chr6	29916963	29916973	-	0.000	0.000	Merged-chr6-29917052-59
NR48499--MA0740.1.KLF14	chr5	92967505	92967518	+	0.000	0.000	Merged-chr5-92967427-8
NR7718--MA1107.1.KLF9	chr10	111031830	111031842	+	0.000	0.000	Merged-chr10-111031729-43
NR6154--MA0741.1.KLF16	chr10	74823551	74823561	-	0.000	0.000	Merged-chr10-74823662-27
NR21758--MA0039.3.KLF4	chr15	60120106	60120116	-	0.000	0.000	Merged-chr15-60120172-38
NR46705--MA0493.1.Klf1	chr5	5573937	5573947	-	0.000	0.000	Merged-chr5-5574084-22
NR57750--MA0742.1.Klf12	chr7	98797411	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR41179--MA1107.1.KLF9	chr3	133583902	133583914	-	0.000	0.000	Merged-chr3-133583850-2
NR6431--MA1107.1.KLF9	chr10	79692122	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR38997--MA1107.1.KLF9	chr3	52850414	52850426	+	0.000	0.000	Merged-chr3-52850315-12
NR64742--MA1107.1.KLF9	chr9	69174176	69174188	-	0.000	0.000	Merged-chr9-69174203-32
NR37665--MA0039.3.KLF4	chr2	166753903	166753913	+	0.000	0.000	Merged-chr2-166753857-1
NR55900--MA1107.1.KLF9	chr7	27260021	27260033	-	0.000	0.000	Merged-chr7-27259929-6
NR2717--MA0741.1.KLF16	chr1	151644342	151644352	-	0.000	0.000	Merged-chr1-151644358-13
NR54161--MA1107.1.KLF9	chr6	128796574	128796586	-	0.000	0.000	Merged-chr6-128796510-47
NR20382--MA1107.1.KLF9	chr14	99266182	99266194	-	0.000	0.000	Merged-chr14-99266048-28
NR31808--MA0599.1.KLF5	chr19	29347353	29347362	+	0.000	0.000	Merged-chr19-29347328-12
NR8214--MA0741.1.KLF16	chr10	121382683	121382693	-	0.000	0.000	Merged-chr10-121382753-17
NR65711--MA1107.1.KLF9	chr9	103449315	103449327	-	0.000	0.000	Merged-chr9-103449335-34
NR18241--MA0740.1.KLF14	chr13	112551820	112551833	+	0.000	0.000	Merged-chr13-112551755-26
NR33310--MA0039.3.KLF4	chr2	24745536	24745546	+	0.000	0.000	Merged-chr2-24745465-17
NR37209--MA1107.1.KLF9	chr2	157147998	157148010	-	0.000	0.000	Merged-chr2-157147783-53
NR7755--MA0599.1.KLF5	chr10	111635684	111635693	-	0.000	0.000	Merged-chr10-111635766-22
NR13269--MA0599.1.KLF5	chr12	21480430	21480439	+	0.000	0.000	Merged-chr12-21480312-60
NR21924--MA0741.1.KLF16	chr15	73169063	73169073	-	0.000	0.000	Merged-chr15-73169118-30
NR42288--MA0599.1.KLF5	chr4	4790263	4790272	-	0.000	0.000	Merged-chr4-4790293-30
NR53847--MA0599.1.KLF5	chr6	120486221	120486230	+	0.000	0.000	Merged-chr6-120486424-77
NR3161--MA0039.3.KLF4	chr1	162586469	162586479	+	0.000	0.000	Merged-chr1-162586427-19
NR53971--MA1107.1.KLF9	chr6	125067857	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR11607--MA0039.3.KLF4	chr11	97133424	97133434	-	0.000	0.000	Merged-chr11-97133494-13
NR14327--MA0493.1.Klf1	chr12	85632521	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR9678--MA0039.3.KLF4	chr11	51638312	51638322	-	0.000	0.000	Merged-chr11-51638186-26
NR8057--MA0599.1.KLF5	chr10	118470799	118470808	-	0.000	0.000	Merged-chr10-118470709-40
NR3134--MA0657.1.KLF13	chr1	161791973	161791990	-	0.000	0.000	Merged-chr1-161792020-2
NR38079--MA0039.3.KLF4	chr2	173263825	173263835	+	0.000	0.000	Merged-chr2-173263932-54
NR34763--MA1107.1.KLF9	chr2	72997220	72997232	-	0.000	0.000	Merged-chr2-72997142-44
NR29148--MA1107.1.KLF9	chr18	14668925	14668937	+	0.000	0.000	Merged-chr18-14669072-17
NR44911--MA0599.1.KLF5	chr4	129556553	129556562	+	0.000	0.000	Merged-chr4-129556698-9
NR26223--MA1107.1.KLF9	chr17	19435234	19435246	+	0.000	0.000	Merged-chr17-19435269-18
NR24510--MA0599.1.KLF5	chr16	45998442	45998451	+	0.000	0.000	Merged-chr16-45998415-40
NR56793--MA1107.1.KLF9	chr7	55890160	55890172	+	0.000	0.000	Merged-chr7-55890160-26
NR9575--MA0039.3.KLF4	chr11	48926915	48926925	+	0.000	0.000	Merged-chr11-48927051-20
NR17610--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR35809--MA0493.1.Klf1	chr2	118554469	118554479	+	0.000	0.000	Merged-chr2-118554697-72
NR64748--MA0599.1.KLF5	chr9	69458367	69458376	+	0.000	0.000	Merged-chr9-69458326-40
NR64281--MA0740.1.KLF14	chr9	57537802	57537815	+	0.000	0.000	Merged-chr9-57537597-44
NR21921--MA0599.1.KLF5	chr15	73169064	73169073	-	0.000	0.000	Merged-chr15-73169118-30
NR25396--MA0742.1.Klf12	chr16	93552856	93552870	+	0.000	0.000	Merged-chr16-93552984-42
NR56924--MA0657.1.KLF13	chr7	64043086	64043103	-	0.000	0.000	Merged-chr7-64043125-48
NR24631--MA0599.1.KLF5	chr16	55735672	55735681	-	0.000	0.000	Merged-chr16-55735684-24
NR49231--MA1107.1.KLF9	chr5	112311048	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR36174--MA0599.1.KLF5	chr2	128318409	128318418	+	0.000	0.000	Merged-chr2-128318457-15
NR19454--MA0493.1.Klf1	chr14	55025537	55025547	-	0.000	0.000	Merged-chr14-55025661-27
NR27886--MA1107.1.KLF9	chr17	56905167	56905179	+	0.000	0.000	Merged-chr17-56905051-10
NR6781--MA0493.1.Klf1	chr10	81401934	81401944	-	0.000	0.000	Merged-chr10-81401925-26
NR14130--MA0493.1.Klf1	chr12	80069220	80069230	+	0.000	0.000	Merged-chr12-80069261-23
