#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR3108--MA1104.1.GATA6	chr17	27323301	27323313	-	0.000	0.000	Merged-chr17-27323176-36
NR2213--MA0766.1.GATA5	chr14	52437183	52437190	-	0.000	0.000	Merged-chr14-52437010-8
NR2854--MA1104.1.GATA6	chr16	45025477	45025489	+	0.000	0.000	Merged-chr16-45025536-40
NR302--MA0035.3.Gata1	chr1	151572722	151572732	-	0.000	0.000	Merged-chr1-151572860-7
NR1106--MA0482.1.Gata4	chr11	77766711	77766721	-	0.000	0.000	Merged-chr11-77766597-12
NR3543--MA0140.2.GATA1::TAL1	chr19	25360755	25360772	-	0.000	0.000	Merged-chr19-25360847-26
NR6501--MA0035.3.Gata1	chr8	94240435	94240445	+	0.000	0.000	Merged-chr8-94240399-13
NR6410--MA0766.1.GATA5	chr8	40595271	40595278	+	0.000	0.000	Merged-chr8-40595277-53
NR3055--MA1104.1.GATA6	chr17	12513726	12513738	-	0.000	0.000	Merged-chr17-12513699-7
NR2201--MA0140.2.GATA1::TAL1	chr14	48422200	48422217	-	0.000	0.000	Merged-chr14-48422314-53
NR3578--MA1104.1.GATA6	chr19	33053335	33053347	-	0.000	0.000	Merged-chr19-33053321-32
NR6657--MA0035.3.Gata1	chr8	128530707	128530717	-	0.000	0.000	Merged-chr8-128530780-6
NR59--MA1104.1.GATA6	chr1	40399748	40399760	+	0.000	0.000	Merged-chr1-40399864-38
NR2086--MA0037.3.GATA3	chr13	113031447	113031454	+	0.000	0.000	Merged-chr13-113031425-1
NR7047--MA1104.1.GATA6	chr9	120961807	120961819	+	0.000	0.000	Merged-chr9-120961674-26
NR2802--MA0140.2.GATA1::TAL1	chr16	24826508	24826525	+	0.000	0.000	Merged-chr16-24826564-20
NR4605--MA0482.1.Gata4	chr3	146275831	146275841	+	0.000	0.000	Merged-chr3-146275724-31
NR1960--MA0037.3.GATA3	chr13	95449901	95449908	+	0.000	0.000	Merged-chr13-95449730-51
NR2173--MA0766.1.GATA5	chr14	27562729	27562736	+	0.000	0.000	Merged-chr14-27562668-44
NR7182--MA0482.1.Gata4	chrX	160496687	160496697	+	0.000	0.000	Merged-chrX-160496581-5
NR2942--MA1104.1.GATA6	chr16	89849286	89849298	+	0.000	0.000	Merged-chr16-89849155-62
NR304--MA0482.1.Gata4	chr1	151973291	151973301	-	0.000	0.000	Merged-chr1-151973357-25
NR4071--MA0766.1.GATA5	chr2	129385622	129385629	-	0.000	0.000	Merged-chr2-129385556-29
NR3557--MA1104.1.GATA6	chr19	31321986	31321998	+	0.000	0.000	Merged-chr19-31321995-11
NR2391--MA0766.1.GATA5	chr14	101892383	101892390	-	0.000	0.000	Merged-chr14-101892350-14
NR5287--MA0140.2.GATA1::TAL1	chr5	96201972	96201989	+	0.000	0.000	Merged-chr5-96201907-44
NR4685--MA0035.3.Gata1	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR5713--MA0037.3.GATA3	chr6	72993529	72993536	+	0.000	0.000	Merged-chr6-72993527-59
NR3740--MA0766.1.GATA5	chr2	29689675	29689682	+	0.000	0.000	Merged-chr2-29689675-19
NR4608--MA0035.3.Gata1	chr3	146275830	146275840	+	0.000	0.000	Merged-chr3-146275724-31
NR2657--MA0035.3.Gata1	chr15	82914620	82914630	-	0.000	0.000	Merged-chr15-82914694-36
NR2295--MA0766.1.GATA5	chr14	62928198	62928205	+	0.000	0.000	Merged-chr14-62928345-50
NR2556--MA0036.3.GATA2	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR2633--MA0482.1.Gata4	chr15	81308334	81308344	+	0.000	0.000	Merged-chr15-81308219-24
NR5598--MA1104.1.GATA6	chr6	34364726	34364738	+	0.000	0.000	Merged-chr6-34364838-25
NR1316--MA0482.1.Gata4	chr11	115746912	115746922	+	0.000	0.000	Merged-chr11-115746671-90
NR4698--MA0035.3.Gata1	chr4	32388104	32388114	+	0.000	0.000	Merged-chr4-32387941-10
NR6990--MA1104.1.GATA6	chr9	108163942	108163954	+	0.000	0.000	Merged-chr9-108163865-26
NR6667--MA0766.1.GATA5	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR6913--MA1104.1.GATA6	chr9	92274723	92274735	+	0.000	0.000	Merged-chr9-92274591-56
NR163--MA0766.1.GATA5	chr1	90677875	90677882	-	0.000	0.000	Merged-chr1-90677857-31
NR3536--MA0037.3.GATA3	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR1438--MA0482.1.Gata4	chr12	52830187	52830197	+	0.000	0.000	Merged-chr12-52830229-3
NR5530--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR4324--MA0036.3.GATA2	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR4263--MA0035.3.Gata1	chr3	37157381	37157391	+	0.000	0.000	Merged-chr3-37157248-37
NR3732--MA0766.1.GATA5	chr2	26753538	26753545	+	0.000	0.000	Merged-chr2-26753671-30
NR5686--MA0037.3.GATA3	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR6888--MA0036.3.GATA2	chr9	86579814	86579824	+	0.000	0.000	Merged-chr9-86579809-9
NR2615--MA0035.3.Gata1	chr15	78576486	78576496	+	0.000	0.000	Merged-chr15-78576586-27
NR6429--MA0037.3.GATA3	chr8	69328896	69328903	-	0.000	0.000	Merged-chr8-69328899-30
NR4175--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR7166--MA0482.1.Gata4	chrX	113084408	113084418	-	0.000	0.000	Merged-chrX-113084391-25
NR640--MA0037.3.GATA3	chr10	59431035	59431042	+	0.000	0.000	Merged-chr10-59431050-41
NR1060--MA0140.2.GATA1::TAL1	chr11	63148511	63148528	+	0.000	0.000	Merged-chr11-63148506-21
NR1893--MA0036.3.GATA2	chr13	75053972	75053982	-	0.000	0.000	Merged-chr13-75053881-13
NR6506--MA0036.3.GATA2	chr8	94633741	94633751	+	0.000	0.000	Merged-chr8-94633712-19
NR4606--MA1104.1.GATA6	chr3	146275829	146275841	-	0.000	0.000	Merged-chr3-146275724-31
NR222--MA0482.1.Gata4	chr1	127320133	127320143	+	0.000	0.000	Merged-chr1-127320105-13
NR7183--MA1104.1.GATA6	chrX	160496685	160496697	-	0.000	0.000	Merged-chrX-160496581-5
NR4536--MA0482.1.Gata4	chr3	138334459	138334469	-	0.000	0.000	Merged-chr3-138334424-50
NR525--MA0036.3.GATA2	chr10	12961777	12961787	+	0.000	0.000	Merged-chr10-12961810-12
NR305--MA1104.1.GATA6	chr1	151973291	151973303	+	0.000	0.000	Merged-chr1-151973357-25
NR2118--MA0035.3.Gata1	chr14	7858141	7858151	-	0.000	0.000	Merged-chr14-7858119-23
NR5631--MA0037.3.GATA3	chr6	50160021	50160028	-	0.000	0.000	Merged-chr6-50160084-30
NR6411--MA0035.3.Gata1	chr8	40595269	40595279	-	0.000	0.000	Merged-chr8-40595277-53
NR7169--MA0035.3.Gata1	chrX	113084409	113084419	-	0.000	0.000	Merged-chrX-113084391-25
NR6096--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR2634--MA1104.1.GATA6	chr15	81308332	81308344	-	0.000	0.000	Merged-chr15-81308219-24
NR4120--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR4658--MA0482.1.Gata4	chr3	157938621	157938631	+	0.000	0.000	Merged-chr3-157938783-43
NR1317--MA1104.1.GATA6	chr11	115746910	115746922	-	0.000	0.000	Merged-chr11-115746671-90
NR2174--MA0035.3.Gata1	chr14	27562727	27562737	-	0.000	0.000	Merged-chr14-27562668-44
NR4261--MA1104.1.GATA6	chr3	37157380	37157392	-	0.000	0.000	Merged-chr3-37157248-37
NR3040--MA0037.3.GATA3	chr17	7904966	7904973	-	0.000	0.000	Merged-chr17-7905100-9
NR2852--MA0037.3.GATA3	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR1008--MA0482.1.Gata4	chr11	46348503	46348513	-	0.000	0.000	Merged-chr11-46348633-7
NR2705--MA0482.1.Gata4	chr15	97213194	97213204	-	0.000	0.000	Merged-chr15-97213099-28
NR3741--MA0035.3.Gata1	chr2	29689673	29689683	-	0.000	0.000	Merged-chr2-29689675-19
NR1439--MA1104.1.GATA6	chr12	52830185	52830197	-	0.000	0.000	Merged-chr12-52830229-3
NR231--MA0037.3.GATA3	chr1	131170137	131170144	-	0.000	0.000	Merged-chr1-131170011-6
NR2296--MA0035.3.Gata1	chr14	62928196	62928206	-	0.000	0.000	Merged-chr14-62928345-50
NR161--MA0482.1.Gata4	chr1	90677875	90677885	+	0.000	0.000	Merged-chr1-90677857-31
NR4417--MA0036.3.GATA2	chr3	121689180	121689190	+	0.000	0.000	Merged-chr3-121689232-23
NR6554--MA0036.3.GATA2	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR3576--MA0037.3.GATA3	chr19	33053337	33053344	-	0.000	0.000	Merged-chr19-33053321-32
NR4255--MA0036.3.GATA2	chr3	21939970	21939980	-	0.000	0.000	Merged-chr3-21939939-4
NR116--MA0036.3.GATA2	chr1	74726884	74726894	+	0.000	0.000	Merged-chr1-74726770-27
NR6668--MA0035.3.Gata1	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR2285--MA0482.1.Gata4	chr14	60072723	60072733	+	0.000	0.000	Merged-chr14-60072713-24
NR2708--MA0035.3.Gata1	chr15	97213195	97213205	-	0.000	0.000	Merged-chr15-97213099-28
NR1221--MA0766.1.GATA5	chr11	103260981	103260988	-	0.000	0.000	Merged-chr11-103260942-5
NR1038--MA0037.3.GATA3	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR2940--MA0037.3.GATA3	chr16	89849289	89849296	+	0.000	0.000	Merged-chr16-89849155-62
NR7167--MA1104.1.GATA6	chrX	113084408	113084420	+	0.000	0.000	Merged-chrX-113084391-25
NR2774--MA0482.1.Gata4	chr16	18075421	18075431	-	0.000	0.000	Merged-chr16-18075425-17
NR3533--MA0766.1.GATA5	chr19	14466304	14466311	-	0.000	0.000	Merged-chr19-14466199-30
NR2088--MA0766.1.GATA5	chr13	113031447	113031454	+	0.000	0.000	Merged-chr13-113031425-1
NR1505--MA0766.1.GATA5	chr12	89853230	89853237	-	0.000	0.000	Merged-chr12-89853221-2
NR3733--MA0035.3.Gata1	chr2	26753536	26753546	-	0.000	0.000	Merged-chr2-26753671-30
NR4087--MA0482.1.Gata4	chr2	132843517	132843527	+	0.000	0.000	Merged-chr2-132843527-2
NR4537--MA1104.1.GATA6	chr3	138334459	138334471	+	0.000	0.000	Merged-chr3-138334424-50
NR357--MA0766.1.GATA5	chr1	162734417	162734424	-	0.000	0.000	Merged-chr1-162734445-9
NR1962--MA0766.1.GATA5	chr13	95449901	95449908	+	0.000	0.000	Merged-chr13-95449730-51
NR2939--MA0035.3.Gata1	chr16	89835833	89835843	-	0.000	0.000	Merged-chr16-89835915-50
NR4053--MA0482.1.Gata4	chr2	122138271	122138281	+	0.000	0.000	Merged-chr2-122138123-26
NR4232--MA1104.1.GATA6	chr2	178470046	178470058	-	0.000	0.000	Merged-chr2-178470118-1
NR3374--MA0036.3.GATA2	chr18	57249952	57249962	-	0.000	0.000	Merged-chr18-57249763-26
NR6911--MA0037.3.GATA3	chr9	92274726	92274733	+	0.000	0.000	Merged-chr9-92274591-56
NR868--MA1104.1.GATA6	chr10	121505612	121505624	-	0.000	0.000	Merged-chr10-121505787-2
NR4659--MA1104.1.GATA6	chr3	157938619	157938631	-	0.000	0.000	Merged-chr3-157938783-43
NR3170--MA0035.3.Gata1	chr17	48450373	48450383	+	0.000	0.000	Merged-chr17-48450233-8
NR7193--MA0140.2.GATA1::TAL1	chrX	164070746	164070763	+	0.000	0.000	Merged-chrX-164070772-1
NR1325--MA0140.2.GATA1::TAL1	chr11	118731883	118731900	+	0.000	0.000	Merged-chr11-118731916-25
NR1041--MA0036.3.GATA2	chr11	54063312	54063322	-	0.000	0.000	Merged-chr11-54063198-57
NR288--MA0482.1.Gata4	chr1	151002319	151002329	+	0.000	0.000	Merged-chr1-151002204-60
NR6097--MA0035.3.Gata1	chr7	37490482	37490492	-	0.000	0.000	Merged-chr7-37490614-68
NR2706--MA1104.1.GATA6	chr15	97213194	97213206	+	0.000	0.000	Merged-chr15-97213099-28
NR1801--MA0036.3.GATA2	chr13	38050035	38050045	+	0.000	0.000	Merged-chr13-38050052-14
NR7125--MA0037.3.GATA3	chrX	93617499	93617506	+	0.000	0.000	Merged-chrX-93617420-5
NR5971--MA0035.3.Gata1	chr6	142809492	142809502	-	0.000	0.000	Merged-chr6-142809719-29
NR4077--MA0036.3.GATA2	chr2	132292254	132292264	-	0.000	0.000	Merged-chr2-132292299-25
NR4358--MA0766.1.GATA5	chr3	98362922	98362929	-	0.000	0.000	Merged-chr3-98362961-5
NR4629--MA0766.1.GATA5	chr3	149485338	149485345	+	0.000	0.000	Merged-chr3-149485335-12
NR2286--MA1104.1.GATA6	chr14	60072721	60072733	-	0.000	0.000	Merged-chr14-60072713-24
NR7181--MA0037.3.GATA3	chrX	160496687	160496694	-	0.000	0.000	Merged-chrX-160496581-5
NR3890--MA0035.3.Gata1	chr2	78961705	78961715	-	0.000	0.000	Merged-chr2-78961805-37
NR6195--MA0482.1.Gata4	chr7	97042370	97042380	+	0.000	0.000	Merged-chr7-97042218-26
NR6989--MA0482.1.Gata4	chr9	108163942	108163952	-	0.000	0.000	Merged-chr9-108163865-26
NR3542--MA0035.3.Gata1	chr19	25360764	25360774	-	0.000	0.000	Merged-chr19-25360847-26
NR303--MA0037.3.GATA3	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR1243--MA0035.3.Gata1	chr11	106430742	106430752	+	0.000	0.000	Merged-chr11-106430638-37
NR7120--MA0035.3.Gata1	chrX	75032272	75032282	+	0.000	0.000	Merged-chrX-75032186-8
NR6588--MA0482.1.Gata4	chr8	121650681	121650691	-	0.000	0.000	Merged-chr8-121650674-17
NR6198--MA0035.3.Gata1	chr7	97042369	97042379	+	0.000	0.000	Merged-chr7-97042218-26
NR2357--MA0482.1.Gata4	chr14	79481997	79482007	+	0.000	0.000	Merged-chr14-79481875-1
NR2628--MA0482.1.Gata4	chr15	79729230	79729240	+	0.000	0.000	Merged-chr15-79729133-34
NR3977--MA0036.3.GATA2	chr2	103652311	103652321	+	0.000	0.000	Merged-chr2-103652335-51
NR5344--MA0035.3.Gata1	chr5	109924245	109924255	-	0.000	0.000	Merged-chr5-109924389-8
NR6174--MA0482.1.Gata4	chr7	84196443	84196453	-	0.000	0.000	Merged-chr7-84196453-50
NR1503--MA0482.1.Gata4	chr12	89853230	89853240	+	0.000	0.000	Merged-chr12-89853221-2
NR3573--MA0766.1.GATA5	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR1959--MA0766.1.GATA5	chr13	94966148	94966155	-	0.000	0.000	Merged-chr13-94966148-17
NR4054--MA1104.1.GATA6	chr2	122138269	122138281	-	0.000	0.000	Merged-chr2-122138123-26
NR3430--MA0766.1.GATA5	chr18	79353031	79353038	+	0.000	0.000	Merged-chr18-79353064-26
NR2076--MA0035.3.Gata1	chr13	111655441	111655451	+	0.000	0.000	Merged-chr13-111655433-3
NR5480--MA1104.1.GATA6	chr5	142407428	142407440	+	0.000	0.000	Merged-chr5-142407567-12
NR1222--MA0035.3.Gata1	chr11	103260980	103260990	+	0.000	0.000	Merged-chr11-103260942-5
NR5633--MA0766.1.GATA5	chr6	50160021	50160028	-	0.000	0.000	Merged-chr6-50160084-30
NR5681--MA0482.1.Gata4	chr6	58881139	58881149	-	0.000	0.000	Merged-chr6-58880983-47
NR3401--MA0482.1.Gata4	chr18	66502125	66502135	-	0.000	0.000	Merged-chr18-66502099-22
NR3534--MA0035.3.Gata1	chr19	14466303	14466313	+	0.000	0.000	Merged-chr19-14466199-30
NR1437--MA0037.3.GATA3	chr12	52830187	52830194	-	0.000	0.000	Merged-chr12-52830229-3
NR1211--MA0482.1.Gata4	chr11	101661873	101661883	-	0.000	0.000	Merged-chr11-101661964-4
NR606--MA0140.2.GATA1::TAL1	chr10	44601668	44601685	-	0.000	0.000	Merged-chr10-44601754-5
NR2568--MA0140.2.GATA1::TAL1	chr15	62390449	62390466	-	0.000	0.000	Merged-chr15-62390498-8
NR1375--MA0766.1.GATA5	chr12	15967871	15967878	+	0.000	0.000	Merged-chr12-15967723-42
NR5182--MA0036.3.GATA2	chr5	51853760	51853770	+	0.000	0.000	Merged-chr5-51853758-22
NR6196--MA1104.1.GATA6	chr7	97042368	97042380	-	0.000	0.000	Merged-chr7-97042218-26
NR5342--MA1104.1.GATA6	chr5	109924244	109924256	+	0.000	0.000	Merged-chr5-109924389-8
NR4535--MA0037.3.GATA3	chr3	138334462	138334469	+	0.000	0.000	Merged-chr3-138334424-50
NR2170--MA0037.3.GATA3	chr14	27562729	27562736	+	0.000	0.000	Merged-chr14-27562668-44
NR1455--MA0482.1.Gata4	chr12	70078944	70078954	-	0.000	0.000	Merged-chr12-70078875-55
NR1768--MA0766.1.GATA5	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR6589--MA1104.1.GATA6	chr8	121650681	121650693	+	0.000	0.000	Merged-chr8-121650674-17
NR4660--MA0035.3.Gata1	chr3	157938620	157938630	+	0.000	0.000	Merged-chr3-157938783-43
NR5761--MA0482.1.Gata4	chr6	98609386	98609396	+	0.000	0.000	Merged-chr6-98609321-36
NR2358--MA1104.1.GATA6	chr14	79481995	79482007	-	0.000	0.000	Merged-chr14-79481875-1
NR6175--MA1104.1.GATA6	chr7	84196443	84196455	+	0.000	0.000	Merged-chr7-84196453-50
NR1504--MA1104.1.GATA6	chr12	89853228	89853240	-	0.000	0.000	Merged-chr12-89853221-2
NR3385--MA0036.3.GATA2	chr18	61479925	61479935	+	0.000	0.000	Merged-chr18-61480035-15
NR1961--MA1104.1.GATA6	chr13	95449898	95449910	+	0.000	0.000	Merged-chr13-95449730-51
NR1458--MA0035.3.Gata1	chr12	70078945	70078955	-	0.000	0.000	Merged-chr12-70078875-55
NR5203--MA0766.1.GATA5	chr5	64371383	64371390	-	0.000	0.000	Merged-chr5-64371502-26
NR2528--MA0140.2.GATA1::TAL1	chr15	38709534	38709551	-	0.000	0.000	Merged-chr15-38709565-1
NR4029--MA0766.1.GATA5	chr2	117399745	117399752	+	0.000	0.000	Merged-chr2-117399695-40
NR5716--MA0036.3.GATA2	chr6	72993527	72993537	-	0.000	0.000	Merged-chr6-72993527-59
NR791--MA0766.1.GATA5	chr10	108406938	108406945	+	0.000	0.000	Merged-chr10-108407108-16
NR5682--MA1104.1.GATA6	chr6	58881139	58881151	+	0.000	0.000	Merged-chr6-58880983-47
NR3402--MA1104.1.GATA6	chr18	66502125	66502137	+	0.000	0.000	Merged-chr18-66502099-22
NR7054--MA0140.2.GATA1::TAL1	chr9	121925036	121925053	+	0.000	0.000	Merged-chr9-121925182-15
NR3013--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR6664--MA0037.3.GATA3	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR2158--MA0482.1.Gata4	chr14	20938523	20938533	-	0.000	0.000	Merged-chr14-20938430-1
NR5264--MA0482.1.Gata4	chr5	90742164	90742174	+	0.000	0.000	Merged-chr5-90742238-22
NR1212--MA1104.1.GATA6	chr11	101661873	101661885	+	0.000	0.000	Merged-chr11-101661964-4
NR7005--MA0766.1.GATA5	chr9	115526274	115526281	+	0.000	0.000	Merged-chr9-115526484-32
NR3574--MA0035.3.Gata1	chr19	32998970	32998980	-	0.000	0.000	Merged-chr19-32999080-29
NR5705--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR7186--MA0035.3.Gata1	chrX	160496686	160496696	+	0.000	0.000	Merged-chrX-160496581-5
NR3539--MA0036.3.GATA2	chr19	16418578	16418588	+	0.000	0.000	Merged-chr19-16418552-32
NR3431--MA0035.3.Gata1	chr18	79353029	79353039	-	0.000	0.000	Merged-chr18-79353064-26
NR5533--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR5251--MA0140.2.GATA1::TAL1	chr5	88952942	88952959	-	0.000	0.000	Merged-chr5-88953106-21
NR2284--MA0037.3.GATA3	chr14	60072723	60072730	-	0.000	0.000	Merged-chr14-60072713-24
NR5267--MA0035.3.Gata1	chr5	90742163	90742173	+	0.000	0.000	Merged-chr5-90742238-22
NR5381--MA0766.1.GATA5	chr5	121837258	121837265	-	0.000	0.000	Merged-chr5-121837232-116
NR7127--MA0766.1.GATA5	chrX	93617499	93617506	+	0.000	0.000	Merged-chrX-93617420-5
NR44--MA0482.1.Gata4	chr1	36920487	36920497	+	0.000	0.000	Merged-chr1-36920402-81
NR2751--MA0766.1.GATA5	chr16	11078641	11078648	-	0.000	0.000	Merged-chr16-11078619-14
NR34--MA0035.3.Gata1	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
NR4357--MA0037.3.GATA3	chr3	98362922	98362929	-	0.000	0.000	Merged-chr3-98362961-5
NR1456--MA1104.1.GATA6	chr12	70078944	70078956	+	0.000	0.000	Merged-chr12-70078875-55
NR3889--MA0766.1.GATA5	chr2	78961707	78961714	+	0.000	0.000	Merged-chr2-78961805-37
NR643--MA0036.3.GATA2	chr10	59431033	59431043	-	0.000	0.000	Merged-chr10-59431050-41
NR47--MA0035.3.Gata1	chr1	36920486	36920496	+	0.000	0.000	Merged-chr1-36920402-81
NR4052--MA0037.3.GATA3	chr2	122138271	122138278	-	0.000	0.000	Merged-chr2-122138123-26
NR5949--MA0766.1.GATA5	chr6	140308148	140308155	+	0.000	0.000	Merged-chr6-140308190-9
NR5762--MA1104.1.GATA6	chr6	98609384	98609396	-	0.000	0.000	Merged-chr6-98609321-36
NR5378--MA0482.1.Gata4	chr5	121837258	121837268	+	0.000	0.000	Merged-chr5-121837232-116
NR6890--MA0035.3.Gata1	chr9	86579814	86579824	+	0.000	0.000	Merged-chr9-86579809-9
NR6855--MA0036.3.GATA2	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR903--MA0766.1.GATA5	chr10	128990355	128990362	-	0.000	0.000	Merged-chr10-128990510-111
NR3320--MA0037.3.GATA3	chr18	39457947	39457954	-	0.000	0.000	Merged-chr18-39457993-13
NR6560--MA0766.1.GATA5	chr8	115436487	115436494	+	0.000	0.000	Merged-chr8-115436321-24
NR1907--MA0482.1.Gata4	chr13	83727556	83727566	-	0.000	0.000	Merged-chr13-83727511-10
NR5632--MA1104.1.GATA6	chr6	50160019	50160031	-	0.000	0.000	Merged-chr6-50160084-30
NR3568--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR1769--MA0035.3.Gata1	chr13	29756229	29756239	-	0.000	0.000	Merged-chr13-29756237-14
NR5038--MA0766.1.GATA5	chr4	154334813	154334820	+	0.000	0.000	Merged-chr4-154334922-29
NR4875--MA0035.3.Gata1	chr4	114910042	114910052	+	0.000	0.000	Merged-chr4-114910225-3
NR1719--MA1104.1.GATA6	chr13	5757295	5757307	+	0.000	0.000	Merged-chr13-5757363-53
NR2159--MA1104.1.GATA6	chr14	20938523	20938535	+	0.000	0.000	Merged-chr14-20938430-1
NR5265--MA1104.1.GATA6	chr5	90742162	90742174	-	0.000	0.000	Merged-chr5-90742238-22
NR6844--MA0766.1.GATA5	chr9	78024981	78024988	-	0.000	0.000	Merged-chr9-78024957-31
NR3324--MA0766.1.GATA5	chr18	39457947	39457954	-	0.000	0.000	Merged-chr18-39457993-13
NR3109--MA0036.3.GATA2	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR2594--MA0766.1.GATA5	chr15	73599774	73599781	-	0.000	0.000	Merged-chr15-73599756-21
NR2855--MA0036.3.GATA2	chr16	45025478	45025488	-	0.000	0.000	Merged-chr16-45025536-40
NR5204--MA0035.3.Gata1	chr5	64371382	64371392	+	0.000	0.000	Merged-chr5-64371502-26
NR3818--MA0482.1.Gata4	chr2	60328750	60328760	+	0.000	0.000	Merged-chr2-60328757-33
NR792--MA0035.3.Gata1	chr10	108406936	108406946	-	0.000	0.000	Merged-chr10-108407108-16
NR3056--MA0036.3.GATA2	chr17	12513727	12513737	+	0.000	0.000	Merged-chr17-12513699-7
NR3014--MA0035.3.Gata1	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR3579--MA0036.3.GATA2	chr19	33053336	33053346	+	0.000	0.000	Merged-chr19-33053321-32
NR45--MA1104.1.GATA6	chr1	36920485	36920497	-	0.000	0.000	Merged-chr1-36920402-81
NR824--MA0035.3.Gata1	chr10	116664336	116664346	-	0.000	0.000	Merged-chr10-116664420-26
