#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR2316--MA0482.1.Gata4	chr14	59397232	59397242	-	0.000	0.000	Merged-chr14-59397210-50
NR7145--MA1104.1.GATA6	chrX	140537797	140537809	-	0.000	0.000	Merged-chrX-140537922-35
NR5348--MA1104.1.GATA6	chr5	137425806	137425818	+	0.000	0.000	Merged-chr5-137425710-17
NR833--MA0140.2.GATA1::TAL1	chr10	81194175	81194192	-	0.000	0.000	Merged-chr10-81194350-49
NR5218--MA1104.1.GATA6	chr5	90742162	90742174	-	0.000	0.000	Merged-chr5-90742238-22
NR4000--MA0035.3.Gata1	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR2547--MA0766.1.GATA5	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR4668--MA0482.1.Gata4	chr3	146275831	146275841	+	0.000	0.000	Merged-chr3-146275724-31
NR3999--MA0766.1.GATA5	chr2	106985121	106985128	-	0.000	0.000	Merged-chr2-106985167-21
NR4028--MA0482.1.Gata4	chr2	115855978	115855988	+	0.000	0.000	Merged-chr2-115856078-28
NR1486--MA0036.3.GATA2	chr12	32183054	32183064	+	0.000	0.000	Merged-chr12-32183013-17
NR7143--MA0037.3.GATA3	chrX	140537799	140537806	-	0.000	0.000	Merged-chrX-140537922-35
NR1462--MA0766.1.GATA5	chr12	14086786	14086793	-	0.000	0.000	Merged-chr12-14086767-28
NR6046--MA0036.3.GATA2	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR4669--MA1104.1.GATA6	chr3	146275829	146275841	-	0.000	0.000	Merged-chr3-146275724-31
NR1721--MA1104.1.GATA6	chr12	117679066	117679078	-	0.000	0.000	Merged-chr12-117679056-43
NR38--MA0037.3.GATA3	chr1	39954905	39954912	+	0.000	0.000	Merged-chr1-39954782-26
NR4331--MA0140.2.GATA1::TAL1	chr3	51701204	51701221	+	0.000	0.000	Merged-chr3-51701450-64
NR6715--MA0140.2.GATA1::TAL1	chr9	44565610	44565627	+	0.000	0.000	Merged-chr9-44565580-5
NR4029--MA1104.1.GATA6	chr2	115855976	115855988	-	0.000	0.000	Merged-chr2-115856078-28
NR6329--MA0140.2.GATA1::TAL1	chr7	143052807	143052824	-	0.000	0.000	Merged-chr7-143053012-41
NR5404--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR6559--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR5511--MA0036.3.GATA2	chr6	59315104	59315114	-	0.000	0.000	Merged-chr6-59315196-15
NR1463--MA0035.3.Gata1	chr12	14086785	14086795	+	0.000	0.000	Merged-chr12-14086767-28
NR5405--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR7148--MA0035.3.Gata1	chrX	140537798	140537808	+	0.000	0.000	Merged-chrX-140537922-35
NR2891--MA0482.1.Gata4	chr16	92443694	92443704	+	0.000	0.000	Merged-chr16-92443749-37
NR7132--MA0766.1.GATA5	chrX	107421595	107421602	+	0.000	0.000	Merged-chrX-107421546-18
NR1173--MA0140.2.GATA1::TAL1	chr11	66906100	66906117	-	0.000	0.000	Merged-chr11-66906049-23
NR791--MA0036.3.GATA2	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR4027--MA0037.3.GATA3	chr2	115855978	115855985	-	0.000	0.000	Merged-chr2-115856078-28
NR5144--MA0482.1.Gata4	chr5	37147598	37147608	+	0.000	0.000	Merged-chr5-37147664-17
NR4670--MA0036.3.GATA2	chr3	146275830	146275840	+	0.000	0.000	Merged-chr3-146275724-31
NR2546--MA0036.3.GATA2	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR2892--MA1104.1.GATA6	chr16	92443692	92443704	-	0.000	0.000	Merged-chr16-92443749-37
NR4030--MA0036.3.GATA2	chr2	115855977	115855987	+	0.000	0.000	Merged-chr2-115856078-28
NR25--MA0482.1.Gata4	chr1	36768926	36768936	+	0.000	0.000	Merged-chr1-36768955-19
NR1315--MA0037.3.GATA3	chr11	101661876	101661883	+	0.000	0.000	Merged-chr11-101661964-4
NR5403--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR3448--MA0482.1.Gata4	chr18	80041857	80041867	-	0.000	0.000	Merged-chr18-80041946-55
NR5145--MA1104.1.GATA6	chr5	37147596	37147608	-	0.000	0.000	Merged-chr5-37147664-17
NR1319--MA0766.1.GATA5	chr11	101661876	101661883	+	0.000	0.000	Merged-chr11-101661964-4
NR7131--MA1104.1.GATA6	chrX	107421592	107421604	+	0.000	0.000	Merged-chrX-107421546-18
NR1650--MA0035.3.Gata1	chr12	104067615	104067625	+	0.000	0.000	Merged-chr12-104067684-35
NR6589--MA0037.3.GATA3	chr8	122923734	122923741	+	0.000	0.000	Merged-chr8-122923631-1
NR2890--MA0037.3.GATA3	chr16	92443694	92443701	-	0.000	0.000	Merged-chr16-92443749-37
NR1990--MA0035.3.Gata1	chr13	89965600	89965610	+	0.000	0.000	Merged-chr13-89965778-3
NR2361--MA0140.2.GATA1::TAL1	chr14	75456660	75456677	-	0.000	0.000	Merged-chr14-75456767-67
NR3792--MA0035.3.Gata1	chr2	38927189	38927199	-	0.000	0.000	Merged-chr2-38927385-1
NR5143--MA0037.3.GATA3	chr5	37147598	37147605	-	0.000	0.000	Merged-chr5-37147664-17
NR4666--MA0140.2.GATA1::TAL1	chr3	145663512	145663529	-	0.000	0.000	Merged-chr3-145663343-1
NR2544--MA0482.1.Gata4	chr15	59010878	59010888	+	0.000	0.000	Merged-chr15-59010782-34
NR3996--MA0482.1.Gata4	chr2	106985121	106985131	+	0.000	0.000	Merged-chr2-106985167-21
NR1487--MA0766.1.GATA5	chr12	32183055	32183062	-	0.000	0.000	Merged-chr12-32183013-17
NR6047--MA0766.1.GATA5	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR2545--MA1104.1.GATA6	chr15	59010876	59010888	-	0.000	0.000	Merged-chr15-59010782-34
NR3997--MA1104.1.GATA6	chr2	106985119	106985131	-	0.000	0.000	Merged-chr2-106985167-21
NR1318--MA0036.3.GATA2	chr11	101661874	101661884	-	0.000	0.000	Merged-chr11-101661964-4
NR5406--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR1488--MA0035.3.Gata1	chr12	32183054	32183064	+	0.000	0.000	Merged-chr12-32183013-17
NR1987--MA0482.1.Gata4	chr13	89965601	89965611	+	0.000	0.000	Merged-chr13-89965778-3
NR6048--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR1460--MA1104.1.GATA6	chr12	14086784	14086796	-	0.000	0.000	Merged-chr12-14086767-28
NR4059--MA0140.2.GATA1::TAL1	chr2	124634793	124634810	-	0.000	0.000	Merged-chr2-124634585-20
NR5210--MA0140.2.GATA1::TAL1	chr5	86783451	86783468	-	0.000	0.000	Merged-chr5-86783243-43
NR2893--MA0036.3.GATA2	chr16	92443693	92443703	+	0.000	0.000	Merged-chr16-92443749-37
NR2543--MA0037.3.GATA3	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR1988--MA1104.1.GATA6	chr13	89965599	89965611	-	0.000	0.000	Merged-chr13-89965778-3
NR6590--MA0766.1.GATA5	chr8	122923734	122923741	+	0.000	0.000	Merged-chr8-122923631-1
NR3995--MA0037.3.GATA3	chr2	106985121	106985128	-	0.000	0.000	Merged-chr2-106985167-21
NR4473--MA0140.2.GATA1::TAL1	chr3	107076712	107076729	+	0.000	0.000	Merged-chr3-107076709-51
NR5146--MA0036.3.GATA2	chr5	37147597	37147607	+	0.000	0.000	Merged-chr5-37147664-17
NR4031--MA0766.1.GATA5	chr2	115855978	115855985	-	0.000	0.000	Merged-chr2-115856078-28
NR27--MA0035.3.Gata1	chr1	36768925	36768935	+	0.000	0.000	Merged-chr1-36768955-19
NR7015--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
