#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR3982--MA0089.1.MAFG::NFE2L1	chr14	79249189	79249194	+	0.000	0.000	Merged-chr14-79249040-19
NR11905--MA0591.1.Bach1::Mafk	chr9	50525770	50525784	+	0.000	0.000	Merged-chr9-50525750-20
NR7137--MA0501.1.MAF::NFE2	chr2	150582221	150582235	-	0.000	0.000	Merged-chr2-150582331-12
NR4697--MA0496.2.MAFK	chr16	24854664	24854682	-	0.000	0.000	Merged-chr16-24854563-13
NR12187--MA0117.2.Mafb	chr9	93131711	93131722	+	0.000	0.000	Merged-chr9-93131866-17
NR2083--MA0496.2.MAFK	chr11	74973440	74973458	-	0.000	0.000	Merged-chr11-74973432-13
NR2393--MA0591.1.Bach1::Mafk	chr11	115172979	115172993	-	0.000	0.000	Merged-chr11-115173098-6
NR4432--MA0089.1.MAFG::NFE2L1	chr15	81254513	81254518	+	0.000	0.000	Merged-chr15-81254471-25
NR298--MA0089.1.MAFG::NFE2L1	chr1	83006403	83006408	+	0.000	0.000	Merged-chr1-83006483-46
NR2689--MA0501.1.MAF::NFE2	chr12	75905548	75905562	-	0.000	0.000	Merged-chr12-75905530-21
NR2645--MA0117.2.Mafb	chr12	54369486	54369497	-	0.000	0.000	Merged-chr12-54369471-30
NR11330--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR6550--MA0496.2.MAFK	chr2	52955272	52955290	+	0.000	0.000	Merged-chr2-52955279-28
NR9173--MA0659.1.MAFG	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR10457--MA0591.1.Bach1::Mafk	chr7	16343738	16343752	+	0.000	0.000	Merged-chr7-16343810-22
NR8641--MA0501.1.MAF::NFE2	chr4	135664668	135664682	-	0.000	0.000	Merged-chr4-135664760-27
NR11901--MA0089.1.MAFG::NFE2L1	chr9	49489263	49489268	+	0.000	0.000	Merged-chr9-49489147-43
NR6390--MA0089.1.MAFG::NFE2L1	chr2	24776396	24776401	+	0.000	0.000	Merged-chr2-24776490-30
NR3691--MA0089.1.MAFG::NFE2L1	chr14	16313612	16313617	-	0.000	0.000	Merged-chr14-16313482-17
NR7903--MA0591.1.Bach1::Mafk	chr3	131169289	131169303	+	0.000	0.000	Merged-chr3-131169425-15
NR1415--MA0591.1.Bach1::Mafk	chr10	85829474	85829488	-	0.000	0.000	Merged-chr10-85829298-76
NR11928--MA0591.1.Bach1::Mafk	chr9	55410490	55410504	+	0.000	0.000	Merged-chr9-55410514-19
NR5051--MA0659.1.MAFG	chr16	97442080	97442100	-	0.000	0.000	Merged-chr16-97442198-19
NR9731--MA0591.1.Bach1::Mafk	chr6	53498059	53498073	+	0.000	0.000	Merged-chr6-53498072-40
NR10462--MA0496.2.MAFK	chr7	16343736	16343754	-	0.000	0.000	Merged-chr7-16343810-22
NR232--MA0495.2.MAFF	chr1	69350804	69350824	+	0.000	0.000	Merged-chr1-69350970-27
NR10160--MA0659.1.MAFG	chr6	128345840	128345860	-	0.000	0.000	Merged-chr6-128345779-18
NR12065--MA0501.1.MAF::NFE2	chr9	75209435	75209449	-	0.000	0.000	Merged-chr9-75209368-16
NR5585--MA0591.1.Bach1::Mafk	chr18	13013827	13013841	-	0.000	0.000	Merged-chr18-13013955-24
NR961--MA0089.1.MAFG::NFE2L1	chr1	191152565	191152570	-	0.000	0.000	Merged-chr1-191152485-1
NR1946--MA0089.1.MAFG::NFE2L1	chr11	55197806	55197811	+	0.000	0.000	Merged-chr11-55197770-39
NR789--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR6139--MA0089.1.MAFG::NFE2L1	chr19	41483223	41483228	-	0.000	0.000	Merged-chr19-41483233-3
NR1166--MA0089.1.MAFG::NFE2L1	chr10	40688489	40688494	-	0.000	0.000	Merged-chr10-40688620-20
NR5022--MA0496.2.MAFK	chr16	95893615	95893633	+	0.000	0.000	Merged-chr16-95893684-47
NR5174--MA0501.1.MAF::NFE2	chr17	28193757	28193771	-	0.000	0.000	Merged-chr17-28193674-11
NR6110--MA0501.1.MAF::NFE2	chr19	33429569	33429583	-	0.000	0.000	Merged-chr19-33429713-40
NR8647--MA0591.1.Bach1::Mafk	chr4	135988293	135988307	-	0.000	0.000	Merged-chr4-135988265-18
NR3422--MA0117.2.Mafb	chr13	96511379	96511390	+	0.000	0.000	Merged-chr13-96511466-3
NR6112--MA0496.2.MAFK	chr19	33429570	33429588	-	0.000	0.000	Merged-chr19-33429713-40
NR4543--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR3266--MA0591.1.Bach1::Mafk	chr13	52915692	52915706	+	0.000	0.000	Merged-chr13-52915528-4
NR5049--MA0591.1.Bach1::Mafk	chr16	97442083	97442097	-	0.000	0.000	Merged-chr16-97442198-19
NR346--MA0117.2.Mafb	chr1	89093918	89093929	+	0.000	0.000	Merged-chr1-89093874-9
NR10418--MA0089.1.MAFG::NFE2L1	chr7	4836448	4836453	+	0.000	0.000	Merged-chr7-4836481-36
NR7627--MA0591.1.Bach1::Mafk	chr3	79336211	79336225	-	0.000	0.000	Merged-chr3-79336264-23
NR1012--MA0496.2.MAFK	chr10	3238613	3238631	-	0.000	0.000	Merged-chr10-3238463-21
NR6119--MA0117.2.Mafb	chr19	36348902	36348913	+	0.000	0.000	Merged-chr19-36348792-148
NR3159--MA0591.1.Bach1::Mafk	chr13	36368339	36368353	-	0.000	0.000	Merged-chr13-36368196-54
NR2483--MA0591.1.Bach1::Mafk	chr12	3823696	3823710	-	0.000	0.000	Merged-chr12-3823687-29
NR2246--MA0591.1.Bach1::Mafk	chr11	99132536	99132550	+	0.000	0.000	Merged-chr11-99132520-18
NR1742--MA0089.1.MAFG::NFE2L1	chr11	4206035	4206040	+	0.000	0.000	Merged-chr11-4206247-48
NR1171--MA0117.2.Mafb	chr10	41615688	41615699	+	0.000	0.000	Merged-chr10-41615681-31
NR10547--MA0591.1.Bach1::Mafk	chr7	44344736	44344750	-	0.000	0.000	Merged-chr7-44344765-20
NR12161--MA0089.1.MAFG::NFE2L1	chr9	89874684	89874689	-	0.000	0.000	Merged-chr9-89874599-29
NR9176--MA0496.2.MAFK	chr5	92353779	92353797	-	0.000	0.000	Merged-chr5-92353751-46
NR2332--MA0501.1.MAF::NFE2	chr11	109124536	109124550	-	0.000	0.000	Merged-chr11-109124612-1
NR494--MA0089.1.MAFG::NFE2L1	chr1	128771028	128771033	+	0.000	0.000	Merged-chr1-128770934-28
NR5177--MA0117.2.Mafb	chr17	28701337	28701348	-	0.000	0.000	Merged-chr17-28701389-22
NR4663--MA0495.2.MAFF	chr16	22794955	22794975	-	0.000	0.000	Merged-chr16-22794765-7
NR9629--MA0495.2.MAFF	chr6	29735986	29736006	+	0.000	0.000	Merged-chr6-29735888-24
NR3249--MA0089.1.MAFG::NFE2L1	chr13	49270737	49270742	-	0.000	0.000	Merged-chr13-49270675-31
NR5750--MA0117.2.Mafb	chr18	61626449	61626460	-	0.000	0.000	Merged-chr18-61626581-16
NR9783--MA0659.1.MAFG	chr6	65765317	65765337	-	0.000	0.000	Merged-chr6-65765316-29
NR7118--MA0495.2.MAFF	chr2	148537465	148537485	-	0.000	0.000	Merged-chr2-148537326-5
NR5054--MA0496.2.MAFK	chr16	97442081	97442099	-	0.000	0.000	Merged-chr16-97442198-19
NR11044--MA0501.1.MAF::NFE2	chr7	126725174	126725188	-	0.000	0.000	Merged-chr7-126725257-13
NR1937--MA0117.2.Mafb	chr11	54105171	54105182	+	0.000	0.000	Merged-chr11-54105258-8
NR3523--MA0089.1.MAFG::NFE2L1	chr13	107866816	107866821	+	0.000	0.000	Merged-chr13-107866970-30
NR7122--MA0496.2.MAFK	chr2	148537466	148537484	-	0.000	0.000	Merged-chr2-148537326-5
NR8371--MA0659.1.MAFG	chr4	89350396	89350416	+	0.000	0.000	Merged-chr4-89350457-2
NR11156--MA0089.1.MAFG::NFE2L1	chr7	141097387	141097392	+	0.000	0.000	Merged-chr7-141097451-2
NR842--MA0495.2.MAFF	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR10335--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR1185--MA0117.2.Mafb	chr10	44684911	44684922	+	0.000	0.000	Merged-chr10-44684800-1
NR11849--MA0591.1.Bach1::Mafk	chr9	35475550	35475564	-	0.000	0.000	Merged-chr9-35475679-27
NR844--MA0659.1.MAFG	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR6335--MA0089.1.MAFG::NFE2L1	chr2	11623430	11623435	-	0.000	0.000	Merged-chr2-11623326-4
NR11054--MA0089.1.MAFG::NFE2L1	chr7	127024537	127024542	+	0.000	0.000	Merged-chr7-127024462-5
NR5672--MA0501.1.MAF::NFE2	chr18	39877927	39877941	+	0.000	0.000	Merged-chr18-39877975-43
NR11806--MA0591.1.Bach1::Mafk	chr9	14171981	14171995	+	0.000	0.000	Merged-chr9-14171965-37
NR5406--MA0117.2.Mafb	chr17	74753546	74753557	-	0.000	0.000	Merged-chr17-74753393-19
NR3137--MA0659.1.MAFG	chr13	31505464	31505484	-	0.000	0.000	Merged-chr13-31505526-12
NR6146--MA0089.1.MAFG::NFE2L1	chr19	42266461	42266466	-	0.000	0.000	Merged-chr19-42266343-14
NR10524--MA0117.2.Mafb	chr7	30608044	30608055	+	0.000	0.000	Merged-chr7-30607986-27
NR9779--MA0117.2.Mafb	chr6	65569870	65569881	-	0.000	0.000	Merged-chr6-65569933-17
NR11443--MA0089.1.MAFG::NFE2L1	chr8	86052138	86052143	-	0.000	0.000	Merged-chr8-86052123-41
NR3265--MA0495.2.MAFF	chr13	52915689	52915709	-	0.000	0.000	Merged-chr13-52915528-4
NR750--MA0117.2.Mafb	chr1	172000674	172000685	-	0.000	0.000	Merged-chr1-172000780-26
NR692--MA0089.1.MAFG::NFE2L1	chr1	164053746	164053751	+	0.000	0.000	Merged-chr1-164053798-7
NR8809--MA0089.1.MAFG::NFE2L1	chr4	149680854	149680859	-	0.000	0.000	Merged-chr4-149680900-7
NR2139--MA0496.2.MAFK	chr11	83828748	83828766	+	0.000	0.000	Merged-chr11-83828814-21
NR7551--MA0089.1.MAFG::NFE2L1	chr3	37686938	37686943	+	0.000	0.000	Merged-chr3-37686909-1
NR10648--MA0495.2.MAFF	chr7	73517587	73517607	-	0.000	0.000	Merged-chr7-73517689-25
NR1746--MA0501.1.MAF::NFE2	chr11	4263036	4263050	-	0.000	0.000	Merged-chr11-4263034-2
NR8338--MA0496.2.MAFK	chr4	88079189	88079207	+	0.000	0.000	Merged-chr4-88079193-33
NR2553--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	+	0.000	0.000	Merged-chr12-25851772-17
NR9316--MA0496.2.MAFK	chr5	110284065	110284083	+	0.000	0.000	Merged-chr5-110284039-11
NR10746--MA0496.2.MAFK	chr7	84196448	84196466	-	0.000	0.000	Merged-chr7-84196453-50
NR5504--MA0089.1.MAFG::NFE2L1	chr17	87364378	87364383	+	0.000	0.000	Merged-chr17-87364377-17
NR8897--MA0089.1.MAFG::NFE2L1	chr5	10245953	10245958	-	0.000	0.000	Merged-chr5-10245943-14
NR9291--MA0591.1.Bach1::Mafk	chr5	106885764	106885778	-	0.000	0.000	Merged-chr5-106885750-27
NR3149--MA0495.2.MAFF	chr13	33003646	33003666	+	0.000	0.000	Merged-chr13-33003757-27
NR5675--MA0117.2.Mafb	chr18	39878031	39878042	-	0.000	0.000	Merged-chr18-39877975-43
NR2195--MA0117.2.Mafb	chr11	94253938	94253949	+	0.000	0.000	Merged-chr11-94253783-2
NR211--MA0089.1.MAFG::NFE2L1	chr1	60913600	60913605	-	0.000	0.000	Merged-chr1-60913471-46
NR6790--MA0495.2.MAFF	chr2	114059828	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR628--MA0495.2.MAFF	chr1	155091522	155091542	+	0.000	0.000	Merged-chr1-155091563-28
NR10532--MA0591.1.Bach1::Mafk	chr7	34322213	34322227	+	0.000	0.000	Merged-chr7-34322146-9
NR9058--MA0089.1.MAFG::NFE2L1	chr5	62858662	62858667	-	0.000	0.000	Merged-chr5-62858471-55
NR1213--MA0659.1.MAFG	chr10	53346649	53346669	+	0.000	0.000	Merged-chr10-53346835-25
NR11809--MA0591.1.Bach1::Mafk	chr9	14248440	14248454	+	0.000	0.000	Merged-chr9-14248366-20
NR7815--MA0501.1.MAF::NFE2	chr3	109165414	109165428	-	0.000	0.000	Merged-chr3-109165436-34
NR4393--MA0659.1.MAFG	chr15	73627474	73627494	-	0.000	0.000	Merged-chr15-73627530-51
NR600--MA0089.1.MAFG::NFE2L1	chr1	151465792	151465797	-	0.000	0.000	Merged-chr1-151465762-7
NR790--MA0089.1.MAFG::NFE2L1	chr1	177484721	177484726	+	0.000	0.000	Merged-chr1-177484692-10
NR2399--MA0496.2.MAFK	chr11	115172977	115172995	-	0.000	0.000	Merged-chr11-115173098-6
NR9332--MA0089.1.MAFG::NFE2L1	chr5	112488431	112488436	-	0.000	0.000	Merged-chr5-112488536-19
NR2010--MA0089.1.MAFG::NFE2L1	chr11	68087714	68087719	+	0.000	0.000	Merged-chr11-68087888-14
NR2090--MA0496.2.MAFK	chr11	75878753	75878771	+	0.000	0.000	Merged-chr11-75878686-10
