#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR1367--MA0690.1.TBX21	chr4	6476637	6476646	+	0.000	0.000	Merged-chr4-6476530-28
NR706--MA0690.1.TBX21	chr15	38122283	38122292	+	0.000	0.000	Merged-chr15-38122272-49
NR339--MA0690.1.TBX21	chr11	74907966	74907975	+	0.000	0.000	Merged-chr11-74908000-16
NR382--MA0690.1.TBX21	chr11	108268681	108268690	-	0.000	0.000	Merged-chr11-108268786-21
NR2092--MA0690.1.TBX21	chrX	13552555	13552564	+	0.000	0.000	Merged-chrX-13552455-23
NR1059--MA0690.1.TBX21	chr2	3740454	3740463	-	0.000	0.000	Merged-chr2-3740398-41
NR1631--MA0690.1.TBX21	chr6	72644706	72644715	+	0.000	0.000	Merged-chr6-72644677-18
NR528--MA0690.1.TBX21	chr13	45443314	45443323	+	0.000	0.000	Merged-chr13-45443236-24
NR366--MA0690.1.TBX21	chr11	98729408	98729417	-	0.000	0.000	Merged-chr11-98729415-43
NR908--MA0690.1.TBX21	chr17	72932347	72932356	+	0.000	0.000	Merged-chr17-72932443-6
NR106--MA0690.1.TBX21	chr1	156923093	156923102	-	0.000	0.000	Merged-chr1-156923049-12
NR2068--MA0690.1.TBX21	chr9	117925007	117925016	-	0.000	0.000	Merged-chr9-117925055-43
NR2034--MA0690.1.TBX21	chr9	96896927	96896936	+	0.000	0.000	Merged-chr9-96896917-17
NR188--MA0690.1.TBX21	chr10	26229691	26229700	-	0.000	0.000	Merged-chr10-26229708-29
NR1520--MA0690.1.TBX21	chr5	97001772	97001781	+	0.000	0.000	Merged-chr5-97001719-9
NR1010--MA0690.1.TBX21	chr19	8926826	8926835	+	0.000	0.000	Merged-chr19-8926872-10
NR2039--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR308--MA0690.1.TBX21	chr11	51898928	51898937	+	0.000	0.000	Merged-chr11-51898870-27
NR1708--MA0690.1.TBX21	chr6	146387257	146387266	-	0.000	0.000	Merged-chr6-146387186-17
NR1480--MA0690.1.TBX21	chr5	33520472	33520481	+	0.000	0.000	Merged-chr5-33520453-4
NR1493--MA0690.1.TBX21	chr5	65918663	65918672	-	0.000	0.000	Merged-chr5-65918679-15
NR1639--MA0690.1.TBX21	chr6	86871951	86871960	+	0.000	0.000	Merged-chr6-86871933-13
NR1198--MA0690.1.TBX21	chr2	157138212	157138221	-	0.000	0.000	Merged-chr2-157138383-30
NR641--MA0690.1.TBX21	chr14	67951871	67951880	-	0.000	0.000	Merged-chr14-67951902-1
NR1326--MA0690.1.TBX21	chr3	139033342	139033351	+	0.000	0.000	Merged-chr3-139033383-15
NR893--MA0690.1.TBX21	chr17	47564781	47564790	-	0.000	0.000	Merged-chr17-47564757-20
NR1273--MA0690.1.TBX21	chr3	87215311	87215320	-	0.000	0.000	Merged-chr3-87215375-19
NR1815--MA0690.1.TBX21	chr7	118500314	118500323	-	0.000	0.000	Merged-chr7-118500296-3
NR1034--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR872--MA0690.1.TBX21	chr17	28591047	28591056	-	0.000	0.000	Merged-chr17-28590948-24
NR471--MA0690.1.TBX21	chr12	107963069	107963078	-	0.000	0.000	Merged-chr12-107963174-17
NR994--MA0690.1.TBX21	chr18	81385711	81385720	+	0.000	0.000	Merged-chr18-81385709-31
NR11--MA0690.1.TBX21	chr1	39559170	39559179	+	0.000	0.000	Merged-chr1-39559167-24
NR593--MA0690.1.TBX21	chr13	108763504	108763513	+	0.000	0.000	Merged-chr13-108763497-25
NR864--MA0690.1.TBX21	chr17	23742492	23742501	+	0.000	0.000	Merged-chr17-23742511-26
NR1135--MA0690.1.TBX21	chr2	72874337	72874346	+	0.000	0.000	Merged-chr2-72874420-46
NR102--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR625--MA0690.1.TBX21	chr14	47533729	47533738	+	0.000	0.000	Merged-chr14-47533897-41
NR1082--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR1215--MA0690.1.TBX21	chr2	168429753	168429762	-	0.000	0.000	Merged-chr2-168429700-17
NR577--MA0690.1.TBX21	chr13	99385711	99385720	+	0.000	0.000	Merged-chr13-99385771-3
NR848--MA0690.1.TBX21	chr17	5804587	5804596	+	0.000	0.000	Merged-chr17-5804562-52
NR1196--MA0690.1.TBX21	chr2	152372208	152372217	-	0.000	0.000	Merged-chr2-152372304-34
NR1119--MA0690.1.TBX21	chr2	60165887	60165896	-	0.000	0.000	Merged-chr2-60166003-27
NR1228--MA0690.1.TBX21	chr2	180438407	180438416	+	0.000	0.000	Merged-chr2-180438318-9
NR285--MA0690.1.TBX21	chr11	21108322	21108331	+	0.000	0.000	Merged-chr11-21108325-26
NR758--MA0690.1.TBX21	chr15	93298520	93298529	-	0.000	0.000	Merged-chr15-93298411-30
NR445--MA0690.1.TBX21	chr12	85632521	85632530	+	0.000	0.000	Merged-chr12-85632486-20
NR349--MA0690.1.TBX21	chr11	83657676	83657685	+	0.000	0.000	Merged-chr11-83657668-22
NR1540--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR187--MA0690.1.TBX21	chr10	26228357	26228366	+	0.000	0.000	Merged-chr10-26228346-20
NR458--MA0690.1.TBX21	chr12	102641790	102641799	+	0.000	0.000	Merged-chr12-102641833-10
NR1920--MA0690.1.TBX21	chr8	115070291	115070300	-	0.000	0.000	Merged-chr8-115070439-32
NR296--MA0690.1.TBX21	chr11	34775535	34775544	+	0.000	0.000	Merged-chr11-34775694-11
NR1824--MA0690.1.TBX21	chr7	126584656	126584665	+	0.000	0.000	Merged-chr7-126584739-30
NR1532--MA0690.1.TBX21	chr5	107533901	107533910	-	0.000	0.000	Merged-chr5-107533890-8
